Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Odina Desrochers,Jacques Gourde,Eric Paradis,Shirley Picknell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 39","Saint-Janvier-de-Joly",8,40,90,2,9,1,150,237
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 40","Saint-Janvier-de-Joly",16,77,187,12,10,5,307,478
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 41","Val-Alain",8,65,114,8,10,2,207,373
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 42","Val-Alain",23,59,100,22,9,5,218,362
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 43","Saint-Nicolas",21,78,132,14,6,2,253,426
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 44","Saint-Nicolas",27,94,157,12,18,4,312,543
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 45","Saint-Nicolas",22,112,106,15,18,1,274,445
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 46","Saint-Nicolas",30,95,128,17,13,0,283,514
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 47","Saint-Nicolas",24,110,141,21,13,3,312,516
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 48","Saint-Nicolas",17,78,120,8,9,1,233,367
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 49","Saint-Nicolas",26,95,112,22,15,1,271,432
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 50","Saint-Nicolas",26,77,122,8,10,2,245,399
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 51","Saint-Nicolas",20,79,146,9,14,3,271,426
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 52","Saint-Nicolas",20,56,99,22,11,0,208,372
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 53","Saint-Nicolas",27,98,129,10,14,5,283,485
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 54","Saint-Nicolas",21,108,206,11,16,1,363,582
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 55A","Saint-Nicolas",7,61,107,6,3,1,185,316
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 55B","Saint-Nicolas",13,59,109,11,4,1,197,356
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 55C","Mobile poll/Bureau itinérant",3,11,21,16,0,5,56,43
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 56","Saint-Nicolas",20,81,122,12,13,3,251,492
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 57","Saint-Nicolas",23,97,152,12,17,3,304,551
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 58A","Saint-Nicolas",16,55,77,9,10,1,168,309
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 58B","Saint-Nicolas",10,50,87,10,5,0,162,288
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 59","Saint-Nicolas",41,117,150,12,12,3,335,528
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 60","Saint-Nicolas",21,85,118,8,14,0,246,479
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 61","Saint-Nicolas",11,51,88,4,7,2,163,349
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 62","Saint-Nicolas",28,76,135,14,11,3,267,469
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 63","Saint-Nicolas",16,82,142,10,9,8,267,568
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 64","Saint-Nicolas",5,52,63,5,5,1,131,269
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 65","Saint-Nicolas",32,68,133,10,8,3,254,433
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 66","Saint-Nicolas",19,86,143,7,13,1,269,401
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 67","Saint-Nicolas",23,97,106,7,13,2,248,401
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 68","Saint-Nicolas",22,114,173,16,10,3,338,535
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 69","Saint-Nicolas",15,63,106,7,14,4,209,418
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 70","Saint-Nicolas",14,72,98,16,12,2,214,383
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 71","Saint-Nicolas",30,77,100,7,11,0,225,362
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 72","Saint-Nicolas",15,74,131,21,11,0,252,431
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 73A","Charny",22,72,106,20,9,2,231,487
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 73B","Mobile poll/Bureau itinérant",2,8,27,9,4,3,53,49
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 74","Charny",24,59,58,6,8,2,157,283
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 75","Charny",17,97,88,14,21,7,244,403
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 76","Charny",24,103,97,7,10,0,241,388
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 77","Charny",30,104,139,6,20,3,302,474
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 78","Charny",19,74,104,12,11,4,224,441
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 79","Charny",26,86,106,7,10,3,238,421
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 80","Charny",17,62,106,21,7,3,216,369
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 81","Charny",15,84,109,10,8,4,230,454
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 82","Charny",12,45,53,9,4,1,124,254
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 83","Charny",18,62,82,12,9,2,185,378
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 84","Charny",9,36,76,10,10,0,141,313
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 85","Charny",11,68,83,6,6,1,175,316
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 86","Charny",9,69,77,17,6,1,179,334
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 87","Charny",34,67,103,9,7,2,222,350
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 88","Charny",10,51,75,10,3,6,155,309
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 89","Charny",20,71,82,7,14,4,198,420
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 90","Charny",24,57,79,13,4,4,181,359
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 91","Charny",6,81,92,8,14,1,202,341
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 92A","Charny",17,86,77,10,14,3,207,361
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 92B","Mobile poll/Bureau itinérant",Merged with No. 73B/Fusionné avec le nº 73B,,,,,,,40
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 93A","Charny",14,60,64,4,6,0,148,331
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 93B","Mobile poll/Bureau itinérant",Merged with No. 73B/Fusionné avec le nº 73B,,,,,,,8
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 93C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,49
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 94","Charny",20,65,99,8,15,2,209,439
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 95A","Saint-Jean-Chrysostome",16,66,121,7,6,2,218,397
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 95B","Saint-Jean-Chrysostome",12,59,89,11,7,3,181,338
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 96","Saint-Jean-Chrysostome",16,65,132,2,4,3,222,391
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 97","Saint-Jean-Chrysostome",21,89,129,10,11,2,262,378
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 98A","Saint-Jean-Chrysostome",21,63,102,10,13,2,211,324
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 98B","Saint-Jean-Chrysostome",14,61,91,3,7,1,177,283
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 99","Saint-Jean-Chrysostome",15,75,135,3,1,0,229,365
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 100","Saint-Jean-Chrysostome",38,90,129,17,10,3,287,463
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 101","Saint-Jean-Chrysostome",30,115,148,13,9,2,317,488
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 102","Saint-Jean-Chrysostome",12,78,103,4,13,5,215,399
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 103","Saint-Jean-Chrysostome",21,112,186,6,12,3,340,544
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 104","Saint-Jean-Chrysostome",20,64,115,8,13,4,224,402
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 105","Saint-Jean-Chrysostome",15,61,100,5,11,0,192,297
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 106","Saint-Jean-Chrysostome",9,52,78,11,8,0,158,317
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 107","Saint-Jean-Chrysostome",13,61,120,12,4,3,213,409
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 108","Saint-Jean-Chrysostome",21,100,211,12,9,1,354,545
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 109A","Saint-Jean-Chrysostome",27,78,128,14,7,5,259,427
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 109B","Mobile poll/Bureau itinérant",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,,9
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 110","Saint-Jean-Chrysostome",31,97,143,16,8,1,296,485
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 111","Saint-Jean-Chrysostome",22,79,115,10,10,3,239,402
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 112","Saint-Jean-Chrysostome",20,70,102,5,12,0,209,341
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 113","Saint-Jean-Chrysostome",31,105,150,11,8,3,308,503
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 114","Saint-Jean-Chrysostome",31,105,134,22,4,1,297,545
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 115","Saint-Jean-Chrysostome",12,97,155,6,11,2,283,452
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 116","Saint-Jean-Chrysostome",27,92,125,16,14,4,278,459
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 117","Saint-Jean-Chrysostome",22,90,107,6,9,3,237,378
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 118","Saint-Jean-Chrysostome",16,70,141,19,12,4,262,435
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 119A","Saint-Jean-Chrysostome",13,50,136,8,6,3,216,373
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 119B","Saint-Jean-Chrysostome",11,44,125,2,7,4,193,322
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 120","Saint-Jean-Chrysostome",14,61,109,10,6,1,201,368
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 121","Saint-Jean-Chrysostome",8,54,139,8,7,1,217,383
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 122","Saint-Jean-Chrysostome",16,61,98,5,5,5,190,330
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 123","Saint-Jean-Chrysostome",18,79,125,4,7,3,236,377
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 124","Saint-Jean-Chrysostome",7,37,51,9,4,2,110,223
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 125","Sainte-Hélène-de-Breakeyville",15,85,149,18,15,0,282,480
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 126","Sainte-Hélène-de-Breakeyville",34,92,220,2,11,3,362,587
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 127","Sainte-Hélène-de-Breakeyville",4,65,107,5,3,0,184,293
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 128","Sainte-Hélène-de-Breakeyville",13,56,109,6,12,1,197,330
