Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carl Barabonoff,Garry Breitkreuz,Mervin Joseph Cushman,Jason Dennison,Keith Neu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yorkton--Melville/Yorkton--Melville"," 22","Kelvington",2,126,20,30,11,0,189,455
"Yorkton--Melville/Yorkton--Melville"," 23","Rose Valley",1,158,18,20,1,1,199,340
"Yorkton--Melville/Yorkton--Melville"," 24","Rose Valley",5,96,24,38,6,0,169,234
"Yorkton--Melville/Yorkton--Melville"," 25","Fosston",2,77,15,17,1,0,112,188
"Yorkton--Melville/Yorkton--Melville"," 26","Wadena",3,86,16,25,3,0,133,228
"Yorkton--Melville/Yorkton--Melville"," 27","Wadena",0,59,8,20,1,0,88,127
"Yorkton--Melville/Yorkton--Melville"," 28","Wadena",1,117,22,57,3,4,204,335
"Yorkton--Melville/Yorkton--Melville"," 29","Wadena",4,164,33,82,12,0,295,519
"Yorkton--Melville/Yorkton--Melville"," 30","Wadena",1,81,20,48,2,0,152,252
"Yorkton--Melville/Yorkton--Melville"," 31","Kelvington",4,106,3,27,7,0,147,267
"Yorkton--Melville/Yorkton--Melville"," 32","Kuroki",2,125,7,21,4,1,160,232
"Yorkton--Melville/Yorkton--Melville"," 33","Margo",2,131,1,7,7,1,149,220
"Yorkton--Melville/Yorkton--Melville"," 34","Lintlaw",3,129,15,26,4,1,178,284
"Yorkton--Melville/Yorkton--Melville"," 35","Hazel Dell",3,116,7,16,4,1,147,260
"Yorkton--Melville/Yorkton--Melville"," 36","Endeavour",0,93,7,13,4,0,117,225
"Yorkton--Melville/Yorkton--Melville"," 37","Endeavour",2,101,13,34,2,0,152,276
"Yorkton--Melville/Yorkton--Melville"," 38","Preeceville",1,124,3,22,4,0,154,264
"Yorkton--Melville/Yorkton--Melville"," 39","Preeceville",0,137,17,37,3,0,194,411
"Yorkton--Melville/Yorkton--Melville"," 40","Preeceville",1,87,14,26,3,1,132,248
"Yorkton--Melville/Yorkton--Melville"," 41","Preeceville",0,80,22,25,2,1,130,225
"Yorkton--Melville/Yorkton--Melville"," 42","Sturgis",0,124,12,42,5,0,183,334
"Yorkton--Melville/Yorkton--Melville"," 43","Sturgis",1,75,9,45,0,0,130,168
"Yorkton--Melville/Yorkton--Melville"," 44","Sturgis",1,90,19,42,1,0,153,270
"Yorkton--Melville/Yorkton--Melville"," 45","Danbury",0,83,9,9,3,1,105,174
"Yorkton--Melville/Yorkton--Melville"," 46","Swan Plain",6,82,8,14,0,0,110,169
"Yorkton--Melville/Yorkton--Melville"," 47","Aaron",2,107,11,25,2,0,147,283
"Yorkton--Melville/Yorkton--Melville"," 48","Hyas",1,88,11,18,1,1,120,244
"Yorkton--Melville/Yorkton--Melville"," 49","Norquay",0,73,32,9,1,0,115,204
"Yorkton--Melville/Yorkton--Melville"," 50","Norquay",3,134,23,21,5,1,187,400
"Yorkton--Melville/Yorkton--Melville"," 51","Pelly",3,101,3,17,0,0,124,181
"Yorkton--Melville/Yorkton--Melville"," 52","Pelly",1,81,18,24,1,3,128,235
"Yorkton--Melville/Yorkton--Melville"," 53","Fishing Lake 89",2,7,88,31,1,0,129,198
"Yorkton--Melville/Yorkton--Melville"," 54","Foam Lake",4,155,10,35,3,0,207,304
"Yorkton--Melville/Yorkton--Melville"," 55","Foam Lake",3,87,22,41,8,0,161,310
"Yorkton--Melville/Yorkton--Melville"," 56","Foam Lake",1,82,15,36,0,0,134,205
"Yorkton--Melville/Yorkton--Melville"," 57","Foam Lake",3,128,32,39,1,0,203,395
"Yorkton--Melville/Yorkton--Melville"," 58","Foam Lake",1,71,9,12,4,0,97,173
"Yorkton--Melville/Yorkton--Melville"," 59","Invermay",1,81,8,15,3,1,109,146
"Yorkton--Melville/Yorkton--Melville"," 60","Invermay",3,89,20,12,6,0,130,220
"Yorkton--Melville/Yorkton--Melville"," 61","Rama",1,123,4,14,2,1,145,205
"Yorkton--Melville/Yorkton--Melville"," 62","Sheho",1,110,15,11,4,0,141,218
"Yorkton--Melville/Yorkton--Melville"," 63","Sheho",2,50,17,7,0,0,76,122
"Yorkton--Melville/Yorkton--Melville"," 64","Theodore",1,91,8,3,2,0,105,141
"Yorkton--Melville/Yorkton--Melville"," 65","Theodore",1,123,15,36,4,2,181,299
"Yorkton--Melville/Yorkton--Melville"," 66","Buchanan",0,94,5,21,9,0,129,244
"Yorkton--Melville/Yorkton--Melville"," 67","Buchanan",1,73,9,22,4,0,109,173
"Yorkton--Melville/Yorkton--Melville"," 68","Canora",1,129,8,33,1,0,172,277
"Yorkton--Melville/Yorkton--Melville"," 69","Canora",0,98,15,22,5,0,140,248
"Yorkton--Melville/Yorkton--Melville"," 70","Canora",2,71,25,30,0,0,128,187
"Yorkton--Melville/Yorkton--Melville"," 71","Canora",1,135,19,25,3,2,185,296
"Yorkton--Melville/Yorkton--Melville"," 72","Canora",1,158,18,40,3,0,220,396
"Yorkton--Melville/Yorkton--Melville"," 73","Canora",7,182,29,76,12,1,307,594
"Yorkton--Melville/Yorkton--Melville"," 74","Canora",1,88,9,17,2,1,118,242
"Yorkton--Melville/Yorkton--Melville"," 75","Veregin",2,100,17,47,5,0,171,273
"Yorkton--Melville/Yorkton--Melville"," 76","Rhein",0,159,19,35,4,0,217,329
"Yorkton--Melville/Yorkton--Melville"," 77","Keeseekoose 66",1,9,139,8,1,0,158,269
"Yorkton--Melville/Yorkton--Melville"," 78","Kamsack (Cote 64)",1,9,211,13,2,0,236,373
"Yorkton--Melville/Yorkton--Melville"," 79","Kamsack",0,144,16,40,7,0,207,362
"Yorkton--Melville/Yorkton--Melville"," 80","Kamsack",2,72,20,40,4,0,138,251
"Yorkton--Melville/Yorkton--Melville"," 81","Kamsack",0,52,28,27,2,0,109,169
"Yorkton--Melville/Yorkton--Melville"," 82","Kamsack",0,99,31,56,2,0,188,542
"Yorkton--Melville/Yorkton--Melville"," 83","Kamsack",1,64,15,36,2,0,118,213
"Yorkton--Melville/Yorkton--Melville"," 84","Kamsack",4,82,25,41,6,1,159,350
"Yorkton--Melville/Yorkton--Melville"," 85","Togo",1,79,23,19,4,0,126,224
"Yorkton--Melville/Yorkton--Melville"," 86","Jedburgh",2,106,11,13,3,0,135,222
"Yorkton--Melville/Yorkton--Melville"," 87","Springside",2,162,18,20,1,0,203,278
"Yorkton--Melville/Yorkton--Melville"," 88","Springside",0,179,30,29,5,1,244,394
"Yorkton--Melville/Yorkton--Melville"," 89","Willowbrook",1,86,9,13,1,0,110,175
"Yorkton--Melville/Yorkton--Melville"," 90","Yorkton",1,80,10,19,3,0,113,208
"Yorkton--Melville/Yorkton--Melville"," 91","Ebenezer",0,122,17,14,1,0,154,233
"Yorkton--Melville/Yorkton--Melville"," 92","Yorkton",0,210,15,46,3,0,274,468
"Yorkton--Melville/Yorkton--Melville"," 93","Yorkton",1,150,23,34,6,1,215,346
"Yorkton--Melville/Yorkton--Melville"," 94","Otthon",0,98,12,17,5,1,133,216
"Yorkton--Melville/Yorkton--Melville"," 95","Yorkton",0,72,15,22,1,0,110,237
"Yorkton--Melville/Yorkton--Melville"," 96","Yorkton",1,100,29,59,9,0,198,369
"Yorkton--Melville/Yorkton--Melville"," 97","Yorkton",4,105,22,40,3,0,174,359
"Yorkton--Melville/Yorkton--Melville"," 98","Yorkton",3,87,25,40,6,0,161,333
"Yorkton--Melville/Yorkton--Melville"," 99","Yorkton",4,69,27,30,1,0,131,324
"Yorkton--Melville/Yorkton--Melville"," 100","Yorkton",0,64,25,26,2,0,117,283
"Yorkton--Melville/Yorkton--Melville"," 101","Yorkton",1,142,36,45,7,1,232,444
"Yorkton--Melville/Yorkton--Melville"," 102","Yorkton",2,103,29,40,9,0,183,409
"Yorkton--Melville/Yorkton--Melville"," 103","Yorkton",2,77,17,27,8,0,131,322
"Yorkton--Melville/Yorkton--Melville"," 104","Yorkton",3,101,39,41,3,1,188,382
"Yorkton--Melville/Yorkton--Melville"," 105","Yorkton",4,143,46,35,8,0,236,391
"Yorkton--Melville/Yorkton--Melville"," 106","Yorkton",2,149,42,63,9,0,265,564
"Yorkton--Melville/Yorkton--Melville"," 107","Yorkton",0,179,53,51,3,2,288,492
"Yorkton--Melville/Yorkton--Melville"," 108A","Yorkton",2,205,25,46,3,1,282,468
"Yorkton--Melville/Yorkton--Melville"," 108B","Yorkton",2,200,42,62,6,1,313,483
"Yorkton--Melville/Yorkton--Melville"," 109","Yorkton",2,130,33,52,5,0,222,382
"Yorkton--Melville/Yorkton--Melville"," 110","Yorkton",3,160,28,24,10,0,225,358
"Yorkton--Melville/Yorkton--Melville"," 111","Yorkton",2,106,29,34,3,0,174,297
"Yorkton--Melville/Yorkton--Melville"," 112","Yorkton",0,135,39,39,12,0,225,380
"Yorkton--Melville/Yorkton--Melville"," 113","Yorkton",1,143,26,45,6,0,221,341
"Yorkton--Melville/Yorkton--Melville"," 114","Yorkton",2,72,27,23,4,1,129,295
"Yorkton--Melville/Yorkton--Melville"," 115","Yorkton",1,108,31,46,5,0,191,306
"Yorkton--Melville/Yorkton--Melville"," 116","Yorkton",1,72,22,36,3,0,134,269
"Yorkton--Melville/Yorkton--Melville"," 117","Yorkton",0,34,20,13,1,0,68,391
"Yorkton--Melville/Yorkton--Melville"," 118","Yorkton",0,159,38,24,3,0,224,408
"Yorkton--Melville/Yorkton--Melville"," 119","Yorkton",1,151,42,51,3,0,248,441
"Yorkton--Melville/Yorkton--Melville"," 120","Yorkton",1,89,30,31,9,0,160,322
"Yorkton--Melville/Yorkton--Melville"," 121","Yorkton",5,111,49,52,10,0,227,378
"Yorkton--Melville/Yorkton--Melville"," 122","Yorkton",0,95,32,51,5,0,183,409
"Yorkton--Melville/Yorkton--Melville"," 123","Yorkton",1,97,40,45,6,0,189,314
"Yorkton--Melville/Yorkton--Melville"," 124","Yorkton",0,113,27,29,5,0,174,394
"Yorkton--Melville/Yorkton--Melville"," 125","Tonkin",2,143,8,19,11,1,184,253
"Yorkton--Melville/Yorkton--Melville"," 126","Wroxton",2,110,8,24,1,0,145,223
"Yorkton--Melville/Yorkton--Melville"," 127","Calder",0,116,5,24,0,0,145,229
"Yorkton--Melville/Yorkton--Melville"," 128","Saltcoats",1,127,15,14,6,0,163,278
"Yorkton--Melville/Yorkton--Melville"," 129","Saltcoats",2,139,24,39,10,2,216,366
"Yorkton--Melville/Yorkton--Melville"," 130","Bredenbury",1,116,12,7,2,0,138,235
"Yorkton--Melville/Yorkton--Melville"," 131","Bredenbury",0,102,14,19,1,1,137,249
"Yorkton--Melville/Yorkton--Melville"," 132","Churchbridge",2,103,6,15,2,0,128,203
"Yorkton--Melville/Yorkton--Melville"," 133","Churchbridge",2,74,20,35,5,0,136,196
"Yorkton--Melville/Yorkton--Melville"," 134","Churchbridge",5,120,33,58,12,3,231,359
"Yorkton--Melville/Yorkton--Melville"," 135","MacNutt",0,111,7,10,4,0,132,222
"Yorkton--Melville/Yorkton--Melville"," 136","Goodeve",0,74,18,14,2,0,108,156
"Yorkton--Melville/Yorkton--Melville"," 137","Fenwood",1,83,5,18,4,1,112,195
"Yorkton--Melville/Yorkton--Melville"," 138","Duff",0,99,15,25,2,0,141,216
"Yorkton--Melville/Yorkton--Melville"," 139","Melville",1,130,20,35,6,0,192,334
"Yorkton--Melville/Yorkton--Melville"," 140","Lemberg",1,164,31,35,7,1,239,326
"Yorkton--Melville/Yorkton--Melville"," 141","Neudorf",0,154,18,50,1,0,223,331
"Yorkton--Melville/Yorkton--Melville"," 142","Melville",3,92,21,39,2,1,158,339
"Yorkton--Melville/Yorkton--Melville"," 143","Melville",0,50,6,15,2,2,75,148
"Yorkton--Melville/Yorkton--Melville"," 144","Melville",1,109,23,43,1,0,177,310
"Yorkton--Melville/Yorkton--Melville"," 145","Melville",2,71,15,39,3,0,130,251
"Yorkton--Melville/Yorkton--Melville"," 146","Melville",3,43,10,29,1,0,86,171
"Yorkton--Melville/Yorkton--Melville"," 147","Melville",1,117,38,26,3,0,185,308
"Yorkton--Melville/Yorkton--Melville"," 148","Melville",4,149,47,106,7,1,314,736
"Yorkton--Melville/Yorkton--Melville"," 149","Melville",1,55,25,47,3,0,131,253
"Yorkton--Melville/Yorkton--Melville"," 150","Melville",0,99,33,48,4,1,185,320
"Yorkton--Melville/Yorkton--Melville"," 151","Melville",1,101,28,42,5,0,177,308
"Yorkton--Melville/Yorkton--Melville"," 152","Melville",0,66,13,44,0,1,124,224
"Yorkton--Melville/Yorkton--Melville"," 153","Killaly",0,106,13,22,2,0,143,222
"Yorkton--Melville/Yorkton--Melville"," 154","Grayson",3,141,28,24,8,2,206,306
"Yorkton--Melville/Yorkton--Melville"," 155","Waldron",0,71,4,21,1,0,97,164
"Yorkton--Melville/Yorkton--Melville"," 156","Dubuc",0,68,10,16,2,0,96,140
"Yorkton--Melville/Yorkton--Melville"," 157","Atwater",3,94,11,14,8,0,130,236
"Yorkton--Melville/Yorkton--Melville"," 158","Stockholm",0,103,14,16,6,0,139,203
"Yorkton--Melville/Yorkton--Melville"," 159","Stockholm",1,109,25,38,7,0,180,255
"Yorkton--Melville/Yorkton--Melville"," 160","Esterhazy",3,109,14,21,8,0,155,225
"Yorkton--Melville/Yorkton--Melville"," 161","Esterhazy",1,88,15,26,16,0,146,237
"Yorkton--Melville/Yorkton--Melville"," 162","Esterhazy",0,43,23,26,9,0,101,158
"Yorkton--Melville/Yorkton--Melville"," 163","Esterhazy",1,130,32,47,5,0,215,314
"Yorkton--Melville/Yorkton--Melville"," 164","Esterhazy",1,66,37,34,6,0,144,247
"Yorkton--Melville/Yorkton--Melville"," 165","Esterhazy",0,215,58,66,17,2,358,653
"Yorkton--Melville/Yorkton--Melville"," 166","Esterhazy",4,64,14,31,3,0,116,268
"Yorkton--Melville/Yorkton--Melville"," 167","Yarbo",0,76,24,13,6,0,119,184
"Yorkton--Melville/Yorkton--Melville"," 168","Langenburg",3,112,11,12,5,0,143,213
"Yorkton--Melville/Yorkton--Melville"," 169","Langenburg",4,117,34,33,4,0,192,299
"Yorkton--Melville/Yorkton--Melville"," 170","Langenburg",0,126,34,26,6,0,192,292
"Yorkton--Melville/Yorkton--Melville"," 171","Langenburg",1,97,44,31,6,1,180,276
"Yorkton--Melville/Yorkton--Melville"," 172","Marchwell",0,76,11,10,2,0,99,162
"Yorkton--Melville/Yorkton--Melville"," 173","Tantallon",5,110,21,30,6,0,172,313
"Yorkton--Melville/Yorkton--Melville"," 174","Spy Hill",2,129,20,24,2,0,177,289
"Yorkton--Melville/Yorkton--Melville"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
"Yorkton--Melville/Yorkton--Melville"," 600","Porcupine Plain",0,82,9,21,1,0,113,
"Yorkton--Melville/Yorkton--Melville"," 601","Hudson Bay",1,88,10,33,8,0,140,
"Yorkton--Melville/Yorkton--Melville"," 602","Kelvington",2,117,19,32,2,0,172,
"Yorkton--Melville/Yorkton--Melville"," 603","Preeceville--Sturgis",2,161,11,41,8,0,223,
"Yorkton--Melville/Yorkton--Melville"," 604","Norquay",3,96,12,6,1,0,118,
"Yorkton--Melville/Yorkton--Melville"," 605","Foam Lake",0,70,7,14,0,0,91,
"Yorkton--Melville/Yorkton--Melville"," 606","Canora",7,113,21,51,5,1,198,
"Yorkton--Melville/Yorkton--Melville"," 607","Kamsack",1,113,38,43,3,1,199,
"Yorkton--Melville/Yorkton--Melville"," 608","Springside--Yorkton",0,91,22,21,1,0,135,
"Yorkton--Melville/Yorkton--Melville"," 609","Yorkton",1,257,74,77,5,1,415,
"Yorkton--Melville/Yorkton--Melville"," 610","Yorkton",1,202,48,61,10,0,322,
"Yorkton--Melville/Yorkton--Melville"," 611","Langenburg",1,68,9,8,4,0,90,
"Yorkton--Melville/Yorkton--Melville"," 612","Melville",0,62,7,16,1,0,86,
"Yorkton--Melville/Yorkton--Melville"," 613","Melville",1,213,64,113,6,2,399,
"Yorkton--Melville/Yorkton--Melville"," 614","Esterhazy",1,181,55,31,6,0,274,
"Yorkton--Melville/Yorkton--Melville"," 615","Langenburg",0,53,6,11,2,0,72,
"Yorkton--Melville/Yorkton--Melville",,Group 1/Groupe 1,1,23,37,19,6,0,86,155
"Yorkton--Melville/Yorkton--Melville",,Group 2/Groupe 2,4,559,143,147,7,16,876,
