Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Gadzala,Michael Gaffney,Laurel Gibbons,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nepean--Carleton/Nepean--Carleton"," 44","Nepean",7,63,43,94,0,207,337
"Nepean--Carleton/Nepean--Carleton"," 45","Nepean",8,38,33,51,0,130,230
"Nepean--Carleton/Nepean--Carleton"," 46","Nepean",9,47,58,79,0,193,392
"Nepean--Carleton/Nepean--Carleton"," 47","Nepean",20,74,53,104,1,252,408
"Nepean--Carleton/Nepean--Carleton"," 48","Nepean",21,58,39,133,4,255,365
"Nepean--Carleton/Nepean--Carleton"," 49","Nepean",18,58,31,163,0,270,373
"Nepean--Carleton/Nepean--Carleton"," 50","Nepean",9,68,27,155,0,259,433
"Nepean--Carleton/Nepean--Carleton"," 51","Nepean",11,37,22,50,1,121,332
"Nepean--Carleton/Nepean--Carleton"," 52","Nepean",17,66,34,87,1,205,413
"Nepean--Carleton/Nepean--Carleton"," 53","Nepean",22,87,38,103,1,251,407
"Nepean--Carleton/Nepean--Carleton"," 54","Nepean",18,62,44,109,1,234,389
"Nepean--Carleton/Nepean--Carleton"," 55","Nepean",24,78,54,123,0,279,444
"Nepean--Carleton/Nepean--Carleton"," 56","Nepean",9,67,36,61,0,173,321
"Nepean--Carleton/Nepean--Carleton"," 57","Nepean",11,62,38,77,0,188,324
"Nepean--Carleton/Nepean--Carleton"," 58","Nepean",15,120,25,107,1,268,475
"Nepean--Carleton/Nepean--Carleton"," 59","Nepean",15,56,48,113,1,233,342
"Nepean--Carleton/Nepean--Carleton"," 60","Nepean",22,73,51,86,2,234,350
"Nepean--Carleton/Nepean--Carleton"," 61","Nepean",21,47,32,91,0,191,331
"Nepean--Carleton/Nepean--Carleton"," 62","Nepean",4,19,7,52,0,82,151
"Nepean--Carleton/Nepean--Carleton"," 63","Nepean",21,70,26,116,0,233,354
"Nepean--Carleton/Nepean--Carleton"," 64","Nepean",12,80,43,139,0,274,406
"Nepean--Carleton/Nepean--Carleton"," 65","Nepean",17,94,29,145,2,287,407
"Nepean--Carleton/Nepean--Carleton"," 66","Nepean",15,88,19,155,0,277,420
"Nepean--Carleton/Nepean--Carleton"," 67","Nepean",17,134,26,113,0,290,443
"Nepean--Carleton/Nepean--Carleton"," 68A","Nepean",11,42,15,107,0,175,320
"Nepean--Carleton/Nepean--Carleton"," 68B","Mobile poll/Bureau itinérant",3,40,24,60,3,130,114
"Nepean--Carleton/Nepean--Carleton"," 69A","Nepean",24,126,50,143,3,346,555
"Nepean--Carleton/Nepean--Carleton"," 69B","Nepean",13,116,48,144,0,321,557
"Nepean--Carleton/Nepean--Carleton"," 69C","Nepean",14,122,37,142,0,315,552
"Nepean--Carleton/Nepean--Carleton"," 70A","Nepean",11,109,35,145,1,301,586
"Nepean--Carleton/Nepean--Carleton"," 70B","Nepean",16,101,53,129,1,300,595
"Nepean--Carleton/Nepean--Carleton"," 71A","Nepean",6,106,36,134,2,284,510
"Nepean--Carleton/Nepean--Carleton"," 71B","Nepean",7,152,42,126,2,329,558
"Nepean--Carleton/Nepean--Carleton"," 72","Nepean",8,91,46,114,0,259,413
"Nepean--Carleton/Nepean--Carleton"," 73","Nepean",18,52,32,133,0,235,419
"Nepean--Carleton/Nepean--Carleton"," 74","Nepean",16,89,31,150,0,286,467
"Nepean--Carleton/Nepean--Carleton"," 75","Nepean",10,58,34,95,0,197,329
"Nepean--Carleton/Nepean--Carleton"," 76","Nepean",Void/Supprimé,,,,,,
"Nepean--Carleton/Nepean--Carleton"," 77","Nepean",9,84,38,149,2,282,478
"Nepean--Carleton/Nepean--Carleton"," 78","Nepean",9,101,29,140,0,279,475
"Nepean--Carleton/Nepean--Carleton"," 79","Nepean",12,107,38,146,2,305,456
"Nepean--Carleton/Nepean--Carleton"," 80","Nepean",10,93,41,156,0,300,452
"Nepean--Carleton/Nepean--Carleton"," 81","Nepean",13,96,37,156,1,303,449
"Nepean--Carleton/Nepean--Carleton"," 82","Nepean",13,154,32,157,2,358,564
"Nepean--Carleton/Nepean--Carleton"," 83","Nepean",17,113,46,130,2,308,471
"Nepean--Carleton/Nepean--Carleton"," 84","Nepean",25,102,67,207,1,402,622
"Nepean--Carleton/Nepean--Carleton"," 85A","Nepean",16,149,54,161,1,381,659
"Nepean--Carleton/Nepean--Carleton"," 85B","Nepean",12,130,52,166,0,360,647
"Nepean--Carleton/Nepean--Carleton"," 85C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,78
"Nepean--Carleton/Nepean--Carleton"," 86","Nepean",34,103,10,180,3,330,551
"Nepean--Carleton/Nepean--Carleton"," 87","Nepean",12,98,22,110,1,243,398
"Nepean--Carleton/Nepean--Carleton"," 88A","Nepean",12,127,46,174,1,360,555
"Nepean--Carleton/Nepean--Carleton"," 88B","Nepean",14,142,46,178,1,381,574
"Nepean--Carleton/Nepean--Carleton"," 89A","Nepean",16,114,26,130,0,286,440
"Nepean--Carleton/Nepean--Carleton"," 89B","Nepean",13,115,32,168,2,330,484
"Nepean--Carleton/Nepean--Carleton"," 90","Nepean",9,84,23,115,1,232,381
"Nepean--Carleton/Nepean--Carleton"," 91","Nepean",21,173,39,231,1,465,709
"Nepean--Carleton/Nepean--Carleton"," 92","Nepean",12,106,31,189,0,338,578
"Nepean--Carleton/Nepean--Carleton"," 93A","Nepean",19,181,46,248,0,494,761
"Nepean--Carleton/Nepean--Carleton"," 93B","Nepean",15,163,46,185,0,409,674
"Nepean--Carleton/Nepean--Carleton"," 94","Nepean",19,121,33,148,1,322,508
"Nepean--Carleton/Nepean--Carleton"," 95","Nepean",11,91,26,132,3,263,413
"Nepean--Carleton/Nepean--Carleton"," 96","Nepean",17,108,36,191,0,352,575
"Nepean--Carleton/Nepean--Carleton"," 97","Nepean",16,119,28,156,0,319,478
"Nepean--Carleton/Nepean--Carleton"," 98","Nepean",25,111,47,165,2,350,538
"Nepean--Carleton/Nepean--Carleton"," 99","Nepean",15,63,26,112,2,218,359
"Nepean--Carleton/Nepean--Carleton"," 100","Nepean",10,87,13,87,0,197,332
"Nepean--Carleton/Nepean--Carleton"," 101","Nepean",12,122,31,158,1,324,585
"Nepean--Carleton/Nepean--Carleton"," 102","Nepean",25,96,53,147,5,326,465
"Nepean--Carleton/Nepean--Carleton"," 103","Nepean",15,76,38,135,1,265,409
"Nepean--Carleton/Nepean--Carleton"," 104","Nepean",8,65,27,123,0,223,397
"Nepean--Carleton/Nepean--Carleton"," 105","Nepean",8,84,29,119,2,242,394
"Nepean--Carleton/Nepean--Carleton"," 106","Nepean",17,81,38,144,0,280,454
"Nepean--Carleton/Nepean--Carleton"," 107","Nepean",22,77,28,122,0,249,409
"Nepean--Carleton/Nepean--Carleton"," 108","Nepean",20,72,25,124,1,242,402
"Nepean--Carleton/Nepean--Carleton"," 109","Nepean",13,40,34,100,0,187,321
"Nepean--Carleton/Nepean--Carleton"," 110","Nepean",13,74,48,93,0,228,409
"Nepean--Carleton/Nepean--Carleton"," 111","Nepean",21,62,35,122,0,240,395
"Nepean--Carleton/Nepean--Carleton"," 112","Nepean",11,67,48,114,0,240,416
"Nepean--Carleton/Nepean--Carleton"," 113","Nepean",13,69,42,117,0,241,414
"Nepean--Carleton/Nepean--Carleton"," 114","Nepean",27,75,48,135,3,288,486
"Nepean--Carleton/Nepean--Carleton"," 115","Nepean",21,51,29,106,1,208,356
"Nepean--Carleton/Nepean--Carleton"," 116","Nepean",14,67,51,149,1,282,436
"Nepean--Carleton/Nepean--Carleton"," 117","Nepean",11,67,23,125,2,228,406
"Nepean--Carleton/Nepean--Carleton"," 118","Nepean",23,69,44,155,1,292,463
"Nepean--Carleton/Nepean--Carleton"," 119","Nepean",13,126,34,181,0,354,498
"Nepean--Carleton/Nepean--Carleton"," 120","Nepean",16,65,29,112,0,222,313
"Nepean--Carleton/Nepean--Carleton"," 121","Nepean",15,73,23,122,0,233,344
"Nepean--Carleton/Nepean--Carleton"," 122","Nepean",21,87,47,144,0,299,458
"Nepean--Carleton/Nepean--Carleton"," 123","Nepean",14,127,40,172,1,354,525
"Nepean--Carleton/Nepean--Carleton"," 124","Nepean",13,48,25,90,0,176,261
"Nepean--Carleton/Nepean--Carleton"," 125","Nepean",12,87,37,168,0,304,439
"Nepean--Carleton/Nepean--Carleton"," 126","Nepean",20,98,25,127,1,271,399
"Nepean--Carleton/Nepean--Carleton"," 127","Nepean",12,69,39,103,0,223,343
"Nepean--Carleton/Nepean--Carleton"," 128","Nepean",18,116,36,140,0,310,452
"Nepean--Carleton/Nepean--Carleton"," 129","Nepean",14,99,25,112,0,250,376
"Nepean--Carleton/Nepean--Carleton"," 130","Nepean",15,57,37,107,1,217,394
"Nepean--Carleton/Nepean--Carleton"," 131","Nepean",12,78,35,137,1,263,441
"Nepean--Carleton/Nepean--Carleton"," 132","Nepean",7,44,21,72,0,144,232
"Nepean--Carleton/Nepean--Carleton"," 133","Nepean",11,45,40,140,0,236,413
"Nepean--Carleton/Nepean--Carleton"," 134","Nepean",8,33,24,165,0,230,343
"Nepean--Carleton/Nepean--Carleton"," 135","Nepean",22,113,31,209,0,375,637
"Nepean--Carleton/Nepean--Carleton"," 136","Nepean",26,64,32,127,0,249,539
"Nepean--Carleton/Nepean--Carleton"," 137A","Nepean",15,166,42,249,0,472,738
"Nepean--Carleton/Nepean--Carleton"," 137B","Nepean",19,156,40,234,1,450,717
"Nepean--Carleton/Nepean--Carleton"," 138","Gloucester",8,64,32,92,0,196,199
"Nepean--Carleton/Nepean--Carleton"," 139","Gloucester",Merged with No. 138/Fusionné avec le nº 138,,,,,,168
"Nepean--Carleton/Nepean--Carleton"," 140A","Gloucester",21,101,41,151,0,314,423
"Nepean--Carleton/Nepean--Carleton"," 140B","Gloucester",15,111,33,169,1,329,458
"Nepean--Carleton/Nepean--Carleton"," 141A","Gloucester",18,127,40,162,0,347,468
"Nepean--Carleton/Nepean--Carleton"," 141B","Gloucester",15,99,47,168,2,331,446
"Nepean--Carleton/Nepean--Carleton"," 142A","Gloucester",10,89,28,171,1,299,403
"Nepean--Carleton/Nepean--Carleton"," 142B","Gloucester",12,83,22,159,0,276,406
"Nepean--Carleton/Nepean--Carleton"," 143","Gloucester",20,83,50,189,0,342,458
"Nepean--Carleton/Nepean--Carleton"," 144A","Gloucester",24,123,51,167,1,366,525
"Nepean--Carleton/Nepean--Carleton"," 144B","Gloucester",20,110,37,207,1,375,550
"Nepean--Carleton/Nepean--Carleton"," 145","Gloucester",11,75,21,113,0,220,350
"Nepean--Carleton/Nepean--Carleton"," 146","Gloucester",10,33,25,140,0,208,362
"Nepean--Carleton/Nepean--Carleton"," 147A","Osgoode",16,64,20,125,0,225,396
"Nepean--Carleton/Nepean--Carleton"," 147B","Osgoode",19,72,17,128,0,236,428
"Nepean--Carleton/Nepean--Carleton"," 148","Osgoode",30,109,52,257,1,449,776
"Nepean--Carleton/Nepean--Carleton"," 149","Osgoode",22,75,34,213,0,344,507
"Nepean--Carleton/Nepean--Carleton"," 150","Osgoode",9,94,23,179,1,306,593
"Nepean--Carleton/Nepean--Carleton"," 151","Osgoode",10,40,20,98,0,168,298
"Nepean--Carleton/Nepean--Carleton"," 152A","Gloucester",10,130,49,174,1,364,603
"Nepean--Carleton/Nepean--Carleton"," 152B","Gloucester",16,126,47,184,2,375,584
"Nepean--Carleton/Nepean--Carleton"," 153","Osgoode",7,62,29,173,2,273,455
"Nepean--Carleton/Nepean--Carleton"," 154","Gloucester",18,49,36,147,1,251,480
"Nepean--Carleton/Nepean--Carleton"," 155","Gloucester",12,59,25,110,2,208,363
"Nepean--Carleton/Nepean--Carleton"," 156","Gloucester",Merged with No. 155/Fusionné avec le nº 155,,,,,,23
"Nepean--Carleton/Nepean--Carleton"," 157A","Gloucester",10,39,23,86,0,158,256
"Nepean--Carleton/Nepean--Carleton"," 157B","Mobile poll/Bureau itinérant",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,50
"Nepean--Carleton/Nepean--Carleton"," 158","Gloucester",20,90,40,174,1,325,482
"Nepean--Carleton/Nepean--Carleton"," 159","Gloucester",4,52,26,93,1,176,281
"Nepean--Carleton/Nepean--Carleton"," 160","Osgoode",11,56,20,140,1,228,349
"Nepean--Carleton/Nepean--Carleton"," 161","Osgoode",16,84,35,169,0,304,469
"Nepean--Carleton/Nepean--Carleton"," 162A","Osgoode",13,61,40,198,0,312,512
"Nepean--Carleton/Nepean--Carleton"," 162B","Mobile poll/Bureau itinérant",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,41
"Nepean--Carleton/Nepean--Carleton"," 163","Osgoode",18,50,51,181,0,300,438
"Nepean--Carleton/Nepean--Carleton"," 164","Osgoode",14,51,28,138,0,231,371
"Nepean--Carleton/Nepean--Carleton"," 165","Osgoode",23,76,38,230,0,367,554
"Nepean--Carleton/Nepean--Carleton"," 166","Osgoode",16,24,29,130,0,199,351
"Nepean--Carleton/Nepean--Carleton"," 167","Osgoode",10,35,25,134,0,204,404
"Nepean--Carleton/Nepean--Carleton"," 168","Osgoode",14,43,13,114,1,185,330
"Nepean--Carleton/Nepean--Carleton"," 169","Osgoode",26,95,32,220,0,373,548
"Nepean--Carleton/Nepean--Carleton"," 170","Osgoode",18,88,45,186,0,337,605
"Nepean--Carleton/Nepean--Carleton"," 171","Osgoode",9,40,13,83,0,145,256
"Nepean--Carleton/Nepean--Carleton"," 172","Osgoode",12,27,24,91,1,155,265
"Nepean--Carleton/Nepean--Carleton"," 173","Osgoode",27,85,32,205,1,350,556
"Nepean--Carleton/Nepean--Carleton"," 174","Osgoode",22,50,41,212,0,325,547
"Nepean--Carleton/Nepean--Carleton"," 175","Osgoode",10,40,23,144,0,217,354
"Nepean--Carleton/Nepean--Carleton"," 176","Osgoode",16,56,34,243,0,349,473
"Nepean--Carleton/Nepean--Carleton"," 177A","Osgoode",18,55,31,150,1,255,329
"Nepean--Carleton/Nepean--Carleton"," 177B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,25
"Nepean--Carleton/Nepean--Carleton"," 178A","Osgoode",16,81,42,301,0,440,610
"Nepean--Carleton/Nepean--Carleton"," 178B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,56
"Nepean--Carleton/Nepean--Carleton"," 179","Osgoode",22,73,33,202,1,331,494
"Nepean--Carleton/Nepean--Carleton"," 180","Osgoode",20,47,31,199,0,297,413
"Nepean--Carleton/Nepean--Carleton"," 181","Osgoode",32,73,39,244,3,391,641
"Nepean--Carleton/Nepean--Carleton"," 182","Osgoode",14,64,52,187,0,317,559
"Nepean--Carleton/Nepean--Carleton"," 183","Osgoode",19,56,47,226,1,349,470
"Nepean--Carleton/Nepean--Carleton"," 184","Rideau",35,64,16,171,0,286,516
"Nepean--Carleton/Nepean--Carleton"," 185","Rideau",28,60,22,150,0,260,423
"Nepean--Carleton/Nepean--Carleton"," 186","Rideau",37,67,27,128,0,259,458
"Nepean--Carleton/Nepean--Carleton"," 187","Rideau",25,61,20,124,0,230,443
"Nepean--Carleton/Nepean--Carleton"," 188","Rideau",17,52,29,122,1,221,375
"Nepean--Carleton/Nepean--Carleton"," 189","Rideau",26,61,28,184,0,299,503
"Nepean--Carleton/Nepean--Carleton"," 190","Rideau",28,123,30,258,2,441,728
"Nepean--Carleton/Nepean--Carleton"," 191","Rideau",21,26,19,116,1,183,318
"Nepean--Carleton/Nepean--Carleton"," 192","Rideau",16,40,22,141,0,219,371
"Nepean--Carleton/Nepean--Carleton"," 193","Rideau",10,36,28,104,0,178,269
"Nepean--Carleton/Nepean--Carleton"," 194","Rideau",18,62,24,135,1,240,397
"Nepean--Carleton/Nepean--Carleton"," 195","Rideau",11,44,12,111,1,179,270
"Nepean--Carleton/Nepean--Carleton"," 196","Rideau",43,65,36,151,2,297,426
"Nepean--Carleton/Nepean--Carleton"," 197","Rideau",15,38,25,149,0,227,346
"Nepean--Carleton/Nepean--Carleton"," 198","Rideau",14,21,17,155,0,207,368
"Nepean--Carleton/Nepean--Carleton"," 199","Rideau",12,40,37,144,0,233,384
"Nepean--Carleton/Nepean--Carleton"," 200","Rideau",12,45,43,206,0,306,453
"Nepean--Carleton/Nepean--Carleton"," 201","Rideau",19,58,51,248,2,378,592
"Nepean--Carleton/Nepean--Carleton"," 202","Rideau",28,57,36,199,0,320,436
"Nepean--Carleton/Nepean--Carleton"," 203","Rideau",23,55,36,172,0,286,448
"Nepean--Carleton/Nepean--Carleton"," 204","Rideau",33,65,38,222,0,358,521
"Nepean--Carleton/Nepean--Carleton"," 205","Rideau",20,36,23,127,3,209,313
"Nepean--Carleton/Nepean--Carleton"," 206","Rideau",5,29,23,147,0,204,337
"Nepean--Carleton/Nepean--Carleton"," 500","Mobile poll/Bureau itinérant",4,31,13,64,3,115,100
"Nepean--Carleton/Nepean--Carleton"," 501","Mobile poll/Bureau itinérant",8,45,21,71,4,149,54
"Nepean--Carleton/Nepean--Carleton"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Nepean--Carleton/Nepean--Carleton"," 600","Nepean--Bells Corners",44,214,58,669,9,994,
"Nepean--Carleton/Nepean--Carleton"," 601","Nepean",34,287,104,671,4,1100,
"Nepean--Carleton/Nepean--Carleton"," 602","Nepean",37,270,67,631,2,1007,
"Nepean--Carleton/Nepean--Carleton"," 603","Nepean--Chapman Mills",36,317,105,757,1,1216,
"Nepean--Carleton/Nepean--Carleton"," 604","Nepean--Barrhaven",52,287,83,869,7,1298,
"Nepean--Carleton/Nepean--Carleton"," 605","Nepean--Barrhaven",44,233,53,649,1,980,
"Nepean--Carleton/Nepean--Carleton"," 606","Nepean--Longfields",24,226,50,487,2,789,
"Nepean--Carleton/Nepean--Carleton"," 607","Gloucester South",19,162,40,477,0,698,
"Nepean--Carleton/Nepean--Carleton"," 608","Osgoode--Greely",40,181,61,866,1,1149,
"Nepean--Carleton/Nepean--Carleton"," 609","Osgoode--Metcalfe",30,111,45,491,0,677,
"Nepean--Carleton/Nepean--Carleton"," 610","Osgoode--Rideau",52,255,67,709,1,1084,
"Nepean--Carleton/Nepean--Carleton"," 611","Rideau--North Gower",23,71,40,466,0,600,
"Nepean--Carleton/Nepean--Carleton",,Group 1/Groupe 1,13,106,21,164,2,306,624
"Nepean--Carleton/Nepean--Carleton",,Group 2/Groupe 2,59,459,91,1095,26,1730,
