Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Clements,Richard Alan Hennick,Eugene McDermott,Yasmin Ratansi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Don Valley East/Don Valley-Est"," 24","North York",11,36,70,138,1,256,512
"Don Valley East/Don Valley-Est"," 25","North York",7,24,69,145,0,245,442
"Don Valley East/Don Valley-Est"," 26","North York",2,28,58,118,0,206,391
"Don Valley East/Don Valley-Est"," 27","North York",5,17,44,86,0,152,349
"Don Valley East/Don Valley-Est"," 28","North York",6,15,40,77,4,142,346
"Don Valley East/Don Valley-Est"," 29","North York",9,28,48,154,2,241,400
"Don Valley East/Don Valley-Est"," 30","North York",6,22,59,135,1,223,399
"Don Valley East/Don Valley-Est"," 31","North York",8,31,44,126,5,214,362
"Don Valley East/Don Valley-Est"," 32","North York",7,23,57,199,2,288,458
"Don Valley East/Don Valley-Est"," 33","North York",4,33,49,104,2,192,359
"Don Valley East/Don Valley-Est"," 34","North York",5,33,40,122,1,201,378
"Don Valley East/Don Valley-Est"," 35","North York",7,20,90,129,0,246,405
"Don Valley East/Don Valley-Est"," 36","North York",5,27,44,92,0,168,320
"Don Valley East/Don Valley-Est"," 37","North York",1,20,38,39,2,100,211
"Don Valley East/Don Valley-Est"," 38","North York",3,26,28,105,0,162,370
"Don Valley East/Don Valley-Est"," 39","North York",6,38,36,115,0,195,392
"Don Valley East/Don Valley-Est"," 40","North York",4,13,32,82,0,131,263
"Don Valley East/Don Valley-Est"," 41","North York",18,54,93,162,2,329,560
"Don Valley East/Don Valley-Est"," 42","North York",4,14,45,104,2,169,339
"Don Valley East/Don Valley-Est"," 43","North York",6,28,44,101,2,181,165
"Don Valley East/Don Valley-Est"," 44","North York",6,34,52,74,0,166,210
"Don Valley East/Don Valley-Est"," 44-1A","North York",10,42,49,115,0,216,397
"Don Valley East/Don Valley-Est"," 44-1B","North York",Merged with No. 44/Fusionné avec le nº 44,,,,,,166
"Don Valley East/Don Valley-Est"," 45","North York",3,22,18,58,0,101,218
"Don Valley East/Don Valley-Est"," 46","North York",4,15,42,84,0,145,258
"Don Valley East/Don Valley-Est"," 47","North York",7,19,96,108,1,231,353
"Don Valley East/Don Valley-Est"," 48","North York",8,30,57,122,0,217,408
"Don Valley East/Don Valley-Est"," 49","North York",12,23,72,125,1,233,379
"Don Valley East/Don Valley-Est"," 50","North York",14,33,56,127,0,230,420
"Don Valley East/Don Valley-Est"," 51","North York",3,11,42,67,0,123,193
"Don Valley East/Don Valley-Est"," 52","North York",8,13,101,94,1,217,350
"Don Valley East/Don Valley-Est"," 53","North York",11,13,74,112,1,211,364
"Don Valley East/Don Valley-Est"," 54","North York",18,35,102,131,1,287,519
"Don Valley East/Don Valley-Est"," 55","North York",10,16,93,103,0,222,367
"Don Valley East/Don Valley-Est"," 56","North York",8,36,60,116,2,222,472
"Don Valley East/Don Valley-Est"," 57","North York",11,41,56,95,0,203,493
"Don Valley East/Don Valley-Est"," 58","North York",8,36,54,92,1,191,395
"Don Valley East/Don Valley-Est"," 59","North York",12,50,48,118,0,228,367
"Don Valley East/Don Valley-Est"," 60","North York",3,23,28,59,1,114,195
"Don Valley East/Don Valley-Est"," 61","North York",8,40,48,81,0,177,376
"Don Valley East/Don Valley-Est"," 62","North York",8,30,46,149,0,233,410
"Don Valley East/Don Valley-Est"," 63","North York",5,35,82,154,0,276,426
"Don Valley East/Don Valley-Est"," 64","North York",8,24,67,157,0,256,392
"Don Valley East/Don Valley-Est"," 65","North York",11,17,79,143,0,250,382
"Don Valley East/Don Valley-Est"," 66","North York",11,32,68,112,2,225,335
"Don Valley East/Don Valley-Est"," 67","North York",5,35,69,125,0,234,394
"Don Valley East/Don Valley-Est"," 68","North York",3,35,48,130,5,221,348
"Don Valley East/Don Valley-Est"," 69","North York",13,19,80,157,1,270,451
"Don Valley East/Don Valley-Est"," 70","North York",11,39,77,155,0,282,459
"Don Valley East/Don Valley-Est"," 71","North York",20,36,102,171,4,333,525
"Don Valley East/Don Valley-Est"," 72","North York",6,19,63,102,0,190,321
"Don Valley East/Don Valley-Est"," 73","North York",7,37,87,145,1,277,482
"Don Valley East/Don Valley-Est"," 74","North York",10,45,36,135,0,226,344
"Don Valley East/Don Valley-Est"," 75","North York",14,31,41,135,1,222,352
"Don Valley East/Don Valley-Est"," 76","North York",Void/Supprimé,,,,,,
"Don Valley East/Don Valley-Est"," 77","North York",Void/Supprimé,,,,,,
"Don Valley East/Don Valley-Est"," 78","North York",Void/Supprimé,,,,,,
"Don Valley East/Don Valley-Est"," 79","North York",4,22,48,128,0,202,388
"Don Valley East/Don Valley-Est"," 80","North York",11,17,104,120,0,252,422
"Don Valley East/Don Valley-Est"," 81","North York",11,29,82,110,1,233,383
"Don Valley East/Don Valley-Est"," 82","North York",14,24,100,105,2,245,417
"Don Valley East/Don Valley-Est"," 83","North York",23,26,92,151,2,294,406
"Don Valley East/Don Valley-Est"," 84","North York",23,26,110,115,0,274,384
"Don Valley East/Don Valley-Est"," 85","North York",15,25,73,98,0,211,367
"Don Valley East/Don Valley-Est"," 86","North York",18,29,83,134,1,265,487
"Don Valley East/Don Valley-Est"," 87","North York",5,31,70,112,2,220,384
"Don Valley East/Don Valley-Est"," 88","North York",11,35,50,99,1,196,387
"Don Valley East/Don Valley-Est"," 89","North York",2,10,26,23,0,61,136
"Don Valley East/Don Valley-Est"," 90A","North York",17,56,53,133,2,261,546
"Don Valley East/Don Valley-Est"," 90B","North York",4,15,48,68,1,136,170
"Don Valley East/Don Valley-Est"," 91","North York",16,33,77,134,0,260,362
"Don Valley East/Don Valley-Est"," 92","North York",11,39,78,101,2,231,409
"Don Valley East/Don Valley-Est"," 93A","North York",12,24,88,179,0,303,529
"Don Valley East/Don Valley-Est"," 93B","North York",12,36,53,82,0,183,364
"Don Valley East/Don Valley-Est"," 94","North York",8,26,53,112,1,200,357
"Don Valley East/Don Valley-Est"," 95","North York",7,42,63,141,1,254,379
"Don Valley East/Don Valley-Est"," 96","North York",10,25,84,137,0,256,382
"Don Valley East/Don Valley-Est"," 97","North York",9,28,63,102,1,203,312
"Don Valley East/Don Valley-Est"," 98","North York",4,19,42,115,1,181,291
"Don Valley East/Don Valley-Est"," 99","North York",3,42,51,92,1,189,343
"Don Valley East/Don Valley-Est"," 100","North York",15,46,118,161,1,341,565
"Don Valley East/Don Valley-Est"," 101","North York",15,37,60,97,0,209,383
"Don Valley East/Don Valley-Est"," 102","North York",7,35,69,153,0,264,393
"Don Valley East/Don Valley-Est"," 103","North York",11,30,90,151,0,282,446
"Don Valley East/Don Valley-Est"," 104","North York",6,39,61,129,3,238,357
"Don Valley East/Don Valley-Est"," 105","North York",5,30,40,68,0,143,279
"Don Valley East/Don Valley-Est"," 106","North York",5,38,45,88,1,177,463
"Don Valley East/Don Valley-Est"," 107","North York",10,32,55,68,0,165,328
"Don Valley East/Don Valley-Est"," 108","North York",12,36,55,72,1,176,368
"Don Valley East/Don Valley-Est"," 109","North York",12,15,82,141,0,250,366
"Don Valley East/Don Valley-Est"," 110A","North York",9,45,38,70,0,162,325
"Don Valley East/Don Valley-Est"," 110B","North York",7,24,27,89,0,147,265
"Don Valley East/Don Valley-Est"," 111","North York",10,23,61,97,0,191,357
"Don Valley East/Don Valley-Est"," 112","North York",10,36,45,120,1,212,493
"Don Valley East/Don Valley-Est"," 113","North York",8,34,44,99,0,185,329
"Don Valley East/Don Valley-Est"," 114","North York",6,29,49,98,0,182,366
"Don Valley East/Don Valley-Est"," 115","North York",10,43,55,134,1,243,378
"Don Valley East/Don Valley-Est"," 116","North York",19,26,49,55,0,149,297
"Don Valley East/Don Valley-Est"," 117","North York",14,27,54,90,0,185,378
"Don Valley East/Don Valley-Est"," 118","North York",8,21,40,65,1,135,298
"Don Valley East/Don Valley-Est"," 119","North York",13,20,100,127,2,262,397
"Don Valley East/Don Valley-Est"," 120","North York",8,10,92,106,0,216,363
"Don Valley East/Don Valley-Est"," 121","North York",3,16,100,107,0,226,358
"Don Valley East/Don Valley-Est"," 122A","North York",9,30,46,87,2,174,293
"Don Valley East/Don Valley-Est"," 122B","North York",10,27,53,93,2,185,398
"Don Valley East/Don Valley-Est"," 123","North York",11,35,53,96,0,195,317
"Don Valley East/Don Valley-Est"," 124","North York",6,44,65,103,3,221,422
"Don Valley East/Don Valley-Est"," 125","North York",5,12,32,86,1,136,275
"Don Valley East/Don Valley-Est"," 126","North York",1,21,61,105,2,190,433
"Don Valley East/Don Valley-Est"," 127","North York",10,33,90,129,0,262,401
"Don Valley East/Don Valley-Est"," 128","North York",6,16,103,110,1,236,361
"Don Valley East/Don Valley-Est"," 129","North York",9,20,73,104,1,207,377
"Don Valley East/Don Valley-Est"," 130","North York",3,31,71,132,0,237,365
"Don Valley East/Don Valley-Est"," 131","North York",2,14,22,37,1,76,131
"Don Valley East/Don Valley-Est"," 132","North York",23,34,77,114,2,250,454
"Don Valley East/Don Valley-Est"," 133","North York",10,24,62,123,1,220,408
"Don Valley East/Don Valley-Est"," 134","North York",12,26,115,137,1,291,442
"Don Valley East/Don Valley-Est"," 135","North York",15,31,105,147,0,298,433
"Don Valley East/Don Valley-Est"," 136","North York",6,25,52,121,0,204,416
"Don Valley East/Don Valley-Est"," 137","North York",9,20,78,142,1,250,386
"Don Valley East/Don Valley-Est"," 138","North York",9,23,82,117,0,231,348
"Don Valley East/Don Valley-Est"," 139","North York",15,20,69,109,0,213,345
"Don Valley East/Don Valley-Est"," 140","North York",4,16,26,43,3,92,193
"Don Valley East/Don Valley-Est"," 141","North York",3,12,30,73,3,121,283
"Don Valley East/Don Valley-Est"," 142","North York",4,31,81,160,0,276,419
"Don Valley East/Don Valley-Est"," 143","North York",8,51,64,131,2,256,479
"Don Valley East/Don Valley-Est"," 144","North York",5,15,64,110,2,196,352
"Don Valley East/Don Valley-Est"," 145","North York",6,17,88,88,0,199,305
"Don Valley East/Don Valley-Est"," 146","North York",19,40,92,112,0,263,395
"Don Valley East/Don Valley-Est"," 147","North York",10,25,66,120,1,222,371
"Don Valley East/Don Valley-Est"," 148","North York",11,36,42,129,0,218,454
"Don Valley East/Don Valley-Est"," 149A","North York",8,39,56,150,0,253,377
"Don Valley East/Don Valley-Est"," 149B","North York",9,36,48,92,0,185,352
"Don Valley East/Don Valley-Est"," 150","North York",6,22,60,125,0,213,306
"Don Valley East/Don Valley-Est"," 151","North York",12,36,39,81,1,169,304
"Don Valley East/Don Valley-Est"," 152","North York",9,39,62,98,0,208,384
"Don Valley East/Don Valley-Est"," 153A","North York",6,37,51,144,1,239,353
"Don Valley East/Don Valley-Est"," 153B","North York",2,19,42,144,1,208,336
"Don Valley East/Don Valley-Est"," 154","North York",12,34,39,111,2,198,378
"Don Valley East/Don Valley-Est"," 155","North York",3,30,45,123,2,203,383
"Don Valley East/Don Valley-Est"," 156","North York",4,24,35,162,2,227,388
"Don Valley East/Don Valley-Est"," 157","North York",8,46,65,153,0,272,511
"Don Valley East/Don Valley-Est"," 400","North York",7,25,79,150,4,265,451
"Don Valley East/Don Valley-Est"," 401","North York",6,35,77,150,0,268,422
"Don Valley East/Don Valley-Est"," 402","North York",5,39,48,104,0,196,342
"Don Valley East/Don Valley-Est"," 403","North York",5,26,50,95,0,176,351
"Don Valley East/Don Valley-Est"," 404","North York",6,23,22,96,0,147,285
"Don Valley East/Don Valley-Est"," 405","North York",2,32,19,58,0,111,219
"Don Valley East/Don Valley-Est"," 406","North York",4,22,33,96,2,157,277
"Don Valley East/Don Valley-Est"," 407","North York",6,39,38,127,0,210,304
"Don Valley East/Don Valley-Est"," 408","North York",6,35,76,196,2,315,468
"Don Valley East/Don Valley-Est"," 409","North York",1,29,39,67,0,136,248
"Don Valley East/Don Valley-Est"," 410","North York",5,22,37,105,0,169,303
"Don Valley East/Don Valley-Est"," 411","North York",7,23,38,80,2,150,300
"Don Valley East/Don Valley-Est"," 412","North York",2,22,25,102,3,154,330
"Don Valley East/Don Valley-Est"," 413","North York",4,15,49,68,0,136,204
"Don Valley East/Don Valley-Est"," 414","North York",9,26,38,192,0,265,348
"Don Valley East/Don Valley-Est"," 415","North York",1,13,12,18,1,45,156
"Don Valley East/Don Valley-Est"," 416","North York",0,5,13,26,0,44,153
"Don Valley East/Don Valley-Est"," 417","North York",11,26,48,97,1,183,337
"Don Valley East/Don Valley-Est"," 418","North York",1,22,26,57,0,106,257
"Don Valley East/Don Valley-Est"," 419","North York",7,15,30,80,1,133,250
"Don Valley East/Don Valley-Est"," 420","North York",6,24,65,129,2,226,398
"Don Valley East/Don Valley-Est"," 421","North York",4,10,17,54,2,87,234
"Don Valley East/Don Valley-Est"," 422","North York",2,16,28,54,2,102,219
"Don Valley East/Don Valley-Est"," 423","North York",9,26,59,126,2,222,306
"Don Valley East/Don Valley-Est"," 500","Mobile poll/Bureau itinérant",5,7,19,47,3,81,240
"Don Valley East/Don Valley-Est"," 600","North York",11,29,111,174,1,326,
"Don Valley East/Don Valley-Est"," 601","North York",34,68,219,402,3,726,
"Don Valley East/Don Valley-Est"," 602","North York",19,32,231,258,1,541,
"Don Valley East/Don Valley-Est"," 603","North York",4,25,73,136,0,238,
"Don Valley East/Don Valley-Est"," 604","North York",19,62,240,248,4,573,
"Don Valley East/Don Valley-Est"," 605","North York",21,43,127,198,0,389,
"Don Valley East/Don Valley-Est"," 606","North York",43,63,305,307,0,718,
"Don Valley East/Don Valley-Est"," 607","North York",17,49,181,266,2,515,
"Don Valley East/Don Valley-Est",,Group 1/Groupe 1,9,8,25,37,3,82,135
"Don Valley East/Don Valley-Est",,Group 2/Groupe 2,25,61,216,337,9,648,
