Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Carr,Kyle Grice,Anwar Naqvi,Garth Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halton/Halton"," 86B","Milton",102,15,30,108,1,256,469
"Halton/Halton"," 86C","Milton",128,16,27,118,2,291,526
"Halton/Halton"," 86D","Milton",116,13,26,91,0,246,478
"Halton/Halton"," 86E","Milton",120,16,25,119,2,282,485
"Halton/Halton"," 87","Milton",38,13,13,83,0,147,275
"Halton/Halton"," 88","Milton",60,19,23,79,0,181,312
"Halton/Halton"," 89","Milton",74,9,24,72,1,180,340
"Halton/Halton"," 90A","Oakville",Merged with No. 100A/Fusionné avec le nº 100A,,,,,,172
"Halton/Halton"," 90B","Oakville",Merged with No. 100B/Fusionné avec le nº 100B,,,,,,158
"Halton/Halton"," 91A","Oakville",117,26,35,98,2,278,486
"Halton/Halton"," 91B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,82
"Halton/Halton"," 92","Oakville",108,7,19,88,4,226,348
"Halton/Halton"," 93","Oakville",121,7,19,70,1,218,403
"Halton/Halton"," 94","Oakville",121,9,15,99,0,244,429
"Halton/Halton"," 95","Oakville",127,16,11,74,0,228,389
"Halton/Halton"," 96","Oakville",150,16,26,88,0,280,465
"Halton/Halton"," 97","Oakville",143,15,35,45,0,238,434
"Halton/Halton"," 98","Oakville",192,9,26,105,3,335,495
"Halton/Halton"," 99A","Oakville",159,20,39,137,0,355,591
"Halton/Halton"," 99B","Mobile poll/Bureau itinérant",59,3,17,48,8,135,182
"Halton/Halton"," 100A","Oakville",128,20,30,108,2,288,344
"Halton/Halton"," 100B","Oakville",113,13,22,119,2,269,315
"Halton/Halton"," 101","Oakville",144,21,23,116,2,306,531
"Halton/Halton"," 102","Oakville",118,12,20,98,0,248,403
"Halton/Halton"," 103","Oakville",76,10,7,70,0,163,258
"Halton/Halton"," 104","Oakville",133,19,21,90,2,265,420
"Halton/Halton"," 105","Oakville",78,3,14,73,0,168,308
"Halton/Halton"," 106","Oakville",100,14,9,85,1,209,342
"Halton/Halton"," 107","Oakville",102,8,28,64,1,203,324
"Halton/Halton"," 108","Oakville",88,20,42,101,1,252,501
"Halton/Halton"," 109","Oakville",147,28,27,107,0,309,494
"Halton/Halton"," 110A","Oakville",105,14,25,120,0,264,443
"Halton/Halton"," 110B","Oakville",119,7,28,110,3,267,458
"Halton/Halton"," 110C","Oakville",158,7,27,121,1,314,513
"Halton/Halton"," 111","Oakville",111,2,11,85,0,209,371
"Halton/Halton"," 112","Oakville",132,5,29,80,0,246,387
"Halton/Halton"," 113","Oakville",106,6,9,82,0,203,329
"Halton/Halton"," 114","Oakville",Merged with No. 160/Fusionné avec le nº 160,,,,,,234
"Halton/Halton"," 115","Oakville",138,5,18,152,0,313,568
"Halton/Halton"," 116","Oakville",Merged with No. 117/Fusionné avec le nº 117,,,,,,220
"Halton/Halton"," 117","Oakville",135,11,25,128,0,299,285
"Halton/Halton"," 118A","Oakville",111,13,21,105,0,250,359
"Halton/Halton"," 118B","Oakville",103,10,10,92,2,217,340
"Halton/Halton"," 118C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,83
"Halton/Halton"," 119","Oakville",125,18,19,127,0,289,426
"Halton/Halton"," 120A","Oakville",85,5,35,75,0,200,343
"Halton/Halton"," 120B","Oakville",80,12,11,91,0,194,325
"Halton/Halton"," 121","Oakville",122,22,26,115,1,286,570
"Halton/Halton"," 122","Oakville",66,4,15,60,2,147,205
"Halton/Halton"," 123","Oakville",120,18,16,70,2,226,414
"Halton/Halton"," 124","Oakville",128,18,27,125,0,298,449
"Halton/Halton"," 125","Oakville",120,18,26,93,0,257,397
"Halton/Halton"," 126","Oakville",98,21,35,111,0,265,464
"Halton/Halton"," 127A","Oakville",86,10,17,49,0,162,318
"Halton/Halton"," 127B","Oakville",72,5,17,52,0,146,312
"Halton/Halton"," 128","Oakville",117,9,13,90,0,229,347
"Halton/Halton"," 129","Oakville",112,13,26,106,0,257,388
"Halton/Halton"," 130","Oakville",99,15,15,108,1,238,370
"Halton/Halton"," 131","Oakville",111,17,34,104,0,266,371
"Halton/Halton"," 132","Oakville",128,18,24,135,1,306,475
"Halton/Halton"," 133","Oakville",104,9,22,143,0,278,445
"Halton/Halton"," 134","Oakville",138,23,15,113,0,289,441
"Halton/Halton"," 135A","Oakville",93,10,10,81,0,194,309
"Halton/Halton"," 135B","Oakville",75,13,16,108,1,213,345
"Halton/Halton"," 136","Oakville",108,11,11,171,0,301,479
"Halton/Halton"," 137","Oakville",131,11,14,108,0,264,410
"Halton/Halton"," 138","Oakville",108,11,22,113,2,256,417
"Halton/Halton"," 139","Oakville",100,15,20,107,2,244,383
"Halton/Halton"," 140","Oakville",70,11,14,68,0,163,264
"Halton/Halton"," 141","Oakville",154,14,24,129,0,321,536
"Halton/Halton"," 142","Oakville",143,14,21,81,0,259,423
"Halton/Halton"," 143","Oakville",156,12,40,108,0,316,547
"Halton/Halton"," 144","Oakville",83,7,12,70,0,172,298
"Halton/Halton"," 145","Oakville",121,11,27,129,1,289,199
"Halton/Halton"," 146","Oakville",Merged with No. 145/Fusionné avec le nº 145,,,,,,145
"Halton/Halton"," 147","Oakville",Merged with No. 145/Fusionné avec le nº 145,,,,,,137
"Halton/Halton"," 148","Oakville",63,11,13,68,0,155,244
"Halton/Halton"," 149","Oakville",84,7,20,77,0,188,289
"Halton/Halton"," 150","Oakville",85,12,19,71,1,188,263
"Halton/Halton"," 151","Oakville",74,3,9,52,3,141,226
"Halton/Halton"," 152","Oakville",78,8,19,82,1,188,292
"Halton/Halton"," 153","Oakville",90,7,14,104,1,216,309
"Halton/Halton"," 154","Oakville",78,2,8,78,0,166,269
"Halton/Halton"," 155","Oakville",155,9,29,101,0,294,475
"Halton/Halton"," 156","Oakville",89,7,18,115,0,229,352
"Halton/Halton"," 157","Oakville",79,16,14,89,0,198,349
"Halton/Halton"," 158","Oakville",100,12,10,68,0,190,317
"Halton/Halton"," 159","Oakville",89,3,16,58,0,166,321
"Halton/Halton"," 160","Oakville",130,10,10,93,1,244,244
"Halton/Halton"," 161","Oakville",100,5,18,87,0,210,341
"Halton/Halton"," 162","Oakville",113,9,18,70,1,211,396
"Halton/Halton"," 163A","Oakville",155,19,25,126,1,326,565
"Halton/Halton"," 163B","Oakville",122,17,25,150,1,315,526
"Halton/Halton"," 164","Oakville",97,11,27,112,2,249,404
"Halton/Halton"," 165","Oakville",103,9,15,98,1,226,367
"Halton/Halton"," 166","Burlington",52,12,11,85,0,160,254
"Halton/Halton"," 167","Burlington",85,22,17,146,1,271,389
"Halton/Halton"," 168","Burlington",100,16,27,135,2,280,438
"Halton/Halton"," 169","Burlington",79,27,19,142,0,267,366
"Halton/Halton"," 170","Burlington",72,22,18,115,0,227,387
"Halton/Halton"," 171","Burlington",101,21,28,149,2,301,542
"Halton/Halton"," 172","Burlington",69,10,18,105,0,202,374
"Halton/Halton"," 173","Burlington",107,6,9,125,0,247,447
"Halton/Halton"," 174","Burlington",130,8,5,119,0,262,447
"Halton/Halton"," 175","Burlington",95,4,10,99,0,208,338
"Halton/Halton"," 176","Burlington",89,6,13,122,1,231,401
"Halton/Halton"," 177","Burlington",89,9,8,125,1,232,389
"Halton/Halton"," 178","Burlington",82,5,8,121,2,218,374
"Halton/Halton"," 179","Burlington",116,7,15,167,0,305,503
"Halton/Halton"," 180","Burlington",142,9,11,181,0,343,582
"Halton/Halton"," 181","Burlington",102,10,7,169,2,290,460
"Halton/Halton"," 182","Burlington",99,9,12,134,3,257,442
"Halton/Halton"," 183","Burlington",148,14,19,162,1,344,555
"Halton/Halton"," 184A","Burlington",66,11,24,124,1,226,377
"Halton/Halton"," 184B","Burlington",72,5,22,107,0,206,390
"Halton/Halton"," 185","Burlington",81,10,28,96,0,215,381
"Halton/Halton"," 186A","Burlington",83,11,31,77,1,203,381
"Halton/Halton"," 186B","Burlington",73,10,12,82,0,177,345
"Halton/Halton"," 187","Burlington",134,12,31,159,0,336,497
"Halton/Halton"," 188","Burlington",104,5,20,85,1,215,362
"Halton/Halton"," 189","Burlington",110,13,20,129,2,274,440
"Halton/Halton"," 190","Burlington",125,17,38,143,0,323,371
"Halton/Halton"," 191","Burlington",Merged with No. 190/Fusionné avec le nº 190,,,,,,203
"Halton/Halton"," 192","Burlington",158,18,23,148,2,349,546
"Halton/Halton"," 193","Burlington",112,16,31,148,0,307,523
"Halton/Halton"," 194","Burlington",76,5,14,68,2,165,349
"Halton/Halton"," 195","Burlington",117,14,22,169,3,325,294
"Halton/Halton"," 196","Burlington",78,12,31,103,0,224,321
"Halton/Halton"," 197","Burlington",Merged with No. 195/Fusionné avec le nº 195,,,,,,164
"Halton/Halton"," 198","Burlington",127,13,32,139,1,312,249
"Halton/Halton"," 199","Burlington",90,12,19,112,0,233,333
"Halton/Halton"," 200","Burlington",Merged with No. 198/Fusionné avec le nº 198,,,,,,197
"Halton/Halton"," 201A","Burlington",124,15,24,99,0,262,374
"Halton/Halton"," 201B","Burlington",75,11,20,136,0,242,375
"Halton/Halton"," 202A","Burlington",94,12,30,80,1,217,345
"Halton/Halton"," 202B","Burlington",73,9,17,107,0,206,330
"Halton/Halton"," 203","Burlington",140,6,27,142,2,317,523
"Halton/Halton"," 204A","Burlington",105,10,29,105,2,251,423
"Halton/Halton"," 204B","Burlington",150,7,16,132,0,305,489
"Halton/Halton"," 204C","Burlington",150,12,23,107,0,292,462
"Halton/Halton"," 205","Burlington",104,9,37,105,3,258,212
"Halton/Halton"," 206","Burlington",Merged with No. 205/Fusionné avec le nº 205,,,,,,210
"Halton/Halton"," 207","Burlington",113,19,24,116,1,273,246
"Halton/Halton"," 208","Burlington",Merged with No. 207/Fusionné avec le nº 207,,,,,,208
"Halton/Halton"," 209","Burlington",153,22,27,142,3,347,566
"Halton/Halton"," 210","Burlington",123,17,50,128,0,318,548
"Halton/Halton"," 211","Burlington",72,9,14,75,0,170,276
"Halton/Halton"," 212A","Burlington",78,17,26,69,2,192,329
"Halton/Halton"," 212B","Mobile poll/Bureau itinérant",Merged with No. 99B/Fusionné avec le nº 99B,,,,,,119
"Halton/Halton"," 213","Burlington",94,27,19,103,1,244,461
"Halton/Halton"," 214","Burlington",117,11,26,105,0,259,444
"Halton/Halton"," 215","Burlington",120,8,16,142,2,288,443
"Halton/Halton"," 216","Burlington",110,12,22,109,0,253,418
"Halton/Halton"," 217","Burlington",68,16,44,68,0,196,364
"Halton/Halton"," 218","Burlington",53,9,19,72,2,155,289
"Halton/Halton"," 219A","Burlington",75,10,17,79,1,182,266
"Halton/Halton"," 219B","Burlington",66,6,15,84,0,171,294
"Halton/Halton"," 220","Burlington",132,7,22,104,0,265,444
"Halton/Halton"," 221","Burlington",117,17,28,112,1,275,425
"Halton/Halton"," 222","Burlington",114,14,25,116,3,272,427
"Halton/Halton"," 223","Burlington",138,15,24,104,0,281,437
"Halton/Halton"," 224","Burlington",115,14,32,114,3,278,441
"Halton/Halton"," 225","Burlington",57,4,21,82,0,164,265
"Halton/Halton"," 226","Burlington",135,15,15,111,3,279,417
"Halton/Halton"," 227","Burlington",123,12,28,106,0,269,449
"Halton/Halton"," 228","Burlington",116,28,38,122,3,307,540
"Halton/Halton"," 229","Burlington",125,22,31,140,0,318,503
"Halton/Halton"," 230","Burlington",136,9,25,164,0,334,508
"Halton/Halton"," 231","Burlington",Void/Supprimé,,,,,,
"Halton/Halton"," 232A","Burlington",Merged with No. 233A/Fusionné avec le nº 233A,,,,,,48
"Halton/Halton"," 232B","Burlington",Merged with No. 233B/Fusionné avec le nº 233B,,,,,,61
"Halton/Halton"," 233A","Burlington",66,9,21,70,1,167,284
"Halton/Halton"," 233B","Burlington",88,19,21,68,2,198,299
"Halton/Halton"," 234A","Burlington",Merged with No. 233A/Fusionné avec le nº 233A,,,,,,29
"Halton/Halton"," 234B","Burlington",Merged with No. 233B/Fusionné avec le nº 233B,,,,,,42
"Halton/Halton"," 235A","Burlington",151,11,40,161,0,363,622
"Halton/Halton"," 235B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,81
"Halton/Halton"," 236","Burlington",120,15,29,131,3,298,472
"Halton/Halton"," 237","Burlington",61,12,31,58,1,163,307
"Halton/Halton"," 500","Mobile poll/Bureau itinérant",68,9,15,89,5,186,225
"Halton/Halton"," 501","Mobile poll/Bureau itinérant",52,3,12,52,1,120,216
"Halton/Halton"," 600","Campbellville",201,46,41,399,2,689,
"Halton/Halton"," 601","Milton",161,28,35,229,1,454,
"Halton/Halton"," 602","Milton",135,22,33,156,2,348,
"Halton/Halton"," 603","Milton",241,40,66,306,3,656,
"Halton/Halton"," 604","Milton",217,30,43,335,2,627,
"Halton/Halton"," 605","Milton",288,41,39,340,2,710,
"Halton/Halton"," 606","Oakville",377,41,64,399,3,884,
"Halton/Halton"," 607","Oakville",358,29,44,402,2,835,
"Halton/Halton"," 608","Oakville",293,19,26,326,0,664,
"Halton/Halton"," 609","Oakville",359,25,43,363,1,791,
"Halton/Halton"," 610","Burlington",241,31,34,367,0,673,
"Halton/Halton"," 611","Burlington",325,24,30,505,2,886,
"Halton/Halton"," 612","Burlington",235,28,42,357,3,665,
"Halton/Halton"," 613","Burlington",264,24,31,314,2,635,
"Halton/Halton",,Group 1/Groupe 1,25,5,6,37,2,75,135
"Halton/Halton",,Group 2/Groupe 2,452,53,81,578,17,1181,
