Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Carrier,Jean-Claude Gobé,Christian Lajoie,Martin Leduc,Rosane Raymond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Alfred-Pellan/Alfred-Pellan"," 117","Laval",78,75,8,14,53,3,231,338
"Alfred-Pellan/Alfred-Pellan"," 118","Laval",108,54,12,13,49,4,240,403
"Alfred-Pellan/Alfred-Pellan"," 119","Laval",77,96,5,15,51,3,247,384
"Alfred-Pellan/Alfred-Pellan"," 120","Laval",34,193,4,8,72,0,311,511
"Alfred-Pellan/Alfred-Pellan"," 121","Laval",47,80,4,17,37,0,185,303
"Alfred-Pellan/Alfred-Pellan"," 122","Laval",73,101,7,19,57,4,261,387
"Alfred-Pellan/Alfred-Pellan"," 123","Laval",57,147,10,29,61,4,308,461
"Alfred-Pellan/Alfred-Pellan"," 124","Laval",72,41,2,19,19,3,156,287
"Alfred-Pellan/Alfred-Pellan"," 125","Laval",77,21,4,7,32,1,142,240
"Alfred-Pellan/Alfred-Pellan"," 126","Laval",135,50,11,17,47,5,265,526
"Alfred-Pellan/Alfred-Pellan"," 127","Laval",100,44,4,20,54,3,225,378
"Alfred-Pellan/Alfred-Pellan"," 128","Laval",91,52,7,14,31,4,199,308
"Alfred-Pellan/Alfred-Pellan"," 129","Laval",111,24,5,16,32,8,196,322
"Alfred-Pellan/Alfred-Pellan"," 130","Laval",106,59,11,19,47,4,246,345
"Alfred-Pellan/Alfred-Pellan"," 131","Laval",103,128,13,18,60,2,324,517
"Alfred-Pellan/Alfred-Pellan"," 132","Laval",96,61,9,25,53,4,248,365
"Alfred-Pellan/Alfred-Pellan"," 133","Laval",117,44,8,23,32,6,230,361
"Alfred-Pellan/Alfred-Pellan"," 134","Laval",93,54,2,14,39,2,204,306
"Alfred-Pellan/Alfred-Pellan"," 135A","Laval",89,25,9,11,28,0,162,372
"Alfred-Pellan/Alfred-Pellan"," 135B","Laval",83,31,15,11,29,1,170,384
"Alfred-Pellan/Alfred-Pellan"," 136","Laval",93,93,16,30,71,6,309,459
"Alfred-Pellan/Alfred-Pellan"," 137","Laval",100,86,12,16,40,0,254,395
"Alfred-Pellan/Alfred-Pellan"," 138","Laval",85,62,9,22,57,1,236,372
"Alfred-Pellan/Alfred-Pellan"," 139","Laval",100,77,13,24,53,3,270,448
"Alfred-Pellan/Alfred-Pellan"," 140","Laval",91,56,7,18,46,1,219,407
"Alfred-Pellan/Alfred-Pellan"," 141","Laval",134,71,8,35,58,5,311,477
"Alfred-Pellan/Alfred-Pellan"," 142","Laval",130,22,8,12,17,2,191,379
"Alfred-Pellan/Alfred-Pellan"," 143","Laval",87,39,10,19,31,2,188,356
"Alfred-Pellan/Alfred-Pellan"," 144","Laval",123,18,3,12,32,1,189,451
"Alfred-Pellan/Alfred-Pellan"," 145","Laval",103,59,5,16,39,5,227,393
"Alfred-Pellan/Alfred-Pellan"," 146","Laval",101,45,7,19,42,6,220,381
"Alfred-Pellan/Alfred-Pellan"," 147","Laval",113,53,5,17,37,1,226,424
"Alfred-Pellan/Alfred-Pellan"," 148","Laval",84,55,4,19,27,4,193,385
"Alfred-Pellan/Alfred-Pellan"," 149","Laval",66,43,3,10,12,6,140,349
"Alfred-Pellan/Alfred-Pellan"," 150","Laval",108,26,11,17,25,6,193,368
"Alfred-Pellan/Alfred-Pellan"," 151","Laval",98,20,10,16,22,8,174,358
"Alfred-Pellan/Alfred-Pellan"," 152","Laval",89,51,12,14,40,2,208,319
"Alfred-Pellan/Alfred-Pellan"," 153","Laval",70,55,10,11,39,1,186,363
"Alfred-Pellan/Alfred-Pellan"," 154","Laval",117,50,12,16,59,1,255,420
"Alfred-Pellan/Alfred-Pellan"," 155","Laval",116,88,14,12,41,5,276,432
"Alfred-Pellan/Alfred-Pellan"," 156","Laval",83,76,10,32,64,0,265,396
"Alfred-Pellan/Alfred-Pellan"," 157","Laval",36,145,3,22,37,0,243,401
"Alfred-Pellan/Alfred-Pellan"," 158","Laval",82,52,4,6,34,0,178,283
"Alfred-Pellan/Alfred-Pellan"," 159","Laval",64,64,9,13,22,1,173,308
"Alfred-Pellan/Alfred-Pellan"," 160","Laval",70,47,9,20,45,0,191,342
"Alfred-Pellan/Alfred-Pellan"," 161","Laval",89,57,8,19,42,2,217,331
"Alfred-Pellan/Alfred-Pellan"," 162","Laval",80,79,8,16,39,3,225,351
"Alfred-Pellan/Alfred-Pellan"," 163","Laval",82,90,9,18,52,0,251,396
"Alfred-Pellan/Alfred-Pellan"," 164","Laval",91,90,5,17,53,1,257,412
"Alfred-Pellan/Alfred-Pellan"," 165","Laval",92,82,4,19,40,2,239,381
"Alfred-Pellan/Alfred-Pellan"," 166","Laval",67,68,9,29,29,1,203,347
"Alfred-Pellan/Alfred-Pellan"," 167","Laval",82,62,10,19,37,1,211,334
"Alfred-Pellan/Alfred-Pellan"," 168","Laval",77,49,8,7,36,2,179,319
"Alfred-Pellan/Alfred-Pellan"," 169","Laval",65,60,10,8,40,2,185,312
"Alfred-Pellan/Alfred-Pellan"," 170","Laval",71,65,9,14,55,3,217,433
"Alfred-Pellan/Alfred-Pellan"," 171","Laval",96,88,7,17,80,2,290,435
"Alfred-Pellan/Alfred-Pellan"," 172","Laval",90,43,10,12,36,0,191,309
"Alfred-Pellan/Alfred-Pellan"," 173","Laval",45,57,1,10,20,0,133,238
"Alfred-Pellan/Alfred-Pellan"," 174","Laval",79,29,4,10,32,2,156,257
"Alfred-Pellan/Alfred-Pellan"," 175","Laval",111,55,6,21,52,3,248,390
"Alfred-Pellan/Alfred-Pellan"," 176","Laval",71,60,2,30,57,3,223,342
"Alfred-Pellan/Alfred-Pellan"," 177","Laval",72,62,7,19,22,0,182,370
"Alfred-Pellan/Alfred-Pellan"," 178","Laval",99,58,6,20,31,0,214,378
"Alfred-Pellan/Alfred-Pellan"," 179","Laval",101,43,14,17,36,0,211,326
"Alfred-Pellan/Alfred-Pellan"," 180","Laval",88,49,13,29,34,6,219,309
"Alfred-Pellan/Alfred-Pellan"," 181","Laval",96,43,11,9,20,0,179,367
"Alfred-Pellan/Alfred-Pellan"," 182","Laval",70,24,9,16,23,2,144,250
"Alfred-Pellan/Alfred-Pellan"," 183","Laval",49,52,2,8,76,1,188,288
"Alfred-Pellan/Alfred-Pellan"," 184","Laval",113,27,10,13,29,4,196,404
"Alfred-Pellan/Alfred-Pellan"," 185","Laval",110,51,9,16,37,3,226,425
"Alfred-Pellan/Alfred-Pellan"," 186","Laval",87,47,7,15,24,2,182,310
"Alfred-Pellan/Alfred-Pellan"," 187","Laval",54,32,8,10,21,5,130,257
"Alfred-Pellan/Alfred-Pellan"," 188","Laval",95,40,3,8,30,0,176,339
"Alfred-Pellan/Alfred-Pellan"," 189","Laval",93,21,6,14,21,3,158,330
"Alfred-Pellan/Alfred-Pellan"," 190","Laval",89,29,3,8,19,4,152,303
"Alfred-Pellan/Alfred-Pellan"," 191","Laval",86,41,13,10,20,3,173,384
"Alfred-Pellan/Alfred-Pellan"," 192","Laval",63,20,4,9,27,2,125,321
"Alfred-Pellan/Alfred-Pellan"," 193","Laval",135,22,14,10,34,4,219,384
"Alfred-Pellan/Alfred-Pellan"," 194","Laval",34,115,13,13,37,2,214,403
"Alfred-Pellan/Alfred-Pellan"," 400","Laval",74,144,2,18,60,8,306,368
"Alfred-Pellan/Alfred-Pellan"," 401","Laval",53,57,5,6,34,9,164,193
"Alfred-Pellan/Alfred-Pellan"," 402","Laval",60,81,9,13,43,10,216,264
"Alfred-Pellan/Alfred-Pellan"," 403","Laval",40,60,1,10,33,3,147,174
"Alfred-Pellan/Alfred-Pellan"," 404","Laval",41,57,4,9,23,2,136,179
"Alfred-Pellan/Alfred-Pellan"," 500","Mobile poll/Bureau itinérant",11,20,2,5,12,1,51,117
"Alfred-Pellan/Alfred-Pellan"," 501","Mobile poll/Bureau itinérant",13,14,3,1,8,3,42,152
"Alfred-Pellan/Alfred-Pellan"," 502","Mobile poll/Bureau itinérant",11,18,0,3,11,0,43,88
"Alfred-Pellan/Alfred-Pellan"," 503","Mobile poll/Bureau itinérant",16,23,3,4,4,5,55,77
"Alfred-Pellan/Alfred-Pellan"," 600","Laval",74,24,1,13,39,3,154,
"Alfred-Pellan/Alfred-Pellan"," 601","Laval",527,283,23,60,195,21,1109,
"Alfred-Pellan/Alfred-Pellan"," 602","Laval",410,229,18,52,198,9,916,
"Alfred-Pellan/Alfred-Pellan"," 603","Laval",309,220,13,38,182,5,767,
"Alfred-Pellan/Alfred-Pellan"," 604","Laval",172,140,16,29,99,2,458,
"Alfred-Pellan/Alfred-Pellan"," 605","Laval",270,180,18,31,148,6,653,
"Alfred-Pellan/Alfred-Pellan"," 606","Laval",272,139,11,34,133,6,595,
"Alfred-Pellan/Alfred-Pellan"," 607","Laval",159,145,13,27,129,6,479,
"Alfred-Pellan/Alfred-Pellan"," 608","Laval",209,124,9,12,87,3,444,
"Alfred-Pellan/Alfred-Pellan",,Group 1/Groupe 1,16,21,1,10,15,10,73,134
"Alfred-Pellan/Alfred-Pellan",,Group 2/Groupe 2,881,694,32,69,241,23,1940,
