Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Fortin,Roger Gaudet,Wendy Gorchinsky,Nancy Leclerc,Michel Paulette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Montcalm/Montcalm"," 30","Sainte-Marie-Salomé",20,197,19,12,69,11,328,474
"Montcalm/Montcalm"," 31","Sainte-Marie-Salomé",18,81,7,13,30,2,151,245
"Montcalm/Montcalm"," 32","Saint-Jacques",18,136,16,16,39,5,230,385
"Montcalm/Montcalm"," 33","Saint-Jacques",28,132,14,27,57,10,268,500
"Montcalm/Montcalm"," 34","Saint-Jacques",Void/Supprimé,,,,,,,
"Montcalm/Montcalm"," 35","Saint-Jacques",37,132,11,15,50,10,255,456
"Montcalm/Montcalm"," 36","Saint-Jacques",14,116,6,22,61,3,222,393
"Montcalm/Montcalm"," 37","Saint-Jacques",14,118,8,11,45,4,200,390
"Montcalm/Montcalm"," 38","Saint-Jacques",13,181,16,10,56,7,283,433
"Montcalm/Montcalm"," 39","Saint-Alexis",15,173,10,27,74,8,307,501
"Montcalm/Montcalm"," 40","Saint-Alexis",17,149,16,22,70,3,277,444
"Montcalm/Montcalm"," 41","Saint-Esprit",36,117,8,18,57,2,238,414
"Montcalm/Montcalm"," 42","Saint-Esprit",33,136,11,7,43,4,234,423
"Montcalm/Montcalm"," 43","Saint-Esprit",21,106,7,19,76,6,235,347
"Montcalm/Montcalm"," 44","Saint-Esprit",13,127,8,16,51,3,218,337
"Montcalm/Montcalm"," 45","Saint-Lin",12,121,10,10,33,4,190,425
"Montcalm/Montcalm"," 46","Saint-Lin",20,148,10,13,45,5,241,503
"Montcalm/Montcalm"," 47","Saint-Lin",9,104,3,7,39,4,166,324
"Montcalm/Montcalm"," 47-1","Saint-Lin",16,96,4,12,15,5,148,361
"Montcalm/Montcalm"," 48","Saint-Lin",6,129,7,13,38,5,198,456
"Montcalm/Montcalm"," 49","Saint-Lin",25,166,12,10,41,8,262,554
"Montcalm/Montcalm"," 50","Saint-Lin",27,143,4,13,61,6,254,496
"Montcalm/Montcalm"," 51","Saint-Lin",16,122,5,17,53,4,217,455
"Montcalm/Montcalm"," 52","Laurentides",26,135,4,20,68,11,264,541
"Montcalm/Montcalm"," 53","Laurentides",23,190,6,15,66,8,308,610
"Montcalm/Montcalm"," 54","Laurentides",24,108,8,13,37,2,192,502
"Montcalm/Montcalm"," 55","Laurentides",18,120,2,9,35,0,184,427
"Montcalm/Montcalm"," 56","Laurentides",22,149,1,7,37,6,222,430
"Montcalm/Montcalm"," 57","Saint-Lin",14,120,5,13,28,6,186,395
"Montcalm/Montcalm"," 58","Saint-Lin",19,183,11,17,42,5,277,493
"Montcalm/Montcalm"," 59A","Saint-Lin",13,147,9,9,33,0,211,453
"Montcalm/Montcalm"," 59B","Saint-Lin",8,177,8,12,33,3,241,457
"Montcalm/Montcalm"," 60","Saint-Lin",11,117,3,8,43,2,184,395
"Montcalm/Montcalm"," 61","Saint-Lin",15,159,2,11,37,5,229,511
"Montcalm/Montcalm"," 61-1","Saint-Lin",10,181,3,13,61,7,275,567
"Montcalm/Montcalm"," 62","Saint-Lin",17,203,8,24,42,8,302,675
"Montcalm/Montcalm"," 63","Saint-Lin",7,132,5,15,35,5,199,397
"Montcalm/Montcalm"," 64","Saint-Roch-Ouest",21,118,7,18,67,0,231,390
"Montcalm/Montcalm"," 65","Saint-Roch-de-l'Achigan",22,144,9,27,50,3,255,486
"Montcalm/Montcalm"," 66","Saint-Roch-de-l'Achigan",14,140,7,8,39,4,212,449
"Montcalm/Montcalm"," 67","Saint-Roch-de-l'Achigan",18,184,9,24,64,10,309,557
"Montcalm/Montcalm"," 68","Saint-Roch-de-l'Achigan",10,100,5,10,43,4,172,310
"Montcalm/Montcalm"," 69","Saint-Roch-de-l'Achigan",20,140,4,18,54,3,239,404
"Montcalm/Montcalm"," 70","Saint-Roch-de-l'Achigan",7,89,8,17,31,3,155,298
"Montcalm/Montcalm"," 71","Saint-Roch-de-l'Achigan",25,121,4,6,56,2,214,395
"Montcalm/Montcalm"," 72","Saint-Roch-de-l'Achigan",7,123,6,4,32,2,174,307
"Montcalm/Montcalm"," 73","Mascouche",14,155,14,17,30,5,235,466
"Montcalm/Montcalm"," 74","Mascouche",24,164,11,15,60,4,278,472
"Montcalm/Montcalm"," 75","La Plaine",22,136,10,13,31,4,216,421
"Montcalm/Montcalm"," 76","La Plaine",13,142,5,13,44,8,225,381
"Montcalm/Montcalm"," 77","La Plaine",20,142,6,15,34,1,218,397
"Montcalm/Montcalm"," 78","La Plaine",18,160,7,10,25,8,228,407
"Montcalm/Montcalm"," 79","La Plaine",18,213,12,21,62,10,336,618
"Montcalm/Montcalm"," 80A","La Plaine",15,186,6,6,48,6,267,496
"Montcalm/Montcalm"," 80B","La Plaine",12,167,6,2,36,4,227,380
"Montcalm/Montcalm"," 81","La Plaine",17,193,17,11,56,9,303,525
"Montcalm/Montcalm"," 82","La Plaine",14,197,2,18,57,7,295,501
"Montcalm/Montcalm"," 83","La Plaine",15,141,18,24,55,10,263,434
"Montcalm/Montcalm"," 84","La Plaine",14,164,8,10,37,5,238,454
"Montcalm/Montcalm"," 85","La Plaine",23,133,4,7,36,2,205,344
"Montcalm/Montcalm"," 86","La Plaine",8,112,6,12,32,11,181,300
"Montcalm/Montcalm"," 87","La Plaine",7,194,5,12,47,10,275,500
"Montcalm/Montcalm"," 88A","La Plaine",18,181,12,21,26,8,266,482
"Montcalm/Montcalm"," 88B","La Plaine",13,138,5,22,35,5,218,383
"Montcalm/Montcalm"," 89","La Plaine",18,209,17,18,62,5,329,534
"Montcalm/Montcalm"," 90","La Plaine",20,190,5,9,50,10,284,523
"Montcalm/Montcalm"," 91","La Plaine",30,243,8,18,65,10,374,652
"Montcalm/Montcalm"," 92","La Plaine",10,133,5,13,59,5,225,422
"Montcalm/Montcalm"," 92-1","La Plaine",9,102,2,13,24,7,157,275
"Montcalm/Montcalm"," 93","La Plaine",31,211,8,21,35,3,309,651
"Montcalm/Montcalm"," 94","La Plaine",19,182,5,16,50,7,279,578
"Montcalm/Montcalm"," 95A","La Plaine",11,162,8,23,42,10,256,456
"Montcalm/Montcalm"," 95B","La Plaine",16,144,7,16,52,8,243,415
"Montcalm/Montcalm"," 96","La Plaine",22,225,4,22,55,10,338,596
"Montcalm/Montcalm"," 97","La Plaine",19,179,5,8,31,8,250,496
"Montcalm/Montcalm"," 98","La Plaine",28,158,9,21,36,23,275,504
"Montcalm/Montcalm"," 99","La Plaine",20,139,3,10,37,5,214,425
"Montcalm/Montcalm"," 100","Mascouche",12,132,13,20,51,5,233,405
"Montcalm/Montcalm"," 101","Mascouche",5,123,2,5,28,1,164,302
"Montcalm/Montcalm"," 102","Mascouche",21,118,7,14,36,5,201,372
"Montcalm/Montcalm"," 103","Mascouche",32,133,8,12,33,4,222,449
"Montcalm/Montcalm"," 104","Mascouche",19,185,8,20,42,6,280,463
"Montcalm/Montcalm"," 105A","Mascouche",15,141,5,22,54,2,239,400
"Montcalm/Montcalm"," 105B","Mascouche",22,135,12,21,58,2,250,413
"Montcalm/Montcalm"," 106","Mascouche",14,153,8,21,64,6,266,478
"Montcalm/Montcalm"," 107","Mascouche",12,153,7,14,35,5,226,432
"Montcalm/Montcalm"," 108","Mascouche",17,169,12,26,50,1,275,452
"Montcalm/Montcalm"," 109","Mascouche",15,206,10,23,41,8,303,518
"Montcalm/Montcalm"," 110","Mascouche",18,157,14,12,39,8,248,445
"Montcalm/Montcalm"," 111","Mascouche",22,144,7,15,43,6,237,408
"Montcalm/Montcalm"," 112","Mascouche",25,138,13,16,54,5,251,461
"Montcalm/Montcalm"," 113","Mascouche",11,156,9,12,47,3,238,361
"Montcalm/Montcalm"," 114","Mascouche",24,131,14,23,44,5,241,420
"Montcalm/Montcalm"," 115","Mascouche",35,200,11,29,55,9,339,523
"Montcalm/Montcalm"," 116","Mascouche",22,150,13,14,50,5,254,443
"Montcalm/Montcalm"," 117","Mascouche",31,169,14,25,64,2,305,488
"Montcalm/Montcalm"," 118","Mascouche",28,152,24,16,47,5,272,473
"Montcalm/Montcalm"," 119","Mascouche",20,205,13,25,34,10,307,481
"Montcalm/Montcalm"," 120","Mascouche",31,266,12,36,76,10,431,578
"Montcalm/Montcalm"," 121","Mascouche",23,260,15,31,89,4,422,653
"Montcalm/Montcalm"," 122","Mascouche",21,141,10,29,48,4,253,483
"Montcalm/Montcalm"," 123","Mascouche",17,144,15,13,47,2,238,373
"Montcalm/Montcalm"," 124","Mascouche",29,197,14,25,52,5,322,583
"Montcalm/Montcalm"," 125","Mascouche",19,140,5,18,49,6,237,422
"Montcalm/Montcalm"," 126","Mascouche",13,174,10,18,45,13,273,451
"Montcalm/Montcalm"," 127","Mascouche",25,133,14,16,50,2,240,383
"Montcalm/Montcalm"," 128","Mascouche",24,201,13,30,60,4,332,503
"Montcalm/Montcalm"," 129","Mascouche",24,175,6,15,43,4,267,404
"Montcalm/Montcalm"," 130","Mascouche",12,187,11,22,43,10,285,454
"Montcalm/Montcalm"," 131","Mascouche",15,247,4,17,47,8,338,491
"Montcalm/Montcalm"," 132","Mascouche",18,248,17,23,62,6,374,609
"Montcalm/Montcalm"," 133A","Mascouche",30,232,9,32,75,1,379,629
"Montcalm/Montcalm"," 133B","Mascouche",16,165,14,19,55,1,270,492
"Montcalm/Montcalm"," 133C","Mascouche",30,215,7,16,81,3,352,592
"Montcalm/Montcalm"," 134","Mascouche",25,197,9,26,55,8,320,525
"Montcalm/Montcalm"," 135","Mascouche",24,199,10,18,65,5,321,561
"Montcalm/Montcalm"," 136","Mascouche",24,114,7,12,36,6,199,435
"Montcalm/Montcalm"," 137","Mascouche",21,123,4,10,38,2,198,405
"Montcalm/Montcalm"," 138","Mascouche",37,168,12,17,51,6,291,439
"Montcalm/Montcalm"," 139","Mascouche",19,203,15,14,44,5,300,470
"Montcalm/Montcalm"," 140","Mascouche",23,222,11,9,50,6,321,456
"Montcalm/Montcalm"," 141","Mascouche",12,232,12,23,44,4,327,487
"Montcalm/Montcalm"," 142","Mascouche",20,169,10,19,48,10,276,434
"Montcalm/Montcalm"," 143","Mascouche",20,124,10,21,42,2,219,333
"Montcalm/Montcalm"," 144","Lachenaie",7,159,11,23,42,6,248,401
"Montcalm/Montcalm"," 145","Lachenaie",8,170,10,20,28,5,241,390
"Montcalm/Montcalm"," 146","Lachenaie",6,152,10,14,34,8,224,380
"Montcalm/Montcalm"," 147","Lachenaie",36,181,12,34,92,13,368,503
"Montcalm/Montcalm"," 148","Lachenaie",28,93,9,15,59,6,210,344
"Montcalm/Montcalm"," 148-1","Lachenaie",28,102,5,24,71,3,233,352
"Montcalm/Montcalm"," 149","Lachenaie",36,120,14,35,97,7,309,428
"Montcalm/Montcalm"," 150","Lachenaie",36,166,12,22,92,3,331,555
"Montcalm/Montcalm"," 151","Lachenaie",21,136,9,16,40,4,226,339
"Montcalm/Montcalm"," 152","Lachenaie",28,136,9,22,47,6,248,398
"Montcalm/Montcalm"," 153","Lachenaie",28,178,12,22,70,8,318,476
"Montcalm/Montcalm"," 153-1","Lachenaie",21,184,4,17,67,3,296,519
"Montcalm/Montcalm"," 154","Lachenaie",22,215,8,25,63,13,346,566
"Montcalm/Montcalm"," 155","Lachenaie",30,190,9,17,73,2,321,495
"Montcalm/Montcalm"," 156","Lachenaie",18,133,9,17,41,5,223,376
"Montcalm/Montcalm"," 157","Lachenaie",22,177,17,17,32,5,270,434
"Montcalm/Montcalm"," 158","Lachenaie",22,177,9,27,59,8,302,457
"Montcalm/Montcalm"," 159","Lachenaie",22,175,10,15,38,9,269,424
"Montcalm/Montcalm"," 160","Lachenaie",17,190,9,26,44,7,293,453
"Montcalm/Montcalm"," 161","Lachenaie",21,162,13,18,49,7,270,407
"Montcalm/Montcalm"," 162","Lachenaie",20,158,9,25,50,10,272,491
"Montcalm/Montcalm"," 163","Lachenaie",27,220,14,19,59,8,347,559
"Montcalm/Montcalm"," 163-1","Lachenaie",22,205,11,24,80,10,352,559
"Montcalm/Montcalm"," 164","Lachenaie",21,166,7,32,62,9,297,464
"Montcalm/Montcalm"," 165","Lachenaie",25,168,11,25,59,3,291,481
"Montcalm/Montcalm"," 165-1","Lachenaie",16,208,15,24,76,10,349,576
"Montcalm/Montcalm"," 166","Lachenaie",16,214,9,31,37,13,320,512
"Montcalm/Montcalm"," 167","Lachenaie",15,190,18,22,48,6,299,475
"Montcalm/Montcalm"," 168","Mascouche",14,122,15,16,57,4,228,389
"Montcalm/Montcalm"," 169","Mascouche",12,186,8,21,47,4,278,394
"Montcalm/Montcalm"," 170","Mascouche",11,149,11,7,50,5,233,361
"Montcalm/Montcalm"," 171","Mascouche",19,161,8,18,40,3,249,386
"Montcalm/Montcalm"," 172","Mascouche",20,150,11,22,42,3,248,427
"Montcalm/Montcalm"," 173","Lachenaie",21,190,8,22,60,6,307,510
"Montcalm/Montcalm"," 174","Lachenaie",8,80,9,10,17,3,127,255
"Montcalm/Montcalm"," 174-1","Lachenaie",30,190,9,22,71,4,326,546
"Montcalm/Montcalm"," 175","Lachenaie",26,143,15,8,41,4,237,401
"Montcalm/Montcalm"," 176","Lachenaie",33,172,8,36,65,10,324,528
"Montcalm/Montcalm"," 176-1A","Lachenaie",51,160,9,28,79,7,334,509
"Montcalm/Montcalm"," 176-1B","Lachenaie",38,132,8,16,48,3,245,383
"Montcalm/Montcalm"," 177","Lachenaie",26,198,13,21,58,6,322,460
"Montcalm/Montcalm"," 178","Lachenaie",30,226,8,19,51,7,341,472
"Montcalm/Montcalm"," 179","Lachenaie",36,174,13,29,76,10,338,505
"Montcalm/Montcalm"," 180","Lachenaie",14,171,10,15,21,2,233,333
"Montcalm/Montcalm"," 181","Lachenaie",21,181,5,19,50,14,290,404
"Montcalm/Montcalm"," 182","Lachenaie",18,213,9,24,53,7,324,443
"Montcalm/Montcalm"," 183","Lachenaie",29,132,11,22,40,8,242,396
"Montcalm/Montcalm"," 500","Mobile poll/Bureau itinérant",14,18,2,2,4,5,45,113
"Montcalm/Montcalm"," 501","Mobile poll/Bureau itinérant",19,36,1,3,31,5,95,178
"Montcalm/Montcalm"," 600","Saint-Calixte",42,274,13,27,81,4,441,
"Montcalm/Montcalm"," 601","Sainte-Julienne",93,411,17,28,122,7,678,
"Montcalm/Montcalm"," 602","Saint-Jacques",59,225,9,27,115,3,438,
"Montcalm/Montcalm"," 603","Saint-Roch--Saint-Esprit",38,100,2,14,53,5,212,
"Montcalm/Montcalm"," 604","Saint-Lin--Laurentides",113,479,28,48,213,13,894,
"Montcalm/Montcalm"," 605","La Plaine",51,502,12,28,122,9,724,
"Montcalm/Montcalm"," 606","Mascouche-Ouest",55,262,11,18,124,8,478,
"Montcalm/Montcalm"," 607","Mascouche",90,420,25,55,165,13,768,
"Montcalm/Montcalm"," 608","Lachenaie-Ouest",39,248,8,24,96,8,423,
"Montcalm/Montcalm"," 609","Lachenaie",44,277,8,42,128,6,505,
"Montcalm/Montcalm",,Group 1/Groupe 1,10,34,3,3,10,0,60,124
"Montcalm/Montcalm",,Group 2/Groupe 2,129,359,7,21,85,16,617,
