Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brienesse,Nathan Cullen,Mike Scott,Gordon Stamp-Vincent,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Tlell",7,73,19,11,0,0,110,167
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Lighthouses",Merged with No. 41/Fusionné avec le nº 41,,,,,,,11
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Lax Kw'alaams",6,181,9,25,2,0,223,431
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Metlakatla",1,41,2,5,1,0,50,71
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Dodge Cove",0,15,4,2,0,0,21,41
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Oona River",0,8,1,0,0,0,9,18
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Port Edward",6,104,81,29,3,0,223,356
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Kitkatla",0,40,10,22,3,1,76,236
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Hartley Bay",1,34,2,4,0,0,41,109
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Klemtu",7,48,9,28,1,0,93,180
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Prince Rupert",0,39,62,31,3,0,135,260
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Prince Rupert",6,90,22,14,0,0,132,286
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Prince Rupert",2,60,36,19,1,1,119,305
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Prince Rupert",5,101,44,22,1,2,175,296
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Prince Rupert",7,106,25,15,4,1,158,292
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Prince Rupert",8,99,24,13,6,0,150,281
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Prince Rupert",2,77,32,16,1,0,128,260
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","Prince Rupert",3,102,46,24,1,0,176,357
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","Prince Rupert",3,96,33,15,2,0,149,316
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","Prince Rupert",3,66,34,31,4,2,140,246
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","Prince Rupert",4,59,46,38,1,1,149,283
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","Prince Rupert",7,114,41,29,2,1,194,377
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Prince Rupert",8,81,68,28,4,0,189,386
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Prince Rupert",3,93,23,9,5,0,133,311
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65","Prince Rupert",3,104,31,19,5,3,165,380
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 66","Prince Rupert",3,95,46,18,0,0,162,316
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 67","Prince Rupert",4,114,36,17,3,0,174,330
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 68","Prince Rupert",2,78,60,31,2,2,175,296
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 69","Prince Rupert",3,82,45,25,4,1,160,322
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 70","Prince Rupert",4,63,29,14,2,0,112,245
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 71","Prince Rupert",2,121,60,25,0,0,208,409
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 72","Prince Rupert",10,110,66,31,3,0,220,414
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 73","Prince Rupert",1,81,32,17,2,0,133,273
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 74","Prince Rupert",3,135,13,23,2,0,176,336
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 75","Prince Rupert",1,64,50,30,0,1,146,271
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 76","Prince Rupert",1,62,42,18,0,0,123,235
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 77","Prince Rupert",6,64,81,26,1,0,178,343
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 78","Prince Rupert",5,72,35,22,2,0,136,278
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 79","Rosswood",1,26,22,3,0,0,52,80
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80","Terrace",11,103,120,29,8,0,271,466
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 81","Kitsumkaylum 1",1,148,37,9,3,1,199,265
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82A","Terrace",3,56,62,19,6,0,146,266
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82B","Terrace",1,74,83,24,4,0,186,283
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 83","Terrace",2,106,107,38,3,1,257,412
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 84","Terrace",5,90,81,22,1,0,199,312
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 85","Terrace",9,64,98,25,3,0,199,351
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 86","Terrace",1,77,96,33,5,3,215,363
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 87","Terrace",10,113,98,38,12,1,272,434
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 88","Terrace",2,67,35,7,3,0,114,288
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 89","Terrace",10,82,143,31,7,0,273,438
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 90","Terrace",7,82,101,21,10,1,222,368
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91","Terrace",7,79,64,40,9,0,199,359
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 92","Terrace",1,65,37,11,3,2,119,217
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93","Terrace",8,82,73,26,3,2,194,425
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 94","Terrace",1,67,46,23,5,0,142,248
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 95","Terrace",5,53,58,17,2,0,135,254
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 96","Terrace",0,64,52,17,4,0,137,335
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 97","Terrace",1,47,48,19,5,0,120,227
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 98","Terrace",6,124,64,32,6,2,234,420
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 99","Terrace",9,128,97,36,6,0,276,499
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 100","Terrace",4,87,78,24,9,1,203,360
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 101","Terrace",4,91,34,15,2,1,147,325
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 102","Terrace",7,116,68,23,6,0,220,384
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 103","Kitimat",6,129,70,20,12,4,241,440
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 104","Kitimat",4,91,81,6,8,3,193,360
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 105","Kitimat",4,123,72,28,6,0,233,379
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 106","Kitimat",2,72,37,14,3,0,128,253
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 107","Kitimat",4,120,83,19,2,0,228,405
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 108","Kitimat",2,124,65,22,9,1,223,378
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 109","Kitimat",8,105,87,16,4,1,221,370
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 110","Kitimat",4,104,75,14,2,0,199,361
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 111","Kitimat",4,101,59,24,4,0,192,361
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 112","Kitimat",5,94,62,13,3,1,178,329
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 113","Kitimat",5,70,39,6,2,1,123,315
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 114","Kitimat",6,157,53,22,2,2,242,452
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 115","Kitimat",2,85,54,10,2,1,154,284
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 116","Kitimat",5,105,48,13,6,0,177,303
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 117","Kitimat",4,75,44,18,3,1,145,290
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 118","Kitimat",3,81,60,14,1,0,159,342
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119","Kitimat",3,81,52,18,7,2,163,348
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 120","Kitimat",5,46,37,7,2,0,97,192
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 121","Kitamaat 2",4,167,5,13,3,0,192,385
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 122","Usk",3,102,50,16,16,0,187,300
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 123","Thornhill",1,83,80,32,5,0,201,391
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 124","Thornhill",1,43,43,11,3,0,101,143
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 125","Thornhill",7,119,73,22,2,0,223,416
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 126","Thornhill",10,79,104,15,3,0,211,398
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 127","Thornhill",11,61,95,19,6,0,192,353
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 128","Thornhill",6,53,50,24,1,0,134,265
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 129","Thornhill",2,20,51,18,1,1,93,153
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 130","Thornhill",0,43,66,16,1,2,128,258
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131","Thornhill",8,85,155,38,2,1,289,469
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 132","Thornhill",8,119,130,37,9,0,303,487
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 133","Lakelse Lake",6,45,70,13,2,0,136,253
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 134","Evelyn",5,58,54,14,15,0,146,311
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 135","Smithers",5,64,39,11,13,0,132,203
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 136","Smithers",6,78,100,22,15,0,221,353
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 137","Smithers",6,85,129,41,18,1,280,523
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 138A","Smithers",3,53,83,18,9,0,166,343
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 138B","Smithers",4,51,48,13,6,1,123,293
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 139","Smithers",3,92,73,25,22,0,215,443
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 140","Smithers",8,113,67,24,16,0,228,391
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 141","Smithers",6,88,82,23,10,0,209,389
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 142","Smithers",6,63,41,25,12,0,147,279
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 143","Smithers",7,80,66,20,19,0,192,321
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 144","Smithers",2,64,44,13,9,1,133,308
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 145A","Smithers",5,60,51,13,14,0,143,272
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 145B","Smithers",6,55,40,17,13,1,132,266
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 146","Smithers",5,87,82,21,19,0,214,384
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 147","Smithers",7,60,69,17,42,1,196,321
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 148","Smithers",5,38,37,11,16,1,108,219
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 149","Telkwa",6,93,62,16,29,0,206,396
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150","Smithers",4,70,65,13,19,0,171,309
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 151","Telkwa",4,118,124,38,18,0,302,456
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 152","Telkwa",7,95,91,22,25,0,240,430
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 153A","Telkwa",3,61,63,9,26,1,163,258
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 153B","Telkwa",2,49,76,19,28,0,174,281
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 154","Barrett",1,12,41,9,6,0,69,135
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 155","Houston",7,65,119,38,23,0,252,443
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 156","Houston",1,36,22,16,2,0,77,147
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 157","Houston",2,54,48,19,5,1,129,269
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 158","Houston",2,76,98,23,18,2,219,376
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 159","Houston",2,27,37,25,10,0,101,169
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 160","Houston",3,61,120,45,15,1,245,454
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 161","Houston",2,42,81,17,8,0,150,269
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 162","Knockholt",1,30,57,10,4,0,102,158
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 163","Granisle",3,44,97,33,5,0,182,311
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 164","Topley Landing",2,26,9,11,2,0,50,62
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 165","Pendleton Bay",4,53,109,25,0,0,191,325
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 166","Topley",8,54,69,31,8,1,171,360
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 167","Decker Lake",8,57,91,29,7,0,192,318
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 168","Burns Lake",5,209,34,32,5,1,286,537
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 169","Burns Lake",2,86,104,24,8,0,224,428
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170A","Burns Lake",5,46,52,11,3,0,117,290
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 170B","Burns Lake",7,55,42,12,1,0,117,264
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 171","Burns Lake",1,23,25,0,2,0,51,133
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 172","Burns Lake",5,30,37,16,2,0,90,147
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 173","Poison Creek 17A",2,29,64,23,3,0,121,212
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 174","Tintagel",4,26,78,11,3,0,122,231
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 175","François Lake",3,12,26,5,0,0,46,90
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 176","François Lake",10,91,112,22,1,1,237,367
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 177","Takysie Lake",0,4,15,3,0,0,22,39
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 178","Southbank",6,36,53,8,3,0,106,223
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 179","Takysie Lake",6,41,71,21,1,1,141,229
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180A","Tachie",1,82,6,34,1,1,125,174
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 180B","Tachie",1,20,1,4,1,1,28,73
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 181","Chuz Ghun 8",2,17,41,11,4,0,75,125
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 182","Sowchea 3A",11,66,111,53,3,1,245,412
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 183","Fort St. James",6,80,95,44,4,0,229,425
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 184","Fort St. James",9,79,60,65,3,1,217,427
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185A","Fort St. James",11,52,50,33,3,1,150,423
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 185B","Fort St. James",10,56,36,44,3,0,149,388
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 186","Necoslie (Fort St. James) 1",3,65,7,40,1,0,116,315
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 187","Six Mile Meadow 6",2,19,23,7,5,0,56,82
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 188","Tatsadah Lake 14",4,18,26,20,3,0,71,130
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 189","Endako",5,22,35,16,3,0,81,147
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 190","Lejac",7,67,50,34,1,0,159,274
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 191","Fraser Lake",11,65,111,46,3,1,237,494
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 192","Fraser Lake",6,75,105,34,4,2,226,426
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 193","Glenannan",4,32,38,12,2,0,88,144
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 194","Fort Fraser",11,59,101,25,2,0,198,315
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 195","Fort Fraser",4,13,58,11,1,0,87,109
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 196","Fort Fraser",2,33,34,13,1,0,83,133
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 197","Ocean Falls",5,11,9,1,0,0,26,45
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 198","Bella Bella",4,172,1,26,1,0,204,465
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 199","Bella Bella",4,103,3,32,0,0,142,280
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 200","Shearwater",18,17,3,13,0,0,51,72
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 201","Bella Coola 1",11,278,7,3,12,1,312,438
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 202","Oweekeno",Void/Supprimé,,,,,,,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 203","Bella Coola",3,34,16,4,2,0,59,264
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 204","Bella Coola",4,73,70,28,2,3,180,199
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 500","Mobile poll/Bureau itinérant",0,26,16,4,0,0,46,68
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 501","Mobile poll/Bureau itinérant",3,37,31,11,7,2,91,132
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 502","Mobile poll/Bureau itinérant",0,12,9,4,3,0,28,57
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 600","Dease Lake",0,5,9,3,4,0,21,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 601","Stewart",1,8,25,16,0,0,50,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 602","Aiyansh",3,68,6,5,0,0,82,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 603","Hazelton",3,57,54,6,4,0,124,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 604","Masset",4,30,29,10,0,0,73,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 605","Queen Charlotte City",6,47,14,10,1,1,79,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Prince Rupert",1,16,5,4,0,0,26,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Prince Rupert",12,430,196,101,10,4,753,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","Terrace",13,296,228,65,8,0,610,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Kitimat",15,319,181,33,5,5,558,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Terrace",2,86,98,24,1,0,211,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Smithers",17,316,275,81,45,1,735,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Houston",4,53,94,24,10,2,187,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Burns Lake",6,88,148,23,8,0,273,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Fort St. James",7,36,64,50,4,0,161,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Fraser Lake",7,39,57,27,3,0,133,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Shearwater",0,5,3,4,1,0,13,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Bella Coola 1--Central Coast",5,15,6,4,1,0,31,
"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1,4,18,32,17,3,3,77,160
"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2,31,649,508,190,52,14,1444,
