Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Bowering,Adam King,Phil McColeman,Lloyd St. Amand,John C. Turmel,John H. Wubs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brant/Brant"," 28","Brant-on-the-Grand",51,9,60,64,0,1,0,185,364
"Brant/Brant"," 29","Brant-on-the-Grand",64,16,79,73,1,1,0,234,372
"Brant/Brant"," 30","Brant-on-the-Grand",53,15,76,86,0,4,2,236,398
"Brant/Brant"," 31","Brant-on-the-Grand",49,25,82,61,0,1,0,218,378
"Brant/Brant"," 32","Brant-on-the-Grand",44,27,65,87,0,0,0,223,371
"Brant/Brant"," 33","Brant-on-the-Grand",39,18,94,74,0,1,2,228,384
"Brant/Brant"," 34","Brant-on-the-Grand",66,23,51,53,3,0,1,197,343
"Brant/Brant"," 35","Brant-on-the-Grand",52,15,48,66,6,2,1,190,373
"Brant/Brant"," 36","Brant-on-the-Grand",51,6,57,56,2,0,1,173,352
"Brant/Brant"," 37","Brant-on-the-Grand",68,12,68,69,3,3,0,223,386
"Brant/Brant"," 38","Brant-on-the-Grand",53,21,70,87,3,2,2,238,386
"Brant/Brant"," 39","Brant-on-the-Grand",49,24,101,99,0,3,0,276,423
"Brant/Brant"," 40","Brant-on-the-Grand",82,21,85,93,1,2,0,284,455
"Brant/Brant"," 41","Brant-on-the-Grand",83,20,175,159,1,2,2,442,651
"Brant/Brant"," 42","Brant-on-the-Grand",81,20,150,144,1,0,0,396,591
"Brant/Brant"," 43","Brant-on-the-Grand",60,12,145,100,0,2,3,322,479
"Brant/Brant"," 44","Brant-on-the-Grand",37,18,120,62,0,0,0,237,370
"Brant/Brant"," 45","Brant-on-the-Grand",45,15,135,94,1,5,0,295,465
"Brant/Brant"," 46","Brant-on-the-Grand",55,20,154,114,0,1,0,344,527
"Brant/Brant"," 47","Brant-on-the-Grand",44,9,91,79,2,2,1,228,348
"Brant/Brant"," 48","Brant-on-the-Grand",31,10,103,75,0,2,0,221,305
"Brant/Brant"," 49","Brant-on-the-Grand",46,20,134,79,3,2,0,284,515
"Brant/Brant"," 50","Brant-on-the-Grand",26,8,73,87,0,1,0,195,308
"Brant/Brant"," 51","Brant-on-the-Grand",40,8,86,101,2,6,1,244,349
"Brant/Brant"," 52","Brant-on-the-Grand",39,8,61,40,0,0,1,149,250
"Brant/Brant"," 53","Brant-on-the-Grand",52,13,88,101,2,2,2,260,421
"Brant/Brant"," 54","Brant-on-the-Grand",24,1,65,64,0,4,1,159,256
"Brant/Brant"," 55","Brantford",24,9,64,84,0,0,0,181,323
"Brant/Brant"," 56","Brantford",24,10,109,99,0,0,0,242,390
"Brant/Brant"," 57","Brantford",48,9,75,78,0,0,0,210,461
"Brant/Brant"," 58A","Brantford",98,19,186,143,0,0,0,446,726
"Brant/Brant"," 58B","Brantford",93,15,164,133,2,2,0,409,672
"Brant/Brant"," 58C","Brantford",86,19,199,126,2,1,0,433,677
"Brant/Brant"," 59","Brant-on-the-Grand",35,17,109,106,0,6,1,274,394
"Brant/Brant"," 60","Brantford",41,13,114,132,0,0,0,300,478
"Brant/Brant"," 61","Brantford",48,17,50,68,0,0,0,183,330
"Brant/Brant"," 62","Brantford",56,16,109,90,0,0,1,272,458
"Brant/Brant"," 63","Brantford",54,17,59,71,1,0,0,202,421
"Brant/Brant"," 64","Brantford",56,13,59,40,4,1,0,173,357
"Brant/Brant"," 65","Brantford",58,15,75,76,3,2,0,229,354
"Brant/Brant"," 66","Brantford",77,13,52,70,1,1,0,214,363
"Brant/Brant"," 67","Brantford",78,10,52,61,0,2,1,204,390
"Brant/Brant"," 68","Brantford",40,6,49,60,2,1,1,159,272
"Brant/Brant"," 69","Brantford",68,15,47,76,0,4,1,211,385
"Brant/Brant"," 70","Brantford",62,12,41,76,2,0,1,194,400
"Brant/Brant"," 71","Brantford",63,12,53,65,2,2,3,200,367
"Brant/Brant"," 72","Brantford",35,11,51,53,0,3,0,153,306
"Brant/Brant"," 73","Brantford",37,12,62,96,0,2,0,209,328
"Brant/Brant"," 74","Brantford",40,23,52,83,1,0,1,200,379
"Brant/Brant"," 75","Brantford",30,11,108,125,2,1,0,277,370
"Brant/Brant"," 76","Brantford",45,9,94,126,2,2,0,278,457
"Brant/Brant"," 77","Brantford",9,3,81,68,0,1,0,162,300
"Brant/Brant"," 78","Brantford",38,20,138,149,1,3,0,349,527
"Brant/Brant"," 79","Brantford",24,11,56,89,0,0,2,182,279
"Brant/Brant"," 80","Brantford",57,9,67,92,1,2,2,230,400
"Brant/Brant"," 81","Brantford",64,13,88,113,0,1,2,281,433
"Brant/Brant"," 82","Brantford",38,7,94,56,0,0,0,195,332
"Brant/Brant"," 83","Brantford",44,14,61,97,0,1,0,217,360
"Brant/Brant"," 84","Brantford",55,13,66,128,0,1,0,263,437
"Brant/Brant"," 85","Brantford",42,5,62,116,2,3,1,231,352
"Brant/Brant"," 86","Brantford",60,8,37,62,1,3,0,171,347
"Brant/Brant"," 87","Brantford",64,10,89,118,1,1,0,283,418
"Brant/Brant"," 88","Brantford",35,15,110,139,0,3,0,302,416
"Brant/Brant"," 89","Brantford",53,14,76,112,0,1,1,257,416
"Brant/Brant"," 90","Brantford",62,20,50,91,2,0,0,225,404
"Brant/Brant"," 91","Brantford",45,20,86,120,0,4,2,277,416
"Brant/Brant"," 92","Brantford",58,7,80,82,0,3,0,230,415
"Brant/Brant"," 93","Brantford",56,4,85,92,1,1,0,239,422
"Brant/Brant"," 94","Brantford",49,10,100,149,1,2,1,312,456
"Brant/Brant"," 95","Brantford",43,8,61,62,1,2,2,179,359
"Brant/Brant"," 96","Brantford",41,9,99,90,0,0,2,241,378
"Brant/Brant"," 97","Brantford",39,9,82,137,0,0,1,268,420
"Brant/Brant"," 98","Brantford",51,9,57,104,1,0,2,224,362
"Brant/Brant"," 99","Brantford",68,6,81,101,0,2,0,258,392
"Brant/Brant"," 100","Brantford",42,3,75,127,0,0,0,247,428
"Brant/Brant"," 101","Brantford",47,8,90,97,0,2,3,247,374
"Brant/Brant"," 102","Brantford",23,5,93,87,0,0,0,208,346
"Brant/Brant"," 103","Brantford",50,13,189,175,1,1,2,431,707
"Brant/Brant"," 104","Brantford",35,4,94,92,0,5,1,231,350
"Brant/Brant"," 105","Brantford",36,3,70,111,0,0,0,220,336
"Brant/Brant"," 106","Brantford",40,8,94,106,1,2,1,252,383
"Brant/Brant"," 107","Brantford",54,9,101,98,0,0,0,262,372
"Brant/Brant"," 108","Brantford",34,8,69,88,0,1,0,200,346
"Brant/Brant"," 109","Brantford",33,10,75,71,0,1,5,195,307
"Brant/Brant"," 110","Brantford",34,12,98,117,1,2,0,264,426
"Brant/Brant"," 111","Brantford",65,16,92,121,0,1,0,295,463
"Brant/Brant"," 112","Brantford",24,7,90,128,0,1,1,251,388
"Brant/Brant"," 113","Brantford",52,10,77,128,0,1,1,269,430
"Brant/Brant"," 114","Brantford",19,9,70,60,0,1,0,159,258
"Brant/Brant"," 115","Brantford",33,13,75,122,0,4,0,247,385
"Brant/Brant"," 116","Brantford",40,10,59,85,1,2,0,197,356
"Brant/Brant"," 117","Brantford",49,18,42,71,0,6,0,186,345
"Brant/Brant"," 118","Brantford",51,17,88,122,3,0,3,284,486
"Brant/Brant"," 119","Brantford",58,11,59,69,0,2,4,203,379
"Brant/Brant"," 120","Brantford",71,7,86,64,1,1,0,230,495
"Brant/Brant"," 121","Brantford",58,5,94,93,1,1,1,253,411
"Brant/Brant"," 122","Brantford",69,10,96,78,1,2,3,259,495
"Brant/Brant"," 123","Brantford",69,6,125,88,0,3,0,291,473
"Brant/Brant"," 124","Brantford",43,13,95,136,0,1,0,288,460
"Brant/Brant"," 125","Brantford",47,1,44,59,1,0,2,154,275
"Brant/Brant"," 126","Brantford",55,4,91,96,0,2,0,248,375
"Brant/Brant"," 127","Brantford",43,8,103,104,0,2,2,262,430
"Brant/Brant"," 128","Brantford",66,8,91,87,1,0,2,255,428
"Brant/Brant"," 129","Brantford",62,7,78,66,2,4,0,219,432
"Brant/Brant"," 130","Brantford",47,5,80,103,0,5,3,243,401
"Brant/Brant"," 131","Brantford",58,6,62,58,1,0,0,185,377
"Brant/Brant"," 132","Brantford",41,4,73,95,0,4,0,217,388
"Brant/Brant"," 133","Brantford",36,9,88,97,3,2,3,238,381
"Brant/Brant"," 134","Brantford",45,14,68,56,0,0,0,183,342
"Brant/Brant"," 135","Brantford",39,6,60,87,0,2,1,195,347
"Brant/Brant"," 136","Brantford",53,13,90,95,1,3,0,255,398
"Brant/Brant"," 137","Brantford",44,10,121,113,2,0,1,291,482
"Brant/Brant"," 138","Brantford",39,4,89,85,0,1,1,219,418
"Brant/Brant"," 139","Brantford",37,2,88,109,1,1,2,240,438
"Brant/Brant"," 140","Brantford",24,5,76,104,0,1,0,210,318
"Brant/Brant"," 141","Brantford",33,1,52,84,0,7,0,177,310
"Brant/Brant"," 142","Brantford",35,7,105,104,0,3,0,254,409
"Brant/Brant"," 143","Brantford",23,5,61,64,1,1,1,156,253
"Brant/Brant"," 144","Brantford",53,5,72,91,0,1,3,225,421
"Brant/Brant"," 145","Brantford",42,10,64,91,1,2,2,212,360
"Brant/Brant"," 146","Brantford",35,3,67,75,1,0,0,181,299
"Brant/Brant"," 147","Brantford",65,7,71,98,0,4,3,248,369
"Brant/Brant"," 148","Brantford",50,8,78,92,1,5,3,237,390
"Brant/Brant"," 149","Brantford",68,7,69,95,1,1,0,241,373
"Brant/Brant"," 150","Brantford",45,10,66,101,1,3,1,227,365
"Brant/Brant"," 151","Brantford",54,12,81,98,1,4,4,254,430
"Brant/Brant"," 152","Brantford",67,10,75,74,1,2,3,232,392
"Brant/Brant"," 153","Brantford",53,8,77,93,0,3,0,234,386
"Brant/Brant"," 154","Brantford",51,8,61,63,0,1,3,187,421
"Brant/Brant"," 155","Brantford",77,8,59,63,1,2,0,210,436
"Brant/Brant"," 156","Brantford",68,9,58,74,1,4,1,215,414
"Brant/Brant"," 157","Brantford",35,14,69,94,1,3,1,217,359
"Brant/Brant"," 158","Brantford",60,14,68,78,3,2,4,229,410
"Brant/Brant"," 159A","Brantford",45,9,34,51,0,2,0,141,332
"Brant/Brant"," 159B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,,22
"Brant/Brant"," 160","Brantford",73,16,45,74,0,2,0,210,412
"Brant/Brant"," 161","Brantford",82,7,54,67,2,3,1,216,409
"Brant/Brant"," 162","Brantford",23,11,46,46,0,4,0,130,267
"Brant/Brant"," 163","Brantford",49,7,47,59,2,1,1,166,365
"Brant/Brant"," 164","Brantford",56,2,45,38,1,7,2,151,413
"Brant/Brant"," 165","Brantford",40,7,50,50,2,0,0,149,306
"Brant/Brant"," 166","Brantford",79,12,60,67,0,2,0,220,390
"Brant/Brant"," 167","Brantford",34,5,29,32,0,0,0,100,294
"Brant/Brant"," 168","Brantford",30,8,79,61,0,9,1,188,372
"Brant/Brant"," 169","Brantford",39,6,70,81,0,5,0,201,445
"Brant/Brant"," 170","Brantford",51,10,83,77,0,1,1,223,398
"Brant/Brant"," 171","Brantford",53,13,71,61,1,2,0,201,395
"Brant/Brant"," 172","Brantford",43,9,86,110,1,0,1,250,367
"Brant/Brant"," 173","Brantford",61,17,77,101,2,0,3,261,398
"Brant/Brant"," 174A","Brantford",31,3,26,25,1,1,0,87,226
"Brant/Brant"," 174B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,204
"Brant/Brant"," 175","Brantford",56,6,71,84,1,3,0,221,379
"Brant/Brant"," 176","Brantford",54,8,72,63,0,2,1,200,353
"Brant/Brant"," 177","Brantford",63,5,42,54,0,0,1,165,413
"Brant/Brant"," 178","Brantford",49,13,63,84,0,0,2,211,410
"Brant/Brant"," 179","Brantford",73,5,63,74,1,2,1,219,418
"Brant/Brant"," 180","Brantford",59,11,58,52,0,5,0,185,387
"Brant/Brant"," 181","Brantford",44,12,47,60,0,0,1,164,383
"Brant/Brant"," 182","Brantford",53,14,41,68,2,1,0,179,383
"Brant/Brant"," 183","Brantford",58,11,43,51,1,6,1,171,375
"Brant/Brant"," 184","Brantford",88,14,64,79,1,2,4,252,479
"Brant/Brant"," 185","Brantford",58,2,42,44,1,3,0,150,371
"Brant/Brant"," 186","Brantford",39,9,35,54,1,2,0,140,290
"Brant/Brant"," 187","Brantford",49,12,38,54,2,1,0,156,318
"Brant/Brant"," 188","Brantford",91,20,57,93,2,2,0,265,465
"Brant/Brant"," 189","Brantford",47,14,37,57,0,0,3,158,386
"Brant/Brant"," 190","Brantford",58,22,38,41,1,0,0,160,349
"Brant/Brant"," 191","Brantford",58,10,28,51,0,1,2,150,363
"Brant/Brant"," 192","Brantford",55,17,48,44,1,3,3,171,331
"Brant/Brant"," 193","Brantford",50,11,47,54,0,6,1,169,376
"Brant/Brant"," 194","Brantford",62,8,55,54,0,2,1,182,323
"Brant/Brant"," 195","Brantford",55,11,75,84,1,0,0,226,391
"Brant/Brant"," 196","Brantford",36,10,94,105,1,7,1,254,371
"Brant/Brant"," 197","Brantford",53,11,90,105,0,0,0,259,424
"Brant/Brant"," 198","Brantford",53,8,102,107,1,5,4,280,489
"Brant/Brant"," 199","Brantford",70,23,91,113,0,3,0,300,547
"Brant/Brant"," 200","Brantford",67,19,53,70,0,4,0,213,403
"Brant/Brant"," 201","Brantford",70,9,62,61,1,6,1,210,393
"Brant/Brant"," 202","Brantford",93,5,61,100,0,1,2,262,378
"Brant/Brant"," 203","Brantford",55,7,51,47,0,0,0,160,319
"Brant/Brant"," 204","Brantford",54,8,69,63,2,0,0,196,336
"Brant/Brant"," 205","Brantford",47,11,35,50,1,1,0,145,396
"Brant/Brant"," 206","Brantford",51,15,74,103,0,1,0,244,391
"Brant/Brant"," 207","Brantford",81,5,47,59,1,2,0,195,375
"Brant/Brant"," 208","Brantford",82,12,77,79,0,4,2,256,449
"Brant/Brant"," 209","Brantford",63,14,37,56,1,0,0,171,349
"Brant/Brant"," 210","Brantford",56,7,49,56,0,1,0,169,312
"Brant/Brant"," 211","Brantford",65,7,60,37,0,0,0,169,387
"Brant/Brant"," 212","Brantford",68,4,55,41,1,2,0,171,357
"Brant/Brant"," 213","Brantford",59,8,37,72,1,7,0,184,332
"Brant/Brant"," 214","Brantford",63,8,60,54,1,3,0,189,383
"Brant/Brant"," 215","Brantford",70,11,37,55,0,2,0,175,363
"Brant/Brant"," 216","Brantford",83,8,49,79,0,4,0,223,432
"Brant/Brant"," 217","Brantford",74,10,73,84,1,1,0,243,392
"Brant/Brant"," 218","Brantford",77,6,39,75,0,1,1,199,548
"Brant/Brant"," 219","Brant-on-the-Grand",48,18,117,108,0,8,1,300,496
"Brant/Brant"," 220","Brant-on-the-Grand",38,7,151,75,1,5,0,277,408
"Brant/Brant"," 221","Brant-on-the-Grand",39,8,138,48,2,2,2,239,328
"Brant/Brant"," 222","Brant-on-the-Grand",72,12,176,108,1,3,1,373,530
"Brant/Brant"," 223","Brant-on-the-Grand",31,16,96,71,1,4,2,221,337
"Brant/Brant"," 224","Brant-on-the-Grand",29,9,85,64,0,9,0,196,317
"Brant/Brant"," 225","Six Nations 40",33,2,4,51,0,0,0,90,165
"Brant/Brant"," 226","Six Nations 40",44,2,15,85,0,0,1,147,784
"Brant/Brant"," 227","Six Nations 40",15,0,8,54,0,0,0,77,101
"Brant/Brant"," 228","Six Nations 40",20,1,11,81,1,1,0,115,238
"Brant/Brant"," 229","New Credit 40A",24,2,15,41,1,0,0,83,175
"Brant/Brant"," 500","Mobile poll/Bureau itinérant",14,5,15,23,1,1,3,62,27
"Brant/Brant"," 501A","Mobile poll/Bureau itinérant",7,2,24,20,1,3,2,59,153
"Brant/Brant"," 501B","Mobile poll/Bureau itinérant",7,2,30,43,3,1,4,90,38
"Brant/Brant"," 600","Burford",59,19,210,134,1,2,0,425,
"Brant/Brant"," 601","South Dumfries",37,17,282,139,0,5,4,484,
"Brant/Brant"," 602","Paris",81,30,251,226,1,1,0,590,
"Brant/Brant"," 603","Brantford (Oakland--Scotland)",28,10,118,78,1,1,2,238,
"Brant/Brant"," 604","Brantford",77,19,262,236,1,2,0,597,
"Brant/Brant"," 605","Brantford",103,18,307,269,2,1,3,703,
"Brant/Brant"," 606","Brantford",77,19,289,262,3,1,5,656,
"Brant/Brant"," 607","Brantford",97,14,284,323,5,4,3,730,
"Brant/Brant"," 608","Brantford",83,16,158,144,4,4,1,410,
"Brant/Brant"," 609","Brantford",106,18,170,156,3,4,0,457,
"Brant/Brant"," 610","Brantford",69,8,122,107,1,2,3,312,
"Brant/Brant"," 611","Brantford",15,8,80,45,0,1,0,149,
"Brant/Brant"," 612","Six Nations--New Credit",16,1,12,41,0,1,0,71,
"Brant/Brant",,Group 1/Groupe 1,24,11,38,52,3,1,3,132,255
"Brant/Brant",,Group 2/Groupe 2,192,42,538,487,1,8,10,1278,
