Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Fletcher,Mike Johannson,Dennis Kshyk,John Loewen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 82","Winnipeg",81,4,33,60,0,178,309
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 83","Winnipeg",60,12,42,79,0,193,323
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 84","Winnipeg",80,9,21,51,1,162,251
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 85","Winnipeg",92,17,44,101,0,254,399
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 86","Winnipeg",84,6,43,90,1,224,426
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 87","Winnipeg",101,8,34,84,1,228,356
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 88","Winnipeg",102,8,35,77,1,223,367
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 89","Winnipeg",118,12,37,128,0,295,404
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 90","Winnipeg",77,19,38,63,1,198,328
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 91","Winnipeg",111,15,38,85,0,249,434
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 92","Winnipeg",89,5,45,81,1,221,378
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 93","Winnipeg",100,13,40,96,0,249,528
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 94","Winnipeg",67,6,32,66,0,171,346
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 95","Winnipeg",85,12,40,72,2,211,394
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 96","Winnipeg",58,11,21,35,0,125,263
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 97","Winnipeg",170,12,40,136,1,359,598
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 98","Winnipeg",85,5,31,54,0,175,312
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 99","Winnipeg",110,9,36,83,1,239,375
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 100","Winnipeg",111,5,18,63,2,199,347
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 101","Winnipeg",90,4,42,97,0,233,380
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 102","Winnipeg",130,6,31,106,1,274,429
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 103","Winnipeg",49,6,21,46,0,122,219
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 104","Winnipeg",166,10,49,96,5,326,522
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 105A","Winnipeg",70,2,27,54,0,153,281
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 105B","Winnipeg",24,3,17,29,2,75,100
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 106","Winnipeg",109,5,17,102,0,233,314
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 107","Winnipeg",94,11,51,113,1,270,372
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 108","Winnipeg",98,15,25,101,1,240,398
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 109","Winnipeg",125,11,19,108,0,263,398
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 110","Winnipeg",120,9,23,99,0,251,361
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 111","Winnipeg",109,8,19,75,0,211,325
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 112","Winnipeg",130,10,31,84,0,255,383
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 113","Winnipeg",116,11,16,94,3,240,382
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 114","Winnipeg",103,6,29,94,1,233,399
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 115","Winnipeg",109,7,30,95,1,242,374
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 116","Winnipeg",106,12,27,103,0,248,392
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 117","Winnipeg",108,18,15,95,3,239,341
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 118","Winnipeg",110,7,15,97,1,230,370
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 119","Winnipeg",134,10,13,143,2,302,439
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 120","Winnipeg",136,1,23,118,2,280,455
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 121","Winnipeg",85,12,26,72,0,195,339
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 122","Winnipeg",83,13,32,83,0,211,320
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 123","Winnipeg",66,15,24,74,0,179,289
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 124","Winnipeg",92,13,58,82,0,245,420
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 125","Winnipeg",73,11,39,57,0,180,307
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 126","Winnipeg",70,13,32,83,2,200,371
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 127","Winnipeg",74,8,40,51,1,174,334
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 128","Winnipeg",90,13,51,40,0,194,403
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 129","Winnipeg",68,12,31,72,1,184,283
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 130","Winnipeg",65,6,43,82,0,196,300
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 131","Winnipeg",104,15,40,100,0,259,407
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 132","Winnipeg",86,17,28,79,1,211,366
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 133","Winnipeg",45,11,28,58,0,142,229
