Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Sarah Hutchinson,Will Morin,Donald Milton Polmateer,Brent St. Denis,Ian West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 66","Strickland",19,1,0,1,30,12,0,63,148
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 67A","Smooth Rock Falls",52,4,1,0,71,32,0,160,178
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 67B","Smooth Rock Falls",3,2,0,1,2,11,1,20,168
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 68","Dubreuilville",47,3,0,0,46,17,4,117,212
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 69","Dubreuilville",103,2,2,1,67,46,5,226,385
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 70","Wawa",32,5,2,1,31,29,0,100,234
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 71","Michipicoten",8,0,5,0,1,3,0,17,40
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 72","Wawa",95,11,2,0,60,33,1,202,484
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 73","Wawa",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 74","Wawa",54,5,0,2,39,28,0,128,296
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 75","Wawa",63,9,0,2,91,57,1,223,431
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 76","Wawa",75,4,3,1,43,41,1,168,386
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 77","Wawa",80,4,1,0,52,38,0,175,331
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 78","Wawa",68,7,3,0,47,47,0,172,393
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 79","Hawk Junction",63,2,0,0,28,25,0,118,227
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 80","Missanabie",14,0,0,0,9,2,0,25,40
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 81","Montreal River Harbour",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 82A","Chapleau",49,3,0,0,35,37,1,125,125
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 82B","Chapleau",15,2,0,0,8,10,0,35,154
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 83","Chapleau",55,2,1,0,56,33,1,148,317
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 84","Chapleau",48,1,0,1,47,24,0,121,278
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 85","Chapleau",60,7,0,0,80,46,0,193,498
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 86","Chapleau",63,7,0,0,53,44,0,167,381
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 87","Chapleau",25,1,0,2,31,21,1,81,165
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 88","Chapleau",71,5,0,2,40,22,0,140,325
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 89","Chapleau--Island Lake",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 90","Wharncliffe",29,4,2,0,20,23,0,78,110
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 91","Nestorville--Little Rapids",60,6,0,1,72,90,0,229,486
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 92","Wharncliffe",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 93","Nestorville--Little Rapids",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 94","Bruce Station",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 95","Nestorville--Little Rapids",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 96","Thessalon",38,2,0,0,65,54,0,159,356
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 97","Thessalon",57,5,0,2,52,52,1,169,312
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 98","Thessalon",39,3,0,0,64,57,1,164,282
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 99","Sowerby",35,7,8,0,46,51,0,147,249
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 100","Iron Bridge",91,8,4,0,66,131,1,301,471
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 101","Iron Bridge (North)",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 102","Dean Lake--Iron Bridge",54,7,1,2,53,85,0,202,331
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 103","Blind River",88,7,0,0,76,48,0,219,405
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 104","Blind River",50,5,1,0,52,23,1,132,278
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 105","Mississagi River 8",56,2,10,2,58,1,0,129,200
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 106","Blind River",28,4,0,0,44,9,2,87,200
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 107","Blind River",45,4,1,0,53,33,1,137,315
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 108","Blind River",22,2,0,0,41,38,0,103,230
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 109","Blind River",40,5,1,0,70,31,3,150,430
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 110","Blind River",34,1,0,2,45,23,0,105,224
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 111","Blind River",37,1,0,1,55,39,2,135,310
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 112","Blind River",49,40,1,1,58,30,0,179,272
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 113","Blind River",49,2,1,0,60,59,2,173,297
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 114","Algoma Mills",60,1,1,0,43,44,1,150,242
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 115","Spragge",28,2,0,1,22,23,1,77,104
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 116","Elliot Lake",73,4,0,1,74,53,0,205,410
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 117","Elliot Lake",63,4,0,0,61,75,0,203,446
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 118","Elliot Lake",72,4,3,0,59,34,0,172,298
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 119","Elliot Lake",49,6,2,0,44,30,0,131,248
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 120","Elliot Lake",57,12,1,1,57,29,0,157,282
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 121","Elliot Lake",57,10,0,2,59,34,0,162,378
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 122","Elliot Lake",76,3,2,0,45,29,0,155,261
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 123","Elliot Lake",63,4,0,1,51,46,0,165,310
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 124","Elliot Lake",58,7,2,1,47,48,0,163,323
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 125","Elliot Lake",97,6,2,0,129,76,2,312,500
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 126","Elliot Lake",100,5,1,1,99,54,1,261,361
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 127","Elliot Lake",60,5,1,2,83,47,3,201,325
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 128","Elliot Lake",90,5,6,2,53,34,1,191,434
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 129","Elliot Lake",66,5,2,1,57,42,1,174,367
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 130","Elliot Lake",66,3,0,1,58,24,0,152,328
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 131","Elliot Lake",46,2,1,1,75,35,1,161,352
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 132","Elliot Lake",99,3,2,1,71,51,0,227,408
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 133","Elliot Lake",59,3,6,0,62,45,1,176,324
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 134","Elliot Lake",53,5,1,2,76,45,1,183,347
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 135","Elliot Lake",74,2,1,0,64,34,0,175,295
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 136","Elliot Lake",54,3,0,1,47,40,0,145,336
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 137","Elliot Lake",68,0,0,3,54,29,0,154,292
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 138","Elliot Lake",98,9,1,5,95,60,1,269,500
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 139","Elliot Lake",61,5,0,1,68,68,1,204,467
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 140","Elliot Lake",67,7,2,1,65,81,2,225,492
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 141","Elliot Lake",74,3,1,1,64,69,0,212,439
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 142","Massey",54,3,3,0,41,32,0,133,211
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 143","Spanish",61,4,1,1,96,37,1,201,346
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 144","Serpent River 7",48,0,29,0,81,3,1,162,269
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 145","Serpent River",32,2,0,0,23,21,1,79,117
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 146","Spanish",49,4,1,0,66,21,0,141,234
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 147","Walford",49,0,0,2,62,50,0,163,298
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 148","Sagamok 5",76,2,10,2,169,8,0,267,502
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 149","May--Harrow",92,5,2,1,70,75,1,246,409
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 150","Massey",55,7,2,0,42,44,0,150,256
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 151","Massey",43,3,1,1,34,24,1,107,185
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 152","Massey",47,3,1,0,48,20,0,119,251
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 153","Webbwood",85,4,2,0,71,53,1,216,385
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 154","Webbwood",50,4,3,0,25,26,0,108,187
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 155","Hallam--Lee Valley",47,3,0,0,33,17,0,100,174
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 156","Nairn Centre",101,4,1,1,39,50,1,197,343
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 157","McKerrow",109,6,0,1,63,80,0,259,442
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 158","Espanola",86,5,3,1,108,44,1,248,433
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 159","Espanola",79,2,0,1,82,47,2,213,428
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 160","Espanola",95,2,0,0,59,58,2,216,407
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 161","Espanola",99,4,4,0,77,25,0,209,368
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 162","Espanola",58,2,1,1,53,40,0,155,327
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 163","Espanola",78,3,2,0,52,42,0,177,356
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 164","Espanola",96,6,1,1,51,48,1,204,360
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 165","Espanola",79,8,0,3,61,49,1,201,387
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 166","Espanola",96,4,1,1,45,43,1,191,360
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 167","Espanola",77,5,1,0,40,48,1,172,452
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 168","Merritt",87,8,0,1,39,59,0,194,351
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 169","Killarney TWP",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 170","Whitefish Falls",24,10,0,0,51,55,0,140,228
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 171","Birch Island--Whitefish River 4",39,4,7,0,79,6,1,136,242
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 172","Little Current",42,3,0,0,44,52,1,142,272
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 173","Honora--Rockville",22,3,0,0,54,42,0,121,215
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 174","Sucker Creek 23",18,2,2,0,92,8,0,122,188
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 175","Howland",42,8,0,0,49,54,0,153,294
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 176","Little Current",26,7,1,0,51,46,0,131,271
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 177","Little Current",98,16,2,2,97,101,0,316,579
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 178","Little Current",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 179","Sheguiandah",76,19,3,0,82,60,1,241,407
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 180","Wikwemikong Unceded 26",41,5,9,2,168,7,0,232,473
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 181","Wikwemikong",53,2,19,0,228,13,0,315,728
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 182","Assiginack",42,8,0,0,67,64,1,182,310
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 183","Manitouwaning",66,11,2,0,93,62,0,234,369
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 184","Kaboni--South Bay",18,1,5,0,56,10,1,91,188
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 185","Spring Bay",63,5,0,1,58,97,1,225,363
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 186","Providence Bay",67,12,1,0,64,74,0,218,345
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 187","Mindemoya",43,12,0,0,52,92,2,201,338
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 188","Mindemoya (South)",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 189","Mindemoya",28,16,1,0,51,53,3,152,328
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 190","M'Chigeeng 22",45,5,8,1,210,27,2,298,589
