Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brett Dolter,Allyce Herle,Lorne Nystrom,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 127","Regina",7,28,91,58,0,184,402
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 128","Regina",5,58,90,71,0,224,421
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 129","Regina",7,38,80,40,0,165,398
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 130","Regina",7,49,83,64,0,203,462
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 131","Regina",4,49,70,40,0,163,396
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 132","Regina",6,36,29,39,0,110,303
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 133","Regina",4,47,74,41,1,167,416
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 134","Regina",4,36,43,37,0,120,389
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 135","Regina",11,50,95,44,0,200,375
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 136","Regina",11,57,78,61,0,207,387
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 137","Qu'Appelle",2,15,40,90,0,147,198
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 138","Qu'Appelle",5,18,34,52,0,109,168
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 139","Qu'Appelle",1,26,64,81,0,172,300
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 140","Indian Head",5,17,37,112,0,171,226
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 141","Indian Head",12,39,76,103,1,231,308
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 142","Indian Head",12,29,87,116,2,246,482
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 143","Indian Head",9,40,92,89,1,231,329
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 144","Indian Head",2,18,30,77,1,128,197
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 145","Sintaluta",8,14,24,115,1,162,269
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 146","Wolseley",20,42,50,115,1,228,391
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 147","Wolseley",6,32,38,70,0,146,179
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 500","Mobile poll/Bureau itinérant",1,4,24,10,1,40,69
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 501","Mobile poll/Bureau itinérant",0,10,9,13,1,33,70
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 502","Mobile poll/Bureau itinérant",5,9,15,21,1,51,74
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 503","Mobile poll/Bureau itinérant",3,23,36,25,7,94,146
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 504","Mobile poll/Bureau itinérant",1,17,18,15,6,57,97
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 600","Wynyard",1,14,84,100,0,199,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 601","Ituna",1,28,23,144,0,196,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 602","Fort Qu'Appelle",14,62,88,231,1,396,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 603","Pilot Butte",8,37,65,287,0,397,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 604","Regina",11,78,109,132,0,330,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 605","Regina",2,70,98,166,0,336,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 606","Regina",2,51,64,38,0,155,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 607","Regina",7,29,42,44,0,122,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 608","Qu'Appelle",2,14,30,48,0,94,
"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 1/Groupe 1,6,71,28,31,11,147,216
"Regina--Qu'Appelle/Regina--Qu'Appelle",,Group 2/Groupe 2,9,120,205,291,5,630,
