Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baloun,Surjit Kooner,Nikolas Langlands,David Matta,Kevin Pielak,Penny Priddy,Nina Rivet,Roy Whyte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Surrey North/Surrey-Nord"," 107","Surrey",3,22,1,27,3,59,1,4,1,121,318
"Surrey North/Surrey-Nord"," 108","Surrey",4,47,1,65,4,106,10,7,1,245,549
"Surrey North/Surrey-Nord"," 109","Surrey",6,48,2,76,0,118,6,5,1,262,526
"Surrey North/Surrey-Nord"," 110","Surrey",2,46,1,64,2,113,3,3,0,234,542
"Surrey North/Surrey-Nord"," 111A","Surrey",0,54,0,21,1,97,0,0,1,174,349
"Surrey North/Surrey-Nord"," 111B","Surrey",1,48,1,36,1,71,0,0,1,159,318
"Surrey North/Surrey-Nord"," 112","Surrey",2,45,1,50,0,101,0,0,0,199,382
"Surrey North/Surrey-Nord"," 113","Surrey",0,57,4,32,4,105,0,1,0,203,396
"Surrey North/Surrey-Nord"," 114","Surrey",1,48,0,52,5,126,5,5,2,244,493
"Surrey North/Surrey-Nord"," 115","Surrey",1,34,0,49,0,104,1,1,0,190,420
"Surrey North/Surrey-Nord"," 116","Surrey",1,53,1,47,3,126,1,1,3,236,526
"Surrey North/Surrey-Nord"," 117A","Surrey",1,33,0,51,1,101,3,3,2,195,382
"Surrey North/Surrey-Nord"," 117B","Surrey",2,42,0,47,1,86,1,3,0,182,355
"Surrey North/Surrey-Nord"," 118","Surrey",2,78,2,58,2,149,2,4,1,298,595
"Surrey North/Surrey-Nord"," 119","Surrey",1,55,3,89,4,102,3,9,1,267,479
"Surrey North/Surrey-Nord"," 120","Surrey",1,58,1,75,0,114,4,4,1,258,504
"Surrey North/Surrey-Nord"," 121","Surrey",3,42,3,71,3,136,3,8,0,269,509
"Surrey North/Surrey-Nord"," 122A","Surrey",0,36,2,64,3,73,3,2,2,185,364
"Surrey North/Surrey-Nord"," 122B","Surrey",0,47,2,66,3,59,0,2,1,180,372
"Surrey North/Surrey-Nord"," 123","Surrey",0,39,0,42,0,93,1,3,0,178,379
"Surrey North/Surrey-Nord"," 124","Surrey",0,28,0,75,1,115,1,1,1,222,502
"Surrey North/Surrey-Nord"," 125","Surrey",0,51,0,38,0,123,0,2,0,214,467
"Surrey North/Surrey-Nord"," 126","Surrey",5,27,2,48,3,75,3,4,0,167,371
"Surrey North/Surrey-Nord"," 127","Surrey",1,75,0,38,0,194,2,2,0,312,611
"Surrey North/Surrey-Nord"," 128","Surrey",0,43,2,23,2,134,3,5,1,213,455
"Surrey North/Surrey-Nord"," 129","Surrey",1,30,1,29,2,91,3,3,0,160,363
"Surrey North/Surrey-Nord"," 130","Surrey",3,41,9,43,1,112,3,5,0,217,519
"Surrey North/Surrey-Nord"," 131","Surrey",2,50,5,36,0,97,0,4,0,194,411
"Surrey North/Surrey-Nord"," 132A","Surrey",1,32,2,34,4,85,1,5,0,164,323
"Surrey North/Surrey-Nord"," 132B","Surrey",3,41,0,40,1,67,0,2,0,154,291
"Surrey North/Surrey-Nord"," 133","Surrey",1,39,0,72,5,113,7,4,0,241,453
"Surrey North/Surrey-Nord"," 134","Surrey",3,36,1,37,4,110,1,6,4,202,423
"Surrey North/Surrey-Nord"," 135A","Surrey",2,28,0,29,1,81,0,1,2,144,339
"Surrey North/Surrey-Nord"," 135B","Surrey",4,27,1,33,0,101,2,2,2,172,338
"Surrey North/Surrey-Nord"," 136","Surrey",1,74,3,34,1,133,1,1,2,250,477
"Surrey North/Surrey-Nord"," 137","Surrey",0,43,0,38,0,112,2,1,1,197,413
"Surrey North/Surrey-Nord"," 138","Surrey",1,63,0,36,0,142,1,2,2,247,520
"Surrey North/Surrey-Nord"," 139","Surrey",5,48,2,56,3,146,1,4,5,270,484
"Surrey North/Surrey-Nord"," 140","Surrey",3,46,0,69,2,121,3,6,0,250,477
"Surrey North/Surrey-Nord"," 141","Surrey",0,67,0,35,2,131,0,1,1,237,547
"Surrey North/Surrey-Nord"," 142","Surrey",3,29,0,14,0,137,0,2,0,185,405
"Surrey North/Surrey-Nord"," 143","Surrey",0,22,0,12,1,50,0,0,0,85,253
"Surrey North/Surrey-Nord"," 144","Surrey",2,65,2,62,2,138,0,5,1,277,534
"Surrey North/Surrey-Nord"," 145","Surrey",5,46,1,42,1,110,2,1,0,208,488
"Surrey North/Surrey-Nord"," 146","Surrey",1,70,3,32,2,155,1,5,1,270,562
"Surrey North/Surrey-Nord"," 147","Surrey",3,46,2,62,2,122,1,2,1,241,416
"Surrey North/Surrey-Nord"," 148","Surrey",0,85,1,29,1,159,1,2,5,283,519
"Surrey North/Surrey-Nord"," 400","Surrey",0,23,3,45,1,54,1,1,0,128,217
"Surrey North/Surrey-Nord"," 500","Mobile poll/Bureau itinérant",2,13,1,14,1,28,3,3,6,71,133
"Surrey North/Surrey-Nord"," 501","Mobile poll/Bureau itinérant",2,9,2,6,4,15,1,0,0,39,60
"Surrey North/Surrey-Nord"," 502","Mobile poll/Bureau itinérant",2,9,3,28,2,31,2,0,1,78,139
"Surrey North/Surrey-Nord"," 503","Mobile poll/Bureau itinérant",2,29,1,56,2,45,0,4,2,141,189
"Surrey North/Surrey-Nord"," 600","Surrey",4,50,1,91,1,118,8,9,0,282,
"Surrey North/Surrey-Nord"," 601","Surrey",4,37,2,103,0,121,2,6,0,275,
"Surrey North/Surrey-Nord"," 602","Surrey",0,63,5,144,1,127,6,12,0,358,
"Surrey North/Surrey-Nord"," 603","Surrey",4,61,2,88,1,147,3,10,1,317,
"Surrey North/Surrey-Nord"," 604","Surrey",4,83,0,195,14,179,9,14,0,498,
"Surrey North/Surrey-Nord"," 605","Surrey",1,59,1,80,1,114,6,5,2,269,
"Surrey North/Surrey-Nord"," 606","Surrey",8,110,3,126,2,255,14,15,3,536,
"Surrey North/Surrey-Nord",,Group 1/Groupe 1,1,44,1,22,1,34,0,8,2,113,159
"Surrey North/Surrey-Nord",,Group 2/Groupe 2,6,82,4,123,4,152,2,12,5,390,
