Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,François Desgroseilliers,Tenzin D. Khangsar,Marcel Lussier,Robert Nicolas,Jacques Saada,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brossard--La Prairie/Brossard--La Prairie"," 96","Brossard",0,9,42,80,23,95,3,252,466
"Brossard--La Prairie/Brossard--La Prairie"," 97A","Brossard",0,11,39,68,23,67,1,209,373
"Brossard--La Prairie/Brossard--La Prairie"," 97B","Brossard",1,6,33,55,14,75,2,186,328
"Brossard--La Prairie/Brossard--La Prairie"," 97C","Brossard",0,9,36,69,10,79,2,205,348
"Brossard--La Prairie/Brossard--La Prairie"," 98A","Brossard",0,9,14,44,5,33,1,106,227
"Brossard--La Prairie/Brossard--La Prairie"," 98B","Brossard",0,11,16,33,9,34,1,104,319
"Brossard--La Prairie/Brossard--La Prairie"," 99","Brossard",0,5,37,35,25,108,1,211,432
"Brossard--La Prairie/Brossard--La Prairie"," 100","Brossard",0,4,9,51,17,36,2,119,209
"Brossard--La Prairie/Brossard--La Prairie"," 101","Brossard",1,8,45,89,25,54,4,226,446
"Brossard--La Prairie/Brossard--La Prairie"," 102","Brossard",0,8,35,48,13,44,0,148,232
"Brossard--La Prairie/Brossard--La Prairie"," 103","Brossard",0,9,51,52,9,90,4,215,317
"Brossard--La Prairie/Brossard--La Prairie"," 104","Brossard",0,7,38,83,18,78,1,225,408
"Brossard--La Prairie/Brossard--La Prairie"," 105","Brossard",0,4,24,77,13,61,2,181,302
"Brossard--La Prairie/Brossard--La Prairie"," 106","Brossard",1,14,43,103,15,88,1,265,388
"Brossard--La Prairie/Brossard--La Prairie"," 107","Brossard",0,12,50,76,22,96,0,256,431
"Brossard--La Prairie/Brossard--La Prairie"," 108","Brossard",0,17,31,66,25,70,2,211,365
"Brossard--La Prairie/Brossard--La Prairie"," 109A","Brossard",1,6,37,48,11,77,1,181,325
"Brossard--La Prairie/Brossard--La Prairie"," 109B","Brossard",0,4,42,66,8,69,4,193,317
"Brossard--La Prairie/Brossard--La Prairie"," 110","Brossard",0,21,68,101,28,107,1,326,527
"Brossard--La Prairie/Brossard--La Prairie"," 111A","Brossard",2,6,40,57,18,122,1,246,408
"Brossard--La Prairie/Brossard--La Prairie"," 111B","Brossard",0,2,40,85,16,72,1,216,379
"Brossard--La Prairie/Brossard--La Prairie"," 112A","Brossard",0,3,26,6,9,88,0,132,277
"Brossard--La Prairie/Brossard--La Prairie"," 112B","Brossard",0,2,25,8,5,73,0,113,288
"Brossard--La Prairie/Brossard--La Prairie"," 113","Brossard",0,9,53,57,13,131,1,264,474
"Brossard--La Prairie/Brossard--La Prairie"," 114A","Brossard",1,0,27,25,8,76,1,138,324
"Brossard--La Prairie/Brossard--La Prairie"," 114B","Brossard",2,2,27,39,11,59,0,140,308
"Brossard--La Prairie/Brossard--La Prairie"," 115A","Brossard",0,5,25,31,13,66,0,140,277
"Brossard--La Prairie/Brossard--La Prairie"," 115B","Brossard",0,1,18,18,6,65,0,108,292
"Brossard--La Prairie/Brossard--La Prairie"," 116A","Brossard",0,5,14,10,10,107,2,148,330
"Brossard--La Prairie/Brossard--La Prairie"," 116B","Brossard",1,5,27,24,6,78,1,142,323
"Brossard--La Prairie/Brossard--La Prairie"," 117","Brossard",0,2,40,27,9,91,4,173,408
"Brossard--La Prairie/Brossard--La Prairie"," 118","Brossard",0,8,36,67,17,91,2,221,414
"Brossard--La Prairie/Brossard--La Prairie"," 119","Brossard",0,7,45,41,13,143,1,250,514
"Brossard--La Prairie/Brossard--La Prairie"," 120","Brossard",0,6,32,31,11,80,1,161,355
"Brossard--La Prairie/Brossard--La Prairie"," 121A","Brossard",1,1,14,26,9,105,0,156,344
"Brossard--La Prairie/Brossard--La Prairie"," 121B","Brossard",0,5,30,42,6,81,5,169,326
"Brossard--La Prairie/Brossard--La Prairie"," 122A","Brossard",1,7,42,39,12,77,1,179,344
"Brossard--La Prairie/Brossard--La Prairie"," 122B","Brossard",1,5,48,80,21,73,3,231,457
"Brossard--La Prairie/Brossard--La Prairie"," 122C","Brossard",0,11,36,55,17,77,1,197,375
"Brossard--La Prairie/Brossard--La Prairie"," 123A","Brossard",0,3,18,50,10,67,1,149,303
"Brossard--La Prairie/Brossard--La Prairie"," 123B","Brossard",0,2,27,14,8,86,1,138,267
"Brossard--La Prairie/Brossard--La Prairie"," 124A","Brossard",1,3,35,42,21,105,0,207,394
"Brossard--La Prairie/Brossard--La Prairie"," 124B","Brossard",0,2,46,33,16,87,1,185,333
"Brossard--La Prairie/Brossard--La Prairie"," 124C","Brossard",0,6,40,54,9,109,1,219,376
"Brossard--La Prairie/Brossard--La Prairie"," 125A","Brossard",2,7,16,57,15,55,1,153,266
"Brossard--La Prairie/Brossard--La Prairie"," 125B","Brossard",0,3,16,66,20,31,0,136,250
"Brossard--La Prairie/Brossard--La Prairie"," 126A","La Prairie",2,1,27,108,15,45,1,199,323
"Brossard--La Prairie/Brossard--La Prairie"," 126B","La Prairie",0,3,28,91,13,27,1,163,260
"Brossard--La Prairie/Brossard--La Prairie"," 127","La Prairie",0,11,23,114,14,42,4,208,421
"Brossard--La Prairie/Brossard--La Prairie"," 128","La Prairie",0,7,23,103,15,33,0,181,350
"Brossard--La Prairie/Brossard--La Prairie"," 129","La Prairie",0,10,30,82,16,34,2,174,329
"Brossard--La Prairie/Brossard--La Prairie"," 130","La Prairie",3,3,21,54,3,21,1,106,192
"Brossard--La Prairie/Brossard--La Prairie"," 131","La Prairie",0,7,44,117,30,68,0,266,407
"Brossard--La Prairie/Brossard--La Prairie"," 132","La Prairie",0,13,59,132,29,81,2,316,515
"Brossard--La Prairie/Brossard--La Prairie"," 133A","La Prairie",1,4,32,68,13,58,0,176,317
"Brossard--La Prairie/Brossard--La Prairie"," 133B","La Prairie",0,9,30,85,19,31,5,179,273
"Brossard--La Prairie/Brossard--La Prairie"," 134","La Prairie",2,14,39,134,18,44,6,257,360
"Brossard--La Prairie/Brossard--La Prairie"," 135","La Prairie",0,16,50,176,26,64,5,337,507
"Brossard--La Prairie/Brossard--La Prairie"," 136","La Prairie",0,10,43,171,25,55,2,306,464
"Brossard--La Prairie/Brossard--La Prairie"," 137","La Prairie",0,11,29,139,20,37,4,240,339
"Brossard--La Prairie/Brossard--La Prairie"," 138A","La Prairie",0,6,23,77,12,29,7,154,266
"Brossard--La Prairie/Brossard--La Prairie"," 138B","La Prairie",0,6,28,92,22,27,1,176,255
"Brossard--La Prairie/Brossard--La Prairie"," 139","La Prairie",1,8,39,144,27,63,3,285,435
"Brossard--La Prairie/Brossard--La Prairie"," 140","La Prairie",0,8,37,142,19,49,8,263,418
"Brossard--La Prairie/Brossard--La Prairie"," 141A","La Prairie",0,11,34,105,28,25,1,204,302
"Brossard--La Prairie/Brossard--La Prairie"," 141B","La Prairie",0,6,21,106,19,37,3,192,299
"Brossard--La Prairie/Brossard--La Prairie"," 142","La Prairie",0,7,57,164,34,59,1,322,484
"Brossard--La Prairie/Brossard--La Prairie"," 143","La Prairie",2,4,22,88,16,52,0,184,338
"Brossard--La Prairie/Brossard--La Prairie"," 144","La Prairie",1,7,31,140,28,14,2,223,376
"Brossard--La Prairie/Brossard--La Prairie"," 145A","La Prairie",0,3,14,74,7,25,2,125,260
"Brossard--La Prairie/Brossard--La Prairie"," 145B","La Prairie",0,4,18,90,6,25,5,148,270
"Brossard--La Prairie/Brossard--La Prairie"," 146","La Prairie",0,11,13,134,13,23,1,195,322
"Brossard--La Prairie/Brossard--La Prairie"," 147","La Prairie",1,6,31,133,18,51,4,244,427
"Brossard--La Prairie/Brossard--La Prairie"," 148","La Prairie",0,9,29,103,4,56,1,202,355
"Brossard--La Prairie/Brossard--La Prairie"," 149A","La Prairie",0,6,24,106,5,38,4,183,354
"Brossard--La Prairie/Brossard--La Prairie"," 149B","La Prairie",0,3,29,64,2,22,4,124,252
"Brossard--La Prairie/Brossard--La Prairie"," 150","La Prairie",0,6,31,106,10,38,3,194,372
"Brossard--La Prairie/Brossard--La Prairie"," 151","La Prairie",0,3,51,129,12,44,9,248,450
"Brossard--La Prairie/Brossard--La Prairie"," 152A","La Prairie",1,7,17,60,13,16,5,119,276
"Brossard--La Prairie/Brossard--La Prairie"," 152B","La Prairie",1,7,28,65,17,39,3,160,276
"Brossard--La Prairie/Brossard--La Prairie"," 153","La Prairie",0,4,25,95,4,24,4,156,278
"Brossard--La Prairie/Brossard--La Prairie"," 154","La Prairie",1,7,32,122,7,14,3,186,393
"Brossard--La Prairie/Brossard--La Prairie"," 155A","La Prairie",1,6,29,90,9,33,1,169,296
"Brossard--La Prairie/Brossard--La Prairie"," 155B","La Prairie",0,6,21,59,7,25,3,121,245
"Brossard--La Prairie/Brossard--La Prairie"," 156A","La Prairie",0,14,60,177,24,64,1,340,502
"Brossard--La Prairie/Brossard--La Prairie"," 156B","La Prairie",0,4,70,139,32,61,1,307,435
"Brossard--La Prairie/Brossard--La Prairie"," 157A","La Prairie",0,7,27,63,21,27,2,147,238
"Brossard--La Prairie/Brossard--La Prairie"," 157B","La Prairie",0,4,18,96,18,13,1,150,217
"Brossard--La Prairie/Brossard--La Prairie"," 158A","La Prairie",0,13,35,143,35,54,1,281,437
"Brossard--La Prairie/Brossard--La Prairie"," 158B","La Prairie",0,16,45,147,30,28,4,270,432
"Brossard--La Prairie/Brossard--La Prairie"," 158C","La Prairie",0,2,35,113,19,36,2,207,310
"Brossard--La Prairie/Brossard--La Prairie"," 159","La Prairie",1,9,51,186,15,41,5,308,501
"Brossard--La Prairie/Brossard--La Prairie"," 160A","Candiac",0,3,13,106,10,17,2,151,259
"Brossard--La Prairie/Brossard--La Prairie"," 160B","Candiac",0,5,21,73,8,29,3,139,265
"Brossard--La Prairie/Brossard--La Prairie"," 161","Candiac",0,5,47,171,25,33,3,284,510
"Brossard--La Prairie/Brossard--La Prairie"," 162","Candiac",0,7,44,104,17,68,3,243,374
"Brossard--La Prairie/Brossard--La Prairie"," 163","Candiac",0,6,53,94,23,81,2,259,376
"Brossard--La Prairie/Brossard--La Prairie"," 164","Candiac",0,5,74,94,15,77,2,267,379
"Brossard--La Prairie/Brossard--La Prairie"," 165","Candiac",0,11,71,97,27,101,3,310,447
"Brossard--La Prairie/Brossard--La Prairie"," 165-1A","Candiac",0,11,58,110,20,55,2,256,386
"Brossard--La Prairie/Brossard--La Prairie"," 165-1B","Candiac",0,10,66,115,19,55,4,269,440
"Brossard--La Prairie/Brossard--La Prairie"," 165-1C","Candiac",0,4,64,103,14,80,2,267,478
"Brossard--La Prairie/Brossard--La Prairie"," 166A","Candiac",1,7,43,56,19,47,1,174,251
"Brossard--La Prairie/Brossard--La Prairie"," 166B","Candiac",0,9,43,52,15,53,2,174,281
"Brossard--La Prairie/Brossard--La Prairie"," 167","Candiac",1,11,77,85,31,98,1,304,427
"Brossard--La Prairie/Brossard--La Prairie"," 168","Candiac",1,14,63,67,18,71,1,235,406
"Brossard--La Prairie/Brossard--La Prairie"," 169","Candiac",0,15,64,136,23,79,1,318,500
"Brossard--La Prairie/Brossard--La Prairie"," 170","Candiac",0,14,36,101,23,67,3,244,380
"Brossard--La Prairie/Brossard--La Prairie"," 171","Candiac",0,14,43,126,24,58,1,266,394
"Brossard--La Prairie/Brossard--La Prairie"," 172","Candiac",1,6,51,133,21,42,3,257,424
"Brossard--La Prairie/Brossard--La Prairie"," 173","Candiac",2,12,52,143,22,68,5,304,434
"Brossard--La Prairie/Brossard--La Prairie"," 174","Candiac",0,13,39,152,30,45,7,286,414
"Brossard--La Prairie/Brossard--La Prairie"," 175","Candiac",1,3,26,106,12,30,5,183,371
"Brossard--La Prairie/Brossard--La Prairie"," 176","Candiac",0,5,47,70,11,36,1,170,267
"Brossard--La Prairie/Brossard--La Prairie"," 177","Candiac",0,5,55,133,18,65,2,278,402
"Brossard--La Prairie/Brossard--La Prairie"," 178","Candiac",1,9,57,87,26,79,2,261,384
"Brossard--La Prairie/Brossard--La Prairie"," 179","Candiac",0,4,28,139,23,56,0,250,375
"Brossard--La Prairie/Brossard--La Prairie"," 180","Candiac",0,14,49,119,34,90,2,308,412
"Brossard--La Prairie/Brossard--La Prairie"," 181","Candiac",2,13,26,119,27,58,5,250,455
"Brossard--La Prairie/Brossard--La Prairie"," 182A","Candiac",0,18,68,104,19,62,4,275,363
"Brossard--La Prairie/Brossard--La Prairie"," 182B","Candiac",0,14,74,125,36,57,5,311,492
"Brossard--La Prairie/Brossard--La Prairie"," 183","Saint-Philippe",0,10,38,174,19,31,3,275,444
"Brossard--La Prairie/Brossard--La Prairie"," 184A","Saint-Philippe",1,2,32,145,9,26,2,217,361
"Brossard--La Prairie/Brossard--La Prairie"," 184B","Saint-Philippe",1,6,20,107,7,15,4,160,273
"Brossard--La Prairie/Brossard--La Prairie"," 185A","Saint-Philippe",3,3,39,93,3,22,4,167,284
"Brossard--La Prairie/Brossard--La Prairie"," 185B","Saint-Philippe",0,5,21,91,9,14,5,145,238
"Brossard--La Prairie/Brossard--La Prairie"," 186A","Saint-Philippe",0,4,30,153,10,21,3,221,358
"Brossard--La Prairie/Brossard--La Prairie"," 186B","Saint-Philippe",0,4,26,126,19,14,4,193,311
"Brossard--La Prairie/Brossard--La Prairie"," 187","Saint-Philippe",0,11,29,147,11,49,2,249,418
"Brossard--La Prairie/Brossard--La Prairie"," 188","Saint-Philippe",0,11,22,124,12,58,4,231,419
"Brossard--La Prairie/Brossard--La Prairie"," 189A","Saint-Philippe",0,3,23,143,17,26,2,214,337
"Brossard--La Prairie/Brossard--La Prairie"," 189B","Saint-Philippe",0,8,39,130,18,50,4,249,400
"Brossard--La Prairie/Brossard--La Prairie"," 500","Mobile poll/Bureau itinérant",0,1,8,7,3,25,1,45,186
"Brossard--La Prairie/Brossard--La Prairie"," 501","Mobile poll/Bureau itinérant",2,7,25,49,2,109,1,195,265
"Brossard--La Prairie/Brossard--La Prairie"," 502","Mobile poll/Bureau itinérant",1,3,6,18,2,26,2,58,106
"Brossard--La Prairie/Brossard--La Prairie"," 503","Mobile poll/Bureau itinérant",4,3,16,20,4,47,3,97,211
"Brossard--La Prairie/Brossard--La Prairie"," 600","Brossard",3,18,126,174,54,367,5,747,
"Brossard--La Prairie/Brossard--La Prairie"," 601","Brossard",0,1,47,130,13,120,6,317,
"Brossard--La Prairie/Brossard--La Prairie"," 602","Brossard",1,12,135,190,55,353,1,747,
"Brossard--La Prairie/Brossard--La Prairie"," 603","Brossard",0,15,154,213,37,339,2,760,
"Brossard--La Prairie/Brossard--La Prairie"," 604","Brossard",2,8,162,189,29,373,12,775,
"Brossard--La Prairie/Brossard--La Prairie"," 605","Brossard",1,16,130,155,41,418,3,764,
"Brossard--La Prairie/Brossard--La Prairie"," 606","Brossard",0,10,111,116,26,248,0,511,
"Brossard--La Prairie/Brossard--La Prairie"," 607","La Prairie",0,20,160,346,59,234,9,828,
"Brossard--La Prairie/Brossard--La Prairie"," 608","La Prairie",0,13,94,208,35,140,0,490,
"Brossard--La Prairie/Brossard--La Prairie"," 609","Candiac",1,16,203,352,32,323,4,931,
"Brossard--La Prairie/Brossard--La Prairie"," 610","Saint-Philippe",1,7,23,112,11,64,0,218,
"Brossard--La Prairie/Brossard--La Prairie",,Group 1/Groupe 1,1,2,28,26,4,38,3,102,186
"Brossard--La Prairie/Brossard--La Prairie",,Group 2/Groupe 2,1,39,214,796,90,1360,19,2519,
