Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Antle,Norman Doyle,Stephen Eli Harris,Mike Kehoe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. John's East/St. John's-Est"," 36B","Portugal Cove-St. Philips",83,82,0,23,0,188,328
"St. John's East/St. John's-Est"," 37A","Portugal Cove-St. Philips",62,88,2,29,0,181,313
"St. John's East/St. John's-Est"," 37B","Portugal Cove-St. Philips",69,79,2,35,1,186,320
"St. John's East/St. John's-Est"," 38A","Portugal Cove-St. Philips",74,136,1,47,1,259,444
"St. John's East/St. John's-Est"," 38B","Portugal Cove-St. Philips",96,88,2,33,1,220,382
"St. John's East/St. John's-Est"," 38C","Mobile poll/Bureau itinérant",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,21
"St. John's East/St. John's-Est"," 39A","Paradise",29,60,0,34,0,123,306
"St. John's East/St. John's-Est"," 39B","Paradise",37,66,0,23,1,127,281
"St. John's East/St. John's-Est"," 40","Paradise",27,39,1,11,0,78,131
"St. John's East/St. John's-Est"," 41A","Paradise",48,90,6,27,0,171,376
"St. John's East/St. John's-Est"," 41B","Paradise",47,84,2,16,2,151,347
"St. John's East/St. John's-Est"," 42A","Paradise",69,85,2,37,0,193,352
"St. John's East/St. John's-Est"," 42B","Paradise",78,104,0,42,0,224,351
"St. John's East/St. John's-Est"," 43A","Paradise",52,52,2,17,1,124,268
"St. John's East/St. John's-Est"," 43B","Paradise",38,55,0,20,0,113,261
"St. John's East/St. John's-Est"," 44A","Paradise",73,88,1,29,1,192,354
"St. John's East/St. John's-Est"," 44B","Paradise",53,88,1,30,1,173,324
"St. John's East/St. John's-Est"," 45A","Paradise",90,115,1,53,0,259,509
"St. John's East/St. John's-Est"," 45B","Paradise",102,123,2,50,1,278,536
"St. John's East/St. John's-Est"," 46A","Paradise",64,83,1,42,0,190,348
"St. John's East/St. John's-Est"," 46B","Paradise",71,93,0,36,0,200,366
"St. John's East/St. John's-Est"," 47","Paradise",91,92,1,38,0,222,420
"St. John's East/St. John's-Est"," 48","Paradise",69,104,3,35,0,211,509
"St. John's East/St. John's-Est"," 49A","Paradise",64,118,3,26,0,211,406
"St. John's East/St. John's-Est"," 49B","Paradise",68,96,3,41,0,208,431
"St. John's East/St. John's-Est"," 49C","Paradise",91,111,1,32,0,235,439
"St. John's East/St. John's-Est"," 50A","Paradise",98,137,2,65,0,302,482
"St. John's East/St. John's-Est"," 50B","Paradise",76,137,0,57,0,270,548
"St. John's East/St. John's-Est"," 50C","Mobile poll/Bureau itinérant",Merged with No. 155B/Fusionné avec le nº 155B,,,,,,30
"St. John's East/St. John's-Est"," 51A","Paradise",80,114,5,36,1,236,386
"St. John's East/St. John's-Est"," 51B","Paradise",64,101,2,33,1,201,305
"St. John's East/St. John's-Est"," 52","St. John's",42,67,3,22,0,134,268
"St. John's East/St. John's-Est"," 53","St. John's",69,57,2,44,0,172,443
"St. John's East/St. John's-Est"," 54","St. John's",39,50,0,18,0,107,288
"St. John's East/St. John's-Est"," 55A","St. John's",71,64,3,34,1,173,286
"St. John's East/St. John's-Est"," 55B","St. John's",53,60,0,22,0,135,273
"St. John's East/St. John's-Est"," 56","St. John's",92,106,5,55,0,258,427
"St. John's East/St. John's-Est"," 57A","St. John's",101,85,3,26,0,215,351
"St. John's East/St. John's-Est"," 57B","St. John's",77,87,1,21,1,187,337
"St. John's East/St. John's-Est"," 58","St. John's",74,114,4,37,0,229,361
"St. John's East/St. John's-Est"," 59","St. John's",76,112,0,36,0,224,346
"St. John's East/St. John's-Est"," 60","St. John's",92,99,3,60,0,254,454
"St. John's East/St. John's-Est"," 61A","St. John's",32,52,0,14,0,98,379
"St. John's East/St. John's-Est"," 61B","St. John's",63,64,0,19,0,146,282
"St. John's East/St. John's-Est"," 61C","Mobile poll/Bureau itinérant",18,32,0,3,0,53,110
"St. John's East/St. John's-Est"," 62","St. John's",67,90,4,11,7,179,291
"St. John's East/St. John's-Est"," 63","St. John's",85,136,1,48,0,270,394
"St. John's East/St. John's-Est"," 64","St. John's",120,137,1,52,1,311,591
"St. John's East/St. John's-Est"," 65","St. John's",72,132,0,42,1,247,399
"St. John's East/St. John's-Est"," 66","St. John's",61,153,1,28,2,245,392
"St. John's East/St. John's-Est"," 67","St. John's",78,51,0,42,0,171,253
"St. John's East/St. John's-Est"," 68A","St. John's",65,117,2,41,0,225,368
"St. John's East/St. John's-Est"," 68B","St. John's",67,96,1,43,0,207,347
"St. John's East/St. John's-Est"," 69A","St. John's",95,126,2,52,1,276,479
"St. John's East/St. John's-Est"," 69B","St. John's",102,129,0,72,1,304,512
"St. John's East/St. John's-Est"," 70","St. John's",72,84,1,21,0,178,315
"St. John's East/St. John's-Est"," 71A","St. John's",49,66,2,19,0,136,336
"St. John's East/St. John's-Est"," 71B","St. John's",46,48,0,27,0,121,320
"St. John's East/St. John's-Est"," 72","St. John's",54,52,1,25,1,133,242
"St. John's East/St. John's-Est"," 73","St. John's",75,70,3,31,2,181,251
"St. John's East/St. John's-Est"," 74","St. John's",65,89,5,60,0,219,511
"St. John's East/St. John's-Est"," 75A","St. John's",74,81,4,30,0,189,338
"St. John's East/St. John's-Est"," 75B","St. John's",65,78,2,32,0,177,364
"St. John's East/St. John's-Est"," 76A","St. John's",80,128,0,43,1,252,422
"St. John's East/St. John's-Est"," 76B","St. John's",99,111,3,47,2,262,449
"St. John's East/St. John's-Est"," 77A","St. John's",74,99,0,20,0,193,294
"St. John's East/St. John's-Est"," 77B","St. John's",92,107,1,26,0,226,311
"St. John's East/St. John's-Est"," 78","St. John's",140,165,4,25,1,335,477
"St. John's East/St. John's-Est"," 79","St. John's",130,140,3,46,0,319,470
"St. John's East/St. John's-Est"," 80","St. John's",82,78,1,35,0,196,328
"St. John's East/St. John's-Est"," 81","St. John's",61,77,0,40,0,178,392
"St. John's East/St. John's-Est"," 82","St. John's",98,95,1,34,3,231,378
"St. John's East/St. John's-Est"," 83","St. John's",114,138,5,66,0,323,390
"St. John's East/St. John's-Est"," 84","St. John's",97,133,3,36,0,269,388
"St. John's East/St. John's-Est"," 85","St. John's",61,77,0,18,0,156,442
"St. John's East/St. John's-Est"," 86","St. John's",111,149,6,58,2,326,377
"St. John's East/St. John's-Est"," 87","St. John's",35,50,2,24,0,111,179
"St. John's East/St. John's-Est"," 88","St. John's",100,84,0,51,0,235,423
"St. John's East/St. John's-Est"," 89","St. John's",56,65,2,38,0,161,373
"St. John's East/St. John's-Est"," 90","St. John's",46,58,0,44,0,148,372
"St. John's East/St. John's-Est"," 91","St. John's",110,116,4,56,1,287,506
"St. John's East/St. John's-Est"," 92","St. John's",100,128,1,49,1,279,429
"St. John's East/St. John's-Est"," 93","St. John's",76,80,0,49,1,206,284
"St. John's East/St. John's-Est"," 94","St. John's",75,54,3,50,0,182,320
"St. John's East/St. John's-Est"," 95","St. John's",119,133,4,42,3,301,460
"St. John's East/St. John's-Est"," 96","St. John's",47,59,0,32,1,139,258
"St. John's East/St. John's-Est"," 97","St. John's",59,92,1,29,0,181,307
"St. John's East/St. John's-Est"," 98","St. John's",91,80,4,29,0,204,306
"St. John's East/St. John's-Est"," 99","St. John's",85,95,0,33,0,213,391
"St. John's East/St. John's-Est"," 100","St. John's",67,67,2,39,0,175,356
"St. John's East/St. John's-Est"," 101","St. John's",73,93,2,36,0,204,332
"St. John's East/St. John's-Est"," 102","St. John's",90,125,0,44,2,261,470
"St. John's East/St. John's-Est"," 103","St. John's",55,51,1,21,0,128,313
"St. John's East/St. John's-Est"," 104A","St. John's",126,135,3,49,0,313,510
"St. John's East/St. John's-Est"," 104B","Mobile poll/Bureau itinérant",Merged with No. 61C/Fusionné avec le nº 61C,,,,,,45
"St. John's East/St. John's-Est"," 105A","St. John's",73,74,2,43,2,194,283
"St. John's East/St. John's-Est"," 105B","Mobile poll/Bureau itinérant",28,42,0,6,3,79,231
"St. John's East/St. John's-Est"," 106","St. John's",125,122,7,60,0,314,451
"St. John's East/St. John's-Est"," 107","St. John's",75,96,4,29,1,205,277
"St. John's East/St. John's-Est"," 108","St. John's",129,113,3,38,0,283,423
"St. John's East/St. John's-Est"," 109","St. John's",43,68,6,34,1,152,232
"St. John's East/St. John's-Est"," 110","St. John's",98,119,3,42,2,264,382
"St. John's East/St. John's-Est"," 111","St. John's",72,73,6,35,2,188,285
"St. John's East/St. John's-Est"," 112","St. John's",44,60,1,21,0,126,239
"St. John's East/St. John's-Est"," 113","St. John's",152,95,5,88,1,341,577
"St. John's East/St. John's-Est"," 114","St. John's",65,63,5,41,0,174,357
"St. John's East/St. John's-Est"," 115","St. John's",83,67,5,58,1,214,257
"St. John's East/St. John's-Est"," 116","St. John's",56,68,0,36,0,160,360
"St. John's East/St. John's-Est"," 117","St. John's",28,42,1,15,1,87,269
"St. John's East/St. John's-Est"," 118","St. John's",55,60,0,29,1,145,229
"St. John's East/St. John's-Est"," 119","St. John's",68,70,0,23,0,161,261
"St. John's East/St. John's-Est"," 120","St. John's",52,52,4,27,0,135,232
"St. John's East/St. John's-Est"," 121","St. John's",51,79,4,26,0,160,246
"St. John's East/St. John's-Est"," 122","St. John's",54,84,0,25,0,163,256
"St. John's East/St. John's-Est"," 123","St. John's",61,66,1,39,0,167,332
"St. John's East/St. John's-Est"," 124A","St. John's",80,73,0,46,0,199,412
"St. John's East/St. John's-Est"," 124B","St. John's",74,74,2,34,0,184,425
"St. John's East/St. John's-Est"," 125","St. John's",73,58,1,42,0,174,287
"St. John's East/St. John's-Est"," 126A","St. John's",43,38,2,59,0,142,291
"St. John's East/St. John's-Est"," 126B","St. John's",46,40,3,62,0,151,301
"St. John's East/St. John's-Est"," 127","St. John's",31,47,4,70,0,152,309
"St. John's East/St. John's-Est"," 128","St. John's",76,56,2,79,0,213,337
"St. John's East/St. John's-Est"," 129","St. John's",38,49,4,54,1,146,284
"St. John's East/St. John's-Est"," 130","St. John's",50,47,5,85,0,187,346
"St. John's East/St. John's-Est"," 131A","St. John's",61,52,3,42,1,159,273
"St. John's East/St. John's-Est"," 131B","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,18
"St. John's East/St. John's-Est"," 132","St. John's",46,47,3,38,0,134,369
"St. John's East/St. John's-Est"," 133","St. John's",68,82,3,57,0,210,350
"St. John's East/St. John's-Est"," 134","St. John's",54,61,3,39,1,158,319
"St. John's East/St. John's-Est"," 135","St. John's",43,57,2,41,0,143,273
"St. John's East/St. John's-Est"," 136","St. John's",37,62,0,51,1,151,297
"St. John's East/St. John's-Est"," 137","St. John's",55,65,2,22,0,144,269
"St. John's East/St. John's-Est"," 138","St. John's",51,43,0,32,0,126,267
"St. John's East/St. John's-Est"," 139A","Conception Bay South",87,98,3,26,1,215,336
"St. John's East/St. John's-Est"," 139B","Conception Bay South",74,89,3,34,0,200,347
"St. John's East/St. John's-Est"," 140","Conception Bay South",85,114,3,39,0,241,483
"St. John's East/St. John's-Est"," 141","Conception Bay South",100,144,2,45,0,291,494
"St. John's East/St. John's-Est"," 142","Conception Bay South",105,98,1,43,3,250,415
"St. John's East/St. John's-Est"," 143","Conception Bay South",48,68,1,29,0,146,297
"St. John's East/St. John's-Est"," 144","Conception Bay South",86,107,1,39,1,234,440
"St. John's East/St. John's-Est"," 145A","Conception Bay South",55,54,1,24,1,135,269
"St. John's East/St. John's-Est"," 145B","Conception Bay South",47,67,1,28,0,143,294
"St. John's East/St. John's-Est"," 146","Conception Bay South",74,93,3,53,2,225,407
"St. John's East/St. John's-Est"," 147A","Conception Bay South",34,88,2,23,0,147,321
"St. John's East/St. John's-Est"," 147B","Conception Bay South",62,98,1,37,0,198,344
"St. John's East/St. John's-Est"," 148A","Conception Bay South",56,62,1,25,0,144,280
"St. John's East/St. John's-Est"," 148B","Conception Bay South",42,62,1,18,0,123,270
"St. John's East/St. John's-Est"," 149","Conception Bay South",46,81,1,41,2,171,394
"St. John's East/St. John's-Est"," 150A","Conception Bay South",52,106,2,41,1,202,351
"St. John's East/St. John's-Est"," 150B","Mobile poll/Bureau itinérant",Merged with No. 155B/Fusionné avec le nº 155B,,,,,,25
"St. John's East/St. John's-Est"," 151","Conception Bay South",Void/Supprimé,,,,,,
"St. John's East/St. John's-Est"," 152A","Conception Bay South",51,104,3,31,1,190,385
"St. John's East/St. John's-Est"," 152B","Mobile poll/Bureau itinérant",Merged with No. 155B/Fusionné avec le nº 155B,,,,,,21
"St. John's East/St. John's-Est"," 153A","Conception Bay South",72,69,1,40,2,184,388
"St. John's East/St. John's-Est"," 153B","Conception Bay South",77,76,1,36,0,190,410
"St. John's East/St. John's-Est"," 154","Conception Bay South",70,104,1,54,0,229,505
"St. John's East/St. John's-Est"," 155A","Conception Bay South",30,39,0,17,0,86,195
"St. John's East/St. John's-Est"," 155B","Mobile poll/Bureau itinérant",35,37,1,6,3,82,34
"St. John's East/St. John's-Est"," 600","Torbay",83,181,0,29,0,293,
"St. John's East/St. John's-Est"," 601","Wabana",55,129,2,9,1,196,
"St. John's East/St. John's-Est"," 602","St. Phillips",131,222,2,42,0,397,
"St. John's East/St. John's-Est"," 603","St. John's",182,301,2,55,3,543,
"St. John's East/St. John's-Est"," 604","St. John's",181,273,4,38,0,496,
"St. John's East/St. John's-Est"," 605","St. John's",130,212,3,36,0,381,
"St. John's East/St. John's-Est"," 606","St. John's",51,89,4,42,0,186,
"St. John's East/St. John's-Est"," 607","Conception Bay South",110,207,1,31,0,349,
"St. John's East/St. John's-Est",,Group 1/Groupe 1,69,123,8,18,1,219,524
"St. John's East/St. John's-Est",,Group 2/Groupe 2,295,429,11,88,10,833,
