Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Diane Finley,Valya Roberts,Bob Speller,Carolyn Van Nort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haldimand--Norfolk/Haldimand--Norfolk"," 95","Simcoe",0,91,22,102,10,0,225,433
"Haldimand--Norfolk/Haldimand--Norfolk"," 96","Simcoe",1,92,16,97,5,0,211,383
"Haldimand--Norfolk/Haldimand--Norfolk"," 97","Simcoe",1,105,23,126,7,0,262,409
"Haldimand--Norfolk/Haldimand--Norfolk"," 98","Simcoe",0,47,11,48,0,0,106,225
"Haldimand--Norfolk/Haldimand--Norfolk"," 99","Simcoe",1,50,33,47,4,2,137,381
"Haldimand--Norfolk/Haldimand--Norfolk"," 100","Simcoe",0,42,18,30,9,1,100,233
"Haldimand--Norfolk/Haldimand--Norfolk"," 101","Simcoe",2,105,17,78,8,1,211,335
"Haldimand--Norfolk/Haldimand--Norfolk"," 102","Simcoe",3,100,28,89,9,3,232,413
"Haldimand--Norfolk/Haldimand--Norfolk"," 103","Nanticoke",2,80,14,75,6,2,179,309
"Haldimand--Norfolk/Haldimand--Norfolk"," 104","Nanticoke",2,101,21,66,6,0,196,306
"Haldimand--Norfolk/Haldimand--Norfolk"," 105","Nanticoke",5,178,20,86,13,0,302,525
"Haldimand--Norfolk/Haldimand--Norfolk"," 106","Nanticoke",3,105,16,94,3,0,221,371
"Haldimand--Norfolk/Haldimand--Norfolk"," 107","Nanticoke",2,93,29,94,6,0,224,349
"Haldimand--Norfolk/Haldimand--Norfolk"," 108","Nanticoke",2,136,36,108,14,0,296,487
"Haldimand--Norfolk/Haldimand--Norfolk"," 109","Nanticoke",0,113,39,89,12,0,253,478
"Haldimand--Norfolk/Haldimand--Norfolk"," 110","Nanticoke",4,83,29,100,10,0,226,381
"Haldimand--Norfolk/Haldimand--Norfolk"," 111","Nanticoke",3,91,32,89,12,1,228,373
"Haldimand--Norfolk/Haldimand--Norfolk"," 112","Nanticoke",2,70,17,97,13,1,200,341
"Haldimand--Norfolk/Haldimand--Norfolk"," 113","Nanticoke",0,56,23,71,5,1,156,300
"Haldimand--Norfolk/Haldimand--Norfolk"," 114","Nanticoke",3,124,52,76,15,1,271,522
"Haldimand--Norfolk/Haldimand--Norfolk"," 115","Nanticoke",0,128,33,102,12,1,276,425
"Haldimand--Norfolk/Haldimand--Norfolk"," 116","Nanticoke",5,114,32,96,8,1,256,451
"Haldimand--Norfolk/Haldimand--Norfolk"," 117","Nanticoke",1,136,38,74,13,2,264,423
"Haldimand--Norfolk/Haldimand--Norfolk"," 118","Nanticoke",6,158,35,110,13,0,322,491
"Haldimand--Norfolk/Haldimand--Norfolk"," 119","Nanticoke",1,116,32,79,3,0,231,330
"Haldimand--Norfolk/Haldimand--Norfolk"," 120","Nanticoke",3,126,31,56,8,1,225,409
"Haldimand--Norfolk/Haldimand--Norfolk"," 121","Nanticoke",7,137,8,64,9,0,225,393
"Haldimand--Norfolk/Haldimand--Norfolk"," 122","Nanticoke",8,156,53,128,5,2,352,558
"Haldimand--Norfolk/Haldimand--Norfolk"," 123","Nanticoke",0,142,54,114,8,1,319,573
"Haldimand--Norfolk/Haldimand--Norfolk"," 124","Nanticoke",3,93,29,64,7,1,197,298
"Haldimand--Norfolk/Haldimand--Norfolk"," 125","Nanticoke",4,112,35,89,7,1,248,394
"Haldimand--Norfolk/Haldimand--Norfolk"," 126","Nanticoke",3,142,32,65,9,0,251,469
"Haldimand--Norfolk/Haldimand--Norfolk"," 127","Nanticoke",1,130,49,84,8,3,275,512
"Haldimand--Norfolk/Haldimand--Norfolk"," 128","Nanticoke",0,80,31,46,5,0,162,274
"Haldimand--Norfolk/Haldimand--Norfolk"," 129","Nanticoke",1,104,24,51,3,1,184,301
"Haldimand--Norfolk/Haldimand--Norfolk"," 130","Haldimand",2,85,18,94,5,0,204,339
"Haldimand--Norfolk/Haldimand--Norfolk"," 131","Haldimand",1,125,39,127,9,2,303,503
"Haldimand--Norfolk/Haldimand--Norfolk"," 132","Haldimand",4,85,41,92,6,1,229,458
"Haldimand--Norfolk/Haldimand--Norfolk"," 133","Haldimand",1,91,34,74,6,2,208,337
"Haldimand--Norfolk/Haldimand--Norfolk"," 134","Haldimand",2,81,26,67,7,3,186,376
"Haldimand--Norfolk/Haldimand--Norfolk"," 135","Haldimand",3,97,22,50,8,2,182,341
"Haldimand--Norfolk/Haldimand--Norfolk"," 136","Haldimand",4,140,31,80,9,0,264,423
"Haldimand--Norfolk/Haldimand--Norfolk"," 137","Haldimand",5,69,16,41,2,1,134,206
"Haldimand--Norfolk/Haldimand--Norfolk"," 138","Haldimand",2,201,59,142,13,0,417,668
"Haldimand--Norfolk/Haldimand--Norfolk"," 139","Haldimand",3,116,40,102,5,1,267,417
"Haldimand--Norfolk/Haldimand--Norfolk"," 140","Haldimand",1,123,39,91,7,1,262,400
"Haldimand--Norfolk/Haldimand--Norfolk"," 141","Haldimand",1,80,41,73,5,0,200,321
"Haldimand--Norfolk/Haldimand--Norfolk"," 142","Haldimand",1,140,41,69,12,2,265,450
"Haldimand--Norfolk/Haldimand--Norfolk"," 143","Haldimand",2,95,32,58,8,0,195,363
"Haldimand--Norfolk/Haldimand--Norfolk"," 144","Haldimand",2,152,66,108,15,2,345,558
"Haldimand--Norfolk/Haldimand--Norfolk"," 145","Haldimand",2,62,51,61,6,1,183,303
"Haldimand--Norfolk/Haldimand--Norfolk"," 146","Haldimand",0,99,44,63,7,0,213,358
"Haldimand--Norfolk/Haldimand--Norfolk"," 147","Haldimand",2,93,36,82,9,1,223,379
"Haldimand--Norfolk/Haldimand--Norfolk"," 148","Haldimand",1,68,43,51,11,1,175,346
"Haldimand--Norfolk/Haldimand--Norfolk"," 149","Haldimand",1,98,42,104,8,0,253,439
"Haldimand--Norfolk/Haldimand--Norfolk"," 150","Haldimand",1,87,37,100,10,1,236,396
"Haldimand--Norfolk/Haldimand--Norfolk"," 151","Haldimand",4,102,47,95,18,0,266,411
"Haldimand--Norfolk/Haldimand--Norfolk"," 152","Haldimand",0,39,30,57,5,1,132,296
"Haldimand--Norfolk/Haldimand--Norfolk"," 153","Haldimand",1,72,40,77,13,0,203,378
"Haldimand--Norfolk/Haldimand--Norfolk"," 154","Haldimand",1,102,53,96,8,0,260,413
"Haldimand--Norfolk/Haldimand--Norfolk"," 155","Haldimand",0,115,49,103,9,1,277,470
"Haldimand--Norfolk/Haldimand--Norfolk"," 156","Haldimand",1,105,34,86,12,1,239,424
"Haldimand--Norfolk/Haldimand--Norfolk"," 157","Haldimand",5,126,47,89,5,1,273,454
"Haldimand--Norfolk/Haldimand--Norfolk"," 158","Haldimand",3,81,23,41,5,1,154,317
"Haldimand--Norfolk/Haldimand--Norfolk"," 159","Haldimand",3,185,59,87,19,2,355,575
"Haldimand--Norfolk/Haldimand--Norfolk"," 160","Haldimand",0,95,26,40,10,1,172,328
"Haldimand--Norfolk/Haldimand--Norfolk"," 161","Haldimand",8,129,33,73,14,1,258,461
"Haldimand--Norfolk/Haldimand--Norfolk"," 162","Haldimand",1,89,14,54,4,2,164,273
"Haldimand--Norfolk/Haldimand--Norfolk"," 163","Haldimand",6,158,35,57,11,1,268,526
"Haldimand--Norfolk/Haldimand--Norfolk"," 164","Haldimand",3,107,31,57,13,0,211,425
"Haldimand--Norfolk/Haldimand--Norfolk"," 165","Haldimand",3,138,41,83,6,1,272,468
"Haldimand--Norfolk/Haldimand--Norfolk"," 166","Haldimand",2,120,33,65,11,0,231,356
"Haldimand--Norfolk/Haldimand--Norfolk"," 167","Haldimand",3,77,19,44,5,0,148,270
"Haldimand--Norfolk/Haldimand--Norfolk"," 168","Haldimand",3,91,38,48,6,0,186,325
"Haldimand--Norfolk/Haldimand--Norfolk"," 169","Haldimand",5,118,41,70,9,0,243,427
"Haldimand--Norfolk/Haldimand--Norfolk"," 170","Haldimand",2,130,33,92,14,2,273,442
"Haldimand--Norfolk/Haldimand--Norfolk"," 171","Haldimand",3,114,19,68,10,0,214,309
"Haldimand--Norfolk/Haldimand--Norfolk"," 172","Haldimand",4,156,28,46,13,2,249,318
"Haldimand--Norfolk/Haldimand--Norfolk"," 173A","Haldimand",2,80,26,35,6,1,150,282
"Haldimand--Norfolk/Haldimand--Norfolk"," 173B","Haldimand",1,87,28,47,11,0,174,295
"Haldimand--Norfolk/Haldimand--Norfolk"," 174","Haldimand",3,153,57,99,8,0,320,538
"Haldimand--Norfolk/Haldimand--Norfolk"," 175","Haldimand",1,148,31,59,7,1,247,417
