Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eleni Bakopanos,Caroline Desrosiers,Étienne Morin,Maria Mourani,Lynette Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ahuntsic/Ahuntsic"," 33","Montréal",102,18,25,54,6,3,208,402
"Ahuntsic/Ahuntsic"," 34","Montréal",95,20,31,120,10,5,281,498
"Ahuntsic/Ahuntsic"," 35","Montréal",42,19,24,107,8,1,201,354
"Ahuntsic/Ahuntsic"," 36","Montréal",52,18,23,98,9,5,205,340
"Ahuntsic/Ahuntsic"," 37","Montréal",73,15,26,78,6,6,204,352
"Ahuntsic/Ahuntsic"," 38","Montréal",53,26,27,135,11,3,255,473
"Ahuntsic/Ahuntsic"," 39","Montréal",Void/Supprimé,,,,,,,
"Ahuntsic/Ahuntsic"," 40","Montréal",59,13,20,112,10,2,216,396
"Ahuntsic/Ahuntsic"," 41","Montréal",24,26,26,111,15,0,202,354
"Ahuntsic/Ahuntsic"," 42","Montréal",60,15,26,121,15,1,238,389
"Ahuntsic/Ahuntsic"," 43","Montréal",65,18,25,96,7,2,213,349
"Ahuntsic/Ahuntsic"," 44","Montréal",39,29,23,104,6,1,202,343
"Ahuntsic/Ahuntsic"," 45","Montréal",102,37,44,180,15,5,383,594
"Ahuntsic/Ahuntsic"," 46","Montréal",83,10,54,93,5,6,251,317
"Ahuntsic/Ahuntsic"," 47A","Montréal",157,21,57,74,5,5,319,504
"Ahuntsic/Ahuntsic"," 47B","Montréal",38,2,20,23,7,1,91,125
"Ahuntsic/Ahuntsic"," 48","Montréal",87,32,39,172,11,1,342,522
"Ahuntsic/Ahuntsic"," 49","Montréal",42,22,27,116,3,1,211,396
"Ahuntsic/Ahuntsic"," 50","Montréal",55,20,19,83,11,1,189,324
"Ahuntsic/Ahuntsic"," 51","Montréal",25,24,31,139,4,0,223,335
"Ahuntsic/Ahuntsic"," 52","Montréal",29,30,32,155,11,0,257,399
"Ahuntsic/Ahuntsic"," 53","Montréal",40,41,28,122,10,3,244,383
"Ahuntsic/Ahuntsic"," 54","Montréal",58,19,25,117,20,0,239,368
"Ahuntsic/Ahuntsic"," 55","Montréal",57,26,35,104,9,3,234,339
"Ahuntsic/Ahuntsic"," 56","Montréal",56,26,28,134,9,2,255,343
"Ahuntsic/Ahuntsic"," 57","Montréal",43,25,32,125,11,0,236,318
"Ahuntsic/Ahuntsic"," 58","Montréal",56,20,21,148,12,4,261,368
"Ahuntsic/Ahuntsic"," 59","Montréal",96,6,18,29,6,2,157,407
"Ahuntsic/Ahuntsic"," 60","Montréal",39,29,35,106,6,1,216,327
"Ahuntsic/Ahuntsic"," 61","Montréal",48,19,37,104,12,2,222,325
"Ahuntsic/Ahuntsic"," 62","Montréal",69,20,34,96,12,1,232,372
"Ahuntsic/Ahuntsic"," 63","Montréal",58,21,40,80,9,5,213,355
"Ahuntsic/Ahuntsic"," 64","Montréal",42,37,30,219,12,3,343,559
"Ahuntsic/Ahuntsic"," 65","Montréal",42,23,28,128,14,2,237,421
"Ahuntsic/Ahuntsic"," 66","Montréal",51,21,24,111,8,5,220,341
"Ahuntsic/Ahuntsic"," 67","Montréal",29,28,27,145,11,3,243,384
"Ahuntsic/Ahuntsic"," 68","Montréal",45,27,26,125,14,1,238,370
"Ahuntsic/Ahuntsic"," 69A","Montréal",38,19,26,156,15,3,257,373
"Ahuntsic/Ahuntsic"," 69B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,56
"Ahuntsic/Ahuntsic"," 70","Montréal",43,28,31,88,6,1,197,303
"Ahuntsic/Ahuntsic"," 71","Montréal",27,25,17,118,16,3,206,354
"Ahuntsic/Ahuntsic"," 72","Montréal",45,13,26,89,14,2,189,295
"Ahuntsic/Ahuntsic"," 73","Montréal",65,21,39,99,6,1,231,384
"Ahuntsic/Ahuntsic"," 74","Montréal",60,15,20,122,9,1,227,370
"Ahuntsic/Ahuntsic"," 75","Montréal",42,27,35,114,12,1,231,333
"Ahuntsic/Ahuntsic"," 76","Montréal",38,34,25,148,16,0,261,388
"Ahuntsic/Ahuntsic"," 77","Montréal",27,37,17,148,11,1,241,338
"Ahuntsic/Ahuntsic"," 78","Montréal",58,22,21,152,12,3,268,418
"Ahuntsic/Ahuntsic"," 79","Montréal",45,24,27,84,7,2,189,393
"Ahuntsic/Ahuntsic"," 80A","Montréal",44,21,22,180,12,4,283,360
"Ahuntsic/Ahuntsic"," 80B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,7
"Ahuntsic/Ahuntsic"," 80C","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,,63
"Ahuntsic/Ahuntsic"," 81A","Montréal",56,16,20,100,17,2,211,359
"Ahuntsic/Ahuntsic"," 81B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,37
"Ahuntsic/Ahuntsic"," 82","Montréal",47,27,23,98,9,1,205,344
"Ahuntsic/Ahuntsic"," 83","Montréal",71,19,15,89,8,2,204,521
"Ahuntsic/Ahuntsic"," 84","Montréal",29,16,24,92,2,1,164,248
"Ahuntsic/Ahuntsic"," 85","Montréal",74,15,35,150,1,2,277,394
"Ahuntsic/Ahuntsic"," 86","Montréal",99,38,30,160,13,7,347,623
"Ahuntsic/Ahuntsic"," 87","Montréal",55,14,16,147,13,0,245,340
"Ahuntsic/Ahuntsic"," 88","Montréal",49,33,16,115,11,4,228,361
"Ahuntsic/Ahuntsic"," 89","Montréal",53,19,35,141,11,2,261,412
"Ahuntsic/Ahuntsic"," 90","Montréal",49,33,33,119,22,1,257,402
"Ahuntsic/Ahuntsic"," 91","Montréal",56,21,34,178,7,1,297,416
"Ahuntsic/Ahuntsic"," 92","Montréal",66,18,32,139,17,6,278,421
"Ahuntsic/Ahuntsic"," 93","Montréal",71,19,40,105,17,3,255,444
"Ahuntsic/Ahuntsic"," 94","Montréal",68,24,38,94,8,2,234,406
"Ahuntsic/Ahuntsic"," 95","Montréal",99,17,21,98,6,3,244,437
"Ahuntsic/Ahuntsic"," 96","Montréal",64,16,23,101,12,2,218,401
"Ahuntsic/Ahuntsic"," 97","Montréal",58,20,23,126,14,2,243,376
"Ahuntsic/Ahuntsic"," 98","Montréal",55,26,15,141,10,1,248,383
"Ahuntsic/Ahuntsic"," 99","Montréal",48,25,23,128,10,1,235,348
"Ahuntsic/Ahuntsic"," 100","Montréal",67,25,21,108,11,3,235,373
"Ahuntsic/Ahuntsic"," 101","Montréal",43,13,27,116,11,4,214,346
"Ahuntsic/Ahuntsic"," 102","Montréal",80,27,28,137,12,1,285,419
"Ahuntsic/Ahuntsic"," 103","Montréal",94,25,23,98,10,2,252,400
"Ahuntsic/Ahuntsic"," 104","Montréal",63,23,22,89,7,1,205,403
"Ahuntsic/Ahuntsic"," 105","Montréal",56,17,22,116,11,2,224,343
"Ahuntsic/Ahuntsic"," 106","Montréal",80,26,25,133,8,2,274,394
"Ahuntsic/Ahuntsic"," 107","Montréal",35,19,16,105,11,2,188,293
"Ahuntsic/Ahuntsic"," 108","Montréal",38,26,29,109,11,2,215,350
"Ahuntsic/Ahuntsic"," 109","Montréal",41,19,15,116,9,0,200,338
"Ahuntsic/Ahuntsic"," 110","Montréal",71,28,20,111,16,3,249,398
"Ahuntsic/Ahuntsic"," 111","Montréal",65,19,19,112,10,4,229,390
"Ahuntsic/Ahuntsic"," 112","Montréal",46,23,14,127,11,2,223,473
"Ahuntsic/Ahuntsic"," 113","Montréal",45,11,20,93,7,0,176,416
"Ahuntsic/Ahuntsic"," 114","Montréal",86,29,38,147,19,6,325,489
"Ahuntsic/Ahuntsic"," 115","Montréal",41,11,23,81,2,3,161,283
"Ahuntsic/Ahuntsic"," 116","Montréal",52,20,26,115,10,5,228,384
"Ahuntsic/Ahuntsic"," 117","Montréal",54,33,12,75,2,2,178,294
"Ahuntsic/Ahuntsic"," 118","Montréal",50,10,29,50,7,2,148,338
"Ahuntsic/Ahuntsic"," 119","Montréal",44,46,23,137,13,4,267,405
"Ahuntsic/Ahuntsic"," 120","Montréal",148,8,22,22,5,3,208,340
"Ahuntsic/Ahuntsic"," 121","Montréal",112,4,32,24,2,0,174,350
"Ahuntsic/Ahuntsic"," 122","Montréal",93,7,16,32,8,2,158,292
"Ahuntsic/Ahuntsic"," 123","Montréal",126,9,34,50,5,1,225,445
"Ahuntsic/Ahuntsic"," 124","Montréal",123,15,27,52,7,1,225,421
"Ahuntsic/Ahuntsic"," 125A","Montréal",87,9,23,43,1,2,165,307
"Ahuntsic/Ahuntsic"," 125B","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,,13
"Ahuntsic/Ahuntsic"," 126","Montréal",114,8,26,20,5,2,175,278
"Ahuntsic/Ahuntsic"," 127","Montréal",145,8,27,24,7,3,214,332
"Ahuntsic/Ahuntsic"," 128","Montréal",130,17,30,22,6,2,207,338
"Ahuntsic/Ahuntsic"," 129","Montréal",144,10,37,30,6,1,228,395
"Ahuntsic/Ahuntsic"," 130","Montréal",136,10,17,31,9,1,204,344
"Ahuntsic/Ahuntsic"," 131","Montréal",116,12,26,55,5,1,215,404
"Ahuntsic/Ahuntsic"," 132","Montréal",46,23,33,133,11,0,246,359
"Ahuntsic/Ahuntsic"," 133","Montréal",57,19,31,146,14,6,273,385
"Ahuntsic/Ahuntsic"," 134","Montréal",48,23,44,151,8,3,277,403
"Ahuntsic/Ahuntsic"," 135","Montréal",63,28,34,167,15,2,309,445
"Ahuntsic/Ahuntsic"," 136","Montréal",52,33,22,128,7,0,242,342
"Ahuntsic/Ahuntsic"," 137","Montréal",58,31,33,140,9,2,273,383
"Ahuntsic/Ahuntsic"," 138","Montréal",84,23,24,108,15,1,255,355
"Ahuntsic/Ahuntsic"," 139","Montréal",70,8,20,67,10,1,176,432
"Ahuntsic/Ahuntsic"," 140","Montréal",74,7,19,35,4,3,142,255
"Ahuntsic/Ahuntsic"," 141","Montréal",64,20,14,76,11,0,185,290
"Ahuntsic/Ahuntsic"," 142","Montréal",148,32,31,87,10,5,313,508
"Ahuntsic/Ahuntsic"," 143","Montréal",123,5,26,56,7,2,219,446
"Ahuntsic/Ahuntsic"," 144","Montréal",103,18,22,77,9,0,229,372
"Ahuntsic/Ahuntsic"," 145","Montréal",Void/Supprimé,,,,,,,
"Ahuntsic/Ahuntsic"," 146","Montréal",61,13,29,79,6,5,193,386
"Ahuntsic/Ahuntsic"," 147","Montréal",103,25,31,136,12,0,307,544
"Ahuntsic/Ahuntsic"," 148","Montréal",58,19,24,98,9,2,210,371
"Ahuntsic/Ahuntsic"," 149A","Montréal",118,25,48,83,12,3,289,496
"Ahuntsic/Ahuntsic"," 149B","Mobile poll/Bureau itinérant",Merged with No. 500C/Fusionné avec le nº 500C,,,,,,,77
"Ahuntsic/Ahuntsic"," 149-1","Montréal",70,13,21,61,10,5,180,284
"Ahuntsic/Ahuntsic"," 150","Montréal",152,11,29,50,7,6,255,461
"Ahuntsic/Ahuntsic"," 151","Montréal",83,7,12,36,2,2,142,287
"Ahuntsic/Ahuntsic"," 152","Montréal",143,11,36,44,7,0,241,415
"Ahuntsic/Ahuntsic"," 153","Montréal",154,16,60,36,8,3,277,556
"Ahuntsic/Ahuntsic"," 154","Montréal",Void/Supprimé,,,,,,,
"Ahuntsic/Ahuntsic"," 155","Montréal",122,21,39,62,11,1,256,531
"Ahuntsic/Ahuntsic"," 156","Montréal",111,18,33,51,5,2,220,401
"Ahuntsic/Ahuntsic"," 157","Montréal",154,10,30,20,2,0,216,374
"Ahuntsic/Ahuntsic"," 158","Montréal",169,8,8,14,1,0,200,382
"Ahuntsic/Ahuntsic"," 159","Montréal",133,17,31,27,2,1,211,345
"Ahuntsic/Ahuntsic"," 160","Montréal",167,24,28,35,11,4,269,470
"Ahuntsic/Ahuntsic"," 161","Montréal",88,8,26,43,10,1,176,346
"Ahuntsic/Ahuntsic"," 162","Montréal",132,18,32,65,9,5,261,425
"Ahuntsic/Ahuntsic"," 163","Montréal",69,17,34,102,11,4,237,366
"Ahuntsic/Ahuntsic"," 164","Montréal",119,19,23,60,5,2,228,409
"Ahuntsic/Ahuntsic"," 165","Montréal",102,12,25,33,2,0,174,339
"Ahuntsic/Ahuntsic"," 166","Montréal",146,24,23,35,2,2,232,414
"Ahuntsic/Ahuntsic"," 167","Montréal",124,10,30,27,5,3,199,399
"Ahuntsic/Ahuntsic"," 168","Montréal",137,13,43,30,9,2,234,415
"Ahuntsic/Ahuntsic"," 169","Montréal",123,1,22,9,0,1,156,365
"Ahuntsic/Ahuntsic"," 170","Montréal",180,15,22,25,4,5,251,436
"Ahuntsic/Ahuntsic"," 171","Montréal",135,26,21,13,9,5,209,435
"Ahuntsic/Ahuntsic"," 172","Montréal",127,11,24,6,4,17,189,427
"Ahuntsic/Ahuntsic"," 173","Montréal",166,4,36,12,5,2,225,408
"Ahuntsic/Ahuntsic"," 174","Montréal",149,20,25,15,7,1,217,363
"Ahuntsic/Ahuntsic"," 175","Montréal",155,13,31,28,4,19,250,403
"Ahuntsic/Ahuntsic"," 176","Montréal",72,2,14,15,5,3,111,334
"Ahuntsic/Ahuntsic"," 177","Montréal",32,5,17,13,0,0,67,201
"Ahuntsic/Ahuntsic"," 178","Montréal",72,17,35,31,3,0,158,342
"Ahuntsic/Ahuntsic"," 179","Montréal",75,21,23,37,3,2,161,376
"Ahuntsic/Ahuntsic"," 180","Montréal",92,9,18,16,5,0,140,258
"Ahuntsic/Ahuntsic"," 181","Montréal",137,7,56,40,9,1,250,347
"Ahuntsic/Ahuntsic"," 182","Montréal",60,9,38,37,5,4,153,217
"Ahuntsic/Ahuntsic"," 183","Montréal",91,10,15,32,6,0,154,317
"Ahuntsic/Ahuntsic"," 184","Montréal",96,12,37,49,4,4,202,388
"Ahuntsic/Ahuntsic"," 185","Montréal",143,15,38,42,12,4,254,465
"Ahuntsic/Ahuntsic"," 186","Montréal",96,7,25,30,4,1,163,430
"Ahuntsic/Ahuntsic"," 187","Montréal",Void/Supprimé,,,,,,,
"Ahuntsic/Ahuntsic"," 188","Montréal",103,7,23,17,1,5,156,419
"Ahuntsic/Ahuntsic"," 189","Montréal",65,4,25,23,3,0,120,300
"Ahuntsic/Ahuntsic"," 190","Montréal",111,17,17,15,5,1,166,336
"Ahuntsic/Ahuntsic"," 191","Montréal",116,12,14,28,4,0,174,345
"Ahuntsic/Ahuntsic"," 192","Montréal",97,4,13,21,0,3,138,264
"Ahuntsic/Ahuntsic"," 193","Montréal",45,8,23,36,8,0,120,236
"Ahuntsic/Ahuntsic"," 194","Montréal",93,20,45,63,4,3,228,443
"Ahuntsic/Ahuntsic"," 195","Montréal",68,11,37,50,6,0,172,350
"Ahuntsic/Ahuntsic"," 196","Montréal",68,3,10,6,0,2,89,217
"Ahuntsic/Ahuntsic"," 400","Montréal",114,11,41,48,5,5,224,273
"Ahuntsic/Ahuntsic"," 401","Montréal",35,7,22,31,6,8,109,399
"Ahuntsic/Ahuntsic"," 402","Montréal",41,8,14,28,4,4,99,228
"Ahuntsic/Ahuntsic"," 500A","Mobile poll/Bureau itinérant",37,4,17,32,3,2,95,58
"Ahuntsic/Ahuntsic"," 500B","Mobile poll/Bureau itinérant",66,10,20,17,7,10,130,8
"Ahuntsic/Ahuntsic"," 500C","Mobile poll/Bureau itinérant",45,2,10,21,3,5,86,7
"Ahuntsic/Ahuntsic"," 600","Montréal",220,13,59,225,14,9,540,
"Ahuntsic/Ahuntsic"," 601","Montréal",110,8,37,56,9,8,228,
"Ahuntsic/Ahuntsic"," 602","Montréal",161,28,77,220,20,7,513,
"Ahuntsic/Ahuntsic"," 603","Montréal",126,26,55,319,15,2,543,
"Ahuntsic/Ahuntsic"," 604","Montréal",106,30,66,231,11,3,447,
"Ahuntsic/Ahuntsic"," 605","Montréal",188,42,81,325,22,8,666,
"Ahuntsic/Ahuntsic"," 606","Montréal",147,24,47,223,8,5,454,
"Ahuntsic/Ahuntsic"," 607","Montréal",108,13,17,48,2,2,190,
"Ahuntsic/Ahuntsic"," 608","Montréal",199,22,80,216,13,3,533,
"Ahuntsic/Ahuntsic"," 609","Montréal",498,41,90,106,10,3,748,
"Ahuntsic/Ahuntsic"," 610","Montréal",210,22,66,101,13,2,414,
"Ahuntsic/Ahuntsic",,Group 1/Groupe 1,26,6,23,25,2,2,84,158
"Ahuntsic/Ahuntsic",,Group 2/Groupe 2,590,65,96,659,23,16,1449,
