Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Holland,Russell Korus,Kevin Modeste,Kevin Norng,Rondo Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ajax--Pickering/Ajax--Pickering"," 109","Ajax",158,8,32,3,108,0,309,509
"Ajax--Pickering/Ajax--Pickering"," 110","Ajax",136,10,50,3,84,0,283,490
"Ajax--Pickering/Ajax--Pickering"," 111","Ajax",98,16,56,2,93,0,265,379
"Ajax--Pickering/Ajax--Pickering"," 112","Ajax",84,11,26,1,60,0,182,325
"Ajax--Pickering/Ajax--Pickering"," 113","Ajax",135,15,32,1,89,1,273,435
"Ajax--Pickering/Ajax--Pickering"," 114","Ajax",104,22,22,1,66,0,215,378
"Ajax--Pickering/Ajax--Pickering"," 115","Ajax",133,17,34,4,73,3,264,407
"Ajax--Pickering/Ajax--Pickering"," 116A","Ajax",66,6,18,2,42,1,135,307
"Ajax--Pickering/Ajax--Pickering"," 116B","Mobile poll/Bureau itinérant",48,5,19,1,33,3,109,118
"Ajax--Pickering/Ajax--Pickering"," 117","Ajax",48,12,38,0,38,0,136,238
"Ajax--Pickering/Ajax--Pickering"," 118","Ajax",Void/Supprimé,,,,,,,
"Ajax--Pickering/Ajax--Pickering"," 119","Ajax",Void/Supprimé,,,,,,,
"Ajax--Pickering/Ajax--Pickering"," 120A","Ajax",80,19,45,0,78,2,224,383
"Ajax--Pickering/Ajax--Pickering"," 120B","Ajax",104,13,59,3,76,0,255,422
"Ajax--Pickering/Ajax--Pickering"," 121","Ajax",97,21,74,0,92,1,285,497
"Ajax--Pickering/Ajax--Pickering"," 122","Ajax",101,16,45,1,84,1,248,367
"Ajax--Pickering/Ajax--Pickering"," 123A","Ajax",134,10,40,3,62,1,250,444
"Ajax--Pickering/Ajax--Pickering"," 123B","Ajax",143,7,26,0,57,2,235,396
"Ajax--Pickering/Ajax--Pickering"," 123C","Ajax",120,13,35,1,90,0,259,440
"Ajax--Pickering/Ajax--Pickering"," 124A","Ajax",134,10,28,1,69,0,242,369
"Ajax--Pickering/Ajax--Pickering"," 124B","Ajax",158,13,33,3,81,1,289,440
"Ajax--Pickering/Ajax--Pickering"," 124C","Ajax",133,13,25,3,74,1,249,352
"Ajax--Pickering/Ajax--Pickering"," 125A","Ajax",140,5,24,5,74,1,249,385
"Ajax--Pickering/Ajax--Pickering"," 125B","Ajax",115,12,21,0,94,0,242,184
"Ajax--Pickering/Ajax--Pickering"," 126A","Ajax",112,6,32,1,83,0,234,367
"Ajax--Pickering/Ajax--Pickering"," 126B","Ajax",Merged with No. 125B/Fusionné avec le nº 125B,,,,,,,183
"Ajax--Pickering/Ajax--Pickering"," 127","Ajax",129,18,35,2,119,1,304,495
"Ajax--Pickering/Ajax--Pickering"," 128","Ajax",142,16,39,8,94,0,299,510
"Ajax--Pickering/Ajax--Pickering"," 129","Ajax",93,12,42,2,82,1,232,392
"Ajax--Pickering/Ajax--Pickering"," 130","Ajax",136,5,27,4,89,0,261,461
"Ajax--Pickering/Ajax--Pickering"," 131","Ajax",89,14,32,2,86,0,223,358
"Ajax--Pickering/Ajax--Pickering"," 132","Ajax",121,16,32,2,75,0,246,378
"Ajax--Pickering/Ajax--Pickering"," 133","Ajax",101,18,40,2,68,1,230,379
"Ajax--Pickering/Ajax--Pickering"," 134","Ajax",126,14,58,3,117,0,318,556
"Ajax--Pickering/Ajax--Pickering"," 135","Ajax",67,17,52,5,57,0,198,405
"Ajax--Pickering/Ajax--Pickering"," 136","Ajax",59,9,38,2,74,1,183,379
"Ajax--Pickering/Ajax--Pickering"," 137","Ajax",112,14,28,1,74,1,230,305
"Ajax--Pickering/Ajax--Pickering"," 138","Ajax",65,6,35,2,37,0,145,261
"Ajax--Pickering/Ajax--Pickering"," 139","Ajax",111,4,36,4,64,4,223,291
"Ajax--Pickering/Ajax--Pickering"," 140","Ajax",88,6,32,4,53,1,184,265
"Ajax--Pickering/Ajax--Pickering"," 141","Ajax",80,3,13,1,43,0,140,262
"Ajax--Pickering/Ajax--Pickering"," 142","Ajax",63,11,49,4,55,0,182,435
"Ajax--Pickering/Ajax--Pickering"," 143","Ajax",92,17,41,6,64,1,221,388
"Ajax--Pickering/Ajax--Pickering"," 144","Ajax",115,17,37,2,100,0,271,447
"Ajax--Pickering/Ajax--Pickering"," 145","Ajax",98,22,49,2,115,3,289,441
"Ajax--Pickering/Ajax--Pickering"," 146","Ajax",84,13,24,3,78,1,203,329
"Ajax--Pickering/Ajax--Pickering"," 147","Ajax",116,10,41,2,67,1,237,384
"Ajax--Pickering/Ajax--Pickering"," 148","Ajax",123,4,27,1,64,0,219,355
"Ajax--Pickering/Ajax--Pickering"," 149","Ajax",132,24,73,3,80,0,312,489
"Ajax--Pickering/Ajax--Pickering"," 150","Ajax",80,27,44,4,68,2,225,385
"Ajax--Pickering/Ajax--Pickering"," 151","Ajax",88,12,36,3,91,2,232,380
"Ajax--Pickering/Ajax--Pickering"," 152","Ajax",133,12,32,1,95,1,274,398
"Ajax--Pickering/Ajax--Pickering"," 153","Ajax",145,12,51,2,74,0,284,431
"Ajax--Pickering/Ajax--Pickering"," 154","Ajax",98,6,24,0,60,1,189,282
"Ajax--Pickering/Ajax--Pickering"," 155","Ajax",161,10,45,1,101,1,319,463
"Ajax--Pickering/Ajax--Pickering"," 156","Ajax",119,17,47,2,142,1,328,497
"Ajax--Pickering/Ajax--Pickering"," 157","Ajax",105,23,60,1,82,1,272,424
"Ajax--Pickering/Ajax--Pickering"," 158","Ajax",78,20,42,5,78,0,223,400
"Ajax--Pickering/Ajax--Pickering"," 159","Ajax",130,13,57,5,98,0,303,479
"Ajax--Pickering/Ajax--Pickering"," 160","Ajax",128,16,46,1,119,0,310,453
"Ajax--Pickering/Ajax--Pickering"," 161","Ajax",140,12,27,0,106,0,285,409
"Ajax--Pickering/Ajax--Pickering"," 162","Ajax",120,21,48,3,123,1,316,510
"Ajax--Pickering/Ajax--Pickering"," 163","Ajax",129,7,45,2,107,1,291,469
"Ajax--Pickering/Ajax--Pickering"," 164A","Ajax",75,6,22,0,45,0,148,244
"Ajax--Pickering/Ajax--Pickering"," 164B","Ajax",115,14,31,1,74,1,236,249
"Ajax--Pickering/Ajax--Pickering"," 400","Mobile poll/Bureau itinérant",Merged with No. 116B/Fusionné avec le nº 116B,,,,,,,89
"Ajax--Pickering/Ajax--Pickering"," 401","Ajax",Merged with No. 164B/Fusionné avec le nº 164B,,,,,,,99
"Ajax--Pickering/Ajax--Pickering"," 500","Mobile poll/Bureau itinérant",108,10,35,1,63,0,217,292
"Ajax--Pickering/Ajax--Pickering"," 600","Pickering",249,24,33,2,191,0,499,
"Ajax--Pickering/Ajax--Pickering"," 601","Pickering",292,16,55,2,162,4,531,
"Ajax--Pickering/Ajax--Pickering"," 602","Ajax",496,28,80,6,388,0,998,
"Ajax--Pickering/Ajax--Pickering"," 603","Ajax",292,22,78,3,285,1,681,
"Ajax--Pickering/Ajax--Pickering"," 604","Ajax",356,17,60,3,291,2,729,
"Ajax--Pickering/Ajax--Pickering"," 605","Ajax",226,21,64,4,223,0,538,
"Ajax--Pickering/Ajax--Pickering"," 606","Ajax",326,34,87,5,271,2,725,
"Ajax--Pickering/Ajax--Pickering"," 607","Ajax",254,21,63,9,267,0,614,
"Ajax--Pickering/Ajax--Pickering",,Group 1/Groupe 1,38,5,14,0,16,0,73,120
"Ajax--Pickering/Ajax--Pickering",,Group 2/Groupe 2,469,20,99,10,474,19,1091,
