Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Michael Chong,Noel Paul Duignan,Rod Finnie,Carol Ann Krusky,Mike Wisniewski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wellington--Halton Hills/Wellington--Halton Hills"," 30","Centre Wellington",31,95,44,49,2,1,0,222,348
"Wellington--Halton Hills/Wellington--Halton Hills"," 31","Centre Wellington",17,71,30,38,4,1,0,161,312
"Wellington--Halton Hills/Wellington--Halton Hills"," 32A","Centre Wellington",8,105,23,78,0,2,1,217,344
"Wellington--Halton Hills/Wellington--Halton Hills"," 32B","Mobile poll/Bureau itinérant",3,39,12,18,3,0,2,77,107
"Wellington--Halton Hills/Wellington--Halton Hills"," 33","Centre Wellington",10,160,42,89,2,1,0,304,474
"Wellington--Halton Hills/Wellington--Halton Hills"," 34","Centre Wellington",13,106,23,67,2,6,1,218,389
"Wellington--Halton Hills/Wellington--Halton Hills"," 35","Centre Wellington",10,110,22,45,1,5,3,196,314
"Wellington--Halton Hills/Wellington--Halton Hills"," 36A","Centre Wellington",8,83,21,44,1,2,0,159,271
"Wellington--Halton Hills/Wellington--Halton Hills"," 36B","Centre Wellington",10,88,21,38,1,3,0,161,321
"Wellington--Halton Hills/Wellington--Halton Hills"," 37A","Centre Wellington",26,209,69,102,5,8,1,420,689
"Wellington--Halton Hills/Wellington--Halton Hills"," 37B","Mobile poll/Bureau itinérant",Merged with No. 32B/Fusionné avec le nº 32B,,,,,,,,50
"Wellington--Halton Hills/Wellington--Halton Hills"," 38","Centre Wellington",19,111,43,82,5,5,0,265,439
"Wellington--Halton Hills/Wellington--Halton Hills"," 39","Centre Wellington",19,90,40,58,1,3,0,211,338
"Wellington--Halton Hills/Wellington--Halton Hills"," 40","Centre Wellington",19,81,27,45,0,1,0,173,325
"Wellington--Halton Hills/Wellington--Halton Hills"," 41","Centre Wellington",18,71,41,70,2,0,0,202,358
"Wellington--Halton Hills/Wellington--Halton Hills"," 42","Centre Wellington",17,138,51,64,3,2,0,275,481
"Wellington--Halton Hills/Wellington--Halton Hills"," 43","Centre Wellington",20,141,51,73,6,2,1,294,471
"Wellington--Halton Hills/Wellington--Halton Hills"," 44A","Centre Wellington",7,95,27,36,3,2,0,170,293
"Wellington--Halton Hills/Wellington--Halton Hills"," 44B","Centre Wellington",8,95,34,59,5,1,0,202,336
"Wellington--Halton Hills/Wellington--Halton Hills"," 45","Eramosa",31,171,36,79,5,0,0,322,478
"Wellington--Halton Hills/Wellington--Halton Hills"," 46","Eramosa",15,128,29,69,7,2,1,251,375
"Wellington--Halton Hills/Wellington--Halton Hills"," 47","Eramosa",19,122,33,66,5,2,1,248,376
"Wellington--Halton Hills/Wellington--Halton Hills"," 48","Eramosa",15,70,24,44,9,3,0,165,265
"Wellington--Halton Hills/Wellington--Halton Hills"," 49","Rockwood",36,144,53,98,7,0,2,340,476
"Wellington--Halton Hills/Wellington--Halton Hills"," 50","Rockwood",17,77,33,33,6,1,0,167,279
"Wellington--Halton Hills/Wellington--Halton Hills"," 51","Rockwood",22,82,27,53,10,2,0,196,360
"Wellington--Halton Hills/Wellington--Halton Hills"," 52A","Rockwood",17,129,49,118,6,3,1,323,498
"Wellington--Halton Hills/Wellington--Halton Hills"," 52B","Rockwood",29,139,40,91,4,1,0,304,497
"Wellington--Halton Hills/Wellington--Halton Hills"," 53A","Rockwood",16,77,22,58,6,1,0,180,288
"Wellington--Halton Hills/Wellington--Halton Hills"," 53B","Rockwood",16,102,18,65,1,1,0,203,303
"Wellington--Halton Hills/Wellington--Halton Hills"," 54","Eramosa",30,112,52,57,1,0,1,253,348
"Wellington--Halton Hills/Wellington--Halton Hills"," 55","Eramosa",26,99,72,81,1,6,1,286,449
"Wellington--Halton Hills/Wellington--Halton Hills"," 56","Guelph",0,27,8,33,4,1,0,73,166
"Wellington--Halton Hills/Wellington--Halton Hills"," 57","Guelph",16,57,13,57,2,2,0,147,288
"Wellington--Halton Hills/Wellington--Halton Hills"," 58","Guelph",21,146,22,127,10,1,1,328,482
"Wellington--Halton Hills/Wellington--Halton Hills"," 59","Ennotville",11,79,14,29,2,1,0,136,185
"Wellington--Halton Hills/Wellington--Halton Hills"," 60","Pilkington",17,158,31,131,3,4,1,345,503
"Wellington--Halton Hills/Wellington--Halton Hills"," 61","Guelph",20,114,28,58,3,3,3,229,316
"Wellington--Halton Hills/Wellington--Halton Hills"," 62","Guelph",16,117,35,119,5,3,1,296,468
"Wellington--Halton Hills/Wellington--Halton Hills"," 63","Guelph",19,158,41,99,4,3,0,324,506
"Wellington--Halton Hills/Wellington--Halton Hills"," 64","Guelph",17,105,29,93,10,1,0,255,463
"Wellington--Halton Hills/Wellington--Halton Hills"," 65","Erin",15,158,26,77,6,1,2,285,454
"Wellington--Halton Hills/Wellington--Halton Hills"," 66","Erin",14,83,22,48,3,2,0,172,267
"Wellington--Halton Hills/Wellington--Halton Hills"," 67","Erin",31,145,27,64,0,2,0,269,442
"Wellington--Halton Hills/Wellington--Halton Hills"," 68","Erin",22,68,25,42,0,0,0,157,253
"Wellington--Halton Hills/Wellington--Halton Hills"," 69A","Erin",7,88,14,52,0,0,0,161,304
"Wellington--Halton Hills/Wellington--Halton Hills"," 69B","Erin",15,93,18,54,1,1,0,182,317
"Wellington--Halton Hills/Wellington--Halton Hills"," 70","Erin",22,129,29,64,4,1,1,250,417
"Wellington--Halton Hills/Wellington--Halton Hills"," 71","Erin",31,137,46,64,2,2,1,283,493
"Wellington--Halton Hills/Wellington--Halton Hills"," 72","Erin",29,139,28,102,0,2,1,301,464
"Wellington--Halton Hills/Wellington--Halton Hills"," 73","Erin",13,114,33,85,2,1,2,250,414
"Wellington--Halton Hills/Wellington--Halton Hills"," 74","Erin",34,119,45,94,3,5,1,301,508
"Wellington--Halton Hills/Wellington--Halton Hills"," 75","Erin",20,135,35,49,0,4,0,243,414
"Wellington--Halton Hills/Wellington--Halton Hills"," 76","Erin",16,87,17,59,1,5,0,185,276
"Wellington--Halton Hills/Wellington--Halton Hills"," 77A","Erin",11,104,27,41,5,3,0,191,274
"Wellington--Halton Hills/Wellington--Halton Hills"," 77B","Erin",20,99,15,49,1,2,0,186,303
"Wellington--Halton Hills/Wellington--Halton Hills"," 78A","Erin",23,93,22,32,1,0,0,171,326
"Wellington--Halton Hills/Wellington--Halton Hills"," 78B","Erin",19,78,17,46,0,0,0,160,306
"Wellington--Halton Hills/Wellington--Halton Hills"," 79","Erin",22,159,33,86,0,4,0,304,446
"Wellington--Halton Hills/Wellington--Halton Hills"," 80","Erin",19,111,23,84,4,3,1,245,395
"Wellington--Halton Hills/Wellington--Halton Hills"," 81","Erin",18,90,23,54,2,1,0,188,306
"Wellington--Halton Hills/Wellington--Halton Hills"," 82","Erin",16,125,29,79,0,2,0,251,346
"Wellington--Halton Hills/Wellington--Halton Hills"," 83A","Halton Hills",18,116,28,56,1,0,2,221,289
"Wellington--Halton Hills/Wellington--Halton Hills"," 83B","Halton Hills",11,109,19,63,3,0,0,205,304
"Wellington--Halton Hills/Wellington--Halton Hills"," 84A","Halton Hills",15,109,16,47,0,1,2,190,316
"Wellington--Halton Hills/Wellington--Halton Hills"," 84B","Halton Hills",9,78,14,52,1,2,0,156,307
"Wellington--Halton Hills/Wellington--Halton Hills"," 85","Halton Hills",22,121,28,77,3,2,0,253,388
"Wellington--Halton Hills/Wellington--Halton Hills"," 86","Halton Hills",17,198,33,66,2,1,2,319,504
"Wellington--Halton Hills/Wellington--Halton Hills"," 87A","Halton Hills",3,112,36,51,1,2,0,205,318
"Wellington--Halton Hills/Wellington--Halton Hills"," 87B","Halton Hills",8,97,22,65,4,1,2,199,318
"Wellington--Halton Hills/Wellington--Halton Hills"," 88","Halton Hills",9,101,22,51,1,1,0,185,309
"Wellington--Halton Hills/Wellington--Halton Hills"," 89","Halton Hills",8,109,22,62,3,1,0,205,345
"Wellington--Halton Hills/Wellington--Halton Hills"," 90A","Halton Hills",15,94,18,64,0,1,0,192,322
"Wellington--Halton Hills/Wellington--Halton Hills"," 90B","Halton Hills",22,94,16,34,2,3,0,171,277
"Wellington--Halton Hills/Wellington--Halton Hills"," 91","Halton Hills",18,148,22,75,2,1,1,267,408
"Wellington--Halton Hills/Wellington--Halton Hills"," 92","Halton Hills",17,171,25,86,3,0,1,303,445
"Wellington--Halton Hills/Wellington--Halton Hills"," 93","Halton Hills",4,69,16,52,0,2,1,144,258
"Wellington--Halton Hills/Wellington--Halton Hills"," 94","Halton Hills",10,118,28,86,4,1,0,247,390
"Wellington--Halton Hills/Wellington--Halton Hills"," 95","Halton Hills",6,144,27,102,4,1,0,284,418
"Wellington--Halton Hills/Wellington--Halton Hills"," 96","Halton Hills",11,114,24,71,1,0,0,221,425
"Wellington--Halton Hills/Wellington--Halton Hills"," 97","Halton Hills",11,120,41,51,3,3,0,229,394
"Wellington--Halton Hills/Wellington--Halton Hills"," 98","Halton Hills",10,132,31,61,2,1,0,237,423
"Wellington--Halton Hills/Wellington--Halton Hills"," 99A","Halton Hills",9,113,30,52,0,0,0,204,308
"Wellington--Halton Hills/Wellington--Halton Hills"," 99B","Halton Hills",8,124,22,54,1,1,3,213,340
"Wellington--Halton Hills/Wellington--Halton Hills"," 100","Halton Hills",8,85,19,33,3,0,0,148,284
"Wellington--Halton Hills/Wellington--Halton Hills"," 101","Halton Hills",14,152,39,69,5,0,0,279,478
"Wellington--Halton Hills/Wellington--Halton Hills"," 102","Halton Hills",11,136,39,98,0,3,0,287,430
"Wellington--Halton Hills/Wellington--Halton Hills"," 103A","Halton Hills",11,103,23,56,2,0,1,196,329
"Wellington--Halton Hills/Wellington--Halton Hills"," 103B","Halton Hills",12,82,32,36,1,0,0,163,298
"Wellington--Halton Hills/Wellington--Halton Hills"," 104A","Halton Hills",16,83,27,45,3,4,0,178,377
"Wellington--Halton Hills/Wellington--Halton Hills"," 104B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,,15
"Wellington--Halton Hills/Wellington--Halton Hills"," 105","Halton Hills",20,71,33,53,2,0,1,180,386
"Wellington--Halton Hills/Wellington--Halton Hills"," 106A","Halton Hills",6,106,30,37,1,3,0,183,298
"Wellington--Halton Hills/Wellington--Halton Hills"," 106B","Halton Hills",5,81,25,54,0,1,0,166,285
"Wellington--Halton Hills/Wellington--Halton Hills"," 107","Halton Hills",8,100,28,55,1,0,0,192,378
"Wellington--Halton Hills/Wellington--Halton Hills"," 108","Halton Hills",5,107,22,50,5,2,0,191,310
"Wellington--Halton Hills/Wellington--Halton Hills"," 109","Halton Hills",8,65,41,32,0,1,1,148,333
"Wellington--Halton Hills/Wellington--Halton Hills"," 110","Halton Hills",12,108,20,28,4,1,0,173,305
"Wellington--Halton Hills/Wellington--Halton Hills"," 111","Halton Hills",18,113,37,48,3,4,0,223,403
"Wellington--Halton Hills/Wellington--Halton Hills"," 112","Halton Hills",14,80,35,45,2,2,0,178,348
"Wellington--Halton Hills/Wellington--Halton Hills"," 113","Halton Hills",17,102,25,58,2,1,0,205,322
"Wellington--Halton Hills/Wellington--Halton Hills"," 114A","Halton Hills",15,101,24,60,0,1,1,202,309
"Wellington--Halton Hills/Wellington--Halton Hills"," 114B","Halton Hills",7,84,9,46,0,0,0,146,256
"Wellington--Halton Hills/Wellington--Halton Hills"," 115","Halton Hills",5,67,10,38,1,0,1,122,205
"Wellington--Halton Hills/Wellington--Halton Hills"," 116","Halton Hills",9,91,32,47,1,0,1,181,344
"Wellington--Halton Hills/Wellington--Halton Hills"," 117","Halton Hills",22,112,60,55,0,1,0,250,496
"Wellington--Halton Hills/Wellington--Halton Hills"," 118","Halton Hills",20,131,40,75,0,0,1,267,462
"Wellington--Halton Hills/Wellington--Halton Hills"," 119","Halton Hills",8,82,34,32,1,0,0,157,311
"Wellington--Halton Hills/Wellington--Halton Hills"," 120","Halton Hills",18,156,47,91,2,0,0,314,507
"Wellington--Halton Hills/Wellington--Halton Hills"," 121","Halton Hills",20,165,36,101,3,0,1,326,511
"Wellington--Halton Hills/Wellington--Halton Hills"," 122","Halton Hills",12,132,40,62,1,1,0,248,408
"Wellington--Halton Hills/Wellington--Halton Hills"," 123","Halton Hills",16,114,46,83,2,4,1,266,462
"Wellington--Halton Hills/Wellington--Halton Hills"," 124","Halton Hills",8,151,51,86,0,2,0,298,512
"Wellington--Halton Hills/Wellington--Halton Hills"," 125","Halton Hills",11,120,46,72,1,1,2,253,275
"Wellington--Halton Hills/Wellington--Halton Hills"," 126","Halton Hills",Merged with No. 125/Fusionné avec le nº 125,,,,,,,,145
"Wellington--Halton Hills/Wellington--Halton Hills"," 127","Halton Hills",10,84,37,77,0,1,0,209,351
"Wellington--Halton Hills/Wellington--Halton Hills"," 128","Halton Hills",18,61,30,50,0,0,0,159,343
"Wellington--Halton Hills/Wellington--Halton Hills"," 129","Halton Hills",8,46,28,29,1,6,0,118,303
"Wellington--Halton Hills/Wellington--Halton Hills"," 130","Halton Hills",14,62,19,43,0,1,0,139,365
"Wellington--Halton Hills/Wellington--Halton Hills"," 131","Halton Hills",15,112,46,66,1,2,0,242,386
"Wellington--Halton Hills/Wellington--Halton Hills"," 132","Halton Hills",11,119,26,55,0,1,0,212,320
"Wellington--Halton Hills/Wellington--Halton Hills"," 133","Halton Hills",6,53,6,15,1,0,0,81,389
"Wellington--Halton Hills/Wellington--Halton Hills"," 134","Halton Hills",8,143,24,77,1,0,2,255,421
"Wellington--Halton Hills/Wellington--Halton Hills"," 135","Halton Hills",4,128,18,50,2,1,0,203,349
"Wellington--Halton Hills/Wellington--Halton Hills"," 136","Halton Hills",16,137,28,59,6,0,0,246,374
"Wellington--Halton Hills/Wellington--Halton Hills"," 137","Halton Hills",9,138,23,70,2,0,0,242,388
"Wellington--Halton Hills/Wellington--Halton Hills"," 138","Halton Hills",16,109,43,61,0,2,0,231,411
"Wellington--Halton Hills/Wellington--Halton Hills"," 139","Halton Hills",23,99,23,72,0,0,0,217,396
"Wellington--Halton Hills/Wellington--Halton Hills"," 140","Halton Hills",13,127,27,73,3,0,0,243,407
"Wellington--Halton Hills/Wellington--Halton Hills"," 141","Halton Hills",7,100,21,60,0,5,0,193,330
"Wellington--Halton Hills/Wellington--Halton Hills"," 142","Halton Hills",7,77,20,39,1,1,0,145,278
"Wellington--Halton Hills/Wellington--Halton Hills"," 143","Halton Hills",14,91,30,48,0,3,1,187,376
"Wellington--Halton Hills/Wellington--Halton Hills"," 144","Halton Hills",6,115,33,69,3,1,0,227,406
"Wellington--Halton Hills/Wellington--Halton Hills"," 145","Halton Hills",7,87,14,33,1,1,1,144,310
"Wellington--Halton Hills/Wellington--Halton Hills"," 146","Halton Hills",15,87,29,62,0,1,0,194,377
"Wellington--Halton Hills/Wellington--Halton Hills"," 147","Halton Hills",6,121,29,64,3,2,2,227,340
"Wellington--Halton Hills/Wellington--Halton Hills"," 148","Halton Hills",2,95,35,56,1,0,0,189,313
"Wellington--Halton Hills/Wellington--Halton Hills"," 149","Halton Hills",16,180,35,118,3,1,0,353,527
"Wellington--Halton Hills/Wellington--Halton Hills"," 150","Halton Hills",6,118,32,75,8,0,1,240,388
"Wellington--Halton Hills/Wellington--Halton Hills"," 151","Halton Hills",10,91,37,70,4,0,0,212,330
"Wellington--Halton Hills/Wellington--Halton Hills"," 152","Halton Hills",17,109,26,75,1,1,1,230,363
"Wellington--Halton Hills/Wellington--Halton Hills"," 153","Halton Hills",11,145,32,86,1,0,1,276,463
"Wellington--Halton Hills/Wellington--Halton Hills"," 154","Halton Hills",18,116,37,77,1,0,0,249,430
"Wellington--Halton Hills/Wellington--Halton Hills"," 155","Halton Hills",10,110,29,79,1,0,1,230,407
"Wellington--Halton Hills/Wellington--Halton Hills"," 156","Halton Hills",17,93,23,61,0,0,1,195,323
"Wellington--Halton Hills/Wellington--Halton Hills"," 157A","Halton Hills",12,150,23,120,3,1,1,310,461
"Wellington--Halton Hills/Wellington--Halton Hills"," 157B","Halton Hills",16,135,24,81,2,0,1,259,399
"Wellington--Halton Hills/Wellington--Halton Hills"," 158","Halton Hills",6,109,23,84,3,2,0,227,355
"Wellington--Halton Hills/Wellington--Halton Hills"," 159","Halton Hills",10,100,13,49,1,0,1,174,249
"Wellington--Halton Hills/Wellington--Halton Hills"," 160A","Halton Hills",4,113,15,94,2,0,0,228,351
"Wellington--Halton Hills/Wellington--Halton Hills"," 160B","Halton Hills",4,110,14,70,0,2,4,204,317
"Wellington--Halton Hills/Wellington--Halton Hills"," 161A","Halton Hills",12,89,18,63,1,0,1,184,317
"Wellington--Halton Hills/Wellington--Halton Hills"," 161B","Halton Hills",6,89,28,51,0,2,1,177,319
"Wellington--Halton Hills/Wellington--Halton Hills"," 162","Halton Hills",12,98,28,69,0,0,0,207,285
"Wellington--Halton Hills/Wellington--Halton Hills"," 163","Halton Hills",9,101,23,80,0,0,0,213,340
"Wellington--Halton Hills/Wellington--Halton Hills"," 164A","Halton Hills",19,101,31,68,2,2,1,224,315
"Wellington--Halton Hills/Wellington--Halton Hills"," 164B","Halton Hills",12,113,17,87,0,1,0,230,342
"Wellington--Halton Hills/Wellington--Halton Hills"," 165","Halton Hills",13,161,23,100,0,1,0,298,445
"Wellington--Halton Hills/Wellington--Halton Hills"," 166","Halton Hills",17,105,17,67,1,5,0,212,364
"Wellington--Halton Hills/Wellington--Halton Hills"," 167","Halton Hills",12,132,32,100,1,2,0,279,479
"Wellington--Halton Hills/Wellington--Halton Hills"," 168","Halton Hills",16,144,29,96,1,2,0,288,432
"Wellington--Halton Hills/Wellington--Halton Hills"," 169A","Halton Hills",5,108,13,67,0,3,1,197,310
"Wellington--Halton Hills/Wellington--Halton Hills"," 169B","Halton Hills",7,72,27,69,0,4,1,180,280
"Wellington--Halton Hills/Wellington--Halton Hills"," 170","Halton Hills",5,88,15,66,0,2,0,176,257
"Wellington--Halton Hills/Wellington--Halton Hills"," 171","Halton Hills",16,200,25,133,1,0,0,375,562
"Wellington--Halton Hills/Wellington--Halton Hills"," 172A","Halton Hills",13,187,37,122,1,0,3,363,515
"Wellington--Halton Hills/Wellington--Halton Hills"," 172B","Halton Hills",9,172,35,119,3,0,0,338,515
"Wellington--Halton Hills/Wellington--Halton Hills"," 173","Puslinch",26,126,36,101,6,1,2,298,490
"Wellington--Halton Hills/Wellington--Halton Hills"," 174A","Puslinch",18,104,21,50,0,1,0,194,394
"Wellington--Halton Hills/Wellington--Halton Hills"," 174B","Puslinch",15,102,26,84,2,0,0,229,457
"Wellington--Halton Hills/Wellington--Halton Hills"," 175","Puslinch",26,159,45,94,3,2,1,330,443
"Wellington--Halton Hills/Wellington--Halton Hills"," 176","Puslinch",11,139,19,84,9,0,1,263,426
"Wellington--Halton Hills/Wellington--Halton Hills"," 177","Puslinch",10,84,34,55,2,0,0,185,339
"Wellington--Halton Hills/Wellington--Halton Hills"," 178","Puslinch",16,161,40,64,7,0,1,289,399
"Wellington--Halton Hills/Wellington--Halton Hills"," 179","Puslinch",25,80,25,51,0,0,0,181,292
"Wellington--Halton Hills/Wellington--Halton Hills"," 180","Puslinch",17,119,36,55,1,1,0,229,355
"Wellington--Halton Hills/Wellington--Halton Hills"," 181","Puslinch",15,193,34,88,2,0,0,332,521
"Wellington--Halton Hills/Wellington--Halton Hills"," 182A","Puslinch",9,75,23,53,0,0,0,160,277
"Wellington--Halton Hills/Wellington--Halton Hills"," 182B","Puslinch",16,79,18,59,0,0,1,173,312
"Wellington--Halton Hills/Wellington--Halton Hills"," 500A","Mobile poll/Bureau itinérant",2,25,6,31,1,1,2,68,129
"Wellington--Halton Hills/Wellington--Halton Hills"," 500B","Mobile poll/Bureau itinérant",0,45,12,40,1,1,2,101,114
"Wellington--Halton Hills/Wellington--Halton Hills"," 501","Mobile poll/Bureau itinérant",0,19,6,23,0,2,0,50,131
"Wellington--Halton Hills/Wellington--Halton Hills"," 600","Centre Wellington",61,544,100,262,15,11,5,998,
"Wellington--Halton Hills/Wellington--Halton Hills"," 601","Centre Wellington",26,352,60,171,7,2,0,618,
"Wellington--Halton Hills/Wellington--Halton Hills"," 602","Guelph--Eramosa",42,397,74,195,13,2,3,726,
"Wellington--Halton Hills/Wellington--Halton Hills"," 603","Erin",55,430,58,196,4,1,1,745,
"Wellington--Halton Hills/Wellington--Halton Hills"," 604","Halton Hills",13,250,30,123,1,1,0,418,
"Wellington--Halton Hills/Wellington--Halton Hills"," 605","Halton Hills",22,288,49,114,5,4,2,484,
"Wellington--Halton Hills/Wellington--Halton Hills"," 606","Halton Hills",43,561,97,296,8,8,5,1018,
"Wellington--Halton Hills/Wellington--Halton Hills"," 607","Halton Hills",41,763,92,429,5,9,2,1341,
"Wellington--Halton Hills/Wellington--Halton Hills"," 608","Puslinch",28,330,37,143,5,0,1,544,
"Wellington--Halton Hills/Wellington--Halton Hills",,Group 1/Groupe 1,4,30,8,12,1,0,7,62,142
"Wellington--Halton Hills/Wellington--Halton Hills",,Group 2/Groupe 2,62,653,107,370,10,5,23,1230,
