Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Kevin Farmer,Peter Kent,Paul Summerville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. Paul's/St. Paul's"," 405","Toronto",81,28,9,31,0,149,261
"St. Paul's/St. Paul's"," 406","Toronto",87,8,23,25,1,144,262
"St. Paul's/St. Paul's"," 407","Toronto",121,14,44,36,1,216,361
"St. Paul's/St. Paul's"," 408","Toronto",96,6,27,40,0,169,287
"St. Paul's/St. Paul's"," 409","Toronto",126,10,58,50,2,246,404
"St. Paul's/St. Paul's"," 410","Toronto",101,8,42,36,0,187,283
"St. Paul's/St. Paul's"," 411","Toronto",155,12,89,56,3,315,456
"St. Paul's/St. Paul's"," 412","York",45,3,37,8,0,93,178
"St. Paul's/St. Paul's"," 413","York",94,4,55,23,0,176,281
"St. Paul's/St. Paul's"," 414","York",107,4,82,28,2,223,355
"St. Paul's/St. Paul's"," 415","Toronto",91,9,23,32,1,156,249
"St. Paul's/St. Paul's"," 600","Toronto",177,7,81,78,6,349,
"St. Paul's/St. Paul's"," 601","Toronto",186,12,101,42,2,343,
"St. Paul's/St. Paul's"," 602","Toronto",365,29,90,193,2,679,
"St. Paul's/St. Paul's"," 603","Toronto",369,15,451,50,6,891,
"St. Paul's/St. Paul's"," 604","Toronto",386,35,329,79,4,833,
"St. Paul's/St. Paul's"," 605","Toronto",428,44,276,106,9,863,
"St. Paul's/St. Paul's"," 606","Toronto",397,35,307,83,3,825,
"St. Paul's/St. Paul's"," 607","Toronto",401,27,267,103,0,798,
"St. Paul's/St. Paul's"," 608","Toronto",371,31,348,83,5,838,
"St. Paul's/St. Paul's"," 609","Toronto",316,38,120,127,4,605,
"St. Paul's/St. Paul's",,Group 1/Groupe 1,72,10,36,22,1,141,249
"St. Paul's/St. Paul's",,Group 2/Groupe 2,898,68,636,285,13,1900,
