Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arthur Bull,Matthew Granger,Ken Griffiths,Greg Kerr,Robert Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Nova/Nova-Ouest"," 135A","Meteghan",53,2,8,50,110,4,227,336
"West Nova/Nova-Ouest"," 135B","Mobile poll/Bureau itinérant",Merged with No. 130B/Fusionné avec le nº 130B,,,,,,,20
"West Nova/Nova-Ouest"," 136A","Meteghan",81,4,3,74,137,6,305,415
"West Nova/Nova-Ouest"," 136B","Mobile poll/Bureau itinérant",Merged with No. 130B/Fusionné avec le nº 130B,,,,,,,15
"West Nova/Nova-Ouest"," 137","Saint-Martin",42,6,5,69,97,2,221,299
"West Nova/Nova-Ouest"," 138","Saint-Alphonse",42,4,7,66,94,3,216,287
"West Nova/Nova-Ouest"," 139","Cape St. Mary's",38,3,4,46,77,0,168,263
"West Nova/Nova-Ouest"," 140","Salmon River",47,2,2,51,129,5,236,374
"West Nova/Nova-Ouest"," 141","Hectanooga",34,6,2,66,102,5,215,325
"West Nova/Nova-Ouest"," 142","Pleasant Valley",25,4,2,67,38,1,137,205
"West Nova/Nova-Ouest"," 143","Brazil Lake",31,8,1,140,49,2,231,375
"West Nova/Nova-Ouest"," 144","Brenton",46,11,1,141,80,1,280,464
"West Nova/Nova-Ouest"," 145","Port Maitland",44,7,5,85,74,2,217,372
"West Nova/Nova-Ouest"," 146","Sandford",36,1,1,70,68,2,178,291
"West Nova/Nova-Ouest"," 147","Pembroke",26,4,3,85,50,0,168,309
"West Nova/Nova-Ouest"," 148","Wellington",31,4,2,75,79,2,193,330
"West Nova/Nova-Ouest"," 149","South Ohio",55,10,2,122,79,2,270,533
"West Nova/Nova-Ouest"," 150","Greenville",45,4,5,57,60,0,171,365
"West Nova/Nova-Ouest"," 151","Brooklyn",45,6,3,46,60,0,160,353
"West Nova/Nova-Ouest"," 152","Dayton",27,3,3,71,124,5,233,424
"West Nova/Nova-Ouest"," 153","Hebron",48,16,2,89,98,0,253,452
"West Nova/Nova-Ouest"," 154A","Chegoggin",28,3,0,70,53,2,156,297
"West Nova/Nova-Ouest"," 154B","Chegoggin",31,8,1,82,49,0,171,309
"West Nova/Nova-Ouest"," 155","South Chegoggin",24,1,1,45,19,0,90,178
"West Nova/Nova-Ouest"," 156","Overton",17,3,1,101,61,0,183,295
"West Nova/Nova-Ouest"," 157","Sand Beach",60,4,2,101,80,2,249,447
"West Nova/Nova-Ouest"," 158","Kelleys Cove",37,7,1,94,65,1,205,358
"West Nova/Nova-Ouest"," 159","Pinkneys Point",47,10,8,118,80,3,266,445
"West Nova/Nova-Ouest"," 160","Sand Beach",27,2,3,66,53,0,151,258
"West Nova/Nova-Ouest"," 161","Arcadia",36,6,3,82,79,0,206,309
"West Nova/Nova-Ouest"," 162A","Yarmouth",42,4,2,115,105,0,268,509
"West Nova/Nova-Ouest"," 162B","Mobile poll/Bureau itinérant",9,5,3,21,38,2,78,147
"West Nova/Nova-Ouest"," 163","Yarmouth",35,5,5,138,152,0,335,552
"West Nova/Nova-Ouest"," 164","Yarmouth",39,4,4,84,86,1,218,459
"West Nova/Nova-Ouest"," 165","Yarmouth",27,6,0,56,67,1,157,303
"West Nova/Nova-Ouest"," 166","Yarmouth",28,9,4,71,85,0,197,373
"West Nova/Nova-Ouest"," 167","Yarmouth",43,12,1,60,91,1,208,437
"West Nova/Nova-Ouest"," 168","Yarmouth",25,4,2,63,39,0,133,267
"West Nova/Nova-Ouest"," 169","Yarmouth",37,5,1,57,70,1,171,412
"West Nova/Nova-Ouest"," 170","Yarmouth",35,2,1,56,62,2,158,337
"West Nova/Nova-Ouest"," 171","Yarmouth",37,4,0,36,54,0,131,331
"West Nova/Nova-Ouest"," 172","Yarmouth",38,3,4,37,80,2,164,348
"West Nova/Nova-Ouest"," 173","Yarmouth",34,5,2,48,58,1,148,363
"West Nova/Nova-Ouest"," 174","Yarmouth",51,2,1,72,64,4,194,376
"West Nova/Nova-Ouest"," 175","Yarmouth",51,7,4,46,72,3,183,397
"West Nova/Nova-Ouest"," 176","Yarmouth",53,3,1,62,54,1,174,442
"West Nova/Nova-Ouest"," 177","South Ohio",40,8,2,94,69,2,215,295
"West Nova/Nova-Ouest"," 178","Carleton",55,12,3,127,56,0,253,346
"West Nova/Nova-Ouest"," 179","Kemptville",17,4,2,90,60,0,173,232
"West Nova/Nova-Ouest"," 180","Quinan",55,5,2,52,65,0,179,381
"West Nova/Nova-Ouest"," 181","Belleville",35,5,1,97,60,3,201,356
"West Nova/Nova-Ouest"," 182","Ste. Anne du Ruisseau",47,2,3,84,58,3,197,321
"West Nova/Nova-Ouest"," 183","Tusket",48,7,3,75,86,0,219,347
"West Nova/Nova-Ouest"," 184","Amiraults Hill",30,6,3,73,86,2,200,372
"West Nova/Nova-Ouest"," 185","Sluice Point",22,9,3,54,58,0,146,224
"West Nova/Nova-Ouest"," 186","Upper Wedgeport",19,2,1,55,97,1,175,230
"West Nova/Nova-Ouest"," 187","Upper Wedgeport",37,1,3,102,104,1,248,328
"West Nova/Nova-Ouest"," 188","Comeaus Hill",31,8,3,60,54,0,156,218
"West Nova/Nova-Ouest"," 189","Wedgeport",26,4,1,84,88,0,203,291
"West Nova/Nova-Ouest"," 190","Wedgeport",43,8,2,90,116,4,263,360
"West Nova/Nova-Ouest"," 191","Lower Wedgeport",43,9,6,93,149,1,301,415
"West Nova/Nova-Ouest"," 192","Surettes Island",23,4,1,60,54,1,143,162
"West Nova/Nova-Ouest"," 193A","Central Argyle",34,5,1,133,40,1,214,329
"West Nova/Nova-Ouest"," 193B","Mobile poll/Bureau itinérant",Merged with No. 162B/Fusionné avec le nº 162B,,,,,,,36
"West Nova/Nova-Ouest"," 194","Pubnico",27,1,2,131,65,1,227,346
"West Nova/Nova-Ouest"," 195","Upper West Pubnico",22,6,3,89,108,2,230,342
"West Nova/Nova-Ouest"," 196","Middle West Pubnico",29,9,5,109,162,1,315,437
"West Nova/Nova-Ouest"," 197","Middle West Pubnico",24,4,7,103,128,3,269,393
"West Nova/Nova-Ouest"," 198","Lower West Pubnico",53,3,12,97,120,0,285,397
"West Nova/Nova-Ouest"," 199","East Pubnico",37,2,6,127,88,0,260,450
"West Nova/Nova-Ouest"," 400","Waterville",13,3,0,13,17,0,46,188
"West Nova/Nova-Ouest"," 500A","Mobile poll/Bureau itinérant",8,2,7,46,50,4,117,246
"West Nova/Nova-Ouest"," 500B","Mobile poll/Bureau itinérant",9,1,1,34,20,0,65,15
"West Nova/Nova-Ouest"," 600","Berwick",72,11,4,207,185,2,481,
"West Nova/Nova-Ouest"," 601","Kingston",49,11,7,224,231,4,526,
"West Nova/Nova-Ouest"," 602","Middleton",75,15,3,211,269,1,574,
"West Nova/Nova-Ouest"," 603","Bridgetown",32,3,3,108,102,0,248,
"West Nova/Nova-Ouest"," 604","Annapolis Royal",68,6,3,219,149,1,446,
"West Nova/Nova-Ouest"," 605","Digby",72,10,4,180,181,0,447,
"West Nova/Nova-Ouest"," 606","Weymouth",29,2,3,56,95,1,186,
"West Nova/Nova-Ouest"," 607","Meteghan",58,6,6,89,205,5,369,
"West Nova/Nova-Ouest"," 608","Arcadia",40,6,6,165,131,3,351,
"West Nova/Nova-Ouest"," 609","Yarmouth",43,6,4,159,188,2,402,
"West Nova/Nova-Ouest"," 610","Amiraults Hill",16,7,0,66,58,1,148,
"West Nova/Nova-Ouest"," 611","Middle West Pubnico",18,3,0,52,53,2,128,
"West Nova/Nova-Ouest",,Group 1/Groupe 1,25,12,6,180,107,4,334,1000
"West Nova/Nova-Ouest",,Group 2/Groupe 2,143,16,4,373,617,22,1175,
