Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Bigras,Marc-André Gadoury,Suzanne Harvey,Chantal Reeves,Michel Sauvé,Hugô St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",132,13,28,30,17,4,2,226,384
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",126,20,35,42,24,1,3,251,412
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",126,17,37,28,26,1,0,235,371
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17","Montréal",62,10,82,10,29,2,2,197,255
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",127,20,30,25,26,1,3,232,315
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",125,14,21,12,8,2,1,183,275
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20","Montréal",82,5,32,9,31,1,1,161,354
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",97,8,23,14,22,0,3,167,333
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",124,10,18,25,19,2,3,201,365
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23","Montréal",86,14,84,19,21,3,1,228,493
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",124,15,46,28,21,1,1,236,401
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",143,20,30,16,18,0,2,229,387
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",94,16,57,23,21,3,4,218,387
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",159,21,29,27,20,1,2,259,388
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",119,14,19,33,7,1,0,193,321
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",125,6,51,20,16,0,2,220,337
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",151,11,23,19,22,2,1,229,375
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31","Montréal",150,14,42,23,24,1,2,256,482
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",114,23,29,22,17,2,2,209,377
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",124,10,43,21,28,5,8,239,386
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34","Montréal",166,17,31,32,27,1,2,276,480
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",142,20,32,23,18,4,1,240,417
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",158,17,15,29,21,3,2,245,417
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37","Montréal",151,22,19,30,30,1,3,256,426
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",181,13,20,24,22,1,3,264,415
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",127,13,18,27,11,1,1,198,303
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 40","Montréal",119,9,36,21,22,1,2,210,392
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 41","Montréal",118,6,27,5,13,2,0,171,296
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 42","Montréal",135,14,41,20,26,6,1,243,403
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 43","Montréal",101,16,25,15,14,0,0,171,282
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 44","Montréal",107,18,45,19,31,0,4,224,309
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 45","Montréal",113,10,22,20,11,0,2,178,261
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 46","Montréal",142,18,28,25,19,1,2,235,383
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 47","Montréal",110,18,7,24,13,1,0,173,329
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 48","Montréal",98,12,11,26,5,1,1,154,290
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 49","Montréal",115,8,11,23,3,2,2,164,314
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 50","Montréal",119,8,25,12,17,3,6,190,306
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 51","Montréal",80,15,23,31,14,1,2,166,281
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 52","Montréal",146,13,16,25,13,2,2,217,388
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 53","Montréal",167,16,24,23,25,1,3,259,423
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 54","Montréal",Merged with No. 55/Fusionné avec le nº 55,,,,,,,,109
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 55","Montréal",96,5,27,18,25,2,2,175,217
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 56","Montréal",145,17,17,19,27,3,1,229,361
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 57","Montréal",139,7,41,31,19,0,0,237,428
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 58","Montréal",128,17,37,25,26,0,1,234,440
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 59","Montréal",91,7,26,15,18,0,1,158,347
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 60","Montréal",79,11,46,19,16,1,1,173,309
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 61","Montréal",94,3,36,13,36,2,4,188,376
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 62","Montréal",90,11,40,21,19,0,1,182,364
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 63","Montréal",100,16,74,20,23,2,3,238,403
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 64","Montréal",152,21,20,46,38,0,0,277,473
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 65","Montréal",175,16,62,38,44,0,5,340,532
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 66","Montréal",77,5,22,21,34,3,3,165,298
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 67","Montréal",97,10,13,22,12,1,3,158,319
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 68","Montréal",135,16,46,30,23,1,1,252,435
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 69","Montréal",107,13,28,31,22,2,2,205,348
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 70","Montréal",123,15,15,25,17,2,1,198,316
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 71","Montréal",181,20,24,51,9,4,3,292,477
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 72","Montréal",127,13,32,21,15,1,1,210,357
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73A","Montréal",122,12,40,30,13,4,4,225,402
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 73B","Montréal",112,11,37,21,17,6,3,207,366
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 74","Montréal",122,15,20,20,21,3,0,201,356
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 75","Montréal",111,18,20,22,12,2,4,189,319
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 76","Montréal",180,22,14,27,19,4,5,271,461
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 77","Montréal",125,10,20,23,12,3,2,195,345
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 78","Montréal",90,8,29,15,16,6,2,166,473
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 79","Montréal",185,15,24,39,47,2,1,313,512
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 80","Montréal",110,12,28,23,18,0,1,192,371
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 81","Montréal",131,12,27,17,32,0,5,224,393
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 82","Montréal",177,13,37,31,27,2,2,289,503
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 83","Montréal",141,16,42,30,34,0,2,265,438
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 84","Montréal",113,15,18,20,19,2,8,195,370
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 85","Montréal",164,4,34,16,34,2,3,257,483
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 86","Montréal",126,11,28,19,29,2,2,217,407
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 87","Montréal",107,15,32,26,32,3,5,220,385
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 88","Montréal",177,19,56,30,41,5,7,335,525
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 89","Montréal",90,12,33,7,10,2,0,154,329
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 90","Montréal",137,12,30,19,19,0,0,217,370
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 91","Montréal",124,19,24,24,27,1,1,220,341
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 92","Montréal",108,16,51,22,30,2,3,232,421
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 93","Montréal",109,11,12,19,19,1,7,178,378
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 94","Montréal",120,6,30,30,25,1,2,214,410
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95A","Montréal",116,13,23,19,19,0,0,190,436
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 95B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,12
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 96","Montréal",106,7,23,13,14,4,1,168,373
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97A","Montréal",176,22,45,43,42,2,1,331,498
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 97B","Montréal",84,6,71,17,60,0,4,242,291
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 98","Montréal",149,12,17,19,10,1,0,208,439
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 99","Montréal",187,12,36,51,66,2,2,356,556
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 100","Montréal",141,14,27,31,24,2,4,243,414
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 101","Montréal",117,10,20,22,3,2,3,177,317
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 102","Montréal",146,21,35,33,24,7,4,270,552
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103A","Montréal",105,13,17,22,4,2,2,165,318
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 103B","Montréal",99,16,12,25,13,2,1,168,324
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 104","Montréal",90,16,38,30,17,0,2,193,361
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 105","Montréal",138,10,16,37,33,1,2,237,418
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 106","Montréal",155,23,32,30,25,2,8,275,448
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 107","Montréal",164,13,27,21,13,1,3,242,377
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 108","Montréal",145,16,14,33,9,0,2,219,320
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 109","Montréal",132,19,31,27,22,1,2,234,409
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 110","Montréal",139,18,39,25,19,2,2,244,459
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 111","Montréal",122,20,12,28,23,2,3,210,374
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 112","Montréal",110,9,21,19,17,1,2,179,354
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 113","Montréal",154,18,29,39,16,2,4,262,481
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 114","Montréal",151,21,21,32,14,3,2,244,454
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 115","Montréal",159,24,15,46,19,1,2,266,510
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 116","Montréal",157,13,25,30,21,7,3,256,428
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 117","Montréal",125,9,33,29,19,2,1,218,365
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 118","Montréal",99,15,27,22,16,1,5,185,337
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 119","Montréal",110,18,33,21,26,1,1,210,382
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 120","Montréal",143,12,14,38,13,1,1,222,355
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 121","Montréal",121,13,18,36,21,0,4,213,348
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 122","Montréal",152,14,21,34,20,1,1,243,405
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 123","Montréal",146,11,16,22,13,1,1,210,371
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 124","Montréal",122,15,17,21,13,0,2,190,296
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 125","Montréal",104,6,29,21,9,4,1,174,282
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 126","Montréal",185,23,21,38,10,1,5,283,428
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 127","Montréal",183,18,31,33,21,1,2,289,376
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 128","Montréal",112,9,17,28,24,1,6,197,286
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 129","Montréal",176,19,16,24,24,1,1,261,401
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 130","Montréal",113,16,40,14,10,0,2,195,306
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 131","Montréal",135,8,24,34,19,1,0,221,355
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 132","Montréal",124,13,38,38,27,2,0,242,438
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 133","Montréal",145,17,18,38,11,3,2,234,404
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 134","Montréal",167,19,18,27,28,2,8,269,425
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 135","Montréal",152,12,34,38,21,4,1,262,445
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 136","Montréal",142,25,46,22,20,2,0,257,443
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 137","Montréal",86,7,52,19,15,2,3,184,310
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 138","Montréal",95,12,46,11,6,2,1,173,305
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 139","Montréal",138,21,46,20,18,2,5,250,430
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 140","Montréal",50,4,31,14,25,0,0,124,269
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 141","Montréal",66,9,49,21,28,4,4,181,402
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 142","Montréal",139,13,63,29,20,1,3,268,441
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 143","Montréal",92,15,68,19,21,4,2,221,373
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 144","Montréal",107,16,32,16,13,1,2,187,327
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 145","Montréal",112,9,29,21,10,5,3,189,309
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 146","Montréal",138,13,21,40,18,2,0,232,382
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 147A","Montréal",81,10,32,23,8,1,0,155,251
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 147B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,56
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 148","Montréal",128,20,32,34,13,2,0,229,398
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 149","Montréal",125,16,28,28,11,5,2,215,349
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 150","Montréal",164,18,18,30,19,3,5,257,406
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 151","Montréal",207,25,33,31,19,2,2,319,468
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 152","Montréal",109,15,21,29,18,2,3,197,362
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 153","Montréal",120,17,33,45,17,3,0,235,379
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 154","Montréal",135,20,19,26,15,4,6,225,382
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 155","Montréal",141,34,27,42,23,4,5,276,444
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 156","Montréal",131,21,53,29,24,2,5,265,458
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 157","Montréal",100,8,71,26,30,1,3,239,453
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 158","Montréal",99,11,70,23,31,1,3,238,489
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 159","Montréal",126,7,56,13,20,0,2,224,447
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 160","Montréal",119,9,26,30,22,1,1,208,421
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 161","Montréal",109,11,31,19,28,0,0,198,325
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 162","Montréal",111,13,69,26,7,2,2,230,425
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 163","Montréal",122,25,21,19,12,0,0,199,369
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 164","Montréal",79,11,17,24,10,4,2,147,268
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 165","Montréal",102,7,18,13,5,0,0,145,286
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 166","Montréal",133,21,30,46,10,2,0,242,451
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 167","Montréal",150,12,19,25,14,1,0,221,370
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 168","Montréal",104,21,27,35,19,3,5,214,331
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 169","Montréal",156,22,10,33,13,2,3,239,406
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 170","Montréal",97,14,17,25,13,1,1,168,311
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 171","Montréal",131,23,20,33,9,0,2,218,378
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 172","Montréal",153,32,30,48,11,4,3,281,461
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 173","Montréal",204,25,35,60,28,2,3,357,556
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 174","Montréal",113,14,35,26,14,3,4,209,428
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 175","Montréal",165,19,25,34,20,1,6,270,415
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 176","Montréal",171,17,33,36,15,3,1,276,533
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 177","Montréal",149,13,31,36,16,5,3,253,427
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 178","Montréal",142,15,31,29,19,0,1,237,412
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 179","Montréal",139,35,22,25,20,1,3,245,433
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 180","Montréal",135,21,51,43,18,1,3,272,540
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 181","Montréal",125,35,27,39,13,2,2,243,426
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 182","Montréal",91,10,33,19,13,1,4,171,401
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 183","Montréal",145,13,23,36,20,2,0,239,489
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 184","Montréal",86,9,45,20,17,0,1,178,317
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 185","Montréal",100,18,19,19,7,3,3,169,286
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 186","Montréal",94,9,29,25,12,2,4,175,305
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 187","Montréal",120,16,13,31,18,0,4,202,318
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 188","Montréal",133,20,17,40,9,2,2,223,348
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 189","Montréal",134,20,26,30,10,1,2,223,368
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 190","Montréal",88,23,39,34,12,5,7,208,382
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 191","Montréal",149,21,46,38,30,1,1,286,451
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 192","Montréal",142,23,27,36,18,1,1,248,413
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 193","Montréal",155,29,42,57,15,3,2,303,523
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 194","Montréal",144,20,65,45,25,5,5,309,495
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 195","Montréal",127,24,69,29,20,4,2,275,486
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 196","Montréal",93,27,49,33,17,3,1,223,442
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 197","Montréal",78,13,97,35,27,0,0,250,470
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 198","Montréal",62,15,104,28,17,4,2,232,407
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 199","Montréal",96,32,86,32,30,2,4,282,522
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 200","Montréal",154,35,35,47,13,2,4,290,488
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 201","Montréal",136,20,42,48,16,1,2,265,471
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 202","Montréal",124,33,35,45,14,2,3,256,512
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 203","Montréal",97,25,43,26,13,2,1,207,390
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 204A","Montréal",55,8,57,14,10,1,1,146,296
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 204B","Montréal",65,8,47,7,22,0,1,150,310
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 205","Montréal",105,22,24,28,10,3,1,193,410
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500","Mobile poll/Bureau itinérant",12,7,46,2,13,1,5,86,152
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 501","Mobile poll/Bureau itinérant",43,14,36,6,8,8,13,128,204
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502","Mobile poll/Bureau itinérant",25,3,22,5,12,1,8,76,169
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 503","Mobile poll/Bureau itinérant",24,3,19,2,13,1,7,69,107
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 504","Mobile poll/Bureau itinérant",31,2,28,3,12,1,4,81,183
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 600","Montréal",213,15,118,28,68,1,5,448,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 601","Montréal",220,21,81,24,45,3,2,396,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 602","Montréal",136,9,48,13,32,1,4,243,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 603","Montréal",296,15,121,42,66,0,6,546,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 604","Montréal",324,27,137,58,86,3,11,646,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 605","Montréal",179,13,46,16,33,0,4,291,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 606","Montréal",298,20,63,45,53,0,5,484,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 607","Montréal",197,24,76,28,38,2,2,367,
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 608","Montréal",265,17,66,52,62,2,2,466,
