Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Noel Lapierre,Nancy Love,Rob Merrifield,Monika Schaefer,John Marvin Wierenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yellowhead/Yellowhead"," 197","Drayton Valley",12,21,127,10,1,0,171,358
"Yellowhead/Yellowhead"," 198","Drayton Valley",14,9,163,7,2,1,196,351
"Yellowhead/Yellowhead"," 400","Jasper Park Lodge",21,17,10,27,0,0,75,108
"Yellowhead/Yellowhead"," 500","Mobile poll/Bureau itinérant",6,13,16,1,5,1,42,70
"Yellowhead/Yellowhead"," 501","Mobile poll/Bureau itinérant",11,7,112,3,7,1,141,218
"Yellowhead/Yellowhead"," 502","Mobile poll/Bureau itinérant",4,7,49,0,2,2,64,60
"Yellowhead/Yellowhead"," 503","Mobile poll/Bureau itinérant",4,9,37,0,3,2,55,92
"Yellowhead/Yellowhead"," 504","Mobile poll/Bureau itinérant",5,8,43,1,0,1,58,73
"Yellowhead/Yellowhead"," 505A","Mobile poll/Bureau itinérant",5,7,9,2,0,1,24,35
"Yellowhead/Yellowhead"," 505B","Mobile poll/Bureau itinérant",4,8,9,2,1,0,24,42
"Yellowhead/Yellowhead"," 600","Grande Cache--Greenview No. 16",16,28,123,8,0,0,175,
"Yellowhead/Yellowhead"," 601","Fox Creek--Greenview No. 16",13,6,78,7,0,0,104,
"Yellowhead/Yellowhead"," 602","Big Lakes--Swan Hills",5,6,42,2,1,0,56,
"Yellowhead/Yellowhead"," 603","Woodlands County",11,9,261,13,0,0,294,
"Yellowhead/Yellowhead"," 604","Whitecourt",32,31,461,22,3,0,549,
"Yellowhead/Yellowhead"," 605","Barrhead County No. 11",40,28,516,20,35,3,642,
"Yellowhead/Yellowhead"," 606","Jasper",75,33,101,50,1,0,260,
"Yellowhead/Yellowhead"," 607","Old Entrance",8,6,25,4,0,0,43,
"Yellowhead/Yellowhead"," 608","Hinton",64,40,321,21,5,2,453,
"Yellowhead/Yellowhead"," 609","Yellowhead County",14,7,132,9,1,0,163,
"Yellowhead/Yellowhead"," 610","Edson",28,31,351,10,2,0,422,
"Yellowhead/Yellowhead"," 611","Yellowhead County",12,6,120,6,3,0,147,
"Yellowhead/Yellowhead"," 612","Lac Ste. Anne County",72,66,585,43,2,1,769,
"Yellowhead/Yellowhead"," 613","Parkland County--Wabamun 133A",36,26,270,18,2,3,355,
"Yellowhead/Yellowhead"," 614","Brazeau County--O'Chiese 203",22,8,205,12,2,0,249,
"Yellowhead/Yellowhead"," 615","Drayton Valley",27,14,288,21,1,0,351,
"Yellowhead/Yellowhead",,Group 1/Groupe 1,9,26,39,9,0,2,85,138
"Yellowhead/Yellowhead",,Group 2/Groupe 2,73,80,554,48,7,10,772,
