Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Roxanne James,Dorothy Laxton,Andrew Strachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough Centre/Scarborough-Centre"," 79","Scarborough",53,39,18,1,1,112,276
"Scarborough Centre/Scarborough-Centre"," 80","Scarborough",126,56,30,3,0,215,367
"Scarborough Centre/Scarborough-Centre"," 81","Scarborough",133,83,46,4,4,270,375
"Scarborough Centre/Scarborough-Centre"," 82","Scarborough",133,69,21,8,1,232,435
"Scarborough Centre/Scarborough-Centre"," 83A","Scarborough",134,39,27,8,1,209,338
"Scarborough Centre/Scarborough-Centre"," 83B","Scarborough",Merged with No. 86B/Fusionné avec le nº 86B,,,,,,126
"Scarborough Centre/Scarborough-Centre"," 84","Scarborough",87,26,16,1,1,131,274
"Scarborough Centre/Scarborough-Centre"," 85","Scarborough",88,63,31,6,2,190,340
"Scarborough Centre/Scarborough-Centre"," 86A","Scarborough",96,68,30,3,1,198,365
"Scarborough Centre/Scarborough-Centre"," 86B","Scarborough",58,27,8,3,2,98,211
"Scarborough Centre/Scarborough-Centre"," 87","Scarborough",135,35,42,3,0,215,469
"Scarborough Centre/Scarborough-Centre"," 88","Scarborough",76,30,28,4,2,140,343
"Scarborough Centre/Scarborough-Centre"," 89","Scarborough",74,66,34,9,2,185,326
"Scarborough Centre/Scarborough-Centre"," 90","Scarborough",181,69,44,13,1,308,453
"Scarborough Centre/Scarborough-Centre"," 91","Scarborough",105,60,32,8,0,205,378
"Scarborough Centre/Scarborough-Centre"," 92","Scarborough",117,72,33,8,1,231,355
"Scarborough Centre/Scarborough-Centre"," 93","Scarborough",142,60,35,9,0,246,413
"Scarborough Centre/Scarborough-Centre"," 94","Scarborough",101,30,31,2,0,164,366
"Scarborough Centre/Scarborough-Centre"," 95","Scarborough",92,49,32,4,0,177,308
"Scarborough Centre/Scarborough-Centre"," 96","Scarborough",87,53,24,8,0,172,354
"Scarborough Centre/Scarborough-Centre"," 97","Scarborough",137,50,25,5,0,217,340
"Scarborough Centre/Scarborough-Centre"," 98","Scarborough",109,52,33,8,0,202,292
"Scarborough Centre/Scarborough-Centre"," 99","Scarborough",130,74,21,10,1,236,374
"Scarborough Centre/Scarborough-Centre"," 100","Scarborough",102,76,32,7,0,217,384
"Scarborough Centre/Scarborough-Centre"," 101","Scarborough",125,76,28,9,4,242,376
"Scarborough Centre/Scarborough-Centre"," 102","Scarborough",114,73,33,6,4,230,385
"Scarborough Centre/Scarborough-Centre"," 103","Scarborough",76,47,21,5,2,151,237
"Scarborough Centre/Scarborough-Centre"," 104","Scarborough",121,67,45,12,0,245,447
"Scarborough Centre/Scarborough-Centre"," 105","Scarborough",137,66,24,9,1,237,412
"Scarborough Centre/Scarborough-Centre"," 106","Scarborough",65,34,33,2,0,134,325
"Scarborough Centre/Scarborough-Centre"," 107","Scarborough",111,39,31,9,0,190,343
"Scarborough Centre/Scarborough-Centre"," 108","Scarborough",85,35,35,5,3,163,330
"Scarborough Centre/Scarborough-Centre"," 109","Scarborough",137,53,43,1,1,235,422
"Scarborough Centre/Scarborough-Centre"," 110","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,68
"Scarborough Centre/Scarborough-Centre"," 111","Scarborough",113,34,27,1,2,177,317
"Scarborough Centre/Scarborough-Centre"," 112","Scarborough",176,48,48,0,2,274,405
"Scarborough Centre/Scarborough-Centre"," 113","Scarborough",97,70,34,6,3,210,303
"Scarborough Centre/Scarborough-Centre"," 114","Scarborough",162,57,28,7,2,256,412
"Scarborough Centre/Scarborough-Centre"," 115","Scarborough",114,69,29,6,1,219,388
"Scarborough Centre/Scarborough-Centre"," 116","Scarborough",147,72,27,7,1,254,376
"Scarborough Centre/Scarborough-Centre"," 117","Scarborough",129,29,24,3,0,185,423
"Scarborough Centre/Scarborough-Centre"," 118","Scarborough",170,39,37,4,4,254,365
"Scarborough Centre/Scarborough-Centre"," 119","Scarborough",91,34,21,2,1,149,320
"Scarborough Centre/Scarborough-Centre"," 120","Scarborough",146,78,25,8,2,259,423
