Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Juliet Burgess,Ted Haney,Bruce Kaufman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary--Nose Hill/Calgary--Nose Hill"," 87","Calgary",120,8,37,8,0,173,324
"Calgary--Nose Hill/Calgary--Nose Hill"," 88","Calgary",184,8,28,11,0,231,369
"Calgary--Nose Hill/Calgary--Nose Hill"," 89","Calgary",207,25,53,24,0,309,547
"Calgary--Nose Hill/Calgary--Nose Hill"," 90","Calgary",224,12,50,14,0,300,500
"Calgary--Nose Hill/Calgary--Nose Hill"," 91","Calgary",176,9,42,9,0,236,397
"Calgary--Nose Hill/Calgary--Nose Hill"," 92","Calgary",162,13,99,16,0,290,549
"Calgary--Nose Hill/Calgary--Nose Hill"," 93","Calgary",141,7,64,19,0,231,440
"Calgary--Nose Hill/Calgary--Nose Hill"," 94","Calgary",179,13,44,17,0,253,475
"Calgary--Nose Hill/Calgary--Nose Hill"," 95","Calgary",115,7,37,15,1,175,326
"Calgary--Nose Hill/Calgary--Nose Hill"," 96","Calgary",144,19,46,28,0,237,408
"Calgary--Nose Hill/Calgary--Nose Hill"," 97","Calgary",113,16,41,12,0,182,373
"Calgary--Nose Hill/Calgary--Nose Hill"," 98","Calgary",99,10,26,17,0,152,277
"Calgary--Nose Hill/Calgary--Nose Hill"," 99","Calgary",120,16,30,14,0,180,271
"Calgary--Nose Hill/Calgary--Nose Hill"," 100","Calgary",231,23,64,26,2,346,567
"Calgary--Nose Hill/Calgary--Nose Hill"," 101","Calgary",74,10,32,10,0,126,240
"Calgary--Nose Hill/Calgary--Nose Hill"," 102A","Calgary",153,15,61,16,0,245,387
"Calgary--Nose Hill/Calgary--Nose Hill"," 102B","Mobile poll/Bureau itinérant",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,123
"Calgary--Nose Hill/Calgary--Nose Hill"," 103","Calgary",207,17,49,24,0,297,506
"Calgary--Nose Hill/Calgary--Nose Hill"," 104","Calgary",134,25,45,16,0,220,388
"Calgary--Nose Hill/Calgary--Nose Hill"," 105","Calgary",86,16,37,20,2,161,327
"Calgary--Nose Hill/Calgary--Nose Hill"," 106","Calgary",177,30,42,26,0,275,429
"Calgary--Nose Hill/Calgary--Nose Hill"," 107","Calgary",220,31,57,15,1,324,515
"Calgary--Nose Hill/Calgary--Nose Hill"," 108","Calgary",141,16,46,18,0,221,388
"Calgary--Nose Hill/Calgary--Nose Hill"," 109","Calgary",157,30,40,24,0,251,387
"Calgary--Nose Hill/Calgary--Nose Hill"," 110","Calgary",218,24,61,24,0,327,473
"Calgary--Nose Hill/Calgary--Nose Hill"," 111","Calgary",142,18,54,26,0,240,371
"Calgary--Nose Hill/Calgary--Nose Hill"," 112","Calgary",123,34,43,35,0,235,357
"Calgary--Nose Hill/Calgary--Nose Hill"," 113","Calgary",147,32,45,22,0,246,365
"Calgary--Nose Hill/Calgary--Nose Hill"," 114","Calgary",157,25,61,25,0,268,417
"Calgary--Nose Hill/Calgary--Nose Hill"," 115","Calgary",133,20,40,21,1,215,356
"Calgary--Nose Hill/Calgary--Nose Hill"," 116","Calgary",138,28,41,24,2,233,339
"Calgary--Nose Hill/Calgary--Nose Hill"," 117","Calgary",156,14,32,22,0,224,315
"Calgary--Nose Hill/Calgary--Nose Hill"," 118","Calgary",150,25,41,21,0,237,349
"Calgary--Nose Hill/Calgary--Nose Hill"," 119","Calgary",122,17,43,27,2,211,316
"Calgary--Nose Hill/Calgary--Nose Hill"," 120","Calgary",122,21,40,35,0,218,442
"Calgary--Nose Hill/Calgary--Nose Hill"," 121","Calgary",67,19,23,33,0,142,295
"Calgary--Nose Hill/Calgary--Nose Hill"," 122","Calgary",95,10,28,18,0,151,253
"Calgary--Nose Hill/Calgary--Nose Hill"," 123","Calgary",167,30,33,29,1,260,398
"Calgary--Nose Hill/Calgary--Nose Hill"," 124","Calgary",152,20,27,36,0,235,355
"Calgary--Nose Hill/Calgary--Nose Hill"," 125","Calgary",70,16,28,17,0,131,293
"Calgary--Nose Hill/Calgary--Nose Hill"," 126","Calgary",96,25,36,22,0,179,480
"Calgary--Nose Hill/Calgary--Nose Hill"," 127A","Calgary",211,19,39,29,0,298,546
"Calgary--Nose Hill/Calgary--Nose Hill"," 127B","Calgary",251,18,60,25,0,354,586
"Calgary--Nose Hill/Calgary--Nose Hill"," 127C","Calgary",244,20,55,23,0,342,671
"Calgary--Nose Hill/Calgary--Nose Hill"," 127D","Calgary",233,26,56,33,1,349,630
"Calgary--Nose Hill/Calgary--Nose Hill"," 127E","Calgary",130,5,26,19,0,180,365
"Calgary--Nose Hill/Calgary--Nose Hill"," 128A","Calgary",162,11,35,12,0,220,339
"Calgary--Nose Hill/Calgary--Nose Hill"," 128B","Calgary",193,12,29,24,0,258,406
"Calgary--Nose Hill/Calgary--Nose Hill"," 129A","Calgary",144,16,19,16,0,195,308
"Calgary--Nose Hill/Calgary--Nose Hill"," 129B","Calgary",175,9,41,10,0,235,398
"Calgary--Nose Hill/Calgary--Nose Hill"," 130A","Calgary",246,24,76,36,0,382,813
"Calgary--Nose Hill/Calgary--Nose Hill"," 130B","Calgary",298,21,57,23,0,399,859
"Calgary--Nose Hill/Calgary--Nose Hill"," 131A","Calgary",245,13,81,37,3,379,824
"Calgary--Nose Hill/Calgary--Nose Hill"," 131B","Calgary",249,8,52,20,0,329,683
"Calgary--Nose Hill/Calgary--Nose Hill"," 132","Calgary",183,22,40,30,1,276,503
"Calgary--Nose Hill/Calgary--Nose Hill"," 133","Calgary",247,25,47,27,0,346,663
"Calgary--Nose Hill/Calgary--Nose Hill"," 134","Calgary",150,21,10,16,1,198,360
"Calgary--Nose Hill/Calgary--Nose Hill"," 135","Calgary",192,11,46,14,0,263,477
"Calgary--Nose Hill/Calgary--Nose Hill"," 136","Calgary",105,11,23,14,1,154,305
"Calgary--Nose Hill/Calgary--Nose Hill"," 137","Calgary",161,24,31,19,0,235,407
"Calgary--Nose Hill/Calgary--Nose Hill"," 138","Calgary",153,10,33,7,0,203,381
"Calgary--Nose Hill/Calgary--Nose Hill"," 139","Calgary",214,19,31,13,0,277,526
"Calgary--Nose Hill/Calgary--Nose Hill"," 140","Calgary",180,12,42,18,1,253,469
"Calgary--Nose Hill/Calgary--Nose Hill"," 141","Calgary",177,28,40,20,0,265,513
"Calgary--Nose Hill/Calgary--Nose Hill"," 142","Calgary",206,20,44,23,1,294,601
"Calgary--Nose Hill/Calgary--Nose Hill"," 143","Calgary",186,8,58,25,0,277,531
"Calgary--Nose Hill/Calgary--Nose Hill"," 144","Calgary",254,9,66,16,1,346,598
"Calgary--Nose Hill/Calgary--Nose Hill"," 145","Calgary",162,7,38,12,0,219,474
"Calgary--Nose Hill/Calgary--Nose Hill"," 146A","Calgary",123,9,33,14,0,179,386
"Calgary--Nose Hill/Calgary--Nose Hill"," 146B","Calgary",117,0,28,13,2,160,317
"Calgary--Nose Hill/Calgary--Nose Hill"," 147A","Calgary",134,9,38,16,0,197,336
"Calgary--Nose Hill/Calgary--Nose Hill"," 147B","Calgary",129,7,47,18,1,202,372
"Calgary--Nose Hill/Calgary--Nose Hill"," 148","Calgary",225,22,65,17,1,330,622
"Calgary--Nose Hill/Calgary--Nose Hill"," 149","Calgary",102,13,19,13,0,147,251
"Calgary--Nose Hill/Calgary--Nose Hill"," 150","Calgary",257,29,34,31,1,352,553
"Calgary--Nose Hill/Calgary--Nose Hill"," 151","Calgary",233,29,50,37,1,350,649
"Calgary--Nose Hill/Calgary--Nose Hill"," 152A","Calgary",145,11,25,15,0,196,342
"Calgary--Nose Hill/Calgary--Nose Hill"," 152B","Calgary",147,12,27,7,2,195,380
"Calgary--Nose Hill/Calgary--Nose Hill"," 153","Calgary",117,5,34,6,0,162,368
"Calgary--Nose Hill/Calgary--Nose Hill"," 154","Calgary",149,13,77,13,0,252,534
"Calgary--Nose Hill/Calgary--Nose Hill"," 155","Calgary",140,14,29,35,0,218,377
"Calgary--Nose Hill/Calgary--Nose Hill"," 156","Calgary",113,9,46,13,0,181,324
"Calgary--Nose Hill/Calgary--Nose Hill"," 157","Calgary",171,14,71,23,1,280,579
"Calgary--Nose Hill/Calgary--Nose Hill"," 158","Calgary",126,21,39,23,0,209,383
"Calgary--Nose Hill/Calgary--Nose Hill"," 159","Calgary",179,20,70,22,3,294,523
"Calgary--Nose Hill/Calgary--Nose Hill"," 160","Calgary",163,11,54,25,0,253,489
"Calgary--Nose Hill/Calgary--Nose Hill"," 161","Calgary",168,21,54,26,0,269,606
"Calgary--Nose Hill/Calgary--Nose Hill"," 162","Calgary",175,22,46,22,0,265,511
"Calgary--Nose Hill/Calgary--Nose Hill"," 163","Calgary",194,12,40,13,2,261,441
"Calgary--Nose Hill/Calgary--Nose Hill"," 164","Calgary",180,24,32,15,2,253,398
"Calgary--Nose Hill/Calgary--Nose Hill"," 165","Calgary",162,22,29,17,1,231,388
"Calgary--Nose Hill/Calgary--Nose Hill"," 166","Calgary",167,19,34,23,0,243,405
"Calgary--Nose Hill/Calgary--Nose Hill"," 167","Calgary",114,6,27,17,0,164,300
"Calgary--Nose Hill/Calgary--Nose Hill"," 168","Calgary",182,19,26,23,0,250,392
"Calgary--Nose Hill/Calgary--Nose Hill"," 169","Calgary",88,19,14,22,0,143,293
"Calgary--Nose Hill/Calgary--Nose Hill"," 170","Calgary",178,29,31,26,0,264,431
"Calgary--Nose Hill/Calgary--Nose Hill"," 171","Calgary",219,35,53,41,1,349,603
"Calgary--Nose Hill/Calgary--Nose Hill"," 172","Calgary",201,20,47,16,1,285,465
"Calgary--Nose Hill/Calgary--Nose Hill"," 400","Calgary",Void/Supprimé,,,,,,
"Calgary--Nose Hill/Calgary--Nose Hill"," 600","Calgary",758,36,164,58,1,1017,
"Calgary--Nose Hill/Calgary--Nose Hill"," 601","Calgary",435,40,90,38,2,605,
"Calgary--Nose Hill/Calgary--Nose Hill"," 602","Calgary",540,25,121,35,3,724,
"Calgary--Nose Hill/Calgary--Nose Hill"," 603","Calgary",742,35,220,47,2,1046,
"Calgary--Nose Hill/Calgary--Nose Hill"," 604","Calgary",383,27,73,44,0,527,
"Calgary--Nose Hill/Calgary--Nose Hill"," 605","Calgary",665,26,160,34,2,887,
"Calgary--Nose Hill/Calgary--Nose Hill"," 606","Calgary",380,30,89,31,0,530,
"Calgary--Nose Hill/Calgary--Nose Hill",,Group 1/Groupe 1,48,7,24,8,0,87,158
"Calgary--Nose Hill/Calgary--Nose Hill",,Group 2/Groupe 2,806,64,179,69,27,1145,
