Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cardin,Claudia Laroche-Martel,Marc Nadeau,Martin Plaisance,Robert Pouliot,Michel Quirion,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sherbrooke/Sherbrooke"," 119","Sherbrooke",105,2,15,14,18,10,0,164,392
"Sherbrooke/Sherbrooke"," 120","Sherbrooke",101,1,14,21,11,19,0,167,335
"Sherbrooke/Sherbrooke"," 121","Sherbrooke",86,4,21,23,12,9,2,157,369
"Sherbrooke/Sherbrooke"," 122","Sherbrooke",114,1,26,28,14,14,2,199,475
"Sherbrooke/Sherbrooke"," 123","Sherbrooke",96,4,14,17,14,9,1,155,392
"Sherbrooke/Sherbrooke"," 124","Sherbrooke",100,0,18,13,11,6,0,148,334
"Sherbrooke/Sherbrooke"," 125","Sherbrooke",126,2,52,18,33,14,2,247,455
"Sherbrooke/Sherbrooke"," 126A","Sherbrooke",94,1,50,15,41,9,6,216,558
"Sherbrooke/Sherbrooke"," 126B","Mobile poll/Bureau itinérant",Merged with No. 507A/Fusionné avec le nº 507A,,,,,,,,50
"Sherbrooke/Sherbrooke"," 127","Sherbrooke",94,2,18,13,9,9,4,149,357
"Sherbrooke/Sherbrooke"," 128","Sherbrooke",91,2,71,24,26,12,0,226,376
"Sherbrooke/Sherbrooke"," 129","Sherbrooke",113,0,38,14,8,14,2,189,363
"Sherbrooke/Sherbrooke"," 130","Sherbrooke",94,0,52,10,21,9,2,188,360
"Sherbrooke/Sherbrooke"," 131","Sherbrooke",99,1,50,22,17,8,2,199,372
"Sherbrooke/Sherbrooke"," 132","Sherbrooke",95,0,37,14,23,6,0,175,313
"Sherbrooke/Sherbrooke"," 133","Sherbrooke",94,0,34,11,18,5,1,163,322
"Sherbrooke/Sherbrooke"," 134","Sherbrooke",65,2,36,14,25,4,2,148,325
"Sherbrooke/Sherbrooke"," 135","Sherbrooke",70,2,30,6,26,6,6,146,332
"Sherbrooke/Sherbrooke"," 136","Sherbrooke",69,1,26,8,21,0,2,127,243
"Sherbrooke/Sherbrooke"," 137","Sherbrooke",94,1,35,21,50,9,3,213,442
"Sherbrooke/Sherbrooke"," 138","Sherbrooke",66,1,34,9,17,5,2,134,327
"Sherbrooke/Sherbrooke"," 139","Sherbrooke",91,1,43,15,11,5,6,172,313
"Sherbrooke/Sherbrooke"," 140","Sherbrooke",132,1,60,15,16,13,2,239,483
"Sherbrooke/Sherbrooke"," 141","Sherbrooke",87,0,49,15,17,6,0,174,411
"Sherbrooke/Sherbrooke"," 142","Sherbrooke",140,1,28,16,15,7,2,209,410
"Sherbrooke/Sherbrooke"," 143","Sherbrooke",112,2,52,24,36,12,3,241,383
"Sherbrooke/Sherbrooke"," 144A","Sherbrooke",35,1,25,4,39,4,1,109,243
"Sherbrooke/Sherbrooke"," 144B","Mobile poll/Bureau itinérant",Merged with No. 507B/Fusionné avec le nº 507B,,,,,,,,20
"Sherbrooke/Sherbrooke"," 145","Sherbrooke",104,2,41,9,21,8,4,189,344
"Sherbrooke/Sherbrooke"," 146","Sherbrooke",101,2,36,21,19,1,5,185,334
"Sherbrooke/Sherbrooke"," 147","Sherbrooke",126,1,37,14,30,6,1,215,374
"Sherbrooke/Sherbrooke"," 148","Sherbrooke",124,3,42,15,36,3,5,228,468
"Sherbrooke/Sherbrooke"," 149","Sherbrooke",91,2,46,18,37,13,1,208,340
"Sherbrooke/Sherbrooke"," 150","Sherbrooke",133,3,35,16,23,10,4,224,375
"Sherbrooke/Sherbrooke"," 151","Sherbrooke",102,0,32,28,30,8,3,203,307
"Sherbrooke/Sherbrooke"," 152","Sherbrooke",141,0,86,22,31,11,2,293,443
"Sherbrooke/Sherbrooke"," 153","Sherbrooke",124,0,74,22,12,8,2,242,393
"Sherbrooke/Sherbrooke"," 154","Sherbrooke",126,2,32,20,14,5,5,204,347
"Sherbrooke/Sherbrooke"," 155","Sherbrooke",116,1,44,22,13,19,2,217,381
"Sherbrooke/Sherbrooke"," 156","Sherbrooke",82,1,16,22,15,8,1,145,362
"Sherbrooke/Sherbrooke"," 157","Sherbrooke",118,3,28,23,15,18,0,205,349
"Sherbrooke/Sherbrooke"," 158","Sherbrooke",109,1,30,13,26,11,0,190,313
"Sherbrooke/Sherbrooke"," 159","Sherbrooke",79,1,39,16,24,10,3,172,297
"Sherbrooke/Sherbrooke"," 160","Sherbrooke",71,2,10,12,14,4,3,116,301
"Sherbrooke/Sherbrooke"," 161","Sherbrooke",126,3,26,21,23,11,1,211,402
"Sherbrooke/Sherbrooke"," 162","Sherbrooke",126,3,22,18,16,7,0,192,408
"Sherbrooke/Sherbrooke"," 163","Sherbrooke",129,0,25,19,25,12,1,211,456
"Sherbrooke/Sherbrooke"," 164","Sherbrooke",115,0,39,17,27,4,2,204,335
"Sherbrooke/Sherbrooke"," 165","Sherbrooke",87,1,46,10,20,9,2,175,306
"Sherbrooke/Sherbrooke"," 166","Sherbrooke",88,0,20,8,32,11,5,164,372
"Sherbrooke/Sherbrooke"," 167","Sherbrooke",87,2,11,21,29,8,3,161,434
"Sherbrooke/Sherbrooke"," 168","Sherbrooke",77,3,10,12,8,7,1,118,289
"Sherbrooke/Sherbrooke"," 169","Sherbrooke",110,1,18,12,28,8,6,183,352
"Sherbrooke/Sherbrooke"," 170","Sherbrooke",132,1,35,18,21,9,2,218,333
"Sherbrooke/Sherbrooke"," 171","Sherbrooke",97,1,30,14,27,12,0,181,339
"Sherbrooke/Sherbrooke"," 172","Sherbrooke",115,3,28,19,27,5,1,198,362
"Sherbrooke/Sherbrooke"," 173","Sherbrooke",89,1,42,12,24,10,3,181,359
