Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bender,Zoé Kunschner,Dave MacKenzie,John Markus,Greig Mordue,Kaye Sargent,Ronnee Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oxford/Oxford"," 106","Woodstock",7,63,105,2,40,1,9,3,230,463
"Oxford/Oxford"," 107","Woodstock",3,57,77,13,43,0,7,3,203,435
"Oxford/Oxford"," 108","Woodstock",11,64,99,3,60,1,4,1,243,431
"Oxford/Oxford"," 109","Woodstock",4,54,66,2,50,1,6,2,185,381
"Oxford/Oxford"," 110","Woodstock",4,61,100,4,71,1,6,1,248,418
"Oxford/Oxford"," 111","Woodstock",5,72,119,5,77,0,4,2,284,482
"Oxford/Oxford"," 112A","Ingersoll",6,45,72,4,51,1,7,0,186,336
"Oxford/Oxford"," 112B","Ingersoll",3,52,79,2,61,0,6,0,203,372
"Oxford/Oxford"," 113A","Ingersoll",3,55,67,6,57,1,6,0,195,331
"Oxford/Oxford"," 113B","Ingersoll",4,49,66,3,61,0,8,1,192,301
"Oxford/Oxford"," 114","Ingersoll",11,54,47,5,43,3,3,1,167,375
"Oxford/Oxford"," 115","Ingersoll",6,51,58,2,31,1,5,0,154,341
"Oxford/Oxford"," 116","Ingersoll",4,66,92,6,49,0,8,1,226,425
"Oxford/Oxford"," 117","Ingersoll",3,73,84,3,63,0,7,0,233,428
"Oxford/Oxford"," 118","Ingersoll",4,43,60,2,35,1,10,0,155,336
"Oxford/Oxford"," 119","Ingersoll",5,55,103,5,69,0,10,1,248,397
"Oxford/Oxford"," 120","Ingersoll",4,68,95,2,80,1,16,1,267,493
"Oxford/Oxford"," 121","Ingersoll",4,51,65,3,36,1,7,0,167,405
"Oxford/Oxford"," 122","Ingersoll",4,59,92,6,67,1,6,0,235,445
"Oxford/Oxford"," 123","Ingersoll",5,47,59,4,59,0,9,0,183,382
"Oxford/Oxford"," 124","Ingersoll",5,65,171,4,93,0,10,0,348,509
"Oxford/Oxford"," 125","Ingersoll",3,36,74,5,73,0,12,2,205,420
"Oxford/Oxford"," 126","Ingersoll",12,65,88,4,47,0,10,0,226,391
"Oxford/Oxford"," 127","Ingersoll",9,66,87,2,55,0,4,0,223,392
"Oxford/Oxford"," 128","Ingersoll",5,58,133,1,74,0,10,0,281,457
"Oxford/Oxford"," 129","Ingersoll",9,63,126,6,61,2,10,2,279,459
"Oxford/Oxford"," 130","Dorland",6,35,111,4,40,1,8,0,205,336
"Oxford/Oxford"," 131","Beachville",3,51,68,2,56,1,4,0,185,311
"Oxford/Oxford"," 132","Beachville",12,68,103,9,68,2,9,1,272,396
"Oxford/Oxford"," 133","Centreville",4,38,111,26,34,2,7,1,223,346
"Oxford/Oxford"," 134","Foldens",1,21,83,11,49,1,13,0,179,251
"Oxford/Oxford"," 135","Sweaburg",3,45,146,10,69,1,13,1,288,449
"Oxford/Oxford"," 136","Sweaburg",10,39,83,2,54,0,5,0,193,300
"Oxford/Oxford"," 137","Salford",3,30,69,25,37,0,11,1,176,339
"Oxford/Oxford"," 138","South-West Oxford",1,37,71,4,46,1,14,1,175,290
"Oxford/Oxford"," 139","Ingersoll",5,72,105,6,73,0,12,1,274,387
"Oxford/Oxford"," 140","Verschoyle",3,19,67,5,27,1,5,0,127,246
"Oxford/Oxford"," 141","Verschoyle",4,31,77,15,22,0,5,0,154,292
"Oxford/Oxford"," 142","Mount Elgin",7,32,107,11,41,2,6,1,207,325
"Oxford/Oxford"," 143","Ostrander",2,24,93,15,35,3,8,0,180,297
"Oxford/Oxford"," 144","Delmer",3,22,108,12,31,0,1,1,178,279
"Oxford/Oxford"," 145","Brownsville Station",5,37,100,10,26,0,19,0,197,361
"Oxford/Oxford"," 146","Brownsville",0,18,74,9,27,1,1,0,130,220
"Oxford/Oxford"," 147A","Tillsonburg",3,38,74,3,61,0,4,2,185,325
"Oxford/Oxford"," 147B","Tillsonburg",1,28,77,2,45,1,4,0,158,296
"Oxford/Oxford"," 148","Tillsonburg",6,54,140,10,86,2,8,0,306,555
"Oxford/Oxford"," 149","Tillsonburg",4,33,109,5,67,1,9,0,228,383
"Oxford/Oxford"," 150","Tillsonburg",0,24,42,3,23,0,4,0,96,227
"Oxford/Oxford"," 151","Tillsonburg",5,58,113,8,77,1,7,3,272,511
"Oxford/Oxford"," 152","Tillsonburg",5,35,68,3,44,0,1,3,159,333
"Oxford/Oxford"," 153","Tillsonburg",6,48,81,3,49,0,6,0,193,447
"Oxford/Oxford"," 154","Tillsonburg",4,37,66,3,52,2,3,0,167,419
"Oxford/Oxford"," 155","Tillsonburg",2,25,65,5,33,1,0,0,131,273
"Oxford/Oxford"," 156","Tillsonburg",5,37,72,1,46,0,9,1,171,410
"Oxford/Oxford"," 157A","Tillsonburg",2,16,106,0,65,0,4,0,193,327
"Oxford/Oxford"," 157B","Tillsonburg",4,32,89,5,69,1,8,1,209,364
"Oxford/Oxford"," 158","Tillsonburg",2,29,109,6,81,0,11,0,238,414
"Oxford/Oxford"," 159","Tillsonburg",2,33,112,6,44,2,5,0,204,425
"Oxford/Oxford"," 160","Tillsonburg",6,54,153,4,70,3,9,1,300,561
"Oxford/Oxford"," 161","Tillsonburg",2,23,107,2,53,1,4,0,192,378
"Oxford/Oxford"," 162","Tillsonburg",2,19,93,2,92,1,1,5,215,461
"Oxford/Oxford"," 163","Tillsonburg",3,21,45,7,37,1,4,2,120,349
"Oxford/Oxford"," 164","Tillsonburg",4,18,87,3,39,0,6,2,159,363
"Oxford/Oxford"," 165","Tillsonburg",2,35,68,10,47,0,6,1,169,346
"Oxford/Oxford"," 166","Tillsonburg",1,18,92,3,76,1,6,1,198,332
"Oxford/Oxford"," 167","Tillsonburg",2,24,130,0,88,1,3,2,250,446
"Oxford/Oxford"," 168","Tillsonburg",1,30,87,3,71,2,12,2,208,332
"Oxford/Oxford"," 169","Tillsonburg",0,17,90,1,94,0,2,0,204,325
"Oxford/Oxford"," 170","Tillsonburg",7,25,158,2,95,2,4,1,294,532
"Oxford/Oxford"," 171","Tillsonburg",5,24,53,4,44,2,4,1,137,371
"Oxford/Oxford"," 172","Tillsonburg",5,44,83,3,44,0,7,0,186,434
"Oxford/Oxford"," 173","Tillsonburg",3,56,92,6,63,1,8,1,230,464
"Oxford/Oxford"," 174","Oxford Centre",3,35,162,11,58,1,5,0,275,358
"Oxford/Oxford"," 175","Curries",5,31,137,14,52,1,8,1,249,392
