Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karan Bowyer,Stockwell Day,John Harrop,David Perry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 58","Lakeview Heights",13,136,32,57,0,238,458
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 59","Tsinstikeptum 9",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 60A","Westside",14,90,36,36,0,176,315
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 60B","Westside",16,71,26,32,1,146,276
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 61A","Westside",11,99,35,72,1,218,399
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 61B","Westside",12,98,23,58,1,192,346
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 61C","Westside",14,95,38,53,0,200,402
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 62","Westside",14,144,39,68,1,266,475
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 63","Westside",33,109,43,79,1,265,491
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 64","Tsinstikeptum 10",7,70,28,44,0,149,283
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 65","Tsinstikeptum 10",12,96,26,53,0,187,389
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 66A","Westbank",6,78,21,51,0,156,321
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 66B","Westbank",6,100,21,48,0,175,326
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 67A","Westbank",7,108,28,39,1,183,380
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 67B","Westbank",7,89,30,43,0,169,395
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 68","Tsinstikeptum 9",19,106,50,55,0,230,534
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 69","Westbank",22,135,37,44,1,239,423
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 70","Tsinstikeptum 9",Merged with No. 74/Fusionné avec le nº 74,,,,,,212
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 71","Tsinstikeptum 9",10,83,40,40,0,173,474
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 72A","Lakeview Heights",7,123,10,63,0,203,385
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 72B","Lakeview Heights",10,122,24,66,0,222,417
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 73","Tsinstikeptum 9",5,67,20,26,0,118,249
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 74","Tsinstikeptum 9",18,88,48,48,1,203,240
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 75A","Tsinstikeptum 9",8,75,25,26,1,135,309
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 75B","Tsinstikeptum 9",13,67,30,33,0,143,329
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 76","Lakeview Heights",23,138,35,59,0,255,525
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 77","Lakeview Heights",28,133,29,77,0,267,497
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 78A","Lakeview Heights",3,65,26,34,0,128,228
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 78B","Lakeview Heights",5,64,6,35,0,110,229
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 79","Lakeview Heights",18,85,8,24,0,135,240
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 80","Lakeview Heights",18,131,35,53,1,238,439
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 81","Lakeview Heights",21,109,41,68,0,239,429
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 82","Lakeview Heights",29,132,45,84,1,291,498
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 83","Lakeview Heights",18,79,31,42,0,170,277
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 84","Lakeview Heights",27,104,37,69,0,237,428
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 85","Lakeview Heights",25,124,28,56,2,235,435
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 86","Lakeview Heights",9,67,9,32,0,117,262
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 87","Summerland",34,106,43,40,0,223,424
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 88","Naramata",25,68,56,54,0,203,320
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 89","Summerland",15,129,27,36,0,207,430
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 90","Summerland",20,126,40,65,1,252,467
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 91","Summerland",22,121,50,57,0,250,445
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 92","Summerland",21,62,36,29,0,148,285
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 93","Summerland",25,98,52,46,1,222,395
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 94A","Summerland",27,89,39,14,0,169,299
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 94B","Summerland",20,60,19,35,0,134,261
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 95","Summerland",18,110,33,54,0,215,374
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 96","Summerland",21,98,56,26,0,201,337
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 97","Summerland",26,128,50,41,0,245,397
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 98A","Summerland",5,79,34,27,0,145,275
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 98B","Summerland",7,65,22,46,1,141,266
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 99","Summerland",25,123,62,53,1,264,461
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 100","Summerland",10,67,26,31,0,134,212
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 101A","Summerland",16,82,40,28,0,166,276
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 101B","Summerland",13,73,50,29,1,166,273
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 102A","Summerland",8,57,30,22,0,117,218
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 102B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,96
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 103A","Summerland",13,83,56,29,0,181,334
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 103B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,50
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 104A","Summerland",14,104,45,47,0,210,454
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 104B","Summerland",29,138,53,44,0,264,479
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 105","Summerland",36,143,71,53,0,303,517
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 106","Summerland",35,155,68,57,0,315,514
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 107","Naramata",27,51,55,25,0,158,238
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 108","Penticton 1",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 109A","Penticton 1",27,121,36,81,0,265,474
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 109B","Penticton 1",24,117,48,83,0,272,459
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 110","Penticton 1",19,84,49,48,2,202,341
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 111","Penticton 1",18,63,22,34,1,138,224
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 112A","Penticton 1",4,100,18,32,0,154,297
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 112B","Penticton 1",8,80,12,44,0,144,290
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 113","Penticton 1",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 114","Penticton",23,101,46,48,1,219,404
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 115","Naramata",19,102,41,42,1,205,304
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 116","Naramata",36,117,104,80,0,337,500
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 117","Penticton",27,126,43,59,1,256,507
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 118A","Penticton",4,65,13,34,0,116,279
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 118B","Penticton",10,68,20,43,1,142,279
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 119","Penticton",18,83,37,43,0,181,354
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 120","Penticton",15,65,32,54,0,166,334
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 121A","Penticton",14,66,24,29,0,133,247
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 121B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,53
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 122","Penticton",13,80,33,49,0,175,391
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 123","Penticton",26,103,39,41,0,209,381
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 124","Penticton",27,134,50,61,0,272,483
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 125","Penticton",20,92,28,45,0,185,327
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 126","Penticton",22,71,49,31,0,173,406
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 127","Penticton",33,103,53,54,1,244,523
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 128","Penticton",30,54,46,45,0,175,401
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 129","Penticton",22,79,40,39,0,180,373
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 130","Penticton",21,46,40,39,0,146,369
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 131","Penticton",12,41,37,19,0,109,326
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 132A","Penticton",7,39,35,44,1,126,260
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 132B","Penticton",19,54,31,32,0,136,283
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 133","Penticton",19,91,56,38,0,204,413
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 134","Penticton",31,105,47,54,0,237,485
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 135","Penticton",20,85,43,46,1,195,429
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 136","Penticton",27,90,45,49,0,211,364
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 137","Penticton",15,60,23,30,0,128,276
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 138","Penticton",13,88,48,39,0,188,438
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 139","Penticton",13,52,25,24,1,115,307
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 140","Penticton",15,80,56,32,0,183,377
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 141","Penticton",19,88,28,46,0,181,318
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 142","Penticton",9,75,46,33,0,163,370
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 143","Penticton",14,83,61,53,0,211,450
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 144","Penticton",24,77,27,50,1,179,342
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 145","Penticton",19,78,49,51,0,197,374
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 146","Penticton",19,72,51,41,0,183,340
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 147","Penticton",19,109,43,80,0,251,497
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 148","Penticton",13,126,41,65,2,247,423
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 149","Penticton",21,84,44,44,0,193,373
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 150A","Penticton",21,70,27,32,1,151,269
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 150B","Penticton",15,88,26,28,0,157,271
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 151","Penticton",11,73,40,31,0,155,309
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 152","Penticton",27,104,51,60,0,242,475
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 153","Penticton",10,98,38,33,0,179,307
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 154","Penticton",20,117,42,51,1,231,446
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 155A","Penticton",13,68,29,42,0,152,307
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 155B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,94
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 155C","Penticton",4,53,27,27,0,111,307
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 156A","Penticton",7,56,21,27,0,111,268
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 156B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,16
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 156C","Penticton",11,58,27,24,0,120,276
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 157","Penticton",10,95,30,46,0,181,407
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 158","Penticton",7,62,28,42,0,139,313
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 159A","Penticton",10,95,25,53,0,183,307
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 159B","Penticton",10,67,20,56,0,153,285
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 160A","Penticton",7,103,26,51,0,187,326
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 160B","Penticton",12,94,23,60,0,189,341
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 161","Penticton",15,124,53,63,0,255,479
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 162","Penticton",8,103,21,37,0,169,291
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 163","Penticton",6,110,42,30,0,188,424
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 164","Penticton",9,100,41,45,0,195,380
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 165","Penticton",14,69,23,27,0,133,295
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 166","Penticton",11,92,41,33,1,178,398
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 167","Penticton",5,107,36,54,0,202,423
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 168","Penticton",12,104,53,54,0,223,483
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 169","Penticton",17,66,39,47,0,169,374
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 170","Penticton",13,59,33,36,0,141,285
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 171","Penticton",12,121,43,61,0,237,445
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 172A","Penticton",8,60,25,38,0,131,272
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 172B","Penticton",6,52,48,26,0,132,279
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 173","Penticton",13,79,39,24,0,155,334
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 174","Penticton",11,111,41,36,0,199,425
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 175A","Kaleden",26,96,50,45,2,219,356
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 175B","Kaleden",21,139,49,54,0,263,406
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 175C","Kaleden",15,106,49,51,0,221,358
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 176","Kaleden",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 177","Kaleden",20,83,38,33,1,175,276
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 178A","Okanagan Falls",16,101,37,37,0,191,344
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 178B","Okanagan Falls",10,100,30,46,0,186,313
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 179A","Okanagan Falls",21,106,41,37,0,205,343
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 179B","Okanagan Falls",9,96,41,42,0,188,350
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 180A","Okanagan Falls",8,87,44,28,0,167,265
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 180B","Okanagan Falls",14,92,38,24,1,169,269
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 181","Okanagan Falls",7,63,28,30,0,128,240
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 182A","Okanagan Falls",24,97,30,44,0,195,294
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 182B","Okanagan Falls",12,110,44,21,0,187,295
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 500A","Mobile poll/Bureau itinérant",4,33,21,16,2,76,158
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 500B","Mobile poll/Bureau itinérant",3,69,26,42,1,141,87
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 501","Mobile poll/Bureau itinérant",4,39,11,14,4,72,273
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 502A","Mobile poll/Bureau itinérant",0,25,16,11,2,54,38
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 502B","Mobile poll/Bureau itinérant",4,40,31,19,1,95,90
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 503A","Mobile poll/Bureau itinérant",4,51,30,26,2,113,71
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 503B","Mobile poll/Bureau itinérant",8,50,25,11,3,97,119
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 504","Mobile poll/Bureau itinérant",3,33,12,19,0,67,155
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 600","Merritt",28,313,135,149,1,626,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 601","Lakeview--West Kelowna",42,579,111,231,4,967,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 602","Westbank--Glenrosa",55,759,151,266,1,1232,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 603","Peachland",19,220,37,62,0,338,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 604","Summerland",56,449,132,161,1,799,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 605","Penticton--Naramata",17,147,41,56,0,261,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 606","Penticton",66,453,192,200,4,915,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 607","Penticton",40,625,173,301,3,1142,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 608","Kalenden--Okanagan Falls",12,170,46,61,0,289,
"Okanagan--Coquihalla/Okanagan--Coquihalla",,Group 1/Groupe 1,18,38,28,39,8,131,228
"Okanagan--Coquihalla/Okanagan--Coquihalla",,Group 2/Groupe 2,63,1206,227,396,30,1922,
