Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Éric Cardinal,François Choquette,Jean-Benjamin Milot,Pauline Picard,Jean-Marie Pineault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Drummond/Drummond"," 92","Drummondville",51,12,17,108,53,2,243,398
"Drummond/Drummond"," 93","Drummondville",46,12,14,128,45,4,249,472
"Drummond/Drummond"," 94","Drummondville",16,11,9,72,31,3,142,309
"Drummond/Drummond"," 95","Drummondville",31,13,9,105,39,9,206,405
"Drummond/Drummond"," 96","Drummondville",54,9,13,100,42,5,223,352
"Drummond/Drummond"," 97","Drummondville",43,12,16,104,49,4,228,379
"Drummond/Drummond"," 98","Drummondville",45,17,3,97,47,6,215,388
"Drummond/Drummond"," 99","Drummondville",22,23,12,100,63,5,225,412
"Drummond/Drummond"," 100","Drummondville",42,14,13,96,48,4,217,371
"Drummond/Drummond"," 101","Drummondville",24,15,17,131,49,1,237,511
"Drummond/Drummond"," 102","Drummondville",28,4,4,102,39,2,179,318
"Drummond/Drummond"," 103","Drummondville",23,15,7,102,35,2,184,344
"Drummond/Drummond"," 104","Drummondville",30,32,22,173,82,8,347,592
"Drummond/Drummond"," 105","Drummondville",34,24,19,111,56,7,251,398
"Drummond/Drummond"," 106","Drummondville",20,32,38,160,71,9,330,584
"Drummond/Drummond"," 107A","Drummondville",24,17,10,97,53,3,204,385
"Drummond/Drummond"," 107B","Drummondville",24,23,12,99,42,0,200,356
"Drummond/Drummond"," 108A","Drummondville",27,26,12,133,38,2,238,387
"Drummond/Drummond"," 108B","Drummondville",19,24,4,125,49,1,222,389
"Drummond/Drummond"," 109","Drummondville",41,25,10,175,64,7,322,580
"Drummond/Drummond"," 110","Drummondville",28,12,15,115,41,3,214,405
"Drummond/Drummond"," 111","Drummondville",20,11,11,153,55,7,257,465
"Drummond/Drummond"," 112","Drummondville",18,8,8,75,29,2,140,351
"Drummond/Drummond"," 113","Drummondville",29,9,10,78,37,6,169,371
"Drummond/Drummond"," 114","Drummondville",16,9,7,67,27,2,128,385
"Drummond/Drummond"," 115","Drummondville",20,10,10,77,35,2,154,401
"Drummond/Drummond"," 116","Drummondville",21,5,10,113,37,5,191,396
"Drummond/Drummond"," 117","Drummondville",26,15,12,114,27,3,197,378
"Drummond/Drummond"," 118","Drummondville",26,11,6,82,32,4,161,360
"Drummond/Drummond"," 119","Drummondville",41,13,7,98,47,5,211,306
"Drummond/Drummond"," 120","Drummondville",47,9,9,94,56,2,217,359
"Drummond/Drummond"," 121","Drummondville",36,10,16,130,38,1,231,387
"Drummond/Drummond"," 122","Drummondville",31,11,9,106,28,9,194,316
"Drummond/Drummond"," 123","Drummondville",22,16,7,77,37,0,159,321
"Drummond/Drummond"," 124","Drummondville",16,4,6,55,17,1,99,329
"Drummond/Drummond"," 125","Drummondville",6,4,5,50,10,3,78,224
"Drummond/Drummond"," 126","Drummondville",35,16,10,143,47,4,255,377
"Drummond/Drummond"," 127","Drummondville",37,20,15,107,56,3,238,388
"Drummond/Drummond"," 128","Drummondville",30,14,11,106,39,6,206,344
"Drummond/Drummond"," 129","Drummondville",24,20,10,112,59,3,228,359
"Drummond/Drummond"," 130","Drummondville",45,16,15,154,70,6,306,567
"Drummond/Drummond"," 131","Drummondville",29,11,11,111,38,4,204,438
"Drummond/Drummond"," 132","Drummondville",47,18,10,109,53,2,239,377
"Drummond/Drummond"," 133","Drummondville",42,13,10,92,49,4,210,378
"Drummond/Drummond"," 134","Drummondville",23,7,2,75,32,1,140,249
"Drummond/Drummond"," 135","Drummondville",36,17,13,137,52,1,256,466
"Drummond/Drummond"," 136","Drummondville",56,12,12,98,58,2,238,364
"Drummond/Drummond"," 137","Drummondville",41,10,13,135,52,2,253,455
"Drummond/Drummond"," 138","Drummondville",32,16,7,124,53,6,238,448
"Drummond/Drummond"," 139","Drummondville",28,8,6,59,25,1,127,219
"Drummond/Drummond"," 140","Drummondville",32,23,21,162,69,6,313,515
"Drummond/Drummond"," 141","Saint-Nicéphore",14,9,12,72,23,0,130,207
"Drummond/Drummond"," 142","Saint-Nicéphore",25,9,9,117,49,2,211,335
"Drummond/Drummond"," 143","Saint-Nicéphore",18,37,25,180,59,3,322,554
"Drummond/Drummond"," 144","Saint-Nicéphore",19,25,22,216,81,4,367,649
"Drummond/Drummond"," 145","Saint-Nicéphore",23,15,22,165,46,3,274,516
"Drummond/Drummond"," 146","Drummondville",22,22,15,136,58,9,262,491
"Drummond/Drummond"," 147","Saint-Nicéphore",38,24,16,170,56,3,307,527
"Drummond/Drummond"," 148","Saint-Nicéphore",19,9,11,108,33,3,183,323
"Drummond/Drummond"," 149","Saint-Nicéphore",19,24,17,131,55,11,257,495
"Drummond/Drummond"," 150","Saint-Nicéphore",30,18,22,168,60,10,308,488
"Drummond/Drummond"," 151A","Saint-Nicéphore",26,10,17,92,50,5,200,349
"Drummond/Drummond"," 151B","Saint-Nicéphore",18,14,10,101,32,0,175,332
"Drummond/Drummond"," 152","Saint-Nicéphore",17,11,9,82,42,4,165,295
"Drummond/Drummond"," 153","Saint-Nicéphore",23,22,15,158,88,9,315,554
"Drummond/Drummond"," 154","Saint-Nicéphore",27,15,21,118,63,5,249,449
"Drummond/Drummond"," 155","Saint-Nicéphore",19,8,6,90,35,4,162,300
"Drummond/Drummond"," 156","Saint-Nicéphore",14,7,12,108,54,18,213,397
"Drummond/Drummond"," 157","Saint-Nicéphore",21,11,15,127,44,2,220,464
"Drummond/Drummond"," 158","Saint-Nicéphore",21,17,11,72,46,6,173,315
"Drummond/Drummond"," 159","Wickham",39,21,25,169,69,3,326,528
"Drummond/Drummond"," 160","Wickham",31,21,10,128,89,1,280,492
"Drummond/Drummond"," 161","Wickham",36,16,13,130,56,4,255,427
"Drummond/Drummond"," 162","Wickham",26,7,17,144,48,0,242,374
"Drummond/Drummond"," 163","Lefebvre",29,18,16,74,77,4,218,336
"Drummond/Drummond"," 164","Lefebvre",18,8,5,78,56,2,167,249
"Drummond/Drummond"," 165","Durham-Sud",51,15,13,85,74,3,241,379
"Drummond/Drummond"," 166","Durham-Sud",58,18,15,119,74,2,286,427
"Drummond/Drummond"," 167","L'Avenir",56,35,12,147,114,5,369,552
"Drummond/Drummond"," 168","L'Avenir",26,22,14,135,70,8,275,468
"Drummond/Drummond"," 500","Mobile poll/Bureau itinérant",66,2,6,43,32,3,152,150
"Drummond/Drummond"," 501","Mobile poll/Bureau itinérant",70,11,5,50,13,3,152,213
"Drummond/Drummond"," 502","Mobile poll/Bureau itinérant",80,7,2,64,44,8,205,288
"Drummond/Drummond"," 503","Mobile poll/Bureau itinérant",38,5,2,30,17,2,94,172
"Drummond/Drummond"," 600","Saint-Cyrille-de-Wendover",27,15,5,70,43,3,163,
"Drummond/Drummond"," 601","Saint-Germain-de-Grantham",35,8,4,91,31,0,169,
"Drummond/Drummond"," 602","Drummondville",36,16,8,115,51,6,232,
"Drummond/Drummond"," 603","Drummondville",102,20,12,104,73,2,313,
"Drummond/Drummond"," 604","Saint-Charles-de-Drummond",44,11,14,96,69,0,234,
"Drummond/Drummond"," 605","Drummondville",105,13,18,104,56,5,301,
"Drummond/Drummond"," 606","Drummondville",118,28,18,245,108,7,524,
"Drummond/Drummond"," 607","Drummondville",149,26,17,283,138,10,623,
"Drummond/Drummond"," 608","Saint-Nicéphore",52,22,13,209,78,5,379,
"Drummond/Drummond"," 609","Wickham",3,4,5,30,4,1,47,
"Drummond/Drummond",,Group 1/Groupe 1,13,7,5,20,25,0,70,152
"Drummond/Drummond",,Group 2/Groupe 2,651,68,46,871,248,30,1914,
