Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nazir Ahmad,Niki Christina Ashton,Brad Bodnar,Bev Desjarlais,Jeff Fountain,Tina Keeper,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Churchill/Churchill"," 30","Thompson",25,49,1,106,7,33,0,221,399
"Churchill/Churchill"," 31","Thompson",43,57,1,51,5,34,0,191,393
"Churchill/Churchill"," 32","Thompson",20,32,2,47,3,30,0,134,232
"Churchill/Churchill"," 33","Thompson",46,52,0,87,6,38,1,230,381
"Churchill/Churchill"," 34","Thompson",32,82,0,76,15,27,0,232,454
"Churchill/Churchill"," 35","Thompson",23,73,0,39,8,28,1,172,455
"Churchill/Churchill"," 36","Thompson",15,47,2,47,5,35,0,151,385
"Churchill/Churchill"," 37","Thompson",30,51,1,91,4,37,1,215,443
"Churchill/Churchill"," 38","Thompson",14,34,0,27,5,35,0,115,345
"Churchill/Churchill"," 39","Thicket Portage",0,47,0,1,0,4,0,52,108
"Churchill/Churchill"," 40","Pikwitonei",16,18,0,4,0,5,0,43,68
"Churchill/Churchill"," 41","York Landing",0,73,0,8,0,49,2,132,228
"Churchill/Churchill"," 42A","Split Lake",4,90,2,22,3,79,0,200,266
"Churchill/Churchill"," 42B","Split Lake",5,102,0,28,3,93,0,231,312
"Churchill/Churchill"," 43A","Split Lake",Merged with No. 42A/Fusionné avec le nº 42A,,,,,,,,167
"Churchill/Churchill"," 43B","Split Lake",Merged with No. 42B/Fusionné avec le nº 42B,,,,,,,,164
"Churchill/Churchill"," 44","Ilford",0,25,0,0,0,7,0,32,70
"Churchill/Churchill"," 45","Gillam",29,77,0,42,5,53,0,206,437
"Churchill/Churchill"," 46","Gillam",27,35,0,44,2,35,0,143,304
"Churchill/Churchill"," 47","Fox Lake",1,39,0,3,2,26,0,71,101
"Churchill/Churchill"," 48","Shamattawa",2,45,1,18,5,184,0,255,464
"Churchill/Churchill"," 49","Gods River",2,58,1,4,0,123,0,188,282
"Churchill/Churchill"," 50","Gods Lake Narrows",2,4,0,1,0,45,0,52,85
"Churchill/Churchill"," 51","Gods Lake Narrows",1,9,1,5,0,282,0,298,556
"Churchill/Churchill"," 52A","Oxford House",Merged with No. 53A/Fusionné avec le nº 53A,,,,,,,,157
"Churchill/Churchill"," 52B","Oxford House",Merged with No. 53B/Fusionné avec le nº 53B,,,,,,,,174
"Churchill/Churchill"," 53A","Oxford House",2,37,0,3,0,62,6,110,313
"Churchill/Churchill"," 53B","Oxford House",4,39,0,1,1,65,0,110,347
"Churchill/Churchill"," 54A","Cross Lake",1,110,0,70,1,72,2,256,209
"Churchill/Churchill"," 54B","Cross Lake",4,117,1,66,0,106,2,296,265
"Churchill/Churchill"," 54C","Cross Lake",5,125,0,50,0,81,0,261,169
"Churchill/Churchill"," 54D","Cross Lake",6,96,1,52,1,63,0,219,169
"Churchill/Churchill"," 55A","Cross Lake",Merged with No. 54A/Fusionné avec le nº 54A,,,,,,,,97
"Churchill/Churchill"," 55B","Cross Lake",Merged with No. 54B/Fusionné avec le nº 54B,,,,,,,,142
"Churchill/Churchill"," 55C","Cross Lake",Merged with No. 54C/Fusionné avec le nº 54C,,,,,,,,71
"Churchill/Churchill"," 55D","Cross Lake",Merged with No. 54D/Fusionné avec le nº 54D,,,,,,,,100
"Churchill/Churchill"," 56A","Cross Lake",Merged with No. 54A/Fusionné avec le nº 54A,,,,,,,,173
"Churchill/Churchill"," 56B","Cross Lake",Merged with No. 54B/Fusionné avec le nº 54B,,,,,,,,142
"Churchill/Churchill"," 56C","Cross Lake",Merged with No. 54C/Fusionné avec le nº 54C,,,,,,,,191
"Churchill/Churchill"," 56D","Cross Lake",Merged with No. 54D/Fusionné avec le nº 54D,,,,,,,,107
"Churchill/Churchill"," 57A","Cross Lake",Merged with No. 54A/Fusionné avec le nº 54A,,,,,,,,85
"Churchill/Churchill"," 57B","Cross Lake",Merged with No. 54B/Fusionné avec le nº 54B,,,,,,,,136
"Churchill/Churchill"," 57C","Cross Lake",Merged with No. 54C/Fusionné avec le nº 54C,,,,,,,,109
"Churchill/Churchill"," 57D","Cross Lake",Merged with No. 54D/Fusionné avec le nº 54D,,,,,,,,74
"Churchill/Churchill"," 58","Sherridon",3,27,1,2,0,6,0,39,68
"Churchill/Churchill"," 59A","Cranberry Portage",13,75,2,41,6,39,2,178,173
"Churchill/Churchill"," 59B","Cranberry Portage",21,38,1,15,0,36,0,111,145
"Churchill/Churchill"," 60A","Cranberry Portage",Merged with No. 59A/Fusionné avec le nº 59A,,,,,,,,106
"Churchill/Churchill"," 60B","Cranberry Portage",Merged with No. 59B/Fusionné avec le nº 59B,,,,,,,,69
"Churchill/Churchill"," 61","Snow Lake",21,34,2,31,2,16,0,106,250
"Churchill/Churchill"," 62","Snow Lake",28,23,0,30,2,22,0,105,251
"Churchill/Churchill"," 63","Snow Lake",24,29,1,50,3,27,0,134,283
"Churchill/Churchill"," 64","Flin Flon",68,60,0,69,3,33,0,233,388
"Churchill/Churchill"," 65","Flin Flon",101,82,1,94,6,60,0,344,674
"Churchill/Churchill"," 66","Flin Flon",31,60,1,47,1,45,0,185,517
"Churchill/Churchill"," 67","Flin Flon",76,36,0,61,8,43,1,225,422
"Churchill/Churchill"," 68","Flin Flon",65,44,0,59,4,47,0,219,395
"Churchill/Churchill"," 69","Flin Flon",70,45,2,96,11,39,1,264,427
"Churchill/Churchill"," 70","Flin Flon",41,49,0,51,3,24,0,168,341
"Churchill/Churchill"," 71","Flin Flon",53,39,0,44,5,20,0,161,320
"Churchill/Churchill"," 72","Flin Flon",21,51,0,31,1,23,1,128,281
"Churchill/Churchill"," 73","Flin Flon",27,26,0,30,2,19,0,104,241
"Churchill/Churchill"," 74","Flin Flon",43,53,1,44,2,26,0,169,353
"Churchill/Churchill"," 75","Flin Flon",55,53,1,45,4,34,0,192,380
"Churchill/Churchill"," 76","Wanless",29,32,1,44,3,23,2,134,210
"Churchill/Churchill"," 77","Cormorant",9,44,0,17,1,25,0,96,235
"Churchill/Churchill"," 78","Clearwater Lake",43,38,4,32,2,30,0,149,247
"Churchill/Churchill"," 79","Umpherville",1,23,0,10,0,20,0,54,153
"Churchill/Churchill"," 80","Pasquia Settlement",44,33,2,32,2,24,1,138,256
"Churchill/Churchill"," 81","Opaskwayak",3,107,1,34,3,297,1,446,985
"Churchill/Churchill"," 82","Opaskwayak",3,42,1,7,0,92,2,147,297
"Churchill/Churchill"," 83","The Pas",30,31,4,29,3,31,0,128,310
"Churchill/Churchill"," 84","The Pas",22,53,5,43,6,42,1,172,330
"Churchill/Churchill"," 85","The Pas",37,62,11,39,6,52,0,207,435
"Churchill/Churchill"," 86","The Pas",36,60,3,38,4,44,1,186,338
"Churchill/Churchill"," 87","The Pas",44,57,5,52,7,55,2,222,459
"Churchill/Churchill"," 88","The Pas",35,53,2,35,3,35,0,163,324
"Churchill/Churchill"," 89","The Pas",22,27,1,24,5,42,0,121,257
"Churchill/Churchill"," 90","Opaskwayak",2,23,0,5,0,16,0,46,125
"Churchill/Churchill"," 91","The Pas",36,41,0,39,3,69,0,188,394
"Churchill/Churchill"," 92","The Pas",48,74,4,55,5,81,2,269,579
"Churchill/Churchill"," 93","The Pas",25,36,6,35,3,44,0,149,320
"Churchill/Churchill"," 94","The Pas",53,71,0,41,6,48,0,219,442
"Churchill/Churchill"," 95","Ralls Island",69,49,3,53,1,33,1,209,338
"Churchill/Churchill"," 96","Youngs Point",48,42,3,45,5,33,0,176,333
"Churchill/Churchill"," 97","Moose Lake",3,85,0,19,1,134,0,242,530
"Churchill/Churchill"," 98","Easterville",4,109,2,28,1,112,0,256,542
"Churchill/Churchill"," 99","Grand Rapids",12,49,1,18,0,43,0,123,370
"Churchill/Churchill"," 100","Grand Rapids",4,55,0,10,0,55,0,124,269
"Churchill/Churchill"," 101A","Norway House",3,32,0,20,1,129,0,185,333
"Churchill/Churchill"," 101B","Norway House",9,39,0,9,2,82,0,141,256
"Churchill/Churchill"," 101C","Norway House",3,44,1,5,2,107,2,164,285
"Churchill/Churchill"," 101D","Norway House",10,49,0,10,3,95,0,167,316
"Churchill/Churchill"," 102A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,,,156
"Churchill/Churchill"," 102B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,,,104
"Churchill/Churchill"," 102C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,,,146
"Churchill/Churchill"," 102D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,,,115
"Churchill/Churchill"," 103A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,,,102
"Churchill/Churchill"," 103B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,,,93
"Churchill/Churchill"," 103C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,,,86
"Churchill/Churchill"," 103D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,,,83
"Churchill/Churchill"," 104A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,,,128
"Churchill/Churchill"," 104B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,,,68
"Churchill/Churchill"," 104C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,,,77
"Churchill/Churchill"," 104D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,,,77
"Churchill/Churchill"," 105","Norway House",7,20,0,9,1,49,0,86,250
"Churchill/Churchill"," 106","Norway House",6,42,0,9,0,35,0,92,218
"Churchill/Churchill"," 107","Waasagomach",3,9,0,0,2,356,0,370,624
"Churchill/Churchill"," 108","Garden Hill",2,7,0,1,1,311,1,323,553
"Churchill/Churchill"," 109","Red Sucker Lake",1,46,0,7,0,123,0,177,413
"Churchill/Churchill"," 110","Garden Hill",2,7,0,2,1,416,0,428,795
"Churchill/Churchill"," 111","Stevenson Island",13,6,0,3,4,14,0,40,50
"Churchill/Churchill"," 111-1","Island Lake",Void/Supprimé,,,,,,,,
"Churchill/Churchill"," 112A","St. Theresa Point",2,2,1,0,1,185,0,191,481
"Churchill/Churchill"," 112B","St. Theresa Point",2,6,0,0,4,465,0,477,792
"Churchill/Churchill"," 113","Poplar River",5,29,2,0,0,73,2,111,371
"Churchill/Churchill"," 114","Poplar River",Void/Supprimé,,,,,,,,
"Churchill/Churchill"," 115","Berens River",19,101,0,7,1,66,0,194,602
"Churchill/Churchill"," 116","Pauingassi First Nation",7,136,3,2,1,19,0,168,195
"Churchill/Churchill"," 117","Bloodvein",1,29,0,6,0,25,0,61,322
"Churchill/Churchill"," 118","Little Grand Rapids",17,114,3,3,3,88,0,228,476
"Churchill/Churchill"," 119","Hollow Water",11,58,1,36,0,93,0,199,402
"Churchill/Churchill"," 120","Manigotagan",9,35,0,11,1,22,0,78,143
"Churchill/Churchill"," 121","Bissett",23,13,1,6,0,4,1,48,90
"Churchill/Churchill"," 122","Little Black River",2,34,0,10,0,54,0,100,190
"Churchill/Churchill"," 123","Fort Alexander",1,24,0,9,1,184,1,220,388
"Churchill/Churchill"," 124","Fort Alexander",7,32,0,4,2,329,1,375,558
"Churchill/Churchill"," 500","Mobile poll/Bureau itinérant",7,17,5,8,2,4,0,43,86
"Churchill/Churchill"," 501","Mobile poll/Bureau itinérant",8,6,1,10,0,6,1,32,36
"Churchill/Churchill"," 600","Churchill",7,18,0,9,1,16,0,51,
"Churchill/Churchill"," 601","South Indian Lake",0,14,1,2,0,17,0,34,
"Churchill/Churchill"," 602","Leaf Rapids",7,10,0,2,1,27,0,47,
"Churchill/Churchill"," 603","Nelson House",0,13,0,3,0,6,0,22,
"Churchill/Churchill"," 604","Flin Flon",77,63,1,59,2,44,1,247,
"Churchill/Churchill"," 605","Snow Lake",16,8,0,19,0,7,0,50,
"Churchill/Churchill"," 606","Thompson Rural",4,4,0,17,0,3,0,28,
"Churchill/Churchill"," 607","Thompson",60,92,2,123,12,52,1,342,
"Churchill/Churchill"," 608","Gillam",17,21,0,19,2,19,1,79,
"Churchill/Churchill"," 609","Cross Lake",4,18,0,5,0,18,0,45,
"Churchill/Churchill"," 610","The Pas Rural",26,14,0,31,3,34,1,109,
"Churchill/Churchill"," 611","The Pas",51,35,7,42,4,58,0,197,
"Churchill/Churchill"," 612","Grand Rapids",8,34,0,12,0,19,0,73,
"Churchill/Churchill"," 613","Norway House",11,115,1,61,2,517,4,711,
"Churchill/Churchill"," 614","Indian Lake",0,0,0,0,0,0,0,0,
"Churchill/Churchill"," 615","Bloodvein River",1,47,1,6,1,169,0,225,
"Churchill/Churchill"," 616","Fort Alexander",2,6,1,1,0,49,0,59,
"Churchill/Churchill",,Group 1/Groupe 1,13,13,2,5,5,84,6,128,185
"Churchill/Churchill",,Group 2/Groupe 2,102,104,2,130,14,155,5,512,
