Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Casson,Michael Cormican,Howard Forsyth,Andrea Sheridan,Marc Slingerland,Melanee Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lethbridge/Lethbridge"," 97","Lethbridge",134,37,4,7,1,62,0,245,376
"Lethbridge/Lethbridge"," 98","Lethbridge",138,29,1,9,7,24,0,208,351
"Lethbridge/Lethbridge"," 99","Lethbridge",111,28,3,10,2,39,0,193,300
"Lethbridge/Lethbridge"," 100","Lethbridge",116,30,4,14,4,37,1,206,370
"Lethbridge/Lethbridge"," 101","Lethbridge",127,39,2,5,4,46,0,223,421
"Lethbridge/Lethbridge"," 102","Lethbridge",115,42,2,7,1,49,0,216,390
"Lethbridge/Lethbridge"," 103","Lethbridge",66,35,5,4,0,48,8,166,265
"Lethbridge/Lethbridge"," 104","Lethbridge",86,34,3,17,4,63,1,208,362
"Lethbridge/Lethbridge"," 105","Lethbridge",72,30,11,12,1,54,1,181,361
"Lethbridge/Lethbridge"," 106","Lethbridge",90,24,3,13,4,59,0,193,371
"Lethbridge/Lethbridge"," 107","Lethbridge",100,21,3,15,2,60,0,201,418
"Lethbridge/Lethbridge"," 108","Lethbridge",156,31,2,26,1,93,0,309,649
"Lethbridge/Lethbridge"," 109","Lethbridge",84,27,3,7,1,66,0,188,360
"Lethbridge/Lethbridge"," 110","Lethbridge",92,25,5,6,3,52,1,184,314
"Lethbridge/Lethbridge"," 111A","Lethbridge",99,19,5,7,4,31,2,167,281
"Lethbridge/Lethbridge"," 111B","Mobile poll/Bureau itinérant",106,28,3,0,8,16,2,163,103
"Lethbridge/Lethbridge"," 112","Lethbridge",85,32,1,4,2,30,0,154,275
"Lethbridge/Lethbridge"," 113","Lethbridge",152,29,3,6,3,39,0,232,414
"Lethbridge/Lethbridge"," 114","Lethbridge",177,37,7,19,4,37,0,281,491
"Lethbridge/Lethbridge"," 115","Lethbridge",183,38,4,16,2,47,0,290,474
"Lethbridge/Lethbridge"," 116","Lethbridge",159,26,2,6,2,38,0,233,409
"Lethbridge/Lethbridge"," 117","Lethbridge",187,27,4,9,3,58,0,288,556
"Lethbridge/Lethbridge"," 118","Lethbridge",105,21,3,6,4,24,0,163,265
"Lethbridge/Lethbridge"," 119","Lethbridge",87,20,5,10,1,33,0,156,314
"Lethbridge/Lethbridge"," 120","Lethbridge",149,40,3,4,2,28,0,226,368
"Lethbridge/Lethbridge"," 121","Lethbridge",95,23,2,1,0,25,0,146,283
"Lethbridge/Lethbridge"," 122","Lethbridge",171,34,8,12,2,34,0,261,441
"Lethbridge/Lethbridge"," 123","Lethbridge",148,32,2,5,0,24,0,211,379
"Lethbridge/Lethbridge"," 124","Lethbridge",102,20,4,11,2,28,1,168,324
"Lethbridge/Lethbridge"," 125","Lethbridge",114,32,2,14,1,28,1,192,327
"Lethbridge/Lethbridge"," 126","Lethbridge",105,34,4,14,3,35,0,195,365
"Lethbridge/Lethbridge"," 127","Lethbridge",149,41,6,10,6,41,1,254,385
"Lethbridge/Lethbridge"," 128","Lethbridge",134,27,3,11,2,23,1,201,372
"Lethbridge/Lethbridge"," 129","Lethbridge",151,42,5,16,5,41,0,260,447
"Lethbridge/Lethbridge"," 130","Lethbridge",164,32,3,11,10,33,1,254,370
"Lethbridge/Lethbridge"," 131","Lethbridge",149,54,5,12,5,57,0,282,444
"Lethbridge/Lethbridge"," 132","Lethbridge",132,28,3,6,0,26,0,195,337
"Lethbridge/Lethbridge"," 133","Lethbridge",128,24,4,4,3,27,0,190,331
"Lethbridge/Lethbridge"," 134","Lethbridge",111,24,5,6,3,20,0,169,334
"Lethbridge/Lethbridge"," 135","Lethbridge",115,44,1,9,6,34,0,209,377
"Lethbridge/Lethbridge"," 136","Lethbridge",143,21,3,6,1,28,2,204,350
"Lethbridge/Lethbridge"," 137","Lethbridge",212,34,3,9,3,35,1,297,472
"Lethbridge/Lethbridge"," 138","Lethbridge",115,26,2,7,1,20,0,171,307
"Lethbridge/Lethbridge"," 139A","Lethbridge",209,35,4,10,2,25,0,285,493
"Lethbridge/Lethbridge"," 139B","Lethbridge",197,25,2,6,0,26,0,256,438
"Lethbridge/Lethbridge"," 140","Lethbridge",192,23,1,5,1,20,0,242,414
"Lethbridge/Lethbridge"," 141A","Lethbridge",302,43,3,6,5,34,3,396,594
"Lethbridge/Lethbridge"," 141B","Lethbridge",53,9,1,9,0,17,0,89,144
"Lethbridge/Lethbridge"," 142","Lethbridge",205,30,2,8,4,27,0,276,424
"Lethbridge/Lethbridge"," 143","Lethbridge",204,42,5,12,4,32,0,299,471
"Lethbridge/Lethbridge"," 144","Lethbridge",57,17,1,4,2,17,0,98,239
"Lethbridge/Lethbridge"," 145","Lethbridge",99,27,2,6,4,46,1,185,383
"Lethbridge/Lethbridge"," 146","Lethbridge",113,29,2,27,1,80,2,254,276
"Lethbridge/Lethbridge"," 147","Lethbridge",206,44,4,10,5,49,0,318,583
"Lethbridge/Lethbridge"," 148","Lethbridge",391,69,5,20,2,93,1,581,1011
"Lethbridge/Lethbridge"," 149","Lethbridge",94,6,5,8,4,28,1,146,292
"Lethbridge/Lethbridge"," 150","Lethbridge",129,37,2,14,7,63,0,252,409
"Lethbridge/Lethbridge"," 151","Lethbridge",81,11,0,12,1,41,0,146,254
"Lethbridge/Lethbridge"," 152","Lethbridge",126,24,5,22,1,50,0,228,417
"Lethbridge/Lethbridge"," 153","Lethbridge",116,32,4,7,1,55,0,215,379
"Lethbridge/Lethbridge"," 154","Lethbridge",56,22,1,12,0,41,1,133,229
"Lethbridge/Lethbridge"," 155","Lethbridge",75,12,2,17,1,44,1,152,255
"Lethbridge/Lethbridge"," 156","Lethbridge",114,28,7,6,3,50,0,208,296
"Lethbridge/Lethbridge"," 157","Lethbridge",159,36,2,11,4,54,0,266,436
"Lethbridge/Lethbridge"," 158","Lethbridge",134,38,3,12,4,31,1,223,336
"Lethbridge/Lethbridge"," 159","Lethbridge",80,27,2,9,3,42,1,164,291
"Lethbridge/Lethbridge"," 160","Lethbridge",105,37,4,13,0,36,1,196,366
"Lethbridge/Lethbridge"," 161","Lethbridge",121,39,1,14,4,45,0,224,380
"Lethbridge/Lethbridge"," 162","Lethbridge",140,24,2,11,2,46,1,226,430
"Lethbridge/Lethbridge"," 163","Lethbridge",119,24,4,13,3,52,0,215,376
"Lethbridge/Lethbridge"," 164","Lethbridge",132,28,4,10,0,38,0,212,367
"Lethbridge/Lethbridge"," 165A","Lethbridge",177,32,8,9,5,55,0,286,464
"Lethbridge/Lethbridge"," 165B","Lethbridge",157,26,1,8,2,31,2,227,419
"Lethbridge/Lethbridge"," 166","Lethbridge",184,31,4,15,2,64,2,302,563
"Lethbridge/Lethbridge"," 167","Lethbridge",254,37,3,15,5,86,0,400,673
"Lethbridge/Lethbridge"," 168","Waterton Park",33,7,0,4,0,8,0,52,87
"Lethbridge/Lethbridge"," 169","Mountain View",199,3,1,3,1,6,0,213,294
"Lethbridge/Lethbridge"," 170","Leavitt",165,1,1,0,0,4,0,171,239
"Lethbridge/Lethbridge"," 171","Aetna",163,4,3,7,0,6,0,183,315
"Lethbridge/Lethbridge"," 172A","Cardston",267,16,2,4,2,2,1,294,473
"Lethbridge/Lethbridge"," 172B","Mobile poll/Bureau itinérant",27,6,6,0,0,2,1,42,42
"Lethbridge/Lethbridge"," 173","Cardston",219,15,2,3,2,2,0,243,435
"Lethbridge/Lethbridge"," 174","Cardston",162,6,1,2,1,10,0,182,313
"Lethbridge/Lethbridge"," 175","Cardston",143,35,2,5,2,12,1,200,602
"Lethbridge/Lethbridge"," 176","Cardston",59,11,0,0,1,2,0,73,199
"Lethbridge/Lethbridge"," 177","Cardston",160,9,3,1,0,8,0,181,335
"Lethbridge/Lethbridge"," 178","Cardston",195,14,2,6,1,2,0,220,389
"Lethbridge/Lethbridge"," 179","Jefferson",77,3,0,1,1,1,0,83,180
"Lethbridge/Lethbridge"," 180","Spring Coulee",86,2,1,0,0,6,0,95,407
"Lethbridge/Lethbridge"," 181","Magrath",107,5,3,3,1,5,0,124,204
"Lethbridge/Lethbridge"," 182","Magrath",177,11,7,10,3,16,1,225,343
"Lethbridge/Lethbridge"," 183","Magrath",247,13,3,7,1,17,0,288,504
"Lethbridge/Lethbridge"," 184","Magrath",237,8,5,4,1,23,0,278,410
"Lethbridge/Lethbridge"," 185","Magrath",50,3,3,0,0,3,0,59,92
"Lethbridge/Lethbridge"," 186","Welling",151,4,2,3,1,5,0,166,298
"Lethbridge/Lethbridge"," 187","Raymond",198,10,4,2,5,6,0,225,565
"Lethbridge/Lethbridge"," 188","Raymond",154,11,10,7,6,23,0,211,358
"Lethbridge/Lethbridge"," 189","Raymond",114,15,1,5,2,22,0,159,304
"Lethbridge/Lethbridge"," 190","Raymond",275,26,7,9,5,19,0,341,784
"Lethbridge/Lethbridge"," 191","Raymond",97,3,1,3,5,10,0,119,227
"Lethbridge/Lethbridge"," 192","Raymond",108,3,2,2,1,3,0,119,267
"Lethbridge/Lethbridge"," 193","Raymond",176,12,5,4,0,12,0,209,285
"Lethbridge/Lethbridge"," 194","Stirling",316,15,10,8,5,24,0,378,608
"Lethbridge/Lethbridge"," 195","Stirling",148,9,4,4,3,20,0,188,549
"Lethbridge/Lethbridge"," 196","Warner",80,1,0,3,1,6,0,91,250
"Lethbridge/Lethbridge"," 197","Warner",140,9,2,0,0,15,0,166,277
"Lethbridge/Lethbridge"," 198","Warner",73,0,0,0,2,2,0,77,224
"Lethbridge/Lethbridge"," 199","Del Bonita",71,0,1,0,0,3,0,75,154
"Lethbridge/Lethbridge"," 200","Warner",102,4,1,7,6,5,0,125,205
"Lethbridge/Lethbridge"," 201A","Milk River",148,21,0,8,0,12,0,189,374
"Lethbridge/Lethbridge"," 201B","Mobile poll/Bureau itinérant",Merged with No. 172B/Fusionné avec le nº 172B,,,,,,,,7
"Lethbridge/Lethbridge"," 202","Milk River",119,5,3,9,0,9,1,146,274
"Lethbridge/Lethbridge"," 203","Coutts",139,4,3,4,0,13,0,163,261
"Lethbridge/Lethbridge"," 204","Allerston",108,3,2,2,3,1,0,119,244
"Lethbridge/Lethbridge"," 500","Mobile poll/Bureau itinérant",55,17,3,2,0,8,1,86,201
"Lethbridge/Lethbridge"," 501","Mobile poll/Bureau itinérant",61,11,3,1,1,5,2,84,173
"Lethbridge/Lethbridge"," 502","Mobile poll/Bureau itinérant",139,34,4,6,2,14,2,201,279
"Lethbridge/Lethbridge"," 503","Mobile poll/Bureau itinérant",64,13,6,1,4,4,4,96,134
"Lethbridge/Lethbridge"," 504","Mobile poll/Bureau itinérant",30,17,0,0,0,3,0,50,186
"Lethbridge/Lethbridge"," 505","Mobile poll/Bureau itinérant",28,9,2,0,2,3,1,45,155
"Lethbridge/Lethbridge"," 506","Mobile poll/Bureau itinérant",59,3,7,1,1,1,0,72,101
"Lethbridge/Lethbridge"," 600","Lethbridge County",201,15,5,7,27,25,0,280,
"Lethbridge/Lethbridge"," 601","Lethbridge",385,78,5,16,12,73,0,569,
"Lethbridge/Lethbridge"," 602","Lethbridge",343,53,2,16,5,53,2,474,
"Lethbridge/Lethbridge"," 603","Lethbridge",209,46,4,13,9,33,0,314,
"Lethbridge/Lethbridge"," 604","Lethbridge",379,72,2,26,5,73,1,558,
"Lethbridge/Lethbridge"," 605","Lethbridge",442,112,3,12,4,76,0,649,
"Lethbridge/Lethbridge"," 606","Lethbridge",188,34,0,9,2,41,0,274,
"Lethbridge/Lethbridge"," 607","Lethbridge",355,66,7,12,3,40,0,483,
"Lethbridge/Lethbridge"," 608","Lethbridge County",426,22,7,6,19,38,0,518,
"Lethbridge/Lethbridge"," 609","Cardston County--Warner County No. 5",313,16,2,5,2,14,0,352,
"Lethbridge/Lethbridge"," 610","Blood 148A--Cardston County",202,3,2,2,1,3,1,214,
"Lethbridge/Lethbridge"," 611","Warner County No. 5",147,2,1,2,0,11,0,163,
"Lethbridge/Lethbridge",,Group 1/Groupe 1,45,16,1,3,2,4,2,73,153
"Lethbridge/Lethbridge",,Group 2/Groupe 2,863,160,4,39,16,133,12,1227,
