Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam Campbell,Ellen Parker,Kevin A. Sorenson,Cameron Wigmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Crowfoot/Crowfoot"," 38","Camrose",12,26,112,12,0,162,320
"Crowfoot/Crowfoot"," 39","Camrose",23,46,192,9,0,270,442
"Crowfoot/Crowfoot"," 40","Camrose",22,51,169,12,0,254,407
"Crowfoot/Crowfoot"," 41","Camrose",20,57,181,10,0,268,459
"Crowfoot/Crowfoot"," 42","Camrose",18,12,144,9,0,183,351
"Crowfoot/Crowfoot"," 43","Camrose",11,22,87,7,0,127,273
"Crowfoot/Crowfoot"," 44","Camrose",19,15,105,8,1,148,248
"Crowfoot/Crowfoot"," 45","Camrose",35,39,243,5,0,322,527
"Crowfoot/Crowfoot"," 46","Camrose",16,32,169,7,0,224,379
"Crowfoot/Crowfoot"," 47","Camrose",7,29,247,10,1,294,491
"Crowfoot/Crowfoot"," 48","Camrose",40,79,256,42,0,417,619
"Crowfoot/Crowfoot"," 49","Donalda",7,7,134,2,1,151,200
"Crowfoot/Crowfoot"," 50","Donalda Rural",4,6,124,5,0,139,265
"Crowfoot/Crowfoot"," 51","Rochon Sands",7,6,69,6,0,88,156
"Crowfoot/Crowfoot"," 52","Red Willow",2,4,113,4,0,123,218
"Crowfoot/Crowfoot"," 53A","Erskine",1,7,146,3,0,157,340
"Crowfoot/Crowfoot"," 53B","Erskine",5,8,141,5,0,159,332
"Crowfoot/Crowfoot"," 54","Erskine",21,3,144,3,0,171,284
"Crowfoot/Crowfoot"," 55","Stettler--Warden",6,17,186,11,0,220,344
"Crowfoot/Crowfoot"," 56","Stettler--Sabine",5,6,236,14,0,261,401
"Crowfoot/Crowfoot"," 57","Botha",5,18,182,10,0,215,350
"Crowfoot/Crowfoot"," 58","Gadsby",3,7,185,8,0,203,527
"Crowfoot/Crowfoot"," 59","Stettler",13,21,185,7,1,227,409
"Crowfoot/Crowfoot"," 60","Stettler",18,20,127,11,0,176,364
"Crowfoot/Crowfoot"," 61","Stettler",20,17,146,10,1,194,367
"Crowfoot/Crowfoot"," 62","Stettler",14,10,132,9,1,166,301
"Crowfoot/Crowfoot"," 63","Stettler",10,25,178,10,0,223,387
"Crowfoot/Crowfoot"," 64","Stettler",18,22,169,7,1,217,337
"Crowfoot/Crowfoot"," 65","Stettler",11,13,134,8,0,166,259
"Crowfoot/Crowfoot"," 66","Stettler",12,20,160,4,0,196,352
"Crowfoot/Crowfoot"," 67","Stettler",9,19,160,6,0,194,359
"Crowfoot/Crowfoot"," 68","Stettler",11,11,177,8,2,209,350
"Crowfoot/Crowfoot"," 69","Stettler",4,18,126,7,1,156,268
"Crowfoot/Crowfoot"," 70","Big Valley",11,11,198,12,0,232,382
"Crowfoot/Crowfoot"," 71","Big Valley Rural",7,8,132,4,0,151,234
"Crowfoot/Crowfoot"," 72","Endiang",7,5,179,1,0,192,292
"Crowfoot/Crowfoot"," 73","Halkirk",11,9,171,6,0,197,309
"Crowfoot/Crowfoot"," 74","Castor Rural",8,12,228,14,0,262,338
"Crowfoot/Crowfoot"," 75A","Castor",12,8,193,6,0,219,295
"Crowfoot/Crowfoot"," 75B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,6
"Crowfoot/Crowfoot"," 76","Castor",21,22,255,22,1,321,540
"Crowfoot/Crowfoot"," 77","Brownfield",5,12,199,7,0,223,360
"Crowfoot/Crowfoot"," 78A","Coronation",1,13,96,1,0,111,218
"Crowfoot/Crowfoot"," 78B","Coronation",4,8,93,6,0,111,219
"Crowfoot/Crowfoot"," 79","Coronation",9,10,166,6,1,192,341
"Crowfoot/Crowfoot"," 80","Coronation Rural",5,12,184,1,0,202,311
"Crowfoot/Crowfoot"," 81","Veteran",5,12,209,9,0,235,401
"Crowfoot/Crowfoot"," 82","Consort Rural",1,6,162,5,1,175,231
"Crowfoot/Crowfoot"," 83","Consort",5,4,120,5,0,134,202
"Crowfoot/Crowfoot"," 84","Consort",8,5,153,3,0,169,300
"Crowfoot/Crowfoot"," 85","Monitor",1,2,138,3,0,144,209
"Crowfoot/Crowfoot"," 86","Altario",5,4,125,0,0,134,192
"Crowfoot/Crowfoot"," 87","Wimborne",6,12,247,17,0,282,451
"Crowfoot/Crowfoot"," 88","Huxley",7,7,165,8,0,187,316
"Crowfoot/Crowfoot"," 89","Torrington",9,10,219,11,0,249,402
"Crowfoot/Crowfoot"," 90","Trochu",13,15,218,15,1,262,389
"Crowfoot/Crowfoot"," 91","Trochu",9,12,153,11,1,186,263
"Crowfoot/Crowfoot"," 92","Trochu Rural",5,5,191,12,0,213,341
"Crowfoot/Crowfoot"," 93","Linden--Sunnyslope",5,5,146,6,0,162,298
"Crowfoot/Crowfoot"," 94","Three Hills",0,3,109,2,0,114,182
"Crowfoot/Crowfoot"," 95A","Three Hills",2,3,182,3,0,190,295
"Crowfoot/Crowfoot"," 95B","Three Hills",1,1,165,2,0,169,262
"Crowfoot/Crowfoot"," 96","Three Hills",1,2,213,6,0,222,323
"Crowfoot/Crowfoot"," 97","Three Hills",2,11,247,12,1,273,459
"Crowfoot/Crowfoot"," 98","Three Hills",10,5,280,8,0,303,470
"Crowfoot/Crowfoot"," 99A","Three Hills--Ghost Pine Creek",5,2,156,9,3,175,310
"Crowfoot/Crowfoot"," 99B","Three Hills--Ghost Pine Creek",12,11,170,3,1,197,329
"Crowfoot/Crowfoot"," 100","Neapolis",0,2,72,9,0,83,110
"Crowfoot/Crowfoot"," 101","Linden Rural",4,7,138,4,0,153,400
"Crowfoot/Crowfoot"," 102A","Linden",4,8,119,1,0,132,304
"Crowfoot/Crowfoot"," 102B","Linden",4,4,106,4,0,118,251
"Crowfoot/Crowfoot"," 102C","Mobile poll/Bureau itinérant",6,4,29,1,4,44,63
"Crowfoot/Crowfoot"," 102D","Mobile poll/Bureau itinérant",Merged with No. 102C/Fusionné avec le nº 102C,,,,,,10
"Crowfoot/Crowfoot"," 103","Wessex",0,1,55,2,0,58,287
"Crowfoot/Crowfoot"," 104A","Acme",5,9,124,7,1,146,260
"Crowfoot/Crowfoot"," 104B","Acme",4,9,100,11,0,124,220
"Crowfoot/Crowfoot"," 105","Acme",5,10,138,11,0,164,253
"Crowfoot/Crowfoot"," 106","Carbon--Swalwell",0,6,165,8,0,179,374
"Crowfoot/Crowfoot"," 107","Carbon",7,7,176,8,1,199,267
"Crowfoot/Crowfoot"," 108","Carbon Rural",6,11,226,8,0,251,405
"Crowfoot/Crowfoot"," 109","Rumsey",10,8,196,5,1,220,296
"Crowfoot/Crowfoot"," 110A","Delia",9,14,121,3,0,147,354
"Crowfoot/Crowfoot"," 110B","Delia",4,7,93,13,0,117,420
"Crowfoot/Crowfoot"," 111","Morrin",7,19,193,16,0,235,333
"Crowfoot/Crowfoot"," 112","Munson",6,13,173,10,0,202,327
"Crowfoot/Crowfoot"," 113","Drumheller--Nacmine",11,15,228,15,1,270,414
"Crowfoot/Crowfoot"," 114","Rosedale",16,21,199,18,0,254,443
"Crowfoot/Crowfoot"," 115","Drumheller Rural",12,19,118,27,2,178,321
"Crowfoot/Crowfoot"," 116","Craigmyle",8,16,167,8,0,199,406
"Crowfoot/Crowfoot"," 117","Drumheller",17,17,209,21,1,265,486
"Crowfoot/Crowfoot"," 118","Drumheller",13,17,175,11,0,216,377
"Crowfoot/Crowfoot"," 119","Drumheller",7,29,204,24,0,264,537
"Crowfoot/Crowfoot"," 120","Drumheller",15,22,153,14,0,204,477
"Crowfoot/Crowfoot"," 121","Drumheller",12,30,137,16,0,195,470
"Crowfoot/Crowfoot"," 122","Drumheller",7,16,148,6,0,177,305
"Crowfoot/Crowfoot"," 123","Drumheller",7,21,106,9,1,144,307
"Crowfoot/Crowfoot"," 124","Drumheller",14,12,157,22,0,205,355
"Crowfoot/Crowfoot"," 125","Drumheller",15,16,143,18,1,193,296
"Crowfoot/Crowfoot"," 126","Drumheller",9,22,182,15,0,228,430
"Crowfoot/Crowfoot"," 127","Drumheller",9,15,138,12,0,174,356
"Crowfoot/Crowfoot"," 128A","Hanna Rural",3,6,89,4,0,102,244
"Crowfoot/Crowfoot"," 128B","Hanna Rural",4,4,107,4,0,119,286
"Crowfoot/Crowfoot"," 128C","Hanna Rural",3,11,83,6,1,104,256
"Crowfoot/Crowfoot"," 129","Hanna",12,12,209,8,0,241,367
"Crowfoot/Crowfoot"," 130","Hanna",12,9,158,4,1,184,331
"Crowfoot/Crowfoot"," 131","Hanna",9,12,190,14,0,225,318
"Crowfoot/Crowfoot"," 132","Hanna",9,16,184,7,1,217,337
"Crowfoot/Crowfoot"," 133","Hanna",13,9,144,8,1,175,266
"Crowfoot/Crowfoot"," 134","Hanna",9,10,114,6,0,139,227
"Crowfoot/Crowfoot"," 135","Spondin",0,1,79,8,0,88,159
"Crowfoot/Crowfoot"," 136","Scotfield",Merged with No. 193/Fusionné avec le nº 193,,,,,,71
"Crowfoot/Crowfoot"," 137","Beiseker Rural",0,3,98,3,0,104,150
"Crowfoot/Crowfoot"," 138","Beiseker",21,27,243,13,1,305,469
"Crowfoot/Crowfoot"," 139","Irricana",20,27,235,23,0,305,503
"Crowfoot/Crowfoot"," 140","Irricana",8,25,208,15,1,257,379
"Crowfoot/Crowfoot"," 141A","Irricana Rural",5,5,125,6,0,141,292
"Crowfoot/Crowfoot"," 141B","Irricana Rural",1,5,82,3,0,91,246
"Crowfoot/Crowfoot"," 142","Keoma",8,14,228,24,1,275,373
"Crowfoot/Crowfoot"," 143","Conrich",13,13,184,11,0,221,359
"Crowfoot/Crowfoot"," 144","Dalroy",6,6,185,9,0,206,288
"Crowfoot/Crowfoot"," 145A","Chestermere Lake",20,20,170,6,0,216,419
"Crowfoot/Crowfoot"," 145B","Chestermere Lake",21,13,192,9,0,235,427
"Crowfoot/Crowfoot"," 145C","Chestermere Lake",12,19,190,9,0,230,406
"Crowfoot/Crowfoot"," 145D","Chestermere Lake",31,15,174,9,1,230,408
"Crowfoot/Crowfoot"," 145E","Chestermere Lake",22,20,141,10,0,193,386
"Crowfoot/Crowfoot"," 145F","Chestermere Lake",13,17,154,10,1,195,369
"Crowfoot/Crowfoot"," 145G","Chestermere Lake",14,13,136,8,0,171,327
"Crowfoot/Crowfoot"," 146A","Chestermere Lake",15,8,176,9,0,208,409
"Crowfoot/Crowfoot"," 146B","Chestermere Lake",18,8,164,6,0,196,426
"Crowfoot/Crowfoot"," 147A","Chestermere Lake",11,7,151,2,0,171,299
"Crowfoot/Crowfoot"," 147B","Chestermere Lake",5,7,137,4,0,153,273
"Crowfoot/Crowfoot"," 148A","Chestermere Lake",23,18,170,15,0,226,402
"Crowfoot/Crowfoot"," 148B","Chestermere Lake",13,10,174,10,0,207,397
"Crowfoot/Crowfoot"," 149A","Chestermere Lake",15,19,136,3,0,173,355
"Crowfoot/Crowfoot"," 149B","Chestermere Lake",13,8,125,6,0,152,310
"Crowfoot/Crowfoot"," 150","Chestermere Lake",11,6,209,3,1,230,325
"Crowfoot/Crowfoot"," 151","Chestermere Lake",20,12,219,12,0,263,452
"Crowfoot/Crowfoot"," 152A","Chestermere Rural",14,16,191,5,0,226,453
"Crowfoot/Crowfoot"," 152B","Chestermere Rural",10,11,213,15,1,250,450
"Crowfoot/Crowfoot"," 153","Chestermere Rural",Merged with No. 150/Fusionné avec le nº 150,,,,,,111
"Crowfoot/Crowfoot"," 154","Indus Rural",19,20,272,15,1,327,581
"Crowfoot/Crowfoot"," 155A","Langdon",28,15,226,12,1,282,347
"Crowfoot/Crowfoot"," 155B","Langdon",13,22,199,11,1,246,327
"Crowfoot/Crowfoot"," 156A","Langdon",11,22,235,8,0,276,483
"Crowfoot/Crowfoot"," 156B","Langdon",16,21,219,16,0,272,447
"Crowfoot/Crowfoot"," 156C","Langdon",16,19,243,10,0,288,427
"Crowfoot/Crowfoot"," 157","Indus Rural",2,6,66,3,1,78,127
"Crowfoot/Crowfoot"," 158","Indus",6,10,228,17,0,261,403
"Crowfoot/Crowfoot"," 159","Rockyford Rural",3,2,67,5,0,77,218
"Crowfoot/Crowfoot"," 160","Rockyford",11,22,201,10,0,244,328
"Crowfoot/Crowfoot"," 161A","Strathmore Rural",5,8,154,4,0,171,311
"Crowfoot/Crowfoot"," 161B","Strathmore Rural",7,8,134,10,1,160,278
"Crowfoot/Crowfoot"," 162","Strathmore Rural",20,12,300,7,1,340,521
"Crowfoot/Crowfoot"," 163A","Strathmore",13,14,192,6,0,225,419
"Crowfoot/Crowfoot"," 163B","Strathmore",20,18,173,7,2,220,439
"Crowfoot/Crowfoot"," 164","Strathmore",18,19,272,7,0,316,545
"Crowfoot/Crowfoot"," 165A","Strathmore",7,10,129,6,0,152,311
"Crowfoot/Crowfoot"," 165B","Strathmore",10,11,124,5,0,150,287
"Crowfoot/Crowfoot"," 166","Strathmore",25,27,162,17,0,231,464
"Crowfoot/Crowfoot"," 167A","Strathmore",5,9,140,5,0,159,301
"Crowfoot/Crowfoot"," 167B","Strathmore",9,20,138,8,1,176,308
"Crowfoot/Crowfoot"," 168","Strathmore",15,25,197,13,1,251,488
"Crowfoot/Crowfoot"," 169","Strathmore",10,11,187,10,0,218,390
"Crowfoot/Crowfoot"," 170","Strathmore",16,24,229,15,0,284,500
"Crowfoot/Crowfoot"," 171","Strathmore",6,21,176,17,1,221,429
"Crowfoot/Crowfoot"," 172","Strathmore",13,21,210,15,1,260,456
"Crowfoot/Crowfoot"," 173","Strathmore",16,15,170,10,0,211,427
"Crowfoot/Crowfoot"," 174","Strathmore",25,28,223,14,1,291,488
"Crowfoot/Crowfoot"," 175","Strathmore",18,14,113,6,2,153,328
"Crowfoot/Crowfoot"," 176","Strathmore",12,30,182,5,1,230,407
"Crowfoot/Crowfoot"," 177A","Strathmore Rural",6,6,161,13,0,186,357
"Crowfoot/Crowfoot"," 177B","Strathmore Rural",4,13,125,8,0,150,348
"Crowfoot/Crowfoot"," 178","Standard Rural",14,9,213,9,0,245,343
"Crowfoot/Crowfoot"," 179","Langdon",3,3,84,5,1,96,168
"Crowfoot/Crowfoot"," 180","Namaka",11,11,231,12,0,265,372
"Crowfoot/Crowfoot"," 181","Carseland",3,8,80,7,0,98,176
"Crowfoot/Crowfoot"," 182A","Carseland",16,10,144,11,0,181,260
"Crowfoot/Crowfoot"," 182B","Carseland",18,12,153,8,0,191,295
"Crowfoot/Crowfoot"," 183","Gleichen",27,22,184,11,0,244,489
"Crowfoot/Crowfoot"," 184","Dalum",2,5,123,7,0,137,140
"Crowfoot/Crowfoot"," 185","Dalum",Merged with No. 184/Fusionné avec le nº 184,,,,,,108
"Crowfoot/Crowfoot"," 186","Chancellor",2,5,80,3,0,90,111
"Crowfoot/Crowfoot"," 187","Hussar",0,5,148,8,0,161,340
"Crowfoot/Crowfoot"," 188","Hussar",2,4,121,1,0,128,240
"Crowfoot/Crowfoot"," 189","Gleichen Rural",7,5,90,3,1,106,235
"Crowfoot/Crowfoot"," 190","Makepeace",Merged with No. 188/Fusionné avec le nº 188,,,,,,63
"Crowfoot/Crowfoot"," 191","Sunnynook",6,1,80,8,0,95,199
"Crowfoot/Crowfoot"," 192","Patricia",3,5,132,2,7,149,226
"Crowfoot/Crowfoot"," 193","Youngstown",8,9,216,8,1,242,311
"Crowfoot/Crowfoot"," 194","New Brigden",6,7,133,4,1,151,238
"Crowfoot/Crowfoot"," 195","Cereal",1,10,131,0,1,143,253
"Crowfoot/Crowfoot"," 196","Oyen",8,5,170,9,0,192,301
"Crowfoot/Crowfoot"," 197","Oyen",13,5,141,7,0,166,278
"Crowfoot/Crowfoot"," 198","Oyen Rural",3,6,106,7,0,122,226
"Crowfoot/Crowfoot"," 199","Cappon",1,2,62,2,0,67,102
"Crowfoot/Crowfoot"," 200","Acadia",6,2,179,4,0,191,451
"Crowfoot/Crowfoot"," 500","Mobile poll/Bureau itinérant",6,6,16,2,4,34,146
"Crowfoot/Crowfoot"," 501","Mobile poll/Bureau itinérant",10,13,94,5,0,122,185
"Crowfoot/Crowfoot"," 502","Mobile poll/Bureau itinérant",10,11,93,0,4,118,198
"Crowfoot/Crowfoot"," 503","Mobile poll/Bureau itinérant",2,2,34,0,0,38,66
"Crowfoot/Crowfoot"," 504","Mobile poll/Bureau itinérant",10,4,68,0,2,84,166
"Crowfoot/Crowfoot"," 505","Mobile poll/Bureau itinérant",9,5,99,1,0,114,151
"Crowfoot/Crowfoot"," 506","Mobile poll/Bureau itinérant",10,3,51,3,0,67,95
"Crowfoot/Crowfoot"," 507","Mobile poll/Bureau itinérant",13,3,91,2,3,112,161
"Crowfoot/Crowfoot"," 508A","Mobile poll/Bureau itinérant",4,1,25,1,1,32,39
"Crowfoot/Crowfoot"," 508B","Mobile poll/Bureau itinérant",7,4,41,1,1,54,67
"Crowfoot/Crowfoot"," 509","Mobile poll/Bureau itinérant",8,5,58,1,0,72,117
"Crowfoot/Crowfoot"," 510","Mobile poll/Bureau itinérant",11,10,83,1,1,106,202
"Crowfoot/Crowfoot"," 511","Mobile poll/Bureau itinérant",13,8,69,2,2,94,133
"Crowfoot/Crowfoot"," 600","Camrose County No. 22",20,25,344,19,0,408,
"Crowfoot/Crowfoot"," 601","Camrose",25,29,350,13,2,419,
"Crowfoot/Crowfoot"," 602","Camrose",24,59,356,14,1,454,
"Crowfoot/Crowfoot"," 603","Settler County No. 6",27,28,425,15,0,495,
"Crowfoot/Crowfoot"," 604","Paintearth County No. 18",7,4,95,4,0,110,
"Crowfoot/Crowfoot"," 605","Consort--Veteran",Combined with No. 604/Jumelé avec le nº 604,,,,,,
"Crowfoot/Crowfoot"," 606","Kneehill County",10,9,527,16,0,562,
"Crowfoot/Crowfoot"," 607","Drumheller--Starland County",8,10,178,12,1,209,
"Crowfoot/Crowfoot"," 608","Drumheller",24,28,354,33,1,440,
"Crowfoot/Crowfoot"," 609","Hanna",23,10,243,12,0,288,
"Crowfoot/Crowfoot"," 610","Rocky View No. 44",60,37,671,22,3,793,
"Crowfoot/Crowfoot"," 611","Starthmore--Wheatland County",45,38,681,34,0,798,
"Crowfoot/Crowfoot"," 612","Hussar--Wheatland County",2,0,35,1,0,38,
"Crowfoot/Crowfoot"," 613","Special Area No. 2",Combined with No. 609/Jumelé avec le nº 609,,,,,,
"Crowfoot/Crowfoot"," 614","MD of Acadia--Oyen",6,7,202,8,0,223,
"Crowfoot/Crowfoot",,Group 1/Groupe 1,22,7,36,8,2,75,139
"Crowfoot/Crowfoot",,Group 2/Groupe 2,77,48,906,46,28,1105,
