Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Easter,Sharon Labchuk,George Marshall,George Noble,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Malpeque/Malpeque"," 41A","Brackley Point",71,10,20,52,3,156,238
"Malpeque/Malpeque"," 41B","Brackley Point",134,6,17,56,0,213,317
"Malpeque/Malpeque"," 42","Stanhope by the Sea",198,5,38,106,0,347,503
"Malpeque/Malpeque"," 43","Covehead Road",120,5,22,57,1,205,287
"Malpeque/Malpeque"," 44","York East",104,11,18,73,0,206,319
"Malpeque/Malpeque"," 45","Suffolk",105,11,31,57,0,204,331
"Malpeque/Malpeque"," 46","Springvale",111,9,26,64,2,212,358
"Malpeque/Malpeque"," 47A","Milton",100,4,16,65,5,190,337
"Malpeque/Malpeque"," 47B","Milton",109,8,19,83,3,222,378
"Malpeque/Malpeque"," 48","Harrington",166,11,50,141,4,372,516
"Malpeque/Malpeque"," 49","Royalty Junction--York West",144,8,20,91,2,265,427
"Malpeque/Malpeque"," 50","York West",Void/Supprimé,,,,,,
"Malpeque/Malpeque"," 51","Marshfield South",104,16,18,52,0,190,247
"Malpeque/Malpeque"," 52","Warren Grove",128,9,20,54,3,214,310
"Malpeque/Malpeque"," 53","Chateau Estates",113,6,34,52,0,205,384
"Malpeque/Malpeque"," 54","East Wiltshire North",64,3,20,48,1,136,247
"Malpeque/Malpeque"," 55","York Point",154,13,41,82,0,290,507
"Malpeque/Malpeque"," 56","Cornwall North",90,4,43,84,0,221,444
"Malpeque/Malpeque"," 57A","East Wiltshire South",71,5,19,62,1,158,312
"Malpeque/Malpeque"," 57B","East Wiltshire South",86,0,21,58,0,165,307
"Malpeque/Malpeque"," 58","Cornwall East",124,19,32,77,0,252,460
"Malpeque/Malpeque"," 59A","Ferry Road",87,9,18,47,0,161,301
"Malpeque/Malpeque"," 59B","Ferry Road",72,11,14,39,0,136,238
"Malpeque/Malpeque"," 60","Clyde River",122,7,19,76,2,226,414
"Malpeque/Malpeque"," 61","Churchill",136,17,28,103,1,285,422
"Malpeque/Malpeque"," 62","Meadowbank West",48,7,5,30,0,90,167
"Malpeque/Malpeque"," 63","Cornwall South",119,7,27,62,0,215,436
"Malpeque/Malpeque"," 64","Meadowbank East",57,10,15,45,1,128,208
"Malpeque/Malpeque"," 65","Rocky Point",125,23,21,100,0,269,439
"Malpeque/Malpeque"," 66","Long Creek",123,23,41,108,1,296,413
"Malpeque/Malpeque"," 67","Nine Mile Creek",134,14,34,100,1,283,405
"Malpeque/Malpeque"," 500","Mobile poll/Bureau itinérant",23,2,3,13,1,42,62
"Malpeque/Malpeque"," 600","Kensington",508,24,46,360,3,941,
"Malpeque/Malpeque"," 601","North Rustico",316,28,30,242,2,618,
"Malpeque/Malpeque"," 602","Cornwall",669,52,108,429,12,1270,
"Malpeque/Malpeque",,Group 1/Groupe 1,20,4,3,23,1,51,116
"Malpeque/Malpeque",,Group 2/Groupe 2,372,25,47,198,7,649,
