Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Raymond Chiocchio,Ruby Dhalla,Sam Hundal,Anna Mather,Upali Jinadasa Wannaku Rallage,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brampton--Springdale/Brampton--Springdale"," 14","Brampton",7,98,53,22,0,0,180,361
"Brampton--Springdale/Brampton--Springdale"," 15","Brampton",8,109,57,24,1,1,200,369
"Brampton--Springdale/Brampton--Springdale"," 16A","Brampton",3,56,30,9,0,2,100,238
"Brampton--Springdale/Brampton--Springdale"," 16B","Brampton",5,69,33,19,1,0,127,276
"Brampton--Springdale/Brampton--Springdale"," 17","Brampton",3,146,67,33,0,4,253,471
"Brampton--Springdale/Brampton--Springdale"," 18","Brampton",5,120,52,29,1,2,209,402
"Brampton--Springdale/Brampton--Springdale"," 19","Brampton",4,125,66,28,0,2,225,408
"Brampton--Springdale/Brampton--Springdale"," 20","Brampton",8,120,72,28,0,3,231,478
"Brampton--Springdale/Brampton--Springdale"," 21A","Brampton",2,79,50,15,0,0,146,284
"Brampton--Springdale/Brampton--Springdale"," 21B","Brampton",7,101,49,18,0,0,175,316
"Brampton--Springdale/Brampton--Springdale"," 22A","Brampton",1,68,34,18,0,1,122,238
"Brampton--Springdale/Brampton--Springdale"," 22B","Brampton",5,73,48,8,1,0,135,234
"Brampton--Springdale/Brampton--Springdale"," 23","Brampton",4,104,73,33,0,1,215,389
"Brampton--Springdale/Brampton--Springdale"," 24","Brampton",5,81,60,24,1,0,171,323
"Brampton--Springdale/Brampton--Springdale"," 25","Brampton",9,111,43,33,0,0,196,385
"Brampton--Springdale/Brampton--Springdale"," 26A","Brampton",1,123,66,32,0,2,224,402
"Brampton--Springdale/Brampton--Springdale"," 26B","Brampton",4,145,79,20,0,3,251,430
"Brampton--Springdale/Brampton--Springdale"," 27","Brampton",3,127,67,7,0,0,204,460
"Brampton--Springdale/Brampton--Springdale"," 28","Brampton",2,115,40,24,0,1,182,353
"Brampton--Springdale/Brampton--Springdale"," 29A","Brampton",2,59,41,22,1,0,125,267
"Brampton--Springdale/Brampton--Springdale"," 29B","Brampton",2,80,34,18,0,1,135,254
"Brampton--Springdale/Brampton--Springdale"," 30","Brampton",0,98,57,16,2,2,175,386
"Brampton--Springdale/Brampton--Springdale"," 31A","Brampton",3,72,40,22,0,1,138,272
"Brampton--Springdale/Brampton--Springdale"," 31B","Brampton",7,97,46,23,1,2,176,291
"Brampton--Springdale/Brampton--Springdale"," 32","Brampton",3,128,68,43,3,0,245,419
"Brampton--Springdale/Brampton--Springdale"," 33","Brampton",4,134,77,41,1,0,257,473
"Brampton--Springdale/Brampton--Springdale"," 34","Brampton",7,92,42,33,0,0,174,366
"Brampton--Springdale/Brampton--Springdale"," 35A","Brampton",1,84,35,20,0,0,140,268
"Brampton--Springdale/Brampton--Springdale"," 35B","Brampton",7,69,35,19,0,0,130,234
"Brampton--Springdale/Brampton--Springdale"," 36","Brampton",5,92,58,41,1,0,197,443
"Brampton--Springdale/Brampton--Springdale"," 37","Brampton",6,86,97,29,1,1,220,424
"Brampton--Springdale/Brampton--Springdale"," 38A","Brampton",2,55,44,11,0,1,113,244
"Brampton--Springdale/Brampton--Springdale"," 38B","Brampton",1,70,43,19,0,0,133,241
"Brampton--Springdale/Brampton--Springdale"," 39","Brampton",2,57,40,33,0,0,132,218
"Brampton--Springdale/Brampton--Springdale"," 40","Brampton",2,86,29,22,0,1,140,320
"Brampton--Springdale/Brampton--Springdale"," 41","Brampton",4,79,34,23,0,0,140,285
"Brampton--Springdale/Brampton--Springdale"," 42","Brampton",3,73,45,31,1,1,154,309
"Brampton--Springdale/Brampton--Springdale"," 43A","Brampton",3,78,46,40,1,2,170,329
"Brampton--Springdale/Brampton--Springdale"," 43B","Brampton",5,96,32,24,0,2,159,339
"Brampton--Springdale/Brampton--Springdale"," 44","Brampton",11,101,64,27,1,0,204,414
"Brampton--Springdale/Brampton--Springdale"," 45","Brampton",2,119,54,24,0,3,202,429
"Brampton--Springdale/Brampton--Springdale"," 46","Brampton",Void/Supprimé,,,,,,,
"Brampton--Springdale/Brampton--Springdale"," 47","Brampton",11,125,102,29,0,0,267,445
"Brampton--Springdale/Brampton--Springdale"," 48A","Brampton",7,75,49,15,0,0,146,250
"Brampton--Springdale/Brampton--Springdale"," 48B","Brampton",8,62,50,13,0,3,136,261
"Brampton--Springdale/Brampton--Springdale"," 49A","Brampton",3,64,56,20,0,0,143,258
"Brampton--Springdale/Brampton--Springdale"," 49B","Brampton",10,70,44,23,1,0,148,247
"Brampton--Springdale/Brampton--Springdale"," 50","Brampton",14,132,75,49,1,0,271,438
"Brampton--Springdale/Brampton--Springdale"," 51","Brampton",16,121,71,73,1,2,284,465
"Brampton--Springdale/Brampton--Springdale"," 52","Brampton",15,76,79,34,0,1,205,375
"Brampton--Springdale/Brampton--Springdale"," 53","Brampton",16,97,68,53,0,2,236,411
"Brampton--Springdale/Brampton--Springdale"," 54","Brampton",19,60,83,62,0,0,224,408
"Brampton--Springdale/Brampton--Springdale"," 55","Brampton",6,59,54,60,0,1,180,342
"Brampton--Springdale/Brampton--Springdale"," 56","Brampton",12,62,62,56,0,1,193,374
"Brampton--Springdale/Brampton--Springdale"," 57","Brampton",16,69,74,73,0,0,232,384
"Brampton--Springdale/Brampton--Springdale"," 58","Brampton",12,76,105,63,0,1,257,400
"Brampton--Springdale/Brampton--Springdale"," 59","Brampton",7,93,109,34,0,0,243,389
"Brampton--Springdale/Brampton--Springdale"," 60","Brampton",16,90,93,38,1,0,238,409
"Brampton--Springdale/Brampton--Springdale"," 61","Brampton",13,106,106,26,0,0,251,425
"Brampton--Springdale/Brampton--Springdale"," 62","Brampton",7,115,93,60,0,0,275,472
"Brampton--Springdale/Brampton--Springdale"," 63","Brampton",12,142,113,34,0,0,301,470
"Brampton--Springdale/Brampton--Springdale"," 64","Brampton",9,132,90,40,1,1,273,431
"Brampton--Springdale/Brampton--Springdale"," 65","Brampton",13,123,94,44,1,1,276,464
"Brampton--Springdale/Brampton--Springdale"," 66","Brampton",5,83,52,39,0,0,179,326
"Brampton--Springdale/Brampton--Springdale"," 67","Brampton",7,84,51,52,0,1,195,385
"Brampton--Springdale/Brampton--Springdale"," 68","Brampton",4,38,64,59,0,1,166,385
"Brampton--Springdale/Brampton--Springdale"," 69","Brampton",11,62,61,36,0,1,171,282
"Brampton--Springdale/Brampton--Springdale"," 70","Brampton",17,119,108,44,0,1,289,456
"Brampton--Springdale/Brampton--Springdale"," 71","Brampton",13,66,67,50,1,0,197,387
"Brampton--Springdale/Brampton--Springdale"," 72","Brampton",9,99,93,63,0,2,266,484
"Brampton--Springdale/Brampton--Springdale"," 73A","Brampton",7,93,34,25,1,1,161,279
"Brampton--Springdale/Brampton--Springdale"," 73B","Brampton",6,88,38,32,0,0,164,290
"Brampton--Springdale/Brampton--Springdale"," 74A","Brampton",9,69,29,23,1,0,131,256
"Brampton--Springdale/Brampton--Springdale"," 74B","Brampton",9,66,36,31,0,0,142,275
"Brampton--Springdale/Brampton--Springdale"," 75A","Brampton",9,63,41,16,0,1,130,272
"Brampton--Springdale/Brampton--Springdale"," 75B","Brampton",6,64,30,23,0,0,123,287
"Brampton--Springdale/Brampton--Springdale"," 76","Brampton",16,112,74,41,0,0,243,430
"Brampton--Springdale/Brampton--Springdale"," 77","Brampton",17,97,78,55,0,1,248,398
"Brampton--Springdale/Brampton--Springdale"," 78","Brampton",10,80,77,51,1,0,219,412
"Brampton--Springdale/Brampton--Springdale"," 79","Brampton",13,88,80,61,0,1,243,456
"Brampton--Springdale/Brampton--Springdale"," 80","Brampton",21,82,69,41,0,0,213,395
"Brampton--Springdale/Brampton--Springdale"," 81","Brampton",10,111,101,48,0,0,270,422
"Brampton--Springdale/Brampton--Springdale"," 82A","Brampton",3,73,50,31,1,0,158,263
"Brampton--Springdale/Brampton--Springdale"," 82B","Brampton",4,66,33,7,0,0,110,249
"Brampton--Springdale/Brampton--Springdale"," 83A","Brampton",4,70,42,20,0,0,136,293
"Brampton--Springdale/Brampton--Springdale"," 83B","Brampton",2,72,27,20,0,0,121,264
"Brampton--Springdale/Brampton--Springdale"," 84A","Brampton",9,105,56,17,0,0,187,404
"Brampton--Springdale/Brampton--Springdale"," 84B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,43
"Brampton--Springdale/Brampton--Springdale"," 85","Brampton",6,78,27,29,0,0,140,318
"Brampton--Springdale/Brampton--Springdale"," 86","Brampton",4,72,37,42,1,0,156,403
"Brampton--Springdale/Brampton--Springdale"," 87A","Brampton",4,63,40,30,0,0,137,261
"Brampton--Springdale/Brampton--Springdale"," 87B","Brampton",1,80,29,18,0,2,130,274
"Brampton--Springdale/Brampton--Springdale"," 88","Brampton",18,82,86,47,0,0,233,482
"Brampton--Springdale/Brampton--Springdale"," 89","Brampton",17,60,67,56,0,0,200,394
"Brampton--Springdale/Brampton--Springdale"," 90","Brampton",3,128,63,32,1,2,229,474
"Brampton--Springdale/Brampton--Springdale"," 91A","Brampton",2,76,37,20,1,2,138,248
"Brampton--Springdale/Brampton--Springdale"," 91B","Brampton",3,57,22,23,0,0,105,258
"Brampton--Springdale/Brampton--Springdale"," 92","Brampton",6,114,71,20,1,0,212,377
"Brampton--Springdale/Brampton--Springdale"," 93A","Brampton",7,61,30,23,0,1,122,244
"Brampton--Springdale/Brampton--Springdale"," 93B","Brampton",3,86,48,30,1,0,168,277
"Brampton--Springdale/Brampton--Springdale"," 94","Brampton",15,86,75,41,1,1,219,377
"Brampton--Springdale/Brampton--Springdale"," 95A","Brampton",5,86,21,19,1,1,133,262
"Brampton--Springdale/Brampton--Springdale"," 95B","Brampton",3,74,38,24,0,0,139,289
"Brampton--Springdale/Brampton--Springdale"," 96","Brampton",13,132,88,39,0,1,273,469
"Brampton--Springdale/Brampton--Springdale"," 97","Brampton",3,159,70,60,2,2,296,458
"Brampton--Springdale/Brampton--Springdale"," 98","Brampton",13,117,73,64,1,1,269,444
"Brampton--Springdale/Brampton--Springdale"," 99","Brampton",9,122,109,45,0,3,288,470
"Brampton--Springdale/Brampton--Springdale"," 100","Brampton",5,104,99,43,1,0,252,403
"Brampton--Springdale/Brampton--Springdale"," 101","Brampton",10,58,47,37,1,2,155,314
"Brampton--Springdale/Brampton--Springdale"," 102","Brampton",5,153,31,33,1,0,223,430
"Brampton--Springdale/Brampton--Springdale"," 103","Brampton",6,110,67,26,0,2,211,400
"Brampton--Springdale/Brampton--Springdale"," 104","Brampton",13,142,48,46,0,2,251,443
"Brampton--Springdale/Brampton--Springdale"," 105","Brampton",19,123,77,51,1,3,274,450
"Brampton--Springdale/Brampton--Springdale"," 106","Brampton",8,109,70,43,0,2,232,402
"Brampton--Springdale/Brampton--Springdale"," 107","Brampton",10,91,60,52,1,3,217,415
"Brampton--Springdale/Brampton--Springdale"," 108","Brampton",14,112,66,56,0,4,252,437
"Brampton--Springdale/Brampton--Springdale"," 109A","Brampton",5,44,44,25,0,0,118,241
"Brampton--Springdale/Brampton--Springdale"," 109B","Brampton",8,66,34,22,0,2,132,262
"Brampton--Springdale/Brampton--Springdale"," 110A","Brampton",9,65,35,16,0,0,125,210
"Brampton--Springdale/Brampton--Springdale"," 110B","Brampton",7,64,50,15,0,0,136,235
"Brampton--Springdale/Brampton--Springdale"," 111A","Brampton",5,85,35,23,0,2,150,256
"Brampton--Springdale/Brampton--Springdale"," 111B","Brampton",9,78,34,27,0,0,148,261
"Brampton--Springdale/Brampton--Springdale"," 112","Brampton",10,109,70,36,0,1,226,401
"Brampton--Springdale/Brampton--Springdale"," 113A","Brampton",9,65,53,17,0,0,144,267
"Brampton--Springdale/Brampton--Springdale"," 113B","Brampton",3,65,37,21,0,0,126,236
"Brampton--Springdale/Brampton--Springdale"," 114","Brampton",14,85,85,64,0,1,249,360
"Brampton--Springdale/Brampton--Springdale"," 115A","Brampton",11,65,35,23,0,0,134,227
"Brampton--Springdale/Brampton--Springdale"," 115B","Brampton",7,64,63,18,1,0,153,240
"Brampton--Springdale/Brampton--Springdale"," 116","Brampton",22,111,81,67,2,3,286,461
"Brampton--Springdale/Brampton--Springdale"," 117A","Brampton",3,60,52,24,0,0,139,185
"Brampton--Springdale/Brampton--Springdale"," 117B","Brampton",6,58,45,27,1,0,137,199
"Brampton--Springdale/Brampton--Springdale"," 118A","Brampton",4,110,59,39,1,1,214,413
"Brampton--Springdale/Brampton--Springdale"," 118B","Brampton",7,119,46,30,0,1,203,389
"Brampton--Springdale/Brampton--Springdale"," 118C","Brampton",7,125,58,38,1,0,229,399
"Brampton--Springdale/Brampton--Springdale"," 118D","Brampton",2,100,49,27,1,0,179,326
"Brampton--Springdale/Brampton--Springdale"," 119","Brampton",7,82,43,37,1,1,171,333
"Brampton--Springdale/Brampton--Springdale"," 120","Brampton",12,92,63,40,0,0,207,392
"Brampton--Springdale/Brampton--Springdale"," 121","Brampton",5,93,92,59,0,1,250,423
"Brampton--Springdale/Brampton--Springdale"," 122","Brampton",11,128,66,46,1,1,253,475
"Brampton--Springdale/Brampton--Springdale"," 123","Brampton",8,73,50,36,1,4,172,349
"Brampton--Springdale/Brampton--Springdale"," 124","Brampton",5,89,53,52,1,0,200,382
"Brampton--Springdale/Brampton--Springdale"," 125","Brampton",13,98,43,42,0,0,196,444
"Brampton--Springdale/Brampton--Springdale"," 126","Brampton",14,70,56,31,0,4,175,411
"Brampton--Springdale/Brampton--Springdale"," 127","Brampton",15,68,42,32,1,0,158,387
"Brampton--Springdale/Brampton--Springdale"," 128","Brampton",8,41,47,31,0,0,127,267
"Brampton--Springdale/Brampton--Springdale"," 129","Brampton",9,89,52,39,2,1,192,440
"Brampton--Springdale/Brampton--Springdale"," 130","Brampton",10,71,42,29,0,1,153,359
"Brampton--Springdale/Brampton--Springdale"," 131","Brampton",10,74,43,40,0,0,167,389
"Brampton--Springdale/Brampton--Springdale"," 132","Brampton",1,47,36,16,2,1,103,309
"Brampton--Springdale/Brampton--Springdale"," 133A","Brampton",3,59,23,11,0,0,96,236
"Brampton--Springdale/Brampton--Springdale"," 133B","Brampton",1,50,25,23,0,0,99,222
"Brampton--Springdale/Brampton--Springdale"," 134","Brampton",6,67,26,60,0,0,159,344
"Brampton--Springdale/Brampton--Springdale"," 135","Brampton",14,73,80,66,0,1,234,406
"Brampton--Springdale/Brampton--Springdale"," 136","Brampton",24,66,58,60,1,2,211,415
"Brampton--Springdale/Brampton--Springdale"," 137","Brampton",12,69,35,59,1,0,176,329
"Brampton--Springdale/Brampton--Springdale"," 138","Brampton",18,44,43,62,0,2,169,327
"Brampton--Springdale/Brampton--Springdale"," 139","Brampton",11,68,54,43,0,0,176,352
"Brampton--Springdale/Brampton--Springdale"," 140","Brampton",10,81,77,61,0,1,230,432
"Brampton--Springdale/Brampton--Springdale"," 141","Brampton",14,92,68,59,1,1,235,345
"Brampton--Springdale/Brampton--Springdale"," 142","Brampton",5,88,54,53,0,3,203,416
"Brampton--Springdale/Brampton--Springdale"," 143","Brampton",8,80,74,36,1,0,199,454
"Brampton--Springdale/Brampton--Springdale"," 144A","Brampton",7,33,41,30,0,0,111,268
"Brampton--Springdale/Brampton--Springdale"," 144B","Brampton",10,40,35,40,1,1,127,272
"Brampton--Springdale/Brampton--Springdale"," 145","Brampton",10,57,51,33,0,0,151,327
"Brampton--Springdale/Brampton--Springdale"," 146A","Brampton",Merged with No. 145/Fusionné avec le nº 145,,,,,,,13
"Brampton--Springdale/Brampton--Springdale"," 146B","Brampton",10,45,49,45,2,0,151,263
"Brampton--Springdale/Brampton--Springdale"," 146C","Brampton",Merged with No. 145/Fusionné avec le nº 145,,,,,,,38
"Brampton--Springdale/Brampton--Springdale"," 147A","Brampton",3,53,19,29,1,0,105,207
"Brampton--Springdale/Brampton--Springdale"," 147B","Brampton",6,61,40,25,1,1,134,232
"Brampton--Springdale/Brampton--Springdale"," 148A","Brampton",3,25,8,5,0,0,41,121
"Brampton--Springdale/Brampton--Springdale"," 148B","Brampton",6,97,37,54,1,0,195,279
"Brampton--Springdale/Brampton--Springdale"," 149A","Brampton",2,32,25,10,0,0,69,181
"Brampton--Springdale/Brampton--Springdale"," 149B","Brampton",6,56,36,18,0,0,116,260
"Brampton--Springdale/Brampton--Springdale"," 150A","Brampton",3,38,33,9,1,0,84,233
"Brampton--Springdale/Brampton--Springdale"," 150B","Brampton",10,35,25,27,2,0,99,245
"Brampton--Springdale/Brampton--Springdale"," 151A","Brampton",6,77,34,29,0,1,147,254
"Brampton--Springdale/Brampton--Springdale"," 151B","Brampton",1,65,44,32,0,0,142,250
"Brampton--Springdale/Brampton--Springdale"," 152A","Brampton",8,42,35,29,0,0,114,220
"Brampton--Springdale/Brampton--Springdale"," 152B","Brampton",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,5
"Brampton--Springdale/Brampton--Springdale"," 152C","Brampton",9,78,36,25,0,1,149,288
"Brampton--Springdale/Brampton--Springdale"," 153","Brampton",13,90,69,48,0,3,223,393
"Brampton--Springdale/Brampton--Springdale"," 154A","Brampton",17,67,40,39,0,0,163,278
"Brampton--Springdale/Brampton--Springdale"," 154B","Brampton",11,41,49,35,0,0,136,254
"Brampton--Springdale/Brampton--Springdale"," 155","Brampton",9,56,60,56,0,0,181,424
"Brampton--Springdale/Brampton--Springdale"," 156","Brampton",5,70,45,35,0,0,155,292
"Brampton--Springdale/Brampton--Springdale"," 157","Brampton",3,78,61,39,0,2,183,291
"Brampton--Springdale/Brampton--Springdale"," 158","Brampton",4,93,35,25,0,0,157,299
"Brampton--Springdale/Brampton--Springdale"," 159A","Brampton",2,70,40,21,0,0,133,252
"Brampton--Springdale/Brampton--Springdale"," 159B","Brampton",4,59,36,29,0,0,128,242
"Brampton--Springdale/Brampton--Springdale"," 160A","Brampton",3,46,50,34,0,0,133,254
"Brampton--Springdale/Brampton--Springdale"," 160B","Brampton",13,49,25,38,1,0,126,233
"Brampton--Springdale/Brampton--Springdale"," 161","Brampton",Void/Supprimé,,,,,,,
"Brampton--Springdale/Brampton--Springdale"," 162A","Brampton",4,70,34,24,0,0,132,261
"Brampton--Springdale/Brampton--Springdale"," 162B","Brampton",3,56,30,28,0,2,119,256
"Brampton--Springdale/Brampton--Springdale"," 163","Brampton",7,96,50,55,2,1,211,454
"Brampton--Springdale/Brampton--Springdale"," 164","Brampton",5,56,49,28,0,0,138,321
"Brampton--Springdale/Brampton--Springdale"," 165A","Brampton",4,56,32,22,0,1,115,242
"Brampton--Springdale/Brampton--Springdale"," 165B","Brampton",7,52,21,29,0,1,110,263
"Brampton--Springdale/Brampton--Springdale"," 166","Brampton",Void/Supprimé,,,,,,,
"Brampton--Springdale/Brampton--Springdale"," 167","Brampton",11,64,59,31,0,0,165,374
"Brampton--Springdale/Brampton--Springdale"," 168","Brampton",6,119,59,47,1,0,232,432
"Brampton--Springdale/Brampton--Springdale"," 169","Brampton",6,93,80,39,0,1,219,445
"Brampton--Springdale/Brampton--Springdale"," 170A","Brampton",11,79,47,27,0,0,164,283
"Brampton--Springdale/Brampton--Springdale"," 170B","Brampton",6,47,26,31,2,0,112,213
"Brampton--Springdale/Brampton--Springdale"," 171","Brampton",12,61,46,38,0,0,157,284
"Brampton--Springdale/Brampton--Springdale"," 400","Brampton",9,111,36,41,0,1,198,371
"Brampton--Springdale/Brampton--Springdale"," 401","Brampton",7,63,48,22,3,1,144,302
"Brampton--Springdale/Brampton--Springdale"," 402","Brampton",6,57,31,37,0,1,132,262
"Brampton--Springdale/Brampton--Springdale"," 403","Brampton",3,57,39,36,0,0,135,221
"Brampton--Springdale/Brampton--Springdale"," 404","Brampton",6,120,48,44,0,4,222,326
"Brampton--Springdale/Brampton--Springdale"," 405","Brampton",7,90,65,49,0,0,211,320
"Brampton--Springdale/Brampton--Springdale"," 406","Brampton",5,84,65,37,0,2,193,261
"Brampton--Springdale/Brampton--Springdale"," 500A","Mobile poll/Bureau itinérant",4,39,31,14,0,2,90,81
"Brampton--Springdale/Brampton--Springdale"," 500B","Mobile poll/Bureau itinérant",0,7,14,7,0,0,28,47
"Brampton--Springdale/Brampton--Springdale"," 600","Brampton",0,87,65,24,0,0,176,
"Brampton--Springdale/Brampton--Springdale"," 601","Brampton",4,149,100,30,1,1,285,
"Brampton--Springdale/Brampton--Springdale"," 602","Brampton",2,142,107,33,0,2,286,
"Brampton--Springdale/Brampton--Springdale"," 603","Brampton",4,242,156,37,0,5,444,
"Brampton--Springdale/Brampton--Springdale"," 604","Brampton",9,134,145,29,1,4,322,
"Brampton--Springdale/Brampton--Springdale"," 605","Brampton",7,264,163,65,1,0,500,
"Brampton--Springdale/Brampton--Springdale"," 606","Brampton",16,116,160,38,0,0,330,
"Brampton--Springdale/Brampton--Springdale"," 607","Brampton",20,200,186,90,0,1,497,
"Brampton--Springdale/Brampton--Springdale"," 608","Brampton",19,136,145,46,1,0,347,
"Brampton--Springdale/Brampton--Springdale"," 609","Brampton",15,263,127,74,1,1,481,
"Brampton--Springdale/Brampton--Springdale"," 610","Brampton",7,100,98,25,0,0,230,
"Brampton--Springdale/Brampton--Springdale"," 611","Brampton",19,153,95,47,2,1,317,
"Brampton--Springdale/Brampton--Springdale"," 612","Brampton",5,142,122,60,1,3,333,
"Brampton--Springdale/Brampton--Springdale"," 613","Brampton",12,118,94,49,1,1,275,
"Brampton--Springdale/Brampton--Springdale"," 614","Brampton",10,84,97,42,1,0,234,
"Brampton--Springdale/Brampton--Springdale"," 615","Brampton",1,26,14,1,0,0,42,
"Brampton--Springdale/Brampton--Springdale",,Group 1/Groupe 1,1,26,19,6,0,1,53,104
"Brampton--Springdale/Brampton--Springdale",,Group 2/Groupe 2,34,521,398,82,1,2,1038,
