Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Elizabeth Kirley,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Simcoe--Grey/Simcoe--Grey"," 56","Clearview--Wasaga Beach",31,10,158,108,15,2,324,677
"Simcoe--Grey/Simcoe--Grey"," 57","Clearview",18,14,80,75,12,0,199,332
"Simcoe--Grey/Simcoe--Grey"," 58","Clearview",24,15,119,55,1,0,214,340
"Simcoe--Grey/Simcoe--Grey"," 59","Clearview",30,13,131,50,2,1,227,367
"Simcoe--Grey/Simcoe--Grey"," 60","Clearview",27,13,71,57,4,0,172,264
"Simcoe--Grey/Simcoe--Grey"," 61","Clearview",40,40,191,109,10,1,391,634
"Simcoe--Grey/Simcoe--Grey"," 62","Clearview",21,12,80,52,8,0,173,323
"Simcoe--Grey/Simcoe--Grey"," 63","Clearview",15,17,115,53,17,1,218,341
"Simcoe--Grey/Simcoe--Grey"," 64","Clearview",25,16,108,62,5,1,217,343
"Simcoe--Grey/Simcoe--Grey"," 65","Clearview",30,25,90,45,3,0,193,307
"Simcoe--Grey/Simcoe--Grey"," 66","Clearview",15,22,98,72,3,2,212,339
"Simcoe--Grey/Simcoe--Grey"," 67","Clearview",24,16,103,55,1,1,200,303
"Simcoe--Grey/Simcoe--Grey"," 68","Clearview",28,17,135,63,5,0,248,476
"Simcoe--Grey/Simcoe--Grey"," 69","Clearview",10,12,96,37,3,0,158,236
"Simcoe--Grey/Simcoe--Grey"," 70","Clearview",9,9,67,41,4,0,130,206
"Simcoe--Grey/Simcoe--Grey"," 71","Wasaga Beach",21,7,75,58,5,0,166,332
"Simcoe--Grey/Simcoe--Grey"," 72A","Wasaga Beach",24,7,74,70,1,3,179,300
"Simcoe--Grey/Simcoe--Grey"," 72B","Wasaga Beach",23,6,70,64,2,0,165,302
"Simcoe--Grey/Simcoe--Grey"," 73","Wasaga Beach",34,14,121,96,2,1,268,443
"Simcoe--Grey/Simcoe--Grey"," 74","Wasaga Beach",37,10,121,84,6,2,260,466
"Simcoe--Grey/Simcoe--Grey"," 75","Wasaga Beach",39,17,100,70,3,0,229,517
"Simcoe--Grey/Simcoe--Grey"," 76","Wasaga Beach",34,15,104,58,1,1,213,412
"Simcoe--Grey/Simcoe--Grey"," 77","Wasaga Beach",16,13,139,79,6,1,254,471
"Simcoe--Grey/Simcoe--Grey"," 78","Wasaga Beach",19,8,78,42,3,0,150,326
"Simcoe--Grey/Simcoe--Grey"," 79","Wasaga Beach",19,4,72,70,4,0,169,378
"Simcoe--Grey/Simcoe--Grey"," 80","Wasaga Beach",23,7,77,65,2,1,175,379
"Simcoe--Grey/Simcoe--Grey"," 81","Wasaga Beach",40,7,75,56,6,0,184,398
"Simcoe--Grey/Simcoe--Grey"," 82","Wasaga Beach",24,3,90,89,6,1,213,439
"Simcoe--Grey/Simcoe--Grey"," 83","Wasaga Beach",41,9,144,84,5,3,286,601
"Simcoe--Grey/Simcoe--Grey"," 84","Wasaga Beach",32,11,139,93,2,0,277,593
"Simcoe--Grey/Simcoe--Grey"," 85","Wasaga Beach",42,14,80,94,8,0,238,512
"Simcoe--Grey/Simcoe--Grey"," 86A","Wasaga Beach",17,8,87,63,1,0,176,329
"Simcoe--Grey/Simcoe--Grey"," 86B","Wasaga Beach",18,3,68,52,10,0,151,313
"Simcoe--Grey/Simcoe--Grey"," 87","Wasaga Beach",16,14,68,64,3,0,165,392
"Simcoe--Grey/Simcoe--Grey"," 88","Wasaga Beach",9,6,50,49,0,0,114,327
"Simcoe--Grey/Simcoe--Grey"," 89","Wasaga Beach",43,9,110,109,4,0,275,577
"Simcoe--Grey/Simcoe--Grey"," 90","Wasaga Beach",25,15,133,91,5,0,269,652
"Simcoe--Grey/Simcoe--Grey"," 91A","Wasaga Beach",26,3,73,71,2,1,176,417
"Simcoe--Grey/Simcoe--Grey"," 91B","Wasaga Beach",38,12,86,46,6,0,188,400
"Simcoe--Grey/Simcoe--Grey"," 92","Wasaga Beach",15,1,53,32,2,0,103,245
"Simcoe--Grey/Simcoe--Grey"," 93","Springwater",25,9,110,41,6,0,191,338
"Simcoe--Grey/Simcoe--Grey"," 94","Springwater",41,21,124,69,2,2,259,450
"Simcoe--Grey/Simcoe--Grey"," 95","Springwater",22,5,76,53,5,0,161,260
"Simcoe--Grey/Simcoe--Grey"," 96","Springwater",19,7,72,50,15,1,164,291
"Simcoe--Grey/Simcoe--Grey"," 97","Springwater",4,5,63,38,4,0,114,224
"Simcoe--Grey/Simcoe--Grey"," 98","Springwater",49,12,127,97,7,0,292,555
"Simcoe--Grey/Simcoe--Grey"," 99","Springwater",46,11,150,85,5,1,298,477
"Simcoe--Grey/Simcoe--Grey"," 100","Springwater",34,14,152,77,2,0,279,431
"Simcoe--Grey/Simcoe--Grey"," 101","Springwater",46,12,182,102,6,1,349,601
"Simcoe--Grey/Simcoe--Grey"," 102","Springwater",29,12,134,64,4,0,243,368
"Simcoe--Grey/Simcoe--Grey"," 103","Springwater",25,15,57,47,2,2,148,232
"Simcoe--Grey/Simcoe--Grey"," 104","Springwater",20,13,103,40,4,0,180,250
"Simcoe--Grey/Simcoe--Grey"," 105","Springwater",54,21,190,110,6,2,383,539
"Simcoe--Grey/Simcoe--Grey"," 106","Springwater",33,20,161,75,10,0,299,452
"Simcoe--Grey/Simcoe--Grey"," 107","Springwater",26,15,116,72,9,1,239,365
"Simcoe--Grey/Simcoe--Grey"," 108","Springwater",28,30,172,96,5,1,332,597
"Simcoe--Grey/Simcoe--Grey"," 109","Springwater",24,26,114,54,2,1,221,429
"Simcoe--Grey/Simcoe--Grey"," 110","Springwater",14,11,47,53,0,0,125,190
"Simcoe--Grey/Simcoe--Grey"," 111","Springwater",29,4,108,73,5,0,219,375
"Simcoe--Grey/Simcoe--Grey"," 112","Springwater",13,13,100,91,4,0,221,320
"Simcoe--Grey/Simcoe--Grey"," 113","Springwater",25,8,86,56,0,0,175,273
"Simcoe--Grey/Simcoe--Grey"," 114","Springwater",19,6,93,97,3,0,218,348
"Simcoe--Grey/Simcoe--Grey"," 115","Springwater",24,20,168,74,6,0,292,523
"Simcoe--Grey/Simcoe--Grey"," 116","Springwater",26,16,110,99,2,1,254,445
"Simcoe--Grey/Simcoe--Grey"," 117","Springwater",16,18,107,74,2,0,217,362
"Simcoe--Grey/Simcoe--Grey"," 118","Springwater",17,8,70,62,0,1,158,289
"Simcoe--Grey/Simcoe--Grey"," 119","Springwater",19,12,85,48,1,1,166,322
"Simcoe--Grey/Simcoe--Grey"," 120","Springwater",14,13,132,101,2,0,262,483
"Simcoe--Grey/Simcoe--Grey"," 121","Springwater",29,17,158,101,2,0,307,571
"Simcoe--Grey/Simcoe--Grey"," 122","Springwater",13,6,42,31,2,0,94,224
"Simcoe--Grey/Simcoe--Grey"," 123","Springwater",20,6,112,68,10,0,216,411
"Simcoe--Grey/Simcoe--Grey"," 124","Essa",47,18,129,77,3,1,275,529
"Simcoe--Grey/Simcoe--Grey"," 125","Essa",33,14,89,62,4,1,203,375
"Simcoe--Grey/Simcoe--Grey"," 126","Essa",42,15,82,70,5,0,214,352
"Simcoe--Grey/Simcoe--Grey"," 127","Essa",22,15,132,67,10,0,246,446
"Simcoe--Grey/Simcoe--Grey"," 128","Essa",48,13,138,66,3,1,269,516
"Simcoe--Grey/Simcoe--Grey"," 129","Essa",26,11,97,52,6,1,193,380
"Simcoe--Grey/Simcoe--Grey"," 130","Essa",32,11,125,59,4,0,231,428
"Simcoe--Grey/Simcoe--Grey"," 131","Essa",20,12,79,45,3,1,160,293
"Simcoe--Grey/Simcoe--Grey"," 132","Essa",28,13,97,43,4,0,185,330
"Simcoe--Grey/Simcoe--Grey"," 133","Essa",16,3,69,42,4,0,134,280
"Simcoe--Grey/Simcoe--Grey"," 134","Essa",27,8,121,40,8,0,204,353
"Simcoe--Grey/Simcoe--Grey"," 135","Essa",38,22,106,68,14,1,249,490
"Simcoe--Grey/Simcoe--Grey"," 136","Essa",32,26,157,91,5,1,312,582
"Simcoe--Grey/Simcoe--Grey"," 137","Essa",45,6,152,87,6,3,299,481
"Simcoe--Grey/Simcoe--Grey"," 138","Essa",18,22,101,62,2,0,205,354
"Simcoe--Grey/Simcoe--Grey"," 139","Essa",54,33,207,135,12,1,442,691
"Simcoe--Grey/Simcoe--Grey"," 140","Essa",33,23,175,97,9,1,338,497
"Simcoe--Grey/Simcoe--Grey"," 141","Essa",14,17,111,61,14,2,219,354
"Simcoe--Grey/Simcoe--Grey"," 142","Essa",20,17,136,61,6,0,240,427
"Simcoe--Grey/Simcoe--Grey"," 143","Essa",24,5,87,48,6,0,170,292
"Simcoe--Grey/Simcoe--Grey"," 144","Essa",33,22,162,73,14,1,305,542
"Simcoe--Grey/Simcoe--Grey"," 145","Essa",21,15,97,46,12,0,191,376
"Simcoe--Grey/Simcoe--Grey"," 146","Essa",23,6,83,36,5,0,153,293
"Simcoe--Grey/Simcoe--Grey"," 147","Essa",22,3,51,31,2,0,109,272
"Simcoe--Grey/Simcoe--Grey"," 148","Essa",14,5,40,24,0,0,83,244
"Simcoe--Grey/Simcoe--Grey"," 149","Adjala-Tosorontio",3,0,4,2,0,0,9,135
"Simcoe--Grey/Simcoe--Grey"," 150","Essa",10,11,75,44,4,0,144,333
"Simcoe--Grey/Simcoe--Grey"," 151","Essa",33,6,61,46,3,1,150,364
"Simcoe--Grey/Simcoe--Grey"," 152","Adjala-Tosorontio",27,14,104,44,17,0,206,319
"Simcoe--Grey/Simcoe--Grey"," 153","Adjala-Tosorontio",56,19,139,57,4,1,276,464
"Simcoe--Grey/Simcoe--Grey"," 154","Adjala-Tosorontio",16,14,112,38,8,2,190,307
"Simcoe--Grey/Simcoe--Grey"," 155","Adjala-Tosorontio",40,22,157,72,15,3,309,483
"Simcoe--Grey/Simcoe--Grey"," 156","Adjala-Tosorontio",9,13,68,51,4,1,146,260
"Simcoe--Grey/Simcoe--Grey"," 157","Adjala-Tosorontio",43,17,152,71,10,1,294,485
"Simcoe--Grey/Simcoe--Grey"," 158","Adjala-Tosorontio",29,10,83,41,5,0,168,263
"Simcoe--Grey/Simcoe--Grey"," 159","Adjala-Tosorontio",31,18,106,53,12,0,220,390
"Simcoe--Grey/Simcoe--Grey"," 160","Adjala-Tosorontio",16,19,124,65,15,1,240,507
"Simcoe--Grey/Simcoe--Grey"," 161","Adjala-Tosorontio",31,12,95,69,4,1,212,360
"Simcoe--Grey/Simcoe--Grey"," 162","Adjala-Tosorontio",19,9,75,46,6,1,156,245
"Simcoe--Grey/Simcoe--Grey"," 163","Adjala-Tosorontio",22,8,102,53,11,0,196,385
"Simcoe--Grey/Simcoe--Grey"," 164","Adjala-Tosorontio",43,33,148,92,5,0,321,454
"Simcoe--Grey/Simcoe--Grey"," 165","Adjala-Tosorontio",25,13,83,64,10,1,196,380
"Simcoe--Grey/Simcoe--Grey"," 166","Adjala-Tosorontio",24,9,90,63,5,0,191,305
"Simcoe--Grey/Simcoe--Grey"," 167","Adjala-Tosorontio",23,15,127,76,6,0,247,399
"Simcoe--Grey/Simcoe--Grey"," 168","Adjala-Tosorontio",16,19,120,100,8,1,264,383
"Simcoe--Grey/Simcoe--Grey"," 169","Adjala-Tosorontio",31,26,125,102,10,1,295,442
"Simcoe--Grey/Simcoe--Grey"," 170","New Tecumseth",60,19,193,85,14,2,373,692
"Simcoe--Grey/Simcoe--Grey"," 171","New Tecumseth",18,6,86,59,8,2,179,328
"Simcoe--Grey/Simcoe--Grey"," 172","New Tecumseth",26,14,98,42,21,0,201,374
"Simcoe--Grey/Simcoe--Grey"," 173","New Tecumseth",25,13,130,59,14,0,241,484
"Simcoe--Grey/Simcoe--Grey"," 174","New Tecumseth",4,8,54,48,4,0,118,235
"Simcoe--Grey/Simcoe--Grey"," 175","New Tecumseth",24,12,68,30,3,0,137,352
"Simcoe--Grey/Simcoe--Grey"," 176","New Tecumseth",20,6,79,50,8,0,163,340
"Simcoe--Grey/Simcoe--Grey"," 177","New Tecumseth",33,12,105,60,13,0,223,508
"Simcoe--Grey/Simcoe--Grey"," 178","New Tecumseth",28,18,148,41,10,0,245,466
"Simcoe--Grey/Simcoe--Grey"," 179A","New Tecumseth",18,14,127,79,6,0,244,519
"Simcoe--Grey/Simcoe--Grey"," 179B","New Tecumseth",18,15,155,84,5,0,277,648
"Simcoe--Grey/Simcoe--Grey"," 179C","New Tecumseth",16,11,105,73,6,0,211,534
"Simcoe--Grey/Simcoe--Grey"," 180","New Tecumseth",9,2,76,81,14,0,182,360
"Simcoe--Grey/Simcoe--Grey"," 181","New Tecumseth",15,5,101,101,5,0,227,493
"Simcoe--Grey/Simcoe--Grey"," 182","New Tecumseth",22,10,72,40,13,0,157,342
"Simcoe--Grey/Simcoe--Grey"," 183","New Tecumseth",12,10,54,36,6,0,118,272
"Simcoe--Grey/Simcoe--Grey"," 184","New Tecumseth",10,7,17,12,3,1,50,132
"Simcoe--Grey/Simcoe--Grey"," 185","New Tecumseth",32,12,90,43,10,1,188,390
"Simcoe--Grey/Simcoe--Grey"," 186","New Tecumseth",33,11,141,72,15,0,272,496
"Simcoe--Grey/Simcoe--Grey"," 187","New Tecumseth",39,11,120,61,13,0,244,448
"Simcoe--Grey/Simcoe--Grey"," 188","New Tecumseth",26,3,74,44,12,1,160,280
"Simcoe--Grey/Simcoe--Grey"," 189","New Tecumseth",16,7,58,25,10,0,116,252
"Simcoe--Grey/Simcoe--Grey"," 190","New Tecumseth",23,8,83,37,4,1,156,313
"Simcoe--Grey/Simcoe--Grey"," 191","New Tecumseth",47,14,102,53,5,0,221,412
"Simcoe--Grey/Simcoe--Grey"," 192","New Tecumseth",28,16,136,62,17,1,260,448
"Simcoe--Grey/Simcoe--Grey"," 193","New Tecumseth",28,15,114,73,7,2,239,344
"Simcoe--Grey/Simcoe--Grey"," 194","New Tecumseth",43,16,100,58,7,0,224,345
"Simcoe--Grey/Simcoe--Grey"," 195","New Tecumseth",56,28,186,83,11,1,365,566
"Simcoe--Grey/Simcoe--Grey"," 196","New Tecumseth",38,17,174,69,1,0,299,441
"Simcoe--Grey/Simcoe--Grey"," 197","New Tecumseth",22,19,146,49,3,0,239,349
"Simcoe--Grey/Simcoe--Grey"," 198","New Tecumseth",33,19,119,49,4,0,224,403
"Simcoe--Grey/Simcoe--Grey"," 199","New Tecumseth",26,13,147,84,1,1,272,446
"Simcoe--Grey/Simcoe--Grey"," 200","New Tecumseth",9,15,111,59,7,0,201,344
"Simcoe--Grey/Simcoe--Grey"," 201","New Tecumseth",22,13,110,92,3,1,241,429
"Simcoe--Grey/Simcoe--Grey"," 202","New Tecumseth",26,27,170,120,7,0,350,569
"Simcoe--Grey/Simcoe--Grey"," 203","New Tecumseth",26,31,154,94,6,0,311,490
"Simcoe--Grey/Simcoe--Grey"," 204","New Tecumseth",21,16,100,90,2,1,230,412
"Simcoe--Grey/Simcoe--Grey"," 205","New Tecumseth",10,1,72,52,8,1,144,301
"Simcoe--Grey/Simcoe--Grey"," 206","New Tecumseth",34,15,127,88,1,1,266,409
"Simcoe--Grey/Simcoe--Grey"," 207","New Tecumseth",30,16,117,54,8,0,225,355
"Simcoe--Grey/Simcoe--Grey"," 208","New Tecumseth",14,4,39,44,8,0,109,196
"Simcoe--Grey/Simcoe--Grey"," 209","New Tecumseth",33,16,151,99,2,2,303,519
"Simcoe--Grey/Simcoe--Grey"," 210","New Tecumseth",24,10,70,83,5,1,193,323
"Simcoe--Grey/Simcoe--Grey"," 211","New Tecumseth",32,13,72,58,2,0,177,378
"Simcoe--Grey/Simcoe--Grey"," 212","New Tecumseth",50,16,143,102,6,0,317,537
"Simcoe--Grey/Simcoe--Grey"," 213","New Tecumseth",31,18,72,56,1,0,178,312
"Simcoe--Grey/Simcoe--Grey"," 214","New Tecumseth",12,12,60,25,6,0,115,222
"Simcoe--Grey/Simcoe--Grey"," 215","New Tecumseth",40,23,191,103,8,0,365,639
"Simcoe--Grey/Simcoe--Grey"," 500","Mobile poll/Bureau itinérant",5,2,28,18,0,3,56,99
"Simcoe--Grey/Simcoe--Grey"," 501","Mobile poll/Bureau itinérant",7,2,44,13,6,0,72,156
"Simcoe--Grey/Simcoe--Grey"," 502","Mobile poll/Bureau itinérant",5,1,38,21,9,0,74,203
"Simcoe--Grey/Simcoe--Grey"," 503","Mobile poll/Bureau itinérant",6,5,28,20,2,1,62,116
"Simcoe--Grey/Simcoe--Grey"," 504","Mobile poll/Bureau itinérant",10,3,39,15,3,2,72,115
"Simcoe--Grey/Simcoe--Grey"," 505","Mobile poll/Bureau itinérant",4,2,27,23,6,4,66,140
"Simcoe--Grey/Simcoe--Grey"," 506","Mobile poll/Bureau itinérant",13,5,55,41,16,2,132,235
"Simcoe--Grey/Simcoe--Grey"," 600","Town of the Blue Mountains",58,28,369,243,7,1,706,
"Simcoe--Grey/Simcoe--Grey"," 601","Collingwood",115,53,639,449,24,4,1284,
"Simcoe--Grey/Simcoe--Grey"," 602","Clearview",89,36,670,249,28,2,1074,
"Simcoe--Grey/Simcoe--Grey"," 603","Wasaga Beach",134,40,917,573,17,1,1682,
"Simcoe--Grey/Simcoe--Grey"," 604","Springwater",83,46,709,283,6,2,1129,
"Simcoe--Grey/Simcoe--Grey"," 605","Essa",53,36,415,197,16,1,718,
"Simcoe--Grey/Simcoe--Grey"," 606","Adjala-Tosorontio",52,35,377,177,26,0,667,
"Simcoe--Grey/Simcoe--Grey"," 607","New Tecumseth",69,34,871,261,45,8,1288,
"Simcoe--Grey/Simcoe--Grey"," 608","New Tecumseth",88,46,508,281,17,2,942,
"Simcoe--Grey/Simcoe--Grey",,Group 1/Groupe 1,9,10,108,65,2,6,200,542
"Simcoe--Grey/Simcoe--Grey",,Group 2/Groupe 2,136,75,1432,819,31,19,2512,
