Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Heathcliff Dionysus Campbell,John Clarke,Jared Evans,Tony Fogarassy,Hedy Fry,Joe Pal,Svend Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Centre/Vancouver-Centre"," 43","Vancouver",1,2,21,46,90,1,86,3,250,468
"Vancouver Centre/Vancouver-Centre"," 44","Vancouver",1,1,11,22,105,0,81,0,221,487
"Vancouver Centre/Vancouver-Centre"," 45","Vancouver",2,1,9,22,112,0,62,0,208,336
"Vancouver Centre/Vancouver-Centre"," 46","Vancouver",0,1,13,25,101,0,91,0,231,447
"Vancouver Centre/Vancouver-Centre"," 47","Vancouver",0,0,10,31,102,1,71,0,215,453
"Vancouver Centre/Vancouver-Centre"," 48","Vancouver",0,2,23,48,135,1,78,0,287,489
"Vancouver Centre/Vancouver-Centre"," 49A","Vancouver",1,0,8,33,55,0,24,0,121,270
"Vancouver Centre/Vancouver-Centre"," 49B","Vancouver",0,0,12,29,42,0,30,0,113,244
"Vancouver Centre/Vancouver-Centre"," 50A","Vancouver",0,1,7,19,50,2,51,0,130,269
"Vancouver Centre/Vancouver-Centre"," 50B","Vancouver",1,0,5,28,47,0,46,1,128,257
"Vancouver Centre/Vancouver-Centre"," 51","Vancouver",0,0,11,26,110,0,61,1,209,357
"Vancouver Centre/Vancouver-Centre"," 52","Vancouver",2,1,24,18,101,0,85,0,231,464
"Vancouver Centre/Vancouver-Centre"," 53A","Vancouver",0,1,13,27,104,4,84,1,234,434
"Vancouver Centre/Vancouver-Centre"," 53B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,60
"Vancouver Centre/Vancouver-Centre"," 54","Vancouver",0,1,18,29,108,0,73,1,230,387
"Vancouver Centre/Vancouver-Centre"," 55","Vancouver",1,0,13,48,151,1,89,1,304,504
"Vancouver Centre/Vancouver-Centre"," 56","Vancouver",1,1,17,21,107,1,79,1,228,455
"Vancouver Centre/Vancouver-Centre"," 57","Vancouver",0,1,18,7,73,0,68,0,167,324
"Vancouver Centre/Vancouver-Centre"," 58","Vancouver",0,1,17,24,83,0,118,0,243,489
"Vancouver Centre/Vancouver-Centre"," 59","Vancouver",0,0,18,22,77,2,55,0,174,391
"Vancouver Centre/Vancouver-Centre"," 60","Vancouver",0,2,10,29,100,3,64,0,208,418
"Vancouver Centre/Vancouver-Centre"," 61","Vancouver",1,1,34,27,100,0,83,0,246,434
"Vancouver Centre/Vancouver-Centre"," 62A","Vancouver",1,3,11,27,68,0,48,0,158,304
"Vancouver Centre/Vancouver-Centre"," 62B","Vancouver",1,0,8,36,59,0,53,1,158,334
"Vancouver Centre/Vancouver-Centre"," 63A","Vancouver",0,0,17,26,86,1,124,0,254,464
"Vancouver Centre/Vancouver-Centre"," 63B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,22
"Vancouver Centre/Vancouver-Centre"," 64A","Vancouver",1,0,7,22,51,0,34,0,115,241
"Vancouver Centre/Vancouver-Centre"," 64B","Vancouver",0,0,9,17,70,1,46,0,143,280
"Vancouver Centre/Vancouver-Centre"," 65A","Vancouver",0,2,16,14,61,0,55,0,148,263
"Vancouver Centre/Vancouver-Centre"," 65B","Vancouver",0,0,1,9,58,0,47,0,115,238
"Vancouver Centre/Vancouver-Centre"," 66","Vancouver",1,1,11,28,70,0,53,0,164,337
"Vancouver Centre/Vancouver-Centre"," 67","Vancouver",2,0,6,35,78,0,85,0,206,402
"Vancouver Centre/Vancouver-Centre"," 68","Vancouver",1,0,11,21,95,1,65,3,197,392
"Vancouver Centre/Vancouver-Centre"," 69","Vancouver",2,2,23,75,104,0,87,0,293,504
"Vancouver Centre/Vancouver-Centre"," 70A","Vancouver",2,3,13,43,91,0,54,0,206,377
"Vancouver Centre/Vancouver-Centre"," 70B","Vancouver",2,1,11,43,101,0,64,0,222,397
"Vancouver Centre/Vancouver-Centre"," 71","Vancouver",1,2,13,49,106,1,99,3,274,488
"Vancouver Centre/Vancouver-Centre"," 72","Vancouver",1,1,19,23,104,1,58,0,207,443
"Vancouver Centre/Vancouver-Centre"," 73","Vancouver",1,2,7,51,96,1,63,1,222,389
"Vancouver Centre/Vancouver-Centre"," 74","Vancouver",4,2,18,33,115,1,89,0,262,508
"Vancouver Centre/Vancouver-Centre"," 75","Vancouver",0,2,4,38,72,0,29,0,145,296
"Vancouver Centre/Vancouver-Centre"," 76","Vancouver",0,4,9,73,110,0,30,0,226,487
"Vancouver Centre/Vancouver-Centre"," 77","Vancouver",0,1,10,72,94,0,32,0,209,444
"Vancouver Centre/Vancouver-Centre"," 78A","Vancouver",1,2,8,35,75,1,42,1,165,369
"Vancouver Centre/Vancouver-Centre"," 78B","Vancouver",2,3,5,22,86,1,42,1,162,379
"Vancouver Centre/Vancouver-Centre"," 79","Vancouver",1,3,8,46,102,0,40,0,200,420
"Vancouver Centre/Vancouver-Centre"," 80","Vancouver",1,1,13,41,109,2,46,1,214,448
"Vancouver Centre/Vancouver-Centre"," 81A","Vancouver",3,0,12,25,58,0,42,1,141,295
"Vancouver Centre/Vancouver-Centre"," 81B","Vancouver",4,1,3,19,54,1,40,0,122,274
"Vancouver Centre/Vancouver-Centre"," 82A","Vancouver",0,2,6,27,71,0,46,1,153,331
"Vancouver Centre/Vancouver-Centre"," 82B","Vancouver",1,2,8,41,122,1,46,1,222,413
"Vancouver Centre/Vancouver-Centre"," 83A","Vancouver",3,2,18,28,70,0,56,3,180,367
"Vancouver Centre/Vancouver-Centre"," 83B","Vancouver",1,0,14,42,86,0,36,2,181,381
"Vancouver Centre/Vancouver-Centre"," 84A","Vancouver",2,3,6,74,106,0,26,0,217,355
"Vancouver Centre/Vancouver-Centre"," 84B","Vancouver",0,1,4,91,115,0,26,1,238,414
"Vancouver Centre/Vancouver-Centre"," 84C","Vancouver",0,1,8,62,108,0,29,0,208,373
"Vancouver Centre/Vancouver-Centre"," 85A","Vancouver",0,2,2,60,64,0,12,1,141,267
"Vancouver Centre/Vancouver-Centre"," 85B","Vancouver",0,1,2,59,57,0,14,0,133,272
"Vancouver Centre/Vancouver-Centre"," 86","Vancouver",2,1,15,50,104,0,42,1,215,484
"Vancouver Centre/Vancouver-Centre"," 87A","Vancouver",0,1,7,42,67,0,23,0,140,283
"Vancouver Centre/Vancouver-Centre"," 87B","Vancouver",0,0,8,22,53,0,18,0,101,243
"Vancouver Centre/Vancouver-Centre"," 88A","Vancouver",1,1,8,31,68,0,16,0,125,242
"Vancouver Centre/Vancouver-Centre"," 88B","Vancouver",0,0,11,48,92,0,33,0,184,297
"Vancouver Centre/Vancouver-Centre"," 89","Vancouver",1,1,11,26,95,0,44,0,178,365
"Vancouver Centre/Vancouver-Centre"," 90A","Vancouver",0,2,10,50,129,1,42,1,235,440
"Vancouver Centre/Vancouver-Centre"," 90B","Vancouver",0,1,4,55,112,2,44,0,218,424
"Vancouver Centre/Vancouver-Centre"," 91","Vancouver",0,1,12,34,86,0,39,3,175,376
"Vancouver Centre/Vancouver-Centre"," 92A","Vancouver",2,1,6,46,85,0,44,0,184,374
"Vancouver Centre/Vancouver-Centre"," 92B","Vancouver",0,3,11,35,84,2,45,1,181,352
"Vancouver Centre/Vancouver-Centre"," 93A","Vancouver",0,3,7,35,70,0,21,0,136,272
"Vancouver Centre/Vancouver-Centre"," 93B","Vancouver",0,0,4,44,76,0,15,1,140,285
"Vancouver Centre/Vancouver-Centre"," 94A","Vancouver",0,2,8,52,92,0,21,0,175,338
"Vancouver Centre/Vancouver-Centre"," 94B","Vancouver",2,1,15,49,101,0,30,0,198,351
"Vancouver Centre/Vancouver-Centre"," 94C","Vancouver",0,1,5,54,77,0,25,0,162,353
"Vancouver Centre/Vancouver-Centre"," 95","Vancouver",0,0,3,48,60,1,27,0,139,280
"Vancouver Centre/Vancouver-Centre"," 96","Vancouver",1,0,16,48,129,0,85,2,281,493
"Vancouver Centre/Vancouver-Centre"," 97","Vancouver",1,0,14,28,91,1,85,0,220,375
"Vancouver Centre/Vancouver-Centre"," 98","Vancouver",0,1,6,24,49,0,53,2,135,257
"Vancouver Centre/Vancouver-Centre"," 99","Vancouver",0,1,24,29,120,0,87,1,262,456
"Vancouver Centre/Vancouver-Centre"," 100","Vancouver",0,3,17,55,90,0,85,0,250,506
"Vancouver Centre/Vancouver-Centre"," 101A","Vancouver",2,0,8,33,85,0,40,0,168,339
"Vancouver Centre/Vancouver-Centre"," 101B","Vancouver",1,0,7,36,89,0,43,0,176,358
"Vancouver Centre/Vancouver-Centre"," 102A","Vancouver",0,0,4,21,49,0,28,0,102,320
"Vancouver Centre/Vancouver-Centre"," 102B","Vancouver",0,7,4,28,66,0,29,0,134,364
"Vancouver Centre/Vancouver-Centre"," 103A","Vancouver",3,0,8,47,54,1,35,0,148,371
"Vancouver Centre/Vancouver-Centre"," 103B","Vancouver",2,1,5,46,65,0,31,0,150,411
"Vancouver Centre/Vancouver-Centre"," 104A","Vancouver",4,1,9,44,83,0,34,0,175,316
"Vancouver Centre/Vancouver-Centre"," 104B","Vancouver",1,1,11,44,114,0,37,0,208,406
"Vancouver Centre/Vancouver-Centre"," 105","Vancouver",2,2,20,59,128,4,50,1,266,512
"Vancouver Centre/Vancouver-Centre"," 106","Vancouver",2,3,15,61,118,0,58,0,257,495
"Vancouver Centre/Vancouver-Centre"," 107","Vancouver",0,2,4,37,98,1,46,0,188,374
"Vancouver Centre/Vancouver-Centre"," 108","Vancouver",3,1,11,63,114,0,67,0,259,458
"Vancouver Centre/Vancouver-Centre"," 109A","Vancouver",1,0,10,31,47,2,20,0,111,267
"Vancouver Centre/Vancouver-Centre"," 109B","Vancouver",0,0,7,39,36,0,28,1,111,324
"Vancouver Centre/Vancouver-Centre"," 110","Vancouver",0,0,4,4,11,1,15,1,36,63
"Vancouver Centre/Vancouver-Centre"," 111A","Vancouver",0,2,10,41,74,0,32,0,159,334
"Vancouver Centre/Vancouver-Centre"," 111B","Vancouver",1,3,4,40,101,0,27,1,177,417
"Vancouver Centre/Vancouver-Centre"," 112","Vancouver",0,1,4,18,56,0,15,0,94,186
"Vancouver Centre/Vancouver-Centre"," 113","Vancouver",2,1,14,112,95,2,52,2,280,419
"Vancouver Centre/Vancouver-Centre"," 114","Vancouver",2,1,9,52,86,2,58,2,212,362
"Vancouver Centre/Vancouver-Centre"," 115","Vancouver",0,1,10,51,83,0,71,0,216,362
"Vancouver Centre/Vancouver-Centre"," 116","Vancouver",2,1,17,41,107,1,84,1,254,396
"Vancouver Centre/Vancouver-Centre"," 117","Vancouver",1,1,15,44,86,0,71,0,218,377
"Vancouver Centre/Vancouver-Centre"," 118","Vancouver",0,2,20,38,96,2,69,4,231,376
"Vancouver Centre/Vancouver-Centre"," 119","Vancouver",1,2,15,35,103,1,78,0,235,384
"Vancouver Centre/Vancouver-Centre"," 120","Vancouver",1,0,17,42,85,1,83,1,230,403
"Vancouver Centre/Vancouver-Centre"," 121","Vancouver",2,1,21,46,96,0,109,1,276,436
"Vancouver Centre/Vancouver-Centre"," 122","Vancouver",0,2,19,39,133,0,82,1,276,450
"Vancouver Centre/Vancouver-Centre"," 123","Vancouver",1,2,11,44,105,2,99,0,264,464
"Vancouver Centre/Vancouver-Centre"," 124","Vancouver",1,1,15,24,82,1,68,0,192,341
"Vancouver Centre/Vancouver-Centre"," 125","Vancouver",1,1,7,21,70,0,49,0,149,327
"Vancouver Centre/Vancouver-Centre"," 126","Vancouver",1,2,12,28,84,0,75,0,202,350
"Vancouver Centre/Vancouver-Centre"," 127","Vancouver",3,0,19,53,103,0,68,0,246,416
"Vancouver Centre/Vancouver-Centre"," 128","Vancouver",4,1,15,39,97,0,65,0,221,349
"Vancouver Centre/Vancouver-Centre"," 129","Vancouver",0,0,8,116,99,0,31,0,254,415
"Vancouver Centre/Vancouver-Centre"," 130","Vancouver",1,0,7,45,87,0,31,0,171,309
"Vancouver Centre/Vancouver-Centre"," 131","Vancouver",2,0,21,34,85,0,75,0,217,410
"Vancouver Centre/Vancouver-Centre"," 132A","Vancouver",0,0,5,49,71,0,27,0,152,277
"Vancouver Centre/Vancouver-Centre"," 132B","Vancouver",0,0,7,45,66,1,21,0,140,273
"Vancouver Centre/Vancouver-Centre"," 133A","Vancouver",1,1,13,60,97,0,27,0,199,339
"Vancouver Centre/Vancouver-Centre"," 133B","Vancouver",0,0,9,45,106,1,39,0,200,353
"Vancouver Centre/Vancouver-Centre"," 134A","Vancouver",1,0,11,45,96,2,56,0,211,354
"Vancouver Centre/Vancouver-Centre"," 134B","Vancouver",0,2,11,50,101,0,71,0,235,376
"Vancouver Centre/Vancouver-Centre"," 135A","Vancouver",0,1,10,36,71,3,58,0,179,311
"Vancouver Centre/Vancouver-Centre"," 135B","Vancouver",0,0,15,37,105,0,50,1,208,336
"Vancouver Centre/Vancouver-Centre"," 136","Vancouver",2,0,13,48,117,1,74,0,255,409
"Vancouver Centre/Vancouver-Centre"," 137","Vancouver",0,0,22,57,110,0,59,0,248,366
"Vancouver Centre/Vancouver-Centre"," 138","Vancouver",3,2,8,62,92,0,47,0,214,350
"Vancouver Centre/Vancouver-Centre"," 139","Vancouver",0,0,12,53,74,0,51,1,191,338
"Vancouver Centre/Vancouver-Centre"," 140","Vancouver",1,1,23,61,114,0,55,1,256,435
"Vancouver Centre/Vancouver-Centre"," 141","Vancouver",0,0,14,51,97,1,41,1,205,373
"Vancouver Centre/Vancouver-Centre"," 142","Vancouver",2,0,22,42,105,1,60,2,234,431
"Vancouver Centre/Vancouver-Centre"," 143","Vancouver",0,0,18,43,96,1,100,1,259,418
"Vancouver Centre/Vancouver-Centre"," 144","Vancouver",1,1,21,54,111,0,62,1,251,417
"Vancouver Centre/Vancouver-Centre"," 145A","Vancouver",1,1,4,35,69,2,42,1,155,294
"Vancouver Centre/Vancouver-Centre"," 145B","Vancouver",2,0,9,25,53,0,31,1,121,245
"Vancouver Centre/Vancouver-Centre"," 146","Vancouver",2,1,25,45,100,0,94,1,268,478
"Vancouver Centre/Vancouver-Centre"," 147","Vancouver",0,2,16,42,100,0,98,1,259,435
"Vancouver Centre/Vancouver-Centre"," 148","Vancouver",2,0,14,27,90,1,50,0,184,297
"Vancouver Centre/Vancouver-Centre"," 149","Vancouver",0,0,10,53,101,0,48,1,213,336
"Vancouver Centre/Vancouver-Centre"," 150","Vancouver",1,1,11,33,110,2,69,0,227,392
"Vancouver Centre/Vancouver-Centre"," 151","Vancouver",4,2,18,42,124,1,108,0,299,521
"Vancouver Centre/Vancouver-Centre"," 152A","Vancouver",1,0,16,34,76,1,57,1,186,311
"Vancouver Centre/Vancouver-Centre"," 152B","Vancouver",2,0,14,18,47,0,54,0,135,245
"Vancouver Centre/Vancouver-Centre"," 153","Vancouver",1,3,26,37,90,0,115,0,272,437
"Vancouver Centre/Vancouver-Centre"," 154","Vancouver",1,4,25,38,112,0,93,2,275,461
"Vancouver Centre/Vancouver-Centre"," 155","Vancouver",1,0,18,68,140,2,102,0,331,517
"Vancouver Centre/Vancouver-Centre"," 156","Vancouver",0,4,22,83,142,1,98,2,352,569
"Vancouver Centre/Vancouver-Centre"," 157","Vancouver",1,1,20,51,123,0,80,1,277,498
"Vancouver Centre/Vancouver-Centre"," 158","Vancouver",4,1,35,35,100,0,115,0,290,470
"Vancouver Centre/Vancouver-Centre"," 159","Vancouver",1,1,19,44,110,0,79,1,255,477
"Vancouver Centre/Vancouver-Centre"," 160A","Vancouver",2,3,23,35,112,0,72,1,248,459
"Vancouver Centre/Vancouver-Centre"," 160B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,17
"Vancouver Centre/Vancouver-Centre"," 161","Vancouver",1,2,15,70,81,0,128,1,298,445
"Vancouver Centre/Vancouver-Centre"," 162A","Vancouver",0,0,14,41,98,1,109,0,263,415
"Vancouver Centre/Vancouver-Centre"," 162B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,24
"Vancouver Centre/Vancouver-Centre"," 163","Vancouver",0,0,26,50,79,1,135,0,291,410
"Vancouver Centre/Vancouver-Centre"," 164","Vancouver",3,0,17,42,86,2,107,0,257,377
"Vancouver Centre/Vancouver-Centre"," 165","Vancouver",1,0,11,54,79,0,54,0,199,358
"Vancouver Centre/Vancouver-Centre"," 166","Vancouver",1,0,8,53,95,0,35,0,192,344
"Vancouver Centre/Vancouver-Centre"," 167","Vancouver",0,2,14,38,77,1,73,0,205,373
"Vancouver Centre/Vancouver-Centre"," 168","Vancouver",0,2,10,63,82,0,60,1,218,404
"Vancouver Centre/Vancouver-Centre"," 169A","Vancouver",1,2,14,45,77,0,39,0,178,319
"Vancouver Centre/Vancouver-Centre"," 169B","Vancouver",0,0,13,53,92,1,41,1,201,361
"Vancouver Centre/Vancouver-Centre"," 170","Vancouver",0,0,13,44,95,0,80,0,232,376
"Vancouver Centre/Vancouver-Centre"," 171","Vancouver",0,0,25,46,113,0,66,1,251,397
"Vancouver Centre/Vancouver-Centre"," 172","Vancouver",3,2,16,58,83,1,60,1,224,408
"Vancouver Centre/Vancouver-Centre"," 173","Vancouver",2,1,11,56,112,1,54,0,237,361
"Vancouver Centre/Vancouver-Centre"," 174","Vancouver",2,1,8,66,139,0,55,0,271,487
"Vancouver Centre/Vancouver-Centre"," 175A","Vancouver",0,0,7,19,78,0,24,0,128,225
"Vancouver Centre/Vancouver-Centre"," 175B","Vancouver",0,0,10,38,86,0,30,0,164,269
"Vancouver Centre/Vancouver-Centre"," 176","Vancouver",2,0,8,57,117,1,50,0,235,411
"Vancouver Centre/Vancouver-Centre"," 177","Vancouver",1,0,15,50,84,0,74,0,224,418
"Vancouver Centre/Vancouver-Centre"," 178","Vancouver",2,2,14,57,89,0,92,0,256,458
"Vancouver Centre/Vancouver-Centre"," 179","Vancouver",0,1,8,33,114,1,79,2,238,415
"Vancouver Centre/Vancouver-Centre"," 180A","Vancouver",2,3,15,30,60,0,41,0,151,267
"Vancouver Centre/Vancouver-Centre"," 180B","Vancouver",1,0,12,28,68,1,41,2,153,263
"Vancouver Centre/Vancouver-Centre"," 181","Vancouver",1,2,9,38,106,1,78,2,237,392
"Vancouver Centre/Vancouver-Centre"," 182A","Vancouver",1,0,11,44,77,0,71,0,204,303
"Vancouver Centre/Vancouver-Centre"," 182B","Vancouver",0,1,9,32,80,0,48,2,172,295
"Vancouver Centre/Vancouver-Centre"," 183A","Vancouver",0,2,4,21,65,0,34,1,127,256
"Vancouver Centre/Vancouver-Centre"," 183B","Vancouver",0,1,9,40,48,0,35,4,137,321
"Vancouver Centre/Vancouver-Centre"," 184","Vancouver",3,2,17,63,116,1,68,1,271,508
"Vancouver Centre/Vancouver-Centre"," 185","Vancouver",3,1,11,72,111,2,67,1,268,474
"Vancouver Centre/Vancouver-Centre"," 186A","Vancouver",3,4,7,46,77,2,49,0,188,369
"Vancouver Centre/Vancouver-Centre"," 186B","Vancouver",3,2,7,39,69,0,57,1,178,318
"Vancouver Centre/Vancouver-Centre"," 187","Vancouver",0,2,14,30,72,0,64,1,183,380
"Vancouver Centre/Vancouver-Centre"," 188","Vancouver",0,5,11,42,90,0,110,0,258,449
"Vancouver Centre/Vancouver-Centre"," 189","Vancouver",0,0,20,23,62,1,89,1,196,330
"Vancouver Centre/Vancouver-Centre"," 190","Vancouver",1,0,17,22,66,0,80,0,186,300
"Vancouver Centre/Vancouver-Centre"," 191","Vancouver",0,0,1,4,12,0,12,0,29,61
"Vancouver Centre/Vancouver-Centre"," 192","Vancouver",0,0,2,1,18,0,6,0,27,38
"Vancouver Centre/Vancouver-Centre"," 193","Vancouver",0,1,20,21,112,0,88,0,242,375
"Vancouver Centre/Vancouver-Centre"," 194","Vancouver",1,1,10,10,45,0,58,1,126,244
"Vancouver Centre/Vancouver-Centre"," 195","Vancouver",3,2,17,33,87,0,79,1,222,422
"Vancouver Centre/Vancouver-Centre"," 196","Vancouver",0,0,12,16,63,1,59,1,152,255
"Vancouver Centre/Vancouver-Centre"," 197","Vancouver",0,0,7,24,53,2,47,0,133,212
"Vancouver Centre/Vancouver-Centre"," 400","Vancouver",0,0,4,38,66,0,16,0,124,228
"Vancouver Centre/Vancouver-Centre"," 401","Mobile poll/Bureau itinérant",3,3,3,25,20,0,24,0,78,135
"Vancouver Centre/Vancouver-Centre"," 402","Mobile poll/Bureau itinérant",Merged with No. 401/Fusionné avec le nº 401,,,,,,,,,100
"Vancouver Centre/Vancouver-Centre"," 403","Vancouver",0,3,7,29,77,1,29,0,146,257
"Vancouver Centre/Vancouver-Centre"," 500","Mobile poll/Bureau itinérant",0,1,5,20,39,0,35,4,104,191
"Vancouver Centre/Vancouver-Centre"," 501","Mobile poll/Bureau itinérant",2,3,1,16,16,1,28,1,68,204
"Vancouver Centre/Vancouver-Centre"," 502","Mobile poll/Bureau itinérant",0,2,4,38,41,0,30,1,116,192
"Vancouver Centre/Vancouver-Centre"," 503","Mobile poll/Bureau itinérant",0,3,0,16,12,0,30,2,63,85
"Vancouver Centre/Vancouver-Centre"," 600","Vancouver",4,2,50,219,414,1,283,2,975,
"Vancouver Centre/Vancouver-Centre"," 601","Vancouver",3,1,39,158,316,4,206,7,734,
"Vancouver Centre/Vancouver-Centre"," 602","Vancouver",3,2,31,147,339,2,324,1,849,
"Vancouver Centre/Vancouver-Centre"," 603","Vancouver",3,4,21,110,250,0,159,1,548,
"Vancouver Centre/Vancouver-Centre"," 604","Vancouver",2,4,19,202,368,1,139,1,736,
"Vancouver Centre/Vancouver-Centre"," 605","Vancouver",1,0,27,94,212,0,98,0,432,
"Vancouver Centre/Vancouver-Centre"," 606","Vancouver",0,1,20,151,201,1,170,1,545,
"Vancouver Centre/Vancouver-Centre"," 607","Vancouver",3,1,59,208,373,0,228,0,872,
"Vancouver Centre/Vancouver-Centre"," 608","Vancouver",0,1,33,212,300,1,211,2,760,
"Vancouver Centre/Vancouver-Centre"," 609","Vancouver",0,0,10,47,115,1,87,1,261,
"Vancouver Centre/Vancouver-Centre",,Group 1/Groupe 1,2,2,6,41,99,1,71,1,223,303
