Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Bell,Jim Comiskey,Kathleen Kevany,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 87","Chatham",2,56,54,66,1,179,367
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 88","Chatham",7,70,62,99,0,238,374
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 89","Chatham",2,108,38,119,2,269,400
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 90","Chatham",10,100,37,108,0,255,452
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 91","Chatham",10,95,65,112,0,282,498
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 92","Chatham",7,81,38,108,0,234,335
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 93","Chatham",7,76,62,63,2,210,376
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 94","Chatham",1,39,39,46,1,126,259
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 95","Chatham",4,136,45,141,2,328,545
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 96","Chatham",6,67,34,69,1,177,331
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 97","Chatham",4,95,51,94,0,244,408
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 98","Chatham",4,35,39,71,1,150,321
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 99","Chatham",7,116,63,122,2,310,480
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 100","Chatham",8,77,70,122,1,278,502
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 101","Chatham",11,65,44,73,1,194,311
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 102","Chatham",5,57,49,91,1,203,325
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 103","Chatham",8,40,52,57,0,157,320
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 104","Chatham",6,77,45,83,0,211,370
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 105","Chatham",10,71,52,83,0,216,407
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 106","Chatham",7,66,47,71,0,191,362
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 107","Chatham",4,50,66,59,0,179,308
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 108","Chatham",5,69,55,82,1,212,347
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 109","Chatham",3,86,36,67,0,192,288
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 110","Chatham",4,74,56,86,3,223,343
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 111","Chatham",8,65,61,64,0,198,348
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 112","Chatham",10,103,79,89,0,281,438
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 113","Chatham",11,94,52,100,0,257,460
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 114","Chatham",15,114,62,75,1,267,392
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 115","Chatham",4,32,23,42,1,102,240
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 116","Chatham",3,63,19,67,0,152,192
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 117","Chatham",12,97,51,76,2,238,359
