Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Raymond Amos,John Carty,Philip Duchastel,Pat Lynch,Andy Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fredericton/Fredericton"," 49B","Fredericton",1,50,1,76,48,0,176,259
"Fredericton/Fredericton"," 50","Fredericton",0,29,1,57,74,0,161,244
"Fredericton/Fredericton"," 51A","Fredericton",0,32,2,40,72,1,147,250
"Fredericton/Fredericton"," 51B","Fredericton",1,29,1,54,69,1,155,255
"Fredericton/Fredericton"," 52A","Fredericton",1,50,4,79,126,1,261,457
"Fredericton/Fredericton"," 52B","Mobile poll/Bureau itinérant",0,9,0,54,39,0,102,102
"Fredericton/Fredericton"," 53","Fredericton",0,65,7,75,127,1,275,455
"Fredericton/Fredericton"," 54A","Fredericton",0,26,2,49,54,0,131,245
"Fredericton/Fredericton"," 54B","Fredericton",0,32,1,47,46,2,128,244
"Fredericton/Fredericton"," 55","Fredericton",0,63,4,75,138,1,281,467
"Fredericton/Fredericton"," 56A","Fredericton",0,36,3,50,94,0,183,293
"Fredericton/Fredericton"," 56B","Fredericton",0,38,5,43,79,0,165,279
"Fredericton/Fredericton"," 57A","Fredericton",0,95,8,50,76,0,229,447
"Fredericton/Fredericton"," 57B","Mobile poll/Bureau itinérant",0,13,1,32,36,0,82,93
"Fredericton/Fredericton"," 58A","Fredericton",0,57,10,25,65,2,159,330
"Fredericton/Fredericton"," 58B","Fredericton",2,62,4,26,84,0,178,340
"Fredericton/Fredericton"," 59","Fredericton",1,84,5,16,80,0,186,365
"Fredericton/Fredericton"," 60","Fredericton",0,95,6,33,84,0,218,429
"Fredericton/Fredericton"," 61A","Fredericton",1,97,5,56,115,1,275,507
"Fredericton/Fredericton"," 61B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,19
"Fredericton/Fredericton"," 62","Fredericton",1,54,10,53,101,0,219,355
"Fredericton/Fredericton"," 63","Fredericton",0,85,8,28,68,0,189,382
"Fredericton/Fredericton"," 64A","Fredericton",0,48,4,36,85,0,173,270
"Fredericton/Fredericton"," 64B","Fredericton",0,60,3,31,78,2,174,272
"Fredericton/Fredericton"," 65A","Fredericton",1,84,13,45,79,0,222,417
"Fredericton/Fredericton"," 65B","Mobile poll/Bureau itinérant",2,26,1,26,28,0,83,83
"Fredericton/Fredericton"," 66","Fredericton",1,89,12,63,125,2,292,494
"Fredericton/Fredericton"," 67","Fredericton",0,85,3,36,96,0,220,358
"Fredericton/Fredericton"," 68A","Fredericton",0,71,5,46,90,0,212,384
"Fredericton/Fredericton"," 68B","Mobile poll/Bureau itinérant",Merged with No. 57B/Fusionné avec le nº 57B,,,,,,,14
"Fredericton/Fredericton"," 69","Fredericton",1,51,4,72,101,1,230,360
"Fredericton/Fredericton"," 70","Fredericton",0,39,4,34,80,1,158,300
"Fredericton/Fredericton"," 71A","Fredericton",0,49,9,41,70,0,169,336
"Fredericton/Fredericton"," 71B","Fredericton",0,47,8,31,90,2,178,318
"Fredericton/Fredericton"," 72","Fredericton",2,146,18,74,181,6,427,625
"Fredericton/Fredericton"," 73","Fredericton",2,111,8,47,125,2,295,448
"Fredericton/Fredericton"," 74","Fredericton",1,81,8,90,127,2,309,530
"Fredericton/Fredericton"," 75","Fredericton",0,27,2,36,77,0,142,293
"Fredericton/Fredericton"," 76","Fredericton",0,35,5,63,80,3,186,290
"Fredericton/Fredericton"," 77","Fredericton",0,66,6,77,141,0,290,430
"Fredericton/Fredericton"," 78","Fredericton",0,59,2,85,75,0,221,345
"Fredericton/Fredericton"," 79","Fredericton",0,47,0,40,77,0,164,370
"Fredericton/Fredericton"," 80A","Fredericton",0,42,3,28,38,0,111,248
"Fredericton/Fredericton"," 80B","Mobile poll/Bureau itinérant",Merged with No. 65B/Fusionné avec le nº 65B,,,,,,,15
"Fredericton/Fredericton"," 80C","Mobile poll/Bureau itinérant",Merged with No. 65B/Fusionné avec le nº 65B,,,,,,,16
"Fredericton/Fredericton"," 81","Fredericton",2,50,1,37,70,1,161,327
"Fredericton/Fredericton"," 82A","Fredericton",2,81,5,70,127,0,285,456
"Fredericton/Fredericton"," 82B","Mobile poll/Bureau itinérant",Merged with No. 52B/Fusionné avec le nº 52B,,,,,,,48
"Fredericton/Fredericton"," 83","Fredericton",0,53,6,89,172,1,321,487
"Fredericton/Fredericton"," 84","Fredericton",0,50,3,70,97,0,220,340
"Fredericton/Fredericton"," 85","Fredericton",0,31,1,53,80,1,166,275
"Fredericton/Fredericton"," 86","Fredericton",0,55,3,77,102,0,237,351
"Fredericton/Fredericton"," 87","Fredericton",1,57,5,65,81,3,212,406
"Fredericton/Fredericton"," 88","Fredericton",0,54,6,37,66,0,163,358
"Fredericton/Fredericton"," 89","Fredericton",2,55,6,49,83,1,196,354
"Fredericton/Fredericton"," 90","Fredericton",1,51,2,70,130,0,254,448
"Fredericton/Fredericton"," 91","Fredericton",1,48,6,105,156,0,316,489
"Fredericton/Fredericton"," 92","Fredericton",1,52,6,64,132,0,255,442
"Fredericton/Fredericton"," 93","Fredericton",0,32,10,57,87,2,188,286
"Fredericton/Fredericton"," 94","Fredericton",2,42,8,60,102,0,214,378
"Fredericton/Fredericton"," 95A","Fredericton",0,34,3,38,106,0,181,268
"Fredericton/Fredericton"," 95B","Fredericton",0,31,4,59,94,0,188,275
"Fredericton/Fredericton"," 96A","Fredericton",0,40,11,65,93,1,210,299
"Fredericton/Fredericton"," 96B","Fredericton",0,44,7,57,84,1,193,299
"Fredericton/Fredericton"," 97A","Fredericton",1,39,5,46,80,1,172,257
"Fredericton/Fredericton"," 97B","Fredericton",2,27,2,44,62,0,137,248
"Fredericton/Fredericton"," 98","Fredericton",1,61,5,56,72,2,197,379
"Fredericton/Fredericton"," 99","Fredericton",2,64,7,38,96,1,208,429
"Fredericton/Fredericton"," 100A","Fredericton",0,29,3,44,52,0,128,254
"Fredericton/Fredericton"," 100B","Fredericton",0,24,0,41,65,1,131,229
"Fredericton/Fredericton"," 101A","New Maryland",1,40,2,78,110,1,232,321
"Fredericton/Fredericton"," 101B","New Maryland",0,37,5,84,84,0,210,303
"Fredericton/Fredericton"," 102","New Maryland",0,54,6,92,144,1,297,428
"Fredericton/Fredericton"," 103A","New Maryland",1,29,1,48,75,0,154,247
"Fredericton/Fredericton"," 103B","New Maryland",1,31,1,54,87,0,174,238
"Fredericton/Fredericton"," 104","New Maryland",0,49,3,93,85,0,230,343
"Fredericton/Fredericton"," 105A","New Maryland",0,31,3,69,105,0,208,302
"Fredericton/Fredericton"," 105B","New Maryland",0,45,3,76,90,0,214,286
"Fredericton/Fredericton"," 106","New Maryland",0,44,7,96,104,0,251,357
"Fredericton/Fredericton"," 107","New Maryland",1,69,4,88,112,0,274,407
"Fredericton/Fredericton"," 108A","Maugerville",1,46,6,95,69,0,217,326
"Fredericton/Fredericton"," 108B","Maugerville",0,67,5,93,56,0,221,313
"Fredericton/Fredericton"," 108-1A","St. Marys",0,41,0,102,95,2,240,373
"Fredericton/Fredericton"," 108-1B","St. Marys",0,49,11,88,73,0,221,376
"Fredericton/Fredericton"," 108-1C","St. Marys",0,53,3,90,80,0,226,369
"Fredericton/Fredericton"," 109","Northfield",3,38,2,49,55,1,148,309
"Fredericton/Fredericton"," 110","Chipman",1,29,1,67,27,0,125,272
"Fredericton/Fredericton"," 111","Chipman",2,29,3,50,55,0,139,309
"Fredericton/Fredericton"," 112A","Chipman",3,38,0,60,71,0,172,364
"Fredericton/Fredericton"," 112B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,12
"Fredericton/Fredericton"," 113","Chipman",2,29,1,57,47,1,137,292
"Fredericton/Fredericton"," 114A","Chipman",0,23,0,42,48,0,113,242
"Fredericton/Fredericton"," 114B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,10
"Fredericton/Fredericton"," 115","Chipman",1,26,3,59,24,2,115,245
"Fredericton/Fredericton"," 116","Chipman",2,24,3,48,43,0,120,259
"Fredericton/Fredericton"," 117","Minto",1,46,1,60,57,1,166,318
"Fredericton/Fredericton"," 118","Minto",3,34,4,63,57,1,162,288
"Fredericton/Fredericton"," 119","Minto",2,31,2,45,47,0,127,262
"Fredericton/Fredericton"," 120","Minto",0,57,7,54,70,2,190,392
"Fredericton/Fredericton"," 121","Minto",0,41,1,53,66,0,161,300
"Fredericton/Fredericton"," 122A","Minto",0,34,1,22,47,1,105,256
"Fredericton/Fredericton"," 122B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,10
"Fredericton/Fredericton"," 122C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,8
"Fredericton/Fredericton"," 123","Minto",1,35,3,55,55,0,149,332
"Fredericton/Fredericton"," 124","Northfield",1,34,5,74,60,0,174,279
"Fredericton/Fredericton"," 125","Newcastle Creek",1,40,1,56,55,0,153,460
"Fredericton/Fredericton"," 126A","Douglas Harbour",2,40,5,86,101,2,236,333
"Fredericton/Fredericton"," 126B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,7
"Fredericton/Fredericton"," 127","Sheffield",5,61,8,181,98,0,353,415
"Fredericton/Fredericton"," 128A","Sheffield",0,27,5,55,56,0,143,229
"Fredericton/Fredericton"," 128B","Sheffield",Merged with No. 127/Fusionné avec le nº 127,,,,,,,127
"Fredericton/Fredericton"," 129A","Maugerville",3,47,1,82,73,2,208,310
"Fredericton/Fredericton"," 129B","Maugerville",2,50,5,93,57,0,207,315
"Fredericton/Fredericton"," 130A","Lincoln",2,56,2,69,80,0,209,322
"Fredericton/Fredericton"," 130B","Lincoln",2,42,5,69,86,2,206,319
"Fredericton/Fredericton"," 131","Lincoln",0,45,6,78,74,0,203,383
"Fredericton/Fredericton"," 132","Lincoln",2,43,2,70,65,0,182,312
"Fredericton/Fredericton"," 133","Lincoln",1,45,4,85,73,0,208,358
"Fredericton/Fredericton"," 134A","Lower Lincoln",0,40,5,68,70,1,184,329
"Fredericton/Fredericton"," 134B","Lower Lincoln",0,44,4,77,71,2,198,332
"Fredericton/Fredericton"," 135A","Waasis",1,36,6,43,41,1,128,256
"Fredericton/Fredericton"," 135B","Waasis",1,42,6,49,47,0,145,273
"Fredericton/Fredericton"," 136","Lincoln",1,51,3,37,59,0,151,310
"Fredericton/Fredericton"," 137","Rusagonis",2,30,5,73,74,0,184,273
"Fredericton/Fredericton"," 138","Rusagonis",0,48,4,123,51,0,226,363
"Fredericton/Fredericton"," 139A","Rusagonis",0,31,0,63,48,2,144,263
"Fredericton/Fredericton"," 139B","Rusagonis",1,26,4,57,51,1,140,271
"Fredericton/Fredericton"," 140A","Waterville",0,24,2,57,57,2,142,244
"Fredericton/Fredericton"," 140B","Waterville",2,15,5,65,53,0,140,244
"Fredericton/Fredericton"," 141A","French Lake",1,22,2,70,58,2,155,250
"Fredericton/Fredericton"," 141B","French Lake",1,23,1,80,41,3,149,230
"Fredericton/Fredericton"," 142","Geary",0,42,3,74,100,1,220,343
"Fredericton/Fredericton"," 143","Geary",1,46,6,82,83,3,221,366
"Fredericton/Fredericton"," 144A","Geary",1,27,4,74,52,0,158,260
"Fredericton/Fredericton"," 144B","Geary",0,25,6,73,53,1,158,265
"Fredericton/Fredericton"," 145A","Burton",1,47,2,65,65,1,181,297
"Fredericton/Fredericton"," 145B","Burton",0,38,5,51,70,1,165,293
"Fredericton/Fredericton"," 146","Burton",0,29,5,73,68,0,175,302
"Fredericton/Fredericton"," 146-1A","Burton",1,30,4,86,52,1,174,283
"Fredericton/Fredericton"," 146-1B","Mobile poll/Bureau itinérant",Merged with No. 44B/Fusionné avec le nº 44B,,,,,,,14
"Fredericton/Fredericton"," 147A","Burpees Corner",1,39,5,72,55,2,174,268
"Fredericton/Fredericton"," 147B","Burpees Corner",2,30,10,76,49,0,167,267
"Fredericton/Fredericton"," 148","Oromocto",0,31,1,72,92,1,197,365
"Fredericton/Fredericton"," 149","Oromocto",1,39,1,102,103,1,247,401
"Fredericton/Fredericton"," 150","Oromocto",0,50,4,89,105,1,249,440
"Fredericton/Fredericton"," 151A","Oromocto",2,32,2,52,65,2,155,283
"Fredericton/Fredericton"," 151B","Oromocto",0,34,3,49,74,0,160,271
"Fredericton/Fredericton"," 152A","Oromocto",1,27,2,50,87,0,167,284
"Fredericton/Fredericton"," 152B","Oromocto",1,35,0,74,75,1,186,296
"Fredericton/Fredericton"," 153","Oromocto",2,26,1,76,76,1,182,369
"Fredericton/Fredericton"," 154","Oromocto",4,46,2,66,46,1,165,420
"Fredericton/Fredericton"," 155","Oromocto",2,26,3,35,33,1,100,279
"Fredericton/Fredericton"," 156","Oromocto",2,26,2,81,87,0,198,412
"Fredericton/Fredericton"," 157","Oromocto",1,16,5,39,105,0,166,376
"Fredericton/Fredericton"," 158","Oromocto",2,22,5,62,75,2,168,385
"Fredericton/Fredericton"," 159","Oromocto",1,19,4,30,18,0,72,230
"Fredericton/Fredericton"," 160","Oromocto",1,12,4,23,34,1,75,294
"Fredericton/Fredericton"," 161A","Oromocto",0,12,2,43,33,1,91,275
"Fredericton/Fredericton"," 161B","Oromocto",0,14,0,27,42,3,86,260
"Fredericton/Fredericton"," 400","Mobile poll/Bureau itinérant",1,10,1,55,59,0,126,158
"Fredericton/Fredericton"," 500","Mobile poll/Bureau itinérant",2,12,1,25,28,3,71,73
"Fredericton/Fredericton"," 501","Mobile poll/Bureau itinérant",0,8,1,23,24,4,60,59
"Fredericton/Fredericton"," 600","Fredericton",3,119,15,459,494,0,1090,
"Fredericton/Fredericton"," 601","Fredericton",2,47,2,117,117,0,285,
"Fredericton/Fredericton"," 602","Fredericton",1,190,19,352,507,3,1072,
"Fredericton/Fredericton"," 603","Fredericton",0,94,14,234,296,1,639,
"Fredericton/Fredericton"," 604","Fredericton",0,42,6,147,110,3,308,
"Fredericton/Fredericton"," 605","Fredericton",0,22,1,131,123,0,277,
"Fredericton/Fredericton"," 606","Oromocto",0,58,6,277,245,5,591,
"Fredericton/Fredericton"," 607","Chipman",4,63,9,208,231,14,529,
"Fredericton/Fredericton"," 608","Minto",3,96,8,281,301,15,704,
"Fredericton/Fredericton",,Group 1/Groupe 1,3,22,14,179,124,1,343,1222
"Fredericton/Fredericton",,Group 2/Groupe 2,4,226,21,653,850,5,1759,
