Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patty Donovan,Eldon Hunter,Rob Moir,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fundy Royal/Fundy Royal"," 93A","Norton",6,32,31,62,1,132,251
"Fundy Royal/Fundy Royal"," 93B","Norton",7,34,28,72,1,142,286
"Fundy Royal/Fundy Royal"," 94","Central Norton",10,78,56,114,0,258,434
"Fundy Royal/Fundy Royal"," 95","Bloomfield",7,60,75,101,3,246,460
"Fundy Royal/Fundy Royal"," 96","Salt Springs",4,40,67,161,1,273,471
"Fundy Royal/Fundy Royal"," 97A","Upham",4,36,47,67,0,154,271
"Fundy Royal/Fundy Royal"," 97B","Upham",3,24,43,74,0,144,254
"Fundy Royal/Fundy Royal"," 98A","Hampton",4,42,52,76,2,176,318
"Fundy Royal/Fundy Royal"," 98B","Hampton",2,47,50,73,1,173,313
"Fundy Royal/Fundy Royal"," 99","Hampton",7,33,37,93,0,170,347
"Fundy Royal/Fundy Royal"," 100A","Hampton",3,33,36,57,1,130,220
"Fundy Royal/Fundy Royal"," 100B","Hampton",3,36,35,52,1,127,217
"Fundy Royal/Fundy Royal"," 101","Hampton",2,30,39,72,0,143,228
"Fundy Royal/Fundy Royal"," 102","Hampton",12,52,60,91,1,216,413
"Fundy Royal/Fundy Royal"," 103A","Hampton",4,48,34,72,2,160,272
"Fundy Royal/Fundy Royal"," 103B","Hampton",0,19,36,71,0,126,255
"Fundy Royal/Fundy Royal"," 104","Hampton",7,72,69,105,0,253,406
"Fundy Royal/Fundy Royal"," 105","Hampton",9,73,67,92,0,241,411
"Fundy Royal/Fundy Royal"," 106","Hampton",6,42,63,87,1,199,369
"Fundy Royal/Fundy Royal"," 107A","Darlings Island",6,48,43,65,1,163,235
"Fundy Royal/Fundy Royal"," 107B","Darlings Island",2,32,47,63,1,145,208
"Fundy Royal/Fundy Royal"," 108","Nauwigewauk",10,45,38,85,0,178,318
"Fundy Royal/Fundy Royal"," 109","Nauwigewauk",14,57,71,123,5,270,446
"Fundy Royal/Fundy Royal"," 110","French Village",4,33,44,57,1,139,297
"Fundy Royal/Fundy Royal"," 111","Upper Golden Grove",5,56,58,92,2,213,446
"Fundy Royal/Fundy Royal"," 112A","Lower Norton",7,62,35,76,2,182,266
"Fundy Royal/Fundy Royal"," 112B","Lower Norton",11,41,37,74,2,165,233
"Fundy Royal/Fundy Royal"," 113","Kingston",3,60,44,92,1,200,319
"Fundy Royal/Fundy Royal"," 114A","Kingston",10,42,62,72,0,186,288
"Fundy Royal/Fundy Royal"," 114B","Kingston",2,38,58,86,2,186,292
"Fundy Royal/Fundy Royal"," 115","Clifton Royal",7,41,75,107,1,231,395
"Fundy Royal/Fundy Royal"," 116","Long Reach",12,54,42,79,2,189,302
"Fundy Royal/Fundy Royal"," 117A","Summerville",5,48,48,63,0,164,277
"Fundy Royal/Fundy Royal"," 117B","Summerville",0,42,49,77,0,168,280
"Fundy Royal/Fundy Royal"," 118","Bayswater",6,58,89,115,0,268,399
"Fundy Royal/Fundy Royal"," 119A","Quispamsis",1,46,37,43,3,130,235
"Fundy Royal/Fundy Royal"," 119B","Quispamsis",0,52,39,56,4,151,272
"Fundy Royal/Fundy Royal"," 120A","Quispamsis",4,35,25,48,0,112,227
"Fundy Royal/Fundy Royal"," 120B","Quispamsis",2,44,34,64,1,145,236
"Fundy Royal/Fundy Royal"," 121A","Quispamsis",4,55,28,62,0,149,275
"Fundy Royal/Fundy Royal"," 121B","Quispamsis",0,41,38,63,1,143,253
"Fundy Royal/Fundy Royal"," 122A","Quispamsis",6,56,39,83,0,184,339
