Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Bertrand,Jean-Pierre Blackburn,Sylvain Dompierre,Sébastien Gagnon,Gilles Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Jonquière--Alma/Jonquière--Alma"," 43","Alma",18,73,6,147,6,2,252,373
"Jonquière--Alma/Jonquière--Alma"," 44","Alma",9,43,5,87,2,5,151,301
"Jonquière--Alma/Jonquière--Alma"," 45","Alma",8,36,5,76,12,5,142,332
"Jonquière--Alma/Jonquière--Alma"," 46","Alma",7,83,1,102,4,2,199,323
"Jonquière--Alma/Jonquière--Alma"," 47A","Alma",9,106,2,72,5,2,196,351
"Jonquière--Alma/Jonquière--Alma"," 47B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,84
"Jonquière--Alma/Jonquière--Alma"," 48","Alma",8,73,3,88,4,2,178,308
"Jonquière--Alma/Jonquière--Alma"," 49","Alma",11,72,0,73,6,1,163,290
"Jonquière--Alma/Jonquière--Alma"," 50","Alma",7,81,6,96,1,0,191,322
"Jonquière--Alma/Jonquière--Alma"," 51","Alma",9,131,2,131,5,4,282,434
"Jonquière--Alma/Jonquière--Alma"," 52","Alma",7,90,4,117,3,3,224,344
"Jonquière--Alma/Jonquière--Alma"," 53","Alma",5,81,3,100,2,1,192,334
"Jonquière--Alma/Jonquière--Alma"," 54","Alma",4,68,3,72,7,2,156,279
"Jonquière--Alma/Jonquière--Alma"," 55","Alma",2,81,5,82,8,3,181,383
"Jonquière--Alma/Jonquière--Alma"," 56","Alma",8,83,5,101,10,1,208,393
"Jonquière--Alma/Jonquière--Alma"," 57","Alma",9,88,4,112,4,3,220,368
"Jonquière--Alma/Jonquière--Alma"," 58","Alma",7,78,3,85,6,0,179,334
"Jonquière--Alma/Jonquière--Alma"," 59","Alma",15,81,1,114,9,0,220,339
"Jonquière--Alma/Jonquière--Alma"," 60A","Alma",9,69,2,112,3,2,197,314
"Jonquière--Alma/Jonquière--Alma"," 60B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,12
"Jonquière--Alma/Jonquière--Alma"," 61","Alma",8,79,4,105,2,1,199,362
"Jonquière--Alma/Jonquière--Alma"," 62","Alma",6,105,6,99,2,1,219,377
"Jonquière--Alma/Jonquière--Alma"," 63","Alma",10,147,3,138,2,2,302,423
"Jonquière--Alma/Jonquière--Alma"," 64","Alma",11,100,4,131,0,0,246,387
"Jonquière--Alma/Jonquière--Alma"," 65","Alma",15,161,2,140,3,0,321,450
"Jonquière--Alma/Jonquière--Alma"," 66","Alma",10,107,4,108,6,1,236,337
"Jonquière--Alma/Jonquière--Alma"," 67","Alma",6,106,3,82,4,0,201,325
"Jonquière--Alma/Jonquière--Alma"," 68","Alma",7,105,1,103,1,1,218,374
"Jonquière--Alma/Jonquière--Alma"," 69","Alma",9,157,7,99,6,2,280,464
"Jonquière--Alma/Jonquière--Alma"," 70","Alma",9,120,5,78,3,0,215,324
"Jonquière--Alma/Jonquière--Alma"," 71A","Alma",9,128,1,85,3,1,227,349
"Jonquière--Alma/Jonquière--Alma"," 71B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,62
"Jonquière--Alma/Jonquière--Alma"," 72","Alma",15,123,3,112,3,0,256,359
"Jonquière--Alma/Jonquière--Alma"," 73","Alma",19,157,4,142,2,2,326,494
"Jonquière--Alma/Jonquière--Alma"," 74","Alma",3,143,4,88,3,1,242,385
"Jonquière--Alma/Jonquière--Alma"," 75","Alma",6,246,1,154,4,2,413,595
"Jonquière--Alma/Jonquière--Alma"," 76A","Alma",10,125,2,102,4,0,243,407
"Jonquière--Alma/Jonquière--Alma"," 76B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,28
"Jonquière--Alma/Jonquière--Alma"," 77","Alma",11,149,0,122,5,2,289,387
"Jonquière--Alma/Jonquière--Alma"," 78","Alma",4,127,4,88,0,9,232,356
"Jonquière--Alma/Jonquière--Alma"," 79","Alma",8,111,7,147,3,0,276,402
"Jonquière--Alma/Jonquière--Alma"," 80","Alma",9,189,5,127,6,0,336,572
"Jonquière--Alma/Jonquière--Alma"," 81","Alma",11,159,3,106,2,0,281,426
"Jonquière--Alma/Jonquière--Alma"," 82","Larouche",10,181,5,136,4,0,336,510
"Jonquière--Alma/Jonquière--Alma"," 83","Larouche",6,148,0,103,4,3,264,365
"Jonquière--Alma/Jonquière--Alma"," 84","Lac-Kénogami",2,53,1,31,0,1,88,151
"Jonquière--Alma/Jonquière--Alma"," 85","Lac-Kénogami",5,212,5,116,1,0,339,529
"Jonquière--Alma/Jonquière--Alma"," 86","Lac-Kénogami",11,204,6,108,7,0,336,549
"Jonquière--Alma/Jonquière--Alma"," 87","Lac-Kénogami",9,178,2,98,7,3,297,432
"Jonquière--Alma/Jonquière--Alma"," 88","Lac-Kénogami",12,108,2,49,1,0,172,251
"Jonquière--Alma/Jonquière--Alma"," 89","Jonquière",5,133,6,73,4,2,223,416
"Jonquière--Alma/Jonquière--Alma"," 90","Jonquière",10,145,3,51,2,2,213,340
"Jonquière--Alma/Jonquière--Alma"," 91","Jonquière",16,201,6,113,0,6,342,516
"Jonquière--Alma/Jonquière--Alma"," 92","Jonquière",5,187,2,96,4,4,298,466
"Jonquière--Alma/Jonquière--Alma"," 93","Jonquière",14,166,0,85,3,2,270,392
"Jonquière--Alma/Jonquière--Alma"," 94","Jonquière",4,138,5,48,6,1,202,309
"Jonquière--Alma/Jonquière--Alma"," 95","Jonquière",1,95,2,63,11,1,173,332
"Jonquière--Alma/Jonquière--Alma"," 96","Jonquière",3,164,3,55,1,1,227,360
"Jonquière--Alma/Jonquière--Alma"," 97","Jonquière",4,108,0,54,2,6,174,294
"Jonquière--Alma/Jonquière--Alma"," 98","Jonquière",18,244,7,117,3,0,389,567
"Jonquière--Alma/Jonquière--Alma"," 99","Jonquière",3,101,4,54,0,0,162,310
"Jonquière--Alma/Jonquière--Alma"," 100","Jonquière",9,88,2,81,14,0,194,310
"Jonquière--Alma/Jonquière--Alma"," 101","Jonquière",11,158,3,84,4,3,263,403
"Jonquière--Alma/Jonquière--Alma"," 102","Jonquière",5,106,2,89,5,0,207,356
"Jonquière--Alma/Jonquière--Alma"," 103A","Jonquière",5,51,0,37,6,1,100,211
"Jonquière--Alma/Jonquière--Alma"," 103B","Jonquière",11,108,1,42,17,7,186,240
"Jonquière--Alma/Jonquière--Alma"," 104","Jonquière",6,112,2,58,6,0,184,342
"Jonquière--Alma/Jonquière--Alma"," 105","Jonquière",7,72,2,33,2,1,117,226
"Jonquière--Alma/Jonquière--Alma"," 106","Jonquière",8,137,5,78,4,0,232,352
"Jonquière--Alma/Jonquière--Alma"," 107","Jonquière",12,190,7,85,0,2,296,414
"Jonquière--Alma/Jonquière--Alma"," 108","Jonquière",7,93,2,58,7,2,169,270
"Jonquière--Alma/Jonquière--Alma"," 109","Jonquière",11,209,9,83,8,3,323,522
"Jonquière--Alma/Jonquière--Alma"," 110","Jonquière",7,138,1,78,7,3,234,371
"Jonquière--Alma/Jonquière--Alma"," 111","Jonquière",3,147,1,58,5,3,217,418
"Jonquière--Alma/Jonquière--Alma"," 112","Jonquière",4,105,1,63,5,1,179,312
"Jonquière--Alma/Jonquière--Alma"," 113","Jonquière",4,153,3,67,4,3,234,354
"Jonquière--Alma/Jonquière--Alma"," 114","Jonquière",5,91,6,99,2,1,204,381
"Jonquière--Alma/Jonquière--Alma"," 115","Jonquière",3,121,2,82,3,2,213,399
"Jonquière--Alma/Jonquière--Alma"," 116","Jonquière",14,116,4,67,5,1,207,340
"Jonquière--Alma/Jonquière--Alma"," 117","Jonquière",14,156,5,64,5,0,244,388
"Jonquière--Alma/Jonquière--Alma"," 118","Jonquière",5,184,4,81,5,2,281,411
"Jonquière--Alma/Jonquière--Alma"," 119","Jonquière",4,140,7,66,7,1,225,379
"Jonquière--Alma/Jonquière--Alma"," 120","Jonquière",8,68,4,45,2,1,128,285
"Jonquière--Alma/Jonquière--Alma"," 121","Jonquière",13,112,4,58,6,0,193,377
"Jonquière--Alma/Jonquière--Alma"," 122","Jonquière",7,122,3,75,5,2,214,358
"Jonquière--Alma/Jonquière--Alma"," 123","Jonquière",2,121,4,61,3,4,195,341
"Jonquière--Alma/Jonquière--Alma"," 124","Jonquière",9,91,6,56,12,3,177,345
"Jonquière--Alma/Jonquière--Alma"," 125","Jonquière",2,55,1,39,5,0,102,217
"Jonquière--Alma/Jonquière--Alma"," 126","Jonquière",4,128,2,67,5,1,207,389
"Jonquière--Alma/Jonquière--Alma"," 127","Jonquière",5,119,0,77,5,0,206,363
"Jonquière--Alma/Jonquière--Alma"," 128","Jonquière",5,99,4,2,55,0,165,332
"Jonquière--Alma/Jonquière--Alma"," 129","Jonquière",9,123,4,76,7,3,222,455
"Jonquière--Alma/Jonquière--Alma"," 130","Jonquière",2,91,2,54,1,0,150,311
"Jonquière--Alma/Jonquière--Alma"," 131","Jonquière",3,122,3,76,7,1,212,385
"Jonquière--Alma/Jonquière--Alma"," 132","Jonquière",6,121,2,73,1,3,206,337
"Jonquière--Alma/Jonquière--Alma"," 133","Jonquière",10,169,2,89,9,1,280,442
"Jonquière--Alma/Jonquière--Alma"," 134","Shipshaw",24,112,5,74,8,1,224,327
"Jonquière--Alma/Jonquière--Alma"," 135","Jonquière",28,146,6,104,6,3,293,411
"Jonquière--Alma/Jonquière--Alma"," 136","Jonquière",18,117,8,103,7,6,259,406
"Jonquière--Alma/Jonquière--Alma"," 137","Jonquière",26,101,11,113,6,3,260,377
"Jonquière--Alma/Jonquière--Alma"," 138","Jonquière",8,155,4,106,7,2,282,403
"Jonquière--Alma/Jonquière--Alma"," 139","Jonquière",11,178,10,128,4,0,331,481
"Jonquière--Alma/Jonquière--Alma"," 140","Jonquière",2,66,0,74,2,1,145,252
"Jonquière--Alma/Jonquière--Alma"," 141","Jonquière",14,125,2,79,4,1,225,330
"Jonquière--Alma/Jonquière--Alma"," 142","Jonquière",10,106,7,113,9,2,247,378
"Jonquière--Alma/Jonquière--Alma"," 143","Jonquière",14,108,8,108,5,3,246,393
"Jonquière--Alma/Jonquière--Alma"," 144","Jonquière",11,128,2,72,2,0,215,293
"Jonquière--Alma/Jonquière--Alma"," 145","Jonquière",19,155,6,127,10,7,324,519
"Jonquière--Alma/Jonquière--Alma"," 146","Jonquière",7,161,5,85,5,4,267,352
"Jonquière--Alma/Jonquière--Alma"," 147","Jonquière",7,155,1,72,3,3,241,325
"Jonquière--Alma/Jonquière--Alma"," 148","Jonquière",18,83,1,77,4,2,185,289
"Jonquière--Alma/Jonquière--Alma"," 149","Jonquière",15,136,4,101,4,2,262,400
"Jonquière--Alma/Jonquière--Alma"," 150","Jonquière",11,137,8,111,5,3,275,406
"Jonquière--Alma/Jonquière--Alma"," 151","Jonquière",4,159,1,75,3,0,242,453
"Jonquière--Alma/Jonquière--Alma"," 152","Jonquière",8,118,8,63,4,0,201,297
"Jonquière--Alma/Jonquière--Alma"," 153","Jonquière",6,184,9,91,3,0,293,376
"Jonquière--Alma/Jonquière--Alma"," 154","Jonquière",15,156,12,110,7,1,301,428
"Jonquière--Alma/Jonquière--Alma"," 155","Jonquière",3,126,2,76,5,2,214,421
"Jonquière--Alma/Jonquière--Alma"," 156","Jonquière",2,81,3,71,7,1,165,398
"Jonquière--Alma/Jonquière--Alma"," 157","Jonquière",2,76,1,66,2,0,147,284
"Jonquière--Alma/Jonquière--Alma"," 158","Jonquière",5,135,5,58,7,0,210,386
"Jonquière--Alma/Jonquière--Alma"," 159","Jonquière",3,93,3,42,6,2,149,250
"Jonquière--Alma/Jonquière--Alma"," 160","Jonquière",6,74,2,61,7,0,150,366
"Jonquière--Alma/Jonquière--Alma"," 161","Jonquière",11,81,5,80,5,0,182,354
"Jonquière--Alma/Jonquière--Alma"," 162","Jonquière",7,128,2,70,2,4,213,381
"Jonquière--Alma/Jonquière--Alma"," 163","Jonquière",2,44,0,28,6,3,83,267
"Jonquière--Alma/Jonquière--Alma"," 164","Jonquière",4,62,4,63,14,7,154,284
"Jonquière--Alma/Jonquière--Alma"," 165A","Jonquière",3,104,1,57,5,0,170,322
"Jonquière--Alma/Jonquière--Alma"," 165B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,27
"Jonquière--Alma/Jonquière--Alma"," 166","Jonquière",11,68,1,58,1,2,141,279
"Jonquière--Alma/Jonquière--Alma"," 167A","Jonquière",9,83,3,47,2,0,144,258
"Jonquière--Alma/Jonquière--Alma"," 167B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,15
"Jonquière--Alma/Jonquière--Alma"," 168","Jonquière",10,70,7,65,4,0,156,265
"Jonquière--Alma/Jonquière--Alma"," 169","Jonquière",11,145,1,72,3,2,234,351
"Jonquière--Alma/Jonquière--Alma"," 170","Jonquière",15,123,5,62,2,0,207,341
"Jonquière--Alma/Jonquière--Alma"," 171A","Jonquière",6,141,2,63,4,0,216,313
"Jonquière--Alma/Jonquière--Alma"," 171B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,47
"Jonquière--Alma/Jonquière--Alma"," 172","Jonquière",3,134,4,83,8,2,234,438
"Jonquière--Alma/Jonquière--Alma"," 173","Jonquière",10,96,4,36,4,0,150,263
"Jonquière--Alma/Jonquière--Alma"," 174","Jonquière",13,180,2,89,1,4,289,431
"Jonquière--Alma/Jonquière--Alma"," 175","Jonquière",5,93,2,38,8,1,147,247
"Jonquière--Alma/Jonquière--Alma"," 176","Jonquière",14,101,2,69,2,3,191,305
"Jonquière--Alma/Jonquière--Alma"," 177","Jonquière",10,148,5,103,5,2,273,431
"Jonquière--Alma/Jonquière--Alma"," 178","Jonquière",7,126,3,72,7,2,217,329
"Jonquière--Alma/Jonquière--Alma"," 179","Jonquière",8,154,7,68,4,1,242,404
"Jonquière--Alma/Jonquière--Alma"," 180","Jonquière",6,96,2,45,6,2,157,322
"Jonquière--Alma/Jonquière--Alma"," 181","Jonquière",4,157,4,70,2,2,239,340
"Jonquière--Alma/Jonquière--Alma"," 182","Jonquière",5,186,1,77,5,6,280,414
"Jonquière--Alma/Jonquière--Alma"," 183","Jonquière",10,150,5,99,4,0,268,415
"Jonquière--Alma/Jonquière--Alma"," 184","Jonquière",16,257,3,120,6,2,404,623
"Jonquière--Alma/Jonquière--Alma"," 185","Jonquière",3,94,0,68,2,0,167,279
"Jonquière--Alma/Jonquière--Alma"," 186","Jonquière",13,147,1,108,7,0,276,467
"Jonquière--Alma/Jonquière--Alma"," 187","Jonquière",4,95,3,77,3,1,183,279
"Jonquière--Alma/Jonquière--Alma"," 188","Jonquière",6,83,2,100,5,0,196,338
"Jonquière--Alma/Jonquière--Alma"," 189","Jonquière",11,110,3,86,3,1,214,335
"Jonquière--Alma/Jonquière--Alma"," 190","Jonquière",11,106,3,75,7,1,203,303
"Jonquière--Alma/Jonquière--Alma"," 191","Jonquière",12,129,7,81,3,3,235,338
"Jonquière--Alma/Jonquière--Alma"," 192","Jonquière",7,105,4,75,4,3,198,305
"Jonquière--Alma/Jonquière--Alma"," 193","Jonquière",7,105,3,112,5,5,237,364
"Jonquière--Alma/Jonquière--Alma"," 194","Jonquière",11,120,5,86,3,1,226,319
"Jonquière--Alma/Jonquière--Alma"," 195","Jonquière",28,142,4,88,7,3,272,375
"Jonquière--Alma/Jonquière--Alma"," 196","Jonquière",6,105,3,87,8,2,211,303
"Jonquière--Alma/Jonquière--Alma"," 197","Jonquière",11,122,6,74,5,2,220,357
"Jonquière--Alma/Jonquière--Alma"," 198","Jonquière",12,125,4,72,6,1,220,356
"Jonquière--Alma/Jonquière--Alma"," 199","Jonquière",14,146,1,75,3,3,242,338
"Jonquière--Alma/Jonquière--Alma"," 200","Jonquière",6,139,6,88,6,1,246,382
"Jonquière--Alma/Jonquière--Alma"," 201","Jonquière",9,144,5,117,7,6,288,455
"Jonquière--Alma/Jonquière--Alma"," 202","Jonquière",12,127,5,109,6,0,259,364
"Jonquière--Alma/Jonquière--Alma"," 203","Jonquière",6,118,1,89,3,1,218,295
"Jonquière--Alma/Jonquière--Alma"," 204","Jonquière",11,139,9,105,9,1,274,504
"Jonquière--Alma/Jonquière--Alma"," 205","Jonquière",21,177,3,118,7,5,331,527
"Jonquière--Alma/Jonquière--Alma"," 500","Mobile poll/Bureau itinérant",18,173,5,96,28,9,329,126
"Jonquière--Alma/Jonquière--Alma"," 501","Mobile poll/Bureau itinérant",3,28,2,16,5,0,54,155
"Jonquière--Alma/Jonquière--Alma"," 502","Mobile poll/Bureau itinérant",2,79,5,25,21,3,135,190
"Jonquière--Alma/Jonquière--Alma"," 600","Saint-David-de-Falardeau",3,48,1,57,13,1,123,
"Jonquière--Alma/Jonquière--Alma"," 601","Saint-Ambroise",5,69,1,88,9,1,173,
"Jonquière--Alma/Jonquière--Alma"," 602","Alma",6,30,1,68,4,0,109,
"Jonquière--Alma/Jonquière--Alma"," 603","Alma",13,93,2,149,12,0,269,
"Jonquière--Alma/Jonquière--Alma"," 604","Alma",26,203,3,226,43,1,502,
"Jonquière--Alma/Jonquière--Alma"," 605","Saguenay",8,60,0,48,7,3,126,
"Jonquière--Alma/Jonquière--Alma"," 606","Saguenay",9,103,5,57,21,2,197,
"Jonquière--Alma/Jonquière--Alma"," 607","Saguenay",19,238,5,125,21,3,411,
"Jonquière--Alma/Jonquière--Alma"," 608","Saguenay",8,177,6,99,38,5,333,
"Jonquière--Alma/Jonquière--Alma"," 609","Saguenay",7,74,3,61,7,4,156,
"Jonquière--Alma/Jonquière--Alma"," 610","Saguenay",3,93,2,69,11,1,179,
"Jonquière--Alma/Jonquière--Alma"," 611","Saguenay",13,127,5,100,14,2,261,
"Jonquière--Alma/Jonquière--Alma",,Group 1/Groupe 1,8,89,4,52,21,2,176,472
"Jonquière--Alma/Jonquière--Alma",,Group 2/Groupe 2,75,327,122,901,231,33,1689,
