Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Butcher,Sam Hammond,Diane Marleau,Gerry McIntaggart,Joey Methé,J. David Popescu,Kevin Serviss,Dave Starbuck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sudbury/Sudbury"," 31","Sudbury",1,2,80,55,8,0,32,0,2,180,352
"Sudbury/Sudbury"," 32","Sudbury",0,1,40,70,8,0,26,2,0,147,306
"Sudbury/Sudbury"," 33","Sudbury",2,0,53,69,11,0,20,1,0,156,327
"Sudbury/Sudbury"," 34","Sudbury",4,1,75,54,8,0,28,0,3,173,326
"Sudbury/Sudbury"," 35","Sudbury",3,1,72,71,2,1,27,0,2,179,332
"Sudbury/Sudbury"," 36","Sudbury",3,0,108,80,7,0,36,0,2,236,377
"Sudbury/Sudbury"," 37","Sudbury",2,0,72,68,12,2,34,1,0,191,337
"Sudbury/Sudbury"," 38","Sudbury",1,0,69,79,6,0,26,1,2,184,350
"Sudbury/Sudbury"," 39","Sudbury",1,0,57,63,7,0,24,0,0,152,315
"Sudbury/Sudbury"," 40","Sudbury",5,0,77,54,7,0,37,0,3,183,314
"Sudbury/Sudbury"," 41","Sudbury",5,0,124,61,3,0,58,1,0,252,348
"Sudbury/Sudbury"," 42","Sudbury",51,0,49,42,3,0,21,0,0,166,230
"Sudbury/Sudbury"," 43","Sudbury",3,0,93,74,5,0,21,0,2,198,329
"Sudbury/Sudbury"," 44","Sudbury",4,1,71,59,5,0,21,2,1,164,321
"Sudbury/Sudbury"," 45","Sudbury",4,0,85,84,5,0,20,0,1,199,368
"Sudbury/Sudbury"," 46","Sudbury",6,0,99,95,5,0,31,1,0,237,488
"Sudbury/Sudbury"," 47","Sudbury",1,0,21,20,0,0,1,0,0,43,112
"Sudbury/Sudbury"," 48","Sudbury",5,0,74,61,4,0,46,0,0,190,340
"Sudbury/Sudbury"," 49","Sudbury",0,0,32,44,1,0,18,0,0,95,179
"Sudbury/Sudbury"," 50","Sudbury",2,0,46,30,1,0,7,0,0,86,153
"Sudbury/Sudbury"," 51A","Sudbury",1,1,31,46,0,0,11,1,1,92,289
"Sudbury/Sudbury"," 51B","Sudbury",1,0,37,43,1,0,11,0,0,93,316
"Sudbury/Sudbury"," 52","Sudbury",2,0,74,67,4,0,20,0,0,167,358
"Sudbury/Sudbury"," 53","Sudbury",0,2,53,76,5,1,22,1,0,160,373
"Sudbury/Sudbury"," 54","Sudbury",1,0,70,45,1,0,55,1,1,174,342
"Sudbury/Sudbury"," 55","Sudbury",5,1,103,78,7,1,37,0,1,233,380
"Sudbury/Sudbury"," 56","Sudbury",3,0,44,50,3,0,30,1,1,132,340
"Sudbury/Sudbury"," 57","Sudbury",1,0,61,64,2,0,20,0,1,149,321
"Sudbury/Sudbury"," 58","Sudbury",3,0,36,34,3,0,14,0,0,90,177
"Sudbury/Sudbury"," 59","Sudbury",1,0,46,58,2,0,19,0,1,127,262
"Sudbury/Sudbury"," 60","Sudbury",1,1,49,74,9,0,19,1,0,154,374
"Sudbury/Sudbury"," 61","Sudbury",0,0,62,59,8,1,15,0,1,146,318
"Sudbury/Sudbury"," 62","Sudbury",0,1,44,53,3,0,10,0,0,111,287
"Sudbury/Sudbury"," 63","Sudbury",2,0,101,75,10,1,41,1,0,231,381
"Sudbury/Sudbury"," 64","Sudbury",1,2,51,83,4,0,23,0,5,169,314
"Sudbury/Sudbury"," 65","Sudbury",1,1,96,73,9,1,36,0,1,218,355
"Sudbury/Sudbury"," 66","Sudbury",6,1,157,70,12,1,37,1,0,285,379
"Sudbury/Sudbury"," 67","Sudbury",2,0,108,52,10,2,30,0,3,207,294
"Sudbury/Sudbury"," 68","Sudbury",3,0,124,69,5,0,48,0,0,249,436
"Sudbury/Sudbury"," 69","Sudbury",4,1,89,82,11,1,50,0,0,238,379
"Sudbury/Sudbury"," 70","Sudbury",4,0,123,57,4,0,98,0,2,288,447
"Sudbury/Sudbury"," 71","Sudbury",5,0,153,83,5,0,70,2,1,319,488
"Sudbury/Sudbury"," 72","Sudbury",3,0,119,68,3,0,77,0,0,270,435
"Sudbury/Sudbury"," 73","Sudbury",1,0,102,63,8,0,50,0,1,225,366
"Sudbury/Sudbury"," 74","Sudbury",3,0,121,56,5,0,35,0,0,220,332
"Sudbury/Sudbury"," 75","Sudbury",2,1,106,40,1,0,27,0,0,177,325
"Sudbury/Sudbury"," 76","Sudbury",3,0,81,46,1,0,26,2,2,161,321
"Sudbury/Sudbury"," 77","Sudbury",3,1,88,75,12,0,36,1,2,218,441
"Sudbury/Sudbury"," 78","Sudbury",3,0,73,50,2,0,24,0,2,154,307
"Sudbury/Sudbury"," 79","Sudbury",3,0,91,92,8,0,25,0,0,219,367
"Sudbury/Sudbury"," 80","Sudbury",2,1,94,84,5,0,31,2,0,219,404
"Sudbury/Sudbury"," 81","Sudbury",2,0,95,74,8,0,34,0,0,213,423
"Sudbury/Sudbury"," 82","Sudbury",0,0,87,71,5,0,7,0,2,172,356
"Sudbury/Sudbury"," 83","Sudbury",1,0,90,63,6,1,14,0,1,176,415
"Sudbury/Sudbury"," 84","Sudbury",4,0,109,57,3,0,16,0,1,190,325
"Sudbury/Sudbury"," 85","Sudbury",3,0,127,123,6,0,38,0,0,297,538
"Sudbury/Sudbury"," 86","Sudbury",8,0,91,80,9,0,59,0,1,248,373
"Sudbury/Sudbury"," 87","Sudbury",5,0,119,83,7,0,51,1,1,267,416
"Sudbury/Sudbury"," 88","Sudbury",4,1,147,82,8,0,54,0,1,297,496
"Sudbury/Sudbury"," 89","Sudbury",0,0,122,66,1,0,40,0,0,229,393
"Sudbury/Sudbury"," 90","Sudbury",5,0,84,62,3,0,25,0,0,179,321
"Sudbury/Sudbury"," 91","Sudbury",2,0,90,71,7,0,45,0,3,218,325
"Sudbury/Sudbury"," 92","Sudbury",2,0,116,62,4,0,63,0,0,247,415
"Sudbury/Sudbury"," 93","Sudbury",2,1,93,67,4,1,25,0,2,195,310
"Sudbury/Sudbury"," 94","Sudbury",1,0,105,79,4,0,40,0,0,229,375
"Sudbury/Sudbury"," 95","Sudbury",3,0,79,40,3,0,40,0,0,165,272
"Sudbury/Sudbury"," 96","Sudbury",5,0,80,62,3,0,39,0,1,190,372
"Sudbury/Sudbury"," 97","Sudbury",4,0,129,68,4,0,89,0,0,294,483
"Sudbury/Sudbury"," 98","Sudbury",2,0,87,70,4,0,35,0,3,201,330
"Sudbury/Sudbury"," 99","Sudbury",4,0,115,48,7,0,40,0,1,215,340
"Sudbury/Sudbury"," 100","Sudbury",3,0,124,86,4,0,34,2,2,255,449
"Sudbury/Sudbury"," 101","Sudbury",5,1,137,58,4,0,53,0,2,260,386
"Sudbury/Sudbury"," 102","Sudbury",3,0,96,53,6,0,65,0,3,226,342
"Sudbury/Sudbury"," 103","Sudbury",6,1,108,56,5,0,51,1,0,228,366
"Sudbury/Sudbury"," 104","Sudbury",1,0,92,78,3,0,51,1,3,229,341
"Sudbury/Sudbury"," 105","Sudbury",3,0,100,62,5,0,61,0,0,231,353
"Sudbury/Sudbury"," 106","Sudbury",2,0,122,45,9,0,74,1,0,253,374
"Sudbury/Sudbury"," 107","Sudbury",4,1,125,78,6,0,74,0,0,288,467
"Sudbury/Sudbury"," 108","Sudbury",1,0,76,67,13,0,51,0,1,209,330
"Sudbury/Sudbury"," 109A","Sudbury",2,0,63,46,9,0,32,0,0,152,258
"Sudbury/Sudbury"," 109B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,,,110
"Sudbury/Sudbury"," 110","Sudbury",1,1,49,52,5,0,34,0,0,142,312
"Sudbury/Sudbury"," 111","Sudbury",6,0,102,48,5,0,73,0,0,234,361
"Sudbury/Sudbury"," 112A","Sudbury",4,0,85,54,3,0,34,0,1,181,288
"Sudbury/Sudbury"," 112B","Sudbury",0,0,68,52,2,1,47,0,1,171,305
"Sudbury/Sudbury"," 113","Sudbury",4,0,68,96,3,0,32,0,4,207,360
"Sudbury/Sudbury"," 114","Sudbury",3,0,107,91,6,1,52,0,0,260,391
"Sudbury/Sudbury"," 115","Sudbury",2,0,71,67,5,0,32,0,2,179,307
"Sudbury/Sudbury"," 116","Sudbury",1,0,44,43,0,0,37,1,0,126,209
"Sudbury/Sudbury"," 117","Sudbury",2,0,110,79,4,0,60,0,3,258,439
"Sudbury/Sudbury"," 118","Sudbury",0,0,85,69,7,1,34,0,0,196,353
"Sudbury/Sudbury"," 119","Sudbury",2,0,75,88,1,1,26,1,0,194,376
"Sudbury/Sudbury"," 120","Sudbury",3,0,103,82,4,1,33,1,0,227,399
"Sudbury/Sudbury"," 121","Sudbury",2,0,117,65,8,0,51,1,3,247,401
"Sudbury/Sudbury"," 122","Sudbury",2,1,78,33,1,1,21,0,0,137,335
"Sudbury/Sudbury"," 123","Sudbury",0,0,79,55,7,0,29,1,0,171,344
"Sudbury/Sudbury"," 124","Sudbury",1,0,59,87,2,0,21,1,0,171,305
"Sudbury/Sudbury"," 125","Sudbury",4,0,118,82,7,0,39,0,0,250,423
"Sudbury/Sudbury"," 126","Sudbury",3,0,93,80,1,1,57,2,1,238,417
"Sudbury/Sudbury"," 127","Sudbury",4,0,98,104,9,0,33,0,0,248,402
"Sudbury/Sudbury"," 128","Sudbury",0,0,69,71,5,0,30,0,0,175,322
"Sudbury/Sudbury"," 129","Sudbury",1,0,76,86,4,0,25,0,1,193,367
"Sudbury/Sudbury"," 130","Sudbury",6,0,109,84,0,0,60,0,1,260,480
"Sudbury/Sudbury"," 131","Sudbury",2,0,143,115,4,0,61,0,1,326,468
"Sudbury/Sudbury"," 132","Sudbury",1,0,121,97,7,0,29,0,0,255,401
"Sudbury/Sudbury"," 133","Sudbury",0,0,90,101,5,0,46,1,1,244,409
"Sudbury/Sudbury"," 134","Sudbury",3,0,155,82,7,2,66,2,0,317,454
"Sudbury/Sudbury"," 135","Sudbury",1,0,113,94,1,0,44,0,0,253,393
"Sudbury/Sudbury"," 136","Sudbury",2,0,96,98,3,0,50,0,1,250,385
"Sudbury/Sudbury"," 137","Sudbury",Merged with No. 139/Fusionné avec le nº 139,,,,,,,,,,102
"Sudbury/Sudbury"," 138","Sudbury",5,1,72,64,5,0,25,0,1,173,378
"Sudbury/Sudbury"," 139","Sudbury",0,0,67,63,7,0,31,1,2,171,287
"Sudbury/Sudbury"," 140","Sudbury",1,0,64,79,4,1,21,1,0,171,342
"Sudbury/Sudbury"," 141","Sudbury",4,0,72,90,5,1,48,0,0,220,374
"Sudbury/Sudbury"," 142","Sudbury",0,3,86,90,6,0,39,0,0,224,417
"Sudbury/Sudbury"," 143","Sudbury",2,1,76,95,9,2,27,1,3,216,413
"Sudbury/Sudbury"," 144","Sudbury",1,0,61,73,7,0,18,1,0,161,335
"Sudbury/Sudbury"," 145","Sudbury",3,1,75,56,3,1,30,2,2,173,318
"Sudbury/Sudbury"," 146","Sudbury",0,1,79,78,8,0,43,0,2,211,412
"Sudbury/Sudbury"," 147","Sudbury",2,0,73,85,5,0,39,1,0,205,366
"Sudbury/Sudbury"," 148","Sudbury",3,0,71,63,5,0,32,0,1,175,313
"Sudbury/Sudbury"," 149","Sudbury",3,1,83,56,11,0,43,0,1,198,346
"Sudbury/Sudbury"," 150","Sudbury",3,0,88,74,8,0,25,0,2,200,374
"Sudbury/Sudbury"," 151","Sudbury",3,0,117,53,10,0,50,1,0,234,375
"Sudbury/Sudbury"," 152","Sudbury",6,1,107,76,7,0,72,0,0,269,364
"Sudbury/Sudbury"," 153","Sudbury",1,0,46,66,9,0,20,1,0,143,280
"Sudbury/Sudbury"," 154","Sudbury",0,0,58,78,8,0,30,0,1,175,325
"Sudbury/Sudbury"," 155","Sudbury",2,0,84,54,5,0,42,1,2,190,304
"Sudbury/Sudbury"," 156","Sudbury",1,0,90,72,9,0,28,0,4,204,326
"Sudbury/Sudbury"," 157","Sudbury",3,1,77,54,3,0,35,0,1,174,304
"Sudbury/Sudbury"," 158","Sudbury",2,0,84,67,9,1,48,0,0,211,355
"Sudbury/Sudbury"," 159","Sudbury",3,1,75,40,6,0,31,0,0,156,251
"Sudbury/Sudbury"," 160","Sudbury",7,0,97,58,13,0,58,1,1,235,397
"Sudbury/Sudbury"," 161","Sudbury",4,0,52,65,6,0,60,1,0,188,331
"Sudbury/Sudbury"," 162","Sudbury",3,0,112,52,12,0,83,1,0,263,375
"Sudbury/Sudbury"," 163","Sudbury",0,0,36,31,2,0,22,0,0,91,179
"Sudbury/Sudbury"," 164","Sudbury",6,1,96,90,2,0,59,0,3,257,482
"Sudbury/Sudbury"," 165","Sudbury",1,1,87,76,9,0,32,1,0,207,354
"Sudbury/Sudbury"," 166","Sudbury",3,0,94,102,8,0,62,0,1,270,512
"Sudbury/Sudbury"," 167","Sudbury",4,0,106,94,6,0,48,0,1,259,475
"Sudbury/Sudbury"," 168A","Sudbury",2,0,83,56,6,0,57,0,0,204,316
"Sudbury/Sudbury"," 168B","Sudbury",4,0,113,69,4,1,43,0,2,236,360
"Sudbury/Sudbury"," 169","Sudbury",1,0,86,63,6,0,33,0,1,190,262
"Sudbury/Sudbury"," 170","Sudbury",2,0,63,33,3,0,31,0,2,134,197
"Sudbury/Sudbury"," 171","Sudbury",0,0,94,75,10,1,40,0,0,220,398
"Sudbury/Sudbury"," 172","Sudbury",2,0,64,64,2,0,39,0,0,171,276
"Sudbury/Sudbury"," 173","Sudbury",2,0,96,53,3,0,41,0,4,199,334
"Sudbury/Sudbury"," 174","Sudbury",1,0,128,56,4,1,60,0,1,251,359
"Sudbury/Sudbury"," 175","Sudbury",4,1,111,77,10,0,64,0,3,270,360
"Sudbury/Sudbury"," 176","Sudbury",6,0,122,55,4,1,67,0,1,256,405
"Sudbury/Sudbury"," 177","Sudbury",1,0,72,39,0,0,70,0,1,183,269
"Sudbury/Sudbury"," 178","Sudbury",6,0,59,33,2,1,61,0,2,164,271
"Sudbury/Sudbury"," 179","Sudbury",0,0,88,36,8,0,57,0,1,190,274
"Sudbury/Sudbury"," 180","Sudbury",3,0,97,59,4,0,40,0,0,203,383
"Sudbury/Sudbury"," 181","Sudbury",2,1,109,81,4,0,41,1,0,239,359
"Sudbury/Sudbury"," 182A","Sudbury",1,1,86,60,3,0,30,0,0,181,370
"Sudbury/Sudbury"," 182B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,34
"Sudbury/Sudbury"," 182C","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,18
"Sudbury/Sudbury"," 183","Sudbury",7,0,95,30,4,0,90,0,0,226,395
"Sudbury/Sudbury"," 184A","Sudbury",3,1,174,115,26,1,124,0,2,446,628
"Sudbury/Sudbury"," 184B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,84
"Sudbury/Sudbury"," 185","Sudbury",5,0,95,86,4,0,77,0,0,267,412
"Sudbury/Sudbury"," 186","Sudbury",4,0,57,31,8,0,19,0,0,119,230
"Sudbury/Sudbury"," 187","Sudbury",1,0,106,51,3,1,63,0,2,227,416
"Sudbury/Sudbury"," 188","Sudbury",4,0,115,70,15,0,108,0,0,312,450
"Sudbury/Sudbury"," 189","Sudbury",0,0,34,21,3,0,21,0,2,81,186
"Sudbury/Sudbury"," 190","Sudbury",1,0,80,38,5,0,58,0,1,183,319
"Sudbury/Sudbury"," 191","Sudbury",7,1,102,58,8,0,67,0,1,244,368
"Sudbury/Sudbury"," 192","Sudbury",7,0,132,67,16,0,74,2,1,299,412
"Sudbury/Sudbury"," 193","Sudbury",2,0,152,70,6,0,88,1,0,319,478
"Sudbury/Sudbury"," 194","Sudbury",2,0,60,49,4,0,35,0,0,150,249
"Sudbury/Sudbury"," 195","Sudbury",3,0,52,40,6,1,35,0,0,137,241
"Sudbury/Sudbury"," 400","Sudbury",4,1,99,44,3,0,18,0,2,171,351
"Sudbury/Sudbury"," 401","Sudbury",3,0,70,87,3,1,27,0,2,193,435
"Sudbury/Sudbury"," 402","Sudbury",3,1,55,19,1,1,20,1,3,104,237
"Sudbury/Sudbury"," 403","Sudbury",2,0,52,82,4,0,19,0,0,159,365
"Sudbury/Sudbury"," 500","Mobile poll/Bureau itinérant",2,1,38,24,1,0,16,1,3,86,148
"Sudbury/Sudbury"," 501","Mobile poll/Bureau itinérant",2,2,112,41,1,0,46,4,3,211,153
"Sudbury/Sudbury"," 502","Mobile poll/Bureau itinérant",3,0,98,28,3,0,26,0,2,160,194
"Sudbury/Sudbury"," 600","Sudbury",10,0,48,68,6,0,76,0,1,209,
"Sudbury/Sudbury"," 601","Sudbury",22,0,146,134,10,0,193,0,0,505,
"Sudbury/Sudbury"," 602","Sudbury",4,1,124,75,14,1,78,0,1,298,
"Sudbury/Sudbury"," 603","Sudbury",5,0,173,100,12,2,63,1,3,359,
"Sudbury/Sudbury"," 604","Sudbury",12,0,202,113,10,0,145,0,0,482,
"Sudbury/Sudbury"," 605","Sudbury",10,1,260,104,12,0,192,1,0,580,
"Sudbury/Sudbury"," 606","Sudbury",6,1,203,116,10,0,108,1,3,448,
"Sudbury/Sudbury"," 607","Sudbury",4,1,118,85,15,0,87,0,0,310,
"Sudbury/Sudbury"," 608","Sudbury",3,3,211,107,12,0,140,0,3,479,
"Sudbury/Sudbury"," 609","Sudbury",10,0,227,109,12,0,186,0,4,548,
"Sudbury/Sudbury",,Group 1/Groupe 1,16,1,75,25,11,2,23,0,5,158,317
"Sudbury/Sudbury",,Group 2/Groupe 2,19,0,644,309,34,1,344,0,16,1367,
