Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Abbat,Jerry Bance,Andrew Brett,Yaqoob Khan,Derek Lee,Alan Mercer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Rouge River/Scarborough--Rouge River"," 48","Scarborough",6,46,20,5,154,0,0,231,438
"Scarborough--Rouge River/Scarborough--Rouge River"," 49","Scarborough",1,21,30,1,167,1,1,222,421
"Scarborough--Rouge River/Scarborough--Rouge River"," 50","Scarborough",5,52,35,1,155,0,0,248,449
"Scarborough--Rouge River/Scarborough--Rouge River"," 51","Scarborough",5,37,33,1,159,3,2,240,415
"Scarborough--Rouge River/Scarborough--Rouge River"," 52","Scarborough",3,39,23,2,153,0,2,222,423
"Scarborough--Rouge River/Scarborough--Rouge River"," 53","Scarborough",7,37,27,1,153,2,0,227,473
"Scarborough--Rouge River/Scarborough--Rouge River"," 54","Scarborough",7,46,19,4,157,4,1,238,470
"Scarborough--Rouge River/Scarborough--Rouge River"," 55","Scarborough",7,71,21,0,164,0,0,263,507
"Scarborough--Rouge River/Scarborough--Rouge River"," 56","Scarborough",2,44,23,4,150,0,0,223,414
"Scarborough--Rouge River/Scarborough--Rouge River"," 57","Scarborough",6,63,26,4,172,1,1,273,508
"Scarborough--Rouge River/Scarborough--Rouge River"," 58","Scarborough",2,36,18,1,174,3,2,236,504
"Scarborough--Rouge River/Scarborough--Rouge River"," 59A","Scarborough",0,46,17,0,100,2,1,166,420
"Scarborough--Rouge River/Scarborough--Rouge River"," 59B","Scarborough",2,30,12,0,95,1,2,142,338
"Scarborough--Rouge River/Scarborough--Rouge River"," 60A","Scarborough",0,23,11,0,76,0,1,111,303
"Scarborough--Rouge River/Scarborough--Rouge River"," 60B","Scarborough",0,39,18,0,126,1,1,185,453
"Scarborough--Rouge River/Scarborough--Rouge River"," 61A","Scarborough",1,40,28,2,124,0,3,198,324
"Scarborough--Rouge River/Scarborough--Rouge River"," 61B","Scarborough",1,37,11,1,99,0,0,149,255
"Scarborough--Rouge River/Scarborough--Rouge River"," 62","Scarborough",2,33,11,0,65,0,0,111,205
"Scarborough--Rouge River/Scarborough--Rouge River"," 63","Scarborough",5,46,30,0,121,0,1,203,339
"Scarborough--Rouge River/Scarborough--Rouge River"," 64A","Scarborough",2,32,18,1,106,0,1,160,285
"Scarborough--Rouge River/Scarborough--Rouge River"," 64B","Scarborough",4,36,17,3,83,0,0,143,245
"Scarborough--Rouge River/Scarborough--Rouge River"," 65","Scarborough",7,47,24,1,146,2,1,228,443
"Scarborough--Rouge River/Scarborough--Rouge River"," 66A","Scarborough",2,34,19,1,120,0,0,176,453
"Scarborough--Rouge River/Scarborough--Rouge River"," 66B","Scarborough",2,32,22,1,151,0,0,208,222
"Scarborough--Rouge River/Scarborough--Rouge River"," 66C","Scarborough",2,27,13,3,90,3,1,139,190
"Scarborough--Rouge River/Scarborough--Rouge River"," 66D","Scarborough",2,25,13,1,108,0,1,150,175
"Scarborough--Rouge River/Scarborough--Rouge River"," 67A","Scarborough",5,37,30,3,105,0,0,180,327
"Scarborough--Rouge River/Scarborough--Rouge River"," 67B","Scarborough",3,32,20,0,106,1,1,163,271
"Scarborough--Rouge River/Scarborough--Rouge River"," 68","Scarborough",6,45,29,8,198,1,0,287,511
"Scarborough--Rouge River/Scarborough--Rouge River"," 69","Scarborough",6,49,16,1,177,2,4,255,497
"Scarborough--Rouge River/Scarborough--Rouge River"," 70","Scarborough",2,28,6,5,110,0,1,152,378
"Scarborough--Rouge River/Scarborough--Rouge River"," 71","Scarborough",0,41,21,2,99,1,2,166,355
"Scarborough--Rouge River/Scarborough--Rouge River"," 72","Scarborough",6,14,12,0,93,1,0,126,284
"Scarborough--Rouge River/Scarborough--Rouge River"," 73A","Scarborough",4,46,30,0,147,2,4,233,474
"Scarborough--Rouge River/Scarborough--Rouge River"," 73B","Scarborough",1,39,25,0,120,1,0,186,398
"Scarborough--Rouge River/Scarborough--Rouge River"," 74A","Scarborough",2,31,20,1,109,2,3,168,314
"Scarborough--Rouge River/Scarborough--Rouge River"," 74B","Scarborough",3,31,12,2,78,2,0,128,239
"Scarborough--Rouge River/Scarborough--Rouge River"," 75","Scarborough",3,16,2,0,39,0,0,60,134
"Scarborough--Rouge River/Scarborough--Rouge River"," 76","Scarborough",3,37,42,1,130,2,0,215,478
"Scarborough--Rouge River/Scarborough--Rouge River"," 77","Scarborough",0,31,25,3,53,0,1,113,291
"Scarborough--Rouge River/Scarborough--Rouge River"," 78","Scarborough",2,31,10,13,105,0,0,161,413
"Scarborough--Rouge River/Scarborough--Rouge River"," 79","Scarborough",3,70,26,1,124,0,1,225,420
"Scarborough--Rouge River/Scarborough--Rouge River"," 80A","Scarborough",2,40,18,1,85,0,1,147,339
"Scarborough--Rouge River/Scarborough--Rouge River"," 80B","Scarborough",2,24,8,2,94,1,0,131,293
"Scarborough--Rouge River/Scarborough--Rouge River"," 80-1","Scarborough",5,53,24,5,123,2,0,212,483
"Scarborough--Rouge River/Scarborough--Rouge River"," 81A","Scarborough",1,36,37,6,152,2,0,234,411
"Scarborough--Rouge River/Scarborough--Rouge River"," 81B","Scarborough",3,43,26,0,130,1,2,205,380
"Scarborough--Rouge River/Scarborough--Rouge River"," 81C","Scarborough",4,36,26,6,145,2,0,219,417
"Scarborough--Rouge River/Scarborough--Rouge River"," 81D","Scarborough",3,31,21,4,154,1,0,214,387
"Scarborough--Rouge River/Scarborough--Rouge River"," 81E","Scarborough",2,36,28,1,138,0,0,205,382
"Scarborough--Rouge River/Scarborough--Rouge River"," 81F","Scarborough",2,44,12,1,141,2,3,205,399
"Scarborough--Rouge River/Scarborough--Rouge River"," 81G","Scarborough",2,46,24,2,169,1,2,246,445
"Scarborough--Rouge River/Scarborough--Rouge River"," 81H","Scarborough",0,46,10,4,165,1,2,228,402
"Scarborough--Rouge River/Scarborough--Rouge River"," 81I","Scarborough",5,33,30,1,192,3,1,265,466
"Scarborough--Rouge River/Scarborough--Rouge River"," 81-1","Scarborough",0,49,14,1,118,2,1,185,382
"Scarborough--Rouge River/Scarborough--Rouge River"," 82A","Scarborough",2,22,16,0,101,0,1,142,259
"Scarborough--Rouge River/Scarborough--Rouge River"," 82B","Scarborough",2,31,13,0,143,3,0,192,304
"Scarborough--Rouge River/Scarborough--Rouge River"," 83","Scarborough",0,26,12,4,115,1,0,158,339
"Scarborough--Rouge River/Scarborough--Rouge River"," 84A","Scarborough",2,45,14,2,87,0,0,150,351
"Scarborough--Rouge River/Scarborough--Rouge River"," 84B","Scarborough",1,22,14,1,61,1,0,100,296
"Scarborough--Rouge River/Scarborough--Rouge River"," 85A","Scarborough",0,29,7,0,90,1,2,129,266
"Scarborough--Rouge River/Scarborough--Rouge River"," 85B","Scarborough",1,34,18,0,87,0,1,141,266
"Scarborough--Rouge River/Scarborough--Rouge River"," 86","Scarborough",2,60,33,3,178,1,1,278,524
"Scarborough--Rouge River/Scarborough--Rouge River"," 87","Scarborough",2,49,32,3,187,2,3,278,505
"Scarborough--Rouge River/Scarborough--Rouge River"," 88","Scarborough",6,46,33,5,139,1,1,231,465
"Scarborough--Rouge River/Scarborough--Rouge River"," 89","Scarborough",1,11,9,2,43,1,0,67,151
"Scarborough--Rouge River/Scarborough--Rouge River"," 90","Scarborough",6,46,29,3,166,3,1,254,471
"Scarborough--Rouge River/Scarborough--Rouge River"," 91A","Scarborough",2,23,11,2,88,3,1,130,172
"Scarborough--Rouge River/Scarborough--Rouge River"," 91B","Scarborough",5,15,11,1,65,1,1,99,242
"Scarborough--Rouge River/Scarborough--Rouge River"," 92A","Scarborough",2,27,21,2,106,1,1,160,336
"Scarborough--Rouge River/Scarborough--Rouge River"," 92B","Scarborough",0,24,8,1,102,0,0,135,287
"Scarborough--Rouge River/Scarborough--Rouge River"," 93","Scarborough",2,40,10,0,131,0,1,184,391
"Scarborough--Rouge River/Scarborough--Rouge River"," 94","Scarborough",4,58,21,3,128,2,0,216,377
"Scarborough--Rouge River/Scarborough--Rouge River"," 95","Scarborough",3,35,11,1,139,1,0,190,323
"Scarborough--Rouge River/Scarborough--Rouge River"," 96","Scarborough",3,55,21,1,160,1,1,242,446
"Scarborough--Rouge River/Scarborough--Rouge River"," 97","Scarborough",1,28,21,5,121,0,0,176,371
"Scarborough--Rouge River/Scarborough--Rouge River"," 98","Scarborough",1,40,13,1,149,2,3,209,389
"Scarborough--Rouge River/Scarborough--Rouge River"," 99","Scarborough",3,17,23,1,94,0,3,141,326
"Scarborough--Rouge River/Scarborough--Rouge River"," 100A","Scarborough",2,23,21,7,140,1,0,194,339
"Scarborough--Rouge River/Scarborough--Rouge River"," 100B","Scarborough",2,34,21,1,125,2,0,185,328
"Scarborough--Rouge River/Scarborough--Rouge River"," 101","Scarborough",5,45,28,1,210,1,1,291,523
"Scarborough--Rouge River/Scarborough--Rouge River"," 102","Scarborough",2,44,13,3,133,0,0,195,362
"Scarborough--Rouge River/Scarborough--Rouge River"," 103","Scarborough",5,19,39,15,124,2,4,208,410
"Scarborough--Rouge River/Scarborough--Rouge River"," 104","Scarborough",9,26,25,10,130,2,0,202,387
"Scarborough--Rouge River/Scarborough--Rouge River"," 105","Scarborough",5,48,23,12,125,3,1,217,426
"Scarborough--Rouge River/Scarborough--Rouge River"," 106","Scarborough",1,35,14,7,124,1,3,185,362
"Scarborough--Rouge River/Scarborough--Rouge River"," 107","Scarborough",2,27,29,3,158,2,2,223,487
"Scarborough--Rouge River/Scarborough--Rouge River"," 108","Scarborough",4,26,20,3,90,1,1,145,336
"Scarborough--Rouge River/Scarborough--Rouge River"," 109A","Scarborough",3,28,20,1,90,1,0,143,294
"Scarborough--Rouge River/Scarborough--Rouge River"," 109B","Scarborough",0,36,21,1,88,1,0,147,296
"Scarborough--Rouge River/Scarborough--Rouge River"," 110","Scarborough",1,39,32,6,119,1,2,200,442
"Scarborough--Rouge River/Scarborough--Rouge River"," 111","Scarborough",4,49,30,3,131,1,0,218,465
"Scarborough--Rouge River/Scarborough--Rouge River"," 112","Scarborough",1,37,14,0,124,1,0,177,374
"Scarborough--Rouge River/Scarborough--Rouge River"," 113","Scarborough",2,47,29,0,110,0,1,189,410
"Scarborough--Rouge River/Scarborough--Rouge River"," 114","Scarborough",3,36,31,2,179,0,0,251,492
"Scarborough--Rouge River/Scarborough--Rouge River"," 115","Scarborough",2,37,27,12,110,1,0,189,424
"Scarborough--Rouge River/Scarborough--Rouge River"," 116","Scarborough",1,35,26,14,136,0,1,213,443
"Scarborough--Rouge River/Scarborough--Rouge River"," 117","Scarborough",3,31,28,1,103,2,1,169,324
"Scarborough--Rouge River/Scarborough--Rouge River"," 118A","Scarborough",1,38,22,0,71,0,4,136,279
"Scarborough--Rouge River/Scarborough--Rouge River"," 118B","Scarborough",1,33,20,5,87,0,0,146,360
"Scarborough--Rouge River/Scarborough--Rouge River"," 119","Scarborough",8,44,42,0,69,1,0,164,310
"Scarborough--Rouge River/Scarborough--Rouge River"," 120","Scarborough",3,59,26,0,149,1,1,239,433
"Scarborough--Rouge River/Scarborough--Rouge River"," 121","Scarborough",8,37,24,1,137,4,0,211,373
"Scarborough--Rouge River/Scarborough--Rouge River"," 122","Scarborough",3,51,24,10,171,0,0,259,444
"Scarborough--Rouge River/Scarborough--Rouge River"," 123","Scarborough",6,61,30,2,100,1,0,200,423
"Scarborough--Rouge River/Scarborough--Rouge River"," 124","Scarborough",7,55,27,4,127,1,0,221,401
"Scarborough--Rouge River/Scarborough--Rouge River"," 125","Scarborough",7,45,34,2,154,1,1,244,435
"Scarborough--Rouge River/Scarborough--Rouge River"," 126","Scarborough",5,30,30,0,75,0,0,140,319
"Scarborough--Rouge River/Scarborough--Rouge River"," 127","Scarborough",1,47,27,2,171,1,1,250,433
"Scarborough--Rouge River/Scarborough--Rouge River"," 128","Scarborough",3,52,34,3,197,1,0,290,513
"Scarborough--Rouge River/Scarborough--Rouge River"," 129","Scarborough",1,60,13,3,224,0,0,301,526
"Scarborough--Rouge River/Scarborough--Rouge River"," 130","Scarborough",3,41,27,2,174,0,1,248,490
"Scarborough--Rouge River/Scarborough--Rouge River"," 131","Scarborough",2,30,27,0,203,2,5,269,486
"Scarborough--Rouge River/Scarborough--Rouge River"," 132A","Scarborough",2,21,15,2,91,1,1,133,243
"Scarborough--Rouge River/Scarborough--Rouge River"," 132B","Scarborough",2,25,19,2,142,1,1,192,302
"Scarborough--Rouge River/Scarborough--Rouge River"," 133","Scarborough",4,67,36,1,216,1,1,326,510
"Scarborough--Rouge River/Scarborough--Rouge River"," 134","Scarborough",5,45,31,2,136,1,4,224,442
"Scarborough--Rouge River/Scarborough--Rouge River"," 135A","Scarborough",1,31,14,6,101,0,1,154,298
"Scarborough--Rouge River/Scarborough--Rouge River"," 135B","Scarborough",2,26,7,2,114,0,0,151,305
"Scarborough--Rouge River/Scarborough--Rouge River"," 136A","Scarborough",3,32,19,3,124,0,0,181,309
"Scarborough--Rouge River/Scarborough--Rouge River"," 136B","Scarborough",5,40,23,1,84,0,0,153,274
"Scarborough--Rouge River/Scarborough--Rouge River"," 137","Scarborough",8,39,24,0,82,2,0,155,365
"Scarborough--Rouge River/Scarborough--Rouge River"," 138","Scarborough",2,49,35,5,155,1,0,247,450
"Scarborough--Rouge River/Scarborough--Rouge River"," 139","Scarborough",1,25,7,1,73,5,0,112,305
"Scarborough--Rouge River/Scarborough--Rouge River"," 140","Scarborough",0,18,15,1,72,1,2,109,220
"Scarborough--Rouge River/Scarborough--Rouge River"," 141","Scarborough",3,37,17,0,156,3,4,220,511
"Scarborough--Rouge River/Scarborough--Rouge River"," 142","Scarborough",3,54,19,3,156,7,4,246,458
"Scarborough--Rouge River/Scarborough--Rouge River"," 143","Scarborough",1,57,19,4,129,2,0,212,453
"Scarborough--Rouge River/Scarborough--Rouge River"," 144","Scarborough",9,52,30,4,156,0,0,251,408
"Scarborough--Rouge River/Scarborough--Rouge River"," 145","Scarborough",3,69,34,2,150,2,4,264,466
"Scarborough--Rouge River/Scarborough--Rouge River"," 146","Scarborough",10,49,26,4,153,0,2,244,432
"Scarborough--Rouge River/Scarborough--Rouge River"," 147","Scarborough",10,59,48,1,187,0,1,306,476
"Scarborough--Rouge River/Scarborough--Rouge River"," 148","Scarborough",4,66,32,4,144,0,0,250,411
"Scarborough--Rouge River/Scarborough--Rouge River"," 149A","Scarborough",2,56,29,3,142,2,1,235,497
"Scarborough--Rouge River/Scarborough--Rouge River"," 149B","Scarborough",2,45,26,2,201,4,3,283,506
"Scarborough--Rouge River/Scarborough--Rouge River"," 149C","Scarborough",0,45,22,1,184,1,2,255,504
"Scarborough--Rouge River/Scarborough--Rouge River"," 150","Scarborough",9,24,16,0,20,0,0,69,121
"Scarborough--Rouge River/Scarborough--Rouge River"," 150-1A","Scarborough",10,41,20,0,128,0,0,199,399
"Scarborough--Rouge River/Scarborough--Rouge River"," 150-1B","Scarborough",4,63,22,0,137,2,3,231,433
"Scarborough--Rouge River/Scarborough--Rouge River"," 400","Scarborough",3,22,9,6,93,2,2,137,183
"Scarborough--Rouge River/Scarborough--Rouge River"," 401","Scarborough",5,24,15,1,112,0,0,157,416
"Scarborough--Rouge River/Scarborough--Rouge River"," 402","Scarborough",1,28,27,0,107,3,0,166,451
"Scarborough--Rouge River/Scarborough--Rouge River"," 403","Scarborough",5,19,17,0,112,2,1,156,395
"Scarborough--Rouge River/Scarborough--Rouge River"," 404","Scarborough",2,29,23,2,110,2,0,168,435
"Scarborough--Rouge River/Scarborough--Rouge River"," 405","Scarborough",4,19,17,3,121,0,1,165,474
"Scarborough--Rouge River/Scarborough--Rouge River"," 406","Scarborough",1,38,30,1,103,1,2,176,440
"Scarborough--Rouge River/Scarborough--Rouge River"," 407","Scarborough",0,15,11,1,96,2,0,125,297
"Scarborough--Rouge River/Scarborough--Rouge River"," 408","Scarborough",0,21,23,1,68,0,0,113,257
"Scarborough--Rouge River/Scarborough--Rouge River"," 409","Scarborough",4,26,15,2,118,0,1,166,421
"Scarborough--Rouge River/Scarborough--Rouge River"," 410","Scarborough",4,36,12,0,96,2,0,150,355
"Scarborough--Rouge River/Scarborough--Rouge River"," 411A","Scarborough",4,22,9,1,73,1,0,110,287
"Scarborough--Rouge River/Scarborough--Rouge River"," 411B","Scarborough",3,33,12,3,50,1,0,102,250
"Scarborough--Rouge River/Scarborough--Rouge River"," 412","Scarborough",3,49,14,2,111,1,3,183,224
"Scarborough--Rouge River/Scarborough--Rouge River"," 413","Scarborough",0,15,6,2,88,3,1,115,312
"Scarborough--Rouge River/Scarborough--Rouge River"," 414","Scarborough",3,31,18,4,93,0,0,149,356
"Scarborough--Rouge River/Scarborough--Rouge River"," 415","Scarborough",2,18,10,3,98,0,0,131,306
"Scarborough--Rouge River/Scarborough--Rouge River"," 416","Scarborough",2,42,20,2,139,0,0,205,426
"Scarborough--Rouge River/Scarborough--Rouge River"," 417","Scarborough",1,15,17,0,66,0,0,99,254
"Scarborough--Rouge River/Scarborough--Rouge River"," 418","Scarborough",2,19,9,0,53,0,0,83,131
"Scarborough--Rouge River/Scarborough--Rouge River"," 600","Toronto",6,123,48,1,382,3,0,563,
"Scarborough--Rouge River/Scarborough--Rouge River"," 601","Toronto",9,155,49,4,542,4,2,765,
"Scarborough--Rouge River/Scarborough--Rouge River"," 602","Toronto",8,114,28,9,285,1,2,447,
"Scarborough--Rouge River/Scarborough--Rouge River"," 603","Toronto",6,165,53,2,423,3,5,657,
"Scarborough--Rouge River/Scarborough--Rouge River"," 604","Toronto",5,163,35,1,367,2,2,575,
"Scarborough--Rouge River/Scarborough--Rouge River"," 605","Toronto",5,158,48,5,330,1,0,547,
"Scarborough--Rouge River/Scarborough--Rouge River"," 606","Toronto",11,103,28,2,245,1,0,390,
"Scarborough--Rouge River/Scarborough--Rouge River"," 607","Toronto",4,98,26,4,239,0,2,373,
"Scarborough--Rouge River/Scarborough--Rouge River",,Group 1/Groupe 1,3,8,10,0,38,1,0,60,96
"Scarborough--Rouge River/Scarborough--Rouge River",,Group 2/Groupe 2,7,127,76,6,467,1,3,687,
