Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,Phill Borm,Crispin Colvin,Ken DeVries,Jonathan Martyn,Tim McCallum,Joe Preston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 113","St. Thomas",0,3,35,4,11,65,70,0,188,363
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 114","St. Thomas",1,3,50,6,10,41,67,1,179,380
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 115","St. Thomas",0,0,43,9,10,44,72,0,178,329
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 116","St. Thomas",0,0,44,6,12,57,94,0,213,382
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 117","St. Thomas",0,2,59,6,18,50,88,1,224,433
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 118","St. Thomas",0,2,56,10,19,75,72,2,236,449
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 119","St. Thomas",0,2,49,3,5,39,68,1,167,323
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 120","St. Thomas",1,1,49,13,7,35,96,3,205,377
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 121","St. Thomas",0,1,72,2,6,59,103,1,244,452
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 122","St. Thomas",0,4,77,5,10,50,92,2,240,430
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 123","St. Thomas",0,1,41,4,6,37,69,0,158,272
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124","St. Thomas",2,2,46,12,8,29,59,2,160,310
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125","St. Thomas",1,1,54,5,10,50,62,1,184,361
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126","St. Thomas",0,1,44,2,6,29,58,0,140,206
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127","St. Thomas",0,1,68,4,15,55,94,0,237,418
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128","St. Thomas",0,1,38,4,6,55,107,1,212,394
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 129","Central Elgin",0,0,69,6,11,45,133,3,267,450
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 130","Central Elgin",0,0,61,4,10,46,91,0,212,357
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 131","St. Thomas",0,3,65,6,9,38,90,0,211,413
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 132","St. Thomas",0,0,64,11,15,45,98,0,233,378
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 133","St. Thomas",1,0,58,1,14,45,82,2,203,343
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 134","St. Thomas",0,0,48,1,8,45,60,0,162,316
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 135","St. Thomas",1,0,53,5,17,52,77,3,208,418
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 136","St. Thomas",0,0,64,2,6,30,78,0,180,313
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 137","St. Thomas",0,1,57,7,4,32,90,1,192,442
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 138","St. Thomas",1,0,46,2,12,32,65,2,160,289
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 139","St. Thomas",0,2,59,5,22,68,69,0,225,371
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 140","St. Thomas",0,0,48,3,5,24,51,1,132,289
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 141","St. Thomas",1,1,45,2,9,36,60,0,154,296
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 142","St. Thomas",0,2,47,5,17,49,73,5,198,351
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 143","St. Thomas",0,1,42,3,3,63,73,3,188,368
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 144","St. Thomas",2,1,80,8,17,53,144,0,305,470
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 145","Central Elgin",0,1,35,2,7,27,100,0,172,288
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 146","St. Thomas",0,1,51,4,7,53,86,0,202,377
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 147","St. Thomas",1,1,99,6,10,64,132,1,314,479
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 148","St. Thomas",1,1,44,4,4,40,75,0,169,314
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 149","St. Thomas",0,2,40,4,15,47,84,0,192,370
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 150","St. Thomas",0,2,69,1,5,44,100,2,223,420
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 151","St. Thomas",0,1,67,3,6,35,68,0,180,348
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 152","St. Thomas",2,0,90,6,7,31,86,3,225,386
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 153","St. Thomas",0,1,76,4,8,30,97,1,217,361
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 154","St. Thomas",1,1,80,1,18,70,127,2,300,454
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 155","Yarmouth",0,0,39,3,7,31,120,0,200,310
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 156","Yarmouth",0,1,86,4,8,80,141,0,320,505
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 157","Yarmouth",1,2,21,9,11,17,65,0,126,179
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 158A","Yarmouth",0,4,79,4,27,69,139,5,327,559
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 158B","Yarmouth",0,1,86,7,15,43,132,2,286,453
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 159","Yarmouth",0,0,77,4,20,25,118,0,244,406
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 160","Yarmouth",0,0,24,3,10,20,57,0,114,184
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 161","Malahide",1,3,48,9,21,21,90,0,193,317
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 162","Yarmouth",0,3,79,3,15,60,148,0,308,483
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 163","Yarmouth",0,0,61,3,23,36,101,2,226,322
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 164","Yarmouth",0,2,46,4,16,37,74,0,179,249
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 165","Yarmouth",0,2,56,2,5,26,89,0,180,297
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 166","Yarmouth",0,3,28,3,31,31,65,1,162,239
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 167","Yarmouth",0,0,42,7,37,44,67,2,199,317
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 168","Malahide",2,1,46,4,14,51,123,1,242,504
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 169","South Dorchester",2,2,38,9,18,23,82,0,174,233
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 170","South Dorchester",0,3,61,5,17,34,99,1,220,310
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 171","South Dorchester",0,0,55,6,17,31,97,2,208,323
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 172","South Dorchester",0,3,33,7,9,24,105,1,182,319
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 173","Malahide",0,3,38,22,15,34,141,3,256,364
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 174","Malahide",0,11,44,9,15,21,170,2,272,559
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 175","Springfield",0,5,53,10,20,65,182,0,335,527
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 176","Malahide",0,1,10,6,3,9,63,1,93,274
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 177","Malahide",1,4,25,2,15,21,88,1,157,231
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 178","Malahide",0,0,12,0,3,10,81,0,106,175
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 179","Malahide",0,4,21,7,15,12,62,0,121,234
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 180","Malahide",1,3,22,9,5,21,97,0,158,306
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 181","Malahide",0,3,28,6,13,23,120,1,194,403
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 182","Malahide",0,5,28,5,5,29,96,1,169,295
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 183","Aylmer",0,0,30,0,21,35,78,0,164,333
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 184","Aylmer",1,2,23,12,5,21,68,0,132,349
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 185","Aylmer",0,0,47,4,12,39,113,3,218,437
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 186","Aylmer",1,1,37,7,21,32,69,0,168,335
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 187","Aylmer",0,5,40,5,14,26,118,0,208,427
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 188","Aylmer",1,1,45,5,19,16,81,0,168,328
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 189","Aylmer",0,1,37,6,12,31,113,4,204,419
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 190","Aylmer",0,3,49,9,20,22,117,0,220,380
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 191","Aylmer",1,1,42,5,14,20,88,0,171,340
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 192","Aylmer",0,2,49,1,23,38,103,1,217,423
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 193","Aylmer",0,0,37,6,14,19,80,0,156,271
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 194","Aylmer",1,2,50,2,13,20,58,0,146,266
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 195","Aylmer",1,0,41,4,12,29,69,0,156,294
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 196","Aylmer",0,4,27,12,16,40,132,0,231,512
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 197","Bayham",0,0,20,13,14,52,100,1,200,325
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 198","Bayham",0,7,35,6,6,37,93,1,185,346
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 199","Straffordville",1,7,35,10,9,37,120,1,220,356
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 200","Straffordville",1,6,28,3,14,30,130,1,213,368
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 201","Straffordville",4,3,34,4,5,33,83,0,166,284
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 202","Straffordville",1,2,6,4,3,22,88,1,127,269
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 203","Straffordville",1,4,44,3,9,44,113,0,218,416
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 204","Bayham",1,1,29,3,6,35,94,0,169,292
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 205","Vienna",1,1,45,0,11,53,83,0,194,433
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 206","Port Burwell",1,4,48,2,10,48,78,0,191,355
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 207","Port Burwell",0,3,32,1,11,47,75,1,170,323
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 208","Bayham",0,0,18,0,7,27,61,0,113,213
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 500","Mobile poll/Bureau itinérant",0,2,18,0,1,5,15,0,41,65
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 501","Mobile poll/Bureau itinérant",1,1,20,5,5,15,24,0,71,97
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 600","Thames Centre",0,7,80,5,14,31,163,1,301,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 601","Lambeth",2,4,154,6,15,52,294,1,528,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 602","London",0,5,73,3,15,62,116,0,274,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 603","Dorchester",1,6,173,13,31,87,463,0,774,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 604","Rodney",2,4,79,8,12,37,188,2,332,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 605","Dutton",2,3,45,3,6,62,145,0,266,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 606","Southwold",0,0,80,6,26,54,212,3,381,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 607","Lynhurst--St. Thomas",0,2,122,15,23,90,287,0,539,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 608","St. Thomas",1,5,121,7,15,63,232,5,449,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 609","St. Thomas",2,7,248,20,38,152,532,6,1005,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 610","Central Elgin",0,0,87,11,15,38,239,3,393,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 611","Malahide",0,6,54,16,10,17,244,0,347,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 612","Aylmer",2,7,119,22,14,48,369,0,581,
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 613","Bayham",1,5,50,1,13,19,170,1,260,
"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 1/Groupe 1,1,4,33,1,5,10,44,3,101,195
"Elgin--Middlesex--London/Elgin--Middlesex--London",,Group 2/Groupe 2,0,3,334,4,33,143,588,11,1116,
