Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Anne McLellan,Peggy Morton,David J. Parker,Chandra Segaran Swamy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton Centre/Edmonton-Centre"," 402","Edmonton",25,6,26,0,2,0,1,60,84
"Edmonton Centre/Edmonton-Centre"," 403","Edmonton",22,7,31,0,4,0,5,69,112
"Edmonton Centre/Edmonton-Centre"," 404","Edmonton",17,4,23,1,2,2,4,53,108
"Edmonton Centre/Edmonton-Centre"," 500","Mobile poll/Bureau itinérant",65,6,54,1,5,1,1,133,218
"Edmonton Centre/Edmonton-Centre"," 501","Mobile poll/Bureau itinérant",147,21,82,2,5,2,1,260,221
"Edmonton Centre/Edmonton-Centre"," 502","Mobile poll/Bureau itinérant",106,11,86,1,1,0,0,205,295
"Edmonton Centre/Edmonton-Centre"," 503","Mobile poll/Bureau itinérant",54,4,45,0,1,0,1,105,144
"Edmonton Centre/Edmonton-Centre"," 504","Mobile poll/Bureau itinérant",102,4,64,0,2,0,2,174,69
"Edmonton Centre/Edmonton-Centre"," 505","Mobile poll/Bureau itinérant",99,18,127,1,3,0,0,248,275
"Edmonton Centre/Edmonton-Centre"," 506","Mobile poll/Bureau itinérant",43,9,83,2,4,0,3,144,214
"Edmonton Centre/Edmonton-Centre"," 507","Mobile poll/Bureau itinérant",75,35,45,1,4,1,1,162,113
"Edmonton Centre/Edmonton-Centre"," 508","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,85
"Edmonton Centre/Edmonton-Centre"," 600","Edmonton",335,65,152,1,21,2,3,579,
"Edmonton Centre/Edmonton-Centre"," 601","Edmonton",171,40,135,0,20,0,1,367,
"Edmonton Centre/Edmonton-Centre"," 602","Edmonton",379,30,119,0,19,3,2,552,
"Edmonton Centre/Edmonton-Centre"," 603","Edmonton",406,33,253,1,23,1,0,717,
"Edmonton Centre/Edmonton-Centre"," 604","Edmonton",194,49,234,1,24,3,1,506,
"Edmonton Centre/Edmonton-Centre"," 605","Edmonton",655,109,693,1,47,3,2,1510,
"Edmonton Centre/Edmonton-Centre"," 606","Edmonton",230,41,177,0,22,1,0,471,
"Edmonton Centre/Edmonton-Centre"," 607","Edmonton",180,21,91,0,4,2,0,298,
"Edmonton Centre/Edmonton-Centre"," 608","Edmonton",294,25,161,0,12,1,0,493,
"Edmonton Centre/Edmonton-Centre"," 609","Edmonton",372,20,169,1,18,2,2,584,
"Edmonton Centre/Edmonton-Centre"," 610","Edmonton",324,18,189,0,21,2,0,554,
"Edmonton Centre/Edmonton-Centre",,Group 1/Groupe 1,73,23,153,0,25,2,8,284,423
"Edmonton Centre/Edmonton-Centre",,Group 2/Groupe 2,1298,208,938,5,66,0,16,2531,
