Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lancine Diawara,David Fiset,Philippe Haese,Sébastien Legris,Adam Sommerfeld,Caroline St-Hilaire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 47","Longueuil",35,1,17,34,12,142,3,244,394
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 48","Longueuil",27,2,27,43,15,166,3,283,485
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 49","Longueuil",30,3,15,31,12,117,6,214,320
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 50","Longueuil",21,2,28,42,8,139,1,241,390
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 51","Longueuil",32,2,20,41,11,160,3,269,425
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 52","Longueuil",27,1,37,58,17,133,2,275,369
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 53","Longueuil",41,2,15,44,18,136,2,258,389
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 54","Longueuil",24,3,34,64,11,157,1,294,436
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 55","Longueuil",32,1,27,58,7,111,1,237,396
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 56","Longueuil",48,1,24,63,13,117,6,272,418
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 57","Longueuil",45,1,20,45,14,130,0,255,370
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 58","Longueuil",37,0,56,49,10,149,4,305,401
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 59","Longueuil",23,2,23,39,10,117,4,218,364
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 60","Longueuil",31,3,13,23,11,127,2,210,445
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 61","Longueuil",7,0,17,16,9,65,1,115,259
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 62","Longueuil",30,2,33,25,10,127,1,228,418
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 63","Longueuil",24,2,17,34,6,131,4,218,363
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 64A","Longueuil",31,1,29,105,9,87,0,262,418
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 64B","Longueuil",37,0,25,79,11,102,1,255,416
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 65","Longueuil",16,0,10,29,4,110,3,172,324
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 66","Longueuil",21,3,18,40,6,160,0,248,435
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 67","Longueuil",25,2,28,63,6,180,2,306,455
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 68","Longueuil",23,1,25,43,10,115,5,222,409
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 69","Longueuil",23,0,23,32,8,155,3,244,516
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 70","Longueuil",27,0,12,32,11,122,0,204,337
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 71","Longueuil",37,1,31,50,18,182,2,321,474
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 72","Longueuil",36,0,15,58,5,105,6,225,434
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 73","Longueuil",33,1,24,34,12,136,3,243,374
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 74","Longueuil",41,3,24,50,9,77,0,204,299
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 75","Longueuil",13,3,12,43,4,109,1,185,373
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 76","Longueuil",32,2,25,85,14,121,0,279,431
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 77","Longueuil",27,0,27,42,9,138,1,244,372
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 78","Longueuil",36,3,18,40,17,96,3,213,389
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 79","Longueuil",13,3,12,20,9,77,0,134,224
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80A","Longueuil",33,3,16,59,4,122,4,241,423
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80B","Longueuil",36,4,29,61,9,110,2,251,409
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80C","Longueuil",36,2,25,60,5,155,3,286,493
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 81","Longueuil",25,2,19,40,3,138,0,227,369
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 82","Longueuil",22,4,22,29,12,165,3,257,368
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 83","Longueuil",22,5,30,55,12,181,0,305,458
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 84","Longueuil",38,2,52,69,12,169,3,345,504
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 85","Longueuil",18,1,37,52,10,153,3,274,461
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 86","Longueuil",35,6,47,59,22,161,1,331,490
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 87","Longueuil",16,2,10,42,5,158,7,240,345
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 88","Longueuil",40,1,16,54,13,136,2,262,410
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 89","Longueuil",17,7,12,27,2,121,0,186,398
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 90","Longueuil",29,1,16,44,13,120,6,229,521
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 91","Longueuil",29,2,14,34,5,149,4,237,396
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 92","Longueuil",48,1,18,40,16,131,2,256,482
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 93","Longueuil",18,0,13,19,7,143,5,205,488
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 94","Longueuil",24,1,10,33,6,68,2,144,309
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 95","Longueuil",42,1,20,36,11,98,1,209,329
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 96","Longueuil",10,2,20,25,4,92,5,158,410
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 97","Longueuil",16,1,9,21,6,83,0,136,371
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 98","Longueuil",28,3,9,26,7,124,3,200,404
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 99","Longueuil",25,2,13,17,6,96,3,162,372
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 100","Longueuil",18,2,6,27,5,123,2,183,336
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 101","Longueuil",22,2,13,24,9,105,3,178,356
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 102","Longueuil",32,4,9,40,6,114,5,210,365
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 103","Longueuil",13,1,5,11,3,86,3,122,336
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 104","Longueuil",23,2,17,30,8,127,4,211,449
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 105","Longueuil",12,2,11,15,5,89,3,137,300
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 106","Longueuil",18,0,16,42,9,120,3,208,375
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 107","Longueuil",32,4,27,21,10,106,1,201,396
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 108","Longueuil",14,2,19,31,8,98,7,179,420
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 109","Longueuil",15,5,29,31,11,107,2,200,348
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 110","Longueuil",20,2,23,29,12,166,1,253,451
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 111","Longueuil",17,1,20,49,9,92,2,190,370
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 112","Longueuil",11,0,6,19,1,21,1,59,392
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 113A","Longueuil",18,1,29,13,18,81,3,163,236
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 113B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,166
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 114","Longueuil",28,0,9,40,10,104,3,194,390
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 115","Longueuil",21,2,17,27,0,104,2,173,481
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 116","Longueuil",25,4,8,24,3,128,5,197,495
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 117","Longueuil",8,1,13,29,3,83,0,137,334
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 118","Longueuil",16,2,14,31,4,113,5,185,413
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 119","Longueuil",25,2,16,28,6,125,6,208,482
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 120","Longueuil",16,0,4,23,6,101,6,156,399
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 121","Longueuil",54,2,14,53,9,126,0,258,402
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 122","Longueuil",28,2,10,19,8,111,0,178,351
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 123","Longueuil",56,1,16,52,5,106,3,239,403
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 124","Longueuil",27,0,7,24,8,92,1,159,322
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 125","Longueuil",19,2,3,26,6,106,0,162,329
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 126","Longueuil",20,1,7,20,4,125,3,180,380
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 127","Longueuil",36,3,15,27,3,126,2,212,384
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 128","Longueuil",22,2,9,29,2,133,6,203,404
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 129","Longueuil",14,0,12,35,7,101,4,173,342
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 130","Longueuil",17,2,8,12,3,106,0,148,324
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 131","Longueuil",27,0,16,30,5,89,3,170,420
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 132","Longueuil",31,2,14,36,7,129,7,226,461
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 133","Longueuil",19,2,15,23,4,81,2,146,450
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 134","Longueuil",20,1,16,30,12,120,5,204,386
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 135","Longueuil",38,2,12,29,5,96,1,183,372
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 136","Longueuil",27,1,24,55,8,172,2,289,460
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 137A","Longueuil",31,0,22,59,7,137,1,257,388
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 137B","Longueuil",20,1,23,49,10,130,1,234,404
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 138","Longueuil",17,2,28,46,6,168,0,267,427
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 139","Longueuil",17,1,13,40,8,113,2,194,321
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 140","Longueuil",29,0,19,25,9,86,2,170,377
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 141","Longueuil",31,2,19,35,8,97,0,192,329
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 142","Longueuil",34,0,20,36,10,112,1,213,335
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 143","Longueuil",13,1,1,15,2,75,0,107,390
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 144A","Longueuil",14,0,5,15,2,63,1,100,265
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 144B","Longueuil",13,1,5,12,2,63,3,99,293
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 145","Longueuil",20,2,6,21,7,86,0,142,505
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 146","Longueuil",20,0,22,43,5,147,0,237,361
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 147","Longueuil",22,1,20,47,6,156,2,254,432
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 148","Longueuil",16,2,24,35,10,130,6,223,361
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 149","Longueuil",25,5,16,32,5,149,4,236,460
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 150","Longueuil",23,4,30,52,10,184,6,309,461
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 151","Longueuil",24,3,18,27,7,103,3,185,289
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 152","Longueuil",32,1,24,41,8,134,6,246,385
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 153","Longueuil",39,2,29,35,9,130,3,247,436
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 154","Longueuil",21,4,2,11,5,62,2,107,390
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 155","Longueuil",15,2,4,15,1,55,0,92,256
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 156","Longueuil",26,2,8,16,3,70,3,128,367
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 157","Longueuil",14,0,5,10,3,57,2,91,243
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 158","Longueuil",27,3,13,26,10,125,2,206,518
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 159","Longueuil",27,3,21,56,12,155,2,276,424
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 160","Longueuil",26,4,14,31,3,84,1,163,282
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 161","Longueuil",13,4,11,27,3,85,1,144,248
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 162","Longueuil",Void/Supprimé,,,,,,,,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 163","Longueuil",21,5,25,25,5,99,2,182,401
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 164","Longueuil",20,1,19,43,12,137,2,234,424
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 165","Longueuil",21,2,12,14,8,95,3,155,387
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 166","Longueuil",11,2,19,27,15,122,5,201,295
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 167","Longueuil",15,3,26,24,19,169,6,262,422
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 168","Longueuil",13,4,35,40,21,152,1,266,417
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 169","Longueuil",21,5,25,23,10,155,3,242,419
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 170","Longueuil",19,2,13,38,6,88,3,169,342
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 171","Longueuil",21,2,11,12,3,55,1,105,292
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 172","Longueuil",28,3,7,30,6,55,1,130,361
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 173","Longueuil",24,0,21,31,20,143,2,241,398
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 174","Longueuil",62,3,27,44,16,118,5,275,512
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 175","Longueuil",18,0,27,22,14,129,1,211,367
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 176","Longueuil",20,0,20,32,12,135,3,222,351
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 177","Longueuil",20,1,21,19,13,138,4,216,401
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 178","Longueuil",22,2,24,18,7,86,3,162,263
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 179","Longueuil",22,4,24,23,11,134,2,220,370
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 180","Longueuil",22,1,7,25,7,121,3,186,388
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 181","Longueuil",20,1,5,22,3,128,0,179,353
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 182","Longueuil",17,2,4,26,3,127,4,183,358
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 183","Longueuil",23,0,15,22,11,108,5,184,429
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 184","Longueuil",25,7,13,22,13,114,3,197,351
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 185","Longueuil",21,1,12,36,5,126,4,205,374
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 186","Longueuil",9,1,17,28,14,116,1,186,295
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 187","Longueuil",21,0,22,21,11,148,1,224,345
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 188","Longueuil",19,1,36,14,19,108,0,197,307
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 189","Longueuil",12,2,21,26,15,127,1,204,334
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 190","Longueuil",36,1,30,21,7,96,0,191,337
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 191","Longueuil",10,2,15,31,2,78,3,141,267
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 192","Longueuil",30,3,19,26,11,116,3,208,380
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 193","Longueuil",13,1,9,17,11,83,2,136,315
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 500","Mobile poll/Bureau itinérant",73,5,4,18,2,19,8,129,59
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 600","Longueuil",105,6,48,157,15,277,11,619,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 601","Longueuil",121,2,66,213,30,388,6,826,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 602","Longueuil",108,6,47,156,16,336,8,677,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 603","Longueuil",178,3,70,263,27,559,5,1105,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 604","Longueuil",136,1,28,145,18,283,6,617,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 605","Longueuil",70,2,17,89,4,213,13,408,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 606","Longueuil",98,6,43,122,17,390,12,688,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 607","Longueuil",135,10,49,150,22,294,15,675,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 608","Longueuil",59,8,18,88,10,237,5,425,
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher",,Group 1/Groupe 1,15,2,5,22,4,58,4,110,194
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher",,Group 2/Groupe 2,208,6,87,197,19,846,17,1380,
