Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodger Cuzner,Rob Hines,Kenzie MacNeil,Hector Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cape Breton--Canso/Cape Breton--Canso"," 44","Port Hawkesbury",77,2,47,18,1,145,281
"Cape Breton--Canso/Cape Breton--Canso"," 45","Port Hawkesbury",144,5,69,54,2,274,435
"Cape Breton--Canso/Cape Breton--Canso"," 46","Port Hawkesbury",86,6,56,39,2,189,385
"Cape Breton--Canso/Cape Breton--Canso"," 47","Port Hawkesbury",83,1,48,48,1,181,365
"Cape Breton--Canso/Cape Breton--Canso"," 48A","Port Hawkesbury",55,6,26,32,0,119,269
"Cape Breton--Canso/Cape Breton--Canso"," 48B","Port Hawkesbury",70,2,35,25,3,135,317
"Cape Breton--Canso/Cape Breton--Canso"," 49","Cleveland",67,4,46,34,3,154,202
"Cape Breton--Canso/Cape Breton--Canso"," 50","Cleveland",144,7,67,77,3,298,504
"Cape Breton--Canso/Cape Breton--Canso"," 51","St. Georges Channel",78,11,72,33,1,195,295
"Cape Breton--Canso/Cape Breton--Canso"," 52","Sampsonville",86,9,87,60,4,246,344
"Cape Breton--Canso/Cape Breton--Canso"," 53","River Bourgeois",92,9,60,40,2,203,319
"Cape Breton--Canso/Cape Breton--Canso"," 54","Louisdale",94,5,70,31,1,201,306
"Cape Breton--Canso/Cape Breton--Canso"," 55","River Bourgeois",75,4,79,45,1,204,330
"Cape Breton--Canso/Cape Breton--Canso"," 56A","St. Peter's",86,1,41,31,1,160,264
"Cape Breton--Canso/Cape Breton--Canso"," 56B","St. Peter's",104,6,64,20,3,197,324
"Cape Breton--Canso/Cape Breton--Canso"," 57","Louisdale",59,0,63,21,0,143,189
"Cape Breton--Canso/Cape Breton--Canso"," 58","Louisdale",170,1,55,24,2,252,364
"Cape Breton--Canso/Cape Breton--Canso"," 59","Janvrin Harbour",71,2,59,28,0,160,240
"Cape Breton--Canso/Cape Breton--Canso"," 60","D'Escousse",120,12,59,37,4,232,377
"Cape Breton--Canso/Cape Breton--Canso"," 61","D'Escousse",109,7,53,36,0,205,293
"Cape Breton--Canso/Cape Breton--Canso"," 62","Arichat",106,4,64,34,5,213,333
"Cape Breton--Canso/Cape Breton--Canso"," 63","Arichat",128,5,83,47,1,264,420
"Cape Breton--Canso/Cape Breton--Canso"," 64","Arichat",163,7,67,52,1,290,435
"Cape Breton--Canso/Cape Breton--Canso"," 65A","Petit-de-Grat",122,7,51,33,5,218,371
"Cape Breton--Canso/Cape Breton--Canso"," 65B","Petit-de-Grat",75,0,35,20,0,130,205
"Cape Breton--Canso/Cape Breton--Canso"," 66","Petit-de-Grat",45,1,15,12,2,75,93
"Cape Breton--Canso/Cape Breton--Canso"," 67","Sampsons Cove",83,3,59,17,2,164,260
"Cape Breton--Canso/Cape Breton--Canso"," 68","Johnstown",57,0,26,25,1,109,136
"Cape Breton--Canso/Cape Breton--Canso"," 69","Chapel Island 5",104,7,32,64,3,210,420
"Cape Breton--Canso/Cape Breton--Canso"," 70","Rockdale",115,3,68,39,1,226,375
"Cape Breton--Canso/Cape Breton--Canso"," 71","L'Ardoise",85,2,35,18,1,141,241
"Cape Breton--Canso/Cape Breton--Canso"," 72","L'Ardoise",75,4,40,38,2,159,280
"Cape Breton--Canso/Cape Breton--Canso"," 73","Grand River",30,1,35,10,1,77,142
"Cape Breton--Canso/Cape Breton--Canso"," 74","Framboise",31,2,13,9,0,55,93
"Cape Breton--Canso/Cape Breton--Canso"," 75","Mira Road",143,13,62,56,1,275,417
"Cape Breton--Canso/Cape Breton--Canso"," 76","Mira Road",166,5,42,62,1,276,387
"Cape Breton--Canso/Cape Breton--Canso"," 77","Dutch Brook",92,11,37,59,2,201,295
"Cape Breton--Canso/Cape Breton--Canso"," 78A","Hillside",62,5,35,29,1,132,240
"Cape Breton--Canso/Cape Breton--Canso"," 78B","Hillside",106,4,49,25,1,185,306
"Cape Breton--Canso/Cape Breton--Canso"," 79","Sydney Forks",114,5,55,46,1,221,363
"Cape Breton--Canso/Cape Breton--Canso"," 80","Sydney Forks",167,12,69,34,2,284,443
"Cape Breton--Canso/Cape Breton--Canso"," 81","Sydney Forks",152,11,57,35,1,256,417
"Cape Breton--Canso/Cape Breton--Canso"," 82","Sydney Forks",175,13,50,41,1,280,450
"Cape Breton--Canso/Cape Breton--Canso"," 83","Sydney Forks",133,11,43,55,1,243,410
"Cape Breton--Canso/Cape Breton--Canso"," 84","Sydney Forks",48,7,33,24,0,112,185
"Cape Breton--Canso/Cape Breton--Canso"," 85","Dutch Brook",55,0,25,26,0,106,198
"Cape Breton--Canso/Cape Breton--Canso"," 86","Sydney Forks",125,2,59,61,1,248,483
"Cape Breton--Canso/Cape Breton--Canso"," 87","Sydney Forks",147,11,68,51,0,277,441
"Cape Breton--Canso/Cape Breton--Canso"," 88","Sydney Forks",133,2,44,56,0,235,352
"Cape Breton--Canso/Cape Breton--Canso"," 89","Sydney Forks",114,6,47,53,0,220,372
"Cape Breton--Canso/Cape Breton--Canso"," 90","Sydney Forks",79,3,37,36,1,156,267
"Cape Breton--Canso/Cape Breton--Canso"," 91","Dutch Brook",111,10,40,34,1,196,304
"Cape Breton--Canso/Cape Breton--Canso"," 92","Sydney Forks",114,2,50,67,4,237,414
"Cape Breton--Canso/Cape Breton--Canso"," 93","Blacketts Lake",114,11,30,32,1,188,299
"Cape Breton--Canso/Cape Breton--Canso"," 94","Big Pond",133,2,45,49,0,229,394
"Cape Breton--Canso/Cape Breton--Canso"," 95","Huntington",94,8,45,21,1,169,285
"Cape Breton--Canso/Cape Breton--Canso"," 96","Catalone",179,14,71,55,2,321,478
"Cape Breton--Canso/Cape Breton--Canso"," 97","Main-à-Dieu",66,3,26,51,2,148,286
"Cape Breton--Canso/Cape Breton--Canso"," 98","Bateston",163,9,66,57,3,298,478
"Cape Breton--Canso/Cape Breton--Canso"," 99","Louisbourg",78,8,34,26,0,146,266
"Cape Breton--Canso/Cape Breton--Canso"," 100","Louisbourg",77,4,30,25,0,136,237
"Cape Breton--Canso/Cape Breton--Canso"," 101","Louisbourg",133,5,27,26,4,195,339
"Cape Breton--Canso/Cape Breton--Canso"," 102","Trout Brook",114,3,52,50,4,223,357
"Cape Breton--Canso/Cape Breton--Canso"," 103","Grand Mira South",118,2,58,36,0,214,320
"Cape Breton--Canso/Cape Breton--Canso"," 104","Gabarus",65,9,36,28,0,138,196
"Cape Breton--Canso/Cape Breton--Canso"," 105","Gardiner Mines",83,11,26,93,2,215,351
"Cape Breton--Canso/Cape Breton--Canso"," 106A","Gardiner Mines",135,0,34,56,0,225,401
"Cape Breton--Canso/Cape Breton--Canso"," 106B","Gardiner Mines",76,0,17,28,0,121,204
"Cape Breton--Canso/Cape Breton--Canso"," 107","Reserve Mines",112,4,14,57,1,188,372
"Cape Breton--Canso/Cape Breton--Canso"," 108","Reserve Mines",85,4,30,42,0,161,322
"Cape Breton--Canso/Cape Breton--Canso"," 109","Reserve Mines",105,6,47,59,1,218,358
"Cape Breton--Canso/Cape Breton--Canso"," 110","Grand Lake Road",129,7,37,61,2,236,393
"Cape Breton--Canso/Cape Breton--Canso"," 111","Grand Lake Road",117,7,28,37,1,190,302
"Cape Breton--Canso/Cape Breton--Canso"," 112","Gardiner Mines",143,2,25,62,0,232,406
"Cape Breton--Canso/Cape Breton--Canso"," 113","Cape Breton",93,4,24,73,1,195,318
"Cape Breton--Canso/Cape Breton--Canso"," 114","Cape Breton",98,7,33,79,2,219,384
"Cape Breton--Canso/Cape Breton--Canso"," 115","Cape Breton",114,4,41,73,0,232,367
"Cape Breton--Canso/Cape Breton--Canso"," 116","Cape Breton",58,2,11,34,0,105,253
"Cape Breton--Canso/Cape Breton--Canso"," 117","Cape Breton",123,3,34,65,0,225,389
"Cape Breton--Canso/Cape Breton--Canso"," 118","Cape Breton",70,1,16,77,0,164,315
"Cape Breton--Canso/Cape Breton--Canso"," 119","Cape Breton",121,2,18,96,4,241,432
"Cape Breton--Canso/Cape Breton--Canso"," 120","Cape Breton",104,3,28,97,0,232,511
"Cape Breton--Canso/Cape Breton--Canso"," 121","Cape Breton",106,1,19,68,1,195,320
"Cape Breton--Canso/Cape Breton--Canso"," 122","Cape Breton",110,5,19,54,2,190,303
"Cape Breton--Canso/Cape Breton--Canso"," 123","Cape Breton",56,5,8,27,0,96,186
"Cape Breton--Canso/Cape Breton--Canso"," 124","Cape Breton",65,4,18,45,1,133,281
"Cape Breton--Canso/Cape Breton--Canso"," 125","Glace Bay",116,3,29,50,1,199,368
"Cape Breton--Canso/Cape Breton--Canso"," 126","Cape Breton",181,5,48,74,1,309,498
"Cape Breton--Canso/Cape Breton--Canso"," 127","Cape Breton",124,7,30,43,2,206,369
"Cape Breton--Canso/Cape Breton--Canso"," 128","Cape Breton",121,5,29,51,2,208,332
"Cape Breton--Canso/Cape Breton--Canso"," 129","Cape Breton",85,6,27,32,0,150,283
"Cape Breton--Canso/Cape Breton--Canso"," 130","Cape Breton",113,3,39,78,0,233,395
"Cape Breton--Canso/Cape Breton--Canso"," 131","Cape Breton",91,1,27,63,2,184,269
"Cape Breton--Canso/Cape Breton--Canso"," 132","Cape Breton",177,3,34,54,0,268,445
"Cape Breton--Canso/Cape Breton--Canso"," 133","Cape Breton",167,10,27,54,0,258,406
"Cape Breton--Canso/Cape Breton--Canso"," 134","Cape Breton",106,4,27,49,2,188,358
"Cape Breton--Canso/Cape Breton--Canso"," 135","Cape Breton",122,6,38,39,1,206,413
"Cape Breton--Canso/Cape Breton--Canso"," 136","Cape Breton",113,3,15,23,0,154,295
"Cape Breton--Canso/Cape Breton--Canso"," 137","Cape Breton",75,4,30,38,1,148,303
"Cape Breton--Canso/Cape Breton--Canso"," 138","Cape Breton",58,2,18,38,1,117,270
"Cape Breton--Canso/Cape Breton--Canso"," 139","Cape Breton",101,1,37,26,0,165,357
"Cape Breton--Canso/Cape Breton--Canso"," 140","Cape Breton",95,2,18,55,1,171,349
"Cape Breton--Canso/Cape Breton--Canso"," 141","Cape Breton",56,4,14,31,0,105,246
"Cape Breton--Canso/Cape Breton--Canso"," 142","Cape Breton",114,7,20,36,1,178,353
"Cape Breton--Canso/Cape Breton--Canso"," 143","Cape Breton",105,2,29,54,1,191,348
"Cape Breton--Canso/Cape Breton--Canso"," 144","Cape Breton",66,4,17,40,0,127,337
"Cape Breton--Canso/Cape Breton--Canso"," 145","Cape Breton",99,6,29,61,0,195,368
"Cape Breton--Canso/Cape Breton--Canso"," 146","Cape Breton",96,3,31,40,0,170,337
"Cape Breton--Canso/Cape Breton--Canso"," 147","Cape Breton",83,1,28,45,2,159,328
"Cape Breton--Canso/Cape Breton--Canso"," 148","Cape Breton",104,4,37,55,1,201,383
"Cape Breton--Canso/Cape Breton--Canso"," 149","Cape Breton",82,3,16,45,1,147,280
"Cape Breton--Canso/Cape Breton--Canso"," 150A","Cape Breton",62,3,18,47,2,132,246
"Cape Breton--Canso/Cape Breton--Canso"," 150B","Cape Breton",87,6,25,40,1,159,300
"Cape Breton--Canso/Cape Breton--Canso"," 151","Cape Breton",117,1,21,48,0,187,370
"Cape Breton--Canso/Cape Breton--Canso"," 152","Cape Breton",49,3,22,44,1,119,241
"Cape Breton--Canso/Cape Breton--Canso"," 153","Cape Breton",117,6,26,49,0,198,341
"Cape Breton--Canso/Cape Breton--Canso"," 154","Cape Breton",96,2,23,64,1,186,348
"Cape Breton--Canso/Cape Breton--Canso"," 155","Cape Breton",99,0,18,46,1,164,295
"Cape Breton--Canso/Cape Breton--Canso"," 156","Donkin",111,9,42,62,2,226,385
"Cape Breton--Canso/Cape Breton--Canso"," 157","Donkin",113,1,25,51,2,192,330
"Cape Breton--Canso/Cape Breton--Canso"," 158","Port Morien",109,10,42,46,0,207,299
"Cape Breton--Canso/Cape Breton--Canso"," 159","Port Morien",110,2,37,51,1,201,319
"Cape Breton--Canso/Cape Breton--Canso"," 160","Table Head",55,1,23,56,0,135,243
"Cape Breton--Canso/Cape Breton--Canso"," 161","Birch Grove",120,4,40,42,2,208,332
"Cape Breton--Canso/Cape Breton--Canso"," 162","Mira Road",97,7,61,54,3,222,335
"Cape Breton--Canso/Cape Breton--Canso"," 163","Mulgrave",83,3,37,50,0,173,297
"Cape Breton--Canso/Cape Breton--Canso"," 164A","Havre Boucher",46,6,29,47,4,132,267
"Cape Breton--Canso/Cape Breton--Canso"," 164B","Havre Boucher",50,2,37,39,1,129,232
"Cape Breton--Canso/Cape Breton--Canso"," 165","Hadleyville",32,0,32,16,1,81,136
"Cape Breton--Canso/Cape Breton--Canso"," 166","St. Francis Harbour",32,6,42,20,1,101,161
"Cape Breton--Canso/Cape Breton--Canso"," 167","Havre Boucher",121,2,102,23,1,249,434
"Cape Breton--Canso/Cape Breton--Canso"," 168","Boylston",37,2,54,15,0,108,169
"Cape Breton--Canso/Cape Breton--Canso"," 169","Hazel Hill",79,2,65,26,2,174,260
"Cape Breton--Canso/Cape Breton--Canso"," 170","Canso",76,3,66,29,0,174,319
"Cape Breton--Canso/Cape Breton--Canso"," 171","Canso",35,2,39,12,1,89,191
"Cape Breton--Canso/Cape Breton--Canso"," 172","Canso",61,3,45,26,0,135,236
"Cape Breton--Canso/Cape Breton--Canso"," 173","Little Dover",105,5,75,32,4,221,308
"Cape Breton--Canso/Cape Breton--Canso"," 174","Halfway Cove",48,2,70,39,1,160,308
"Cape Breton--Canso/Cape Breton--Canso"," 175","Port Felix",58,4,54,34,1,151,249
"Cape Breton--Canso/Cape Breton--Canso"," 176","Guysborough",95,2,94,22,1,214,388
"Cape Breton--Canso/Cape Breton--Canso"," 177","Guysborough",70,3,32,20,1,126,257
"Cape Breton--Canso/Cape Breton--Canso"," 178","Charlos Cove",79,5,39,26,1,150,238
"Cape Breton--Canso/Cape Breton--Canso"," 179","Torbay",66,2,73,21,1,163,253
"Cape Breton--Canso/Cape Breton--Canso"," 180","Goshen",31,2,47,10,0,90,144
"Cape Breton--Canso/Cape Breton--Canso"," 181","Goldboro",13,0,28,24,0,65,138
"Cape Breton--Canso/Cape Breton--Canso"," 182","Isaacs Harbour",36,4,41,30,1,112,168
"Cape Breton--Canso/Cape Breton--Canso"," 183","Aspen",95,3,67,36,1,202,355
"Cape Breton--Canso/Cape Breton--Canso"," 184","Port Bickerton",Void/Supprimé,,,,,,
"Cape Breton--Canso/Cape Breton--Canso"," 500","Mobile poll/Bureau itinérant",51,2,29,4,1,87,132
"Cape Breton--Canso/Cape Breton--Canso"," 501","Mobile poll/Bureau itinérant",29,3,7,15,2,56,175
"Cape Breton--Canso/Cape Breton--Canso"," 502","Mobile poll/Bureau itinérant",42,5,22,10,3,82,112
"Cape Breton--Canso/Cape Breton--Canso"," 503","Mobile poll/Bureau itinérant",28,2,9,3,0,42,102
"Cape Breton--Canso/Cape Breton--Canso"," 600","Chéticamp",127,5,46,17,2,197,
"Cape Breton--Canso/Cape Breton--Canso"," 601","Inverness",99,12,53,15,0,179,
"Cape Breton--Canso/Cape Breton--Canso"," 602","Port Hawkesbury",213,7,106,42,3,371,
"Cape Breton--Canso/Cape Breton--Canso"," 603","Arichat",91,3,57,28,1,180,
"Cape Breton--Canso/Cape Breton--Canso"," 604","Rockdale",78,6,42,23,1,150,
"Cape Breton--Canso/Cape Breton--Canso"," 605","Sydney Forks",404,18,120,90,4,636,
"Cape Breton--Canso/Cape Breton--Canso"," 606","Louisbourg",110,4,45,27,1,187,
"Cape Breton--Canso/Cape Breton--Canso"," 607","Reserve Mines",74,2,14,26,0,116,
"Cape Breton--Canso/Cape Breton--Canso"," 608","Glace Bay",225,3,83,116,3,430,
"Cape Breton--Canso/Cape Breton--Canso"," 609","Glace Bay",345,11,102,108,4,570,
"Cape Breton--Canso/Cape Breton--Canso"," 610","Donkin",60,5,33,27,1,126,
"Cape Breton--Canso/Cape Breton--Canso"," 611","Guysborough",40,2,15,15,0,72,
"Cape Breton--Canso/Cape Breton--Canso"," 612","Canso",36,3,15,9,0,63,
"Cape Breton--Canso/Cape Breton--Canso"," 613","Guysborough",38,0,30,11,0,79,
"Cape Breton--Canso/Cape Breton--Canso",,Group 1/Groupe 1,100,9,68,32,7,216,692
"Cape Breton--Canso/Cape Breton--Canso",,Group 2/Groupe 2,641,17,181,186,29,1054,
