Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Hiebert,Brian Marlatt,Jim McMurtry,Pierre Rovtar,Libby Thornton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 26","Surrey",91,4,38,8,49,0,190,318
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 27","Surrey",104,4,70,9,45,3,235,433
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 28","Surrey",143,2,74,10,48,0,277,479
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 29","Surrey",80,1,46,4,39,0,170,252
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 30","Surrey",117,1,50,9,42,1,220,361
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 31","Surrey",75,0,49,10,43,0,177,283
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 32","Surrey",93,1,50,26,62,0,232,369
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 33","Surrey",102,5,80,24,55,1,267,479
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 34","Surrey",126,3,68,7,64,1,269,425
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 35","Surrey",170,2,69,13,47,0,301,448
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 36","Surrey",133,1,57,11,54,0,256,441
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 37","Surrey",122,1,89,12,48,0,272,458
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 38","Surrey",94,2,53,9,53,0,211,349
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 39","Surrey",101,1,75,15,55,0,247,364
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 40","Surrey",165,1,62,21,60,0,309,501
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 41","Surrey",116,0,60,14,62,0,252,403
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 42","Surrey",94,4,51,14,76,0,239,428
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 43","Surrey",111,1,69,8,24,1,214,366
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 44","Surrey",100,1,40,13,20,0,174,342
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 45","Surrey",73,1,87,10,40,1,212,404
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 46","Surrey",102,2,47,14,10,0,175,304
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 47","Surrey",102,1,96,17,33,0,249,415
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 48","Surrey",89,1,62,39,64,0,255,386
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 49","Surrey",92,2,70,24,60,0,248,352
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 50","Surrey",130,1,116,21,42,1,311,466
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 51","Surrey",70,1,83,29,55,0,238,334
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 52","Surrey",67,2,61,24,24,0,178,254
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 53","Surrey",131,1,57,18,53,2,262,407
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 54","Surrey",126,0,95,18,34,0,273,410
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 55","Surrey",161,0,71,8,23,1,264,432
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 56","Surrey",106,2,70,11,22,1,212,328
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 57","Surrey",164,2,112,16,39,0,333,543
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 58","Surrey",96,0,64,7,9,0,176,298
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 59","Surrey",82,3,42,8,19,0,154,273
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 60","Surrey",98,2,75,14,14,1,204,347
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 61","Surrey",173,0,97,8,30,0,308,515
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62A","Surrey",183,0,90,14,18,0,305,516
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 62B","Surrey",170,2,96,9,24,0,301,511
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63A","Surrey",128,1,110,13,41,0,293,477
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 63B","Surrey",122,0,95,19,36,0,272,446
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 64","Surrey",99,1,64,9,43,0,216,357
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 65","Surrey",92,1,80,8,16,2,199,301
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 66","Surrey",116,1,73,9,16,0,215,418
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 67","Surrey",91,0,49,5,35,0,180,338
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 68","Surrey",106,0,98,7,21,0,232,410
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 69","Surrey",85,1,64,17,42,0,209,369
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 70","Surrey",120,2,106,26,99,0,353,534
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 71","Surrey",100,0,62,4,30,0,196,328
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72A","Surrey",128,0,107,11,37,0,283,446
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72B","Surrey",127,0,104,7,34,0,272,454
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 72C","Surrey",127,2,74,4,29,0,236,405
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 73","Surrey",105,0,62,9,31,0,207,327
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 74","Surrey",53,2,47,12,31,0,145,257
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 75","Surrey",123,2,105,30,30,0,290,395
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 76","Surrey",120,1,108,20,39,0,288,404
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 77","Surrey",130,2,82,22,47,0,283,401
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 78","Surrey",109,2,87,15,52,0,265,366
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 79","Surrey",128,1,86,8,23,1,247,369
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 80","Surrey",119,1,79,18,41,0,258,350
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 81","Surrey",119,3,82,16,35,0,255,397
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 82","Surrey",80,0,47,22,23,1,173,265
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 83","Surrey",84,2,88,19,53,0,246,395
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 84","Surrey",118,3,82,29,38,2,272,416
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 85","Surrey",88,0,89,15,42,3,237,349
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 86","Surrey",108,0,83,8,31,0,230,337
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 87","Surrey",129,1,83,12,25,0,250,384
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 88","Surrey",139,0,79,9,20,0,247,457
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 89","Surrey",103,0,60,12,14,0,189,323
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 90","Surrey",142,1,93,19,23,0,278,415
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 91","Surrey",83,0,87,24,42,0,236,390
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 92","Surrey",166,0,78,11,25,0,280,454
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 93","Surrey",117,1,97,11,45,0,271,389
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 94","Surrey",131,1,89,11,34,0,266,380
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 95","Surrey",181,0,66,13,13,0,273,442
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 96","Surrey",122,0,98,9,20,0,249,427
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 97","Surrey",121,1,54,12,23,0,211,316
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 98","Surrey",46,0,34,4,9,0,93,153
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 99","Surrey",105,0,62,6,21,0,194,311
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 100","Surrey",176,1,69,16,43,0,305,472
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 101","Surrey",120,1,71,10,46,1,249,348
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 102","Surrey",78,1,82,11,50,1,223,325
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 103","Surrey",87,0,107,30,43,1,268,402
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 104","Surrey",110,1,87,34,48,1,281,434
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 105","Surrey",58,0,34,7,23,0,122,224
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 106","Surrey",42,1,50,5,27,1,126,252
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 107","Surrey",61,2,51,6,16,0,136,294
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 108","Surrey",78,0,45,7,31,0,161,259
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 109","Surrey",69,1,57,7,47,1,182,363
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 110","Surrey",60,1,45,6,38,0,150,315
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 111","Surrey",102,1,73,7,42,1,226,349
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 112","Surrey",85,1,38,5,19,1,149,243
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 113A","Surrey",118,0,59,9,17,0,203,370
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 113B","Surrey",120,1,55,2,15,1,194,331
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 114","Surrey",102,0,105,10,47,1,265,485
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 115","Surrey",72,1,43,9,35,0,160,258
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 116","Surrey",56,0,55,13,31,1,156,264
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 117","Surrey",75,1,80,18,61,0,235,380
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 118","Surrey",113,0,85,10,67,0,275,414
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 119A","Surrey",71,0,52,5,27,0,155,252
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 119B","Surrey",76,0,53,4,17,0,150,253
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 120","Surrey",54,3,47,7,24,0,135,231
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 121","Surrey",85,3,92,8,35,1,224,395
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 122","Surrey",129,3,111,12,52,0,307,521
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 123","Surrey",79,1,74,20,55,0,229,358
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 124","Surrey",67,1,86,15,75,0,244,404
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 125","Surrey",48,0,29,10,26,0,113,207
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 126","Surrey",66,0,57,11,42,2,178,324
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 127","Surrey",99,4,62,15,67,3,250,342
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 128","Surrey",127,3,71,7,65,0,273,414
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 129","Surrey",48,0,30,6,38,1,123,223
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 130A","Surrey",144,0,55,6,11,0,216,322
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 130B","Surrey",104,1,66,5,5,1,182,324
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 131A","Surrey",166,1,70,5,10,1,253,365
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 131B","Surrey",114,1,80,7,9,0,211,348
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 132","Surrey",147,2,65,11,14,0,239,422
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 133","Surrey",82,1,59,10,34,0,186,374
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 134","Surrey",133,1,67,7,45,0,253,408
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 135","Surrey",122,2,65,27,30,0,246,389
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 136","Surrey",59,1,43,3,16,0,122,194
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 137","Surrey",112,0,74,3,34,0,223,378
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 138","Surrey",87,0,41,8,48,0,184,317
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 139","Surrey",119,0,86,21,50,0,276,476
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 140","Surrey",88,0,35,7,15,0,145,252
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 141","Surrey",97,1,47,8,29,0,182,308
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 142","Surrey",102,2,54,18,27,0,203,296
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 143","Surrey",119,1,64,16,36,0,236,388
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 144","Surrey",142,0,58,19,31,0,250,419
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 145","Surrey",113,3,59,9,28,1,213,387
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 146","Surrey",79,2,55,20,58,0,214,335
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 147A","Surrey",45,1,33,7,11,0,97,160
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 147B","Mobile poll/Bureau itinérant",Merged with No. 503A/Fusionné avec le nº 503A,,,,,,,128
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 148","Surrey",54,0,35,4,19,0,112,192
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 149A","Surrey",70,2,57,4,52,1,186,305
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 149B","Surrey",73,2,66,5,49,0,195,340
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 150","Surrey",70,1,60,10,49,0,190,268
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 151","Surrey",132,1,97,18,53,0,301,444
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 152","Surrey",84,0,72,13,27,0,196,329
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 153","Surrey",108,0,62,13,32,1,216,315
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 154","Surrey",128,0,106,22,52,0,308,440
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 155","Surrey",83,4,56,19,51,0,213,346
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 156","Surrey",9,3,20,6,23,0,61,118
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 157","White Rock",93,2,76,26,35,0,232,330
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 158","White Rock",99,1,69,14,37,0,220,361
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 159","White Rock",86,2,67,17,31,0,203,330
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 160","White Rock",99,0,55,19,29,0,202,350
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 161","White Rock",100,0,77,14,41,0,232,384
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 162","White Rock",81,3,57,13,30,1,185,324
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 163A","White Rock",68,1,67,12,16,0,164,260
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 163B","White Rock",45,0,52,11,25,0,133,267
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 164","White Rock",78,2,84,19,24,0,207,371
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 165A","White Rock",75,1,39,10,23,1,149,249
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 165B","Mobile poll/Bureau itinérant",Merged with No. 502A/Fusionné avec le nº 502A,,,,,,,56
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 166","White Rock",82,0,64,12,56,0,214,412
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 167","White Rock",71,1,39,9,30,0,150,297
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 168","White Rock",92,2,72,11,62,0,239,471
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 169","White Rock",128,0,72,7,35,1,243,413
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 170","White Rock",94,0,53,13,39,1,200,407
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 171","White Rock",57,0,61,5,24,0,147,308
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 172","White Rock",49,4,56,11,30,0,150,362
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 173","White Rock",93,2,65,9,38,1,208,424
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 174","White Rock",84,0,71,14,34,0,203,399
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 175","White Rock",102,0,98,23,47,0,270,484
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 176","White Rock",75,1,75,8,47,0,206,403
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 177","White Rock",79,0,72,16,38,0,205,345
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 178","White Rock",93,2,57,15,40,0,207,441
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 179","White Rock",84,1,74,12,49,1,221,384
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 180","White Rock",70,0,49,7,36,0,162,325
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 181","White Rock",96,0,66,11,26,0,199,334
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 182","White Rock",82,2,101,30,36,1,252,416
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 183","White Rock",79,0,88,28,58,0,253,413
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 184","White Rock",76,2,64,18,63,0,223,358
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 185","White Rock",82,4,102,21,58,0,267,418
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 186","White Rock",61,0,55,6,51,0,173,324
