Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jody Di Bartolomeo,Mel Grunstein,John Maloney,Irma Ruiter,Brian Simpson,Ron Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Welland/Welland"," 39","Thorold",73,84,108,0,14,0,0,279,454
"Welland/Welland"," 40","Thorold",73,54,70,0,11,0,1,209,353
"Welland/Welland"," 41","Thorold",107,60,87,4,3,0,1,262,406
"Welland/Welland"," 42","Thorold",75,52,92,3,5,1,1,229,339
"Welland/Welland"," 43","Thorold",100,98,118,2,12,0,2,332,449
"Welland/Welland"," 44","Thorold",117,58,87,4,8,1,3,278,407
"Welland/Welland"," 45","Thorold",89,38,74,3,2,1,1,208,328
"Welland/Welland"," 46","Thorold",62,46,48,3,2,1,0,162,319
"Welland/Welland"," 47","Thorold",83,50,103,2,5,1,2,246,360
"Welland/Welland"," 48","Thorold",93,37,80,1,6,1,1,219,352
"Welland/Welland"," 49","Thorold",76,33,55,4,9,1,3,181,305
"Welland/Welland"," 50","Thorold",54,39,66,1,5,0,2,167,298
"Welland/Welland"," 51","Thorold",56,33,78,6,4,0,2,179,293
"Welland/Welland"," 52","Thorold",98,61,56,1,7,0,1,224,366
"Welland/Welland"," 53","Thorold",88,47,45,3,6,0,0,189,367
"Welland/Welland"," 54","Thorold",73,51,56,1,10,0,0,191,340
"Welland/Welland"," 55A","Thorold",55,28,59,0,6,0,0,148,312
"Welland/Welland"," 55B","Mobile poll/Bureau itinérant",Merged with No. 57D/Fusionné avec le nº 57D,,,,,,,,29
"Welland/Welland"," 56","Thorold",72,32,52,0,8,0,1,165,326
"Welland/Welland"," 57A","Thorold",46,23,55,0,5,0,1,130,246
"Welland/Welland"," 57B","Mobile poll/Bureau itinérant",Merged with No. 57D/Fusionné avec le nº 57D,,,,,,,,56
"Welland/Welland"," 57C","Mobile poll/Bureau itinérant",Merged with No. 57D/Fusionné avec le nº 57D,,,,,,,,30
"Welland/Welland"," 57D","Mobile poll/Bureau itinérant",56,23,59,1,0,1,2,142,66
"Welland/Welland"," 58","Thorold",102,48,84,0,16,1,0,251,414
"Welland/Welland"," 59","Thorold",66,62,70,1,7,1,1,208,372
"Welland/Welland"," 60","Thorold",135,90,87,3,16,0,0,331,564
"Welland/Welland"," 61","Thorold",108,31,45,3,10,0,0,197,422
"Welland/Welland"," 62","Thorold",111,40,67,2,10,0,0,230,394
"Welland/Welland"," 63","Thorold",91,58,34,1,11,0,1,196,318
"Welland/Welland"," 64","Thorold",101,65,36,2,15,0,0,219,381
"Welland/Welland"," 65","Thorold",78,74,48,1,6,0,1,208,371
"Welland/Welland"," 66","Thorold",44,99,50,2,17,0,1,213,371
"Welland/Welland"," 67","Thorold",57,75,27,1,7,0,0,167,275
"Welland/Welland"," 68","Thorold",64,79,47,1,8,0,0,199,299
"Welland/Welland"," 69","Thorold",96,80,59,0,5,0,4,244,461
"Welland/Welland"," 70","Welland",73,110,123,5,10,0,1,322,487
"Welland/Welland"," 71","Welland",77,83,110,3,8,1,1,283,435
"Welland/Welland"," 72","Welland",65,75,93,0,4,2,4,243,371
"Welland/Welland"," 73","Welland",82,118,120,2,9,0,1,332,574
"Welland/Welland"," 74","Welland",62,78,122,0,5,0,0,267,578
"Welland/Welland"," 75","Welland",68,50,76,2,6,0,0,202,353
"Welland/Welland"," 76","Welland",84,62,84,1,9,1,0,241,370
"Welland/Welland"," 77","Welland",66,81,135,1,11,0,0,294,436
"Welland/Welland"," 78","Welland",87,101,94,2,16,0,0,300,455
"Welland/Welland"," 79","Welland",44,54,86,5,4,0,0,193,328
"Welland/Welland"," 80","Welland",67,25,63,1,8,0,0,164,310
"Welland/Welland"," 81","Welland",66,44,81,3,8,1,0,203,331
"Welland/Welland"," 82","Welland",78,86,90,2,9,1,2,268,432
"Welland/Welland"," 83","Welland",103,128,89,1,18,0,1,340,551
"Welland/Welland"," 84","Welland",93,99,114,4,4,0,0,314,565
"Welland/Welland"," 85","Welland",47,48,49,1,7,0,0,152,248
"Welland/Welland"," 86","Welland",65,58,68,5,4,0,1,201,334
"Welland/Welland"," 87","Welland",49,109,144,1,15,1,1,320,542
"Welland/Welland"," 88","Welland",64,64,90,0,8,1,3,230,357
"Welland/Welland"," 89","Welland",55,71,95,1,5,0,0,227,353
"Welland/Welland"," 90","Welland",64,67,102,4,7,0,2,246,426
"Welland/Welland"," 91","Welland",43,55,71,0,8,0,0,177,282
"Welland/Welland"," 92","Welland",90,74,106,0,9,0,0,279,462
"Welland/Welland"," 93","Welland",63,60,83,3,7,0,0,216,390
"Welland/Welland"," 94","Welland",92,73,66,2,14,1,1,249,420
"Welland/Welland"," 95","Welland",92,44,94,2,9,1,0,242,465
"Welland/Welland"," 96","Welland",32,36,46,0,5,1,0,120,215
"Welland/Welland"," 97","Welland",74,93,107,0,9,0,2,285,440
"Welland/Welland"," 98","Welland",85,72,97,2,7,0,1,264,485
"Welland/Welland"," 99","Welland",77,76,102,4,8,0,0,267,468
"Welland/Welland"," 100","Welland",58,76,66,5,9,0,0,214,377
"Welland/Welland"," 101","Welland",69,64,91,4,4,0,0,232,379
"Welland/Welland"," 102","Welland",50,59,104,5,7,0,2,227,350
"Welland/Welland"," 103","Welland",54,45,73,2,5,0,0,179,326
"Welland/Welland"," 104","Welland",44,48,59,1,3,0,0,155,300
"Welland/Welland"," 105","Welland",55,48,70,0,10,0,0,183,363
"Welland/Welland"," 106","Welland",82,75,86,2,9,1,2,257,424
"Welland/Welland"," 107","Welland",72,57,63,3,10,0,0,205,392
"Welland/Welland"," 108","Welland",71,46,85,1,8,0,4,215,404
"Welland/Welland"," 109","Welland",50,67,63,1,6,1,1,189,376
"Welland/Welland"," 110","Welland",51,47,69,2,8,0,0,177,399
"Welland/Welland"," 111","Welland",18,28,53,0,5,0,0,104,201
"Welland/Welland"," 112","Welland",45,39,50,0,3,0,0,137,300
"Welland/Welland"," 113","Welland",48,67,82,3,10,0,0,210,348
"Welland/Welland"," 114","Welland",41,46,96,4,2,0,2,191,381
"Welland/Welland"," 115","Welland",80,92,106,3,9,0,1,291,463
"Welland/Welland"," 116","Welland",78,77,90,2,9,3,3,262,463
"Welland/Welland"," 117","Welland",67,81,62,1,9,1,1,222,404
"Welland/Welland"," 118","Welland",73,34,44,2,9,0,2,164,321
"Welland/Welland"," 119","Welland",62,31,47,6,5,3,1,155,350
"Welland/Welland"," 120","Welland",76,47,42,4,11,0,0,180,412
"Welland/Welland"," 121","Welland",78,37,50,3,5,1,3,177,386
"Welland/Welland"," 122","Welland",77,39,37,1,3,1,0,158,350
"Welland/Welland"," 123","Welland",51,22,37,0,5,1,0,116,324
"Welland/Welland"," 124","Welland",68,53,63,3,8,0,1,196,478
"Welland/Welland"," 125","Welland",71,33,34,0,3,0,0,141,364
"Welland/Welland"," 126","Welland",71,28,66,0,5,1,2,173,354
"Welland/Welland"," 127","Welland",71,44,56,1,7,1,1,181,361
"Welland/Welland"," 128","Welland",42,31,45,2,2,0,0,122,247
"Welland/Welland"," 129","Welland",70,99,67,3,11,2,1,253,455
"Welland/Welland"," 130","Welland",79,48,36,0,5,0,0,168,340
"Welland/Welland"," 131","Welland",64,19,26,0,5,0,1,115,336
"Welland/Welland"," 132","Welland",62,41,55,3,5,0,2,168,377
"Welland/Welland"," 133","Welland",103,38,51,3,5,1,1,202,388
"Welland/Welland"," 134","Welland",85,35,54,2,6,1,0,183,344
"Welland/Welland"," 135","Welland",114,66,71,1,1,1,1,255,413
"Welland/Welland"," 136","Welland",83,24,21,1,2,1,0,132,258
"Welland/Welland"," 137","Welland",92,49,90,1,5,0,2,239,356
"Welland/Welland"," 138","Welland",85,62,68,2,6,0,2,225,349
"Welland/Welland"," 139","Welland",93,73,67,6,7,0,5,251,410
"Welland/Welland"," 140","Welland",142,84,90,4,14,0,1,335,537
"Welland/Welland"," 141","Welland",43,32,37,0,5,0,0,117,196
"Welland/Welland"," 142","Welland",76,46,95,4,3,0,2,226,360
"Welland/Welland"," 143","Welland",86,49,54,3,9,0,0,201,324
"Welland/Welland"," 144","Welland",76,69,67,2,7,0,1,222,389
"Welland/Welland"," 145","Welland",57,66,77,1,5,0,1,207,475
"Welland/Welland"," 146","Welland",87,33,40,4,6,1,2,173,389
"Welland/Welland"," 147","Welland",79,52,38,2,6,0,0,177,387
"Welland/Welland"," 148","Welland",64,38,71,2,5,0,0,180,406
"Welland/Welland"," 149","Welland",48,20,44,0,4,0,0,116,249
"Welland/Welland"," 150","Welland",83,45,56,0,4,3,1,192,430
"Welland/Welland"," 151","Welland",74,36,70,1,7,1,1,190,361
"Welland/Welland"," 152","Welland",57,35,99,1,3,3,1,199,332
"Welland/Welland"," 153","Welland",90,38,88,3,2,1,1,223,447
"Welland/Welland"," 154","Welland",51,39,99,1,4,0,1,195,319
"Welland/Welland"," 155","Welland",54,20,45,0,2,0,0,121,215
"Welland/Welland"," 156","Welland",77,29,65,3,4,1,1,180,353
"Welland/Welland"," 157","Welland",58,26,49,2,3,0,1,139,265
"Welland/Welland"," 158","Welland",79,32,59,3,13,0,0,186,393
"Welland/Welland"," 159","Welland",57,27,50,3,1,0,0,138,303
"Welland/Welland"," 160","Welland",51,46,82,0,3,0,1,183,322
"Welland/Welland"," 161","Welland",58,40,82,3,14,0,0,197,371
"Welland/Welland"," 162","Welland",64,35,60,1,4,1,0,165,248
"Welland/Welland"," 163","Welland",90,30,43,1,4,1,0,169,312
"Welland/Welland"," 164","Welland",78,34,54,1,2,2,1,172,316
"Welland/Welland"," 165","Welland",83,36,58,0,2,0,0,179,321
"Welland/Welland"," 166","Welland",78,36,73,0,5,0,0,192,315
"Welland/Welland"," 167","Welland",60,41,54,0,2,0,1,158,312
"Welland/Welland"," 168","Welland",79,95,86,1,10,0,0,271,444
"Welland/Welland"," 169","Welland",65,78,72,2,7,0,0,224,344
"Welland/Welland"," 170","Welland",95,65,69,2,13,1,0,245,420
"Welland/Welland"," 171","Wainfleet",24,117,36,20,5,0,1,203,307
"Welland/Welland"," 172","Wainfleet",33,106,52,14,6,0,0,211,325
"Welland/Welland"," 173","Wainfleet",44,150,54,11,6,0,1,266,387
"Welland/Welland"," 174","Wainfleet",41,109,58,5,7,1,0,221,365
"Welland/Welland"," 175","O'Reilly's Bridge",67,136,66,10,13,3,2,297,473
"Welland/Welland"," 176","Wainfleet",54,90,50,11,12,0,0,217,372
"Welland/Welland"," 177","Winger",27,111,39,4,7,0,0,188,308
"Welland/Welland"," 178","Wainfleet",41,102,28,11,5,0,0,187,292
"Welland/Welland"," 179","Willow Bay",60,82,48,1,8,0,1,200,353
"Welland/Welland"," 180","Ostryhon Corners",33,67,65,2,7,0,0,174,331
"Welland/Welland"," 181","Burnaby",60,95,64,3,13,0,3,238,416
"Welland/Welland"," 182","Wainfleet",50,51,35,3,5,0,1,145,259
"Welland/Welland"," 183","Camelot Beach",47,57,73,0,9,0,0,186,346
"Welland/Welland"," 184","Port Colborne",55,51,63,0,8,1,1,179,286
"Welland/Welland"," 185","Port Colborne",77,87,121,4,10,1,2,302,481
"Welland/Welland"," 186","Port Colborne",99,57,52,5,10,0,0,223,404
"Welland/Welland"," 187","Port Colborne",64,45,58,1,4,0,0,172,305
"Welland/Welland"," 188","Port Colborne",83,41,76,0,6,0,1,207,382
"Welland/Welland"," 189","Port Colborne",44,32,90,3,5,0,2,176,281
"Welland/Welland"," 190A","Port Colborne",38,75,106,3,3,0,1,226,332
"Welland/Welland"," 190B","Mobile poll/Bureau itinérant",10,26,66,2,3,1,2,110,115
"Welland/Welland"," 190C","Mobile poll/Bureau itinérant",Merged with No. 190B/Fusionné avec le nº 190B,,,,,,,,51
"Welland/Welland"," 191","Port Colborne",48,33,76,2,6,1,0,166,262
"Welland/Welland"," 192","Port Colborne",61,38,104,1,12,0,0,216,382
"Welland/Welland"," 193","Port Colborne",63,35,62,1,10,1,0,172,342
"Welland/Welland"," 194","Port Colborne",46,17,35,2,5,1,0,106,192
"Welland/Welland"," 195","Port Colborne",55,15,49,0,3,1,2,125,223
"Welland/Welland"," 196","Port Colborne",94,26,64,0,4,0,4,192,315
"Welland/Welland"," 197","Port Colborne",81,28,90,1,8,0,1,209,326
"Welland/Welland"," 198","Port Colborne",76,37,40,0,8,0,1,162,313
"Welland/Welland"," 199","Port Colborne",72,29,71,0,4,1,1,178,325
"Welland/Welland"," 200","Port Colborne",82,38,63,3,5,0,1,192,348
"Welland/Welland"," 201","Port Colborne",64,15,45,1,4,1,0,130,284
"Welland/Welland"," 202","Port Colborne",60,38,69,1,7,1,1,177,304
"Welland/Welland"," 203","Port Colborne",40,38,35,0,7,1,0,121,269
"Welland/Welland"," 204","Port Colborne",37,35,47,4,8,0,0,131,261
"Welland/Welland"," 205","Port Colborne",51,47,74,0,6,0,0,178,322
"Welland/Welland"," 206","Port Colborne",51,65,59,0,12,0,1,188,304
"Welland/Welland"," 207","Port Colborne",70,42,78,1,13,0,1,205,322
"Welland/Welland"," 208","Port Colborne",66,63,96,1,1,0,0,227,347
"Welland/Welland"," 209","Port Colborne",62,64,86,2,7,1,0,222,347
"Welland/Welland"," 210","Port Colborne",61,86,151,1,6,0,1,306,439
"Welland/Welland"," 211","Port Colborne",43,53,135,0,6,0,1,238,364
"Welland/Welland"," 212","Port Colborne",45,64,89,1,6,1,1,207,365
"Welland/Welland"," 213A","Port Colborne",32,48,85,3,8,0,0,176,324
"Welland/Welland"," 213B","Mobile poll/Bureau itinérant",6,10,39,1,1,1,0,58,90
"Welland/Welland"," 213C","Mobile poll/Bureau itinérant",Merged with No. 213B/Fusionné avec le nº 213B,,,,,,,,18
"Welland/Welland"," 214","Port Colborne",92,72,111,1,10,1,1,288,509
"Welland/Welland"," 215","Port Colborne",65,43,106,0,5,0,2,221,353
"Welland/Welland"," 216","Port Colborne",54,36,48,1,6,0,1,146,313
"Welland/Welland"," 217A","Port Colborne",38,49,45,2,12,1,0,147,221
"Welland/Welland"," 217B","Port Colborne",51,51,27,0,4,0,0,133,214
"Welland/Welland"," 218","Port Colborne",58,81,33,1,10,0,2,185,314
"Welland/Welland"," 219","Port Colborne",66,25,61,1,6,1,0,160,330
"Welland/Welland"," 220","Port Colborne",80,27,61,0,8,0,0,176,297
"Welland/Welland"," 221","Port Colborne",82,23,45,0,2,0,2,154,269
"Welland/Welland"," 222","Port Colborne",66,57,44,3,8,0,3,181,285
"Welland/Welland"," 223","Port Colborne",85,103,90,0,4,1,0,283,460
"Welland/Welland"," 224","Port Colborne",73,74,75,2,9,0,2,235,372
"Welland/Welland"," 225","Port Colborne",72,99,74,6,6,1,0,258,434
"Welland/Welland"," 500A","Mobile poll/Bureau itinérant",16,22,27,2,2,2,2,73,160
"Welland/Welland"," 500B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,47
"Welland/Welland"," 501A","Mobile poll/Bureau itinérant",12,7,69,0,2,1,2,93,114
"Welland/Welland"," 501B","Mobile poll/Bureau itinérant",12,25,36,2,1,1,0,77,79
"Welland/Welland"," 502","Mobile poll/Bureau itinérant",21,13,46,4,1,3,7,95,173
"Welland/Welland"," 600","St. Catharines",84,215,186,0,20,1,0,506,
"Welland/Welland"," 601","St. Catharines",52,180,137,7,9,0,3,388,
"Welland/Welland"," 602","Thorold",153,185,212,2,10,1,2,565,
"Welland/Welland"," 603","Thorold",76,76,61,2,6,0,0,221,
"Welland/Welland"," 604","Welland",117,269,275,5,18,0,2,686,
"Welland/Welland"," 605","Welland",128,203,214,5,18,0,0,568,
"Welland/Welland"," 606","Welland",131,236,366,4,21,0,0,758,
"Welland/Welland"," 607","Welland",207,165,234,4,9,2,2,623,
"Welland/Welland"," 608","Welland",121,106,185,4,7,0,1,424,
"Welland/Welland"," 609","Welland",97,98,228,1,11,1,1,437,
"Welland/Welland"," 610","Wainfleet",50,228,105,6,12,0,2,403,
"Welland/Welland"," 611","Port Colborne",101,125,175,0,11,2,0,414,
"Welland/Welland"," 612","Port Colborne",78,132,239,2,14,1,1,467,
"Welland/Welland"," 613","Port Colborne",121,116,175,2,1,0,2,417,
"Welland/Welland",,Group 1/Groupe 1,13,40,48,0,4,2,2,109,250
"Welland/Welland",,Group 2/Groupe 2,192,304,522,10,23,1,28,1080,
