Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Andy Mitchell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 60","Parry Sound",24,58,13,77,0,172,367
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 61","Parry Sound",24,79,31,92,0,226,428
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 62","Parry Sound",17,51,8,43,0,119,282
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 63","Parry Sound",21,43,12,39,0,115,315
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 64","Parry Sound",20,57,12,59,0,148,423
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 65","The Archipelago",3,24,5,20,0,52,130
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 66","Parry Island 16",25,18,12,93,1,149,333
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 67","Seguin",11,77,18,76,0,182,396
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 68","Seguin",34,59,26,83,1,203,397
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 69","Seguin",41,100,12,84,0,237,392
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 70","Christie",35,119,33,100,0,287,422
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 71","Seguin",22,80,17,78,1,198,339
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 72","Humphrey",26,102,13,80,0,221,347
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 73","Rosseau",19,99,15,112,0,245,423
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 74","Hekkla",4,16,10,32,0,62,96
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 75","Huntsville",28,36,12,22,0,98,251
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 76","Huntsville",43,106,14,92,0,255,545
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 77","Huntsville",25,63,25,61,1,175,305
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78","Huntsville",32,118,44,96,0,290,578
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79","Huntsville",40,89,38,108,1,276,508
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 80","Huntsville",27,104,26,101,0,258,498
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 81","Huntsville",25,72,11,73,0,181,377
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 82","Huntsville",15,57,9,55,0,136,253
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 83","Huntsville",16,60,7,55,2,140,382
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 84","Huntsville",21,76,18,83,0,198,373
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85A","Huntsville",16,89,13,71,2,191,439
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85B","Huntsville",23,75,35,55,0,188,381
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 86","Huntsville",18,66,14,79,0,177,401
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 87","Hillside",24,110,26,126,1,287,515
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 88","Huntsville",38,93,29,88,1,249,535
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 89","Huntsville",21,38,26,54,0,139,334
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 90","Huntsville",20,56,19,62,1,158,335
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 91","Huntsville",34,82,21,95,1,233,447
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 92","Huntsville",22,48,21,76,1,168,362
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 93","Huntsville",25,99,33,97,1,255,461
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 94","Huntsville",20,55,18,49,0,142,289
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 95","Huntsville",18,54,16,62,1,151,305
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 96","Huntsville",20,47,9,69,0,145,306
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 97","Ullswater",32,63,17,83,0,195,290
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98","Windermere",42,146,31,150,2,371,548
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99A","Huntsville",30,46,13,45,0,134,281
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99B","Huntsville",19,62,15,43,1,140,273
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 100","Huntsville",49,97,30,113,1,290,466
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101A","Huntsville",20,76,14,83,0,193,360
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101B","Huntsville",18,78,20,83,3,202,307
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 102","Huntsville",41,99,22,133,0,295,534
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 103","Huntsville",60,114,38,140,1,353,534
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 104","Huntsville",20,162,33,94,0,309,582
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 105","Huntsville",21,37,10,65,0,133,248
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 106","Huntsville",12,40,13,49,0,114,263
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 107","Huntsville",10,44,11,47,0,112,248
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 108","Huntsville",11,72,18,79,1,181,313
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 109","Huntsville",40,120,51,101,0,312,611
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 110","Dwight",15,78,16,70,0,179,316
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 111","Lake of Bays",11,57,8,43,0,119,226
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 112","Lake of Bays",10,71,12,60,0,153,269
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 113","MacTier",7,44,10,33,0,94,255
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 114","Moose Point 79",7,15,5,52,0,79,124
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 115A","MacTier",11,61,8,31,1,112,267
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 115B","MacTier",9,49,4,36,0,98,224
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 116","Minett",11,48,11,67,1,138,327
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 117","Port Carling",21,123,31,149,0,324,525
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 118","Port Carling",23,142,19,121,1,306,521
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 119","Glen Orchard",12,80,10,59,0,161,295
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 120","Whata",5,7,2,27,0,41,67
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 121","Baxter",11,144,9,108,1,273,517
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 122","Baxter",25,103,10,112,0,250,434
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 123","Honey Harbour",21,52,7,85,1,166,346
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 124","Gravenhurst",9,53,15,92,1,170,309
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 125","Gravenhurst",30,70,14,83,0,197,450
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 126A","Gravenhurst",19,33,5,66,0,123,284
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 126B","Gravenhurst",24,42,6,61,0,133,263
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 127","Gravenhurst",29,49,13,70,0,161,397
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 128","Gravenhurst",35,65,12,89,0,201,451
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 129","Gravenhurst",25,51,7,53,0,136,405
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 130","Gravenhurst",21,47,10,98,0,176,415
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131A","Bala",12,74,17,87,0,190,332
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131B","Bala",13,57,17,83,1,171,262
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 132","Bala",13,74,7,96,0,190,315
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 133","Walkers Point",19,41,11,57,0,128,245
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 134","Gravenhurst",29,95,21,137,1,283,660
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 135","Gravenhurst",6,40,5,41,0,92,178
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 136","Gravenhurst",24,59,7,104,0,194,368
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137A","Gravenhurst",26,74,10,88,0,198,387
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137B","Gravenhurst",16,74,7,68,1,166,342
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 138A","Gravenhurst",18,73,7,69,1,168,322
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 138B","Gravenhurst",14,39,5,51,0,109,244
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 139","Gravenhurst",31,90,13,104,0,238,477
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 140","Gravenhurst",7,40,8,48,1,104,197
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 141","Southwood",18,49,8,32,0,107,229
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 142","Gravenhurst",31,91,24,93,0,239,479
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 143","Gravenhurst",16,46,7,29,0,98,236
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 144","Gravenhurst",26,124,17,83,0,250,445
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145A","Gravenhurst",15,70,8,63,0,156,319
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 145B","Gravenhurst",20,59,10,57,0,146,292
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 146","Gravenhurst",36,102,22,68,0,228,373
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 147","Bracebridge",28,66,21,116,0,231,524
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 148","Bracebridge",36,56,20,112,0,224,436
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 149","Bracebridge",18,60,10,83,0,171,436
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 150","Bracebridge",19,72,21,109,1,222,488
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 151","Bracebridge",34,70,20,86,0,210,440
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 152","Bracebridge",62,70,20,132,1,285,527
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153A","Bracebridge",21,44,14,67,0,146,332
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153B","Bracebridge",23,42,6,67,0,138,291
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 154","Beaumaris",19,99,25,135,3,281,416
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 155","Muskoka Lakes",8,31,11,36,1,87,151
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 156","Bracebridge",47,79,24,126,0,276,537
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 157","Bracebridge",30,75,35,100,1,241,429
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 158","Baysville",25,82,24,105,0,236,322
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 159","Dorset",38,62,12,76,0,188,308
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 160","Baysville",24,93,27,114,0,258,407
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161A","Bracebridge",29,77,24,91,0,221,439
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161B","Bracebridge",33,62,20,67,0,182,406
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 162","Bracebridge",22,56,16,100,1,195,407
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 163","Bracebridge",12,46,17,73,0,148,295
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 164","Bracebridge",15,100,23,112,0,250,462
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 165","Bracebridge",17,57,19,77,0,170,324
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 166","Bracebridge",25,48,17,73,1,164,283
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 167","Muskoka Lakes",5,27,7,29,0,68,178
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 168","Bracebridge",24,75,18,109,0,226,434
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 169A","Bracebridge",36,86,16,129,0,267,447
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 169B","Bracebridge",15,91,16,75,2,199,374
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 170","Bracebridge",26,51,14,79,1,171,377
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 171","Bracebridge",15,31,13,61,0,120,221
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 172","Bracebridge",27,72,17,88,1,205,384
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 173A","Bracebridge",11,50,15,52,0,128,257
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 173B","Bracebridge",12,41,5,51,0,109,207
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 174","Bracebridge",44,113,30,120,1,308,542
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 175","Bracebridge",39,54,20,62,1,176,358
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 176","Bracebridge",39,62,20,84,0,205,345
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 400","Bracebridge",2,24,1,22,1,50,161
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 500","Mobile poll/Bureau itinérant",7,45,2,40,1,95,182
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 501","Mobile poll/Bureau itinérant",7,33,6,32,4,82,182
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 502","Mobile poll/Bureau itinérant",10,31,4,60,1,106,147
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 503","Mobile poll/Bureau itinérant",15,24,5,52,0,96,230
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 504","Mobile poll/Bureau itinérant",6,26,3,21,0,56,124
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 600","Britt",5,19,2,25,0,51,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 601","Port Loring",11,41,4,31,0,87,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 602","Sundridge",37,253,15,136,0,441,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 603","Burk's Falls",49,271,30,173,2,525,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 604","McDougall",19,173,18,96,3,309,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 605","Parry Sound",47,265,53,270,0,635,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 606","The Archipelago--Seguin",26,128,21,97,3,275,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 607","Huntsville",56,364,60,298,1,779,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 608","Huntsville",39,165,23,178,1,406,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 609","Huntsville",52,245,46,210,2,555,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 610","Georgian Bay",17,191,13,106,1,328,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 611","Gravenhurst",53,210,27,194,1,485,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 612","Gravenhurst",50,315,35,370,2,772,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 613","Bracebridge",52,405,34,310,3,804,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 614","Bracebridge",80,479,59,481,2,1101,
"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 1/Groupe 1,10,43,16,29,3,101,203
"Parry Sound--Muskoka/Parry Sound--Muskoka",,Group 2/Groupe 2,170,1112,165,997,31,2475,
