Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reg Alcock,Rod Bruinooge,Heidi Loewen-Steffano,Robert Page,Wesley Owen Whiteside,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",112,97,2,46,8,1,266,410
"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",90,69,0,40,4,2,205,294
"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",71,62,1,29,2,1,166,280
"Winnipeg South/Winnipeg-Sud"," 137A","Winnipeg",76,112,1,33,1,0,223,351
"Winnipeg South/Winnipeg-Sud"," 137B","Winnipeg",76,73,2,28,4,0,183,282
"Winnipeg South/Winnipeg-Sud"," 138","Winnipeg",118,110,1,45,7,0,281,419
"Winnipeg South/Winnipeg-Sud"," 139","Winnipeg",144,135,1,55,9,0,344,528
"Winnipeg South/Winnipeg-Sud"," 140","Winnipeg",79,88,3,50,16,0,236,364
"Winnipeg South/Winnipeg-Sud"," 141","Winnipeg",130,196,0,47,4,0,377,530
"Winnipeg South/Winnipeg-Sud"," 142A","Winnipeg",107,109,0,32,10,0,258,395
"Winnipeg South/Winnipeg-Sud"," 142B","Winnipeg",110,105,2,34,6,0,257,380
"Winnipeg South/Winnipeg-Sud"," 143A","Winnipeg",114,127,2,53,9,1,306,462
"Winnipeg South/Winnipeg-Sud"," 143B","Winnipeg",116,123,2,35,8,1,285,445
"Winnipeg South/Winnipeg-Sud"," 144","Winnipeg",148,163,2,43,15,0,371,561
"Winnipeg South/Winnipeg-Sud"," 145","Winnipeg",105,109,4,33,10,0,261,440
"Winnipeg South/Winnipeg-Sud"," 146","Winnipeg",92,162,2,25,10,1,292,488
"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",41,56,6,14,5,2,124,179
"Winnipeg South/Winnipeg-Sud"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",290,452,1,34,15,1,793,
"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",243,284,2,56,7,0,592,
"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",183,203,5,61,11,0,463,
"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",191,183,2,36,9,0,421,
"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",176,207,3,59,13,0,458,
"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",258,357,3,59,23,1,701,
"Winnipeg South/Winnipeg-Sud",,Group 1/Groupe 1,56,37,0,11,4,10,118,246
"Winnipeg South/Winnipeg-Sud",,Group 2/Groupe 2,653,703,9,169,27,21,1582,
