Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Bouchard,Alcide Boudreault,Éric Dubois,Jean-Martin Gauthier,André Harvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 31","Chicoutimi",109,38,26,5,72,8,258,457
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 32","Chicoutimi",104,42,10,3,52,1,212,385
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 33","Chicoutimi",118,50,7,10,67,1,253,379
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 34","Chicoutimi",89,57,18,10,72,0,246,365
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 35","Chicoutimi",121,88,15,9,62,2,297,425
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 36","Chicoutimi",89,57,10,6,47,1,210,300
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 37","Chicoutimi",115,69,26,8,69,0,287,423
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 38","Chicoutimi",81,41,6,4,41,1,174,288
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 39","Chicoutimi",126,71,21,5,65,2,290,443
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 40","Chicoutimi",75,70,13,8,53,4,223,391
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 41","Chicoutimi",115,82,13,10,81,4,305,455
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 42","Chicoutimi",110,84,17,13,90,2,316,482
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 43","Chicoutimi",66,38,11,2,42,1,160,273
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 44","Chicoutimi",114,61,6,4,71,3,259,405
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 45","Chicoutimi",111,65,20,5,60,5,266,446
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 46","Chicoutimi",86,65,13,6,70,0,240,348
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 47","Chicoutimi",115,75,12,4,74,0,280,420
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 48","Chicoutimi",94,51,12,3,86,4,250,453
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 49","Chicoutimi",131,75,7,9,68,5,295,487
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 50","Chicoutimi",74,43,7,3,60,3,190,336
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 51","Chicoutimi",152,64,8,9,83,3,319,496
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 52","Chicoutimi",126,109,14,6,76,2,333,550
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 53","Chicoutimi",63,31,12,5,37,1,149,334
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 54","Chicoutimi",92,60,13,3,55,3,226,397
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 55","Chicoutimi",70,30,6,4,55,2,167,300
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 56","Chicoutimi",58,21,15,4,38,4,140,300
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 57","Chicoutimi",59,27,9,4,42,1,142,221
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 58","Chicoutimi",61,26,9,4,66,0,166,327
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 59","Chicoutimi",100,61,9,6,83,9,268,462
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 60","Chicoutimi",88,68,6,7,107,0,276,397
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 61","Chicoutimi",70,52,13,4,78,3,220,364
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 62","Chicoutimi",74,38,19,12,56,5,204,335
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 63","Chicoutimi",67,28,11,2,45,3,156,297
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 64","Chicoutimi",72,39,15,3,67,8,204,317
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 65","Chicoutimi",60,19,20,4,42,3,148,323
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 66","Chicoutimi",126,42,3,2,48,4,225,466
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 67","Chicoutimi",99,51,6,7,82,2,247,440
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 68","Chicoutimi",122,99,21,6,104,9,361,558
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 69","Chicoutimi",125,124,26,12,101,6,394,695
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 70","Chicoutimi",68,39,17,3,43,2,172,273
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 71","Chicoutimi",75,42,9,2,57,0,185,372
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 72","Chicoutimi",53,33,8,3,36,1,134,257
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 73","Chicoutimi",41,15,13,8,48,1,126,304
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 74A","Chicoutimi",57,35,4,2,98,4,200,285
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 74B","Chicoutimi",81,31,6,7,46,6,177,441
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 75","Chicoutimi",78,24,24,5,37,2,170,374
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 76","Chicoutimi",62,38,9,7,43,4,163,351
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 77","Chicoutimi",90,39,16,8,36,0,189,436
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 78","Chicoutimi",97,34,8,5,43,3,190,407
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 79","Chicoutimi",99,38,14,5,37,3,196,372
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 80","Chicoutimi",104,36,12,6,29,5,192,395
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 81","Chicoutimi",24,15,1,1,17,0,58,104
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 82","Chicoutimi",101,39,17,7,96,9,269,516
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 83","Chicoutimi",50,24,19,11,44,1,149,306
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 84","Chicoutimi",60,36,13,5,61,2,177,376
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 85","Chicoutimi",98,26,21,6,42,6,199,426
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 86","Chicoutimi",105,82,10,4,97,3,301,435
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 87","Chicoutimi",102,60,14,10,80,1,267,382
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 88","Chicoutimi",52,30,10,6,51,1,150,288
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 89","Chicoutimi",92,62,15,5,97,5,276,394
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 90","Chicoutimi",89,68,17,6,68,5,253,395
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 91","Chicoutimi",64,42,7,3,44,3,163,267
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 92","Chicoutimi",54,20,16,6,95,7,198,411
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 93","Chicoutimi",98,57,10,5,76,1,247,381
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 94","Chicoutimi",109,88,15,6,76,2,296,476
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 95","Chicoutimi",80,38,21,16,111,1,267,416
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 96","Chicoutimi",74,44,14,12,86,7,237,361
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 97","Chicoutimi",106,53,27,10,124,7,327,465
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 98","Chicoutimi",75,26,18,7,53,3,182,321
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 99","Chicoutimi",54,62,7,4,91,2,220,392
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 100","Chicoutimi",109,83,11,1,91,0,295,473
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 101","Chicoutimi",103,46,10,1,92,3,255,406
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 102","Chicoutimi",85,44,9,8,45,0,191,382
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 103","Chicoutimi",81,56,11,5,63,2,218,390
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 104","Chicoutimi",60,40,6,4,48,2,160,322
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 105","Chicoutimi",66,47,11,4,58,4,190,310
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 106","Chicoutimi",47,52,7,3,71,1,181,321
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 107","Chicoutimi",69,40,9,5,55,0,178,268
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 108","Chicoutimi",57,39,10,10,55,0,171,299
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 109","Chicoutimi",87,52,6,7,40,3,195,319
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 110","Chicoutimi",54,17,5,6,23,2,107,250
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 111","Chicoutimi",59,50,13,3,45,4,174,277
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 112","Chicoutimi",93,38,15,5,47,3,201,330
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 113","Chicoutimi",39,33,13,5,62,1,153,271
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 114","Chicoutimi",72,42,14,3,65,2,198,361
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 115","Chicoutimi",51,20,6,4,55,1,137,333
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 116","Chicoutimi",117,70,18,8,125,4,342,532
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 117","Chicoutimi",63,44,10,2,59,2,180,278
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 118","Chicoutimi",98,57,6,5,70,0,236,448
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 119","Chicoutimi",53,43,15,10,58,3,182,344
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 120","Chicoutimi",112,45,16,4,73,5,255,374
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 121","Chicoutimi",83,49,14,6,55,2,209,330
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 122","Chicoutimi",98,66,21,9,103,5,302,461
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 123","Chicoutimi",89,52,20,2,81,1,245,398
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 124","Chicoutimi",140,91,19,11,189,4,454,611
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 125","Chicoutimi",62,58,2,3,130,0,255,437
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 126A","Chicoutimi",71,66,3,4,66,2,212,364
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 126B","Chicoutimi",96,88,7,4,84,2,281,425
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 127","Chicoutimi",85,85,14,8,98,1,291,441
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 128","Chicoutimi",83,70,21,5,127,2,308,479
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 129","Chicoutimi",116,117,24,7,129,1,394,583
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 130","Chicoutimi",113,75,15,1,44,2,250,396
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 131","Chicoutimi",141,110,31,8,106,9,405,605
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 132","Chicoutimi",88,56,13,10,56,2,225,363
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 133","Chicoutimi",61,54,7,5,34,2,163,264
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 134","Chicoutimi",77,73,7,7,56,2,222,357
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 135","Chicoutimi",61,46,13,2,61,2,185,317
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 136","Chicoutimi",91,69,5,2,48,0,215,386
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 137","Chicoutimi",127,60,21,3,57,4,272,471
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 138","Chicoutimi",89,71,8,5,62,3,238,395
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 139","Chicoutimi",87,61,14,8,38,4,212,360
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 140","Chicoutimi",100,74,17,10,55,3,259,389
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 141","Chicoutimi",74,61,7,5,51,3,201,332
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 142","Chicoutimi",61,62,9,1,71,4,208,279
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 143","Chicoutimi",94,80,7,6,66,2,255,382
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 144","Chicoutimi",64,42,18,2,49,0,175,249
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 145","Laterrière",62,61,8,4,46,2,183,297
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 146","Laterrière",61,97,19,9,76,3,265,469
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 147","Laterrière",123,90,25,7,56,8,309,509
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 148","Laterrière",85,78,16,6,69,2,256,396
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 149","Laterrière",88,48,6,5,35,1,183,341
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 150","Laterrière",124,99,17,6,50,1,297,494
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 151","Laterrière",139,90,13,4,51,2,299,551
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 152","Laterrière",165,126,21,10,76,6,404,663
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 153","Laterrière",125,78,16,13,68,3,303,505
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 154","La Baie",47,52,10,2,51,2,164,314
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 155","La Baie",57,67,4,2,42,1,173,325
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 156","La Baie",85,88,11,6,71,1,262,476
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 157","La Baie",35,99,14,7,35,2,192,434
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 158","La Baie",38,54,5,1,40,3,141,370
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 159","La Baie",53,38,4,4,36,0,135,240
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 160","La Baie",124,84,19,14,58,3,302,577
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 161","La Baie",174,99,19,10,64,4,370,590
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 162A","Saint-Félix-d'Otis",90,52,8,4,49,1,204,385
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 162B","Saint-Félix-d'Otis",76,48,6,4,53,0,187,353
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 163A","Ferland",81,61,1,0,41,8,192,307
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 163B","Ferland",29,29,5,2,18,6,89,137
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 164","La Baie",96,97,12,8,72,4,289,480
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 165","La Baie",63,46,8,4,46,4,171,315
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 166","La Baie",62,26,1,2,43,2,136,320
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 167","La Baie",62,44,9,2,47,1,165,288
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 168A","La Baie",86,74,17,5,52,8,242,397
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 168B","La Baie",81,93,7,5,52,0,238,406
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 169","La Baie",99,73,15,4,59,0,250,483
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 170","La Baie",67,69,10,6,53,2,207,373
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 171","La Baie",70,37,9,6,69,2,193,381
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 172","La Baie",59,44,12,1,58,0,174,324
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 173","La Baie",48,34,1,2,59,0,144,270
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 174","La Baie",60,32,6,2,61,1,162,311
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 175","La Baie",84,73,11,5,56,1,230,415
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 176","La Baie",58,46,13,8,50,7,182,389
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 177","La Baie",51,46,4,3,35,3,142,250
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 178","La Baie",70,51,8,5,33,3,170,295
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 179","La Baie",74,46,13,5,48,1,187,410
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 180","La Baie",62,30,2,3,43,1,141,277
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 181","La Baie",57,24,4,3,31,1,120,225
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 182","La Baie",70,66,9,4,44,1,194,356
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 183","La Baie",64,27,5,5,57,2,160,333
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 184","La Baie",48,43,7,0,51,2,151,285
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 185","La Baie",138,84,16,9,94,3,344,547
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 186","La Baie",96,112,21,6,80,1,316,592
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 187","La Baie",63,51,14,5,62,2,197,324
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 188","La Baie",82,85,12,8,63,6,256,434
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 189","La Baie",75,46,5,3,26,6,161,288
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 190","La Baie",57,34,10,5,43,2,151,254
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 191","La Baie",62,77,6,3,50,3,201,361
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 192","La Baie",86,71,7,5,47,1,217,372
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 193A","La Baie",77,38,7,6,61,0,189,362
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 193B","La Baie",69,70,9,6,57,2,213,358
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 194","Rivière-Éternité",67,56,1,1,111,2,238,392
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 195","L'Anse-Saint-Jean",81,46,14,1,100,7,249,455
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 196","L'Anse-Saint-Jean",32,16,3,13,38,1,103,179
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 197","L'Anse-Saint-Jean",38,30,16,5,81,2,172,309
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 198","Petit-Saguenay",Merged with No. 199/Fusionné avec le nº 199,,,,,,,289
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 199","Petit-Saguenay",132,104,12,10,106,6,370,354
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 500","Mobile poll/Bureau itinérant",16,8,3,3,27,0,57,75
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 501","Mobile poll/Bureau itinérant",6,4,1,3,27,2,43,87
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 600","Mont-Valin",Void/Supprimé,,,,,,,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 601","Sainte-Rose-du-Nord--Saint-Fulgence",42,15,0,2,29,0,88,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 602","Saint-Honoré",151,48,6,6,78,4,293,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 603","Saguenay",102,55,14,3,81,2,257,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 604","Saguenay",98,43,10,0,94,1,246,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 605","Saguenay",81,35,14,1,139,1,271,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 606","Saguenay",62,18,8,2,96,3,189,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 607","Saguenay",75,54,8,4,96,1,238,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 608","Saguenay",117,55,8,11,180,3,374,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 609","Saguenay",124,92,15,3,138,2,374,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 610","Saguenay",13,9,0,1,13,0,36,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 611","Laterrière",100,62,17,2,61,4,246,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 612","La Baie",47,47,5,1,32,0,132,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 613","Saguenay",88,63,7,6,104,3,271,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 614","Saguenay",83,55,4,0,73,4,219,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 615","Saguenay",34,18,3,5,28,0,88,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,Group 1/Groupe 1,72,117,11,12,58,3,273,769
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord",,Group 2/Groupe 2,769,186,62,24,1022,20,2083,
