Geographic code,Geographic name,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016)
10004,Labrador,Newfoundland and Labrador,10,4.9,00000,Male,13800,2775,9615,1415,65,13550,2745,9725,1085,40,100,20.1,69.7,10.3,0.5,100,20.3,71.8,8,0.3,1.8,1.1,-1.1,30.4,62.5
10004,Labrador,Newfoundland and Labrador,10,4.9,00000,Female,13395,2580,9435,1385,100,13175,2570,9575,1030,80,100,19.3,70.4,10.3,0.7,100,19.5,72.7,7.8,0.6,1.7,0.4,-1.5,34.5,25
10005,Long Range Mountains,Newfoundland and Labrador,10,4.7,00000,Both sexes,86555,11065,55410,20075,1935,87585,12030,59320,16230,1570,100,12.8,64,23.2,2.2,100,13.7,67.7,18.5,1.8,-1.2,-8,-6.6,23.7,23.2
10005,Long Range Mountains,Newfoundland and Labrador,10,4.7,00000,Male,42055,5660,26865,9530,720,42440,6115,28775,7550,555,100,13.5,63.9,22.7,1.7,100,14.4,67.8,17.8,1.3,-0.9,-7.4,-6.6,26.2,29.7
10005,Long Range Mountains,Newfoundland and Labrador,10,4.7,00000,Female,44500,5410,28545,10545,1215,45145,5920,30550,8675,1020,100,12.2,64.1,23.7,2.7,100,13.1,67.7,19.2,2.3,-1.4,-8.6,-6.6,21.6,19.1
10006,St. John's East,Newfoundland and Labrador,10,3.7,00000,Both sexes,85700,13420,59135,13145,1525,82090,12880,58070,11130,1430,100,15.7,69,15.3,1.8,100,15.7,70.7,13.6,1.7,4.4,4.2,1.8,18.1,6.6
10006,St. John's East,Newfoundland and Labrador,10,3.7,00000,Male,41730,6845,29040,5845,490,39540,6590,28195,4760,420,100,16.4,69.6,14,1.2,100,16.7,71.3,12,1.1,5.5,3.9,3,22.8,16.7
10006,St. John's East,Newfoundland and Labrador,10,3.7,00000,Female,43970,6570,30100,7295,1035,42545,6290,29880,6370,1005,100,14.9,68.5,16.6,2.4,100,14.8,70.2,15,2.4,3.3,4.5,0.7,14.5,3
10007,St. John's South--Mount Pearl,Newfoundland and Labrador,10,3.7,00000,Both sexes,81980,11485,57345,13150,1205,81795,11800,59215,10780,1180,100,14,69.9,16,1.5,100,14.4,72.4,13.2,1.4,0.2,-2.7,-3.2,22,2.1
10007,St. John's South--Mount Pearl,Newfoundland and Labrador,10,3.7,00000,Male,39300,5965,27620,5720,365,38930,6035,28405,4490,345,100,15.2,70.3,14.6,0.9,100,15.5,73,11.5,0.9,1,-1.2,-2.8,27.4,5.8
10007,St. John's South--Mount Pearl,Newfoundland and Labrador,10,3.7,00000,Female,42680,5520,29720,7435,835,42865,5760,30815,6290,840,100,12.9,69.6,17.4,2,100,13.4,71.9,14.7,2,-0.4,-4.2,-3.6,18.2,-0.6
11001,Cardigan,Prince Edward Island,11,3.8,00000,Both sexes,36615,6065,23685,6865,635,36005,6140,24345,5520,655,100,16.6,64.7,18.7,1.7,100,17.1,67.6,15.3,1.8,1.7,-1.2,-2.7,24.4,-3.1
11001,Cardigan,Prince Edward Island,11,3.8,00000,Male,18105,3145,11680,3280,220,17645,3075,11950,2625,225,100,17.4,64.5,18.1,1.2,100,17.4,67.7,14.9,1.3,2.6,2.3,-2.3,25,-2.2
11001,Cardigan,Prince Edward Island,11,3.8,00000,Female,18510,2920,12010,3585,415,18360,3070,12390,2890,435,100,15.8,64.9,19.4,2.2,100,16.7,67.5,15.7,2.4,0.8,-4.9,-3.1,24,-4.6
11002,Charlottetown,Prince Edward Island,11,4.8,00000,Both sexes,36095,5010,23985,7105,1095,34565,4830,23720,6015,1055,100,13.9,66.4,19.7,3,100,14,68.6,17.4,3.1,4.4,3.7,1.1,18.1,3.8
11002,Charlottetown,Prince Edward Island,11,4.8,00000,Male,16875,2550,11475,2855,310,15960,2465,11220,2270,245,100,15.1,68,16.9,1.8,100,15.4,70.3,14.2,1.5,5.7,3.4,2.3,25.8,26.5
11002,Charlottetown,Prince Edward Island,11,4.8,00000,Female,19215,2460,12510,4250,790,18605,2365,12495,3745,805,100,12.8,65.1,22.1,4.1,100,12.7,67.2,20.1,4.3,3.3,4,0.1,13.5,-1.9
11003,Egmont,Prince Edward Island,11,4.1,00000,Both sexes,34170,5470,21415,7290,835,34595,5905,22615,6075,825,100,16,62.7,21.3,2.4,100,17.1,65.4,17.6,2.4,-1.2,-7.4,-5.3,20,1.2
11003,Egmont,Prince Edward Island,11,4.1,00000,Male,16585,2745,10505,3330,295,16740,3005,11015,2725,260,100,16.6,63.3,20.1,1.8,100,18,65.8,16.3,1.6,-0.9,-8.7,-4.6,22.2,13.5
11003,Egmont,Prince Edward Island,11,4.1,00000,Female,17585,2725,10905,3955,545,17855,2900,11605,3355,560,100,15.5,62,22.5,3.1,100,16.2,65,18.8,3.1,-1.5,-6,-6,17.9,-2.7
11004,Malpeque,Prince Edward Island,11,3.7,00000,Both sexes,36030,6145,23425,6460,515,35040,6180,23680,5170,465,100,17.1,65,17.9,1.4,100,17.6,67.6,14.8,1.3,2.8,-0.6,-1.1,25,10.8
11004,Malpeque,Prince Edward Island,11,3.7,00000,Male,17740,3135,11430,3180,200,17255,3160,11580,2515,155,100,17.7,64.4,17.9,1.1,100,18.3,67.1,14.6,0.9,2.8,-0.8,-1.3,26.4,29
11004,Malpeque,Prince Edward Island,11,3.7,00000,Female,18290,3010,11995,3285,315,17785,3025,12105,2655,305,100,16.5,65.6,18,1.7,100,17,68.1,14.9,1.7,2.8,-0.5,-0.9,23.7,3.3
12001,Cape Breton--Canso,Nova Scotia,12,4.3,00000,Both sexes,71910,9650,44520,17740,1810,75245,10835,49345,15070,1750,100,13.4,61.9,24.7,2.5,100,14.4,65.6,20,2.3,-4.4,-10.9,-9.8,17.7,3.4
12001,Cape Breton--Canso,Nova Scotia,12,4.3,00000,Male,34855,5010,21590,8255,610,36385,5560,23960,6865,570,100,14.4,61.9,23.7,1.8,100,15.3,65.9,18.9,1.6,-4.2,-9.9,-9.9,20.2,7
12001,Cape Breton--Canso,Nova Scotia,12,4.3,00000,Female,37060,4640,22930,9485,1205,38860,5275,25380,8205,1175,100,12.5,61.9,25.6,3.3,100,13.6,65.3,21.1,3,-4.6,-12,-9.7,15.6,2.6
12002,Central Nova,Nova Scotia,12,4.0,00000,Both sexes,71965,10345,45235,16380,1950,74730,11155,49665,13915,1915,100,14.4,62.9,22.8,2.7,100,14.9,66.5,18.6,2.6,-3.7,-7.3,-8.9,17.7,1.8
12002,Central Nova,Nova Scotia,12,4.0,00000,Male,34920,5290,22110,7520,620,36205,5690,24300,6215,545,100,15.1,63.3,21.5,1.8,100,15.7,67.1,17.2,1.5,-3.5,-7,-9,21,13.8
12002,Central Nova,Nova Scotia,12,4.0,00000,Female,37040,5055,23125,8855,1330,38525,5465,25360,7695,1370,100,13.6,62.4,23.9,3.6,100,14.2,65.8,20,3.6,-3.9,-7.5,-8.8,15.1,-2.9
12003,Cumberland--Colchester,Nova Scotia,12,4.1,00000,Both sexes,80590,11620,50420,18545,2360,82320,12360,54015,15945,2220,100,14.4,62.6,23,2.9,100,15,65.6,19.4,2.7,-2.1,-6,-6.7,16.3,6.3
12003,Cumberland--Colchester,Nova Scotia,12,4.1,00000,Male,38915,5840,24550,8520,800,39840,6365,26340,7130,680,100,15,63.1,21.9,2.1,100,16,66.1,17.9,1.7,-2.3,-8.2,-6.8,19.5,17.6
12003,Cumberland--Colchester,Nova Scotia,12,4.1,00000,Female,41675,5775,25870,10025,1565,42475,5995,27675,8810,1540,100,13.9,62.1,24.1,3.8,100,14.1,65.2,20.7,3.6,-1.9,-3.7,-6.5,13.8,1.6
12004,Dartmouth--Cole Harbour,Nova Scotia,12,3.5,00000,Both sexes,92300,13450,63065,15785,1795,91220,13920,64610,12690,1495,100,14.6,68.3,17.1,1.9,100,15.3,70.8,13.9,1.6,1.2,-3.4,-2.4,24.4,20.1
12004,Dartmouth--Cole Harbour,Nova Scotia,12,3.5,00000,Male,44125,6745,30445,6930,590,43605,7090,31100,5410,455,100,15.3,69,15.7,1.3,100,16.3,71.3,12.4,1,1.2,-4.9,-2.1,28.1,29.7
12004,Dartmouth--Cole Harbour,Nova Scotia,12,3.5,00000,Female,48175,6700,32620,8855,1205,47615,6830,33510,7280,1040,100,13.9,67.7,18.4,2.5,100,14.3,70.4,15.3,2.2,1.2,-1.9,-2.7,21.6,15.9
12005,Halifax,Nova Scotia,12,5.4,00100,Both sexes,94610,10990,69110,14505,2295,92645,10490,69310,12850,2470,100,11.6,73,15.3,2.4,100,11.3,74.8,13.9,2.7,2.1,4.8,-0.3,12.9,-7.1
12005,Halifax,Nova Scotia,12,5.4,00100,Male,45715,5620,33975,6120,720,44550,5280,34110,5155,685,100,12.3,74.3,13.4,1.6,100,11.9,76.6,11.6,1.5,2.6,6.4,-0.4,18.7,5.1
12005,Halifax,Nova Scotia,12,5.4,00100,Female,48895,5375,35135,8390,1570,48090,5210,35195,7690,1785,100,11,71.9,17.2,3.2,100,10.8,73.2,16,3.7,1.7,3.2,-0.2,9.1,-12
12006,Halifax West,Nova Scotia,12,3.3,00000,Both sexes,96255,15895,65855,14505,1725,87280,14345,61515,11420,1610,100,16.5,68.4,15.1,1.8,100,16.4,70.5,13.1,1.8,10.3,10.8,7.1,27,7.1
12006,Halifax West,Nova Scotia,12,3.3,00000,Male,46175,8160,31760,6255,555,41640,7400,29420,4815,490,100,17.7,68.8,13.5,1.2,100,17.8,70.7,11.6,1.2,10.9,10.3,8,29.9,13.3
12006,Halifax West,Nova Scotia,12,3.3,00000,Female,50080,7730,34095,8250,1165,45640,6945,32090,6605,1125,100,15.4,68.1,16.5,2.3,100,15.2,70.3,14.5,2.5,9.7,11.3,6.2,24.9,3.6
12007,Kings--Hants,Nova Scotia,12,3.6,00000,Both sexes,83465,13030,54095,16345,1860,83305,13520,56240,13540,1645,100,15.6,64.8,19.6,2.2,100,16.2,67.5,16.3,2,0.2,-3.6,-3.8,20.7,13.1
12007,Kings--Hants,Nova Scotia,12,3.6,00000,Male,40475,6670,26315,7495,605,40555,6965,27530,6060,520,100,16.5,65,18.5,1.5,100,17.2,67.9,14.9,1.3,-0.2,-4.2,-4.4,23.7,16.3
12007,Kings--Hants,Nova Scotia,12,3.6,00000,Female,42990,6365,27780,8845,1255,42750,6560,28710,7475,1125,100,14.8,64.6,20.6,2.9,100,15.3,67.2,17.5,2.6,0.6,-3,-3.2,18.3,11.6
12008,Sackville--Preston--Chezzetcook,Nova Scotia,12,2.7,00000,Both sexes,86495,15030,59450,12015,840,85440,15455,61010,8975,650,100,17.4,68.7,13.9,1,100,18.1,71.4,10.5,0.8,1.2,-2.7,-2.6,33.9,29.2
12008,Sackville--Preston--Chezzetcook,Nova Scotia,12,2.7,00000,Male,42545,7730,29105,5715,275,42115,7970,29855,4285,185,100,18.2,68.4,13.4,0.6,100,18.9,70.9,10.2,0.4,1,-3,-2.5,33.4,48.6
12008,Sackville--Preston--Chezzetcook,Nova Scotia,12,2.7,00000,Female,43945,7310,30345,6300,565,43330,7480,31155,4690,460,100,16.6,69.1,14.3,1.3,100,17.3,71.9,10.8,1.1,1.4,-2.3,-2.6,34.3,22.8
12009,South Shore--St. Margarets,Nova Scotia,12,3.6,00000,Both sexes,91830,12230,57730,21875,2460,92555,12880,61635,18035,2295,100,13.3,62.9,23.8,2.7,100,13.9,66.6,19.5,2.5,-0.8,-5,-6.3,21.3,7.2
12009,South Shore--St. Margarets,Nova Scotia,12,3.6,00000,Male,45075,6320,28435,10310,870,45520,6685,30405,8425,815,100,14,63.1,22.9,1.9,100,14.7,66.8,18.5,1.8,-1,-5.5,-6.5,22.4,6.7
12009,South Shore--St. Margarets,Nova Scotia,12,3.6,00000,Female,46755,5900,29290,11560,1585,47035,6195,31230,9610,1485,100,12.6,62.6,24.7,3.4,100,13.2,66.4,20.4,3.2,-0.6,-4.8,-6.2,20.3,6.7
12010,Sydney--Victoria,Nova Scotia,12,4.2,00000,Both sexes,72150,10410,45400,16335,2095,73325,10965,48330,14030,2000,100,14.4,62.9,22.6,2.9,100,15,65.9,19.1,2.7,-1.6,-5.1,-6.1,16.4,4.8
12010,Sydney--Victoria,Nova Scotia,12,4.2,00000,Male,34205,5265,21765,7175,645,34820,5600,23245,5975,565,100,15.4,63.6,21,1.9,100,16.1,66.8,17.2,1.6,-1.8,-6,-6.4,20.1,14.2
12010,Sydney--Victoria,Nova Scotia,12,4.2,00000,Female,37945,5140,23640,9165,1445,38510,5370,25090,8050,1435,100,13.5,62.3,24.2,3.8,100,13.9,65.2,20.9,3.7,-1.5,-4.3,-5.8,13.9,0.7
12011,West Nova,Nova Scotia,12,4.4,00000,Both sexes,82030,11175,51060,19785,2460,83650,12290,54455,16910,2335,100,13.6,62.2,24.1,3,100,14.7,65.1,20.2,2.8,-1.9,-9.1,-6.2,17,5.4
12011,West Nova,Nova Scotia,12,4.4,00000,Male,39875,5705,25055,9115,835,40345,6170,26600,7580,780,100,14.3,62.8,22.9,2.1,100,15.3,65.9,18.8,1.9,-1.2,-7.5,-5.8,20.3,7.1
12011,West Nova,Nova Scotia,12,4.4,00000,Female,42150,5465,26005,10675,1630,43310,6120,27855,9335,1565,100,13,61.7,25.3,3.9,100,14.1,64.3,21.6,3.6,-2.7,-10.7,-6.6,14.4,4.2
13001,Acadie--Bathurst,New Brunswick,13,4.1,00000,Both sexes,77790,8910,50150,18725,2100,79340,9765,54725,14850,1785,100,11.5,64.5,24.1,2.7,100,12.3,69,18.7,2.2,-2,-8.8,-8.4,26.1,17.6
13001,Acadie--Bathurst,New Brunswick,13,4.1,00000,Male,38405,4595,24890,8915,720,39005,4990,27050,6965,580,100,12,64.8,23.2,1.9,100,12.8,69.4,17.9,1.5,-1.5,-7.9,-8,28,24.1
13001,Acadie--Bathurst,New Brunswick,13,4.1,00000,Female,39385,4315,25260,9810,1380,40335,4770,27675,7890,1200,100,11,64.1,24.9,3.5,100,11.8,68.6,19.6,3,-2.4,-9.5,-8.7,24.3,15
13002,Beauséjour,New Brunswick,13,4.1,00000,Both sexes,82295,11620,53730,16945,1845,80415,11465,55430,13520,1770,100,14.1,65.3,20.6,2.2,100,14.3,68.9,16.8,2.2,2.3,1.4,-3.1,25.3,4.2
13002,Beauséjour,New Brunswick,13,4.1,00000,Male,41105,6005,26990,8110,635,39845,5805,27715,6320,595,100,14.6,65.7,19.7,1.5,100,14.6,69.6,15.9,1.5,3.2,3.4,-2.6,28.3,6.7
13002,Beauséjour,New Brunswick,13,4.1,00000,Female,41195,5620,26740,8835,1205,40570,5665,27715,7195,1170,100,13.6,64.9,21.4,2.9,100,14,68.3,17.7,2.9,1.5,-0.8,-3.5,22.8,3
13003,Fredericton,New Brunswick,13,4.3,00000,Both sexes,83300,13430,56255,13620,1745,81765,13340,57105,11315,1575,100,16.1,67.5,16.4,2.1,100,16.3,69.8,13.8,1.9,1.9,0.7,-1.5,20.4,10.8
13003,Fredericton,New Brunswick,13,4.3,00000,Male,40785,6850,27975,5960,560,39770,6730,28200,4840,480,100,16.8,68.6,14.6,1.4,100,16.9,70.9,12.2,1.2,2.6,1.8,-0.8,23.1,16.7
13003,Fredericton,New Brunswick,13,4.3,00000,Female,42520,6580,28275,7660,1190,41990,6610,28905,6480,1090,100,15.5,66.5,18,2.8,100,15.7,68.8,15.4,2.6,1.3,-0.5,-2.2,18.2,9.2
13004,Fundy Royal,New Brunswick,13,2.9,00000,Both sexes,79940,13735,51955,14255,1370,79325,14190,54145,11000,1250,100,17.2,65,17.8,1.7,100,17.9,68.3,13.9,1.6,0.8,-3.2,-4,29.6,9.6
13004,Fundy Royal,New Brunswick,13,2.9,00000,Male,39285,6925,25545,6815,450,39225,7305,26735,5190,440,100,17.6,65,17.3,1.1,100,18.6,68.2,13.2,1.1,0.2,-5.2,-4.5,31.3,2.3
13004,Fundy Royal,New Brunswick,13,2.9,00000,Female,40655,6815,26405,7440,915,40105,6885,27410,5810,810,100,16.8,64.9,18.3,2.3,100,17.2,68.3,14.5,2,1.4,-1,-3.7,28.1,13
13005,Madawaska--Restigouche,New Brunswick,13,4.4,00000,Both sexes,60380,7625,38625,14135,1620,62530,8190,42400,11945,1505,100,12.6,64,23.4,2.7,100,13.1,67.8,19.1,2.4,-3.4,-6.9,-8.9,18.3,7.6
13005,Madawaska--Restigouche,New Brunswick,13,4.4,00000,Male,29515,3895,19155,6465,545,30425,4180,20995,5250,485,100,13.2,64.9,21.9,1.8,100,13.7,69,17.3,1.6,-3,-6.8,-8.8,23.1,12.4
13005,Madawaska--Restigouche,New Brunswick,13,4.4,00000,Female,30865,3725,19470,7665,1075,32110,4005,21405,6695,1025,100,12.1,63.1,24.8,3.5,100,12.5,66.7,20.9,3.2,-3.9,-7,-9,14.5,4.9
13006,Miramichi--Grand Lake,New Brunswick,13,3.7,00000,Both sexes,57405,7760,36470,13175,1435,59345,8610,39525,11205,1340,100,13.5,63.5,23,2.5,100,14.5,66.6,18.9,2.3,-3.3,-9.9,-7.7,17.6,7.1
13006,Miramichi--Grand Lake,New Brunswick,13,3.7,00000,Male,28190,3985,17940,6265,485,29230,4395,19635,5205,435,100,14.1,63.6,22.2,1.7,100,15,67.2,17.8,1.5,-3.6,-9.3,-8.6,20.4,11.5
13006,Miramichi--Grand Lake,New Brunswick,13,3.7,00000,Female,29220,3780,18525,6910,955,30115,4215,19890,6000,900,100,12.9,63.4,23.6,3.3,100,14,66,19.9,3,-3,-10.3,-6.9,15.2,6.1
13007,Moncton--Riverview--Dieppe,New Brunswick,13,4.2,00000,Both sexes,92665,13825,61655,17190,2630,89490,12820,62090,14580,2445,100,14.9,66.5,18.6,2.8,100,14.3,69.4,16.3,2.7,3.5,7.8,-0.7,17.9,7.6
13007,Moncton--Riverview--Dieppe,New Brunswick,13,4.2,00000,Male,44380,7075,29980,7325,860,42740,6560,30190,6000,755,100,15.9,67.6,16.5,1.9,100,15.3,70.6,14,1.8,3.8,7.9,-0.7,22.1,13.9
13007,Moncton--Riverview--Dieppe,New Brunswick,13,4.2,00000,Female,48285,6750,31675,9860,1770,46745,6265,31895,8585,1690,100,14,65.6,20.4,3.7,100,13.4,68.2,18.4,3.6,3.3,7.7,-0.7,14.9,4.7
13008,New Brunswick Southwest,New Brunswick,13,3.3,00000,Both sexes,65280,10310,42390,12580,1320,66200,10735,44785,10685,1320,100,15.8,64.9,19.3,2,100,16.2,67.7,16.1,2,-1.4,-4,-5.3,17.7,0
13008,New Brunswick Southwest,New Brunswick,13,3.3,00000,Male,32270,5215,21025,6035,455,32580,5470,22160,4950,415,100,16.2,65.2,18.7,1.4,100,16.8,68,15.2,1.3,-1,-4.7,-5.1,21.9,9.6
13008,New Brunswick Southwest,New Brunswick,13,3.3,00000,Female,33015,5095,21370,6550,870,33620,5265,22625,5735,910,100,15.4,64.7,19.8,2.6,100,15.7,67.3,17.1,2.7,-1.8,-3.2,-5.5,14.2,-4.4
13009,Saint John--Rothesay,New Brunswick,13,4.0,00000,Both sexes,79360,12065,52235,15065,2160,82130,12565,56040,13525,2115,100,15.2,65.8,19,2.7,100,15.3,68.2,16.5,2.6,-3.4,-4,-6.8,11.4,2.1
13009,Saint John--Rothesay,New Brunswick,13,4.0,00000,Male,37790,6140,25180,6470,670,38835,6370,26895,5565,590,100,16.2,66.6,17.1,1.8,100,16.4,69.3,14.3,1.5,-2.7,-3.6,-6.4,16.3,13.6
13009,Saint John--Rothesay,New Brunswick,13,4.0,00000,Female,41575,5925,27055,8590,1485,43295,6195,29145,7955,1525,100,14.3,65.1,20.7,3.6,100,14.3,67.3,18.4,3.5,-4,-4.4,-7.2,8,-2.6
13010,Tobique--Mactaquac,New Brunswick,13,3.4,00000,Both sexes,68675,11210,44365,13095,1405,70630,11900,47715,11015,1365,100,16.3,64.6,19.1,2,100,16.8,67.6,15.6,1.9,-2.8,-5.8,-7,18.9,2.9
13010,Tobique--Mactaquac,New Brunswick,13,3.4,00000,Male,33635,5635,21855,6145,485,34785,6145,23645,5000,455,100,16.8,65,18.3,1.4,100,17.7,68,14.4,1.3,-3.3,-8.3,-7.6,22.9,6.6
13010,Tobique--Mactaquac,New Brunswick,13,3.4,00000,Female,35040,5575,22505,6955,925,35845,5755,24070,6015,910,100,15.9,64.2,19.8,2.6,100,16.1,67.2,16.8,2.5,-2.2,-3.1,-6.5,15.6,1.6
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,24,7.4,00100,Both sexes,87785,19855,57420,10510,915,85475,19700,57195,8580,720,100,22.6,65.4,12,1,100,23,66.9,10,0.8,2.7,0.8,0.4,22.5,27.1
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,24,7.4,00100,Male,44635,10240,29355,5040,335,43435,10265,29170,3995,235,100,22.9,65.8,11.3,0.8,100,23.6,67.2,9.2,0.5,2.8,-0.2,0.6,26.2,42.6
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,24,7.4,00100,Female,43155,9610,28065,5475,580,42040,9430,28020,4585,490,100,22.3,65,12.7,1.3,100,22.4,66.7,10.9,1.2,2.7,1.9,0.2,19.4,18.4
24002,Abitibi--Témiscamingue,Quebec,24,4.4,00000,Both sexes,103495,17530,67105,18855,2185,102795,17175,69620,16000,1770,100,16.9,64.8,18.2,2.1,100,16.7,67.7,15.6,1.7,0.7,2.1,-3.6,17.8,23.4
24002,Abitibi--Témiscamingue,Quebec,24,4.4,00000,Male,52035,8935,34260,8840,730,51425,8705,35400,7315,635,100,17.2,65.8,17,1.4,100,16.9,68.8,14.2,1.2,1.2,2.6,-3.2,20.8,15
24002,Abitibi--Témiscamingue,Quebec,24,4.4,00000,Female,51455,8595,32845,10015,1455,51370,8465,34220,8685,1135,100,16.7,63.8,19.5,2.8,100,16.5,66.6,16.9,2.2,0.2,1.5,-4,15.3,28.2
24003,Ahuntsic-Cartierville,Quebec,24,4.5,00000,Both sexes,117450,19940,75360,22140,4415,110470,17590,73425,19460,3100,100,17,64.2,18.9,3.8,100,15.9,66.5,17.6,2.8,6.3,13.4,2.6,13.8,42.4
24003,Ahuntsic-Cartierville,Quebec,24,4.5,00000,Male,56565,10185,37735,8650,1285,53230,8955,36795,7480,820,100,18,66.7,15.3,2.3,100,16.8,69.1,14.1,1.5,6.3,13.7,2.6,15.6,56.7
24003,Ahuntsic-Cartierville,Quebec,24,4.5,00000,Female,60880,9755,37625,13490,3130,57245,8635,36630,11985,2275,100,16,61.8,22.2,5.1,100,15.1,64,20.9,4,6.3,13,2.7,12.6,37.6
24004,Alfred-Pellan,Quebec,24,3.3,00000,Both sexes,101370,16940,66695,17740,2295,98045,16560,66010,15475,1505,100,16.7,65.8,17.5,2.3,100,16.9,67.3,15.8,1.5,3.4,2.3,1,14.6,52.5
24004,Alfred-Pellan,Quebec,24,3.3,00000,Male,49500,8635,32885,7980,820,47940,8475,32605,6855,485,100,17.4,66.4,16.1,1.7,100,17.7,68,14.3,1,3.3,1.9,0.9,16.4,69.1
