district_code,name_english,pop,pop_lag,dwellings,occupied_dwellings,land_area,density
48013,Edmonton East (Alta.),135254,128199,57378,52944,48.982,2761.3001
48014,Edmonton - Leduc (Alta.),150234,116986,59114,56339,421.2276,356.6575
48015,Edmonton - St. Albert (Alta.),136688,126447,51524,49922,107.0062,1277.3839
48016,Edmonton - Sherwood Park (Alta.),136897,118073,52888,50535,306.0612,447.2864
48017,Edmonton - Spruce Grove (Alta.),151389,128945,58512,55866,1009.3558,149.9858
48018,Edmonton - Strathcona (Alta.),101178,99267,52381,47215,80.9075,1250.5392
48019,Lethbridge (Alta.),125561,113531,51824,47324,10992.7378,11.4222
48020,Macleod (Alta.),123778,107638,48836,44414,28303.1537,4.3733
48021,Medicine Hat (Alta.),119670,113085,49874,45888,32661.8858,3.6639
48022,Peace River (Alta.),150925,138009,59137,54357,168289.5673,0.8968
48023,Red Deer (Alta.),134312,124063,57731,52771,4103.1323,32.734
48024,Vegreville - Wainwright (Alta.),117230,111427,48042,43967,29882.2436,3.9231
48025,Westlock - St. Paul (Alta.),108518,101010,43380,39251,22155.7255,4.898
48026,Wetaskiwin (Alta.),113780,107914,48318,42297,14996.4504,7.5871
48027,Wild Rose (Alta.),138617,115872,57625,50672,28054.456,4.941
48028,Yellowhead (Alta.),105526,103111,47351,40249,78272.692,1.3482
59001,Abbotsford (B.C.),133765,124515,50002,46530,400.8297,333.7203
59002,Burnaby - Douglas (B.C.),123275,112119,50810,48399,57.5116,2143.4806
59003,Burnaby - New Westminster (B.C.),131917,118713,55650,52502,40.6903,3241.9766
59004,Cariboo - Prince George (B.C.),108840,106382,48842,44044,86993.4039,1.2511
59005,Chilliwack - Fraser Canyon (B.C.),121737,112118,54373,48437,29553.574,4.1192
59006,Delta - Richmond East (B.C.),111411,106103,40904,39729,246.6864,451.6301
59007,Pitt Meadows - Maple Ridge - Mission (B.C.),131746,120662,50812,48138,2601.0866,50.6504
59008,Esquimalt - Juan de Fuca (B.C.),132300,120669,58514,54470,1796.1842,73.6561
59009,Fleetwood - Port Kells (B.C.),160129,123243,52493,49174,105.9573,1511.2597
59010,Kamloops - Thompson - Cariboo (B.C.),120218,114675,57714,50201,43789.3264,2.7454
59011,Kelowna - Lake Country (B.C.),134732,122214,62933,56691,1582.5354,85.1368
59012,Kootenay - Columbia (B.C.),88026,86811,49310,37726,62881.5262,1.3999
59013,Langley (B.C.),129824,117858,51235,48856,320.6222,404.9127
59014,Nanaimo - Alberni (B.C.),127275,121434,60821,55383,8324.9777,15.2883
59015,Nanaimo - Cowichan (B.C.),131118,125149,61383,55877,3849.3832,34.0621
59016,Newton - North Delta (B.C.),127954,118649,40260,37962,51.0802,2504.9628
59017,New Westminster - Coquitlam (B.C.),122899,111231,52607,49812,52.2124,2353.8278
59018,Okanagan - Shuswap (B.C.),121062,116236,61234,50944,13780.8671,8.7848
59019,North Vancouver (B.C.),127330,122371,53589,51069,411.5611,309.383
59020,Okanagan - Coquihalla (B.C.),113836,107316,54150,48470,10351.99,10.9965
59021,Port Moody - Westwood - Port Coquitlam (B.C.),129706,116563,48706,46476,649.347,199.7484
59022,Prince George - Peace River (B.C.),105782,105865,46800,41929,243588.8031,0.4343
59023,Richmond (B.C.),125710,114137,48775,46341,47.2558,2660.2026
59024,Saanich - Gulf Islands (B.C.),116749,115724,56111,49872,504.014,231.6384
59025,Skeena - Bulkley Valley (B.C.),89998,91926,41347,35524,322382.4534,0.2792
59026,British Columbia Southern Interior (B.C.),97952,95477,53058,43552,26248.3438,3.7317
59027,South Surrey - White Rock - Cloverdale (B.C.),127729,111756,52654,50102,149.6869,853.3078
59028,Surrey North (B.C.),125963,111960,46808,42557,44.878,2806.7873
59029,Vancouver Centre (B.C.),137269,123701,91682,82618,15.0771,9104.4697
59030,Vancouver East (B.C.),110097,106816,54262,50141,21.5311,5113.3941
59031,Vancouver Island North (B.C.),118374,113356,57209,51431,49144.6115,2.4087
59032,Vancouver Kingsway (B.C.),124938,119815,47561,44536,20.9707,5957.741
59033,Vancouver Quadra (B.C.),121865,119627,54505,50300,47.6035,2560.0008
59034,Vancouver South (B.C.),123679,120284,45024,42461,26.2117,4718.4654
59035,Victoria (B.C.),110942,108771,63352,56292,40.2785,2754.3727
59036,West Vancouver - Sunshine Coast - Sea to Sky Country (B.C.),133910,129241,69875,56091,12386.2219,10.8112
60001,Yukon (Y.T.),33897,30372,16259,14117,474712.6409,0.0714
61001,Western Arctic (N.W.T.),41462,41464,17175,14700,1143793.472,0.0362
62001,Nunavut (Nvt.),31906,29474,10077,8661,1877787.616,0.017
