district_code,name_english,pop,pop_lag,dwellings,occupied_dwellings
48015,Edmonton - St. Albert (Alta.),126447,113146,47263,45673
48018,Edmonton - Strathcona (Alta.),99267,98974,50617,47071
35019,Eglinton - Lawrence (Ont.),110066,106879,46129,43641
11003,Egmont (P.E.I.),34814,35208,15573,13544
35020,Elgin - Middlesex - London (Ont.),110028,104564,42762,41075
46005,Elmwood - Transcona (Man.),78700,77997,32402,31789
59008,Esquimalt - Juan de Fuca (B.C.),120669,110909,51394,48756
35021,Essex (Ont.),123872,114330,46825,44078
35022,Etobicoke Centre (Ont.),111349,111792,43496,41918
35023,Etobicoke - Lakeshore (Ont.),114641,113914,53165,49999
35024,Etobicoke North (Ont.),108501,112411,35412,33269
59009,Fleetwood - Port Kells (B.C.),123243,101198,40718,38435
48001,Fort McMurray - Athabasca (Alta.),100805,88882,41695,35159
13003,Fredericton (N.B.),85886,82782,39315,35456
13004,Fundy Royal (N.B.),69471,67287,29071,26146
24019,Gaspésie - Îles-de-la-Madeleine (Que.),82007,84202,37595,34000
24020,Gatineau (Que.),108742,102898,44724,43321
35025,Glengarry - Prescott - Russell (Ont.),104309,97878,40601,38886
35027,Guelph (Ont.),114943,106170,47969,44706
35028,Haldimand - Norfolk (Ont.),107775,104575,44913,40546
35029,Haliburton - Kawartha Lakes - Brock (Ont.),119141,111343,76098,47217
12004,Halifax (N.S.),89448,88931,46990,42230
12005,Halifax West (N.S.),88756,79933,38330,36393
35030,Halton (Ont.),151943,100055,52001,50335
35031,Hamilton Centre (Ont.),117509,118186,56684,52057
35032,Hamilton East - Stoney Creek (Ont.),116434,115709,47318,45583
35033,Hamilton Mountain (Ont.),122729,119830,45943,44837
24041,Haute-Gaspésie - La Mitis - Matane - Matapédia (Que.),73140,74475,35957,31513
24021,Hochelaga (Que.),100915,100934,54250,51937
24022,Honoré-Mercier (Que.),106196,100981,44400,43071
24023,Hull - Aylmer (Que.),110902,102331,50796,48117
10003,Humber - St. Barbe - Baie Verte (N.L.),73171,76467,35132,28546
35034,Huron - Bruce (Ont.),104313,104063,49134,40794
24024,Jeanne-Le Ber (Que.),112863,103092,58293,54841
24025,Joliette (Que.),108169,97334,59499,46951
24026,Jonquière - Alma (Que.),97232,98167,44215,41544
59010,Kamloops - Thompson - Cariboo (B.C.),114675,111721,53141,47356
59011,Kelowna - Lake Country (B.C.),122214,111206,54660,51013
35035,Kenora (Ont.),64291,60572,30896,22969
46006,Kildonan - St. Paul (Man.),81532,77131,32982,32413
12006,Kings - Hants (N.S.),81531,79286,35439,32337
35036,Kingston and the Islands (Ont.),119069,115833,55120,49646
35037,Kitchener Centre (Ont.),107540,108840,44996,43285
35038,Kitchener - Conestoga (Ont.),114405,96708,41592,39985
35039,Kitchener - Waterloo (Ont.),126742,113826,52808,48401
59012,Kootenay - Columbia (B.C.),86811,88637,45098,37045
10004,Labrador (N.L.),26364,27864,10737,9241
24027,Lac-Saint-Louis (Que.),105622,101919,39443,38014
35046,Lambton - Kent - Middlesex (Ont.),107635,105291,44398,40532
35040,Lanark - Frontenac - Lennox and Addington (Ont.),117389,113082,58157,45807
59013,Langley (B.C.),117858,111046,46499,44170
24028,La Pointe-de-l'Île (Que.),99685,98878,45742,44251
24029,LaSalle - Émard (Que.),100327,99767,47298,45331
24030,Laurentides - Labelle (Que.),105884,96133,70774,47404
24031,Laurier - Sainte-Marie (Que.),101758,100488,61025,56531
24032,Laval (Que.),102230,98831,46412,44720
24033,Laval - Les Îles (Que.),111958,100137,41765,40788
35041,Leeds - Grenville (Ont.),99206,96606,45822,39903
48019,Lethbridge (Alta.),113531,106132,45742,42711
24034,Lévis - Bellechasse (Que.),105927,102310,49018,44793
35042,London - Fanshawe (Ont.),107218,107341,42295,40525
35043,London North Centre (Ont.),115250,107672,58909,51431
35044,London West (Ont.),118335,110988,51799,49283
24035,Longueuil - Pierre-Boucher (Que.),98032,96403,43648,42481
24036,Lotbinière - Chutes-de-la-Chaudière (Que.),100454,94834,40245,38286
24037,Louis-Hébert (Que.),101730,98156,50676,47072
24038,Louis-Saint-Laurent (Que.),96286,94294,40607,39824
48020,Macleod (Alta.),107638,97501,41137,38195
13005,Madawaska - Restigouche (N.B.),62593,65877,29188,26285
11004,Malpeque (P.E.I.),33796,33064,15951,12575
24039,Manicouagan (Que.),83608,84872,37667,34190
24040,Marc-Aurèle-Fortin (Que.),107149,99019,42094,41030
35045,Markham - Unionville (Ont.),127191,112093,35365,33986
48021,Medicine Hat (Alta.),113085,105086,45654,43113
24042,Mégantic - L'Érable (Que.),87078,87205,43109,37270
13006,Miramichi (N.B.),53844,56464,23551,21448
35047,Mississauga - Brampton South (Ont.),136470,113826,41839,40554
35048,Mississauga East - Cooksville (Ont.),126642,122566,48697,45687
35049,Mississauga - Erindale (Ont.),143361,120354,44725,43275
35050,Mississauga South (Ont.),110932,113003,42320,40681
35051,Mississauga - Streetsville (Ont.),130033,118305,39817,38661
13007,Moncton - Riverview - Dieppe (N.B.),89334,83191,40637,37761
24043,Montcalm (Que.),122825,105678,48169,45205
24058,Montmagny - L'Islet - Kamouraska - Rivière-du-Loup (Que.),97492,97126,46487,41008
24014,Montmorency - Charlevoix - Haute-Côte-Nord (Que.),90535,89257,42716,37444
24044,Mount Royal (Que.),98888,98346,41326,39198
59014,Nanaimo - Alberni (B.C.),121434,112972,55609,51793
59015,Nanaimo - Cowichan (B.C.),125149,116754,56176,52356
35052,Nepean - Carleton (Ont.),133245,109291,46574,45366
13008,New Brunswick Southwest (N.B.),63232,63529,30017,24932
35053,Newmarket - Aurora (Ont.),121924,105955,41908,40743
59016,Newton - North Delta (B.C.),118649,111050,37689,35672
59017,New Westminster - Coquitlam (B.C.),111231,109301,47088,44630
35054,Niagara Falls (Ont.),126696,120797,54147,50148
35055,Niagara West - Glanbrook (Ont.),111024,99747,39851,38716
35056,Nickel Belt (Ont.),89377,89991,38622,34265
35057,Nipissing - Timiskaming (Ont.),90963,89284,42050,37476
35058,Northumberland - Quinte West (Ont.),123706,118906,52701,48275
59019,North Vancouver (B.C.),122371,120841,51100,48747
24045,Notre-Dame-de-Grâce - Lachine (Que.),104715,101698,49672,46887
62001,Nunavut (Nvt.),29474,26745,9041,7855
35059,Oak Ridges - Markham (Ont.),169642,111276,55609,52544
35060,Oakville (Ont.),113714,109642,42276,40598
59020,Okanagan - Coquihalla (B.C.),107316,101831,48336,45246
59018,Okanagan - Shuswap (B.C.),116236,109711,56149,48347
35061,Oshawa (Ont.),116881,113662,47895,45675
35062,Ottawa Centre (Ont.),109336,114032,59408,53846
35063,Ottawa - Orléans (Ont.),109950,103217,38546,37726
35064,Ottawa South (Ont.),117581,118808,49616,46962
35065,Ottawa - Vanier (Ont.),101611,105870,51792,46276
35066,Ottawa West - Nepean (Ont.),109735,112509,49271,46486
24047,Outremont (Que.),95771,96693,48195,44439
35067,Oxford (Ont.),102756,99270,40625,39335
47005,Palliser (Sask.),65956,67282,30562,28643
24048,Papineau (Que.),101019,103942,48672,46565
35068,Parkdale - High Park (Ont.),102142,106559,49306,46161
35069,Parry Sound - Muskoka (Ont.),90281,84789,76109,37129
48022,Peace River (Alta.),138009,123877,51271,48492
35070,Perth - Wellington (Ont.),103874,102447,40818,38810
35071,Peterborough (Ont.),116626,110887,55353,47255
35072,Pickering - Scarborough East (Ont.),106602,106722,34923,33953
24049,Pierrefonds - Dollard (Que.),105504,102542,38756,37279
59007,Pitt Meadows - Maple Ridge - Mission (B.C.),120662,110577,45990,43536
24050,Pontiac (Que.),99589,89950,52375,39495
46007,Portage - Lisgar (Man.),85653,83381,31862,30227
59021,Port Moody - Westwood - Port Coquitlam (B.C.),116563,109394,43054,40942
24051,Portneuf - Jacques-Cartier (Que.),93526,87141,43229,36819
47006,Prince Albert (Sask.),71159,73988,29915,27755
35073,Prince Edward - Hastings (Ont.),113227,109407,54444,46225
59022,Prince George - Peace River (B.C.),105865,104257,44198,41077
46008,Provencher (Man.),87737,81910,37627,30604
24052,Québec (Que.),95433,93811,55034,51867
10005,Random - Burin - St. George's (N.L.),71219,76089,35781,28317
48023,Red Deer (Alta.),124063,105070,51193,47724
47007,Regina - Lumsden - Lake Centre (Sask.),65885,66374,29421,25417
47008,Regina - Qu'Appelle (Sask.),66698,69014,30133,26675
35074,Renfrew - Nipissing - Pembroke (Ont.),98803,96416,47740,39799
24053,Repentigny (Que.),109636,103987,43460,42439
59023,Richmond (B.C.),114137,106621,43309,41193
24055,Richmond - Arthabaska (Que.),100116,97569,45116,41920
35075,Richmond Hill (Ont.),122614,109394,40697,39301
24056,Rimouski-Neigette - Témiscouata - Les Basques (Que.),84453,84557,41482,36400
24057,Rivière-des-Mille-Îles (Que.),97258,92944,38310,37322
24059,Rivière-du-Nord (Que.),101576,90419,45280,42437
24060,Roberval - Lac-Saint-Jean (Que.),78895,81373,37254,32488
24061,Rosemont - La Petite-Patrie (Que.),105864,103458,58274,55745
59024,Saanich - Gulf Islands (B.C.),115724,110284,53644,48602
12008,Sackville - Eastern Shore (N.S.),86963,84209,32535,31461
46009,Saint Boniface (Man.),84473,81239,36820,36037
24062,Saint-Bruno - Saint-Hubert (Que.),101416,99755,39675,38842
24063,Saint-Hyacinthe - Bagot (Que.),95983,94084,42328,40161
24064,Saint-Jean (Que.),102902,95096,44263,42625
13009,Saint John (N.B.),82078,83463,37467,34445
24065,Saint-Lambert (Que.),94541,92946,45623,44024
24066,Saint-Laurent - Cartierville (Que.),109015,100747,45260,42982
24067,Saint-Léonard - Saint-Michel (Que.),104786,102302,44173,42575
24068,Saint-Maurice - Champlain (Que.),96968,97893,49155,43554
35078,Sarnia - Lambton (Ont.),105360,104556,45290,42932
47009,Saskatoon - Humboldt (Sask.),75051,70405,34014,30651
47010,Saskatoon - Rosetown - Biggar (Sask.),69547,73077,29628,27374
47011,Saskatoon - Wanuskewin (Sask.),72867,72429,31143,28899
35079,Sault Ste. Marie (Ont.),89028,88429,43087,37469
35080,Scarborough - Agincourt (Ont.),111867,110669,37602,36523
35081,Scarborough Centre (Ont.),108010,102922,41079,38816
35082,Scarborough - Guildwood (Ont.),108813,112628,39611,37523
35083,Scarborough - Rouge River (Ont.),130974,115437,38103,36862
35084,Scarborough Southwest (Ont.),102196,105237,41248,39193
46010,Selkirk - Interlake (Man.),90807,86555,46940,34442
24069,Shefford (Que.),100000,94939,43539,41500
24070,Sherbrooke (Que.),101681,97877,51213,47848
35085,Simcoe - Grey (Ont.),125985,117505,57055,46708
35086,Simcoe North (Ont.),119400,111057,59489,47038
59025,Skeena - Bulkley Valley (B.C.),91926,99474,40730,35249
47012,Souris - Moose Mountain (Sask.),63238,66208,29975,26126
12009,South Shore - St. Margaret's (N.S.),82855,83694,42673,34873
59027,South Surrey - White Rock - Cloverdale (B.C.),111756,99317,46375,44329
35076,St. Catharines (Ont.),112869,111452,50138,47628
10006,St. John's East (N.L.),88002,81007,36539,33859
10007,St. John's South - Mount Pearl (N.L.),81938,82212,35349,32923
35087,Stormont - Dundas - South Glengarry (Ont.),99764,98933,41733,40008
35077,St. Paul's (Ont.),111131,112449,58864,55312
35088,Sudbury (Ont.),92161,89443,44170,40581
59028,Surrey North (B.C.),111960,106904,41776,38556
12010,Sydney - Victoria (N.S.),76801,79294,34521,31429
24071,Terrebonne - Blainville (Que.),107694,92086,40127,39221
35089,Thornhill (Ont.),131978,116840,43923,42447
35090,Thunder Bay - Rainy River (Ont.),85153,85775,40496,34875
35091,Thunder Bay - Superior North (Ont.),82589,83657,40355,34405
35092,Timmins - James Bay (Ont.),80791,84001,36768,32769
13010,Tobique - Mactaquac (N.B.),68352,70105,29631,26749
35093,Toronto Centre (Ont.),121407,114581,69850,64524
35094,Toronto - Danforth (Ont.),103655,109713,45718,43282
35095,Trinity - Spadina (Ont.),115361,106094,62361,56083
24072,Trois-Rivières (Que.),94272,92206,46858,44243
59029,Vancouver Centre (B.C.),123701,105998,82343,74507
59030,Vancouver East (B.C.),106816,107421,54617,50492
59031,Vancouver Island North (B.C.),113356,109380,53216,47724
59032,Vancouver Kingsway (B.C.),119815,115325,45241,41971
59033,Vancouver Quadra (B.C.),119627,112985,53752,49535
59034,Vancouver South (B.C.),120284,113063,44030,41574
24073,Vaudreuil-Soulanges (Que.),120395,102100,47596,45818
35096,Vaughan (Ont.),154206,112049,44853,43896
48024,Vegreville - Wainwright (Alta.),111427,107776,44524,41588
24074,Verchères - Les Patriotes (Que.),97726,89209,37124,36377
59035,Victoria (B.C.),108771,104561,60348,55124
47013,Wascana (Sask.),75717,72508,34231,32168
35097,Welland (Ont.),112875,108876,48308,45054
35098,Wellington - Halton Hills (Ont.),111241,100555,40049,38573
61001,Western Arctic (N.W.T.),41464,37360,16774,14224
48025,Westlock - St. Paul (Alta.),101010,99076,39383,35745
24075,Westmount - Ville-Marie (Que.),100360,97226,59889,50850
12011,West Nova (N.S.),86393,88257,42159,35584
59036,West Vancouver - Sunshine Coast - Sea to Sky Country (B.C.),129241,124572,65887,53956
48026,Wetaskiwin (Alta.),107914,101163,44152,39795
35099,Whitby - Oshawa (Ont.),135893,112802,47703,46488
48027,Wild Rose (Alta.),115872,101670,46630,42156
35100,Willowdale (Ont.),129356,108454,55184,51736
35101,Windsor - Tecumseh (Ont.),118478,116466,50023,47556
35102,Windsor West (Ont.),122219,117041,53736,49409
46011,Winnipeg Centre (Man.),81017,80930,39002,36419
46012,Winnipeg North (Man.),79366,79332,29754,28382
46013,Winnipeg South (Man.),84424,76871,31394,30729
46014,Winnipeg South Centre (Man.),78286,77839,38046,36764
48028,Yellowhead (Alta.),103111,97993,43850,38387
35103,York Centre (Ont.),113457,113420,45340,42638
35104,York - Simcoe (Ont.),120371,112541,45915,42104
35105,York South - Weston (Ont.),114458,114539,45802,42732
47014,Yorkton - Melville (Sask.),66094,70895,34925,28554
35106,York West (Ont.),103948,110384,37538,34558
60001,Yukon (Y.T.),30372,28674,15296,12615
