Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donovan Eckstrom,Corina Ganton,Wayne John Kamieniecki,Russ Toews,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,66,Weberville,1,0,2,2,23,43,0,71,126
48022,Peace River/Peace River,67,Weberville,4,4,11,2,30,193,1,245,455
48022,Peace River/Peace River,68,Roma,0,2,1,1,11,51,0,66,129
48022,Peace River/Peace River,69,Peace River,0,4,5,3,40,104,0,156,388
48022,Peace River/Peace River,70,Peace River,0,9,8,2,64,209,2,294,551
48022,Peace River/Peace River,71,Peace River,0,13,11,0,65,236,1,326,655
48022,Peace River/Peace River,72,Peace River,1,5,9,1,57,114,1,188,351
48022,Peace River/Peace River,73,Peace River,1,8,14,3,46,90,0,162,325
48022,Peace River/Peace River,74,Peace River,2,3,8,2,24,54,1,94,335
48022,Peace River/Peace River,75,Peace River,0,9,11,2,53,112,0,187,402
48022,Peace River/Peace River,76,Peace River,0,5,8,0,37,61,0,111,335
48022,Peace River/Peace River,77,Peace River,1,3,6,1,52,135,0,198,368
48022,Peace River/Peace River,78,Peace River,2,9,4,1,32,122,0,170,348
48022,Peace River/Peace River,79,Peace River,0,7,9,2,50,102,0,170,366
48022,Peace River/Peace River,80,Peace River,1,5,4,1,38,81,1,131,265
48022,Peace River/Peace River,81,Three Creeks,0,0,2,0,19,52,1,74,140
48022,Peace River/Peace River,82,Cadotte Lake,0,4,1,0,13,20,0,38,327
48022,Peace River/Peace River,83,Little Buffalo,0,0,1,1,28,11,1,42,140
48022,Peace River/Peace River,84,Bison Lake,"Electors voted by special ballot in Group 2/Dans le groupe 2, les électeurs ont voté par bulletin spécial",,,,,,,,3
48022,Peace River/Peace River,85,St. Isidore,0,12,4,2,53,89,0,160,298
48022,Peace River/Peace River,86,Harmon Valley,0,0,2,0,10,33,0,45,73
48022,Peace River/Peace River,87,Reno,0,3,4,1,26,72,0,106,187
48022,Peace River/Peace River,88,Nampa,0,4,5,2,19,96,0,126,227
48022,Peace River/Peace River,89,Nampa,1,1,10,3,23,89,0,127,242
48022,Peace River/Peace River,90,Marie-Reine,1,3,1,1,25,72,0,103,154
48022,Peace River/Peace River,91,Jean Côté,1,3,2,2,26,98,0,132,227
48022,Peace River/Peace River,92,Donnelly,2,4,8,2,63,137,2,218,379
48022,Peace River/Peace River,93,McLennan,1,5,2,0,32,131,0,171,246
48022,Peace River/Peace River,94,McLennan,2,4,5,1,25,110,1,148,324
48022,Peace River/Peace River,95,McLennan,0,6,1,1,14,82,0,104,189
48022,Peace River/Peace River,96,Guy,1,2,4,2,21,128,0,158,253
48022,Peace River/Peace River,97,Whitemud Creek,0,0,0,1,5,37,0,43,170
48022,Peace River/Peace River,98,Culp,2,1,6,1,32,120,0,162,251
48022,Peace River/Peace River,99,Falher,1,1,4,1,25,83,0,115,190
48022,Peace River/Peace River,100,Falher,1,11,7,0,29,170,0,218,402
48022,Peace River/Peace River,101,Falher,1,10,5,1,32,112,0,161,329
48022,Peace River/Peace River,102,Girouxville,2,4,8,0,23,80,1,118,214
48022,Peace River/Peace River,103,Tangent,1,6,3,0,16,112,0,138,207
48022,Peace River/Peace River,104,Eaglesham,3,0,7,1,19,142,0,172,333
48022,Peace River/Peace River,105,Belloy,1,2,6,0,32,110,0,151,278
48022,Peace River/Peace River,106,Rycroft,2,1,7,3,31,179,0,223,352
48022,Peace River/Peace River,107,Rycroft,2,0,8,5,37,201,2,255,342
48022,Peace River/Peace River,108,Rycroft,Merged with No. 107/Fusionné avec le nº 107,,,,,,,,134
48022,Peace River/Peace River,109,Spirit River Settlement,1,5,12,3,21,145,0,187,335
48022,Peace River/Peace River,110,Spirit River,1,8,8,1,39,249,1,307,376
48022,Peace River/Peace River, 110-1,Spirit River,Merged with No. 110/Fusionné avec le nº 110,,,,,,,,212
48022,Peace River/Peace River,111,Spirit River,1,1,0,1,13,110,0,126,202
48022,Peace River/Peace River,112,Blueberry Mountain,1,7,10,0,5,106,0,129,198
48022,Peace River/Peace River,113,Gordondale,0,0,2,1,9,108,3,123,204
48022,Peace River/Peace River,114,Bay Tree,1,1,7,1,16,231,0,257,450
48022,Peace River/Peace River,115,Demmitt,0,2,6,0,13,64,1,86,184
48022,Peace River/Peace River,116,Valhalla Centre,1,0,5,1,29,203,1,240,465
48022,Peace River/Peace River,117,Hythe,1,2,5,3,11,85,0,107,184
48022,Peace River/Peace River,118,Hythe,0,1,4,1,17,113,0,136,347
48022,Peace River/Peace River,119,Hythe,0,4,1,0,20,71,0,96,201
48022,Peace River/Peace River,120,Lymburn,2,1,2,1,40,63,0,109,266
48022,Peace River/Peace River,121,Goodfare,1,2,7,1,33,108,0,152,259
48022,Peace River/Peace River,122,Rio Grande,4,0,4,0,21,86,1,116,181
48022,Peace River/Peace River,123,Elmworth,1,0,5,2,18,140,0,166,285
48022,Peace River/Peace River,124,Halcourt,2,1,5,3,9,98,0,118,212
48022,Peace River/Peace River,125,Albright,2,3,6,0,18,121,0,150,249
48022,Peace River/Peace River,126,Beaverlodge,1,2,6,0,12,81,0,102,195
48022,Peace River/Peace River,127,Beaverlodge,2,5,3,0,21,126,0,157,312
48022,Peace River/Peace River,128,Beaverlodge,0,4,4,1,13,93,2,117,217
48022,Peace River/Peace River, 128-1,Beaverlodge,0,5,6,0,13,189,0,213,527
48022,Peace River/Peace River,129,Beaverlodge,1,3,9,2,26,189,0,230,443
48022,Peace River/Peace River,130,Huallen,1,4,10,3,31,167,0,216,405
48022,Peace River/Peace River,131,Wembley,2,6,4,2,28,231,1,274,703
48022,Peace River/Peace River,132,Wembley,2,2,6,4,26,131,0,171,349
48022,Peace River/Peace River,133,Beaverlodge,2,5,5,3,23,157,0,195,362
48022,Peace River/Peace River,134,Lake Saskatoon,0,5,13,3,25,153,0,199,336
48022,Peace River/Peace River,135,Niobe,1,0,1,2,8,139,0,151,280
48022,Peace River/Peace River,136,La Glace,4,4,13,0,40,182,0,243,395
48022,Peace River/Peace River,137,Woking,0,4,7,4,31,139,2,187,348
48022,Peace River/Peace River,138,Peoria,0,0,0,1,10,77,0,88,193
48022,Peace River/Peace River,139,Teepee Creek,1,1,15,3,31,253,0,304,572
48022,Peace River/Peace River,140,Webster,2,2,9,3,40,236,0,292,563
48022,Peace River/Peace River,141,Sexsmith,6,4,9,1,28,236,0,284,468
48022,Peace River/Peace River,142,Sexsmith,2,2,5,1,22,140,0,172,350
48022,Peace River/Peace River,143,Sexsmith,2,10,10,2,34,299,1,358,787
48022,Peace River/Peace River,144,Sexsmith,1,4,3,0,9,121,0,138,239
48022,Peace River/Peace River,145,Sexsmith,1,1,1,0,23,113,0,139,264
48022,Peace River/Peace River,146,Hermit Lake,0,6,4,3,29,213,0,255,610
48022,Peace River/Peace River,147,Dimsdale,0,3,14,2,27,236,1,283,480
48022,Peace River/Peace River,148,Flyingshot Lake Settlement,3,7,15,1,29,327,2,384,700
48022,Peace River/Peace River,149,Grande Prairie,0,10,6,2,35,93,0,146,698
48022,Peace River/Peace River, 149-1,Grande Prairie,2,6,8,0,27,72,0,115,475
48022,Peace River/Peace River,150,Grande Prairie,2,6,6,1,25,64,0,104,217
48022,Peace River/Peace River,151,Grande Prairie,2,4,4,6,23,109,1,149,277
48022,Peace River/Peace River,152,Grande Prairie,2,9,9,1,29,91,0,141,322
48022,Peace River/Peace River,153,Grande Prairie,0,9,14,2,29,112,0,166,525
48022,Peace River/Peace River,154,Grande Prairie,0,3,9,0,11,59,0,82,337
48022,Peace River/Peace River,155,Grande Prairie,0,7,8,0,22,60,0,97,315
48022,Peace River/Peace River,156,Grande Prairie,1,5,9,0,39,81,0,135,381
48022,Peace River/Peace River,157,Grande Prairie,1,3,3,2,33,134,2,178,354
48022,Peace River/Peace River,158,Grande Prairie,0,6,12,0,23,197,0,238,537
48022,Peace River/Peace River,159,Grande Prairie,2,5,9,2,43,148,0,209,674
48022,Peace River/Peace River, 159-1A,Grande Prairie,2,4,9,0,36,138,0,189,566
48022,Peace River/Peace River, 159-1B,Grande Prairie,2,9,8,0,34,147,1,201,533
48022,Peace River/Peace River, 159-2,Grande Prairie,1,13,12,2,26,174,1,229,578
48022,Peace River/Peace River, 159-3A,Grande Prairie,1,3,5,0,24,96,1,130,417
48022,Peace River/Peace River, 159-3B,Grande Prairie,2,5,7,4,30,129,0,177,432
48022,Peace River/Peace River, 159-4,Grande Prairie,1,18,6,1,49,204,0,279,666
48022,Peace River/Peace River,160,Grande Prairie,2,7,10,0,46,225,0,290,666
48022,Peace River/Peace River,161,Grande Prairie,3,16,11,0,48,210,0,288,574
48022,Peace River/Peace River,162,Grande Prairie,3,15,12,4,51,150,1,236,425
48022,Peace River/Peace River,163,Grande Prairie,1,1,5,2,19,77,0,105,399
48022,Peace River/Peace River,164,Grande Prairie,1,1,7,2,49,153,1,214,390
48022,Peace River/Peace River,165,Grande Prairie,2,11,1,1,25,172,0,212,484
48022,Peace River/Peace River, 165-1,Grande Prairie,1,8,16,1,50,126,1,203,584
48022,Peace River/Peace River, 165-2,Grande Prairie,2,8,13,3,17,205,2,250,577
48022,Peace River/Peace River,166,Grande Prairie,0,5,10,1,54,182,0,252,647
48022,Peace River/Peace River, 166-1,Grande Prairie,0,3,4,4,25,145,0,181,484
48022,Peace River/Peace River, 166-2,Grande Prairie,1,10,0,1,34,105,1,152,551
48022,Peace River/Peace River, 166-3,Grande Prairie,0,8,4,7,48,201,2,270,725
48022,Peace River/Peace River,167,Grande Prairie,0,2,3,1,22,110,2,140,438
48022,Peace River/Peace River,168,Grande Prairie,2,0,3,1,11,46,0,63,185
48022,Peace River/Peace River,169,Grande Prairie,0,11,8,5,34,147,0,205,439
48022,Peace River/Peace River,170,Grande Prairie,4,5,11,0,19,141,0,180,411
48022,Peace River/Peace River,171,Grande Prairie,0,2,3,4,28,165,0,202,408
48022,Peace River/Peace River, 171-1,Grande Prairie,4,11,6,0,29,159,0,209,461
48022,Peace River/Peace River,172,Grande Prairie,7,9,5,1,27,173,0,222,548
48022,Peace River/Peace River, 172-1,Grande Prairie,2,11,2,0,25,200,2,242,588
48022,Peace River/Peace River,173,Grande Prairie,2,14,12,1,33,189,0,251,550
48022,Peace River/Peace River,174,Grande Prairie,3,8,9,1,38,139,0,198,426
48022,Peace River/Peace River,175,Grande Prairie,2,14,5,0,25,82,0,128,384
48022,Peace River/Peace River,176,Grande Prairie,2,8,11,3,24,81,0,129,373
48022,Peace River/Peace River,177,Grande Prairie,1,7,13,2,33,120,0,176,417
48022,Peace River/Peace River,178,Grande Prairie,0,3,7,0,32,76,0,118,348
48022,Peace River/Peace River,179,Grande Prairie,1,1,5,0,20,47,1,75,269
48022,Peace River/Peace River,180,Grande Prairie,1,1,7,0,29,85,0,123,395
48022,Peace River/Peace River,181,Grande Prairie,1,11,9,1,26,135,0,183,357
48022,Peace River/Peace River,182,Grande Prairie,1,2,3,1,27,204,0,238,476
48022,Peace River/Peace River,183,Grande Prairie,1,1,4,1,22,139,0,168,392
48022,Peace River/Peace River,184,Grande Prairie,2,6,5,2,28,62,1,106,361
48022,Peace River/Peace River,185,Grande Prairie,3,5,11,4,50,169,1,243,606
48022,Peace River/Peace River, 185-1A,Grande Prairie,3,8,3,1,35,125,0,175,521
48022,Peace River/Peace River, 185-1B,Grande Prairie,1,9,6,0,36,100,1,153,547
48022,Peace River/Peace River,186,Grande Prairie,1,3,1,0,21,52,0,78,519
48022,Peace River/Peace River,187,Grande Prairie,3,11,9,0,34,124,0,181,419
48022,Peace River/Peace River,188,Grande Prairie,2,7,6,1,27,82,0,125,379
48022,Peace River/Peace River,189,Grande Prairie,1,2,3,3,22,90,0,121,303
48022,Peace River/Peace River,190,Grande Prairie,2,4,5,1,19,69,0,100,201
48022,Peace River/Peace River,191,Grande Prairie,0,2,2,0,28,84,0,116,215
48022,Peace River/Peace River,192,Grande Prairie,0,5,3,3,24,109,1,145,310
48022,Peace River/Peace River,193,Grande Prairie,4,6,3,0,36,95,0,144,430
48022,Peace River/Peace River,194,Grande Prairie,0,0,4,0,14,21,2,41,311
48022,Peace River/Peace River,195,Grande Prairie,1,6,8,0,24,78,1,118,421
48022,Peace River/Peace River,196,Grande Prairie,4,4,3,0,30,92,0,133,361
48022,Peace River/Peace River,197,Grande Prairie,2,10,8,1,44,178,3,246,686
48022,Peace River/Peace River, 197-1A,Grande Prairie,0,7,10,0,40,163,1,221,546
48022,Peace River/Peace River, 197-1B,Grande Prairie,1,7,7,1,38,130,0,184,594
48022,Peace River/Peace River,198,Grande Prairie,0,2,3,0,18,52,0,75,388
48022,Peace River/Peace River,199,Grande Prairie,2,4,6,2,21,105,0,140,422
48022,Peace River/Peace River,200,Grande Prairie,1,4,3,1,22,56,0,87,153
48022,Peace River/Peace River,201,Grande Prairie,1,1,2,1,13,64,0,82,257
48022,Peace River/Peace River,202,Grande Prairie,3,2,5,0,24,97,0,131,374
48022,Peace River/Peace River,203,Grande Prairie,1,3,2,4,21,99,0,130,370
48022,Peace River/Peace River,204,Grande Prairie,0,3,4,0,39,95,1,142,378
48022,Peace River/Peace River,205,Grande Prairie,1,3,3,1,34,65,0,107,320
48022,Peace River/Peace River,206,Grande Prairie,0,5,5,0,24,96,0,130,295
48022,Peace River/Peace River,207,Grande Prairie,0,2,5,4,17,91,0,119,240
48022,Peace River/Peace River,208,Grande Prairie,2,15,5,3,46,190,0,261,510
48022,Peace River/Peace River,209,Grande Prairie,5,16,12,3,50,207,2,295,605
48022,Peace River/Peace River,210,Grande Prairie,1,8,7,3,47,177,0,243,507
48022,Peace River/Peace River,211,Clairmont,1,6,7,3,28,256,1,302,555
48022,Peace River/Peace River,212,Clairmont,3,6,4,0,19,77,0,109,300
48022,Peace River/Peace River,213,Clairmont,3,0,3,1,21,129,0,157,477
48022,Peace River/Peace River, 213-1,Clairmont,2,4,3,0,30,145,0,184,535
48022,Peace River/Peace River, 213-2,Clairmont,0,4,5,1,16,72,0,98,208
48022,Peace River/Peace River,214,Kleskun Hill,1,0,3,2,6,146,2,160,312
48022,Peace River/Peace River,215,Bezanson,1,2,7,2,35,248,0,295,522
48022,Peace River/Peace River,216,Grovedale,5,4,8,2,16,225,0,260,476
48022,Peace River/Peace River,217,Grande Prairie,1,6,5,0,29,188,0,229,421
48022,Peace River/Peace River,218,Grande Prairie,2,3,11,1,43,418,0,478,815
48022,Peace River/Peace River, 218-1,Grande Prairie County No. 1,Merged with No. 218/Fusionné avec le nº 218,,,,,,,,122
48022,Peace River/Peace River, 219A,Grande Prairie,1,6,5,0,20,104,0,136,433
48022,Peace River/Peace River, 219B,Grande Prairie,0,2,6,1,30,134,0,173,482
48022,Peace River/Peace River,220,Grande Prairie County No. 1,3,11,9,1,34,265,0,323,588
48022,Peace River/Peace River,221,Grande Prairie,2,2,1,1,12,132,0,150,408
48022,Peace River/Peace River,222,Wapiti,4,1,5,1,22,176,0,209,341
48022,Peace River/Peace River,223,Goodwin,0,3,3,3,7,60,0,76,126
48022,Peace River/Peace River,224,DeBolt,1,1,7,1,28,131,0,169,300
48022,Peace River/Peace River,225,Crooked Creek,1,0,6,4,11,81,1,104,399
48022,Peace River/Peace River,226,Puskwaskau River,3,1,4,1,5,63,1,78,165
48022,Peace River/Peace River,227,Sturgeon Heights,0,0,1,0,7,76,0,84,175
48022,Peace River/Peace River,228,New Fish Creek,0,1,3,1,10,149,0,164,235
48022,Peace River/Peace River,229,Sturgeon Lake 154,0,5,1,1,36,39,0,82,331
48022,Peace River/Peace River,230,Sturgeon Lake 154,0,6,1,0,27,17,0,51,208
48022,Peace River/Peace River,231,Valleyview,0,3,8,0,21,266,0,298,489
48022,Peace River/Peace River,232,Valleyview,0,7,3,0,29,126,0,165,316
48022,Peace River/Peace River,233,Valleyview,0,2,0,0,21,68,0,91,250
48022,Peace River/Peace River,234,Valleyview,2,1,5,0,27,55,0,90,239
48022,Peace River/Peace River,235,Valleyview,0,1,9,3,28,145,0,186,541
48022,Peace River/Peace River, 235-1,Valleyview,0,3,5,1,13,59,0,81,146
48022,Peace River/Peace River,236,Sweethouse Creek,0,1,4,0,29,266,0,300,519
48022,Peace River/Peace River,237,Sunset House,0,0,4,0,4,54,0,62,115
48022,Peace River/Peace River,238,Little Smoky,0,1,5,1,21,188,1,217,422
48022,Peace River/Peace River,500,Mobile poll/Bureau itinérant,0,1,6,3,11,39,1,61,81
48022,Peace River/Peace River,501,Mobile poll/Bureau itinérant,0,5,4,2,15,74,4,104,200
48022,Peace River/Peace River,502,Mobile poll/Bureau itinérant,2,7,2,1,8,41,2,63,133
48022,Peace River/Peace River,503,Mobile poll/Bureau itinérant,0,2,1,1,8,73,0,85,171
48022,Peace River/Peace River,504,Mobile poll/Bureau itinérant,5,9,2,0,20,72,5,113,190
48022,Peace River/Peace River,505,Mobile poll/Bureau itinérant,2,14,2,2,17,130,3,170,230
48022,Peace River/Peace River,506,Mobile poll/Bureau itinérant,0,2,1,1,5,37,0,46,84
48022,Peace River/Peace River,507,Mobile poll/Bureau itinérant,0,9,1,0,18,115,0,143,212
48022,Peace River/Peace River,600,Rainbow Lake,0,1,1,0,3,32,0,37,
48022,Peace River/Peace River,601,MacKenzie No. 23--High Level,2,6,6,1,18,74,0,107,
48022,Peace River/Peace River,602,MacKenzie No. 23--Fort Vermilion,0,2,0,0,10,37,0,49,
48022,Peace River/Peace River,603,Manning,0,2,5,0,6,74,0,87,
48022,Peace River/Peace River,604,Worsley,0,0,1,0,1,33,1,36,
48022,Peace River/Peace River,605,Fairview,2,9,1,2,35,251,0,300,
48022,Peace River/Peace River,606,Grimshaw,2,5,3,2,25,141,0,178,
48022,Peace River/Peace River,607,Peace River,7,15,12,3,57,191,4,289,
48022,Peace River/Peace River,608,Falher,1,4,6,0,24,129,1,165,
48022,Peace River/Peace River,609,Spirit River,0,3,4,1,10,83,0,101,
48022,Peace River/Peace River,610,Beaverlodge,4,3,15,1,43,247,0,313,
48022,Peace River/Peace River,611,Sexsmith,3,3,7,2,28,161,1,205,
48022,Peace River/Peace River,612,Grande Prairie--Dimsdale,5,39,27,1,95,460,2,629,
48022,Peace River/Peace River,613,Grande Prairie,1,18,21,5,92,457,0,594,
48022,Peace River/Peace River,614,Grande Prairie--Wapiti,5,19,18,2,79,332,1,456,
48022,Peace River/Peace River,615,Clairmont,0,3,1,4,12,94,0,114,
48022,Peace River/Peace River,616,Greenview No. 16--DeBolt,1,6,4,1,3,36,0,51,
48022,Peace River/Peace River,617,Valleyview,0,3,6,2,19,206,0,236,
48022,Peace River/Peace River,,Group 1/Groupe 1,2,53,3,1,29,48,4,140,172
48022,Peace River/Peace River,,Group 2/Groupe 2,7,37,26,9,110,496,7,692,
