Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Bailey,Christa Baxter,Mike Butler,Mike Lake,Naomi Rankin,Brent Schaffrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 144","Edmonton",55,8,7,198,0,2,0,270,459
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 145","Edmonton",55,2,14,87,0,0,0,158,369
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 146","Edmonton",39,11,6,97,0,3,0,156,362
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 147","Edmonton",54,5,18,129,3,2,0,211,431
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 148","Edmonton",59,6,19,114,0,2,0,200,486
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 149","Edmonton",53,10,23,146,1,0,2,235,437
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 150","Edmonton",34,7,12,85,3,2,0,143,328
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 151","Edmonton",46,3,6,44,1,2,0,102,288
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 152","Edmonton",72,8,20,136,1,0,1,238,426
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 153","Edmonton",51,7,12,99,0,1,3,173,351
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 154","Edmonton",54,2,12,97,0,0,1,166,368
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 155","Edmonton",34,2,27,65,0,1,1,130,293
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 156","Edmonton",60,2,10,92,1,2,2,169,362
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 157","Edmonton",68,4,12,80,1,0,1,166,366
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 158","Edmonton",59,19,19,140,0,1,0,238,489
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 159","Edmonton",53,5,17,126,0,1,0,202,380
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 160","Edmonton",43,4,25,89,0,2,0,163,383
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 161","Edmonton",62,6,22,173,0,1,1,265,533
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 162","Edmonton",35,8,10,104,0,2,0,159,366
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 163","Edmonton",50,4,13,144,1,0,0,212,401
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 164","Edmonton",48,6,12,116,0,1,0,183,372
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 165","Edmonton",72,10,27,150,1,0,0,260,439
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 166","Edmonton",36,4,29,90,1,3,2,165,448
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 167A","Edmonton",42,5,9,63,0,0,0,119,329
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 167B","Edmonton",19,5,29,70,0,1,0,124,371
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 168","Edmonton",34,3,17,93,3,1,1,152,397
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 169","Edmonton",43,1,13,104,1,1,0,163,462
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 170","Edmonton",42,6,25,98,1,0,0,172,438
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 171","Edmonton",40,5,10,78,0,0,0,133,362
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 172","Edmonton",40,2,21,125,0,0,1,189,496
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 173","Edmonton",40,7,36,89,0,1,0,173,404
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 174","Edmonton",54,14,17,108,2,0,0,195,421
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 175","Edmonton",50,3,25,129,0,5,1,213,449
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 176","Edmonton",10,0,1,50,0,1,0,62,171
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 177","Edmonton",5,1,12,68,0,0,0,86,183
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 178A","Edmonton",21,5,11,106,0,2,0,145,313
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 178B","Edmonton",24,4,15,106,0,0,0,149,302
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 179","Edmonton",35,4,22,118,1,0,0,180,448
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 180","Edmonton",29,6,15,72,0,0,0,122,326
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 181","Edmonton",48,2,12,149,0,2,1,214,468
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 182","Edmonton",42,6,8,139,0,3,1,199,476
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 183","Edmonton",33,2,24,69,0,0,0,128,328
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 184","Edmonton",21,4,7,73,1,0,0,106,263
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 185","Edmonton",44,7,25,92,0,4,0,172,340
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 186","Edmonton",68,1,45,72,0,0,1,187,597
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 187","Edmonton",34,7,8,56,0,0,1,106,250
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 188","Edmonton",Void/Supprimé,,,,,,,,
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 189","Edmonton",55,9,23,121,0,1,0,209,501
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 190","Nisku",18,3,4,151,0,0,0,176,419
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 191","Beaumont",11,2,7,62,1,8,0,91,147
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 192","Beaumont",36,10,12,122,0,1,0,181,376
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 193","Beaumont",23,6,8,133,0,0,0,170,372
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 194","Beaumont",Merged with No. 195/Fusionné avec le nº 195,,,,,,,,13
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 195","Beaumont",25,9,17,119,0,0,0,170,327
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 196","Beaumont",61,12,20,205,0,6,0,304,543
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 197","Beaumont",51,8,24,168,0,4,2,257,532
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 198","Beaumont",30,5,19,135,1,6,0,196,435
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 199","Beaumont",18,2,4,111,0,0,0,135,188
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 200","Beaumont",41,8,13,206,1,4,4,277,521
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 201","Beaumont",40,6,13,187,0,1,0,247,490
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 202","Beaumont",27,2,9,135,0,5,0,178,351
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 203","Beaumont",Merged with No. 199/Fusionné avec le nº 199,,,,,,,,104
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 204","Beaumont",25,8,9,165,0,1,2,210,419
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 205","Beaumont",23,7,19,182,0,4,1,236,457
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 206","Beaumont",23,1,4,182,0,3,0,213,393
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 207","Beaumont",23,7,9,135,0,3,0,177,331
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 208","Beaumont",57,3,11,174,0,6,0,251,499
