Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Adler,Nick Brownlee,Ken Dryden,Rosemary Frei,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"York Centre/York-Centre"," 47","North York",128,46,57,8,0,239,412
35103,"York Centre/York-Centre"," 48","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 49","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 50","North York",46,17,41,9,0,113,226
35103,"York Centre/York-Centre"," 50-1","North York",68,18,36,0,0,122,347
35103,"York Centre/York-Centre"," 51","North York",94,25,33,2,2,156,319
35103,"York Centre/York-Centre"," 51-1","North York",89,24,68,3,0,184,397
35103,"York Centre/York-Centre"," 52","North York",67,14,36,1,1,119,319
35103,"York Centre/York-Centre"," 53","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 54","North York",43,38,33,3,1,118,293
35103,"York Centre/York-Centre"," 55","North York",95,58,85,10,1,249,451
35103,"York Centre/York-Centre"," 56","North York",84,17,37,10,2,150,285
35103,"York Centre/York-Centre"," 57","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 58","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 59","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 60","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 61","North York",63,32,32,1,3,131,303
35103,"York Centre/York-Centre"," 62","North York",70,28,37,4,3,142,393
35103,"York Centre/York-Centre"," 63","North York",141,29,35,5,1,211,413
35103,"York Centre/York-Centre"," 64","North York",128,5,57,1,2,193,405
35103,"York Centre/York-Centre"," 65","North York",106,14,48,5,0,173,319
35103,"York Centre/York-Centre"," 66","North York",72,34,42,2,0,150,372
35103,"York Centre/York-Centre"," 67","North York",81,23,57,2,1,164,332
35103,"York Centre/York-Centre"," 68","North York",120,20,56,7,0,203,404
35103,"York Centre/York-Centre"," 69","North York",57,27,34,2,2,122,345
35103,"York Centre/York-Centre"," 70","North York",66,40,64,8,4,182,392
35103,"York Centre/York-Centre"," 71","North York",116,30,85,5,1,237,419
35103,"York Centre/York-Centre"," 72","North York",96,10,57,3,0,166,335
35103,"York Centre/York-Centre"," 73","North York",114,20,87,2,1,224,392
35103,"York Centre/York-Centre"," 74","North York",79,22,56,6,0,163,398
35103,"York Centre/York-Centre"," 75","North York",68,13,84,2,2,169,370
35103,"York Centre/York-Centre"," 76","North York",53,26,76,1,0,156,330
35103,"York Centre/York-Centre"," 77","North York",105,23,84,11,3,226,426
35103,"York Centre/York-Centre"," 78","North York",65,49,92,6,1,213,388
35103,"York Centre/York-Centre"," 78-1","North York",43,14,58,2,1,118,268
35103,"York Centre/York-Centre"," 79","North York",100,18,74,2,2,196,421
35103,"York Centre/York-Centre"," 80","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 81","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 82","North York",91,24,62,2,0,179,420
35103,"York Centre/York-Centre"," 83","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 84","North York",112,22,41,6,1,182,369
35103,"York Centre/York-Centre"," 85","North York",138,32,64,4,2,240,442
35103,"York Centre/York-Centre"," 86","North York",54,38,77,6,2,177,367
35103,"York Centre/York-Centre"," 86-1","North York",57,26,86,0,1,170,350
35103,"York Centre/York-Centre"," 87","North York",95,32,91,9,0,227,454
35103,"York Centre/York-Centre"," 88","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 89","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 90","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 91","North York",133,21,65,5,1,225,465
35103,"York Centre/York-Centre"," 92","North York",127,8,60,2,0,197,451
35103,"York Centre/York-Centre"," 93","North York",132,29,55,8,2,226,485
35103,"York Centre/York-Centre"," 94","North York",136,8,36,1,1,182,362
35103,"York Centre/York-Centre"," 95","North York",194,13,71,7,0,285,453
35103,"York Centre/York-Centre"," 96","North York",180,14,53,3,0,250,513
35103,"York Centre/York-Centre"," 97","North York",135,15,35,3,0,188,374
35103,"York Centre/York-Centre"," 98","North York",164,18,79,3,0,264,437
35103,"York Centre/York-Centre"," 99","North York",221,13,69,3,1,307,482
35103,"York Centre/York-Centre"," 100","North York",182,21,68,4,1,276,465
35103,"York Centre/York-Centre"," 101A","North York",Merged with No. 121/Fusionné avec le nº 121,,,,,,4
35103,"York Centre/York-Centre"," 101B","North York",Merged with No. 117/Fusionné avec le nº 117,,,,,,3
35103,"York Centre/York-Centre"," 102","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 103","North York",151,23,84,2,3,263,483
35103,"York Centre/York-Centre"," 104","North York",142,13,69,2,1,227,456
35103,"York Centre/York-Centre"," 105","North York",132,20,58,4,1,215,382
35103,"York Centre/York-Centre"," 106","North York",95,17,58,5,0,175,419
35103,"York Centre/York-Centre"," 107","North York",38,15,44,2,1,100,310
35103,"York Centre/York-Centre"," 108","North York",74,33,55,2,0,164,355
35103,"York Centre/York-Centre"," 109","North York",93,21,45,12,1,172,392
35103,"York Centre/York-Centre"," 110","North York",73,39,42,3,2,159,366
35103,"York Centre/York-Centre"," 111","North York",118,22,77,3,2,222,437
35103,"York Centre/York-Centre"," 112","North York",70,43,87,4,0,204,445
35103,"York Centre/York-Centre"," 113","North York",76,40,89,13,4,222,483
35103,"York Centre/York-Centre"," 114","North York",60,37,60,4,2,163,372
35103,"York Centre/York-Centre"," 115","North York",62,52,77,5,0,196,358
35103,"York Centre/York-Centre"," 116","North York",33,37,97,3,0,170,316
35103,"York Centre/York-Centre"," 117","North York",87,30,153,4,1,275,431
35103,"York Centre/York-Centre"," 118","North York",82,27,98,2,0,209,377
35103,"York Centre/York-Centre"," 119","North York",71,20,107,3,2,203,388
35103,"York Centre/York-Centre"," 120","North York",40,52,60,6,2,160,379
35103,"York Centre/York-Centre"," 121","North York",76,32,84,8,1,201,424
35103,"York Centre/York-Centre"," 122","North York",83,41,77,1,9,211,398
35103,"York Centre/York-Centre"," 123","North York",57,36,44,6,5,148,343
35103,"York Centre/York-Centre"," 123-1","North York",46,31,47,3,3,130,289
35103,"York Centre/York-Centre"," 124","North York",83,22,104,4,0,213,413
35103,"York Centre/York-Centre"," 125","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 126","North York",62,47,93,2,1,205,378
35103,"York Centre/York-Centre"," 127","North York",69,28,66,5,1,169,419
35103,"York Centre/York-Centre"," 128","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 129","North York",44,31,68,5,3,151,358
35103,"York Centre/York-Centre"," 130","North York",70,32,84,2,0,188,417
35103,"York Centre/York-Centre"," 131","North York",51,40,66,0,0,157,433
35103,"York Centre/York-Centre"," 132","North York",92,33,67,2,1,195,437
35103,"York Centre/York-Centre"," 133","North York",89,56,66,0,3,214,451
35103,"York Centre/York-Centre"," 134","North York",41,50,51,5,1,148,340
35103,"York Centre/York-Centre"," 135","North York",52,54,75,5,2,188,316
35103,"York Centre/York-Centre"," 136","North York",31,22,18,2,0,73,355
35103,"York Centre/York-Centre"," 137","North York",71,60,75,4,2,212,393
35103,"York Centre/York-Centre"," 138","North York",58,32,67,4,1,162,262
35103,"York Centre/York-Centre"," 139","North York",67,53,83,2,1,206,422
35103,"York Centre/York-Centre"," 140","North York",73,34,94,3,2,206,503
35103,"York Centre/York-Centre"," 141","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 142","North York",62,38,88,7,1,196,382
35103,"York Centre/York-Centre"," 143","North York",65,52,78,2,1,198,395
35103,"York Centre/York-Centre"," 144","North York",63,34,74,6,2,179,355
35103,"York Centre/York-Centre"," 145","North York",53,49,64,2,1,169,438
35103,"York Centre/York-Centre"," 146","North York",34,16,71,4,1,126,199
35103,"York Centre/York-Centre"," 147","North York",61,35,93,7,2,198,371
35103,"York Centre/York-Centre"," 148","North York",66,44,111,3,1,225,375
35103,"York Centre/York-Centre"," 149","North York",54,38,59,3,4,158,295
35103,"York Centre/York-Centre"," 150","North York",70,25,62,1,1,159,287
35103,"York Centre/York-Centre"," 151","North York",49,28,97,6,0,180,304
35103,"York Centre/York-Centre"," 152","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 153","North York",56,33,88,7,3,187,330
35103,"York Centre/York-Centre"," 154","North York",50,24,69,5,0,148,309
35103,"York Centre/York-Centre"," 155","North York",59,18,58,3,1,139,330
35103,"York Centre/York-Centre"," 156","North York",58,35,71,5,0,169,371
35103,"York Centre/York-Centre"," 157","North York",62,24,83,4,2,175,392
35103,"York Centre/York-Centre"," 158","North York",65,38,83,4,3,193,396
35103,"York Centre/York-Centre"," 159","North York",79,31,69,5,1,185,349
35103,"York Centre/York-Centre"," 160","North York",49,44,57,1,1,152,377
35103,"York Centre/York-Centre"," 161","North York",38,35,59,2,8,142,333
35103,"York Centre/York-Centre"," 162","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 163","North York",44,24,101,3,1,173,292
35103,"York Centre/York-Centre"," 164","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 165","North York",52,34,93,4,0,183,396
35103,"York Centre/York-Centre"," 166","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 167","North York",52,44,58,3,1,158,361
35103,"York Centre/York-Centre"," 168","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 169","North York",64,56,71,4,2,197,433
35103,"York Centre/York-Centre"," 170","North York",65,26,59,3,2,155,344
35103,"York Centre/York-Centre"," 171","North York",51,35,53,2,1,142,378
35103,"York Centre/York-Centre"," 400","Toronto",157,38,59,4,5,263,467
35103,"York Centre/York-Centre"," 401","North York",154,12,42,5,0,213,303
35103,"York Centre/York-Centre"," 402","North York",159,20,32,6,0,217,307
35103,"York Centre/York-Centre"," 403","North York",69,25,28,1,3,126,236
35103,"York Centre/York-Centre"," 404","Toronto",115,47,42,15,3,222,431
35103,"York Centre/York-Centre"," 405","North York",155,36,33,5,1,230,327
35103,"York Centre/York-Centre"," 406","North York",67,35,32,8,0,142,307
35103,"York Centre/York-Centre"," 407","North York",175,10,10,2,6,203,281
35103,"York Centre/York-Centre"," 408","North York",33,25,27,1,0,86,187
35103,"York Centre/York-Centre"," 409","North York",18,26,20,3,0,67,168
35103,"York Centre/York-Centre"," 410","North York",55,25,32,4,0,116,231
35103,"York Centre/York-Centre"," 411","North York",50,10,14,3,0,77,191
35103,"York Centre/York-Centre"," 412","North York",30,23,20,2,0,75,150
35103,"York Centre/York-Centre"," 413","North York",38,31,27,4,0,100,163
35103,"York Centre/York-Centre"," 414","North York",48,16,31,2,1,98,207
35103,"York Centre/York-Centre"," 415","North York",79,42,36,9,2,168,327
35103,"York Centre/York-Centre"," 416","North York",59,8,17,4,5,93,166
35103,"York Centre/York-Centre"," 417","North York",68,19,27,4,1,119,195
35103,"York Centre/York-Centre"," 418","North York",20,25,16,3,2,66,164
35103,"York Centre/York-Centre"," 419","North York",58,21,24,5,4,112,203
35103,"York Centre/York-Centre"," 420","North York",38,46,31,6,0,121,212
35103,"York Centre/York-Centre"," 421","North York",20,24,33,4,2,83,193
35103,"York Centre/York-Centre"," 422","North York",85,39,36,4,0,164,248
35103,"York Centre/York-Centre"," 423","North York",61,25,35,4,0,125,214
35103,"York Centre/York-Centre"," 424","North York",21,30,49,1,0,101,171
35103,"York Centre/York-Centre"," 425","North York",200,7,21,2,8,238,354
35103,"York Centre/York-Centre"," 426","North York",137,22,43,2,0,204,281
35103,"York Centre/York-Centre"," 427","North York",59,7,19,2,1,88,206
35103,"York Centre/York-Centre"," 428","North York",38,11,19,1,3,72,144
35103,"York Centre/York-Centre"," 429","North York",30,44,65,3,12,154,273
35103,"York Centre/York-Centre"," 430","North York",56,72,75,3,2,208,383
35103,"York Centre/York-Centre"," 431","North York",73,33,47,8,1,162,307
35103,"York Centre/York-Centre"," 432","North York",66,63,49,6,1,185,311
35103,"York Centre/York-Centre"," 433","North York",131,48,71,9,1,260,490
35103,"York Centre/York-Centre"," 434","North York",64,32,26,8,0,130,244
35103,"York Centre/York-Centre"," 435","North York",56,9,27,3,4,99,170
35103,"York Centre/York-Centre"," 436","North York",33,13,17,3,0,66,153
35103,"York Centre/York-Centre"," 437","North York",41,19,16,4,1,81,142
35103,"York Centre/York-Centre"," 438","North York",43,11,16,7,0,77,129
35103,"York Centre/York-Centre"," 439","North York",48,14,17,6,1,86,187
35103,"York Centre/York-Centre"," 440","North York",39,8,22,3,2,74,132
35103,"York Centre/York-Centre"," 441","North York",54,20,23,2,2,101,201
35103,"York Centre/York-Centre"," 442","North York",150,17,45,3,4,219,331
35103,"York Centre/York-Centre"," 443","North York",59,35,33,2,0,129,314
35103,"York Centre/York-Centre"," 444","North York",89,16,22,3,0,130,231
35103,"York Centre/York-Centre"," 445","North York",54,14,14,4,0,86,154
35103,"York Centre/York-Centre"," 446","North York",130,32,42,3,1,208,313
35103,"York Centre/York-Centre"," 447","North York",156,18,25,2,1,202,278
35103,"York Centre/York-Centre"," 448","North York",150,13,40,1,1,205,330
35103,"York Centre/York-Centre"," 449","North York",58,30,43,5,0,136,262
35103,"York Centre/York-Centre"," 450","North York",34,24,23,4,2,87,138
35103,"York Centre/York-Centre"," 451","North York",25,21,17,0,1,64,119
35103,"York Centre/York-Centre"," 452","North York",32,10,12,1,0,55,144
35103,"York Centre/York-Centre"," 453","North York",116,10,12,3,5,146,202
35103,"York Centre/York-Centre"," 454","North York",80,10,23,0,1,114,150
35103,"York Centre/York-Centre"," 455","North York",57,18,30,3,0,108,164
35103,"York Centre/York-Centre"," 456","North York",27,22,36,1,0,86,154
35103,"York Centre/York-Centre"," 457","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 458","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,57
35103,"York Centre/York-Centre"," 459","Mobile poll/Bureau itinérant",Merged with No. 498/Fusionné avec le nº 498,,,,,,62
35103,"York Centre/York-Centre"," 460","North York",36,8,34,2,2,82,214
35103,"York Centre/York-Centre"," 461","North York",23,10,15,0,1,49,88
35103,"York Centre/York-Centre"," 462","North York",15,13,20,0,0,48,101
35103,"York Centre/York-Centre"," 463","North York",55,33,37,5,0,130,260
35103,"York Centre/York-Centre"," 464","North York",39,20,29,1,0,89,212
35103,"York Centre/York-Centre"," 465","North York",11,10,11,1,0,33,137
35103,"York Centre/York-Centre"," 466","North York",45,14,26,1,2,88,145
35103,"York Centre/York-Centre"," 467","North York",31,7,11,6,1,56,95
35103,"York Centre/York-Centre"," 468","North York",49,17,31,1,0,98,161
35103,"York Centre/York-Centre"," 469","North York",55,5,27,2,1,90,152
35103,"York Centre/York-Centre"," 470","North York",99,17,11,4,0,131,234
35103,"York Centre/York-Centre"," 471","North York",39,13,21,6,1,80,135
35103,"York Centre/York-Centre"," 472","North York",33,6,17,0,0,56,116
35103,"York Centre/York-Centre"," 473","North York",38,21,30,1,5,95,192
35103,"York Centre/York-Centre"," 474","North York",58,28,41,2,2,131,207
35103,"York Centre/York-Centre"," 475","North York",31,6,21,0,0,58,130
35103,"York Centre/York-Centre"," 476","North York",65,10,22,4,2,103,142
35103,"York Centre/York-Centre"," 477","North York",27,11,11,0,0,49,118
35103,"York Centre/York-Centre"," 478","North York",38,37,46,8,1,130,239
35103,"York Centre/York-Centre"," 479","North York",38,34,56,8,1,137,260
35103,"York Centre/York-Centre"," 480","North York",42,58,62,1,1,164,288
35103,"York Centre/York-Centre"," 481","North York",26,37,44,6,1,114,154
35103,"York Centre/York-Centre"," 482","North York",35,33,45,1,0,114,227
35103,"York Centre/York-Centre"," 483","North York",34,41,38,1,0,114,209
35103,"York Centre/York-Centre"," 484","North York",12,12,23,0,0,47,134
35103,"York Centre/York-Centre"," 485","North York",18,21,9,3,0,51,184
35103,"York Centre/York-Centre"," 486","North York",28,41,28,7,1,105,201
35103,"York Centre/York-Centre"," 487","North York",26,49,33,0,4,112,191
35103,"York Centre/York-Centre"," 488","North York",17,18,32,4,1,72,140
35103,"York Centre/York-Centre"," 489","North York",27,28,34,3,0,92,171
35103,"York Centre/York-Centre"," 490","North York",29,35,28,5,2,99,168
35103,"York Centre/York-Centre"," 491","North York",31,32,22,1,0,86,143
35103,"York Centre/York-Centre"," 492","North York",12,6,5,1,0,24,83
35103,"York Centre/York-Centre"," 493","North York",14,10,10,0,0,34,92
35103,"York Centre/York-Centre"," 494","North York",20,9,23,3,0,55,96
35103,"York Centre/York-Centre"," 495","North York",17,13,16,4,1,51,99
35103,"York Centre/York-Centre"," 496","North York",27,25,27,2,1,82,135
35103,"York Centre/York-Centre"," 497","North York",31,11,25,1,0,68,137
35103,"York Centre/York-Centre"," 498","Mobile poll/Bureau itinérant",18,11,15,1,1,46,84
35103,"York Centre/York-Centre"," 500A","Mobile poll/Bureau itinérant",30,3,19,1,0,53,70
35103,"York Centre/York-Centre"," 500B","Mobile poll/Bureau itinérant",58,6,25,1,2,92,87
35103,"York Centre/York-Centre"," 600","North York",188,61,177,7,3,436,
35103,"York Centre/York-Centre"," 601","North York",247,16,148,5,3,419,
35103,"York Centre/York-Centre"," 602","North York",201,9,45,3,2,260,
35103,"York Centre/York-Centre"," 603","North York",150,18,76,2,0,246,
35103,"York Centre/York-Centre"," 604","North York",240,30,153,13,2,438,
35103,"York Centre/York-Centre"," 605","North York",361,63,326,25,6,781,
35103,"York Centre/York-Centre"," 606","North York",413,50,213,13,9,698,
35103,"York Centre/York-Centre"," 607","North York",570,73,252,16,1,912,
35103,"York Centre/York-Centre"," 608","North York",108,30,115,6,4,263,
35103,"York Centre/York-Centre"," 609","North York",112,55,191,7,2,367,
35103,"York Centre/York-Centre"," 610","North York",89,34,123,6,2,254,
35103,"York Centre/York-Centre"," 611","North York",117,56,176,7,2,358,
35103,"York Centre/York-Centre",,Group 1/Groupe 1,44,8,56,2,8,118,197
35103,"York Centre/York-Centre",,Group 2/Groupe 2,412,46,252,19,6,735,
