Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Hamilton,Donna Marlis Montgomery,Jennifer Pollock,Lee Richardson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Centre/Calgary-Centre"," 79-1","Calgary",5,9,17,34,0,65,168
48006,"Calgary Centre/Calgary-Centre"," 80","Calgary",7,36,44,104,0,191,489
48006,"Calgary Centre/Calgary-Centre"," 81","Calgary",3,8,11,77,0,99,241
48006,"Calgary Centre/Calgary-Centre"," 82","Calgary",10,30,20,42,0,102,363
48006,"Calgary Centre/Calgary-Centre"," 83","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 84","Calgary",10,25,19,53,0,107,301
48006,"Calgary Centre/Calgary-Centre"," 85","Calgary",13,23,22,67,1,126,435
48006,"Calgary Centre/Calgary-Centre"," 86","Calgary",9,25,23,32,0,89,312
48006,"Calgary Centre/Calgary-Centre"," 87","Calgary",8,29,20,54,0,111,346
48006,"Calgary Centre/Calgary-Centre"," 88","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 89","Calgary",5,12,12,29,1,59,311
48006,"Calgary Centre/Calgary-Centre"," 90","Calgary",4,16,22,83,0,125,290
48006,"Calgary Centre/Calgary-Centre"," 90-1","Calgary",10,11,12,56,5,94,281
48006,"Calgary Centre/Calgary-Centre"," 91","Calgary",10,41,21,91,3,166,709
48006,"Calgary Centre/Calgary-Centre"," 91-1","Calgary",Merged with No. 91/Fusionné avec le nº 91,,,,,,28
48006,"Calgary Centre/Calgary-Centre"," 92","Calgary",4,34,22,88,2,150,438
48006,"Calgary Centre/Calgary-Centre"," 93","Calgary",20,56,44,102,1,223,371
48006,"Calgary Centre/Calgary-Centre"," 93-1","Calgary",Merged with No. 93/Fusionné avec le nº 93,,,,,,273
48006,"Calgary Centre/Calgary-Centre"," 94","Calgary",14,42,46,137,5,244,434
48006,"Calgary Centre/Calgary-Centre"," 95A","Calgary",20,36,29,89,0,174,444
48006,"Calgary Centre/Calgary-Centre"," 95B","Calgary",Merged with No. 63/Fusionné avec le nº 63,,,,,,370
48006,"Calgary Centre/Calgary-Centre"," 96","Calgary",32,65,47,80,0,224,507
48006,"Calgary Centre/Calgary-Centre"," 97","Calgary",25,33,35,91,1,185,431
48006,"Calgary Centre/Calgary-Centre"," 98","Calgary",18,43,41,74,2,178,443
48006,"Calgary Centre/Calgary-Centre"," 99","Calgary",11,22,29,44,1,107,353
48006,"Calgary Centre/Calgary-Centre"," 100","Calgary",22,42,49,107,2,222,523
48006,"Calgary Centre/Calgary-Centre"," 101","Calgary",20,23,36,99,1,179,410
48006,"Calgary Centre/Calgary-Centre"," 102","Calgary",13,30,26,77,0,146,363
48006,"Calgary Centre/Calgary-Centre"," 103","Calgary",17,35,14,26,0,92,309
48006,"Calgary Centre/Calgary-Centre"," 104","Calgary",8,31,22,70,1,132,322
48006,"Calgary Centre/Calgary-Centre"," 105","Calgary",24,44,39,64,3,174,486
48006,"Calgary Centre/Calgary-Centre"," 106","Calgary",25,50,36,69,4,184,505
48006,"Calgary Centre/Calgary-Centre"," 107","Calgary",12,26,28,38,0,104,310
48006,"Calgary Centre/Calgary-Centre"," 108","Calgary",28,34,36,128,0,226,465
48006,"Calgary Centre/Calgary-Centre"," 109","Calgary",17,34,33,51,0,135,352
48006,"Calgary Centre/Calgary-Centre"," 110","Calgary",21,39,21,78,0,159,335
48006,"Calgary Centre/Calgary-Centre"," 111","Calgary",29,47,37,75,0,188,417
48006,"Calgary Centre/Calgary-Centre"," 112","Calgary",18,50,21,43,2,134,319
48006,"Calgary Centre/Calgary-Centre"," 113","Calgary",7,27,17,49,1,101,407
48006,"Calgary Centre/Calgary-Centre"," 113-1A","Calgary",11,29,29,65,3,137,373
48006,"Calgary Centre/Calgary-Centre"," 113-1B","Calgary",13,27,22,69,2,133,318
48006,"Calgary Centre/Calgary-Centre"," 114","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 115","Calgary",22,31,35,92,3,183,445
48006,"Calgary Centre/Calgary-Centre"," 116","Calgary",25,38,35,84,2,184,517
48006,"Calgary Centre/Calgary-Centre"," 117","Calgary",11,32,25,68,3,139,411
48006,"Calgary Centre/Calgary-Centre"," 118A","Calgary",16,17,27,116,1,177,446
48006,"Calgary Centre/Calgary-Centre"," 118B","Calgary",11,23,26,117,1,178,471
48006,"Calgary Centre/Calgary-Centre"," 119","Calgary",29,35,20,74,1,159,313
48006,"Calgary Centre/Calgary-Centre"," 120","Calgary",8,21,28,66,0,123,308
48006,"Calgary Centre/Calgary-Centre"," 121","Calgary",23,51,39,73,1,187,439
48006,"Calgary Centre/Calgary-Centre"," 122","Calgary",32,51,37,82,0,202,522
48006,"Calgary Centre/Calgary-Centre"," 123","Calgary",41,49,43,96,1,230,471
48006,"Calgary Centre/Calgary-Centre"," 123-1","Calgary",18,43,27,56,0,144,393
48006,"Calgary Centre/Calgary-Centre"," 124","Calgary",Merged with No. 132/Fusionné avec le nº 132,,,,,,222
48006,"Calgary Centre/Calgary-Centre"," 125","Calgary",12,16,26,129,3,186,347
48006,"Calgary Centre/Calgary-Centre"," 126","Calgary",24,51,47,71,0,193,411
48006,"Calgary Centre/Calgary-Centre"," 127","Calgary",32,37,32,78,1,180,407
48006,"Calgary Centre/Calgary-Centre"," 128","Calgary",11,19,30,89,0,149,351
48006,"Calgary Centre/Calgary-Centre"," 128-1","Calgary",2,11,14,65,0,92,336
48006,"Calgary Centre/Calgary-Centre"," 129","Calgary",32,38,34,62,2,168,371
48006,"Calgary Centre/Calgary-Centre"," 130","Calgary",21,30,32,114,0,197,413
48006,"Calgary Centre/Calgary-Centre"," 131","Calgary",24,24,31,145,0,224,416
48006,"Calgary Centre/Calgary-Centre"," 132","Calgary",27,30,38,105,0,200,244
48006,"Calgary Centre/Calgary-Centre"," 133","Calgary",13,6,33,92,0,144,247
48006,"Calgary Centre/Calgary-Centre"," 134","Calgary",16,13,34,174,0,237,399
48006,"Calgary Centre/Calgary-Centre"," 135","Calgary",17,5,46,166,0,234,408
48006,"Calgary Centre/Calgary-Centre"," 136","Calgary",26,47,60,112,0,245,557
48006,"Calgary Centre/Calgary-Centre"," 137","Calgary",15,36,37,86,1,175,455
48006,"Calgary Centre/Calgary-Centre"," 138","Calgary",37,27,35,91,0,190,378
48006,"Calgary Centre/Calgary-Centre"," 139","Calgary",43,40,29,89,0,201,435
48006,"Calgary Centre/Calgary-Centre"," 140","Calgary",66,51,29,85,2,233,415
48006,"Calgary Centre/Calgary-Centre"," 141","Calgary",47,37,24,111,0,219,374
48006,"Calgary Centre/Calgary-Centre"," 142","Calgary",15,30,22,44,0,111,338
48006,"Calgary Centre/Calgary-Centre"," 143","Calgary",15,31,29,70,0,145,330
48006,"Calgary Centre/Calgary-Centre"," 144","Calgary",9,22,9,44,0,84,197
48006,"Calgary Centre/Calgary-Centre"," 145","Calgary",18,33,35,55,0,141,374
48006,"Calgary Centre/Calgary-Centre"," 146","Calgary",16,24,25,49,0,114,252
48006,"Calgary Centre/Calgary-Centre"," 147","Calgary",20,47,47,66,1,181,440
48006,"Calgary Centre/Calgary-Centre"," 148","Calgary",18,23,78,193,1,313,575
48006,"Calgary Centre/Calgary-Centre"," 149","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 150","Calgary",27,48,43,61,3,182,381
48006,"Calgary Centre/Calgary-Centre"," 151","Calgary",22,30,37,41,0,130,271
48006,"Calgary Centre/Calgary-Centre"," 152","Calgary",25,46,28,68,1,168,418
48006,"Calgary Centre/Calgary-Centre"," 153","Calgary",16,22,25,49,1,113,309
48006,"Calgary Centre/Calgary-Centre"," 154","Calgary",28,50,29,73,3,183,432
48006,"Calgary Centre/Calgary-Centre"," 155","Calgary",22,21,28,78,0,149,339
48006,"Calgary Centre/Calgary-Centre"," 156","Calgary",15,38,31,55,0,139,364
48006,"Calgary Centre/Calgary-Centre"," 157","Calgary",21,36,40,86,0,183,422
48006,"Calgary Centre/Calgary-Centre"," 158","Calgary",36,43,46,108,1,234,483
48006,"Calgary Centre/Calgary-Centre"," 159","Calgary",20,7,40,148,0,215,387
48006,"Calgary Centre/Calgary-Centre"," 160","Calgary",12,7,40,139,0,198,344
48006,"Calgary Centre/Calgary-Centre"," 161","Calgary",8,4,28,98,1,139,247
48006,"Calgary Centre/Calgary-Centre"," 162","Calgary",7,18,20,75,4,124,363
48006,"Calgary Centre/Calgary-Centre"," 163","Calgary",22,42,26,139,2,231,449
48006,"Calgary Centre/Calgary-Centre"," 164","Calgary",27,21,35,151,2,236,395
48006,"Calgary Centre/Calgary-Centre"," 165","Calgary",23,27,16,118,0,184,317
48006,"Calgary Centre/Calgary-Centre"," 166","Calgary",25,38,36,183,3,285,409
48006,"Calgary Centre/Calgary-Centre"," 167","Calgary",18,35,32,143,2,230,372
48006,"Calgary Centre/Calgary-Centre"," 168","Calgary",23,45,32,106,1,207,390
48006,"Calgary Centre/Calgary-Centre"," 168-1","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 169","Calgary",22,13,25,156,0,216,373
48006,"Calgary Centre/Calgary-Centre"," 170","Calgary",14,18,25,130,2,189,302
48006,"Calgary Centre/Calgary-Centre"," 171","Calgary",20,19,21,154,0,214,367
48006,"Calgary Centre/Calgary-Centre"," 172","Calgary",8,15,19,133,2,177,317
48006,"Calgary Centre/Calgary-Centre"," 172-1","Calgary",21,33,22,139,2,217,345
48006,"Calgary Centre/Calgary-Centre"," 173","Calgary",8,12,44,99,0,163,308
48006,"Calgary Centre/Calgary-Centre"," 173-1","Calgary",20,33,42,127,1,223,348
48006,"Calgary Centre/Calgary-Centre"," 174","Calgary",7,24,12,85,1,129,228
48006,"Calgary Centre/Calgary-Centre"," 175","Calgary",26,45,29,189,2,291,512
48006,"Calgary Centre/Calgary-Centre"," 176","Calgary",14,22,24,97,0,157,322
48006,"Calgary Centre/Calgary-Centre"," 176-1","Calgary",22,43,31,122,0,218,520
48006,"Calgary Centre/Calgary-Centre"," 177","Calgary",8,23,23,73,1,128,290
48006,"Calgary Centre/Calgary-Centre"," 178","Calgary",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 179","Calgary",20,21,28,109,0,178,243
48006,"Calgary Centre/Calgary-Centre"," 179-1","Calgary",21,21,46,110,0,198,372
48006,"Calgary Centre/Calgary-Centre"," 180","Calgary",10,20,12,52,0,94,201
48006,"Calgary Centre/Calgary-Centre"," 181","Calgary",18,48,51,236,1,354,653
48006,"Calgary Centre/Calgary-Centre"," 181-1A","Calgary",12,20,36,109,0,177,399
48006,"Calgary Centre/Calgary-Centre"," 181-1B","Calgary",6,8,5,46,1,66,74
48006,"Calgary Centre/Calgary-Centre"," 181-1C","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,91
48006,"Calgary Centre/Calgary-Centre"," 182","Calgary",22,34,52,96,0,204,463
48006,"Calgary Centre/Calgary-Centre"," 182-1","Calgary",Merged with No. 70/Fusionné avec le nº 70,,,,,,239
48006,"Calgary Centre/Calgary-Centre"," 183","Calgary",18,13,40,146,2,219,440
48006,"Calgary Centre/Calgary-Centre"," 183-1","Calgary",9,14,41,122,0,186,348
48006,"Calgary Centre/Calgary-Centre"," 184","Calgary",31,55,34,115,0,235,534
48006,"Calgary Centre/Calgary-Centre"," 185","Calgary",21,26,23,96,0,166,390
48006,"Calgary Centre/Calgary-Centre"," 186","Calgary",26,40,28,90,1,185,405
48006,"Calgary Centre/Calgary-Centre"," 187","Calgary",20,9,21,59,1,110,213
48006,"Calgary Centre/Calgary-Centre"," 188","Calgary",15,27,21,107,0,170,319
48006,"Calgary Centre/Calgary-Centre"," 189","Calgary",11,25,44,139,0,219,402
48006,"Calgary Centre/Calgary-Centre"," 190","Calgary",21,11,33,127,0,192,324
48006,"Calgary Centre/Calgary-Centre"," 191","Calgary",17,9,56,136,0,218,363
48006,"Calgary Centre/Calgary-Centre"," 192","Calgary",10,7,36,147,0,200,369
48006,"Calgary Centre/Calgary-Centre"," 193","Calgary",12,14,52,211,1,290,477
48006,"Calgary Centre/Calgary-Centre"," 194","Calgary",19,13,42,177,0,251,412
48006,"Calgary Centre/Calgary-Centre"," 195","Calgary",14,14,45,133,1,207,333
48006,"Calgary Centre/Calgary-Centre"," 196","Calgary",23,15,39,123,1,201,354
48006,"Calgary Centre/Calgary-Centre"," 197","Calgary",28,16,24,102,0,170,338
48006,"Calgary Centre/Calgary-Centre"," 198","Calgary",18,13,19,123,1,174,374
48006,"Calgary Centre/Calgary-Centre"," 199","Calgary",24,18,40,123,0,205,378
48006,"Calgary Centre/Calgary-Centre"," 200","Calgary",14,22,31,126,0,193,374
48006,"Calgary Centre/Calgary-Centre"," 201","Calgary",15,33,26,144,0,218,386
48006,"Calgary Centre/Calgary-Centre"," 202","Calgary",21,18,23,143,0,205,320
48006,"Calgary Centre/Calgary-Centre"," 203","Calgary",19,13,28,117,1,178,320
48006,"Calgary Centre/Calgary-Centre"," 204","Calgary",21,17,50,171,2,261,425
48006,"Calgary Centre/Calgary-Centre"," 205","Calgary",19,23,47,159,1,249,451
48006,"Calgary Centre/Calgary-Centre"," 206","Calgary",18,35,26,83,0,162,428
48006,"Calgary Centre/Calgary-Centre"," 207","Calgary",21,22,49,169,1,262,443
48006,"Calgary Centre/Calgary-Centre"," 208","Calgary",11,20,19,63,0,113,404
48006,"Calgary Centre/Calgary-Centre"," 209","Calgary",17,13,18,65,1,114,273
48006,"Calgary Centre/Calgary-Centre"," 210","Calgary",21,12,47,143,0,223,343
48006,"Calgary Centre/Calgary-Centre"," 211","Calgary",9,12,27,190,1,239,452
48006,"Calgary Centre/Calgary-Centre"," 212A","Calgary",Merged with No. 216/Fusionné avec le nº 216,,,,,,101
48006,"Calgary Centre/Calgary-Centre"," 212B","Calgary",10,26,14,95,0,145,347
48006,"Calgary Centre/Calgary-Centre"," 213","Calgary",33,35,23,152,1,244,357
48006,"Calgary Centre/Calgary-Centre"," 214","Calgary",13,28,29,119,1,190,421
48006,"Calgary Centre/Calgary-Centre"," 215","Calgary",13,28,19,104,0,164,329
48006,"Calgary Centre/Calgary-Centre"," 216","Calgary",15,30,25,89,2,161,376
48006,"Calgary Centre/Calgary-Centre"," 217","Calgary",Merged with No. 213/Fusionné avec le nº 213,,,,,,244
48006,"Calgary Centre/Calgary-Centre"," 218","Calgary",5,15,11,68,0,99,254
48006,"Calgary Centre/Calgary-Centre"," 219","Calgary",4,23,9,50,0,86,291
48006,"Calgary Centre/Calgary-Centre"," 220","Calgary",8,10,8,63,0,89,261
48006,"Calgary Centre/Calgary-Centre"," 221","Calgary",14,12,37,170,0,233,396
48006,"Calgary Centre/Calgary-Centre"," 222","Calgary",12,12,23,121,1,169,333
48006,"Calgary Centre/Calgary-Centre"," 400","Calgary",7,35,20,47,0,109,234
48006,"Calgary Centre/Calgary-Centre"," 401","Calgary",9,40,20,58,1,128,204
48006,"Calgary Centre/Calgary-Centre"," 402","Calgary",4,1,14,75,1,95,128
48006,"Calgary Centre/Calgary-Centre"," 403","Calgary",4,4,14,43,1,66,96
48006,"Calgary Centre/Calgary-Centre"," 404","Calgary",2,4,17,98,0,121,151
48006,"Calgary Centre/Calgary-Centre"," 405","Calgary",Merged with No. 24B/Fusionné avec le nº 24B,,,,,,44
48006,"Calgary Centre/Calgary-Centre"," 500","Mobile poll/Bureau itinérant",10,18,21,97,4,150,177
48006,"Calgary Centre/Calgary-Centre"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
48006,"Calgary Centre/Calgary-Centre"," 502","Mobile poll/Bureau itinérant",14,15,19,138,1,187,235
48006,"Calgary Centre/Calgary-Centre"," 503","Mobile poll/Bureau itinérant",5,11,8,60,3,87,93
48006,"Calgary Centre/Calgary-Centre"," 504","Mobile poll/Bureau itinérant",6,9,9,46,0,70,55
48006,"Calgary Centre/Calgary-Centre"," 505","Mobile poll/Bureau itinérant",2,6,16,80,2,106,145
48006,"Calgary Centre/Calgary-Centre"," 506","Mobile poll/Bureau itinérant",4,8,19,110,0,141,64
48006,"Calgary Centre/Calgary-Centre"," 507","Mobile poll/Bureau itinérant",5,19,14,77,0,115,172
48006,"Calgary Centre/Calgary-Centre"," 600","Calgary",17,37,42,233,0,329,
48006,"Calgary Centre/Calgary-Centre"," 601","Calgary",47,81,103,457,2,690,
48006,"Calgary Centre/Calgary-Centre"," 602","Calgary",71,65,150,393,1,680,
48006,"Calgary Centre/Calgary-Centre"," 603","Calgary",67,54,153,270,1,545,
48006,"Calgary Centre/Calgary-Centre"," 604","Calgary",44,57,104,354,2,561,
48006,"Calgary Centre/Calgary-Centre"," 605","Calgary",87,105,186,373,6,757,
48006,"Calgary Centre/Calgary-Centre"," 606","Calgary",89,90,204,362,2,747,
48006,"Calgary Centre/Calgary-Centre"," 607","Calgary",52,66,119,321,2,560,
48006,"Calgary Centre/Calgary-Centre"," 608","Calgary",43,52,107,308,3,513,
48006,"Calgary Centre/Calgary-Centre"," 609","Calgary",74,54,137,438,0,703,
48006,"Calgary Centre/Calgary-Centre"," 610","Calgary",44,47,134,442,2,669,
48006,"Calgary Centre/Calgary-Centre",,Group 1/Groupe 1,19,12,57,88,24,200,356
48006,"Calgary Centre/Calgary-Centre",,Group 2/Groupe 2,83,86,182,465,25,841,
