Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 197","Wainwright",216,14,0,35,14,0,279,568
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 198","Wainwright",167,13,1,20,17,0,218,393
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 199","Wainwright",127,14,1,20,8,1,171,393
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 200","Amisk",209,10,1,11,2,1,234,389
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 201","Hughenden",172,18,0,18,6,1,215,351
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 202","Metiskow",86,5,1,11,2,0,105,179
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 203","Czar",165,9,3,9,1,0,187,287
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 204","Cadogan",117,9,0,3,0,1,130,216
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 205","Green Glade",185,9,0,9,3,0,206,315
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 206","Provost",137,8,0,9,7,0,161,264
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 207","Provost",178,2,0,9,2,0,191,366
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 208","Provost",159,14,3,22,8,0,206,437
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 209","Provost",79,5,2,11,6,0,103,241
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 210","Hayter",202,4,6,4,1,0,217,390
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 500","Mobile poll/Bureau itinérant",74,4,0,7,8,3,96,164
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 501","Mobile poll/Bureau itinérant",65,0,2,5,6,2,80,115
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 502","Mobile poll/Bureau itinérant",67,2,4,11,7,1,92,132
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 503","Mobile poll/Bureau itinérant",89,5,0,9,5,3,111,174
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 504","Mobile poll/Bureau itinérant",66,3,0,7,3,0,79,119
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 505","Mobile poll/Bureau itinérant",49,1,0,10,3,1,64,94
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 506","Mobile poll/Bureau itinérant",68,2,7,4,1,0,82,90
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 507","Mobile poll/Bureau itinérant",85,1,0,10,3,1,100,138
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 508","Mobile poll/Bureau itinérant",96,6,0,9,5,1,117,159
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 509","Mobile poll/Bureau itinérant",49,2,0,7,4,0,62,78
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 510","Mobile poll/Bureau itinérant",44,2,0,2,3,0,51,58
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 511","Mobile poll/Bureau itinérant",63,2,0,10,5,1,81,100
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 512","Mobile poll/Bureau itinérant",117,3,0,20,10,3,153,235
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 513","Mobile poll/Bureau itinérant",50,1,0,6,1,2,60,66
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 600","Strathcona County--Ardrossan",264,18,1,32,19,0,334,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 601","Strathcona County--Cooking Lake",207,17,4,21,19,0,268,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 602","Lamont County",131,8,1,27,10,0,177,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 603","Two Hills County No. 21",102,6,4,10,5,0,127,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 604","Beaver County--Tofield",133,10,0,26,8,0,177,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 605","Beaver County--Viking",102,3,0,9,3,0,117,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 606","Minburn County--Vegreville",272,22,4,58,16,0,372,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 607","Vermilion County No. 24--Vermilion",292,18,2,22,22,0,356,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 608","Vermilion County No. 24--Kitscoty",204,3,2,17,7,0,233,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 609","Lloydminster",314,13,1,25,13,1,367,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 610","Lloydminster",288,11,1,33,6,0,339,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 611","Flagstaff County",97,7,1,12,4,0,121,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 612","Wainwright No. 61",119,5,0,5,4,0,133,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 613","Wainwright",206,12,1,23,13,0,255,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 614","Provost No. 52",50,8,1,5,1,0,65,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 615","Strathcona-County--Uncas",295,21,2,41,24,0,383,
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 616","Strathcona-County--Leduc-County",336,33,2,35,31,0,437,
48024,"Vegreville--Wainwright/Vegreville--Wainwright",,Group 1/Groupe 1,100,2,0,6,15,1,124,214
48024,"Vegreville--Wainwright/Vegreville--Wainwright",,Group 2/Groupe 2,277,32,2,33,22,16,382,
