Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Bergeron,Maxime Bernier,Etienne Doyon Lessard,Claude Morin,Sylvio Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 40","Sainte-Marie",41,91,2,13,9,1,157,264
24005,"Beauce/Beauce"," 41","Sainte-Marie",53,110,3,5,20,1,192,346
24005,"Beauce/Beauce"," 42","Sainte-Marie",91,147,0,23,20,3,284,451
24005,"Beauce/Beauce"," 43","Sainte-Marie",47,63,4,10,11,1,136,211
24005,"Beauce/Beauce"," 44","Sainte-Marie",62,102,3,10,19,2,198,389
24005,"Beauce/Beauce"," 45","Sainte-Marie",74,110,4,10,16,6,220,363
24005,"Beauce/Beauce"," 46","Sainte-Marie",69,141,2,10,11,1,234,402
24005,"Beauce/Beauce"," 47","Frampton",55,101,2,10,16,3,187,342
24005,"Beauce/Beauce"," 48","Frampton",48,82,3,7,11,2,153,285
24005,"Beauce/Beauce"," 49","Frampton",91,107,7,13,18,3,239,438
24005,"Beauce/Beauce"," 50","Saint-Odilon-de-Cranbourne",54,126,2,9,9,0,200,331
24005,"Beauce/Beauce"," 51","Saint-Odilon-de-Cranbourne",75,134,2,4,12,2,229,442
24005,"Beauce/Beauce"," 52","Saint-Odilon-de-Cranbourne",57,114,4,12,4,4,195,321
24005,"Beauce/Beauce"," 53","Saints-Anges",59,113,3,9,14,1,199,293
24005,"Beauce/Beauce"," 54","Saints-Anges",32,78,4,7,7,3,131,217
24005,"Beauce/Beauce"," 54-1","Saints-Anges",73,108,1,7,15,4,208,328
24005,"Beauce/Beauce"," 55","Vallée-Jonction",41,95,1,12,8,1,158,265
24005,"Beauce/Beauce"," 56","Vallée-Jonction",41,118,4,6,11,4,184,338
24005,"Beauce/Beauce"," 57","Vallée-Jonction",67,114,1,7,17,1,207,326
24005,"Beauce/Beauce"," 58","Vallée-Jonction",43,57,1,8,11,1,121,216
24005,"Beauce/Beauce"," 59","Vallée-Jonction",74,121,5,16,12,5,233,362
24005,"Beauce/Beauce"," 60","Saint-Séverin",45,74,4,9,16,0,148,203
24005,"Beauce/Beauce"," 61","Saint-Frédéric",107,160,4,14,9,1,295,530
24005,"Beauce/Beauce"," 62","Saint-Frédéric",35,94,5,16,17,2,169,296
24005,"Beauce/Beauce"," 63","Tring-Jonction",50,103,4,9,7,1,174,277
24005,"Beauce/Beauce"," 64","Tring-Jonction",93,156,1,11,10,2,273,427
24005,"Beauce/Beauce"," 65","Tring-Jonction",78,141,2,16,12,3,252,419
24005,"Beauce/Beauce"," 66","Saint-Jules-de-Beauce",88,203,6,3,14,1,315,416
24005,"Beauce/Beauce"," 67","Saint-Joseph-de-Beauce",53,134,2,16,18,4,227,428
24005,"Beauce/Beauce"," 68","Saint-Joseph-de-Beauce",72,113,5,13,11,5,219,410
24005,"Beauce/Beauce"," 68-1","Saint-Joseph-de-Beauce",37,92,3,4,1,2,139,223
24005,"Beauce/Beauce"," 69","Saint-Joseph-de-Beauce",87,139,6,14,11,2,259,476
24005,"Beauce/Beauce"," 70","Saint-Joseph-de-Beauce",57,108,2,9,15,7,198,412
24005,"Beauce/Beauce"," 71","Saint-Joseph-de-Beauce",55,93,4,11,9,3,175,360
24005,"Beauce/Beauce"," 72","Saint-Joseph-de-Beauce",22,36,3,13,4,0,78,221
24005,"Beauce/Beauce"," 73","Saint-Joseph-de-Beauce",52,62,3,13,15,1,146,274
24005,"Beauce/Beauce"," 74","Saint-Joseph-de-Beauce",48,91,2,16,14,2,173,320
24005,"Beauce/Beauce"," 75","Saint-Joseph-de-Beauce",52,47,2,16,2,0,119,235
24005,"Beauce/Beauce"," 75-1","Saint-Joseph-de-Beauce",15,46,1,4,2,1,69,194
24005,"Beauce/Beauce"," 76","Saint-Joseph-des-Érables",47,114,2,11,9,2,185,316
24005,"Beauce/Beauce"," 77","Beauceville",69,154,6,20,10,2,261,555
24005,"Beauce/Beauce"," 78","Beauceville",60,145,6,12,18,5,246,563
24005,"Beauce/Beauce"," 79","Beauceville",38,85,3,21,32,1,180,437
24005,"Beauce/Beauce"," 80","Beauceville",28,65,5,7,6,1,112,270
24005,"Beauce/Beauce"," 81","Beauceville",15,34,2,10,8,0,69,205
24005,"Beauce/Beauce"," 82","Beauceville",51,79,2,9,14,3,158,395
24005,"Beauce/Beauce"," 83","Beauceville",69,112,3,19,12,0,215,388
24005,"Beauce/Beauce"," 84","Beauceville",44,59,3,16,12,0,134,285
24005,"Beauce/Beauce"," 85","Beauceville",43,54,4,8,9,0,118,272
24005,"Beauce/Beauce"," 86","Beauceville",43,59,2,10,9,3,126,233
24005,"Beauce/Beauce"," 87","Beauceville",62,71,2,16,13,2,166,297
24005,"Beauce/Beauce"," 88","Beauceville",65,82,5,6,15,1,174,304
24005,"Beauce/Beauce"," 88-1","Beauceville",59,71,3,24,11,4,172,294
24005,"Beauce/Beauce"," 89","Beauceville",63,82,2,18,15,2,182,353
24005,"Beauce/Beauce"," 90","Saint-Alfred",65,116,4,16,27,3,231,344
24005,"Beauce/Beauce"," 91","Saint-Victor-Station",45,52,1,20,7,0,125,213
24005,"Beauce/Beauce"," 91-1","Saint-Victor",54,51,4,7,15,1,132,222
24005,"Beauce/Beauce"," 92","Saint-Victor",122,118,4,32,22,2,300,465
24005,"Beauce/Beauce"," 93","Saint-Victor",52,71,3,14,2,2,144,261
24005,"Beauce/Beauce"," 94","Saint-Victor",43,52,4,17,3,1,120,227
24005,"Beauce/Beauce"," 95","Saint-Victor",87,113,3,25,12,3,243,414
24005,"Beauce/Beauce"," 96","Saint-Benjamin",82,127,8,14,23,7,261,426
24005,"Beauce/Beauce"," 97","Saint-Benjamin",68,94,1,17,11,1,192,324
24005,"Beauce/Beauce"," 98","Saint-Prosper",68,85,2,13,9,6,183,389
24005,"Beauce/Beauce"," 99","Saint-Prosper",91,111,5,14,10,2,233,439
24005,"Beauce/Beauce"," 100","Saint-Prosper",58,105,7,18,15,2,205,451
24005,"Beauce/Beauce"," 101","Saint-Prosper",73,118,7,22,22,3,245,462
24005,"Beauce/Beauce"," 102","Saint-Prosper",31,68,2,13,7,1,122,248
24005,"Beauce/Beauce"," 103","Saint-Prosper",98,105,2,15,18,5,243,504
24005,"Beauce/Beauce"," 104","Saint-Prosper",48,99,3,8,7,1,166,373
24005,"Beauce/Beauce"," 105","Sainte-Aurélie",71,118,3,8,11,1,212,370
24005,"Beauce/Beauce"," 106","Sainte-Aurélie",80,103,6,19,13,4,225,357
24005,"Beauce/Beauce"," 107","Saint-Éphrem-de-Beauce",42,101,4,8,4,0,159,285
24005,"Beauce/Beauce"," 107-1","Saint-Éphrem-de-Beauce",36,62,5,13,7,2,125,237
24005,"Beauce/Beauce"," 108","Saint-Éphrem-de-Beauce",82,111,5,30,13,8,249,461
24005,"Beauce/Beauce"," 109","Saint-Éphrem-de-Beauce",55,91,2,22,6,2,178,311
24005,"Beauce/Beauce"," 110","Saint-Éphrem-de-Beauce",46,46,0,21,6,2,121,196
24005,"Beauce/Beauce"," 111","Saint-Éphrem-de-Beauce",88,125,1,31,18,3,266,428
24005,"Beauce/Beauce"," 112","Saint-Benoît-Labre",41,88,3,23,10,1,166,292
24005,"Beauce/Beauce"," 113","Saint-Benoît-Labre",57,115,2,63,20,2,259,464
24005,"Beauce/Beauce"," 114","Saint-Benoît-Labre",28,54,3,13,12,4,114,208
24005,"Beauce/Beauce"," 114-1","Saint-Benoît-Labre",50,90,4,15,9,4,172,322
24005,"Beauce/Beauce"," 115","Saint-Georges",125,138,10,34,22,0,329,607
24005,"Beauce/Beauce"," 116","Saint-Georges",52,70,1,30,5,1,159,277
24005,"Beauce/Beauce"," 116-1","Saint-Georges",45,73,1,17,3,1,140,328
24005,"Beauce/Beauce"," 117","Saint-Georges",112,138,7,29,20,5,311,606
24005,"Beauce/Beauce"," 117-1","Saint-Georges",48,83,3,19,9,1,163,317
24005,"Beauce/Beauce"," 118","Saint-Georges",46,76,3,17,9,0,151,346
24005,"Beauce/Beauce"," 119","Saint-Georges",70,110,2,45,14,2,243,426
24005,"Beauce/Beauce"," 120","Saint-Georges",35,76,4,31,10,5,161,312
24005,"Beauce/Beauce"," 121","Saint-Georges",60,68,3,34,10,1,176,378
24005,"Beauce/Beauce"," 122","Saint-Georges",34,37,2,15,10,1,99,250
24005,"Beauce/Beauce"," 123","Saint-Georges",49,57,5,16,7,3,137,329
24005,"Beauce/Beauce"," 124","Saint-Georges",51,60,9,18,22,4,164,397
24005,"Beauce/Beauce"," 125","Saint-Georges",54,65,5,9,15,5,153,324
24005,"Beauce/Beauce"," 126","Saint-Georges",47,61,3,20,16,5,152,358
24005,"Beauce/Beauce"," 127","Saint-Georges",41,79,2,19,4,2,147,295
24005,"Beauce/Beauce"," 128","Saint-Georges",37,61,2,25,5,5,135,280
24005,"Beauce/Beauce"," 129","Saint-Georges",62,79,7,16,16,1,181,399
24005,"Beauce/Beauce"," 130","Saint-Georges",48,72,2,20,14,1,157,287
24005,"Beauce/Beauce"," 131","Saint-Georges",65,58,4,22,13,1,163,329
24005,"Beauce/Beauce"," 132","Saint-Georges",59,103,4,20,13,5,204,380
24005,"Beauce/Beauce"," 132-1","Saint-Georges",32,36,2,23,7,0,100,213
24005,"Beauce/Beauce"," 133","Saint-Georges",63,68,1,17,6,1,156,308
24005,"Beauce/Beauce"," 134","Saint-Georges",66,95,0,13,9,3,186,307
24005,"Beauce/Beauce"," 135","Saint-Georges",65,88,4,17,4,2,180,294
24005,"Beauce/Beauce"," 136","Saint-Simon-les-Mines",47,116,10,23,13,5,214,330
24005,"Beauce/Beauce"," 137","Notre-Dame-des-Pins",77,130,0,17,28,2,254,394
24005,"Beauce/Beauce"," 138","Notre-Dame-des-Pins",80,108,2,20,14,4,228,360
24005,"Beauce/Beauce"," 139","Notre-Dame-des-Pins",28,18,1,15,11,2,75,97
24005,"Beauce/Beauce"," 140","Saint-Georges",69,101,2,56,16,3,247,470
24005,"Beauce/Beauce"," 141","Saint-Georges",59,96,6,38,13,5,217,418
24005,"Beauce/Beauce"," 142","Saint-Georges",75,125,2,12,15,1,230,535
24005,"Beauce/Beauce"," 143","Saint-Georges",89,89,9,23,11,2,223,498
24005,"Beauce/Beauce"," 144","Saint-Georges",78,130,2,58,24,3,295,570
24005,"Beauce/Beauce"," 144-1","Saint-Georges",32,74,5,29,7,1,148,259
24005,"Beauce/Beauce"," 145","Saint-Georges",77,97,5,39,19,2,239,533
24005,"Beauce/Beauce"," 146","Saint-Georges",47,61,1,21,7,2,139,325
24005,"Beauce/Beauce"," 147","Saint-Georges",84,79,0,41,8,4,216,447
24005,"Beauce/Beauce"," 148","Saint-Georges",61,74,1,20,12,0,168,387
24005,"Beauce/Beauce"," 149","Saint-Georges",55,84,2,34,13,5,193,370
24005,"Beauce/Beauce"," 150","Saint-Georges",39,31,0,16,6,6,98,298
24005,"Beauce/Beauce"," 151","Saint-Georges",38,88,1,61,21,3,212,416
24005,"Beauce/Beauce"," 152","Saint-Georges",68,98,4,23,17,1,211,422
24005,"Beauce/Beauce"," 153","Saint-Georges",41,80,1,21,10,1,154,397
24005,"Beauce/Beauce"," 154","Saint-Georges",40,56,2,13,7,3,121,327
24005,"Beauce/Beauce"," 155","Saint-Georges",23,16,2,5,10,0,56,246
24005,"Beauce/Beauce"," 156","Saint-Georges",29,47,0,16,13,2,107,412
24005,"Beauce/Beauce"," 157","Saint-Georges",57,85,8,31,16,4,201,460
24005,"Beauce/Beauce"," 158","Saint-Georges",52,72,7,20,21,6,178,440
24005,"Beauce/Beauce"," 159","Saint-Georges",60,48,4,15,11,2,140,343
24005,"Beauce/Beauce"," 160","Saint-Georges",47,76,2,32,13,3,173,473
24005,"Beauce/Beauce"," 161","Saint-Georges",61,73,4,36,6,0,180,412
24005,"Beauce/Beauce"," 162","Saint-Georges",34,73,3,17,8,2,137,305
24005,"Beauce/Beauce"," 163","Saint-Georges",57,71,2,33,9,0,172,355
24005,"Beauce/Beauce"," 164","Saint-Georges",54,65,3,34,11,2,169,368
24005,"Beauce/Beauce"," 165","Saint-Georges",64,90,4,38,15,0,211,392
24005,"Beauce/Beauce"," 166","Saint-Georges",53,68,2,20,6,1,150,307
24005,"Beauce/Beauce"," 167","Saint-Georges",92,103,2,46,20,0,263,496
24005,"Beauce/Beauce"," 167-1","Saint-Georges",78,98,2,19,15,5,217,484
24005,"Beauce/Beauce"," 168","Saint-Georges",76,114,4,33,13,4,244,537
24005,"Beauce/Beauce"," 169","Saint-Georges",48,67,3,20,6,2,146,318
24005,"Beauce/Beauce"," 169-1","Saint-Georges",39,62,1,16,14,1,133,325
24005,"Beauce/Beauce"," 170","Saint-Georges",48,71,1,15,3,4,142,302
24005,"Beauce/Beauce"," 171","Saint-Georges",75,95,1,23,11,3,208,465
24005,"Beauce/Beauce"," 172","Saint-Georges",66,96,6,23,6,1,198,375
24005,"Beauce/Beauce"," 173","Saint-Georges",68,98,6,32,21,5,230,451
24005,"Beauce/Beauce"," 174","Saint-Georges",43,96,1,19,15,1,175,374
24005,"Beauce/Beauce"," 175","Saint-Philibert",61,75,10,17,8,4,175,280
24005,"Beauce/Beauce"," 176","Saint-Côme--Linière",27,54,3,6,7,2,99,227
24005,"Beauce/Beauce"," 177","Saint-Côme--Linière",81,119,3,16,8,5,232,471
24005,"Beauce/Beauce"," 178","Saint-Côme--Linière",82,112,3,19,11,4,231,426
24005,"Beauce/Beauce"," 179","Saint-Côme--Linière",72,133,7,28,16,4,260,493
24005,"Beauce/Beauce"," 180","Saint-Côme--Linière",87,95,2,26,6,1,217,405
24005,"Beauce/Beauce"," 181","Saint-Côme--Linière",64,100,2,15,15,5,201,438
24005,"Beauce/Beauce"," 182","Saint-Zacharie",38,106,3,14,5,1,167,320
24005,"Beauce/Beauce"," 183","Saint-Zacharie",39,85,1,15,12,1,153,283
24005,"Beauce/Beauce"," 184","Saint-Zacharie",31,72,1,15,12,1,132,279
24005,"Beauce/Beauce"," 185","Saint-Zacharie",27,76,2,17,10,5,137,269
24005,"Beauce/Beauce"," 186","Saint-Zacharie",37,77,8,11,11,3,147,303
24005,"Beauce/Beauce"," 187","La Guadeloupe",61,110,2,41,9,2,225,428
24005,"Beauce/Beauce"," 188","La Guadeloupe",56,85,3,24,8,0,176,335
24005,"Beauce/Beauce"," 189","La Guadeloupe",34,80,2,9,9,2,136,294
24005,"Beauce/Beauce"," 190","La Guadeloupe",46,71,3,15,12,4,151,321
24005,"Beauce/Beauce"," 191","Saint-Évariste-de-Forsyth",90,102,3,33,14,2,244,441
24005,"Beauce/Beauce"," 192","Saint-Honoré",47,74,0,23,9,3,156,304
24005,"Beauce/Beauce"," 193","Shenley",58,115,3,27,14,4,221,394
24005,"Beauce/Beauce"," 194","Shenley",82,119,1,28,11,6,247,420
24005,"Beauce/Beauce"," 195","Saint-Honoré",21,30,1,6,4,0,62,109
24005,"Beauce/Beauce"," 196","Saint-Hilaire-de-Dorset",8,20,3,13,6,0,50,85
24005,"Beauce/Beauce"," 197","Saint-Martin",55,116,5,23,22,6,227,476
24005,"Beauce/Beauce"," 198","Saint-Martin",62,105,2,21,11,7,208,394
24005,"Beauce/Beauce"," 199","Saint-Martin",50,66,3,21,10,1,151,300
24005,"Beauce/Beauce"," 200","Saint-Martin",65,119,3,31,16,3,237,462
24005,"Beauce/Beauce"," 201","Saint-Martin",66,73,3,25,7,0,174,318
24005,"Beauce/Beauce"," 202","Saint-René",91,100,2,36,24,7,260,498
24005,"Beauce/Beauce"," 203","Saint-Théophile",54,126,2,19,8,3,212,341
24005,"Beauce/Beauce"," 204","Saint-Théophile",35,81,1,18,6,5,146,253
24005,"Beauce/Beauce"," 205","Saint-Gédéon",44,93,1,43,12,4,197,435
24005,"Beauce/Beauce"," 206","Saint-Gédéon",53,54,1,55,12,3,178,428
24005,"Beauce/Beauce"," 207","Saint-Gédéon",28,38,1,49,4,2,122,178
24005,"Beauce/Beauce"," 207-1","Saint-Gédéon",37,59,4,47,6,2,155,316
24005,"Beauce/Beauce"," 208","Saint-Gédéon",35,76,2,60,5,8,186,417
24005,"Beauce/Beauce"," 209","Saint-Ludger",47,62,0,10,10,0,129,239
24005,"Beauce/Beauce"," 210","Saint-Ludger",41,80,0,9,17,1,148,351
24005,"Beauce/Beauce"," 211","Saint-Ludger",44,69,6,12,17,2,150,336
24005,"Beauce/Beauce"," 212","Saint-Robert-Bellarmin",58,107,4,54,8,3,234,504
24005,"Beauce/Beauce"," 400","Saint-Georges",16,67,0,29,5,5,122,163
24005,"Beauce/Beauce"," 401","Saint-Georges",66,138,3,56,17,4,284,376
24005,"Beauce/Beauce"," 402","Saint-Georges",17,48,3,20,3,3,94,129
24005,"Beauce/Beauce"," 403","Sainte-Marie",24,156,0,24,13,8,225,279
24005,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",3,29,0,5,8,0,45,96
24005,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",3,18,0,10,5,1,37,100
24005,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",8,17,1,5,4,2,37,119
24005,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",25,90,2,25,5,4,151,247
24005,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",9,45,0,11,4,0,69,180
24005,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",18,44,3,16,6,2,89,194
24005,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",4,30,1,10,4,1,50,96
24005,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",5,50,0,11,4,4,74,132
24005,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",6,31,1,6,2,6,52,182
24005,"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",6,40,0,22,7,3,78,126
24005,"Beauce/Beauce"," 600","Saint-Isidore",54,86,5,23,19,2,189,
24005,"Beauce/Beauce"," 601","Saint-Bernard",27,62,1,3,6,1,100,
24005,"Beauce/Beauce"," 602","Sainte-Marie",121,247,8,33,28,1,438,
24005,"Beauce/Beauce"," 603","Sainte-Marie",97,223,6,49,42,5,422,
24005,"Beauce/Beauce"," 604","Sainte-Marie",49,119,4,13,16,3,204,
24005,"Beauce/Beauce"," 605","Frampton",35,61,5,9,8,2,120,
24005,"Beauce/Beauce"," 606","Saints-Anges--Vallée-Jonction",66,121,5,23,17,0,232,
24005,"Beauce/Beauce"," 607","Saint-Fédéric--Tring-Jonction",42,97,4,21,9,4,177,
24005,"Beauce/Beauce"," 608","Saint-Joseph-de-Beauce",107,247,12,39,40,4,449,
24005,"Beauce/Beauce"," 609","Beauceville",110,174,2,54,44,5,389,
24005,"Beauce/Beauce"," 610","Beauceville--Saint-Alfred",56,104,1,25,25,1,212,
24005,"Beauce/Beauce"," 611","Saint-Victor",40,54,0,13,4,1,112,
24005,"Beauce/Beauce"," 612","Saint-Prosper--Sainte-Aurélie",102,186,6,52,21,1,368,
24005,"Beauce/Beauce"," 613","Saint-Benoît-Labre",35,43,1,17,4,0,100,
24005,"Beauce/Beauce"," 614","Saint-Georges",116,189,11,88,43,4,451,
24005,"Beauce/Beauce"," 615","Saint-Georges",101,204,3,67,31,2,408,
24005,"Beauce/Beauce"," 616","Saint-Georges",54,93,2,43,16,1,209,
24005,"Beauce/Beauce"," 617","Saint-Georges",115,168,5,49,27,3,367,
24005,"Beauce/Beauce"," 618","Saint-Georges",143,224,9,111,42,3,532,
24005,"Beauce/Beauce"," 619","Saint-Georges",69,192,2,93,29,8,393,
24005,"Beauce/Beauce"," 620","Saint-Georges",103,158,9,96,24,3,393,
24005,"Beauce/Beauce"," 621","Saint-Georges",79,107,3,47,19,0,255,
24005,"Beauce/Beauce"," 622","Saint-Côme--Linière",40,107,2,16,8,3,176,
24005,"Beauce/Beauce"," 623","La Guadeloupe",44,76,1,36,18,1,176,
24005,"Beauce/Beauce"," 624","Saint-Honoré-de-Shenley",25,72,0,19,7,0,123,
24005,"Beauce/Beauce"," 625","Saint-Martin",52,89,2,31,12,5,191,
24005,"Beauce/Beauce"," 626","Saint-Gédéon",36,104,2,60,8,2,212,
24005,"Beauce/Beauce"," 627","Saint-Ludger--Saint-Robert-Bellarmin",20,47,2,10,7,0,86,
24005,"Beauce/Beauce"," 628","Scott-Jonction",39,61,1,5,5,2,113,
24005,"Beauce/Beauce"," 629","Sainte-Hénédine",12,30,1,3,5,0,51,
24005,"Beauce/Beauce"," 630","Sainte-Marguerite",9,21,0,8,1,0,39,
24005,"Beauce/Beauce"," 631","Saint-Elzéar",29,51,0,8,8,2,98,
24005,"Beauce/Beauce"," 632","Saint-Odilon",14,27,1,6,1,0,49,
24005,"Beauce/Beauce"," 633","Saint-Ephrem",51,75,4,14,9,2,155,
24005,"Beauce/Beauce"," 634","Saint-Zacharie",30,56,4,17,9,0,116,
24005,"Beauce/Beauce",,Group 1/Groupe 1,14,80,3,17,16,5,135,217
24005,"Beauce/Beauce",,Group 2/Groupe 2,114,557,11,152,65,8,907,
