Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 20","Richmond Hill",37,11,67,61,4,180,424
35075,"Richmond Hill/Richmond Hill"," 21","Richmond Hill",36,14,88,52,0,190,384
35075,"Richmond Hill/Richmond Hill"," 22","Richmond Hill",30,8,131,91,2,262,466
35075,"Richmond Hill/Richmond Hill"," 23","Richmond Hill",33,12,118,81,0,244,414
35075,"Richmond Hill/Richmond Hill"," 24","Richmond Hill",36,9,110,67,1,223,404
35075,"Richmond Hill/Richmond Hill"," 25","Richmond Hill",31,10,115,93,1,250,375
35075,"Richmond Hill/Richmond Hill"," 26","Richmond Hill",38,15,115,89,0,257,414
35075,"Richmond Hill/Richmond Hill"," 27","Richmond Hill",33,23,71,76,0,203,352
35075,"Richmond Hill/Richmond Hill"," 28","Richmond Hill",32,16,85,82,1,216,366
35075,"Richmond Hill/Richmond Hill"," 29","Richmond Hill",23,15,110,78,0,226,441
35075,"Richmond Hill/Richmond Hill"," 30","Richmond Hill",34,8,86,78,0,206,396
35075,"Richmond Hill/Richmond Hill"," 31","Richmond Hill",28,7,130,83,0,248,436
35075,"Richmond Hill/Richmond Hill"," 32","Richmond Hill",45,4,50,40,1,140,287
35075,"Richmond Hill/Richmond Hill"," 33","Richmond Hill",32,12,57,31,2,134,337
35075,"Richmond Hill/Richmond Hill"," 34","Richmond Hill",37,13,62,46,0,158,335
35075,"Richmond Hill/Richmond Hill"," 35","Richmond Hill",32,15,58,44,1,150,378
35075,"Richmond Hill/Richmond Hill"," 36","Richmond Hill",38,5,74,40,2,159,406
35075,"Richmond Hill/Richmond Hill"," 37","Richmond Hill",37,16,68,53,0,174,361
35075,"Richmond Hill/Richmond Hill"," 38","Richmond Hill",35,6,62,43,1,147,317
35075,"Richmond Hill/Richmond Hill"," 39","Richmond Hill",35,11,57,31,0,134,320
35075,"Richmond Hill/Richmond Hill"," 40","Richmond Hill",56,11,77,51,0,195,434
35075,"Richmond Hill/Richmond Hill"," 41","Richmond Hill",33,6,49,54,1,143,328
35075,"Richmond Hill/Richmond Hill"," 42","Richmond Hill",24,7,50,44,3,128,286
35075,"Richmond Hill/Richmond Hill"," 43","Richmond Hill",33,7,70,37,0,147,306
35075,"Richmond Hill/Richmond Hill"," 44","Richmond Hill",35,6,70,60,1,172,333
35075,"Richmond Hill/Richmond Hill"," 45","Richmond Hill",37,5,33,47,0,122,364
35075,"Richmond Hill/Richmond Hill"," 46","Richmond Hill",21,1,87,46,7,162,282
35075,"Richmond Hill/Richmond Hill"," 46-1","Richmond Hill",33,12,52,54,0,151,269
35075,"Richmond Hill/Richmond Hill"," 47","Richmond Hill",22,8,50,50,0,130,307
35075,"Richmond Hill/Richmond Hill"," 48","Richmond Hill",64,8,146,89,4,311,576
35075,"Richmond Hill/Richmond Hill"," 49","Richmond Hill",15,7,39,36,0,97,215
35075,"Richmond Hill/Richmond Hill"," 50","Richmond Hill",38,9,67,36,1,151,299
35075,"Richmond Hill/Richmond Hill"," 51","Richmond Hill",48,16,165,69,1,299,455
35075,"Richmond Hill/Richmond Hill"," 52","Richmond Hill",45,6,138,71,2,262,436
35075,"Richmond Hill/Richmond Hill"," 53","Richmond Hill",51,10,137,91,3,292,493
35075,"Richmond Hill/Richmond Hill"," 54","Richmond Hill",34,9,97,53,0,193,436
35075,"Richmond Hill/Richmond Hill"," 54-1","Richmond Hill",29,6,102,56,0,193,397
35075,"Richmond Hill/Richmond Hill"," 55","Richmond Hill",33,9,65,55,0,162,272
35075,"Richmond Hill/Richmond Hill"," 56","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 57","Richmond Hill",50,10,106,99,7,272,586
35075,"Richmond Hill/Richmond Hill"," 57-1","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 58","Richmond Hill",55,12,138,89,0,294,530
35075,"Richmond Hill/Richmond Hill"," 59","Richmond Hill",22,11,120,67,1,221,432
35075,"Richmond Hill/Richmond Hill"," 60","Richmond Hill",19,3,81,72,4,179,362
35075,"Richmond Hill/Richmond Hill"," 61","Richmond Hill",35,9,141,99,2,286,489
35075,"Richmond Hill/Richmond Hill"," 62","Richmond Hill",21,6,82,98,0,207,354
35075,"Richmond Hill/Richmond Hill"," 63","Richmond Hill",32,10,87,62,0,191,441
35075,"Richmond Hill/Richmond Hill"," 64","Richmond Hill",31,10,64,61,2,168,372
35075,"Richmond Hill/Richmond Hill"," 65","Richmond Hill",51,16,122,111,1,301,545
35075,"Richmond Hill/Richmond Hill"," 66","Richmond Hill",31,12,70,46,0,159,273
