Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Lisa Bennett,Bill Greenberg,Marilyn Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 116","Timmins",61,5,32,19,0,117,282
35092,"Timmins--James Bay/Timmins--Baie James"," 117","Timmins",60,5,33,21,0,119,349
35092,"Timmins--James Bay/Timmins--Baie James"," 118","Timmins",47,2,27,21,0,97,283
35092,"Timmins--James Bay/Timmins--Baie James"," 119","Timmins",76,0,34,33,0,143,370
35092,"Timmins--James Bay/Timmins--Baie James"," 120","Timmins",95,4,55,32,1,187,391
35092,"Timmins--James Bay/Timmins--Baie James"," 121","Timmins",85,5,47,26,2,165,336
35092,"Timmins--James Bay/Timmins--Baie James"," 122","Timmins",99,2,51,35,0,187,321
35092,"Timmins--James Bay/Timmins--Baie James"," 123","Timmins",92,2,29,16,0,139,340
35092,"Timmins--James Bay/Timmins--Baie James"," 124","Timmins",52,4,76,18,1,151,292
35092,"Timmins--James Bay/Timmins--Baie James"," 125","Timmins",91,3,41,14,0,149,414
35092,"Timmins--James Bay/Timmins--Baie James"," 126","Timmins",51,4,64,15,0,134,286
35092,"Timmins--James Bay/Timmins--Baie James"," 127","Timmins",62,1,63,27,1,154,332
35092,"Timmins--James Bay/Timmins--Baie James"," 128","Timmins",51,0,40,10,0,101,251
35092,"Timmins--James Bay/Timmins--Baie James"," 129","Timmins",65,3,62,19,0,149,332
35092,"Timmins--James Bay/Timmins--Baie James"," 130","Timmins",68,5,37,18,1,129,322
35092,"Timmins--James Bay/Timmins--Baie James"," 131","Timmins",76,4,57,15,1,153,438
35092,"Timmins--James Bay/Timmins--Baie James"," 132","Timmins",67,2,40,17,1,127,344
35092,"Timmins--James Bay/Timmins--Baie James"," 133","Timmins",69,3,53,14,0,139,327
35092,"Timmins--James Bay/Timmins--Baie James"," 134","Timmins",59,1,70,35,0,165,369
35092,"Timmins--James Bay/Timmins--Baie James"," 135","Timmins",69,2,97,50,0,218,402
35092,"Timmins--James Bay/Timmins--Baie James"," 136","Timmins",58,2,38,19,0,117,302
35092,"Timmins--James Bay/Timmins--Baie James"," 137","Timmins",73,6,58,20,0,157,327
35092,"Timmins--James Bay/Timmins--Baie James"," 137-1","Timmins",95,10,87,20,1,213,442
35092,"Timmins--James Bay/Timmins--Baie James"," 138","Timmins",51,0,52,18,0,121,288
35092,"Timmins--James Bay/Timmins--Baie James"," 139","Timmins",71,5,63,25,0,164,374
35092,"Timmins--James Bay/Timmins--Baie James"," 140","Timmins",62,4,75,17,0,158,348
35092,"Timmins--James Bay/Timmins--Baie James"," 141","Timmins",115,10,65,38,0,228,465
35092,"Timmins--James Bay/Timmins--Baie James"," 142","Timmins",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 143","Matachewan",84,2,40,7,0,133,243
35092,"Timmins--James Bay/Timmins--Baie James"," 144","Matachewan 72",17,0,1,1,0,19,25
35092,"Timmins--James Bay/Timmins--Baie James"," 145","Sesekinika",49,1,35,8,1,94,149
35092,"Timmins--James Bay/Timmins--Baie James"," 146","Kenogami Lake",96,2,79,12,1,190,297
35092,"Timmins--James Bay/Timmins--Baie James"," 147","Dane",86,4,48,7,0,145,220
35092,"Timmins--James Bay/Timmins--Baie James"," 148","Dobie",107,3,60,15,0,185,332
35092,"Timmins--James Bay/Timmins--Baie James"," 149","Larder Lake",109,2,44,14,1,170,281
35092,"Timmins--James Bay/Timmins--Baie James"," 150","Kearns",76,1,38,5,2,122,206
35092,"Timmins--James Bay/Timmins--Baie James"," 151","Virginiatown",127,8,46,21,4,206,340
35092,"Timmins--James Bay/Timmins--Baie James"," 152","Larder Lake",109,2,58,3,3,175,315
35092,"Timmins--James Bay/Timmins--Baie James"," 153","Kirkland Lake",101,1,42,14,0,158,307
35092,"Timmins--James Bay/Timmins--Baie James"," 154","Kirkland Lake",100,4,30,10,2,146,347
35092,"Timmins--James Bay/Timmins--Baie James"," 155","Kirkland Lake",66,3,35,21,0,125,262
35092,"Timmins--James Bay/Timmins--Baie James"," 156","Kirkland Lake",90,3,45,11,0,149,310
35092,"Timmins--James Bay/Timmins--Baie James"," 157","Kirkland Lake",54,1,27,18,0,100,240
35092,"Timmins--James Bay/Timmins--Baie James"," 158","Kirkland Lake",33,5,30,11,3,82,234
35092,"Timmins--James Bay/Timmins--Baie James"," 159","Kirkland Lake",71,4,21,8,1,105,310
35092,"Timmins--James Bay/Timmins--Baie James"," 160","Kirkland Lake",89,1,36,18,2,146,320
35092,"Timmins--James Bay/Timmins--Baie James"," 161","Kirkland Lake",63,4,17,8,3,95,380
35092,"Timmins--James Bay/Timmins--Baie James"," 162","Kirkland Lake",52,0,20,7,0,79,229
35092,"Timmins--James Bay/Timmins--Baie James"," 163","Kirkland Lake",55,1,22,8,1,87,277
