Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 63","Thunder Bay",1,30,54,89,5,0,179,362
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 64","Thunder Bay",1,68,56,87,2,2,216,397
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 65","Thunder Bay",1,32,41,106,5,0,185,377
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 66","Thunder Bay",1,18,21,89,1,0,130,400
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 67","Thunder Bay",2,42,71,101,5,0,221,341
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 68","Thunder Bay",1,33,40,124,4,0,202,375
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 69","Thunder Bay",1,26,50,98,3,1,179,361
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 70","Thunder Bay",0,58,41,94,6,0,199,337
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 71","Thunder Bay",2,46,42,60,2,1,153,260
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 72","Thunder Bay",0,37,28,75,1,0,141,299
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 73","Thunder Bay",1,33,35,89,3,0,161,274
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 74","Thunder Bay",2,25,45,101,4,0,177,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 75","Thunder Bay",0,6,42,99,7,0,154,318
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 76","Thunder Bay",1,26,91,94,7,0,219,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 77","Thunder Bay",0,21,70,113,3,1,208,371
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 78","Thunder Bay",0,22,43,138,5,0,208,410
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 79","Thunder Bay",0,20,40,110,2,0,172,317
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 80","Thunder Bay",2,10,38,102,6,0,158,347
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 81","Thunder Bay",1,17,25,101,8,0,152,307
