Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelly Glover,Patrice Miniely,Marc Payette,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface/Saint-Boniface"," 64","Winnipeg",48,36,10,51,0,145,357
46009,"Saint Boniface/Saint-Boniface"," 65","Winnipeg",88,34,14,111,0,247,399
46009,"Saint Boniface/Saint-Boniface"," 66","Winnipeg",85,26,8,75,1,195,319
46009,"Saint Boniface/Saint-Boniface"," 67","Winnipeg",67,48,3,59,0,177,358
46009,"Saint Boniface/Saint-Boniface"," 68","Winnipeg",84,40,4,63,0,191,346
46009,"Saint Boniface/Saint-Boniface"," 69","Winnipeg",74,41,8,45,0,168,326
46009,"Saint Boniface/Saint-Boniface"," 70","Winnipeg",107,52,8,58,0,225,386
46009,"Saint Boniface/Saint-Boniface"," 71","Winnipeg",77,52,11,46,0,186,348
46009,"Saint Boniface/Saint-Boniface"," 72","Winnipeg",67,64,5,38,3,177,359
46009,"Saint Boniface/Saint-Boniface"," 73","Winnipeg",83,72,12,44,0,211,424
46009,"Saint Boniface/Saint-Boniface"," 74","Winnipeg",91,37,14,79,2,223,379
46009,"Saint Boniface/Saint-Boniface"," 75","Winnipeg",101,56,10,99,2,268,415
46009,"Saint Boniface/Saint-Boniface"," 76","Winnipeg",99,48,10,87,2,246,420
46009,"Saint Boniface/Saint-Boniface"," 77","Winnipeg",104,18,4,70,1,197,366
46009,"Saint Boniface/Saint-Boniface"," 78","Winnipeg",50,6,4,75,1,136,238
46009,"Saint Boniface/Saint-Boniface"," 79","Winnipeg",98,45,8,41,0,192,403
46009,"Saint Boniface/Saint-Boniface"," 80","Winnipeg",115,51,8,55,0,229,424
46009,"Saint Boniface/Saint-Boniface"," 81","Winnipeg",73,26,3,28,0,130,259
46009,"Saint Boniface/Saint-Boniface"," 82A","Winnipeg",103,48,3,32,0,186,252
46009,"Saint Boniface/Saint-Boniface"," 82B","Winnipeg",53,25,0,26,1,105,128
46009,"Saint Boniface/Saint-Boniface"," 83","Winnipeg",94,28,6,39,2,169,344
46009,"Saint Boniface/Saint-Boniface"," 84","Winnipeg",49,24,3,16,0,92,252
46009,"Saint Boniface/Saint-Boniface"," 85","Winnipeg",80,28,6,39,1,154,346
46009,"Saint Boniface/Saint-Boniface"," 86","Winnipeg",93,47,5,80,2,227,386
46009,"Saint Boniface/Saint-Boniface"," 87","Winnipeg",88,31,3,36,1,159,293
46009,"Saint Boniface/Saint-Boniface"," 88","Winnipeg",88,46,13,39,2,188,337
46009,"Saint Boniface/Saint-Boniface"," 89","Winnipeg",90,35,6,28,1,160,451
46009,"Saint Boniface/Saint-Boniface"," 90","Winnipeg",96,37,4,60,2,199,355
46009,"Saint Boniface/Saint-Boniface"," 91","Winnipeg",85,32,10,47,0,174,337
46009,"Saint Boniface/Saint-Boniface"," 92","Winnipeg",124,11,6,82,0,223,350
46009,"Saint Boniface/Saint-Boniface"," 93","Winnipeg",84,35,9,73,1,202,338
46009,"Saint Boniface/Saint-Boniface"," 94","Winnipeg",99,49,6,44,1,199,377
46009,"Saint Boniface/Saint-Boniface"," 95","Winnipeg",116,51,6,46,0,219,370
46009,"Saint Boniface/Saint-Boniface"," 96A","Winnipeg",73,44,6,27,0,150,323
46009,"Saint Boniface/Saint-Boniface"," 96B","Winnipeg",100,22,1,28,0,151,193
46009,"Saint Boniface/Saint-Boniface"," 97","Winnipeg",99,40,5,22,0,166,258
46009,"Saint Boniface/Saint-Boniface"," 98","Winnipeg",85,39,3,45,0,172,437
46009,"Saint Boniface/Saint-Boniface"," 99","Winnipeg",94,24,3,14,0,135,315
46009,"Saint Boniface/Saint-Boniface"," 100","Winnipeg",79,23,3,37,0,142,246
46009,"Saint Boniface/Saint-Boniface"," 101","Winnipeg",95,34,4,47,0,180,313
46009,"Saint Boniface/Saint-Boniface"," 102","Winnipeg",52,40,10,63,0,165,314
46009,"Saint Boniface/Saint-Boniface"," 103","Winnipeg",78,18,4,54,0,154,227
46009,"Saint Boniface/Saint-Boniface"," 104","Winnipeg",110,25,8,48,0,191,283
46009,"Saint Boniface/Saint-Boniface"," 105","Winnipeg",94,43,5,54,2,198,272
46009,"Saint Boniface/Saint-Boniface"," 106","Winnipeg",121,28,7,58,6,220,359
46009,"Saint Boniface/Saint-Boniface"," 107A","Winnipeg",37,31,4,24,0,96,213
46009,"Saint Boniface/Saint-Boniface"," 107B","Winnipeg",52,14,2,28,0,96,126
46009,"Saint Boniface/Saint-Boniface"," 108","Winnipeg",93,50,3,42,0,188,408
46009,"Saint Boniface/Saint-Boniface"," 109","Winnipeg",130,46,8,59,0,243,439
46009,"Saint Boniface/Saint-Boniface"," 110","Winnipeg",135,44,4,72,3,258,428
46009,"Saint Boniface/Saint-Boniface"," 111","Winnipeg",121,62,7,51,1,242,489
46009,"Saint Boniface/Saint-Boniface"," 112","Winnipeg",Void/Supprimé,,,,,,
46009,"Saint Boniface/Saint-Boniface"," 113","Winnipeg",53,38,3,24,4,122,315
46009,"Saint Boniface/Saint-Boniface"," 113-1","Winnipeg",55,35,2,18,0,110,218
46009,"Saint Boniface/Saint-Boniface"," 114","Winnipeg",54,43,10,38,1,146,338
46009,"Saint Boniface/Saint-Boniface"," 115","Winnipeg",66,36,11,36,0,149,304
46009,"Saint Boniface/Saint-Boniface"," 116","Winnipeg",83,55,5,39,0,182,301
46009,"Saint Boniface/Saint-Boniface"," 117","Winnipeg",59,32,2,26,0,119,217
46009,"Saint Boniface/Saint-Boniface"," 118","Winnipeg",60,47,4,38,0,149,335
46009,"Saint Boniface/Saint-Boniface"," 119","Winnipeg",100,37,9,75,1,222,355
